list,pis,start,end,amount,agency,relationship,id,title,start-year,end-year
140,Simons,7/1/17,6/30/20,262386,Florida State University,Institutes of higher education,20170176,Collaborative Research: The influence of changing circulation on the vertical flux and composition of particulate matter to depth in the coastal zone,2017,2020
116,DeVries,8/15/17,8/14/20,336281,National Science Foundation,Federal agencies,20170975,A global observationally-driven model for quantifying the export and fate of upper-ocean NPP,2017,2020
211,MacIntyre,7/1/17,6/30/20,0,US - Israel Binational Science Foundation (BSF) (INTL),"Private agencies, foundations",20170834,Preliminary Proposal: Using Hydrodynamics to Scale Aquatic Metabolism and Fluxes of Greenhouse Gases in Lakes at Norhtern Latitudes,2017,2020
118,Ding,10/1/17,9/30/20,337216,National Science Foundation,Federal agencies,20171453,Sources and impacts of atmospheric forcing on recent changes of Antarctic sea ice and the Southern Ocean,2017,2020
288,Suh,10/1/18,9/30/20,689706,United Nations Environment Programme,"Private agencies, foundations",20190020,Development and Dissemination of Safer Alternatives Analytics for Target App,2018,2020
231,Stevenson,9/1/18,8/31/20,200204,National Science Foundation,Federal agencies,20181351,Collaborative Proposal: Evaluating the Impact of Observations on the Estimated State of the Tropical Pacific,2018,2020
232,Tague,9/1/18,8/31/20,24999,US Geological Survey,Federal agencies,20181391,"Effects of climate change on carbon, water, and fire regimes in a fuels treated watershed in the southern Sierra Nevada",2018,2020
115,DeVries,1/1/18,12/31/20,0,National Science Foundation,Federal agencies,20170975,Using EXPORTS data to constrain the export and fate of upper ocean net primary production in a global biogeochemical model,2018,2020
119,Ding,1/1/18,12/31/20,341590,University of Arizona,Institutes of higher education,20171349,The role of tropical forcing in the recent expansion of Antarctic sea ice and Southern Ocean cooling,2018,2020
221,Dozier,1/1/18,12/31/20,74492,National Science Foundation,Federal agencies,20180315,Spokes: MEDIUM: WEST: Collaborative: Implementing the Open Water Information Architecture,2018,2020
222,"Dozier, Bair",1/1/18,12/31/20,147070,University of Washington,Institutes of higher education,20180111,Design and evaluation of a high-resolution radiation balance product for remote sensing of snow and glaciers,2018,2020
149,Hacker,7/15/18,7/14/20,181302,National Science Foundation,Federal agencies,20180992,Title: Collaborative Research: How Does Lower Continental Crust Form? A Petrochronological Investigation of the Ivrea Zone,2018,2020
150,"Hacker, Rioux",9/1/18,8/31/20,194646,National Science Foundation,Federal agencies,20181207,Collaborative Research: Did Mantle Magmas Cause  Ultrahigh-Temperature Metamorphism (UHTM) in Southern Madagascar?,2018,2020
120,Heilmayr,1/1/18,12/31/20,748276,Meridian Institute,"Private agencies, foundations",20170641,"Assessing the impacts of non-state, market driven governance on land cover and ecosystems in Southeast Asia",2018,2020
124,Keller,7/1/18,1/1/20,80000,National Science Foundation,Federal agencies,20171504,Zein-based Nanoparticles for Agricultural Applications,2018,2020
167,"Rittger, Bair",1/1/18,12/31/20,427332,National Aeronautics and Space Administration,Federal agencies,20180144,"Improving the understanding of the water cycle across the Western United States through data assimilation of remotely sensed snow cover, snow albedo, and snow water equivalent in the National Water Model",2018,2020
162,Ohlmann,11/1/18,7/31/20,172037,National Aeronautics and Space Administration,Federal agencies,20181086,Ocean of Things Data Analytics,2018,2020
224,Hacker,5/1/18,4/30/20,283828,US - Israel Binational Science Foundation (BSF) (INTL),"Private agencies, foundations",20180765,"Collaborative Research: Using Titanite to Understand the GreatTonalite Sill, Coast Shear Zone, and Baja BC",2018,2020
203,Caylor,1/1/18,12/31/20,109403,University of Florida,Institutes of higher education,20171348,Land use dynamics along a topographical frontier: Drivers and impacts of accelerating agricultural expansion in upland Southeast Asia,2018,2020
182,Clark,6/1/19,5/31/20,15291,USGS Powell Center,Federal agencies,20191527,Bioremediation Project,2019,2020
268,Nidzieko,1/1/19,12/31/20,30000,National Science Foundation,Federal agencies,20190171,UC Ocean Monitoring Program (UCOM),2019,2020
237,Buntaine,1/1/19,12/31/20,37649,University of California,UC-wide,20190105,Improving Public Bureaucracies,2019,2020
239,Carvalho,1/1/19,12/31/20,150000,University of California,UC-wide,20190119,Analyzing and Forecasting Atmospheric Rivers over California,2019,2020
254,Ji,1/1/19,12/31/20,70000,University of California,UC-wide,20190143,Seismic Resilience of Urban California Medical Networks,2019,2020
190,Keller,4/1/19,3/31/20,49990,University of Central Florida,Institutes of higher education,20190062,Modeling nanopesticide fate in agricultural systems,2019,2020
255,Keller,1/1/19,12/31/20,582743,US Department of Interior,Federal agencies,20190057,"Emerging Contaminants: Monitoring, Risk Assessment & Mgmt",2019,2020
193,"Knapp, Smith",5/1/19,4/30/20,40000,National Park Service,Federal agencies,20191115,Restoring rare frogs in Yosemite National Park,2019,2020
257,"Knapp, Smith",7/1/19,6/30/20,9310,USDI Fish and Wildlife Services,Federal agencies,20191570,Chytrid Rapid Response Kits,2019,2020
259,Larsen,1/1/19,12/31/20,195687,University of California,UC-wide,20190066,"UC Local Food Initiative in Research, Policy, and Practice",2019,2020
196,"Myers, Seltmann",5/15/19,5/14/20,50000,California EPA Office of the Secretary,California state and municipal agencies,20191207,Kids in Nature: Increasing Climate Change Literacy in Underserved Public Schools,2019,2020
275,Perrone,1/1/19,12/31/20,51246,UC Merced,UC-wide,20190069,UC Water Security and Sustainability Research Initiative,2019,2020
276,"Porter, Riedman",5/1/19,12/31/20,3000,Evolving Earth Foundation,"Private agencies, foundations",20191118,Small carbonaceous fossils from Tasmania as a window onto later Cambrian animals,2019,2020
281,Seltmann,7/1/19,6/30/20,20000,University of California,UC-wide,20191129,Developing diagnostic capacity for identifying invasive shot hole borers in Ventura and Santa Barbara Counties,2019,2020
201,"Suh, Lea",3/1/19,2/28/20,98675,University of California,UC-wide,20190217,"Reducing UCSB greenhouse gas emissions through adaptive, self-learning energy system",2019,2020
290,"Suh, Lea",3/1/19,2/29/20,99705,University of California,UC-wide,20190343,"Reducing UCSB GHG emissions through adaptive, self-learning energy system",2019,2020
292,"Tague, Jasechko",1/1/19,12/31/20,388078,University of California,UC-wide,20190106,The Legacy of Nitrogen in the Central Valley and California,2019,2020
191,Keller,7/1/19,12/31/20,149475,University of Florida,Institutes of higher education,20190649,Novel disinfection system using recyclable magnetic nanoparticles,2019,2020
187,Heilmayr,7/1/19,3/31/20,74957,National Science Foundation,Federal agencies,20191506,Corporate environmental governance of oil palm supply chains in Sounteast Asia,2019,2020
233,"Archuleta, Tanimoto",1/1/20,12/31/20,71929,US Geological Survey,Federal agencies,20191432,Shallow rigidity structure from co-located pressure and seismic data and its comparison to Vs30,2020,2020
267,"Myers, Seltmann",1/1/20,12/31/20,47796,State Coastal Conservancy,California state and municipal agencies,20191297,Kids in Nature: Increasing Climate Change Literacy in Underserved Public Schools (KIN2),2020,2020
72,"Dozier, Costello",8/1/16,7/31/21,1039902,National Aeronautics and Space Administration,Federal agencies,20161052,Value of Information from Earth Observations of Mountain Snowpack Properties for Water Resources Management,2016,2021
81,"Kappel, Gaines, Hofmann, Siegel, Tague, Valentine",9/1/16,8/31/21,15499997,National Oceanic and Atmospheric Administration,Federal agencies,20161049,"NOAA's Pacific Coastal Science Center at UCSB: Strengthening the NOAA pipeline through collaborative, interdisciplinary research and training",2016,2021
87,MacIntyre,11/1/16,10/31/21,1013777,National Science Foundation,Federal agencies,20161017,"Collaborative Proposal: MSB-FRA: Mixing and ecological processes in lakes: Integrating measurements, theory, and modeling at regional scales",2016,2021
114,Caylor,9/1/17,8/31/21,2494931,Clark University,Institutes of higher education,20171038,"INFEWS/T3: Solutions to Understand Connectivity, Scaling, and Governance in Food-Energy-Water Systems",2017,2021
117,Ding,5/1/17,4/30/21,432025,National Science Foundation,Federal agencies,20170324,Collaborative Research: PREEVENTS Track 2 - Sub-seasonal to seasonal (S2S) predictability of warm-season extreme precipitation events in the western and central U.S,2017,2021
122,Keller,9/1/17,8/31/21,0,Louisiana State University,Institutes of higher education,20170340,PIRE-PRISTINE: Pollution Remediation Integrated System Through Inorganic Nanomaterials and Enzymes,2017,2021
134,Ohlmann,7/15/17,7/14/21,0,Arete Associates,"Private agencies, foundations",20170959,Linking Ocean Biogeochemistry Observations with the Highly Localized Submesoscale Circulation,2017,2021
209,Gardner,9/1/17,8/31/21,249999,US Department of Agriculture,Federal agencies,20171093,Enhancing Natural Science Training of Hispanic Environmental Studies Majors,2017,2021
168,Seltmann,4/1/17,3/31/21,686765,National Science Foundation,Federal agencies,20180288,Collaborative Research: ABI Development: Enabling Species Interaction Research Using Specimens and Observations,2017,2021
129,"Michaelsen, Stratton",6/1/18,5/31/21,1387140,Goleta West Sanitary District,California state and municipal agencies,20171539,North Campus Open Space Coastal Wetland Buffer Restoration,2018,2021
147,Ding,9/1/18,8/31/21,734720,University of Washington,Institutes of higher education,20181081,The role of atmospheric and oceanic processes and feedbacks in shaping the Arctic warming,2018,2021
152,Holden,10/1/18,9/30/21,3885534,UC Irvine,UC-wide,20181485,"TRDRP-NRS Collaborative Platform: Administrative, Field, & Analytical Core",2018,2021
285,Simons,12/1/18,11/30/21,69170,National Science Foundation,Federal agencies,20190167,Quantifying how ocean temperatures and dynamic circulation shape larval urchin recruitment in the face of climate change and El Niño,2018,2021
234,Bair,12/1/18,11/30/21,85366,University of Colorado,Institutes of higher education,20190206,A realtime snow product suite to improve hydrologic prediction in operational forecasting systems,2018,2021
148,"Ding, Jones",6/1/18,5/31/21,259484,National Science Foundation,Federal agencies,20180469,Interdecadal Tropically-driven Bipolar Teleconnections in the Past Millennium,2018,2021
154,Jones,6/1/18,5/30/21,618409,National Science Foundation,Federal agencies,20180428,"Multiscale Predictability of the Madden-Julian Oscillation, teleconnections and precipitation over the United States",2018,2021
155,"Jones, Carvalho",3/1/18,2/28/21,598598,University of California,UC-wide,20180027,Center for Frontiers in Monsoon Research,2018,2021
226,Larsen,10/1/18,9/30/21,0,Foundation for Food and Agriculture Research,"Private agencies, foundations",20180986,Pathways to sustainable pesticide use: combining ecology and economics to identify and reduce extreme pesticide use.,2018,2021
159,Matoza,3/1/18,2/28/21,3035306,University of California,UC-wide,20180051,Global seismo-acoustic monitoring of climate change,2018,2021
160,"Melack, King",3/1/18,2/28/21,608353,University of California,UC-wide,20180028,"Wetlands, Carbon and Climate",2018,2021
163,"Ohlmann, Romero",1/1/18,12/31/21,752215,National Science Foundation,Federal agencies,20180188,Quantifying submesoscale flow kinematics and vertical velocities in the open ocean,2018,2021
135,Rioux,7/1/18,6/30/21,103623,National Science Foundation,Federal agencies,20170950,Collaborative Research: 26 Million Years of Lithosphere Accretion at a Mid-Atlantic Ridge Segment,2018,2021
169,"Seltmann, Wahlert",4/1/18,3/31/21,375147,National Science Foundation,Federal agencies,20180178,CSBR: Natural History: Upgrading Infrastructure to Expand the Use of Cheadle Center’s (UCSB) Herbarium,2018,2021
230,Stevenson,7/1/18,6/30/21,215259,National Oceanic and Atmospheric Administration,Federal agencies,20181091,'Rules for Drought' in the CMIP6 As Compared with Observations,2018,2021
227,Larsen,10/1/18,9/30/21,256698,National Science Foundation,Federal agencies,20181165,Pathways to sustainable pesticide use,2018,2021
273,Oono,10/1/19,9/30/21,366804,US Department of Energy,Federal agencies,20191199,Development of Biological Control for Fire-Promoting Invasive Grass,2019,2021
197,Nelson,1/1/19,12/31/21,346890,North Carolina State University,Institutes of higher education,20190161,Collaborative Research: EXPORTS: Role of the ocean's biological pump in the production of refractory dissolved organic carbon,2019,2021
177,Caylor,6/1/19,5/31/21,484967,National Science Foundation,Federal agencies,20190246,Leveraging high-resolution satellite imagery to assess urban agriculture and household food security in Sub-Saharan Africa,2019,2021
245,Dozier,10/1/19,9/30/21,109018,University of Utah,Institutes of higher education,20191266,Preparing for a Spaceborne Imaging Spectrometer: New Algorithms to Retrieve Snow and Ice Properties,2019,2021
258,"Knapp, Smith",7/1/19,6/30/21,49500,USDI Fish and Wildlife Services,Federal agencies,20191571,Chytrid Testing and Treatments,2019,2021
166,"Perrone, Jasechko",1/1/19,12/31/21,678844,National Science Foundation,Federal agencies,20180955,"Three-dimensional, continental-scale vulnerablility of groundwater well to declining groundwater levels and contaminants",2019,2021
289,Suh,7/1/19,6/30/21,141497,University of California,UC-wide,20190589,California Collaborative for Climate Solutions (C4S): Innovation Center for Transformative Carbon Dioxide Removal and Utilization Technologies,2019,2021
291,Tague,1/1/19,12/31/21,77825,"Washington State University (Pullman, WA)",Institutes of higher education,20190205,Coupling Earth observation data and ecohydrological modeling to predict disturbance-induced runoff and sedimentation for municipal water quantity and quality planning,2019,2021
277,Raven,9/1/19,8/31/21,110000,American Chemical Society,"Private agencies, foundations",20190461,"Exploring early sedimentary sources for sulfur-rich native bitumens with an integrated chemical, isotopic, and molecular approach",2019,2021
272,Oono,9/1/19,8/31/21,253984,US Department of Agriculture,Federal agencies,20191194,Restoration of conifer forests within the Zaca Fire scar using beneficial microbial inoculums,2019,2021
264,"Mayes, Caylor",1/1/20,12/31/21,96995,National Science Foundation,Federal agencies,20191364,Collaborative Research: Instant knowledge of the composition of the world – a future enabled by imaging spectroscopy,2020,2021
192,Keller,4/1/20,3/31/21,49881,US Department of Agriculture,Federal agencies,20191661,Fate and transport modeling of Nano-Mg and Nano-Cu,2020,2021
215,Tague,8/1/17,7/31/22,112000,University of Idaho,Institutes of higher education,20170338,Northwest Advanced Forest and Farm Renewables Alliance -  NAFFRA Enabling Alternate Jet Fuel Production for “Powering All Flights for All Airlines”:Assessing Silviculture Impact of Forest Services,2017,2022
206,"Dozier, Bair",12/1/17,11/30/22,237963,University of Colorado,Institutes of higher education,20171302,"Global snow cover and albedo from MODIS and VIIRS, 2000 to present, for hydrological and climatological analysis and modeling",2017,2022
125,MacIntyre,7/1/17,6/30/22,1439023,National Science Foundation,Federal agencies,20170411,"Collaborative Proposal: MSB-FRA: Mixing and ecological processes in lakes: Integrating measurements, theory and modeling at regional scales",2017,2022
126,Maritorena,3/1/17,2/28/22,97908,Jet Propulsion Laboratory,Federal agencies,20170234,"Unified Aerosol-Water Retrievals for the Metop-SG Multi-viewing, Multi-channel, Multi-polarization Imaging (3MI) MIssion",2017,2022
127,"Maritorena, Siegel",12/1/17,11/30/22,1802901,National Aeronautics and Space Administration,Federal agencies,20171315,Earth Science Data Records for Oceanic and Coastal Biogeochemistry Research,2017,2022
214,Sweet,7/1/17,6/30/22,12000,USDI Fish and Wildlife Services,Federal agencies,20171395,Research and Restoration at Casmalia Landfill: Ecosystem Evaluation and Restoration for Species Recovery 2017-2022,2017,2022
173,Tanimoto,6/1/18,5/31/22,405365,National Science Foundation,Federal agencies,20180963,The interior structure of Mars from the co-located seismic and barometric sensors,2018,2022
157,MacIntyre,10/1/18,9/30/22,66596,University of New Hampshire,Institutes of higher education,20180673,Under the ice to ice-off: how do phytoplankton of an arctic lake adapt to changing physical conditions,2018,2022
151,Heilmayr,9/1/18,8/31/22,553161,National Aeronautics and Space Administration,Federal agencies,20180848,Corporate envirnmental governance of oil palm supply chanes in Southeast Asia,2018,2022
229,Moritz,6/1/18,5/30/22,339744,University of California,UC-wide,20180452,Collaborative Proposal: MSB-FRA: Emergent responses to increasing climate variability in California and Arizona,2018,2022
220,Caylor,9/1/18,8/31/22,322105,University of Illinois,Institutes of higher education,20180836,CNH-L: Feedbacks between Urban Food Security and Rural Agricultural Production in Sub-Saharan Africa,2018,2022
246,Dozier,10/1/19,9/30/22,566498,University of Vermont,Institutes of higher education,20191584,Radiation Balance of Glaciers and Seasonal and Ephemeral Snow in High Mountain Asia,2019,2022
145,"Carvalho, Jones",1/1/19,1/1/22,1331771,US Department of Commerce,Federal agencies,20180876,"Collaborative Research: Sundowner Winds Experiment in Santa Barbara, CA (SWEX)",2019,2022
180,Caylor,7/1/19,6/30/22,137781,Princeton University,Institutes of higher education,20190800,Promoting commercial farming among young people: Evaluating the impacts of a technology driven approach in the peanut value chain in northern Ghana,2019,2022
242,DeVries,7/1/19,6/30/22,360049,University of Wisconsin,Institutes of higher education,20190157,Improved estimates of ocean heat content 1960-present,2019,2022
186,Hacker,10/1/19,9/30/22,83927,National Science Foundation,Federal agencies,20190673,In-situ U-Pb dating of dolomite,2019,2022
199,Siegel,9/1/19,8/31/22,135000,Woods Hole Oceanographic Institution,"Private agencies, foundations",20190902,Assessing Sinking Particle Export Pathways in the Ocean’s Biological Carbon Pump,2019,2022
198,Raven,10/1/19,9/30/22,491828,American Chemical Society,"Private agencies, foundations",20190202,Organic Matter Preservation in Mangrove Ecosystems via Abiotic Sulfurization,2019,2022
286,Stevenson,9/1/19,8/31/22,758495,Woods Hole Oceanographic Institution,"Private agencies, foundations",20190618,Tropical Instability Waves and the Future of the El Niño/Southern Oscillation,2019,2022
235,Bair,8/1/19,7/31/22,379274,University of Colorado,Institutes of higher education,20191523,"Snow water equivalent and partitioned snow and glacier melt for 1985 to present, a 35+ year record for climate modelers",2019,2022
236,"Baxter, Ding",9/1/19,8/31/22,135000,National Aeronautics and Space Administration,Federal agencies,20190906,"Understanding circulation-driven Arctic cloud radiative effects in an integrated analysis: satellite observations, reanalysis, and modeling experiments",2019,2022
241,"Castillo, Wilbanks",9/1/19,8/31/22,135000,National Aeronautics and Space Administration,Federal agencies,20190869,Decoding cryptic biogeochemical cycling of sinking marine particles: microbial contributions to aerobic and anaerobic respiration,2019,2022
183,DeVries,7/1/19,6/30/22,352836,National Science Foundation,Federal agencies,20190204,Collaborative Research: What controls the marine refractory DOC reservoir?,2019,2022
184,"DeVries, Janowicz",7/1/19,6/30/22,329024,National Science Foundation,Federal agencies,20191006,"An ocean circulation inverse model for research, education, and outreach",2019,2022
243,"Ding, Jones, DeVries",9/1/19,8/31/22,612158,National Oceanic and Atmospheric Administration,Federal agencies,20190623,CVP: Decadal variability and predictability of the tropical-bipolar teleconnection and its impacts on the high latitudes ,2019,2022
244,Dozier,3/1/19,2/28/22,149928,Ohio State University,Institutes of higher education,20190261,A new estimate of water and energy balances across global mountain ranges,2019,2022
247,"Dozier, Dunne",12/1/19,12/31/22,120238,California State University - Northridge,Institutes of higher education,20190548,Developing a numerical river energy balance model for stream temperature management downstream of dams,2019,2022
248,"Farrant, Larsen",9/1/19,8/31/22,135000,National Aeronautics and Space Administration,Federal agencies,20190900,Using high resolution remote sensing data to evaluate fruit and vegetable yield gaps and forecast land abandonment,2019,2022
251,Hess,6/1/19,5/31/22,72510,Virginia Polytechnic Institute and State University,Institutes of higher education,20190200,Land use/cover change on the Amazon floodplain and its impacts on fisheries,2019,2022
252,Jackson,10/1/19,9/30/22,264874,National Science Foundation,Federal agencies,20190658,Collaborative Research: Do improved absolute plate motion models based on Cretaceous Western Pacific seamounts relate Louisville to Ontong-Java?,2019,2022
188,Jasechko,2/1/19,1/31/22,593624,National Science Foundation,Federal agencies,20190049,CAREER: Quantifying links between groundwater ages and solute concentrations,2019,2022
256,Knapp,5/1/19,4/30/22,126719,California Department of Fish and Wildlife,California state and municipal agencies,20191324,"Translocation and monitoring of mountain yellow-legged frog northern DPS, Rana muscosa, in Mulkey Meadows and Rocky Basin Lakes, Tulare County",2019,2022
260,"Larsen, Plantinga",8/1/19,7/31/22,344455,University of California,UC-wide,20190292,INFEWS/T1: Understanding and communicating food-energy-water synergies in local foodsheds,2019,2022
266,Morell,9/1/19,8/31/22,135000,National Aeronautics and Space Administration,Federal agencies,20191160,"Internally-driven, transient incision from river capture: Sutlej River, western Himalaya",2019,2022
269,Nidzieko,10/1/19,9/30/22,535740,Office of Naval Research,Federal agencies,20190949,Real-time Analysis of Turbulent Spectra for Adaptive Tracking of Environmental Features and UUV Wakes,2019,2022
274,Perrone,7/1/19,6/30/22,596398,National Science Foundation,Federal agencies,20190050,"CAREER: Revolutionizing our approach to groundwater management in the Western United States through the integration of hydrological sciences, geospatial sciences, and law",2019,2022
280,Schimel,6/1/19,5/31/22,44802,University of California,UC-wide,20191217,Understanding the effects of atmospheric N deposition and drought on ecosystem N retention: Linking above- and below-ground processes with watershed-scale modeling,2019,2022
195,Maritorena,10/1/19,9/30/22,215811,Jet Propulsion Laboratory,Federal agencies,20191190,Algorithm Development for Retrieval of Coral Reef Bottom Reflectance,2019,2022
284,Simms,2/1/20,1/31/22,99972,US - Israel Binational Science Foundation (BSF) (INTL),"Private agencies, foundations",20191482,"A record of earthquakes along the northern San Andreas Fault from the sedimentary record of Tomales Bay, California",2020,2022
287,Stratton,5/1/20,4/30/22,887805,Southern California Gas Company,"Private agencies, foundations",20191458,UC Santa Barbara North Campus Open Space Green Infrastructure Access Project,2020,2022
270,Nidzieko,1/1/20,12/31/22,699073,University of California,UC-wide,20191621,A Data-driven approach to predicting Oceanic Scalar Exchange from Remote-Sensing Imagery,2020,2022
249,Ganti,1/1/20,12/30/22,406054,National Science Foundation,Federal agencies,20190717,Collaborative Research: Reconstructing paleo-sediment flux from river deposits: toward quantifying sediment discharge from bedform to basin scale ,2020,2022
153,Jackson,1/1/20,12/31/22,243972,National Science Foundation,Federal agencies,20181005,Collaborative Research: Interactions between the Tonga-Lau subduction system and the Samoan plume,2020,2022
261,MacDonald,9/1/20,8/31/22,110000,American Chemical Society,"Private agencies, foundations",20191146,Middle Miocene volcanism and climate change in the Monterey Formation,2020,2022
263,"Maritorena, Siegel",1/1/20,12/31/22,478836,National Aeronautics and Space Administration,Federal agencies,20191662,Reflectance inversion algorithm with optimized spectral weighting for the retrieval of spectral IOPs from PACE OCI-like data,2020,2022
265,Moeller,1/1/20,12/31/22,586368,National Aeronautics and Space Administration,Federal agencies,20191537,Acquired metabolism as a evolutionary driver of niche expansion and eukaryotic cellular complexity,2020,2022
278,Raven,9/1/20,8/31/22,110000,National Science Foundation,Federal agencies,20191154,A molecular approach for characterizing sulfur-rich native bitumens,2020,2022
283,"Siegel, Maritorena",1/1/20,12/31/22,687740,National Aeronautics and Space Administration,Federal agencies,20191622,Development of Robust Spectral Derivative Algorithms for Phytoplankton Pigment Concentrations on Local to Global Scales,2020,2022
156,Keller,4/1/18,3/31/23,5199999,University of California,UC-wide,20180001,Transdisciplinary Evaluation of Alternative Water Sources for Agriculture,2018,2023
176,Caylor,6/15/19,6/14/23,576338,National Geographic Society,"Private agencies, foundations",20190382,"Modeling Food, Energy, and Water in Small-Holder Environmental Decision Systems (FEWSheds)",2019,2023
228,Maritorena,1/1/19,12/31/23,157841,National Aeronautics and Space Administration,Federal agencies,20181559,"Unified Aerosol-Water Retrievals for the Metop-SG Multi-viewing, Multi-channel, Multi-polarization Imaging (3MI) Mission",2019,2023
178,Caylor,7/1/19,6/30/23,502374,National Science Foundation,Federal agencies,20190411,INFEWS/T2 - Water Harvesting Adsorption Technology for Indoor Farming (WHAT-IF): Analysis of Food Energy and Water Autonomy with Controlled Environment Agriculture,2019,2023
185,Ding,5/1/19,4/30/23,350482,US Department of Energy,Federal agencies,20190345,Collaborative Research: PREEVENTS Track 2: Bridging the Gap Between Weather and Climate Forecasts During the Warm Season,2019,2023
271,Oono,7/1/19,6/30/23,587791,National Fish and Wildlife Foundation,"Private agencies, foundations",20190378,The effects of the above- and below-ground microbiomes on resource optimization in the legume-rhizobia symbiosis,2019,2023
238,"Carlson, Roberts",7/1/19,3/31/23,600000,University of California,UC-wide,20191163,Wildfire: Assessing and Preparing for Risks Under Climate Change,2019,2023
165,"Oono, Seltmann",1/1/19,12/31/23,1504668,National Science Foundation,Federal agencies,20181004,Dimensions: Host-specific adaptations as drivers of fungal endophyte diversty,2019,2023
240,"Carvalho, Ding, Jones",2/1/20,1/31/23,486848,National Science Foundation,Federal agencies,20191325,The dynamics and variability of the South American low-level jet (SALLJ),2020,2023
181,"Caylor, Halpern, Krintz, Larsen, Tague",9/1/19,8/31/24,2998387,National Science Foundation,Federal agencies,20190735,NRT-HDR: Environmental Data Science Training for Applied Research (EDSTAR),2019,2024
250,Heilmayr,9/1/19,8/31/24,551311,University of Hawaii,Institutes of higher education,20190960,Corporate environmental governance of oil palm supply chains in Southeast Asia,2019,2024
189,Jasechko,10/1/19,9/30/24,742828,US Department of Energy,Federal agencies,20191376,How Watershed Transit Times Impact River Biogeochemistry and Flows,2019,2024
262,"MacDonald, Caylor",9/1/19,8/31/24,708902,Stanford University,Institutes of higher education,20190608,Vector-borne disease transmission in a rapidly changing world: Identifying the effects of land use change on transmission across scales,2019,2024
194,Larsen,1/1/20,12/31/24,521616,Foundation for Food and Agriculture Research,"Private agencies, foundations",20191657,"CAREER: An ecoinformatics approach to understanding the distribution, revegetation, and ecological impacts of abandoned agricultural land in the US",2020,2024
179,Caylor,1/1/20,12/31/24,40535,Princeton University,Institutes of higher education,20190966,"CNH2-L: Mitigating social and environmental vulnerabilities through community exchange of social, financial, and human capital",2020,2024
253,Jackson,10/1/20,9/30/24,262663,National Science Foundation,Federal agencies,20191102,Collaborative Research: Interactions between the Tonga-Lau subduction system and the Samoan plume,2020,2024
279,"Romero, Maritorena",00/00/00,00/00/00,435986,National Aeronautics and Space Administration,Federal agencies,20191238,Towards a physics-based improved correction for whitecaps in ocean color remote sensing,2000,2000
