pis,start,end,amount,agency,relationship,id,title,abstract,start-year,end-year
Lisa Stratton,10/1/12,9/30/15,"$44,800 ",US Fish and Wildlife Service,Federal agencies,F12AC00683,Recovery Activities for Nipomo Lupine,"Lupinus nipomensis (Nipomo lupine) is a small annual plant in the pea family (Fabaceae). Historically and currently, the species is known only from the southwestern corner of San Luis Obispo County, California, scattered over an area of approximately 2 miles wide and 2 miles long. Lupinus nipomensis is restricted to one extended population of a few hundred individuals. The species is faced with a high risk of extinction due to the extremely low number of individuals and an intense degree of threats. The species may face extinction within the next 5 years. To reduce the risk of extinction, we propose to implement the following recovery actions: Task 1: introduce populations to suitable habitat in the Guadalupe-Nipomo Dunes region. Suitable habitat may include lands managed by the U. S. Fish and Wildlife Service at Guadalupe-Nipomo Dunes National Wildlife Refuge, California State Parks, the Land Conservancy of San Luis Obispo County, and private lands; Task 2: conduct a seed bank analysis at the existing and historical occurrences, and Task 3: Undertake population enhancement though supplemental watering of existing occurrences.",2012,2015
Samuel Sweet,6/1/12,6/1/17,"$12,013 ",US Fish and Wildlife Service,Federal agencies,F12AC01020,Research and Restoration at Casmalia Landfill: Ecosystem Evaluation and Restoration for Species Recovery,"The Casmalia Landfill Superfund Site is located approximately 10 miles southwest of the city of Santa Maria in Santa Barbara County, California. The site was owned and operated by Casmalia Resources and accepted approximately 5.6 billion pounds of waste between 1973 and 1989. Waste disposal units at the site included: 6 landfills for pesticides/solvents, metals, caustic/cyanides, acids, and non-liquid polychlorinated biphenyls; 43 surface impoundments; 15 evaporation pads; 2 non-hazardous waste spreading areas; 6 oil field spreading areas; 11 shallow injection wells; 7 disposal trenches; 1 drum burial unit; and 6 landfills. The site supports five stormwater ponds that may serve as an attractive nuisance to wildlife. The federally endangered California tiger salamander (Ambystoma californiense) and federally threatened Calfornia red-legged frog (Rana draytonii) have been detected at the site. In 2001 the U.S. Fish and Wildlife Service (Service) entered into an agreement with EPA to extend a covenant not to sue for Natural Resource Damages to potentially responsible parties as part of a de minimis settlement. The Service received $178,250 in settlement funds in exchange for the issuance of the covenant not to sue. The Service intends to use these funds to conduct restoration that will benefit the California red-legged frog, California tiger salamander, and other trust resources. Biological surveys were conducted in the late 1990s and early 2000s in support of EPA’s ecological risk assessment and remedial investigation. Updated surveys are necessary in order to determine current usage of the site by our trust resources, and to best guide the use of the limited settlement dollars available to conduct restoration. The Ventura Fish and Wildlife Office proposes to use the requested funding to conduct surveys for the California red-legged frog and California tiger salamander in strategic locations within the site and surrounding habitats to determine current usage of the site by these species. Surveys for California red-legged frogs were previously conducted in 1998, 1999, 2001, 2002, 2003, and 2004. Surveys for California tiger salamanders were conducted in 2002/2003, and 2004/2005. California red-legged frogs were detected in all survey efforts with the exception of 2004. California tiger salamanders were detected during drift fence surveys in 2004/2005. Because California tiger salamander surveys have never been replicated at the site in the six years since the species was detected, and because the species is so acutely imperiled within Santa Barbara County, information about presence or absence of the species at the Casmalia Resources site would be invaluable. In addition, previous surveys for California tiger salamanders 210 established presence of metamorphosed individuals in upland habitat, but the extent of California tiger salamander breeding in aquatic resources at the site remains unknown. The trend in observations of California red-legged frogs throughout the 1998 to 2004 study period demonstrated a rapid decline from over 50 individuals detected in 1998 to no individuals detected in 2003 or 2004. The absence of California red-legged frogs in 2003 and 2004 is suspected to be associated with low water levels in the stormwater ponds due to pumping of water for the construction of a landfill cap, and increasing total dissolved solids (TDS) in the stormwater ponds. The water level in all ponds is currently high relative to 2003/2004, however TDS remains high and the use of the ponds by California red-legged frogs and California tiger salamanders is unknown. It is likely that the high TDS is creating an attractive nuisance for the California tiger salamanders and California red-legged frogs attempting to breed at the site. This project will evaluate the need for (through aquatic and upland surveys) and feasibility of, creating additional breeding ponds at the site to provide suitable breeding habitat away from areas with high TDS. Ponds will subsequently be created as deemed appropriate and monitored in subsequent years. The proposed surveys will assist the Service in providing technical assistance to EPA during the remedial process, and implementing restoration for the California red-legged frog and California tiger salamander. Updated information about the use of the site by California tiger salamanders and California red-legged frogs will support the Service’s effort to work with EPA in evaluating and selecting a remedy that would provide maximum habitat for trust resources and understand the use of the site be these species. The study will be conducted in phases to achieve the overall objectives of the study.",2012,2017
Samuel Sweet,6/10/09,6/9/10,"$29,914 ",US Department of the Air Force,Federal agencies,FA4610-09-P-0102,California Tiger Salamander Survey,"This project will provide an updated inventory of California tiger salamanders (Ambystoma californiense). California tiger salamanders are known to occur off of VAFB along Hwy 246 and near Casmalia (Sweet pers comm.) Surveys for CTS on VAFB in 2001 and 2003 were inconclusive because of the dry weather during the survey years. During dry years, CTS may not emerge and breed in pools. In 2008, the habitat capability of pools for CTS were assessed by a member of the Recovery Team, Professor Samuel Sweet of the University of California, Santa Barbara. Sweet assessed the pools based on ecological requirements of the species. For pools to be suitable, they must remain wet for a prolonged period, long enough to develop a prey base for the larval CTS. For pools to be occupied, they need to have surrounding habitat through which salamanders can disperse. The probability of occupancy increases in pools within 2 miles of occupied habitat off base. Suitable dispersal habitat needed microenvironments which were cool or shaded with gradual slopes down to the pools. The surrounding area of the pools needed friable soils or burrows which could shelter adult CTS during the nonbreeding season or years. In 2008, hoop-net and seine net samples of pools were conducted after pools had been inundated for about a month. No CTS were observed by these methods although samples were only taken once at each pool. The pools with suitable dispersal habitat had drift nets and pittraps installed; the drift nets will channel approaching CTS towards the pit traps. These traps were installed during the dry season and kept closed. Coverboards were also placed in areas with suitable dispersal and breeding habitat. Locations of coverboards and pools with driftnets were noted on GIS. 209 Also, in 2008, surveys near VAFB noted whether the introduced barred salamander were present. Barred salamanders were noted in many areas, including the penitentiary pond and near Rucker Road next to La Purisima Mission. The close proximity of the barred salamanders highlights the conservation concerns for CTS. Barred salamanders may also be present on VAFB.",2009,2010
Cathy Busby,6/1/09,5/31/10,"$27,000 ",US Department of Interior,Federal agencies,G09AC00128,Landscape Evolution of the Sierra Nevada California: Paleochannels Magnatism and Structure,We are working to construct new models for the Cenozoic tectonic and magmatic evolution of the Sierra Nevada by mapping and dating volcanic and volcaniclastic strata preserved in paleochannels in the Sierra Nevada as well as volcanic centers sited along range- front faults. We propose two studies in the northern Carson-Iceberg Wilderness (central Sierra Nevada). One study will focus on mapping of paleochannnels west of the range crest where stratigraphic relations are not complicated by faults. The second study will focus on mapping of range front faults to determine their movement history and controls on Ancestral Cascades arc volcanism. Great controversy abounds regarding the age and uplift history of the longest and tallest mountain chain in the co-terminus United States the Sierra Nevada. Recent studies have mainly used laboratory and geophysical techniques to address this problem. We propose field studies in the central Sierra Nevada that will provide direct geologic constraints on the landscape evolution and history of range-front faulting in the Sierra Nevada.,2009,2010
Naomi Tague,7/13/09,6/30/10,"$79,462 ",US Geological Survey,Federal agencies,G09AC00270,The Western Mountain Initiative: Vulnerability and Adaptation to Climate Change in Western Mountain Ecosystems,"Climate warming is affecting Western mountain ecosystems, directly through changes in water dynamics and indirectly through altered disturbance regimes. The Western Mountain Initiative (WMI; http://www.cfr.washington.edu/research.fme/wmi) team explores the effects of climate change on ecological disturbance, responses of forest vegetation, mountain hydrology, and the coupled hydro-ecological responses that determine vulnerability of Western mountain ecosystems to change. Extensive data sets, empirical studies, surveys, and monitoring programs are linked via models to hindcast and forecast the effects of changing climate on forest dynamics, distribution, and productivity; fire occurrence and insect outbreaks; recovery of vegetation after disturbance; hydrologic changes and glacier dynamics; and the consequences of an altered water cycle for terrestrial and aquatic ecosystems and chemistry. We will address the extent to which climate drivers are mediated by regional- or watershed-scale controls on ecosystem processes, thus quantifying vulnerability to climate change in mountain ecosystems. Region-specific results and emergent West-wide patterns will be shared with resource managers through workshops and a comprehensive web-based toolkit on climate-change science and adaptation management. WMI seeks to understand climate-ecosystem interactions, forecast ecological change, and provide adaptation information for managers. We build on the foundation of our ongoing research program, which includes hundreds of publications, long-term datasets, and a mature network of collaborators. WMI addresses Ecosystem and Climate Change goals of the USGS Global Change Science Strategy, and Goals 4 and 5 of the U.S. Climate Change Science Program Strategic Plan. Both the National Park Service and US Forest Service are developing science-based management approaches for adapting to climate change, and WMI will collaborate directly with both agencies to ensure scientific consistency in the implementation of adaptation strategies. In the preceding phase of WMI research, we used RHESSys to model ecosystem processes and hydrology in five forested montane watersheds representing diverse conditions across the western U.S. (sites in MT, CO, NM, CA, WA) (Christensen et al. 2008). In addition, ongoing RHESSys applications as part of other projects include a range of watersheds throughout the West (Tague et al. 2008; Tague et al. in review). Analysis at the scale of these sites (<800 km2) is critical given 218 that management of resources takes place at small watershed scales where process-based interactions are determined by gradients in snow, temperature, and radiation; spatial distribution of moisture; vegetation structure and pattern; and disturbances (fire, insects, mass movements). This abundant RHESSys model output is ready to be carried to the next level of interpretation. Tague role in the WMI project will be to continue the refinement and application of RHESSys, as a coupled eco-hydrologic model for use in hypothesis generation and scenario development.",2009,2010
Chen Ji,1/1/09,12/31/10,"$64,766 ",US Department of Interior,Federal agencies,G09AP00023,Global Earthquake Characterization on irregular fault surfaces Collaborative Research with UCSB and USGS,Recent developments in global broadband seismic instrumentation and in inverse methods have made it possible to routinely study the earthquake slip history based on teleseismic observations and proceed to predict the local damage [e.g. Ji et al. 2004]. However fast finite fault solutions were generally limited by the simple parameterization to the fault geometry i.e. planar fault planes with constant fault strike and dip angles inferred from point source CMT solutions. Considering the down-dip variation of the fault dip angle and using a more appropriate velocity structure usually reshapes the inverted slip distribution and sometimes ends up a multiple times difference in inverted slip e.g. the 2007 Solomon Islands earthquake. Correct representation of fault geometry is also crucial for predicting the local damage and tsunami excitation. Attempts have been made to predefine the fault geometry using relocated seismic catalog and moment tensors [Hayes and Wald 2008]. But it is still lack of finite fault inverse algorithm which could easily incorporate the irregular fault plane. In a pilot study supported by the USGS we are developing the feasible mesh algorithm to consider the complex fault geometry. Here we propose to improve the solutions of quick finite fault inversion procedure and the tsunami predicting capability by considering the effect of the irregular fault surfaces.,2009,2010
Ralph Archuleta,1/1/09,12/31/10,"$73,921 ",US Department of Interior,Federal agencies,G09AP00027,Strong Ground Motions in Salt Lake City and Other Metropolitan Areas From Large Earthquakes on the Wasatch Fault,Nearly 80% of the population of Utah lives near the Wasatch fault (Utah Geological Survey 1996). The metropolitan areas of Salt Lake City and Provo/Orem are among the most hazardous regions of the United States (USGS 1998). Besides the question: When will the next large earthquake occur? The most important question is: What will the ground motion be? Large earthquakes even moderate sized events are relatively rare on the Wasatch fault. The geological setting‚Äîwhere most of the infrastructure and the population are sitting on alluvial filled valleys‚Äî exacerbates the situation. We propose to mitigate the seismic risk by using dynamic and kinematic simulations of different earthquake scenarios to derive estimates of the expected ground motion from large earthquakes on the Wasatch fault. These simulations will account for: 1) geometry of the fault 2) the velocity structure in particular the 3D structure with sediments juxtaposed against the granite of the mountains 3) topography 4) heterogeneous stress on the fault and 5) physics of the constitutive laws for friction. Many different earthquake scenarios based on different hypocenters and variations of the input parameters will be simulated in order to determine the range of the ground motion. These simulations will provide ground motion for frequencies up to 1-2 Hz. We will make use of the extensive investigations already done for the Wasatch fault that document the geometry of the fault active tectonics and the velocity and attenuation structure. Recent USGS funded projects will provide more details about the 3D velocity structure as well as the near-surface velocities for some limited regions. Professor Robert Smith University of Utah has been either directly or indirectly involved with most of the studies that provide these basic data. We have used the 3D community velocity model and the USGS description of the fault geometry as the baseline for our simulations. We have incorporated these features in our initial simulations of the dynamics of a spontaneously propagating fracture. We use the finite element code MAFE [Ma and Beroza 2008; Ma and Archuleta 2006; Ma et al. 2007] to simulate dynamic ruptures on dipping faults. The dynamics includes heterogeneous stress conditions and a slip weakening constitutive law for friction that couples the heterogeneous stresses on the fault with the elastic response during a spontaneous shear fracture. While this method includes the realistic effects of geology fault structure and the physics of a spontaneously propagating shear fracture the ground motion is computationally limited to frequencies less than 1-2 Hz. To extend the frequency range to higher frequencies ~10-20 Hz we will collaborate with Professor Jacobo Bielak Carnegie Mellon University who has developed a hierarchical finite element method that can take our dynamic results of faulting as input to a kinematic model and propagate the motion to higher frequencies. With many different faulting scenarios there will be many different ground motion maps. The purpose of the project is to estimate the range of ground motion that should be expected from a MW ~7 earthquake on the Wasatch Fault. Preliminary results for normal faulting earthquakes show that the ground motion on the hanging wall (the side of the fault where most of population resides) has large ground motion and long duration due both to the proximity of the fault plane and the sediment filled basin. The largest amplitudes are within ¬±5 km of the fault trace with the largest amplitudes on the vertical component. Basically we have very limited direct knowledge of what to expect from a large normal-faulting earthquake. Through simulations of many scenario earthquakes that include realistic geological structure and fault geometries we will provide robust estimates for the expected ground motion from a MW~7 earthquake on the Wasatch fault.,2009,2010
Naomi Tague,5/15/10,6/30/14,"$298,683 ",US Geological Survey,Federal agencies,G10AC00309,The Western Mountain Initiative: Vulnerability and Adaptation to Climate Change in Western Mountain Ecosystems,"Climate warming is affecting Western mountain ecosystems, directly through changes in water dynamics and indirectly through altered disturbance regimes. The Western Mountain Initiative (WMI; http://www.cfr.washington.edu/research.fme/wmi) team explores the effects of climate change on ecological disturbance, responses of forest vegetation, mountain hydrology, and the coupled hydro-ecological responses that determine vulnerability of Western mountain ecosystems to change. Extensive data sets, empirical studies, surveys, and monitoring programs are linked via models to hindcast and forecast the effects of changing climate on forest dynamics, distribution, and productivity; fire occurrence and insect outbreaks; recovery of vegetation after disturbance; hydrologic changes and glacier dynamics; and the consequences of an altered water cycle for terrestrial and aquatic ecosystems and chemistry. We will address the extent to which climate drivers are mediated by regional- or watershed-scale controls on ecosystem processes, thus quantifying vulnerability to climate change in mountain ecosystems. Region-specific results and emergent West-wide patterns will be shared with resource managers through workshops and a comprehensive web-based toolkit on climate-change science and adaptation management. WMI seeks to understand climate-ecosystem interactions, forecast ecological change, and provide adaptation information for managers. We build on the foundation of our ongoing research program, which includes hundreds of publications, long-term datasets, and a mature network of collaborators. WMI addresses Ecosystem and Climate Change goals of the USGS Global Change Science Strategy, and Goals 4 and 5 of the U.S. Climate Change Science Program Strategic Plan. Both the National Park Service and US Forest Service are developing science-based management approaches for adapting to climate change, and WMI will collaborate directly with both agencies to ensure scientific consistency in the implementation of adaptation strategies. In the preceding phase of WMI research, we used RHESSys to model ecosystem processes and hydrology in five forested montane watersheds representing diverse conditions across the western U.S. (sites in MT, CO, NM, CA, WA) (Christensen et al. 2008). In addition, ongoing RHESSys applications as part of other projects include a range of watersheds throughout the West (Tague et al. 2008; Tague et al. in review). Analysis at the scale of these sites (<800 km2) is critical given 218 that management of resources takes place at small watershed scales where process-based interactions are determined by gradients in snow, temperature, and radiation; spatial distribution of moisture; vegetation structure and pattern; and disturbances (fire, insects, mass movements). This abundant RHESSys model output is ready to be carried to the next level of interpretation. Tague role in the WMI project will be to continue the refinement and application of RHESSys, as a coupled eco-hydrologic model for use in hypothesis generation and scenario development.",2010,2014
Alex Simms,7/1/10,9/30/11,"$15,515 ",US Department of Interior,Federal agencies,G10AC00384,Mapping the Terraces of the Bull Creek Drainage of Beaver County Oklahoma,"The drainages of the Oklahoma Panhandle have provided a valuable record of past environmental conditions throughout the late Pleistocene and Holocene. These archives have become very important to the archeological community as providing a place to find artifacts as well as a record of the changes that the early Native American people adapted to. However key to locating new sites and placing existing archeological finds into context is an understanding of the modern landscape and how the underlying geology affected the evolution of these forms. The purpose of this proposal is to map the underlying geology as well as the Quaternary terraces found along the 187 Bull Creek drainage and its confluence with the Beaver River. This project will aid a current ongoing project conducted by archeologists, soil scientist, and nanoscientists to look for nanodiamonds across the Younger Dryas Boundary within the paleosols of the Bull Creek Drainage. Nanodiamonds found by previous studies at the onset of the Younger Dryas have been used as evidence to support an impact-related cause for the extinction of some megafauna, the climatic cooling of the Younger Dryas, and the change from Folsum to Clovis societies in North America. Mapping the terraces and underlying geology for the Bull Creek Drainage will allow for a better characterization of the deposits and controls on geomorphology for this important drainage system.",2010,2011
Chen Ji Ralph Archuleta Toshiro Tanimoto,1/1/10,12/31/11,"$68,846 ",US Department of Interior,Federal agencies,G10AP00010,Inversion and Prediction of Ground Motion ofr the 2009 L'Aquilla Italy Mw 6.3 Earthquake,The 6 April 2009 L‚ÄôAquila MW 6.3 earthquake provides a watershed of new data for normal faulting earthquakes. It is the best-recorded normal faulting earthquake in terms of near-source accelerograms. Additionally it has static field measurements that include both GPS and InSAR. There are 17 strong motion accelerographs within 50 km of the surface projection of the fault. Among them 10 are within 20 km and four accelerographs are on the hanging wall above the fault plane. Prior to this earthquake there were very few near-source accelerograms for normal faulting earthquakes. In the Next Generation of Attenuation relations Excel spreadsheet that has the metadata for the accelerograms [Chiou et al. 2008] only 12 normal-faulting earthquakes (MW 6.0) are listed; from these events there are only 28 strong motion records within 50 km of the fault. Thus the results of this work will be an important addition to the dataset of normal faulting earthquakes. The basic objective of this proposed research is to invert the strong motion regional seismograms GPS vectors and InSAR data to determine the kinematic parameters that describe the faulting. We will then use that faulting model to predict the broadband ground motion by summing empirical Green‚Äôs functions based on the aftershocks recorded on the accelerographs. For the mainshock we have obtained all of the strong motion data all of the regional broadband seismograms and the regional 3D velocity structure in a 100 km x 100 km area that encompasses the epicentral region. Through our cooperation with Italian scientists (M. Cocco and R. Paolucci) at Istituto Nazionale di Geofisica e Vulcanologia (INGV) in both Rome and Milano we will obtain the GPS and InSAR data. Focal mechanisms have already been published for the aftershocks with ML 4.0. To get a better description of the velocity structure in the epicentral region we will collaborate with an Italian scientist (G. De Luca) at the National Laboratory of Gran Sasso of National Institut of Nuclear Physics who has been operating a local seismic array in the Aterno Valley and has published on the local velocity structure and site effects. With these data we have the fundamental building blocks to start our analysis. Care has to be taken in various steps of the analysis and multiple approaches are possible for each step. We will explore various approaches and perform comprehensive analysis for this important normalfaulting data set. We will use two different nonlinear inversion methods [Ji et al. 2002; Liu and Archuleta 2004] to invert the data. We will include the static measurements (GPS and InSAR) in a two-step approach vis-aÃÄvis Page et al. [2009] and CustoÃÅdio et al. [2009] and also as a joint inversion vis-aÃÄ-vis Ji et al. [2002]. Given the excellent InSAR data it will be important to determine what constraints it puts on the temporal evolution of the faulting. It is well documented that many different faulting models can produce equally good low-frequency waveform fits to the seismic data. The critical questions revolve around how the velocity structure the station distribution the band-limited data etc. produce uncertainty in the spatial and temporal parameters of the faulting model. We will address these questions as we find the faulting models that are consistent with all the data. The faulting models found by inversions are limited to low frequencies generally a maximum around 1.0 Hz. By using isochrones we will do forensics on the models to evaluate their ability to predict the timing and relative amplitudes of peak velocities and acceleration. This will provide an independent check on the rupture velocity and spatial distribution of slip. To complete the study we will use aftershocks as empirical Green‚Äôs functions. We will sum the empirical Green‚Äôs functions weighted by the slip distribution and with the rupture time that was determined from the inversion. With this approach we can generate broadband synthetic time histories forcomparison with the data. We will use Fourier amplitude spectra and Husid plots to evaluate the comparison between synthetics and the data.,2010,2011
Douglas Burbank,1/1/10,12/31/11,"$57,838 ",US Department of Interior,Federal agencies,G10AP00015,Temporal Patterns of Fault Slip Rates on the Genoa Fault,A deeper understanding of the temporal and spatial dynamics of faults and the associated seismicity requires knowledge of the timing rate and spatial variation of tectonic processes that control the deformation. A fundamental assumption that underpins many brittle crustal deformation models is that tectonic rates are steady once integrated across a sufficient number of seismic events. Short-term interseismic deformation rates are commonly assumed to be constant across time and space and therefore can be used to predict long-term deformation patterns. We know that this assumption may well be inaccurate on million-year time scales but the ‚Äústeady rate‚Äù assumption remains largely untested at shorter time scales. Thus a tantalizing but unanswered question persists: Do deformation rates accelerate and decelerate at scales of 102 to 105 years? Using an integrated geomorphic-paleoseismic-geodetic approach our team proposes to focus on answering this question in a spatially-restricted and well-mapped region where we can quantify a record of fault-related deformation over the past 103-105 yr along the Genoa fault at the eastern boundary of the central Sierra Nevada California-Nevada. The Genoa fault is experiencing some of the highest strain rates and fastest Holocene slip rates in the western Great Basin. Whereas this fault has been the site of at least two pre-historic Holocene earthquakes M>7 its long-term slip rate history is poorly known. Over 10- to 200-ky time scales our proposed geomorphic approach is to quantify fault displacements of multiple geomorphic features including glacial outwash terraces and alluvial fans and to determine the age of those features using cosmogenic radionuclide (CRN) exposure dating techniques. By comparing offsets of different ages along individual fault segments and modeling their slip rates we will define how the locus magnitude and rate of fault slip changes through time. Paleoseismic trench studies (funded by NEHRP through our FY09 proposal) will reduce uncertainty concerning how these geomorphic offsets are produced by fault rupture. Presently funded paleoseismic excavations and mapping were an appropriate first step in constraining strain in this region and this trench data will offer a unique opportunity to compare timing of earthquake events displacement magnitude/event and geometry of underlying faults to the slip- rates calculated from offset geomorphic features (proposed in this study) on the southern segment of the Genoa fault. By integrating geologic and paleoseismic datasets we will be able to investigate what frequency and magnitudes of earthquake rupture were required to build observed geomorphic offsets. These data will be compared to modern geodetic deformation rates from a dense local GPS network in order to test models of the earthquake cycle. Despite numerous past studies the 104-105 yr time span has been poorly explored due either to the paucity of dating techniques with sufficient resolution in this interval or to the absence of datable materials. CRN dating of surface boulders and depth profiles will allow more accurate high-resolution chronologies to be developed for numerous geomorphic features that are deformed by active faults in this temporal (104-105 yr) window. This proposal intentionally focuses on field sites where slip rates are modest (generally 1-3 mm/yr). In such a region the use of multiple displaced markers with high-resolution dates will permit a robust discrimination of temporal changes in fault behavior. On rapidly moving faults temporal resolution is typically insufficient to unambiguously discriminate among such geomorphic displacement rates. Our late Quaternary data will synthesized with Holocene paleoseismic (102-103 yr) and modern geodetic rates in this same region thereby providing tests of key assumptions about the temporal constancy of slip rates.,2010,2011
Patricia Holden,4/1/10,7/31/11,"$18,986 ",US Geological Survey,Federal agencies,G10PX01310,Microbial Communities in Malibu Lagoon,Malibu CA is a southern California coastal community whose domestic wastewater is managed through on-site treatment. The US Geological Survey (USGS) Research contracted with the Holden Lab at University of California Santa Barbara (UCSB) to perform microbial community analysis of water samples in the Fall of 2009 for a prior study of the Malibu Lagoon. Because microbial communities may be altered by the introduction of effluent or wastewater (i.e. via direct inoculation of waste-associated microbes or via introduction of nutrients or other chemicals that could exert selective pressures on indigenous populations) and because microbial communities can be interrogated using culture-independent methods yielding dense datasets (amenable to powerful statistical analysis by multivariate methods) assaying microbial community composition from water samples at suspected impacted positive control and negative control sites can comparatively reveal the degree of impact. The objective of this project was to analyze microbial communities that exist in water samples collected by the USGS at Malibu Lagoon in the spring of 2010. The microbial community analysis data were provided to the USGS for their statistical analysis and for comparison to other datasets they generated. The community analysis approach used here was Terminal Restriction Fragment Length Polymorphism (TRFLP) analysis; additionally one other DNA-based source tracking method (qPCR of a human-specific Bacteriodales gene) and qPCR of Enterococcus sp. were applied to extracted DNA to aid in assessing fecal contamination of the water samples. The research is now published in the Annals of Environmental Science (Izbicki et al. 2012 V6 pp. 35-86).,2010,2011
Ralph Archuleta,7/1/11,12/31/11,"$15,000 ",US Department of Interior,Federal agencies,G11AP20186,The Fourth ESG International Symposium ,The Fourth ESG International Symposium will address current issues in earthquake ground motion prediction with an emphasis on the effects of surface geology on seismic motion. ESG4 will present recent studies taking into account advances in research since 2006 and help to guide future studies of the effects of surface geology on seismic motion. We expect approximately 200 persons. Attendees will be an international group of earthquake scientists and engineers (and students) who will speak on diverse topics from the state of the art of ground motion research and practice.,2011,2011
John Cottle,2/28/12,7/31/14,"$67,095 ",US Geological Survey,Federal agencies,G12AP20049,Evaluating Mechanisms for Rare Earth Phosphate Mineralization in the Proterozoic Pinto Gneiss Music Valley Eastern Mojave California,Music Valley lies immediately to the north and east of Joshua Tree National Park in the Mojave desert of eastern California. The study area lies within the Valley Mountain and Hexie Mountains 15‚Äô quadrangles mapped at 1:62500 scale by Dibblee (2008). The Twentynine Palms Mountain and Fried Liver Wash 7.5‚Äô quadrangles provide 1:24000 topographic base for more detailed mapping and targeted sample collection. Field work will involve sample collection of at least 50 bulk rock and 20 alluvial samples from the several previously mapped deposits including the U- Thor Uranus 2-6 Baby Blue and Hansen and other deposits delineated by Evans (1964). GPS location field relations and photographs to indicate the precise location and context of the samples will also be collected. In addition this study will employ a multi-faceted petrologic geochemical and geochronologic approach to determine the mechanism of rare earth phosphate mineralization. The proposed tools for this research include U-Th-Pb geochronology in-situ Sm/Nd isotope geochemistry trace element analysis and chemical mapping of xenotime and monazite grains. Sampling strategy: 50 bulk rock samples: host gneisses as well as leucosomes inside and outside of the Th-anomaly and at several of the deposits identified by Evans (1964) will be collected for further analysis during year 1 of the project. In addition 20 alluvial samples will be collected in order to make a reconnaissance assessment over a wider to assess the likely spatial extent of the deposit. Analysis will begin with detailed petrographic thin section analysis of bulk rock samples. From this it will be determined which samples contain sufficient REE-phosphates for further study (we anticipate making detailed analyses of a subset of the most appropriate 25- 30 samples over the two year period). Chemical Petrography: To characterize zoning patterns in xenotime and monazite chemical mapping by two electron microbeam instruments will be carried out. Preliminary mapping of monazite and xenotime inclusions will be done on a FEI Quanta scanning electron microscope (SEM) equipped with a back-scattered electon detector (BSE). This will allow for the rapid location and identification of monazite and xenotime grains as well as an initial view to the internal zoning patterns. Following this initial screening x-ray maps of individual grains will be produced using a Cameca-SX100 electron probe micro analyzer (EPMA) equipped with five spectrometers to measure Y Th U La Pb and Nd zoning patterns. Distinguishing between zones of different chemical composition will be crucial for in-situ laser ablation. We expect the majority of chemical petrography to be complete by the end of year one.,2012,2014
Chris Sorlien,5/1/12,4/30/13,"$56,267 ",US Department of Interior,Federal agencies,G12AP20069,Plio-Quaternary Reactivation of Miocene Faults by the Newport-Inglewood-Rose Canyon- San Mateo-Carlsbad-Descanso-Coronado Bank Fault System: Newport Beach to San Diego California,"In addition to hazard to coastal cities including San Diego, the San Onofre Nuclear Generating Station is located on late Cenozoic sedimentary rocks in the hanging-wall above a right-reverse oblique part of the San Mateo-Carslbad fault (or, alternatively, above the Oceanside thrust). The maximum earthquake magnitude expected on a fault depends in part on its geometrical continuity. In the California near-shore Inner Borderland, there are rather important differences in interpreted fault geometry and continuity, slip type, age of deformed strata, and thus fault activity. These interpretations are available in reports and publications, from 2009 and 2010. Fault databases currently do not take into account certain recent interpretations. For example, the Descanso fault has been mapped from far south in Mexican waters to 5 km offshore San Diego. An additional 30 km of this fault continues northwest of where it has been mapped before. There, it is kinematically and geometrically linked to the 70 km-long San Mateo-Carlsbad fault, which in turn is part of a 3D “Flower Structure” with the Newport-Inglewood fault. An order of magnitude difference in published or reported estimated ages of Quaternary strata implies a 10 times difference in modeled slip rates.",2012,2013
Phil Gans,4/1/14,3/31/15,"$25,677 ",US Geological Survey,Federal agencies,G14AC00080,Geological Mapping of the Southwestern Whipple Mountains and Eastern Mopah Range Southeastern California: Unraveling the Eruptive and Structural History of a Synextensional Miocene Volcanic Center,The lower Colorado River Extensional Corridor (CREC) is a premier natural laboratory for investigating large-magnitude continental extension. This proposal requests funds to facilitate two graduate student geologic mapping projects within the breakaway region of the CREC in southeastern California. The primary goals of this project are to: a) produce publishable digital geologic maps ‚Äì a context map at 1:24000-scale and two inset maps at 1:10000 - with cross- sections and supporting data allowing us to answer important scientific questions in the process and b) to train two graduate students in the making of high-quality geologic maps and conducting field-based geological research. The students will map two independent but complementary areas: Mary Kate Fidler (Ph.D.) will map a 80 km2 area of faulted and tilted volcanic successions in the SW Whipple Mountains and eastern Mopah Range with the goal of understanding the detailed eruptive and faulting history of the shallow levels of the core complex. Beau Gentry (MS) will map a 50 km2 area in the Whipple Mountains that includes an extensive Miocene dike swarm in the footwall of the core complex with the goal of assessing the amount of tilting and intrusive dilation. In addition both students and PI will map the enveloping 200 km2 area at 1:24000 to provide geologic context. Our proposed study area is being actively explored for detachment- hosted gold and rare earth element mineral deposits and this new data will be invaluable to these efforts. The PI will train and mentor the two graduate students during all phases of the project which will primarily involve detailed mapping and field based structural and stratigraphic analysis. The mapping will form the basis for two graduate theses that will also include extensive petrologic 40Ar/39Ar and U-Pb geochronologic studies funded by other sources.,2014,2015
