pis,start,end,amount,agency,relationship,id,title,funded,start-year,end-year
Brad Hacker,9/1/14,8/31/17,"$173,765 ",National Science Foundation,Federal agencies,EAR-1419751,Collaborative Research: Did the Pamir gneiss domes and salient form by northward underthrusting of India or southward subduction and rollback of Asia?,y,2014,2017
Laura Hess,12/14/18,2/28/20,"$35,837 ",National Science Foundation,Federal agencies,1851993,Balancing biodiversity conservation with development in Amazon wetlands,y,2018,2020
Matthew Jackson,7/1/16,6/30/19,"$299,928 ",National Science Foundation,Federal agencies,1624840,Preservation of Hadean geochemical signatures in the Icelandic high 3He/4He mantle domain,y,2016,2019
Matthew Jackson,8/15/17,7/31/20,"$299,756 ",National Science Foundation,Federal agencies,1736984,Origin of highly heterogeneous 87Sr/86Sr in melt inclusions from oceanic hotspot lavas,y,2017,2020
Matthew Jackson,5/1/19,4/30/22,"$98,714 ",National Science Foundation,Federal agencies,1900652,Collaborative Proposal:Deciphering the LLSVP-plume relationship,y,2019,2022
Matthew Jackson,8/1/14,7/31/17,"$37,702 ",National Science Foundation,Federal agencies,EAR-1347377,Collaborative Research: The role of oxygen fugacity in calc-alkaline differentiation and the creation of continental crust at the Aleutian arc,y,2014,2017
Matthew Jackson,6/1/14,12/31/15,"$111,566 ",National Science Foundation,Federal agencies,EAR-1348082,Collaborative Research: Using sulfur isotopes to identify subducted Archean crust in modern oceanic hotspot lavas,y,2014,2015
Matthew Jackson John Cottle Brad Hacker Matthew Rioux Syee Weldeab,9/1/14,12/31/19,"$524,244 ",National Science Foundation,Federal agencies,EAR-1429648,MRI: Acquisition of a Thermal Ionization Mass Spectrometer (TIMS) for high-precision research of the Earth's mantle crust and oceans,y,2014,2019
Matthew Jackson,9/2/13,1/31/15,"$99,395 ",National Science Foundation,Federal agencies,EAR-1430610,Isotopic diversity in Mangaia melt inclusions: Mantle source or crustal assimilation?,y,2013,2015
Matthew Jackson,7/1/13,9/30/15,"$184,293 ",National Science Foundation,Federal agencies,OCE-1153894,Collaborative Research: Using the Rurutu hotspot to evaluate mantle motion and absolute plate motion models,y,2013,2015
Charles Jones Leila Carvalho,7/15/11,6/30/16,"$466,314 ",National Science Foundation,Federal agencies,AGS-1053294,The Madden-Julian Oscillation and Predictability of Extreme Precipitation in the United States,y,2011,2016
Arturo Keller,9/15/15,2/29/16,"$2,479 ",National Science Foundation,Federal agencies,1554142,International travel to participate as reviewer for the third joint transnational call of the ERA-NET SIINN,y,2015,2016
Arturo Keller,8/1/17,7/31/18,"$25,000 ",National Science Foundation,Federal agencies,1748352,Sustainable Nanotechnology Conference,y,2017,2018
Arturo Keller,5/15/19,4/30/22,"$389,981 ",National Science Foundation,Federal agencies,1901515,"Developing and Integrating ""-Omic"" Tools to Elucidate Nanoparticle Transport Mechanism and Responses in Agricultural Crops Overview",y,2019,2022
Arturo Keller,8/1/13,7/31/14,"$45,000 ",National Science Foundation,Federal agencies,CBET-1343638,Second Sustainable Nanotechnology Conference (2013),y,2013,2014
Arturo Keller Patricia Holden Hunter Lenihan Barbara Harthron Galen Stucky Roger Nisbet Bradley Cardinale Joshua Schimel William Freudenburg Ed McCauley Sangwon Suh,9/1/08,8/31/14,"$8,250,820 ",National Science Foundation,Federal agencies,SB090050,CEIN (2008-2014) Predictive Toxicological Assessment and Safe Implementation of Nanotechnology in the Environment,y,2008,2014
Arturo Keller Patricia Holden Hunter Lenihan Galen Stucky Joshua Schimel Roger Nisbet Sangwon Suh Robert Miller Barbara Harthorn,9/1/13,8/31/20,"$5,384,336 ",National Science Foundation,Federal agencies,SB140059,CEIN (2013-2018) Predictive Toxicological Assessment and Safe Implementation of Nanotechnology in the Environment,y,2013,2020
Bruce Kendall,8/1/11,7/31/15,"$260,763 ",National Science Foundation,Federal agencies,DEB-1120865,Collaborative Research: Demographic heterogeneity in landscapes and communities,y,2011,2015
Francis MacDonald,9/1/18,8/31/20,"$91,191 ",National Science Foundation,Federal agencies,1916698,Collaborative Research: Did the Formation of the Great Unconformity Trigger Oxygenation and the Cambrian Explosion?,y,2018,2020
Francis MacDonald,11/1/18,5/31/20,"$77,882 ",National Science Foundation,Federal agencies,1927851,COLLABORATIVE RESEARCH: Testing proposed rapid true polar wander in the Neoproterozoic Zavkhan Volcanics of Mongolia and the Banxi Group of South ChinaFinalize paleomagnetic and geochronologic analyses,y,2018,2020
Sally MacIntyre,9/1/09,8/31/15,"$407,061 ",National Science Foundation,Federal agencies,DEB-0919603,Collaborative Research: Arctic to the Amazon: Physical Processes Controlling Gas Exchange from Freshwater Ecosystems,y,2009,2015
Sally MacIntyre,9/1/09,8/31/15,"$7,494 ",National Science Foundation,Federal agencies,DEB-0919603,Collaborative Research: Arctic to the Amazon: Physcical Processes Controlling Gas Exchange from Freshwater Ecosystems,y,2009,2015
Robin Matoza,8/1/15,7/31/20,"$220,000 ",National Science Foundation,Federal agencies,1446543,Characterizing fault zones at Kilauea & Mauna Loa volcanoes by large-scale mapping of earthquake stress drops and focal mechanisms,y,2015,2020
Robin Matoza,5/11/15,7/31/16,"$63,493 ",National Science Foundation,Federal agencies,1546139,Collaborative Research: Constraining Volcanic Jet Dynamics with Infrasound Using Numerical and Empirical Models,y,2015,2016
Robin Matoza,6/1/16,5/31/20,"$261,778 ",National Science Foundation,Federal agencies,1614855,Collaborative Research: Quantifying explosive volcanism in Alaska using seismo-acoustic wavefields recorded by USArray,y,2016,2020
Robin Matoza,3/1/17,2/29/20,"$290,000 ",National Science Foundation,Federal agencies,1620576,Investigating the seismic signatures of volcanic unrest and eruption: Spatiotemporal distribution and source origin of tiny long-period seismicity,y,2017,2020
Robin Matoza,6/1/19,5/31/24,"$387,073 ",National Science Foundation,Federal agencies,1847736,CAREER: Seismo-acoustic signatures of volcanic unrest and eruption: Local. Regional and Remote,y,2019,2024
John Melack Sally MacIntyre,7/1/18,6/30/21,"$564,136 ",National Science Foundation,Federal agencies,1753856,Aquatic metabolism and carbon dioxide flux: Linking physical and biological processes in Amazon floodplains,y,2018,2021
John Melack,9/1/12,8/31/19,"$182,476 ",National Science Foundation,Federal agencies,DEB-1242594LTREB,Renewal-Collaborative Research: Responses of High Elevation Aquatic Ecosystems to Interannual Climate Variability,y,2012,2019
Kristin Morell,4/15/18,3/31/21,"$285,581 ",National Science Foundation,Federal agencies,1756943,Collaborative Research: Permanent forearc strain partitioning in Northern Cascadia,y,2018,2021
Kristin Morell Edward Keller Thomas Dunne,3/1/18,2/28/19,"$20,470 ",National Science Foundation,Federal agencies,1830169,The nature and physics of the Montecito debris flows of January 9 2018 increasing community resiliency to debris flow hazards,y,2018,2019
Nicholas Nidzieko,7/1/16,7/31/17,"$11,657 ",National Science Foundation,Federal agencies,1745258,Collaborative Research: Circulation and mixing in a coastally trapped river plume,y,2016,2017
Ryoko Oono Katja Seltmann,9/1/18,8/31/20,"$199,779 ",National Science Foundation,Federal agencies,1841715EAGER,Does host specificity drive species diversification of fungal endophytes?,y,2018,2020
Ryoko Oono,9/1/18,8/31/20,"$9,000 ",National Science Foundation,Federal agencies,1841715,EAGER: Does host specificity drive species diversification of fungal endophytes?,y,2018,2020
Susannah Porter,5/1/13,4/30/15,"$40,000 ",National Science Foundation,Federal agencies,EAR-1251959,Collaborative Research: Estimating the Tempo of the Cambrian Explosion,y,2013,2015
Susannah Porter,9/1/14,8/31/19,"$421,588 ",National Science Foundation,Federal agencies,EAR-1411594,Collaborative Research: Toward a global timeline of biological and ocean geochemical change during the early Cambrian,y,2014,2019
Simone Pulver,1/1/16,8/31/20,"$349,308 ",National Science Foundation,Federal agencies,1534976,Egregious Polluters: A socially-structured explanation of disproportionality in the production of pollution,y,2016,2020
Matthew Rioux,8/1/16,7/31/20,"$210,557 ",National Science Foundation,Federal agencies,1636678,Collaborative Research: The four-dimensional distribution of magmatism during the growth of lower oceanic crust: High precision U-Pb dating of IODP Hole U1473A Atlantis Bank SWIR,y,2016,2020
Matthew Rioux,4/15/17,3/31/20,"$231,072 ",National Science Foundation,Federal agencies,1650407,Formation of the metamorphic sole of the Semail ophiolite: High-precision U-Pb dating of the preserved remnants of a subducted slab,y,2017,2020
Matthew Rioux,2/1/13,1/31/16,"$218,043 ",National Science Foundation,Federal agencies,EAR - 1250522,Timescales of development of sub-ophiolite subduction: High precision U-Pb dating and geochemical characterization of late magmatism and metamorphism in the Oman-U.A.E. ophiolite,y,2013,2016
Matthew Rioux,2/15/12,7/31/14,"$35,046 ",National Science Foundation,Federal agencies,OCE-1144648,Collaborative Research: Plutons as ingredients for continental crust: Pilot study of the differences between intermediate plutons and lavas in the intra-Aleutian arc,y,2012,2014
Dylan Rood,9/15/11,8/31/15,"$89,382 ",National Science Foundation,Federal agencies,1103532,Collaborative Research: Synchronizing ther North American Varve Chronology and the Greenland Ice Core Record Using Meteoric 10-BE-Flux,y,2011,2015
Dylan Rood,9/15/11,8/31/16,"$150,017 ",National Science Foundation,Federal agencies,1114436,Collaborative Research: Deciphering Connections Among Land Management Soil Erosion and Sediment Yield in Large River Basins,y,2011,2016
Roberta Rudnick John Cottle,2/15/17,1/31/20,"$394,453 ",National Science Foundation,Federal agencies,1650260,U-Pb thermochronology of lower crustal xenoliths -- estimating Moho temperature in order to constrain crustal heat production,y,2017,2020
Roberta Rudnick,2/1/18,1/31/20,"$138,655 ",National Science Foundation,Federal agencies,1757313,Chalcophile Element Geochemistry,y,2018,2020
Joshua Schimel Patricia Holden,5/1/12,4/30/16,"$607,635 ",National Science Foundation,Federal agencies,DEB-1145875,Collaborative Research: Controls over C Sequestration: Physiology vs. Physics,y,2012,2016
Joshua Schimel,7/1/14,6/30/19,"$704,320 ",National Science Foundation,Federal agencies,PLR-1417758,Does E. vaginatum take up organic N?,y,2014,2019
David Siegel Norm Nelson,1/1/11,12/31/14,"$765,235 ",National Science Foundation,Federal agencies,1040502,MRI: Development of Novel Profiling Buoy Technology for Satellite Ocean Color Calibration and Data Product Validation,y,2011,2014
David Siegel Rachel Simons Bruce Kendall,2/1/12,1/31/16,"$370,141 ",National Science Foundation,Federal agencies,OCE-1155813,Quantifying the importance of biological factors in the estimation of larval connectivity and population dynamics in the coastal ocean,y,2012,2016
Alexander Simms,9/1/17,8/31/21,"$260,571 ",National Science Foundation,Federal agencies,1644197,Collaborative Research: New Constraints on Post-Glacial Rebound and Holocene Environmental History along the Northern Antarctic Peninsula from Raised Beaches,y,2017,2021
Michael Singer Kelly Caylor,8/1/17,7/31/20,"$396,566 ",National Science Foundation,Federal agencies,1700555,Collaborative Research: Impacts of Dynamic Climate-Driven Water Availability on Tree Water Use and Health in Mediterranean Riparian Forests,y,2017,2020
Michael Singer,1/1/13,12/31/16,"$96,466 ",National Science Foundation,Federal agencies,EAR - 1226741,Collaborative Research: Establishing Process Links Between Streamflow Sediment Transport/Storage and Biogeochemical Processing of Mercury,y,2013,2016
Christopher Sorlien,10/1/15,9/30/18,"$87,059 ",National Science Foundation,Federal agencies,1537719,Collaborative Research: The North Anatolian Fault system in the Marmara Sea Turkey - Insights from the Plio-Quaternary evolution of a multi-stranded transform,y,2015,2018
Christopher Sorlien Bruce Luyendyk,1/1/14,12/31/17,"$170,539 ",National Science Foundation,Federal agencies,PLR-1341585,Subsidence Tilting Sedimentation and Oligocene-middle Miocene paleo-depth of Ross Sea,y,2014,2017
Frank Spera,2/15/16,7/31/19,"$251,997 ",National Science Foundation,Federal agencies,1551056,Collaborative Research: Thermodynamics of magma mixing,y,2016,2019
Samantha Stevenson,7/1/18,6/30/20,"$341,402 ",National Science Foundation,Federal agencies,1805143,Collaborative Research: A Model/Proxy Synthesis of Walker Circulation Trends During the Last Millennium,y,2018,2020
Sangwon Suh,3/15/13,2/28/15,"$99,795 ",National Science Foundation,Federal agencies,20130851,Impact of shale gas on renewable energies,y,2013,2015
Christina Tague Sarah Anderson Andrew Plantinga,9/1/15,8/31/20,"$1,724,821 ",National Science Foundation,Federal agencies,1520847,Hazards SEES: Land Management Strategies for Confronting Risks and Consequences of Wildfire,y,2015,2020
Toshiro Tanimoto,3/1/16,2/29/20,"$197,763 ",National Science Foundation,Federal agencies,1547523,Extreme Interaction Between Atmosphere and Solid Earth: Understanding the Forcing Mechanism by Hurricanes and its Application for Monitoring,y,2016,2020
Jennifer Thorsch,9/1/10,8/31/15,"$214,305 ",National Science Foundation,Federal agencies,DBI-0956281,Collaborative Proposal: Harnessing the Power of Herbarium Specimens to Understand the Changing Flora of a Biodiversity,y,2010,2015
Leila Carvalho Charles Jones Richard Church Alan Murray Dar Roberts,8/1/17,7/31/20,"$1,508,987 ",National Science Foundation,Federal agencies,1664173,PREEVENTS Track 2: Understanding Extreme Fire Weather Hazards and Improving Resilience in Coastal Santa Barbara California,y,2017,2020
Jamison Steidl,10/1/11,9/30/15,"$75,012 ",Northeastern University,Institutes of higher education,501947-78052,Induced-Partial Saturation Through Transport and Reactivity for Liquefaction Mitigation,y,2011,2015
Nicholas Nidzieko,7/1/16,9/30/16,"$188,794 ",Northrop Grumman Corporation,"Private agencies, foundations",8200199216,Annual Naval Technology Demonstration,y,2016,2016
Jamison Steidl,5/1/15,9/29/17,"$532,627 ",Nuclear Regulatory Commission,Federal agencies,NRC-HQ-60-15-C-0001,Observations and Analysis of Geotechnical Array Data,y,2015,2017
Leonel Romero,7/1/16,6/30/19,"$259,538 ",Office of Naval Research,Federal agencies,N00014-16-1-2936,Numerical Modeling of Wave-Current interactions in the Presence of Submesoscale Ocean Features,y,2016,2019
Arturo Keller,3/31/11,3/30/16,"$103,713 ",Ohio Water Development Authority,California state and municipal agencies,SB110060,Water Quality Modeling of the Ohio State Component of the Ohio River Basin Water Quality Trading Program,y,2011,2016
J. Ohlmann,3/15/11,2/28/15,"$252,733 ",Oregon State University,Institutes of higher education,S1364A-A,DYNAmics of the Madden-Julian Oscillation / DYNAMO Subsurface Fluxes,y,2011,2015
David Siegel,6/30/14,6/29/17,"$223,248 ",Oregon State University,Institutes of higher education,NS257A-A,MODIS-based phytoplankton carbon and photoacclimation: responses to climate variability,y,2014,2017
Lisa Stratton,1/1/14,1/31/15,"$10,000 ",Outhwaite Foundation,"Private agencies, foundations",SB140075,Ellwood-Devereux Connecting the Community & Nature,y,2014,2015
Lisa Stratton,2/1/15,11/30/15,"$6,500 ",Outhwaite Foundation,"Private agencies, foundations",SB150075,Ellwood-Devereux Connecting the Community with Nature,y,2015,2015
Ranjit Deshmukh,1/1/19,12/31/20,"$199,605 ",Oxford Policy Management,"Private agencies, foundations",A0534A,Accelerating large-scale renewable energy deployment in Southern Africa by bridging analysis and application through decision support tools,y,2019,2020
John Melack,9/1/13,8/31/18,"$411,216 ",Pennsylvania State University,Institutes of higher education,4916-USB-DOE-0620,Scale-aware Improved Hydrological and Biogeochemical Simulations of the Amazon Under a Changing Climate,y,2013,2018
Kelly Caylor,8/1/16,8/21/17,"$27,518 ",Princeton University,Institutes of higher education,SUB0000189Hazards,SEES: Understanding cross-scale interactions of trade and food policy to improve resilience to drought risk in Zambia,y,2016,2017
Jamison Steidl,10/1/09,11/30/14,"$2,613,461 ",Purdue University,Institutes of higher education,NEES-4101-31902,NEES Consortium Operations: 2004-2014,y,2009,2014
James Frew,8/30/18,8/29/20,"$233,470 ",Rilee Systems Technologies,"Private agencies, foundations",80NSSC18M0118-1,STARE: SpatioTemporal Adaptive- Resolution Encoding,y,2018,2020
Leila Carvalho,4/1/16,3/31/18,"$70,784 ",Rutgers University,Institutes of higher education,5898,The precipitation response to ENSO over Tropical South America: spatial and temporal heterogeneity and the role of the land surface,y,2016,2018
Roland Knapp,4/1/18,3/31/19,"$4,372 ",San Francisco Zoo,"Private agencies, foundations",SB170145,Disease Assays For Frog Captive-Rearing Program San Francisco Zoo,y,2018,2019
Joel Michaelsen Lisa Stratton,3/1/16,6/30/17,"$18,000 ",Santa Barbara County,California state and municipal agencies,SB170097,North Campus Open Space (NCOS) Public Access Design Project,y,2016,2017
Lisa Stratton,3/1/16,5/31/18,"$18,000 ",Santa Barbara Foundation,"Private agencies, foundations",SB160074,Restoration of the Eastern Mesa Top at Campus Point Along the CA Coastal Trail,y,2016,2018
Joan Florsheim,11/21/16,6/30/20,"$125,000 ",Sonoma County Agricultural Preservation and Open Space District,"Private agencies, foundations",1016,Biophysical Approach Toward Riparian Conservation and Floodplain Ecosystem Functionality,y,2016,2020
Patricia Holden,1/1/14,1/31/16,"$194,209 ",Southern California Coastal Water Research Project (SCCWRP),California state and municipal agencies,9406,Determination of DNA-based Fecal Marker Aging Characteristics for Use in Quantitative Microbial Source Tracking,y,2014,2016
Joel Michaelsen Lisa Stratton,1/1/17,12/31/41,"$29,900 ",Southern California Wetlands Recovery Project,California state and municipal agencies,16-051,Whittier Channel Restoration,y,2017,1941
Joel Michaelsen Lisa Stratton,5/27/14,12/31/18,"$869,300 ",State Coastal Conservancy,California state and municipal agencies,13-115,North Campus Open Space Restoration (previously named Upper Deveroux Slough) Project Planning Phase UCSB,y,2014,2018
Joel Michaelsen Lisa Stratton,5/27/15,3/31/18,"$650,000 ",State Coastal Conservancy,California state and municipal agencies,13-115,North Campus Open Space Restoration (previously named Upper Devereux Slough) Project Planning Phase UCSB,y,2015,2018
Joel Michaelsen Lisa Stratton,1/1/17,12/31/21,"$980,000 ",State Coastal Conservancy,California state and municipal agencies,16-044,North Campus Open Space Vernal Pool Complex Restoration Project,y,2017,2021
Joel Michaelsen Lisa Stratton,1/1/17,12/31/21,"$692,463 ",State Coastal Conservancy,California state and municipal agencies,16-044,North Campus Open Space Vernal Pool Complex Restoration Project,y,2017,2021
Joel Michaelsen Lisa Stratton,1/1/17,12/31/41,"$1,203,126 ",State Coastal Conservancy,California state and municipal agencies,16-051,North Campus Open Space Wetland Transition,y,2017,1941
Michael Singer Dar Roberts,4/1/17,12/31/20,"$302,235 ",State University of New York (SUNY),Institutes of higher education,550-1142143-79134,Linking basin-scale stand-level and individual tree water stress indicators for groundwater-dependent riparian forests in multiple-use river basins,y,2017,2020
John Melack,11/1/18,9/30/19,"$15,130 ",Tahoe Regional Planning Agency,California state and municipal agencies,19C00008,Decision Support Framework (DSF) for the Upper Truckee River Watershed  Phase I,y,2018,2019
Katja Seltmann,10/1/16,9/30/19,"$112,749 ",The Institute of Museum and Library Services IMLS,Federal agencies,MA-30-16-0387-16,Upgrade of the historical Wenner insect collection: Utilizing collection data in Restoration Ecology,y,2016,2019
Jennifer Thorsch Samuel Sweet,8/1/11,7/31/14,"$80,655 ",The Institute of Museum and Library Services IMLS,Federal agencies,MA-05-11-0256-11,Vertebrate Collections Management Project,y,2011,2014
Jennifer Thorsch,10/1/13,9/30/14,"$99,374 ",The Institute of Museum and Library Services IMLS,Federal agencies, MA-30-13-0466-33,Digitization of the UCSB Vascular Plant Collection,y,2013,2014
Michael Singer,2/26/18,6/15/19,"$31,371 ",The Nature Conservancy,"Private agencies, foundations",07282017-4691,Assessing Riparian Forest Water Sources in the Santa Clara River Basin,y,2018,2019
Michael Singer,2/26/18,1/31/20,"$37,300 ",The Nature Conservancy,"Private agencies, foundations",07282017-4691,Assessing Riparian Forest Water Sources in the Santa Clara River Basin,y,2018,2020
Ned Bair,3/1/18,2/28/21,"$85,489 ",The Regents of the University of Colorado,UC-wide,1556287,Optimizing the Indus Basin Irrigation System and reservoir operations using remotely sensed snow surface properties in the ParBal model,y,2018,2021
Chen Ji,8/15/14,1/31/15,"$54,630 ",Total S.A. (France),"Private agencies, foundations",SB150037,Collaborative Project Between Total and University of California Santa Barbara: Developing and testing a method to simultaneously inverting moment tensor solutions and locations for micro-seismic events near a high velocity interface,y,2014,2015
Joseph Blankinship Joshua Schimel,6/1/15,2/29/16,"$9,255 ",UC Center for Water Resources/UC Riverside,UC-wide,SA11-885-NIWR-BLANKINSHIP,Using soil exopolysaccharides (EPS) to make California grapes more drought-adapted,y,2015,2016
Joseph Blankinship Joshua Schimel,3/1/16,2/28/17,"$12,396 ",UC Center for Water Resources/UC Riverside,UC-wide,SA15-2997-CA358B2016CA358B,Using soil exopolysaccharides (EPS) to make California grapes more drought-adapted,y,2016,2017
Patricia Holden,1/1/17,12/31/19,"$209,151 ",UC Irvine,UC-wide,2017-3429,Fighting Drought with Stormwater: From Research to Practice,y,2017,2019
Christina Tague ,9/1/12,8/31/14,"$79,542 ",UC Merced,UC-wide,20121104,The California Critical Zone Observatory,y,2012,2014
Christina Tague,10/1/13,9/30/19,"$348,546 ",UC Merced,UC-wide,EAR-1331939,Southern Sierra Critical Zone Observatory,y,2013,2019
Gary Libecap Christopher Costello Andrew Plantinga Olivier Deschenes Paulina Oliva Vallejo Kyle Meng,1/1/15,12/31/17,"$283,780 ",UC Office of the President,UC-wide,MR-15-328650,Legal Economic Data and Analysis of Environmental Markets,y,2015,2017
Erin Bray Thomas Dunne,12/1/14,12/31/15,"$64,785 ",UC Sea Grant College Program,UC-wide,,How Hydrologic Processes Geomorphological Processes and their Interactions in Gravel Rivers Sustain the Extent and Quality of Chinook Salmon (Oncorhynchus tshawytscha) Spawning Habitat During Managed Flow Regimes,y,2014,2015
Edward Keller,1/19/16,12/30/16,"$9,264 ",UC Sea Grant College Program,UC-wide,R/HCME-31PD-F,The Impact of Sea-Level Rise on Coastal Erosion: Using the Coming 2015-2016 El Niño as a Surrogate for 50-100 years of Expected Sea-Level Rise in Central California,y,2016,2016
Leonel Romero,6/17/15,10/31/15,"$26,856 ",University Corp For Atmospheric Research - Ucar,Institutes of higher education,Z15-13065,Numerical Modeling of Non-Equilibrium Wind-Waves in the Southern Ocean,y,2015,2015
Matthew Jackson,3/15/17,8/31/17,"$24,770 ",University Corp For Atmospheric Research - Ucar,Institutes of higher education,Z17-28065,Climate Adaptation and Mitigation Program,y,2017,2017
James Frew,10/1/12,9/30/18,"$372,000 ",University Industry Research Corporation,"Private agencies, foundations",SB130034,Intel Science and Technology Center for Big Data - ISTC-BD,y,2012,2018
Ralph Archuleta Chen Ji,6/1/17,11/30/17,"$33,000 ",University of California,UC-wide,9589,Modeling of Ground Motion from Intermediate-Depth Earthquakes,y,2017,2017
Mark Buntaine,3/1/17,4/30/20,"$208,269 ",University of California,UC-wide,9574,Citizen Monitoring of Urban Waterways in Jiangsu China,y,2017,2020
Carla D'Antonio Dar Roberts,9/1/16,2/28/18,"$56,284 ",University of California,UC-wide,9434,Restoration and Resilience of Endemic Bigcone Douglas-fir after the 2007 Zaca Fire,y,2016,2018
Carla D'Antonio,10/1/17,11/30/18,"$19,763 ",University of California,UC-wide,SA17-3877-01,Restoration and Resilience of Endemic Bigcone Douglas-fir after the 2007 Zaca Fire,y,2017,2018
Jeff Dozier,3/1/18,2/28/20,"$2,094,303 ",University of California,UC-wide,LFR-18-548316,Headwaters to groundwater: Resources in a changing climate,y,2018,2020
Patricia Holden,7/1/18,12/31/19,"$509,325 ",University of California,UC-wide,MRP-17-455083,Fighting Drought with Stormwater: From Research to Practice,y,2018,2019
Arturo Keller,7/1/18,12/31/19,"$7,980 ",University of California,UC-wide,SB190022,Magnetic permanently confined micelle arrays (Mag-PCMAs) for the elimination of emerging contaminants from environmental samples from Lake Chapala,y,2018,2019
Robin Matoza,7/1/18,12/31/19,"$13,553 ",University of California,UC-wide,SB190021,Seismic and infrasonic signature of explosive eruptions at Popocatepetl volcano Mexico,y,2018,2019
Noah Molotch,1/1/19,6/30/19,"$42,208 ",University of California,UC-wide,4600010378 AM-31,Proposal for Expert Assistance with Snow Products California,y,2019,2019
Max Moritz,3/1/18,2/29/20,"$134,119 ",University of California,UC-wide,20180192-04,Fire Forest Dieback and Climate Change in California,y,2018,2020
Max Moritz,2/6/18,12/31/19,"$179,472 ",University of California,UC-wide,SA17-3881-01,Fire Probability Modeling for Avoided Emissions Projects,y,2018,2019
Roger Nisbet,8/8/12,8/7/15,"$176,584 ",University of California,UC-wide,UCSCMCA 13-008,From the Watershed to the Ocean: Using NASA Data and Models to Understand and Predict Variations in Central California Salmon,y,2012,2015
Roger Nisbet,10/1/10,9/30/15,"$278,486 ",University of California,UC-wide,UCSCMCA-11-008,Investigations in Fisheries Ecology,y,2010,2015
Joshua Schimel,10/1/16,9/30/17,"$41,122 ",University of California,UC-wide,9485,Carbon sequestration potential of rangeland soils,y,2016,2017
Andrea Stith Kelly Caylor,4/1/19,7/31/19,"$20,000 ",University of California,UC-wide,LFR-19-6457412019,UC Lab Fees Workshop on Wildfire-related Research,y,2019,2019
Sangwon Suh,1/1/19,12/31/20,"$10,071 ",University of California,UC-wide,2019-3702,Maximizing the Environmental Utility of Battery Storage,y,2019,2020
Toshiro Tanimoto,7/1/15,12/31/17,"$15,037 ",University of California,UC-wide,SB160023,Monitoring Hurricanes by the US and Mexican Seismic Networks,y,2015,2017
David Siegel,10/1/16,9/30/17,"$69,233 ",University of Connecticut,Institutes of higher education,137828,Water Quality Monitoring Enhancements to Support the Hypoxia Management in Long Island Sound,y,2016,2017
Christina Tague Andrew Plantinga,7/1/15,7/31/16,"$74,366 ",University of Maryland,Institutes of higher education,Z3708011,Wildfire Management Ecosystem Dynamics and Climate: The Role of Risk Salience in Driving Ecological Outcomes,y,2015,2016
Ralph Archuleta Chen Ji Toshiro Tanimoto,2/1/19,1/31/20,"$27,000 ",University of Southern California,Institutes of higher education,,UCSB Broadband Kinematic Rupture Simulation With A Double Corner Source Spectrum,y,2019,2020
Ralph Archuleta,9/1/13,8/31/14,"$47,000 ",University of Southern California,Institutes of higher education,10113445,SCEC4 Participation Project F: Broadband Modeling of Earthquake Ground Motions,y,2013,2014
Ralph Archuleta,2/1/14,1/31/15,"$30,000 ",University of Southern California,Institutes of higher education,10202846,SCEC4 Partcipation Project F: Broadband Modeling of Earthquake Ground Motions,y,2014,2015
Ralph Archuleta Jorge Crempien,2/1/16,1/31/20,"$30,000 ",University of Southern California,Institutes of higher education,10436016,SCEC4 Participation Project V: Simulation of Kinematic Rupture for Multi-Segment Faults Based on Dynamic Rupture,y,2016,2020
Ralph Archuleta Jorge Crempien,6/1/16,5/31/17,"$35,000 ",University of Southern California,Institutes of higher education,10450329,SCEC4 Participation Project U: High Frequency Path and Source Parameters Determined from Recorded Ground Motion in Central California,y,2016,2017
Ralph Archuleta,2/1/12,1/31/17,"$25,000 ",University of Southern California,Institutes of higher education,20121443,SCEC4 Participation Project E: Dynamic Ruptures with Off-Fault Dissipation Processes: Constraints on Energy Partition Size-Dependent Levels of Prestress and Ground Motion Predictions,y,2012,2017
Ralph Archuleta,1/1/15,3/31/15,"$8,500 ",University of Southern California,Institutes of higher education,57443669,SCEC4 Participation Project M: Broadband Modeling of Earthquake Ground Motions,y,2015,2015
Ralph Archuleta Jorge Crempien Toshiro Tanimoto,5/1/17,9/30/18,"$18,000 ",University of Southern California,Institutes of higher education,94315251-D,SCEC5 17234: Estimating Path and Source Parameters in the Southern Sierra Nevada Using a Non-Parametric Approach and Special Source Constraints,y,2017,2018
Ralph Archuleta Jorge Crempien Toshiro Tanimoto,5/1/17,9/30/18,"$25,000 ",University of Southern California,Institutes of higher education,94315331-B,SCEC5 17247: Validation of the UCSB Multi-Segment Kinematic Rupture Ground Motion Code Against Recorded Ground Motion for Several Events,y,2017,2018
Ralph Archuleta,2/1/12,1/31/17,"$25,000 ",University of Southern California,Institutes of higher education,Y86552-D,SCEC4 Participation Project D: 1987 Superstition Hills Earthquake: A Triggered Event with a Complex Nucleation and Rupture Dynamics,y,2012,2017
Ralph Archuleta,2/1/13,1/31/17,"$25,000 ",University of Southern California,Institutes of higher education,Y86552-H,SCEC4 Participation Project H: Incorporating Roughness and Supershear in UCSB Broadband Modeling,y,2013,2017
Jean Carlson Ralph Archuleta,2/1/12,1/31/17,"$20,000 ",University of Southern California,Institutes of higher education,20121441,SCEC4 Participation Project C: Implications of Physical Dissipation Mechanisms for Dynamic Faulting and Structural Resilience,y,2012,2017
