,"""About the data: Exported on Nov 02, 2019. Criteria: Researcher is Kelly Krispin Caylor. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
27,100,pub.1027070494,10.1016/j.agrformet.2016.06.010,,,Explaining inter-annual variability of gross primary productivity from plant phenology and physiology,Agricultural and Forest Meteorology,,,2016-10,2016,226,,246-256,Closed,Article,"Zhou, Sha; Zhang, Yao; Caylor, Kelly K.; Luo, Yiqi; Xiao, Xiangming; Ciais, Philippe; Huang, Yuefei; Wang, Guangqian","Zhou, Sha","Zhou, Sha (Tsinghua University; Princeton University); Zhang, Yao (University of Oklahoma); Caylor, Kelly K. (Princeton University); Luo, Yiqi (University of Oklahoma; Tsinghua University); Xiao, Xiangming (University of Oklahoma; Fudan University); Ciais, Philippe (Laboratoire des Sciences du Climat et de l'Environnement); Huang, Yuefei (Tsinghua University; Qinghai University); Wang, Guangqian (Tsinghua University)",16,13,,5.41,,https://app.dimensions.ai/details/publication/pub.1027070494,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
28,400,pub.1015946659,10.1098/rstb.2015.0316,27502381,PMC4978874,"Reconciling agriculture, carbon and biodiversity in a savannah transformation frontier",Philosophical Transactions of the Royal Society B Biological Sciences,,Agriculture; Biodiversity; Carbon; Conservation of Natural Resources; Forests; Grassland; Zambia,2016-09-19,2016,371,1703,20150316,All OA; Gold,Article,"Estes, L D; Searchinger, T; Spiegel, M; Tian, D; Sichinga, S; Mwale, M; Kehoe, L; Kuemmerle, T; Berven, A; Chaney, N; Sheffield, J; Wood, E F; Caylor, K K",,"Estes, L D (Princeton University); Searchinger, T (Princeton University); Spiegel, M (Princeton University); Tian, D (Princeton University); Sichinga, S (); Mwale, M (); Kehoe, L (Humboldt University of Berlin); Kuemmerle, T (Humboldt University of Berlin); Berven, A (Princeton University); Chaney, N (Princeton University); Sheffield, J (Princeton University); Wood, E F (Princeton University); Caylor, K K (Princeton University)",10,8,0.44,,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2015.0316,https://app.dimensions.ai/details/publication/pub.1015946659,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
29,100,pub.1032813740,10.1016/j.rse.2016.03.010,,,A generalized computer vision approach to mapping crop fields in heterogeneous agricultural landscapes,Remote Sensing of Environment,,,2016-06,2016,179,,210-221,All OA; Gold,Article,"Debats, Stephanie R.; Luo, Dee; Estes, Lyndon D.; Fuchs, Thomas J.; Caylor, Kelly K.","Debats, Stephanie R.","Debats, Stephanie R. (Princeton University); Luo, Dee (Princeton University); Estes, Lyndon D. (Princeton University); Fuchs, Thomas J. (Jet Propulsion Lab); Caylor, Kelly K. (Princeton University)",17,13,,5.02,https://manuscript.elsevier.com/S0034425716301031/pdf/S0034425716301031.pdf,https://app.dimensions.ai/details/publication/pub.1032813740,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
30,100,pub.1024946990,10.1016/j.envsoft.2016.01.011,,,"A platform for crowdsourcing the creation of representative, accurate landcover maps",Environmental Modelling & Software,,,2016-06,2016,80,IEEE Internet Comput. 17 2 2013,41-53,Closed,Article,"Estes, L.D.; McRitchie, D.; Choi, J.; Debats, S.; Evans, T.; Guthe, W.; Luo, D.; Ragazzo, G.; Zempleni, R.; Caylor, K.K.","Estes, L.D.","Estes, L.D. (Princeton University); McRitchie, D. (Princeton University); Choi, J. (Princeton University); Debats, S. (Princeton University); Evans, T. (Indiana University Bloomington); Guthe, W. (Princeton University); Luo, D. (Princeton University); Ragazzo, G. (Princeton University); Zempleni, R. (Princeton University); Caylor, K.K. (Princeton University)",18,13,,10.57,,https://app.dimensions.ai/details/publication/pub.1024946990,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
31,400,pub.1009929218,10.1002/rcm.7497,26864530,,Improved removal of volatile organic compounds for laser‐based spectroscopy of water isotopes,Rapid Communications in Mass Spectrometry,,Deuterium; Oxygen Isotopes; Pinus; Quercus; Solid Phase Extraction; Volatile Organic Compounds; Water,2016-03-30,2016,30,6,784-790,Closed,Article,"Chang, Elliot; Wolf, Adam; Gerlein‐Safdi, Cynthia; Caylor, Kelly K.",,"Chang, Elliot (Princeton University); Wolf, Adam (Princeton University); Gerlein‐Safdi, Cynthia (Princeton University); Caylor, Kelly K. (Princeton University)",5,1,0.67,1.01,,https://app.dimensions.ai/details/publication/pub.1009929218,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
32,100,pub.1005441792,10.1659/mrd-journal-d-15-00040.1,,,Community Water Governance on Mount Kenya: An Assessment Based on Ostroms Design Principles of Natural Resource Management,Mountain Research and Development,,,2016-02,2016,36,1,102-115,All OA; Gold,Article,"DellAngelo, Jampel; McCord, Paul F.; Gower, Drew; Carpenter, Stefan; Caylor, Kelly K.; Evans, Tom P.",,"DellAngelo, Jampel (National Socio-Environmental Synthesis Center; Indiana University Bloomington); McCord, Paul F. (Indiana University Bloomington); Gower, Drew (Princeton University); Carpenter, Stefan (Indiana University Bloomington); Caylor, Kelly K. (Princeton University); Evans, Tom P. (Indiana University Bloomington)",15,14,,4.91,https://doi.org/10.1659/mrd-journal-d-15-00040.1,https://app.dimensions.ai/details/publication/pub.1005441792,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
33,100,pub.1027417246,10.1175/jcli-d-14-00653.1,,,"Global Patterns of the Contributions of Storm Frequency, Intensity, and Seasonality to Interannual Variability of Precipitation",Journal of Climate,,,2016-01,2016,29,1,3-15,Closed,Article,"Good, Stephen P.; Guan, Kaiyu; Caylor, Kelly K.",,"Good, Stephen P. (); Guan, Kaiyu (); Caylor, Kelly K. ()",10,6,,2.03,,https://app.dimensions.ai/details/publication/pub.1027417246,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
34,100,pub.1109354824,10.7287/peerj.preprints.1030,,,"A platform for crowdsourcing the creation of representative, accurate landcover maps",PeerJ Preprints,,,2015-11-14,2015,,,,"All OA; Green, Published",Preprint,"Estes, Lyndon; McRitchie, Dennis; Choi, Jonathan; Debats, Stephanie R; Evans, Tom; Guthe, William; Luo, Dee; Ragazzo, Gabrielle; Zempleni, Reka; Caylor, Kelly",,"Estes, Lyndon (Princeton University); McRitchie, Dennis (Princeton University); Choi, Jonathan (Princeton University); Debats, Stephanie R (Princeton University); Evans, Tom (Indiana University Bloomington); Guthe, William (Princeton University); Luo, Dee (Princeton University); Ragazzo, Gabrielle (Princeton University); Zempleni, Reka (Princeton University); Caylor, Kelly (Princeton University)",0,0,,0,https://peerj.com/preprints/1030.pdf,https://app.dimensions.ai/details/publication/pub.1109354824,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
35,100,pub.1107349046,10.7287/peerj.preprints.1030v2,,,"A platform for crowdsourcing the creation of representative, accurate landcover maps",PeerJ Preprints,,,2015-11-14,2015,3,,e1030v2,"All OA; Green, Published",Preprint,"Estes, Lyndon; McRitchie, Dennis; Choi, Jonathan; Debats, Stephanie R; Evans, Tom; Guthe, William; Luo, Dee; Ragazzo, Gabrielle; Zempleni, Reka; Caylor, Kelly",,"Estes, Lyndon (Princeton University); McRitchie, Dennis (Princeton University); Choi, Jonathan (Princeton University); Debats, Stephanie R (Princeton University); Evans, Tom (Indiana University Bloomington); Guthe, William (Princeton University); Luo, Dee (Princeton University); Ragazzo, Gabrielle (Princeton University); Zempleni, Reka (Princeton University); Caylor, Kelly (Princeton University)",0,0,,0,https://doi.org/10.7287/peerj.preprints.1030v2,https://app.dimensions.ai/details/publication/pub.1107349046,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
36,100,pub.1010742110,10.1007/s11104-014-2292-5,,,Soil organic C and total N pools in the Kalahari: potential impacts of climate change on C sequestration in savannas,Plant and Soil,,,2015-11,2015,396,1-2,27-44,Closed,Article,"Dintwe, Kebonyethata; Okin, Gregory S.; D’Odorico, Paolo; Hrast, Tanja; Mladenov, Natalie; Handorean, Alina; Bhattachan, Abinash; Caylor, Kelly. K.","Dintwe, Kebonyethata","Dintwe, Kebonyethata (University of California Los Angeles); Okin, Gregory S. (University of California Los Angeles); D’Odorico, Paolo (University of Virginia); Hrast, Tanja (University of California Los Angeles); Mladenov, Natalie (San Diego State University); Handorean, Alina (Kansas State University); Bhattachan, Abinash (University of Virginia); Caylor, Kelly. K. (Princeton University)",11,6,,2.52,,https://app.dimensions.ai/details/publication/pub.1010742110,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
37,100,pub.1109354665,10.7287/peerj.preprints.1367,,,A generalized computer vision approach to mapping crop fields in heterogeneous agricultural landscapes,PeerJ Preprints,,,2015-09-12,2015,,,,"All OA; Green, Published",Preprint,"Debats, Stephanie; Luo, Dee; Estes, Lyndon; Fuchs, Thomas J; Caylor, Kelly K",,"Debats, Stephanie (Princeton University); Luo, Dee (Princeton University); Estes, Lyndon (Princeton University); Fuchs, Thomas J (Jet Propulsion Lab; Memorial Sloan Kettering Cancer Center); Caylor, Kelly K (Princeton University)",0,0,,0,https://peerj.com/preprints/1367.pdf,https://app.dimensions.ai/details/publication/pub.1109354665,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
38,100,pub.1107347736,10.7287/peerj.preprints.1367v1,,,A generalized computer vision approach to mapping crop fields in heterogeneous agricultural landscapes,PeerJ Preprints,,,2015-09-12,2015,3,,e1367v1,"All OA; Green, Published",Preprint,"Debats, Stephanie; Luo, Dee; Estes, Lyndon; Fuchs, Thomas J; Caylor, Kelly K",,"Debats, Stephanie (Princeton University); Luo, Dee (Princeton University); Estes, Lyndon (Princeton University); Fuchs, Thomas J (Jet Propulsion Lab; Memorial Sloan Kettering Cancer Center); Caylor, Kelly K (Princeton University)",0,0,,0,https://peerj.com/preprints/1367.pdf,https://app.dimensions.ai/details/publication/pub.1107347736,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
39,100,pub.1009687054,10.1890/es14-00310.1,,,A quantitative description of the interspecies diversity of belowground structure in savanna woody plants,Ecosphere,,,2015-09,2015,6,9,1-15,All OA; Gold,Article,"O'Donnell, Frances C.; Caylor, Kelly K.; Bhattachan, Abinash; Dintwe, Kebonye; D'Odorico, Paolo; Okin, Gregory S.",,"O'Donnell, Frances C. (Princeton University); Caylor, Kelly K. (Princeton University); Bhattachan, Abinash (University of Virginia); Dintwe, Kebonye (University of California Los Angeles); D'Odorico, Paolo (University of Virginia); Okin, Gregory S. (University of California Los Angeles)",6,5,,1.42,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES14-00310.1,https://app.dimensions.ai/details/publication/pub.1009687054,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
40,400,pub.1045529029,10.1371/journal.pone.0136578,26305354,PMC4549313,Warmer and Wetter Soil Stimulates Assimilation More than Respiration in Rainfed Agricultural Ecosystem on the China Loess Plateau: The Role of Partial Plastic Film Mulching Tillage,PLoS ONE,,Agriculture; Atmosphere; Carbon Dioxide; Carbon Sequestration; China; Ecosystem; Humans; Plastics; Respiration; Seasons; Soil; Temperature; Water; Zea mays,2015-08-25,2015,10,8,e0136578,All OA; Gold,Article,"Gong, Daozhi; Hao, Weiping; Mei, Xurong; Gao, Xiang; Liu, Qi; Caylor, Kelly",,"Gong, Daozhi (Institute of Environment and Sustainable Development in Agriculture); Hao, Weiping (Institute of Environment and Sustainable Development in Agriculture); Mei, Xurong (Institute of Environment and Sustainable Development in Agriculture); Gao, Xiang (Institute of Environment and Sustainable Development in Agriculture); Liu, Qi (Institute of Environment and Sustainable Development in Agriculture); Caylor, Kelly (Princeton University)",22,10,0.27,3.84,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0136578&type=printable,https://app.dimensions.ai/details/publication/pub.1045529029,0699 Other Biological Sciences; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0699 Other Biological Sciences,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
41,100,pub.1002373538,10.1890/es15-00122.1,,,Dynamic interactions of ecohydrological and biogeochemical processes in water‐limited systems,Ecosphere,,,2015-08,2015,6,8,1-27,All OA; Gold,Article,"Wang, Lixin; Manzoni, Stefano; Ravi, Sujith; Riveros-Iregui, Diego; Caylor, Kelly",,"Wang, Lixin (Indiana University – Purdue University Indianapolis); Manzoni, Stefano (Stockholm University); Ravi, Sujith (Temple University); Riveros-Iregui, Diego (University of North Carolina at Chapel Hill); Caylor, Kelly (Princeton University)",27,15,,6.62,https://doi.org/10.1890/es15-00122.1,https://app.dimensions.ai/details/publication/pub.1002373538,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
42,100,pub.1109354823,10.7287/peerj.preprints.1030v1,,,"DIYlandcover: Crowdsourcing the creation of systematic, accurate landcover maps",PeerJ Preprints,,,2015-05-04,2015,,,,"All OA; Green, Published",Preprint,"Estes, Lyndon; McRitchie, Dennis; Choi, Jonathan; Debats, Stephanie R; Evans, Tom; Guthe, William; Luo, Dee; Ragazzo, Gabrielle; Zempleni, Reka; Caylor, Kelly",,"Estes, Lyndon (Princeton University); McRitchie, Dennis (Princeton University); Choi, Jonathan (Princeton University); Debats, Stephanie R (Princeton University); Evans, Tom (Indiana University Bloomington); Guthe, William (Princeton University); Luo, Dee (Princeton University); Ragazzo, Gabrielle (Princeton University); Zempleni, Reka (Princeton University); Caylor, Kelly (Princeton University)",1,0,,0.49,https://peerj.com/preprints/1030.pdf,https://app.dimensions.ai/details/publication/pub.1109354823,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
43,100,pub.1050098833,10.1038/ngeo2382,,,Photosynthetic seasonality of global tropical forests constrained by hydroclimate,Nature Geoscience,,,2015-04,2015,8,4,284-289,Closed,Article,"Guan, Kaiyu; Pan, Ming; Li, Haibin; Wolf, Adam; Wu, Jin; Medvigy, David; Caylor, Kelly K.; Sheffield, Justin; Wood, Eric F.; Malhi, Yadvinder; Liang, Miaoling; Kimball, John S.; Saleska, Scott R.; Berry, Joe; Joiner, Joanna; Lyapustin, Alexei I.","Guan, Kaiyu","Guan, Kaiyu (Princeton University; Stanford University); Pan, Ming (Princeton University); Li, Haibin (Rutgers, The State University of New Jersey); Wolf, Adam (Princeton University); Wu, Jin (University of Arizona); Medvigy, David (Princeton University); Caylor, Kelly K. (Princeton University); Sheffield, Justin (Princeton University); Wood, Eric F. (Princeton University); Malhi, Yadvinder (University of Oxford); Liang, Miaoling (Princeton University); Kimball, John S. (University of Montana); Saleska, Scott R. (University of Arizona); Berry, Joe (); Joiner, Joanna (Goddard Space Flight Center); Lyapustin, Alexei I. (Goddard Space Flight Center)",143,83,,39.69,,https://app.dimensions.ai/details/publication/pub.1050098833,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
44,100,pub.1023271745,10.1890/es14-00514.1,,,Carbon stable isotopes suggest that hippopotamus‐vectored nutrients subsidize aquatic consumers in an East African river,Ecosphere,,,2015-04,2015,6,4,1-11,All OA; Gold,Article,"McCauley, Douglas J.; Dawson, Todd E.; Power, Mary E.; Finlay, Jacques C.; Ogada, Mordecai; Gower, Drew B.; Caylor, Kelly; Nyingi, Wanja D.; Githaiga, John M.; Nyunja, Judith; Joyce, Francis H.; Lewison, Rebecca L.; Brashares, Justin S.",,"McCauley, Douglas J. (University of California, Santa Barbara); Dawson, Todd E. (University of California, Berkeley); Power, Mary E. (University of California, Berkeley); Finlay, Jacques C. (University of Minnesota); Ogada, Mordecai (); Gower, Drew B. (Princeton University); Caylor, Kelly (Princeton University); Nyingi, Wanja D. (National Museums of Kenya); Githaiga, John M. (University of Nairobi); Nyunja, Judith (Kenya Wildlife Service); Joyce, Francis H. (University of California, Santa Barbara); Lewison, Rebecca L. (San Diego State University); Brashares, Justin S. (University of California, Berkeley)",17,12,,3.72,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES14-00514.1,https://app.dimensions.ai/details/publication/pub.1023271745,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
45,400,pub.1014705283,10.1126/science.1261487,25657247,,Termite mounds can increase the robustness of dryland ecosystems to climatic change,Science,,"Animals; Climate Change; Conservation of Natural Resources; Desert Climate; Ecosystem; Feedback; Isoptera; Models, Biological; Plant Development; Rain; Soil; Water",2015-02-06,2015,347,6222,651-655,"All OA; Green, Accepted & Submitted",Article,"Bonachela, Juan A.; Pringle, Robert M.; Sheffer, Efrat; Coverdale, Tyler C.; Guyton, Jennifer A.; Caylor, Kelly K.; Levin, Simon A.; Tarnita, Corina E.",,"Bonachela, Juan A. (Princeton University); Pringle, Robert M. (Princeton University; Mpala Research Center and Wildlife Foundation); Sheffer, Efrat (Princeton University); Coverdale, Tyler C. (Princeton University); Guyton, Jennifer A. (Princeton University); Caylor, Kelly K. (Mpala Research Center and Wildlife Foundation; Princeton University); Levin, Simon A. (Princeton University); Tarnita, Corina E. (Princeton University; Mpala Research Center and Wildlife Foundation)",96,47,3.14,22.29,https://strathprints.strath.ac.uk/53707/1/Bonachela_etal_Science_2015_Supplementary_Material_Termite_mounds_can_increase_the_robustness_of_dryland_ecosystems.pdf,https://app.dimensions.ai/details/publication/pub.1014705283,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
46,100,pub.1011063831,10.5194/bg-11-6939-2014,,,Continental-scale impacts of intra-seasonal rainfall variability on simulated ecosystem responses in Africa,Biogeosciences,,,2014-12-11,2014,11,23,6939-6954,All OA; Gold,Article,"Guan, K.; Good, S. P.; Caylor, K. K.; Sato, H.; Wood, E. F.; Li, H.",,"Guan, K. (Princeton University; Stanford University); Good, S. P. (University of Utah); Caylor, K. K. (Princeton University); Sato, H. (Nagoya University); Wood, E. F. (Princeton University); Li, H. (Rutgers, The State University of New Jersey)",14,10,,2.47,https://www.biogeosciences.net/11/6939/2014/bg-11-6939-2014.pdf,https://app.dimensions.ai/details/publication/pub.1011063831,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,0501 Ecological Applications,05 Environmental Sciences
47,100,pub.1033782690,10.1002/2014gl061439,,,Global synthesis of vegetation control on evapotranspiration partitioning,Geophysical Research Letters,,,2014-10-16,2014,41,19,6753-6757,All OA; Gold,Article,"Wang, Lixin; Good, Stephen P.; Caylor, Kelly K.",,"Wang, Lixin (Indiana University – Purdue University Indianapolis); Good, Stephen P. (University of Utah); Caylor, Kelly K. (Princeton University)",111,66,,18.09,http://onlinelibrary.wiley.com/doi/10.1002/2014GL061439/pdf,https://app.dimensions.ai/details/publication/pub.1033782690,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
48,100,pub.1019113460,10.1002/2013jg002572,,,Terrestrial hydrological controls on land surface phenology of African savannas and woodlands,Journal of Geophysical Research Biogeosciences,,,2014-08,2014,119,8,1652-1669,"All OA; Green, Published",Article,"Guan, Kaiyu; Wood, Eric F.; Medvigy, David; Kimball, John; Pan, Ming; Caylor, Kelly K.; Sheffield, Justin; Xu, Xiangtao; Jones, Matthew O.",,"Guan, Kaiyu (Princeton University; Stanford University); Wood, Eric F. (Princeton University); Medvigy, David (Princeton University); Kimball, John (University of Montana); Pan, Ming (Princeton University); Caylor, Kelly K. (Princeton University); Sheffield, Justin (Princeton University); Xu, Xiangtao (Princeton University); Jones, Matthew O. (University of Montana)",67,26,,10.37,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=1285&context=ntsg_pubs,https://app.dimensions.ai/details/publication/pub.1019113460,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
49,100,pub.1039662091,10.1088/1748-9326/9/7/075005,,,"Changing water availability during the African maize-growing season, 1979–2010",Environmental Research Letters,,,2014-07-01,2014,9,7,075005,All OA; Gold,Article,"Estes, Lyndon D; Chaney, Nathaniel W; Herrera-Estrada, Julio; Sheffield, Justin; Caylor, Kelly K; Wood, Eric F",,"Estes, Lyndon D (Princeton University); Chaney, Nathaniel W (Princeton University); Herrera-Estrada, Julio (Princeton University); Sheffield, Justin (Princeton University); Caylor, Kelly K (Princeton University); Wood, Eric F (Princeton University)",13,6,,2.72,http://iopscience.iop.org/article/10.1088/1748-9326/9/7/075005/pdf,https://app.dimensions.ai/details/publication/pub.1039662091,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
50,100,pub.1013038282,10.5194/bgd-11-7575-2014,,,Continental-scale impacts of intra-seasonal rainfall variability on simulated ecosystem responses in Africa,Biogeosciences Discussions,,,2014-05-27,2014,11,5,7575-7613,All OA; Gold,Article,"Guan, K.; Good, S. P.; Caylor, K. K.; Sato, H.; Wood, E. F.; Li, H.",,"Guan, K. (Princeton University; Stanford University); Good, S. P. (University of Utah); Caylor, K. K. (Princeton University); Sato, H. (); Wood, E. F. (Princeton University); Li, H. (Rutgers, The State University of New Jersey)",1,0,,0.14,https://doi.org/10.5194/bgd-11-7575-2014,https://app.dimensions.ai/details/publication/pub.1013038282,0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,,
51,100,pub.1021722666,10.1111/aje.12086,,,"An analysis of structure: biomass structure relationships for characteristic species of the western Kalahari, Botswana",African Journal of Ecology,,,2014-03,2014,52,1,20-29,"All OA; Green, Published",Article,"Meyer, Thoralf; D'Odorico, Paolo; Okin, Greg S.; Shugart, Herman H.; Caylor, Kelly K.; O'Donnell, Frances C.; Bhattachan, Abi; Dintwe, Kebonyethata",,"Meyer, Thoralf (University of Virginia; The University of Texas at Austin); D'Odorico, Paolo (University of Virginia); Okin, Greg S. (University of California Los Angeles); Shugart, Herman H. (University of Virginia); Caylor, Kelly K. (Princeton University); O'Donnell, Frances C. (Princeton University); Bhattachan, Abi (University of Virginia); Dintwe, Kebonyethata (University of California Los Angeles)",10,5,,1.63,https://escholarship.org/content/qt2mh197t1/qt2mh197t1.pdf?t=nimykt,https://app.dimensions.ai/details/publication/pub.1021722666,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
52,100,pub.1061612852,10.1109/tgrs.2013.2247611,,,Deriving Vegetation Phenological Time and Trajectory Information Over Africa Using SEVIRI Daily LAI,IEEE Transactions on Geoscience and Remote Sensing,,,2014-02,2014,52,2,1113-1130,Closed,Article,"Guan, Kaiyu; Medvigy, David; Wood, Eric F.; Caylor, Kelly K.; Li, Shi; Jeong, Su-Jong",,"Guan, Kaiyu (Princeton University); Medvigy, David (Rutgers, The State University of New Jersey; Princeton University); Wood, Eric F. (University of British Columbia; Princeton University); Caylor, Kelly K. (University of Virginia; Princeton University); Li, Shi (Tsinghua University; Princeton University); Jeong, Su-Jong (Pusan National University; Princeton University)",24,13,,6.01,,https://app.dimensions.ai/details/publication/pub.1061612852,09 Engineering; 0909 Geomatic Engineering; 0906 Electrical and Electronic Engineering; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0906 Electrical and Electronic Engineering,04 Earth Sciences,0404 Geophysics
53,100,pub.1023951645,10.1002/2013wr014333,,,δ2H isotopic flux partitioning of evapotranspiration over a grass field following a water pulse and subsequent dry down,Water Resources Research,,,2014-02,2014,50,2,1410-1432,All OA; Gold,Article,"Good, Stephen P.; Soderberg, Keir; Guan, Kaiyu; King, Elizabeth G.; Scanlon, Todd M.; Caylor, Kelly K.",,"Good, Stephen P. (University of Utah; Princeton University); Soderberg, Keir (Princeton University); Guan, Kaiyu (Princeton University; Stanford University); King, Elizabeth G. (University of Georgia); Scanlon, Todd M. (University of Virginia); Caylor, Kelly K. (Princeton University)",43,29,,14.19,http://onlinelibrary.wiley.com/doi/10.1002/2013WR014333/pdf,https://app.dimensions.ai/details/publication/pub.1023951645,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
54,100,pub.1047901276,10.1007/978-94-007-5727-1_6,,,Integrating Short- and Long-Range Processes into Models: The Emergence of Pattern,,Patterns of Land Degradation in Drylands,,2014,2014,,,141-167,Closed,Chapter,"Caylor, Kelly K.; Okin, Greg S.; Turnbull, Laura; Wainwright, John; Wiegand, Thorsten; Franz, Trenton E.; Parsons, Anthony J.","Parsons, Anthony J.","Caylor, Kelly K. (Princeton University); Okin, Greg S. (University of California Los Angeles); Turnbull, Laura (Durham University); Wainwright, John (Durham University); Wiegand, Thorsten (Helmholtz Centre for Environmental Research); Franz, Trenton E. (University of Arizona); Parsons, Anthony J. (University of Sheffield)",1,0,,0.21,,https://app.dimensions.ai/details/publication/pub.1047901276,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
55,100,pub.1036387656,10.1007/978-3-319-07548-8_21,,,Multilevel Governance of Irrigation Systems and Adaptation to Climate Change in Kenya,,The Global Water System in the Anthropocene,,2014,2014,,,323-341,Closed,Chapter,"Dell’Angelo, Jampel; McCord, Paul F.; Baldwin, Elizabeth; Cox, Michael E.; Gower, Drew; Caylor, Kelly; Evans, Tom P.","Dell’Angelo, Jampel","Dell’Angelo, Jampel (Indiana University Bloomington); McCord, Paul F. (Indiana University Bloomington); Baldwin, Elizabeth (Indiana University Bloomington); Cox, Michael E. (Dartmouth College); Gower, Drew (Princeton University); Caylor, Kelly (Princeton University); Evans, Tom P. (Indiana University Bloomington)",4,3,,2.13,,https://app.dimensions.ai/details/publication/pub.1036387656,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
