,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Stanley M Awramik. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
37,400,pub.1031325223,10.1130/0091-7613(1992)020<0181:baccon>2.3.co;2,11537751,,"Biostratigraphic and chemostratigraphic correlation of Neoproterozoic sedimentary successions: Upper Tindir Group, northwestern Canada, as a test case",Geology,,Animals; Biological Evolution; Canada; Carbon Isotopes; Carbonates; Fossils; Geological Phenomena; Geology; Oceans and Seas; Paleontology; Quartz; Soil; Strontium Isotopes,1992,1992,20,2,181-185,"All OA; Green, Accepted & Submitted",Article,"Kaufman, Alan J.; Knoll, Andrew H.; Awramik, Stanley M.",,"Kaufman, Alan J. (Harvard University); Knoll, Andrew H. (Harvard University); Awramik, Stanley M. (University of California, Santa Barbara)",99,7,0.19,,http://www.geol.ucsb.edu/faculty/awramik/pubs/KAUF9281.pdf,https://app.dimensions.ai/details/publication/pub.1031325223,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
38,100,pub.1031001483,10.1007/978-3-642-76884-2_34,,,The History and Significance of Stromatolites,,Early Organic Evolution,,1992,1992,,,435-449,Closed,Chapter,"Awramik, Stanley M.",,"Awramik, Stanley M. (Western Australian Museum)",58,8,,,,https://app.dimensions.ai/details/publication/pub.1031001483,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
39,100,pub.1053846617,10.1017/s001675680002207x,,,Bahamian giant stromatolites: microbial composition of surface mats,Geological Magazine,,,1991-05,1991,128,3,227-234,Closed,Article,"Riding, Robert; Awramik, Stanley M.; Winsborough, Barbara M.; Griffin, Karen M.; Dill, Robert F.",,"Riding, Robert (Cardiff University); Awramik, Stanley M. (University of California, Santa Barbara); Winsborough, Barbara M. (The University of Texas at Austin); Griffin, Karen M. (University of California, Santa Barbara); Dill, Robert F. (University of South Carolina)",49,6,,,,https://app.dimensions.ai/details/publication/pub.1053846617,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
40,100,pub.1000665142,10.1007/978-3-642-52335-9_15,,,Archaean and Proterozoic Stromatolites,,Calcareous Algae and Stromatolites,,1991,1991,,,289-304,Closed,Chapter,"Awramik, S. M.",,"Awramik, S. M. (University of California, Santa Barbara)",33,1,,,,https://app.dimensions.ai/details/publication/pub.1000665142,04 Earth Sciences; 0403 Geology; 06 Biological Sciences; 0603 Evolutionary Biology,04 Earth Sciences,0403 Geology,06 Biological Sciences,0603 Evolutionary Biology,
41,200,pub.1070358830,10.2307/3514809,,,"Acritarchs in Lower Greenschist Facies Argillite of the Middle Proterozoic Libby Formation, Upper Belt Supergroup, Montana",Palaios,,,1990-04,1990,5,2,124,Closed,Article,"Kidder, David L.; Awramik, Stanley M.",,"Kidder, David L. (); Awramik, Stanley M. ()",10,0,,,,https://app.dimensions.ai/details/publication/pub.1070358830,0602 Ecology; 0403 Geology; 0603 Evolutionary Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0603 Evolutionary Biology,04 Earth Sciences,06 Biological Sciences
42,100,pub.1050027224,10.1016/0301-9268(89)90062-4,,,Biogenic magnetite in stromatolites. II. Occurrence in ancient sedimentary environments,Precambrian Research,,,1989-06,1989,43,4,305-315,Closed,Article,"Chang, Shin-Bin R.; Stolz, John F.; Kirschvink, Joseph L.; Awramik, Stanley M.","Stolz, John F.","Chang, Shin-Bin R. (California Institute of Technology); Stolz, John F. (California Institute of Technology); Kirschvink, Joseph L. (California Institute of Technology); Awramik, Stanley M. (University of California, Santa Barbara)",51,0,,,,https://app.dimensions.ai/details/publication/pub.1050027224,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
43,100,pub.1014920846,10.1016/0301-9268(89)90060-0,,,"Organic-walled microfossils from earliest Cambrian or latest proterozoic Tindir Group rocks, Northwest Canada",Precambrian Research,,,1989-06,1989,43,4,253-294,Closed,Article,"Allison, Carol Wagner; Awramik, Stanley M.",,"Allison, Carol Wagner (University of California, Santa Barbara); Awramik, Stanley M. (University of California, Santa Barbara)",58,6,,,,https://app.dimensions.ai/details/publication/pub.1014920846,04 Earth Sciences,04 Earth Sciences,,,,
44,200,pub.1051812918,10.1016/0301-9268(88)90023-x,,,"Carbonaceous filaments from North Pole, Western Australia: Are they fossil bacteria in archean stromatolites? A discussion",Precambrian Research,,,1988-08,1988,39,4,303-309,Closed,Article,"Awramik, S.M.; Schopf, J.W.; Walter, M.R.",,"Awramik, S.M. (University of California, Santa Barbara); Schopf, J.W. (University of California Los Angeles); Walter, M.R. ()",38,6,,,,https://app.dimensions.ai/details/publication/pub.1051812918,04 Earth Sciences,04 Earth Sciences,,,,
45,400,pub.1008924698,10.1073/pnas.85.5.1327,16593910,PMC279763,Role of algal eukaryotes in subtidal columnar stromatolite formation,Proceedings of the National Academy of Sciences,,,1988-03-01,1988,85,5,1327-1329,All OA; Gold,Article,"Awramik, Stanley M.; Riding, Robert",,"Awramik, Stanley M. (University of California, Santa Barbara); Riding, Robert (Cardiff University)",94,9,0.95,,http://www.pnas.org/content/85/5/1327.full.pdf,https://app.dimensions.ai/details/publication/pub.1008924698,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
46,400,pub.1016289630,10.1016/0048-9697(86)90342-6,11542059,,Community living long before man Fossil and living microbial mats and early life,The Science of The Total Environment,,"Bacteria; Carbonates; Cuba; Cyanobacteria; Diatoms; Ecosystem; Environmental Microbiology; Fossils; Geologic Sediments; Microscopy, Electron; Paleontology; Water Microbiology",1986-11-15,1986,56,,379-397,Closed,Article,"Margulis, L.; Baluja, L. Lopez; Awramik, S.M.; Sagan, D.",,"Margulis, L. (Boston University); Baluja, L. Lopez (); Awramik, S.M. (University of California, Santa Barbara); Sagan, D. ()",6,1,0.08,,,https://app.dimensions.ai/details/publication/pub.1016289630,0605 Microbiology; 04 Earth Sciences; 0403 Geology; 06 Biological Sciences,0605 Microbiology,04 Earth Sciences,0403 Geology,06 Biological Sciences,
47,400,pub.1062532071,10.1126/science.231.4743.1279,17839566,,Heliotropism in Modern Stromatolites,Science,,,1986-03-14,1986,231,4743,1279-1281,Closed,Article,"AWRAMIK, STANLEY M.; VANYO, JAMES P.",,"AWRAMIK, STANLEY M. (University of California, Santa Barbara); VANYO, JAMES P. (University of California, Santa Barbara)",44,4,0.34,,,https://app.dimensions.ai/details/publication/pub.1062532071,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
48,200,pub.1010723393,10.1038/319446a0,,,Palaeontology: New fossil finds in old rocks,Nature,,,1986-02,1986,319,6053,446-447,Closed,Article,"Awramik, S.M.",,"Awramik, S.M. (University of California, Santa Barbara)",15,1,,,,https://app.dimensions.ai/details/publication/pub.1010723393,,,,,,
49,200,pub.1006545753,10.1038/319696a0,,,The Precambrian-Cambrian boundary and geochemical perturbations,Nature,,,1986-02,1986,319,6055,696-696,Closed,Article,"AWRAMIK, STANLEY M.",,"AWRAMIK, STANLEY M. (University of California, Santa Barbara)",11,1,,,,https://app.dimensions.ai/details/publication/pub.1006545753,,,,,,
50,100,pub.1046667534,10.1029/eo067i013p00153,,,Heliotropism in microbial stromatolitic growths at Yellowstone National Park: Geophysical inferences,Eos,,,1986,1986,67,13,153-156,Closed,Article,"Vanyo, J. P.; Hutchinson, R. A.; Awramik, S. M.",,"Vanyo, J. P. (University of California, Santa Barbara); Hutchinson, R. A. (); Awramik, S. M. (University of California, Santa Barbara)",5,0,,,,https://app.dimensions.ai/details/publication/pub.1046667534,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
51,100,pub.1037928373,10.1038/315655a0,,,Prokaryotic and eukaryotic microfossils from a Proterozoic/Phanerozoic transition in China,Nature,,,1985-06,1985,315,6021,655-658,Closed,Article,"Awramik, Stanley M.; McMenamin, Dianna Schulte; Chongyu, Yin; Ziqiang, Zhao; Qixiu, Ding; Shusen, Zhang",,"Awramik, Stanley M. (University of California, Santa Barbara); McMenamin, Dianna Schulte (University of California, Santa Barbara); Chongyu, Yin (Chinese Academy of Geological Sciences); Ziqiang, Zhao (); Qixiu, Ding (); Shusen, Zhang ()",52,1,,,,https://app.dimensions.ai/details/publication/pub.1037928373,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
52,100,pub.1004980359,10.1016/0301-9268(85)90064-6,,,Stromatolites and earth—sun—moon dynamics,Precambrian Research,,,1985-06,1985,29,1-3,121-142,"All OA; Green, Published",Article,"Vanyo, J.P.; Awramik, S.M.",,"Vanyo, J.P. (University of California, Santa Barbara); Awramik, S.M. (University of California, Santa Barbara)",34,5,,,http://www.geol.ucsb.edu/faculty/awramik/pubs/VANY8521.pdf,https://app.dimensions.ai/details/publication/pub.1004980359,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
53,100,pub.1006999256,10.1016/0301-9268(83)90043-8,,,"Microbial fossils from the Kheinjua Formation, Middle Proterozoic Semri Group (Lower Vindhyan) Son Valley area, central India",Precambrian Research,,,1983-08,1983,21,3-4,247-271,Closed,Article,"McMenamin, Dianna Schulte; Kumar, Surendra; Awramik, Stanley M.",,"McMenamin, Dianna Schulte (University of California, Santa Barbara); Kumar, Surendra (University of Lucknow); Awramik, Stanley M. (University of California, Santa Barbara)",36,5,,,,https://app.dimensions.ai/details/publication/pub.1006999256,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
54,100,pub.1003412193,10.1016/0301-9268(83)90081-5,,,Filamentous fossil bacteria from the Archean of Western Australia,Precambrian Research,,,1983-06,1983,20,2-4,357-374,Closed,Article,"Awramik, S.M.; Schopf, J.W.; Walter, M.R.",,"Awramik, S.M. (University of California, Santa Barbara); Schopf, J.W. (University of California Los Angeles); Walter, M.R. (University of California Los Angeles)",213,11,,,,https://app.dimensions.ai/details/publication/pub.1003412193,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
55,100,pub.1038707844,10.1016/s0166-2635(08)70251-2,,,Filamentous Fossil Bacteria from the Archean of Western Australia,Developments in Precambrian Geology,"Developments and Interactions of the Precambrian Atmosphere, Lithosphere and Biosphere, Compilation of papers based on the presentations of participants at, or contributed by authors unable to attend, the IGCP Projects 157 and 160 meeting at the Universidad Nacional Autonoma de Mexico in Mexico City",,1983,1983,7,,249-266,Closed,Chapter,"Awramik, S.M.; Schopf, J.W.; Walter, M.R.",,"Awramik, S.M. (University of California, Santa Barbara); Schopf, J.W. (University of California Los Angeles); Walter, M.R. (University of California Los Angeles)",9,1,,,,https://app.dimensions.ai/details/publication/pub.1038707844,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
56,100,pub.1035331621,10.1130/0091-7613(1983)11<227:ptpiwn>2.0.co;2,,,"Precambrian-Cambrian transition problem in western North America: Part II. Early Cambrian skeletonized fauna and associated fossils from Sonora, Mexico",Geology,,,1983,1983,11,4,227-230,Closed,Article,"McMenamin, Mark A. S.; Awramik, Stanley M.; Stewart, John H.",,"McMenamin, Mark A. S. (University of California, Santa Barbara); Awramik, Stanley M. (University of California, Santa Barbara); Stewart, John H. (United States Geological Survey)",18,2,,,,https://app.dimensions.ai/details/publication/pub.1035331621,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
57,100,pub.1012760919,10.1029/gl009i010p01125,,,Length of day and obliquity of the ecliptic 850 MA ago: Preliminary results of a stromatolite growth model,Geophysical Research Letters,,,1982-10,1982,9,10,1125-1128,Closed,Article,"Vanyo, J. P.; Awramik, S. M.",,"Vanyo, J. P. (); Awramik, S. M. ()",23,2,,,,https://app.dimensions.ai/details/publication/pub.1012760919,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
58,100,pub.1044668532,10.1016/0037-0738(82)90011-2,,,"Plio-pleistocene lacustrine stromatolites from lake Turkana, Kenya: Morphology, stratigraphy and stable isotopes",Sedimentary Geology,,,1982-05,1982,32,1-2,1-26,Closed,Article,"Abell, Paul I.; Awramik, Stanley M.; Osborne, Robert H.; Tomellini, Sterling",,"Abell, Paul I. (University of Rhode Island); Awramik, Stanley M. (University of California, Santa Barbara); Osborne, Robert H. (University of Southern California); Tomellini, Sterling (University of Rhode Island)",58,3,,,,https://app.dimensions.ai/details/publication/pub.1044668532,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
59,100,pub.1047853938,10.1007/978-3-642-68463-0_21,,,Biogeochemical Evolution of the Ocean-Atmosphere System State of the Art Report,,Mineral Deposits and the Evolution of the Biosphere,,1982,1982,,,309-320,Closed,Chapter,"Awramik, S. M.; Cloud, P.; Curtis, C. D.; Folinsbee, R. E.; Holland, H. D.; Jenkyns, H. C.; Langridge, J.; Lerman, A.; Miller, S. L.; Nissenbaum, A.; Veizer, J.",,"Awramik, S. M. (); Cloud, P. (); Curtis, C. D. (); Folinsbee, R. E. (); Holland, H. D. (); Jenkyns, H. C. (); Langridge, J. (); Lerman, A. (); Miller, S. L. (); Nissenbaum, A. (); Veizer, J. ()",4,0,,,,https://app.dimensions.ai/details/publication/pub.1047853938,04 Earth Sciences; 0403 Geology; 0405 Oceanography,04 Earth Sciences,0403 Geology,0405 Oceanography,,
60,100,pub.1002055736,10.1007/978-3-642-68463-0_5,,,The Pre-Phanerozoic Fossil Record,,Mineral Deposits and the Evolution of the Biosphere,,1982,1982,,,67-81,Closed,Chapter,"Awramik, S. M.",,"Awramik, S. M. (University of California, Santa Barbara)",32,0,,,,https://app.dimensions.ai/details/publication/pub.1002055736,0602 Ecology; 04 Earth Sciences; 0403 Geology; 06 Biological Sciences,0602 Ecology,04 Earth Sciences,0403 Geology,06 Biological Sciences,
61,100,pub.1022753455,10.1016/b978-0-12-519640-6.50011-9,,,THE PRE-PHANEROZOIC BIOSPHERE - THREE BILLION YEARS OF CRISES AND OPPORTUNITIES,,Biotic Crises in Ecological and Evolutionary Time,,1981,1981,,,83-102,Closed,Chapter,"Awramik, Stanley M.",,"Awramik, Stanley M. (University of California, Santa Barbara)",27,0,,,,https://app.dimensions.ai/details/publication/pub.1022753455,0605 Microbiology; 04 Earth Sciences; 0403 Geology; 06 Biological Sciences,0605 Microbiology,04 Earth Sciences,0403 Geology,06 Biological Sciences,
62,100,pub.1010853581,10.1016/0301-9268(79)90020-2,,,Earliest Phanerozoic or latest Proterozoic fossils from the Arabian Shield,Precambrian Research,,,1979-11,1979,10,1-2,73-93,Closed,Article,"Cloud, Préston; Awramik, S.M.; Morrison, Karen; Hadley, D.G.",,"Cloud, Préston (University of California, Santa Barbara); Awramik, S.M. (University of California, Santa Barbara); Morrison, Karen (University of California, Santa Barbara); Hadley, D.G. (United States Geological Survey)",18,1,,,,https://app.dimensions.ai/details/publication/pub.1010853581,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
63,200,pub.1034725505,10.1016/0301-9268(79)90054-8,,,Stromatolite bibliography 2,Precambrian Research,,,1979-06,1979,9,1-2,105-166,Closed,Article,"Awramik, S.M.; Haupt, A.; Hofmann, H.J.; Walter, M.R.",,"Awramik, S.M. (University of California, Santa Barbara); Haupt, A. (Australian College of Theology); Hofmann, H.J. (University of Montreal); Walter, M.R. (Australian College of Theology)",3,0,,,,https://app.dimensions.ai/details/publication/pub.1034725505,04 Earth Sciences,04 Earth Sciences,,,,
64,100,pub.1017579369,10.1016/0301-9268(79)90049-4,,,"Frutexites from stromatolites of the Gunflint Iron Formation of Canada, and its biological affinities",Precambrian Research,,,1979-06,1979,9,1-2,23-33,Closed,Article,"Walter, M.R.; Awramik, S.M.",,"Walter, M.R. (Geoscience Australia; University of California, Santa Barbara); Awramik, S.M. (Geoscience Australia; University of California, Santa Barbara)",28,2,,,,https://app.dimensions.ai/details/publication/pub.1017579369,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
65,100,pub.1013390004,10.1139/e79-088,,,Stromatolite morphogenesisprogress and problems,Canadian Journal of Earth Sciences,,,1979-05,1979,16,5,992-1015,Closed,Article,"Semikhatov, M. A.; Gebelein, C. D.; Cloud, Preston; Awramik, S. M.; Benmore, W. C.",,"Semikhatov, M. A. (); Gebelein, C. D. (); Cloud, Preston (); Awramik, S. M. (); Benmore, W. C. ()",144,10,,,,https://app.dimensions.ai/details/publication/pub.1013390004,04 Earth Sciences,04 Earth Sciences,,,,
66,100,pub.1040245670,10.1139/e79-044,,,"The relationship between morphology, microstructure, and microbiota in three vertically intergrading stromatolites from the Gunflint Iron Formation",Canadian Journal of Earth Sciences,,,1979-03,1979,16,3,484-495,Closed,Article,"Awramik, Stanley M.; Semikhatov, M. A.",,"Awramik, Stanley M. (); Semikhatov, M. A. ()",56,2,,,,https://app.dimensions.ai/details/publication/pub.1040245670,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
67,100,pub.1064927612,10.1306/212f7414-2b24-11d7-8648000102c1865d,,,"Lacustrine stromatolites and associated sediments of the Pliocene Ridge Route Formation, Ridge Basin, California",Journal of Sedimentary Research,,,1978,1978,48,1,143-157,Closed,Article,"Link, M. H.; Osborne, R. H.; Awramik, S. M.",,"Link, M. H. (); Osborne, R. H. (); Awramik, S. M. ()",32,1,,,,https://app.dimensions.ai/details/publication/pub.1064927612,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
68,200,pub.1062515708,10.1126/science.197.4308.1072,17836074,,Paleophycology,Science,,,1977-09-09,1977,197,4308,1072-1072,Closed,Article,"AWRAMIK, S. M.",,"AWRAMIK, S. M. ()",0,0,0,,,https://app.dimensions.ai/details/publication/pub.1062515708,,,,,,
69,100,pub.1000357408,10.1016/0301-9268(77)90025-0,,,The Gunflint microbiota,Precambrian Research,,,1977-08,1977,5,2,121-142,Closed,Article,"Awramik, Stanley M.; Barghoorn, Elso S.",,"Awramik, Stanley M. (University of California, Santa Barbara; Harvard University); Barghoorn, Elso S. (University of California, Santa Barbara; Harvard University)",121,13,,,,https://app.dimensions.ai/details/publication/pub.1000357408,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
70,200,pub.1018607499,10.1111/j.1502-3931.1977.tb00589.x,,,Stromatolite Newsletter,Lethaia,,,1977-01,1977,10,1,42-42,Closed,Article,"AWRAMIK, STANLEY M.",,"AWRAMIK, STANLEY M. ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1018607499,0602 Ecology; 0403 Geology; 0603 Evolutionary Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0603 Evolutionary Biology,04 Earth Sciences,06 Biological Sciences
71,100,pub.1040582152,10.1016/b978-0-12-561360-6.50018-7,,,13 PALEOBIOLOGY OF STROMATOLITES,,Chemical Evolution of the Early Precambrian,,1977,1977,,,111-131,Closed,Chapter,"AWRAMIK, STANLEY M.",,"AWRAMIK, STANLEY M. (University of California, Santa Barbara)",12,1,,,,https://app.dimensions.ai/details/publication/pub.1040582152,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
72,200,pub.1049134909,10.1016/s0070-4571(08)71171-3,,,Bibliography**See also additional references on p. 771.,Developments in Sedimentology,Stromatolites,,1976,1976,20,,705-771,Closed,Chapter,"Awramik, S.M.; Hofmann, H.J.; Raaben, M.E.",,"Awramik, S.M. (Geoscience Australia); Hofmann, H.J. (Geoscience Australia); Raaben, M.E. (Geoscience Australia)",2,0,,,,https://app.dimensions.ai/details/publication/pub.1049134909,,,,,,
73,200,pub.1001220789,10.1016/s0070-4571(08)71170-1,,,Appendix IV Selective Subject Index to the Bibliography,Developments in Sedimentology,Stromatolites,,1976,1976,20,,697-704,Closed,Chapter,"Awramik, S.M.",,"Awramik, S.M. (Geoscience Australia)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1001220789,,,,,,
74,100,pub.1018413597,10.1016/s0070-4571(08)71135-x,,,Chapter 4.4 Evolutionary Processes in the Formation of Stromatolites,Developments in Sedimentology,Stromatolites,,1976,1976,20,,149-162,Closed,Chapter,"Awramik, S.M.; Margulis, L.; Barghoorn, E.S.",,"Awramik, S.M. (Geoscience Australia); Margulis, L. (Geoscience Australia); Barghoorn, E.S. (Geoscience Australia)",62,5,,,,https://app.dimensions.ai/details/publication/pub.1018413597,0605 Microbiology; 0403 Geology; 06 Biological Sciences; 04 Earth Sciences; 0604 Genetics,0605 Microbiology,0403 Geology,06 Biological Sciences,04 Earth Sciences,0604 Genetics
75,100,pub.1017826145,10.1016/s0070-4571(08)71141-5,,,Chapter 6.3 Gunflint Stromatolites: Microfossil Distribution in Relation to Stromatolite Morphology,Developments in Sedimentology,Stromatolites,,1976,1976,20,,311-320,Closed,Chapter,"Awramik, S.M.",,"Awramik, S.M. (Geoscience Australia)",40,4,,,,https://app.dimensions.ai/details/publication/pub.1017826145,0605 Microbiology; 04 Earth Sciences; 0403 Geology; 06 Biological Sciences,0605 Microbiology,04 Earth Sciences,0403 Geology,06 Biological Sciences,
76,400,pub.1062503861,10.1126/science.174.4011.825,17759393,,Precambrian Columnar Stromatolite Diversity: Reflection of Metazoan Appearance,Science,,,1971-11-19,1971,174,4011,825-827,Closed,Article,"Awramik, Stanley M.",,"Awramik, Stanley M. (Harvard University)",187,13,0,,,https://app.dimensions.ai/details/publication/pub.1062503861,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
