,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Craig A Carlson. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
28,400,pub.1051503103,10.1073/pnas.1403319111,24982156,PMC4104888,Local genomic adaptation of coral reef-associated microbiomes to gradients of natural variability and anthropogenic stressors,Proceedings of the National Academy of Sciences,,"Adaptation, Physiological; Bacteria; Coral Reefs; Gene Transfer, Horizontal; Metagenome; Microbiota; Pacific Ocean; Water Pollution",2014-07-15,2014,111,28,10227-10232,All OA; Gold,Article,"Kelly, Linda W.; Williams, Gareth J.; Barott, Katie L.; Carlson, Craig A.; Dinsdale, Elizabeth A.; Edwards, Robert A.; Haas, Andreas F.; Haynes, Matthew; Lim, Yan Wei; McDole, Tracey; Nelson, Craig E.; Sala, Enric; Sandin, Stuart A.; Smith, Jennifer E.; Vermeij, Mark J. A.; Youle, Merry; Rohwer, Forest",,"Kelly, Linda W. (San Diego State University); Williams, Gareth J. (University of California, San Diego); Barott, Katie L. (San Diego State University; University of California, San Diego); Carlson, Craig A. (University of California, Santa Barbara); Dinsdale, Elizabeth A. (San Diego State University); Edwards, Robert A. (San Diego State University); Haas, Andreas F. (University of California, San Diego); Haynes, Matthew (San Diego State University); Lim, Yan Wei (San Diego State University); McDole, Tracey (San Diego State University); Nelson, Craig E. (University of Hawaii at Manoa); Sala, Enric (National Geographic Society); Sandin, Stuart A. (University of California, San Diego); Smith, Jennifer E. (University of California, San Diego); Vermeij, Mark J. A. (Caribbean Research and Management of Biodiversity Foundation; University of Amsterdam); Youle, Merry (); Rohwer, Forest (San Diego State University)",90,38,4.4,14.52,http://www.pnas.org/content/111/28/10227.full.pdf,https://app.dimensions.ai/details/publication/pub.1051503103,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
29,400,pub.1041314906,10.1111/1462-2920.12241,24589288,,Community differentiation and population enrichment of Sargasso Sea bacterioplankton in the euphotic zone of a mesoscale mode‐water eddy,Environmental Microbiology,,"Bacteria; Bacterial Physiological Phenomena; Biodiversity; Biomass; Cluster Analysis; Oceans and Seas; Phytoplankton; Pigments, Biological; Plankton; RNA, Ribosomal, 16S; Seawater; Water Movements",2014-03,2014,16,3,871-887,Closed,Article,"Nelson, Craig E.; Carlson, Craig A.; Ewart, Courtney S.; Halewood, Elisa R.",,"Nelson, Craig E. (University of California, Santa Barbara; University of Hawaii at Manoa); Carlson, Craig A. (University of California, Santa Barbara); Ewart, Courtney S. (University of California, Santa Barbara); Halewood, Elisa R. (University of California, Santa Barbara)",31,11,1.86,5.06,,https://app.dimensions.ai/details/publication/pub.1041314906,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
30,200,pub.1071157243,10.3354/ame01661,,,Spatiotemporal distributions of rare bacterioplankton populations indicate adaptive strategies in the oligotrophic ocean,Aquatic Microbial Ecology,,,2013-11-15,2013,71,1,1-13,All OA; Gold,Article,"Vergin, KL; Done, B; Carlson, CA; Giovannoni, SJ",,"Vergin, KL (); Done, B (); Carlson, CA (); Giovannoni, SJ ()",53,14,,6.92,https://www.int-res.com/articles/feature/a071p001.pdf,https://app.dimensions.ai/details/publication/pub.1071157243,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
31,200,pub.1073068217,10.5670/oceanog.2013.45,,,"Biological and Physical Interactions on a Tropical Island Coral Reef: Transport and Retention Processes on Moorea, French Polynesia",Oceanography,,,2013-09-01,2013,26,3,52-63,All OA; Gold,Article,"Leichter, James; Alldredge, Alice; Bernardi, Giacomo; Brooks, Andrew; Carlson, Craig; Carpenter, Robert; Edmunds, Peter; Fewings, Melanie; Hanson, Katharine; Hench, James; Holbrook, Sally; Nelson, Craig; Schmitt, Russell; Toonen, Robert; Washburn, Libe; Wyatt, Alex",,"Leichter, James (); Alldredge, Alice (); Bernardi, Giacomo (); Brooks, Andrew (); Carlson, Craig (); Carpenter, Robert (); Edmunds, Peter (); Fewings, Melanie (); Hanson, Katharine (); Hench, James (); Holbrook, Sally (); Nelson, Craig (); Schmitt, Russell (); Toonen, Robert (); Washburn, Libe (); Wyatt, Alex ()",23,10,,2.79,https://tos.org/oceanography/assets/docs/26-3_leichter.pdf,https://app.dimensions.ai/details/publication/pub.1073068217,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
32,100,pub.1006861123,10.1002/gbc.20067,,,Localized refractory dissolved organic carbon sinks in the deep ocean,Global Biogeochemical Cycles,,,2013-09,2013,27,3,705-710,All OA; Gold,Article,"Hansell, Dennis A.; Carlson, Craig A.",,"Hansell, Dennis A. (University of Miami); Carlson, Craig A. (University of California, Santa Barbara)",34,9,,4.13,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/gbc.20067,https://app.dimensions.ai/details/publication/pub.1006861123,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
33,100,pub.1006005791,10.1016/j.dsr2.2013.01.008,,,Two decades and counting: 24-years of sustained open ocean biogeochemical measurements in the Sargasso Sea,Deep Sea Research Part II Topical Studies in Oceanography,,,2013-09,2013,93,,16-32,Closed,Article,"Lomas, M.W.; Bates, N.R.; Johnson, R.J.; Knap, A.H.; Steinberg, D.K.; Carlson, C.A.","Lomas, M.W.","Lomas, M.W. (); Bates, N.R. (); Johnson, R.J. (); Knap, A.H. (); Steinberg, D.K. (University of Hawaii at Manoa); Carlson, C.A. (University of South Florida)",70,18,,8.5,,https://app.dimensions.ai/details/publication/pub.1006005791,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
34,400,pub.1043377559,10.7717/peerj.108,23882445,PMC3719129,Influence of coral and algal exudates on microbially mediated reef metabolism,PeerJ,,,2013-07-16,2013,1,,e108,All OA; Gold,Article,"Haas, Andreas F.; Nelson, Craig E.; Rohwer, Forest; Wegley-Kelly, Linda; Quistad, Steven D.; Carlson, Craig A.; Leichter, James J.; Hatay, Mark; Smith, Jennifer E.",,"Haas, Andreas F. (San Diego State University; University of California, San Diego); Nelson, Craig E. (University of California, Santa Barbara); Rohwer, Forest (San Diego State University); Wegley-Kelly, Linda (San Diego State University); Quistad, Steven D. (San Diego State University); Carlson, Craig A. (University of California, Santa Barbara); Leichter, James J. (University of California, San Diego); Hatay, Mark (San Diego State University); Smith, Jennifer E. (University of California, San Diego)",55,20,2.05,8.98,https://peerj.com/articles/108.pdf,https://app.dimensions.ai/details/publication/pub.1043377559,0602 Ecology; 0501 Ecological Applications; 0605 Microbiology; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0501 Ecological Applications,0605 Microbiology,0607 Plant Biology,05 Environmental Sciences
35,400,pub.1034122511,10.1038/ismej.2012.161,23303369,PMC3635233,Coral and macroalgal exudates vary in neutral sugar composition and differentially enrich reef bacterioplankton lineages,The ISME Journal,,"Animals; Anthozoa; Bacteria; Carbohydrate Metabolism; Carbon; Chlorophyta; Coral Reefs; Hydrogen-Ion Concentration; Plankton; Polynesia; RNA, Ribosomal, 16S; Rhodophyta; Seawater; Seaweed",2013-05,2013,7,5,962-979,All OA; Gold,Article,"Nelson, Craig E; Goldberg, Stuart J; Wegley Kelly, Linda; Haas, Andreas F; Smith, Jennifer E; Rohwer, Forest; Carlson, Craig A","Nelson, Craig E","Nelson, Craig E (University of California, Santa Barbara); Goldberg, Stuart J (University of California, Santa Barbara); Wegley Kelly, Linda (San Diego State University); Haas, Andreas F (University of California, San Diego); Smith, Jennifer E (University of California, San Diego); Rohwer, Forest (San Diego State University); Carlson, Craig A (University of California, Santa Barbara)",105,37,3.81,13.7,https://www.nature.com/articles/ismej2012161.pdf,https://app.dimensions.ai/details/publication/pub.1034122511,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
36,100,pub.1031814076,10.1029/2012gb004449,,,Dissolved organic nitrogen in the global surface ocean: Distribution and fate,Global Biogeochemical Cycles,,,2013-03,2013,27,1,141-153,All OA; Gold,Article,"Letscher, Robert T.; Hansell, Dennis A.; Carlson, Craig A.; Lumpkin, Rick; Knapp, Angela N.",,"Letscher, Robert T. (University of Miami; University of California, Irvine); Hansell, Dennis A. (University of Miami); Carlson, Craig A. (University of California, Santa Barbara); Lumpkin, Rick (Atlantic Oceanographic and Meteorological Laboratory); Knapp, Angela N. (University of Miami)",56,19,,6.8,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2012GB004449,https://app.dimensions.ai/details/publication/pub.1031814076,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
37,200,pub.1071157137,10.3354/ame01586,,,Annual cycle of organic matter partitioning and its availability to bacteria across the Santa Barbara Channel continental shelf,Aquatic Microbial Ecology,,,2012-11-02,2012,67,3,189-209,All OA; Gold,Article,"Halewood, ER; Carlson, CA; Brzezinski, MA; Reed, DC; Goodman, J",,"Halewood, ER (); Carlson, CA (); Brzezinski, MA (); Reed, DC (); Goodman, J ()",15,2,,1.78,https://www.int-res.com/articles/ame_oa/a067p189.pdf,https://app.dimensions.ai/details/publication/pub.1071157137,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
38,100,pub.1022447891,10.1016/j.csr.2012.08.011,,,"Sources of phytoplankton to the inner continental shelf in the Santa Barbara Channel inferred from cross-shelf gradients in biological, physical and chemical parameters",Continental Shelf Research,,,2012-10,2012,48,,27-39,Closed,Article,"Goodman, Jo; Brzezinski, Mark A.; Halewood, Elisa R.; Carlson, Craig A.","Brzezinski, Mark A.","Goodman, Jo (University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara); Halewood, Elisa R. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara)",7,2,,0.82,,https://app.dimensions.ai/details/publication/pub.1022447891,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
39,400,pub.1008674993,10.1111/j.1462-2920.2012.02738.x,22507662,,Tracking differential incorporation of dissolved organic carbon types among diverse lineages of Sargasso Sea bacterioplankton,Environmental Microbiology,,"Aquatic Organisms; Bacteria; Biodiversity; Carbon; Carbon Sequestration; Oceans and Seas; Plankton; Seawater; Water Pollutants, Chemical",2012-06,2012,14,6,1500-1516,Closed,Article,"Nelson, Craig E.; Carlson, Craig A.",,"Nelson, Craig E. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara)",77,14,2.63,9.23,,https://app.dimensions.ai/details/publication/pub.1008674993,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
40,400,pub.1021663993,10.1111/j.1462-2920.2011.02694.x,22225975,,"Basin‐scale patterns in the abundance of SAR11 subclades, marine Actinobacteria (OM1), members of the Roseobacter clade and OCS116 in the South Atlantic",Environmental Microbiology,,"Actinobacteria; Alphaproteobacteria; Aquatic Organisms; Atlantic Ocean; Ecosystem; RNA, Ribosomal, 16S; Roseobacter; Seawater",2012-05,2012,14,5,1133-1144,Closed,Article,"Morris, Robert M.; Frazar, Christian D.; Carlson, Craig A.",,"Morris, Robert M. (University of Washington); Frazar, Christian D. (University of Washington); Carlson, Craig A. (University of California, Santa Barbara)",48,14,1.62,6.83,,https://app.dimensions.ai/details/publication/pub.1021663993,0605 Microbiology; 06 Biological Sciences; 0603 Evolutionary Biology,0605 Microbiology,06 Biological Sciences,0603 Evolutionary Biology,,
41,400,pub.1045967316,10.1038/ismej.2011.117,21955994,PMC3280133,Phytoplankton distribution patterns in the northwestern Sargasso Sea revealed by small subunit rRNA genes from plastids,The ISME Journal,,"Atlantic Ocean; Bermuda; Chlorophyll; Chrysophyta; Diatoms; Genes, rRNA; Haptophyta; Phytoplankton; Plastids; Polymorphism, Restriction Fragment Length; RNA, Ribosomal, 16S; Seasons; Seawater",2012-03,2012,6,3,481-492,All OA; Gold,Article,"Treusch, Alexander H; Demir-Hilton, Elif; Vergin, Kevin L; Worden, Alexandra Z; Carlson, Craig A; Donatz, Michael G; Burton, Robert M; Giovannoni, Stephen J","Giovannoni, Stephen J","Treusch, Alexander H (Oregon State University; University of Southern Denmark); Demir-Hilton, Elif (Monterey Bay Aquarium Research Institute); Vergin, Kevin L (Oregon State University); Worden, Alexandra Z (Monterey Bay Aquarium Research Institute); Carlson, Craig A (University of California, Santa Barbara); Donatz, Michael G (Oregon State University); Burton, Robert M (Oregon State University); Giovannoni, Stephen J (Oregon State University)",63,15,1.66,11.76,https://www.nature.com/articles/ismej2011117.pdf,https://app.dimensions.ai/details/publication/pub.1045967316,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
42,100,pub.1037077887,10.1029/2011gb004069,,,Net removal of major marine dissolved organic carbon fractions in the subsurface ocean,Global Biogeochemical Cycles,,,2012-03,2012,26,1,n/a-n/a,All OA; Gold,Article,"Hansell, Dennis A.; Carlson, Craig A.; Schlitzer, Reiner",,"Hansell, Dennis A. (University of Miami); Carlson, Craig A. (University of California, Santa Barbara); Schlitzer, Reiner (Alfred Wegener Institute for Polar and Marine Research)",104,25,,11.83,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011GB004069,https://app.dimensions.ai/details/publication/pub.1037077887,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
43,400,pub.1046253766,10.1038/ismej.2011.101,21833038,PMC3260494,Ocean time-series reveals recurring seasonal patterns of virioplankton dynamics in the northwestern Sargasso Sea,The ISME Journal,,Bacteria; Bacteriophages; Biodiversity; Oceans and Seas; Plankton; Seasons; Seawater; Water Movements,2012-02,2012,6,2,273-284,All OA; Gold,Article,"Parsons, Rachel J; Breitbart, Mya; Lomas, Michael W; Carlson, Craig A","Carlson, Craig A","Parsons, Rachel J (Bermuda Institute of Ocean Sciences); Breitbart, Mya (University of South Florida); Lomas, Michael W (Bermuda Institute of Ocean Sciences); Carlson, Craig A (University of California, Santa Barbara)",74,14,2.36,,https://www.nature.com/articles/ismej2011101.pdf,https://app.dimensions.ai/details/publication/pub.1046253766,10 Technology; 05 Environmental Sciences; 06 Biological Sciences,10 Technology,05 Environmental Sciences,06 Biological Sciences,,
44,400,pub.1036886187,10.1038/ismej.2011.108,21900967,PMC3260501,An all-taxon microbial inventory of the Moorea coral reef ecosystem,The ISME Journal,,"Archaea; Bacteria; Bacterial Physiological Phenomena; Biodiversity; Coral Reefs; DNA, Ribosomal; Ecosystem; Eukaryota; Oceans and Seas; Polynesia; RNA, Ribosomal, 16S; Seasons",2012-02,2012,6,2,309-319,All OA; Gold,Article,"McCliment, Elizabeth A; Nelson, Craig E; Carlson, Craig A; Alldredge, Alice L; Witting, Jan; Amaral-Zettler, Linda A","Amaral-Zettler, Linda A","McCliment, Elizabeth A (Marine Biological Laboratory); Nelson, Craig E (University of California, Santa Barbara); Carlson, Craig A (University of California, Santa Barbara); Alldredge, Alice L (University of California, Santa Barbara); Witting, Jan (Sea Education Association); Amaral-Zettler, Linda A (Marine Biological Laboratory; Brown University)",21,2,0.89,2.81,https://www.nature.com/articles/ismej2011108.pdf,https://app.dimensions.ai/details/publication/pub.1036886187,0602 Ecology; 0502 Environmental Science and Management; 0605 Microbiology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0605 Microbiology,05 Environmental Sciences,06 Biological Sciences
45,400,pub.1025610911,10.1371/journal.pone.0027973,22125645,PMC3220721,Effects of Coral Reef Benthic Primary Producers on Dissolved Organic Carbon and Microbial Activity,PLoS ONE,,Animals; Anthozoa; Bacteria; Carbon; Chlorophyta; Coral Reefs; Ecosystem; Light; Phaeophyta; Plankton; Polynesia; Population Dynamics; Rhodophyta; Seawater; Temperature; Water Microbiology,2011-11-18,2011,6,11,e27973,All OA; Gold,Article,"Haas, Andreas F.; Nelson, Craig E.; Kelly, Linda Wegley; Carlson, Craig A.; Rohwer, Forest; Leichter, James J.; Wyatt, Alex; Smith, Jennifer E.",,"Haas, Andreas F. (University of California, San Diego); Nelson, Craig E. (University of California, Santa Barbara); Kelly, Linda Wegley (San Diego State University); Carlson, Craig A. (University of California, Santa Barbara); Rohwer, Forest (San Diego State University); Leichter, James J. (University of California, San Diego); Wyatt, Alex (University of California, San Diego); Smith, Jennifer E. (University of California, San Diego)",102,34,2.75,12.61,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0027973&type=printable,https://app.dimensions.ai/details/publication/pub.1025610911,0602 Ecology; 0502 Environmental Science and Management; 0605 Microbiology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0605 Microbiology,05 Environmental Sciences,06 Biological Sciences
46,100,pub.1022044940,10.1029/2011gl048620,,,Systematic removal of neutral sugars within dissolved organic matter across ocean basins,Geophysical Research Letters,,,2011-09,2011,38,17,n/a-n/a,All OA; Gold,Article,"Goldberg, Stuart J.; Carlson, Craig A.; Brzezinski, Mark; Nelson, Norm B.; Siegel, David A.",,"Goldberg, Stuart J. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara); Brzezinski, Mark (University of California, Santa Barbara); Nelson, Norm B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara)",22,3,,2.31,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011GL048620,https://app.dimensions.ai/details/publication/pub.1022044940,04 Earth Sciences; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0405 Oceanography,0402 Geochemistry,,
47,400,pub.1043042762,10.1038/ismej.2011.12,21390080,PMC3146267,Depleted dissolved organic carbon and distinct bacterial communities in the water column of a rapid-flushing coral reef ecosystem,The ISME Journal,,"Bacteria; Carbon; Coral Reefs; Ecosystem; Oceans and Seas; Phylogeny; Polymorphism, Restriction Fragment Length; Polynesia; Seawater",2011-08,2011,5,8,1374-1387,All OA; Gold,Article,"Nelson, Craig E; Alldredge, Alice L; McCliment, Elizabeth A; Amaral-Zettler, Linda A; Carlson, Craig A","Nelson, Craig E","Nelson, Craig E (University of California, Santa Barbara); Alldredge, Alice L (University of California, Santa Barbara); McCliment, Elizabeth A (Marine Biological Laboratory); Amaral-Zettler, Linda A (Marine Biological Laboratory; Brown University); Carlson, Craig A (University of California, Santa Barbara)",52,10,1.46,6.53,https://www.nature.com/articles/ismej201112.pdf,https://app.dimensions.ai/details/publication/pub.1043042762,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
48,400,pub.1044790430,10.1371/journal.pone.0018320,21483836,PMC3069079,Differential Response of High-Elevation Planktonic Bacterial Community Structure and Metabolism to Experimental Nutrient Enrichment,PLoS ONE,,Altitude; Bacteria; Ecosystem; Fresh Water; Phosphorus; Plankton,2011-03-31,2011,6,3,e18320,All OA; Gold,Article,"Nelson, Craig E.; Carlson, Craig A.",,"Nelson, Craig E. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara)",16,2,0.44,1.68,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0018320&type=printable,https://app.dimensions.ai/details/publication/pub.1044790430,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
49,100,pub.1025048659,10.1016/j.dsr2.2010.02.013,,,Dissolved organic carbon export and subsequent remineralization in the mesopelagic and bathypelagic realms of the North Atlantic basin,Deep Sea Research Part II Topical Studies in Oceanography,,,2010-08,2010,57,16,1433-1445,Closed,Article,"Carlson, Craig A.; Hansell, Dennis A.; Nelson, Norman B.; Siegel, David A.; Smethie, William M.; Khatiwala, Samar; Meyers, Meredith M.; Halewood, Elisa","Carlson, Craig A.","Carlson, Craig A. (University of California, Santa Barbara); Hansell, Dennis A. (); Nelson, Norman B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Smethie, William M. (Lamont-Doherty Earth Observatory); Khatiwala, Samar (Lamont-Doherty Earth Observatory); Meyers, Meredith M. (University of California, Santa Barbara); Halewood, Elisa (University of California, Santa Barbara)",145,32,,13.77,,https://app.dimensions.ai/details/publication/pub.1025048659,0602 Ecology; 0405 Oceanography; 0402 Geochemistry; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0402 Geochemistry,04 Earth Sciences,06 Biological Sciences
50,100,pub.1019835346,10.1016/j.dsr2.2010.02.018,,,Mesopelagic zone ecology and biogeochemistry – a synthesis,Deep Sea Research Part II Topical Studies in Oceanography,,,2010-08,2010,57,16,1504-1518,"All OA; Green, Published",Article,"Robinson, Carol; Steinberg, Deborah K.; Anderson, Thomas R.; Arístegui, Javier; Carlson, Craig A.; Frost, Jessica R.; Ghiglione, Jean-François; Hernández-León, Santiago; Jackson, George A.; Koppelmann, Rolf; Quéguiner, Bernard; Ragueneau, Olivier; Rassoulzadegan, Fereidoun; Robison, Bruce H.; Tamburini, Christian; Tanaka, Tsuneo; Wishner, Karen F.; Zhang, Jing","Robinson, Carol","Robinson, Carol (University of East Anglia); Steinberg, Deborah K. (); Anderson, Thomas R. (); Arístegui, Javier (University of Las Palmas de Gran Canaria); Carlson, Craig A. (University of California, Santa Barbara); Frost, Jessica R. (University of Hamburg); Ghiglione, Jean-François (French National Centre for Scientific Research); Hernández-León, Santiago (University of Las Palmas de Gran Canaria); Jackson, George A. (Texas A&M University); Koppelmann, Rolf (University of Hamburg); Quéguiner, Bernard (Aix-Marseille University); Ragueneau, Olivier (European Institute for Marine Studies); Rassoulzadegan, Fereidoun (); Robison, Bruce H. (Monterey Bay Aquarium Research Institute); Tamburini, Christian (Aix-Marseille University); Tanaka, Tsuneo (Aix-Marseille University); Wishner, Karen F. (University of Rhode Island); Zhang, Jing (East China Normal University)",130,45,,12.3,https://ueaeprints.uea.ac.uk/20406/1/Robinson_et_al_2010_DSRII_meso.pdf,https://app.dimensions.ai/details/publication/pub.1019835346,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
51,100,pub.1031776354,10.1016/j.marchem.2009.12.002,,,Meridional variability in dissolved organic matter stocks and diagenetic state within the euphotic and mesopelagic zone of the North Atlantic subtropical gyre,Marine Chemistry,,,2010-04,2010,119,1-4,9-21,Closed,Article,"Goldberg, Stuart J.; Carlson, Craig A.; Bock, Brandon; Nelson, Norm B.; Siegel, David A.","Goldberg, Stuart J.","Goldberg, Stuart J. (University of California, Santa Barbara; Scripps Institution of Oceanography); Carlson, Craig A. (University of California, Santa Barbara); Bock, Brandon (University of California, Santa Barbara); Nelson, Norm B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara)",16,3,,1.53,,https://app.dimensions.ai/details/publication/pub.1031776354,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
52,400,pub.1030940628,10.1126/science.1185468,20185682,,Unicellular Cyanobacterial Distributions Broaden the Oceanic N<sub>2</sub> Fixation Domain,Science,,"Biomass; Cyanobacteria; Ecosystem; Genes, Bacterial; Geography; Light; Nitrogen Fixation; Oxidoreductases; Pacific Ocean; Phytoplankton; Polymerase Chain Reaction; Seawater; Species Specificity; Temperature",2010-03-19,2010,327,5972,1512-1514,Closed,Article,"Moisander, Pia H.; Beinart, Roxanne A.; Hewson, Ian; White, Angelicque E.; Johnson, Kenneth S.; Carlson, Craig A.; Montoya, Joseph P.; Zehr, Jonathan P.",,"Moisander, Pia H. (University of California, Santa Cruz); Beinart, Roxanne A. (University of California, Santa Cruz); Hewson, Ian (University of California, Santa Cruz); White, Angelicque E. (Oregon State University); Johnson, Kenneth S. (Monterey Bay Aquarium Research Institute); Carlson, Craig A. (University of California, Santa Barbara); Montoya, Joseph P. (Georgia Institute of Technology); Zehr, Jonathan P. (University of California, Santa Cruz)",257,52,3.78,24.57,,https://app.dimensions.ai/details/publication/pub.1030940628,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
53,100,pub.1037313244,10.1029/2009gl042325,,,Tracing global biogeochemical cycles and meridional overturning circulation using chromophoric dissolved organic matter,Geophysical Research Letters,,,2010-02,2010,37,3,n/a-n/a,All OA; Gold,Article,"Nelson, Norman B.; Siegel, David A.; Carlson, Craig A.; Swan, Chantal M.",,"Nelson, Norman B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara); Swan, Chantal M. (University of California, Santa Barbara)",102,16,,9.75,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009GL042325,https://app.dimensions.ai/details/publication/pub.1037313244,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
54,100,pub.1027120208,10.5194/bg-7-57-2010,,,Increased ocean carbon export in the Sargasso Sea linked to climate variability is countered by its enhanced mesopelagic attenuation,Biogeosciences,,,2010-01-05,2010,7,1,57-70,All OA; Gold,Article,"Lomas, M. W.; Steinberg, D. K.; Dickey, T.; Carlson, C. A.; Nelson, N. B.; Condon, R. H.; Bates, N. R.",,"Lomas, M. W. (Bermuda Institute of Ocean Sciences); Steinberg, D. K. (William & Mary); Dickey, T. (University of California, Santa Barbara); Carlson, C. A. (University of California, Santa Barbara); Nelson, N. B. (University of California, Santa Barbara); Condon, R. H. (Bermuda Institute of Ocean Sciences); Bates, N. R. (Bermuda Institute of Ocean Sciences)",86,12,,8.14,https://www.biogeosciences.net/7/57/2010/bg-7-57-2010.pdf,https://app.dimensions.ai/details/publication/pub.1027120208,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
55,200,pub.1073067737,10.5670/oceanog.2009.109,,,Dissolved Organic Matter in the Ocean: A Controversy Stimulates New Insights,Oceanography,,,2009-12-01,2009,22,4,202-211,"All OA; Green, Published",Article,"Hansell, Dennis; Carlson, Craig; Repeta, Daniel; Schlitzer, Reiner",,"Hansell, Dennis (); Carlson, Craig (); Repeta, Daniel (); Schlitzer, Reiner ()",406,111,,32.95,http://darchive.mblwhoilibrary.org/bitstream/1912/3183/1/22-4_hansell.pdf,https://app.dimensions.ai/details/publication/pub.1073067737,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
