,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Hillary S Young. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
25,500,pub.1085054290,10.1098/rstb.2016.0116,28438909,PMC5413868,Interacting effects of land use and climate on rodent-borne pathogens in central Kenya,Philosophical Transactions of the Royal Society B Biological Sciences,,Agriculture; Animals; Climate Change; Conservation of Natural Resources; Disease Vectors; Kenya; Prevalence; Public Health; Rodentia; Zoonoses,2017-06-05,2017,372,1722,20160116,All OA; Gold,Article,"Young, Hillary S.; McCauley, Douglas J.; Dirzo, Rodolfo; Nunn, Charles L.; Campana, Michael G.; Agwanda, Bernard; Otarola-Castillo, Erik R.; Castillo, Eric R.; Pringle, Robert M.; Veblen, Kari E.; Salkeld, Daniel J.; Stewardson, Kristin; Fleischer, Robert; Lambin, Eric F.; Palmer, Todd M.; Helgen, Kristofer M.",,"Young, Hillary S. (University of California, Santa Barbara; Mpala Research Center and Wildlife Foundation); McCauley, Douglas J. (University of California, Santa Barbara; Mpala Research Center and Wildlife Foundation); Dirzo, Rodolfo (Stanford University); Nunn, Charles L. (Duke University); Campana, Michael G. (National Zoological Park); Agwanda, Bernard (National Museums of Kenya); Otarola-Castillo, Erik R. (Purdue University West Lafayette); Castillo, Eric R. (Harvard University); Pringle, Robert M. (Mpala Research Center and Wildlife Foundation; Princeton University); Veblen, Kari E. (Mpala Research Center and Wildlife Foundation; Utah State University); Salkeld, Daniel J. (Colorado State University); Stewardson, Kristin (National Zoological Park); Fleischer, Robert (National Zoological Park); Lambin, Eric F. (Stanford University); Palmer, Todd M. (Mpala Research Center and Wildlife Foundation; University of Florida); Helgen, Kristofer M. (National Museum of Natural History; University of Adelaide)",10,6,1.45,,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0116,https://app.dimensions.ai/details/publication/pub.1085054290,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
26,200,pub.1085053211,10.1098/rstb.2016.0124,28438913,PMC5413872,"Conservation, biodiversity and infectious disease: scientific evidence and policy implications",Philosophical Transactions of the Royal Society B Biological Sciences,,Biodiversity; Communicable Disease Control; Conservation of Natural Resources; Health Policy; Humans,2017-06-05,2017,372,1722,20160124,All OA; Gold,Article,"Young, Hillary S.; Wood, Chelsea L.; Kilpatrick, A. Marm; Lafferty, Kevin D.; Nunn, Charles L.; Vincent, Jeffrey R.",,"Young, Hillary S. (University of California, Santa Barbara); Wood, Chelsea L. (University of Michigan; University of Washington); Kilpatrick, A. Marm (University of California, Santa Cruz); Lafferty, Kevin D. (University of California, Santa Barbara); Nunn, Charles L. (Duke University); Vincent, Jeffrey R. (Duke University)",12,11,1.6,,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0124,https://app.dimensions.ai/details/publication/pub.1085053211,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
27,200,pub.1051475892,10.1111/1365-2435.12728,,,A mammoth undertaking: harnessing insight from functional ecology to shape de‐extinction priority setting,Functional Ecology,,,2017-05,2017,31,5,1003-1011,All OA; Gold,Article,"McCauley, Douglas J.; Hardesty‐Moore, Molly; Halpern, Benjamin S.; Young, Hillary S.",,"McCauley, Douglas J. (); Hardesty‐Moore, Molly (); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Young, Hillary S. ()",16,8,,,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.12728,https://app.dimensions.ai/details/publication/pub.1051475892,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
28,100,pub.1018397620,10.1139/cjz-2016-0107,,,Cascading community and ecosystem consequences of introduced coconut palms (Cocos nucifera) in tropical islands1,Canadian Journal of Zoology,,,2017-03,2017,95,3,139-148,"All OA; Green, Accepted & Submitted",Article,"Young, H.S.; Kuile, A. Miller-ter; McCauley, D.J.; Dirzo, R.",,"Young, H.S. (University of California, Santa Barbara); Kuile, A. Miller-ter (University of California, Santa Barbara); McCauley, D.J. (University of California, Santa Barbara); Dirzo, R. (Stanford University)",3,2,,1.17,https://escholarship.org/content/qt6vv0t4vd/qt6vv0t4vd.pdf?t=ozrww8,https://app.dimensions.ai/details/publication/pub.1018397620,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
29,500,pub.1014292781,10.1016/j.tree.2016.09.008,28029377,,"Introduced Species, Disease Ecology, and Biodiversity–Disease Relationships",Trends in Ecology & Evolution,,Animals; Biodiversity; Ecology; Introduced Species; Parasites; Phylogeny,2017-01,2017,32,1,41-54,Closed,Article,"Young, Hillary S.; Parker, Ingrid M.; Gilbert, Gregory S.; Guerra, Ana Sofia; Nunn, Charles L.","Young, Hillary S.","Young, Hillary S. (University of California, Santa Barbara); Parker, Ingrid M. (University of California, Santa Cruz); Gilbert, Gregory S. (University of California, Santa Cruz); Guerra, Ana Sofia (University of California, Santa Barbara); Nunn, Charles L. (Duke University)",42,33,5.18,18.41,,https://app.dimensions.ai/details/publication/pub.1014292781,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
30,400,pub.1027093176,10.1186/s12864-016-3368-9,27938335,PMC5148847,"Genome sequence, population history, and pelage genetics of the endangered African wild dog (Lycaon pictus)",BMC Genomics,,"Animals; Animals, Wild; Canidae; Chromosomes; Endangered Species; Genetics, Population; Genome; Genome, Mitochondrial; Genomics; Geography; Polymorphism, Single Nucleotide; Selection, Genetic",2016-12,2016,17,1,1013,All OA; Gold,Article,"Campana, Michael G.; Parker, Lillian D.; Hawkins, Melissa T. R.; Young, Hillary S.; Helgen, Kristofer M.; Szykman Gunther, Micaela; Woodroffe, Rosie; Maldonado, Jesús E.; Fleischer, Robert C.","Campana, Michael G.","Campana, Michael G. (Smithsonian Conservation Biology Institute; George Mason University); Parker, Lillian D. (Smithsonian Conservation Biology Institute; George Mason University; National Museum of Natural History); Hawkins, Melissa T. R. (Smithsonian Conservation Biology Institute; George Mason University; National Museum of Natural History); Young, Hillary S. (University of California, Santa Barbara); Helgen, Kristofer M. (George Mason University; National Museum of Natural History); Szykman Gunther, Micaela (Humboldt State University); Woodroffe, Rosie (Zoological Society of London); Maldonado, Jesús E. (Smithsonian Conservation Biology Institute; George Mason University); Fleischer, Robert C. (Smithsonian Conservation Biology Institute)",9,7,0.73,2.12,https://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-016-3368-9,https://app.dimensions.ai/details/publication/pub.1027093176,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
31,200,pub.1063176617,10.1146/annurev-ecolsys-112414-054142,,,"Patterns, Causes, and Consequences of Anthropocene Defaunation",Annual Review of Ecology Evolution and Systematics,,,2016-11,2016,47,1,333-358,Closed,Article,"Young, Hillary S.; McCauley, Douglas J.; Galetti, Mauro; Dirzo, Rodolfo",,"Young, Hillary S. (University of California, Santa Barbara); McCauley, Douglas J. (University of California, Santa Barbara); Galetti, Mauro (Sao Paulo State University); Dirzo, Rodolfo (Stanford University)",28,22,,,,https://app.dimensions.ai/details/publication/pub.1063176617,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
32,400,pub.1044657917,10.1098/rsos.160498,27853564,PMC5098989,Bushmeat hunting and extinction risk to the world's mammals,Royal Society Open Science,,,2016-10,2016,3,10,160498,All OA; Gold,Article,"Ripple, William J; Abernethy, Katharine; Betts, Matthew G; Chapron, Guillaume; Dirzo, Rodolfo; Galetti, Mauro; Levi, Taal; Lindsey, Peter A; Macdonald, David W; Machovina, Brian; Newsome, Thomas M; Peres, Carlos A; Wallach, Arian D; Wolf, Christopher; Young, Hillary",,"Ripple, William J (); Abernethy, Katharine (University of Stirling); Betts, Matthew G (); Chapron, Guillaume (Swedish University of Agricultural Sciences); Dirzo, Rodolfo (Stanford University); Galetti, Mauro (); Levi, Taal (); Lindsey, Peter A (); Macdonald, David W (University of Oxford); Machovina, Brian (Florida International University); Newsome, Thomas M (); Peres, Carlos A (University of East Anglia); Wallach, Arian D (University of Technology Sydney); Wolf, Christopher (); Young, Hillary (University of California, Santa Barbara)",112,96,2.53,32.6,https://doi.org/10.1098/rsos.160498,https://app.dimensions.ai/details/publication/pub.1044657917,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
33,400,pub.1031462153,10.1111/1755-0998.12524,26990246,,"Simultaneous identification of host, ectoparasite and pathogen DNA via in‐solution capture",Molecular Ecology Resources,,"Animals; DNA; Ecosystem; Genotyping Techniques; High-Throughput Nucleotide Sequencing; Humans; Molecular Biology; Polymerase Chain Reaction; Sequence Analysis, DNA",2016-09,2016,16,5,1224-1239,"All OA; Green, Accepted & Submitted",Article,"Campana, Michael G.; Hawkins, Melissa T. R.; Henson, Lauren H.; Stewardson, Kristin; Young, Hillary S.; Card, Leah R.; Lock, Justin; Agwanda, Bernard; Brinkerhoff, Jory; Gaff, Holly D.; Helgen, Kristofer M.; Maldonado, Jesús E.; McShea, William J.; Fleischer, Robert C.",,"Campana, Michael G. (Smithsonian Conservation Biology Institute); Hawkins, Melissa T. R. (Smithsonian Conservation Biology Institute; Smithsonian Institution); Henson, Lauren H. (Smithsonian Conservation Biology Institute); Stewardson, Kristin (Smithsonian Conservation Biology Institute); Young, Hillary S. (University of California, Santa Barbara); Card, Leah R. (Smithsonian Conservation Biology Institute); Lock, Justin (Smithsonian Conservation Biology Institute); Agwanda, Bernard (National Museums of Kenya); Brinkerhoff, Jory (University of Richmond); Gaff, Holly D. (Old Dominion University); Helgen, Kristofer M. (Smithsonian Institution); Maldonado, Jesús E. (Smithsonian Conservation Biology Institute; Smithsonian Institution); McShea, William J. (Smithsonian Conservation Biology Institute); Fleischer, Robert C. (Smithsonian Conservation Biology Institute)",15,8,1.72,3.4,https://repository.si.edu/bitstream/handle/10088/28555/19-EctoBaits_FirstLookProof.pdf,https://app.dimensions.ai/details/publication/pub.1031462153,0605 Microbiology; 0604 Genetics; 06 Biological Sciences,0605 Microbiology,0604 Genetics,06 Biological Sciences,,
34,100,pub.1010950809,10.1016/j.jembe.2016.04.012,,,Use of high-resolution acoustic cameras to study reef shark behavioral ecology,Journal of Experimental Marine Biology and Ecology,,,2016-09,2016,482,Environ. Biol. Fish 58 2000,128-133,All OA; Gold,Article,"McCauley, Douglas J.; DeSalles, Paul A.; Young, Hillary S.; Gardner, Jonathan P.A.; Micheli, Fiorenza","McCauley, Douglas J.","McCauley, Douglas J. (University of California, Santa Barbara); DeSalles, Paul A. (University of California, Santa Barbara); Young, Hillary S. (University of California, Santa Barbara); Gardner, Jonathan P.A. (Victoria University of Wellington); Micheli, Fiorenza (Stanford University)",3,2,,0.87,https://manuscript.elsevier.com/S0022098116300855/pdf/S0022098116300855.pdf,https://app.dimensions.ai/details/publication/pub.1010950809,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
35,400,pub.1059806467,10.1093/jme/tjw048,27113102,,Host-Parasite Associations in Small Mammal Communities in Semiarid Savanna Ecosystems of East Africa.,Journal of Medical Entomology,,Acari; Animals; Anoplura; Ectoparasitic Infestations; Grassland; Host-Parasite Interactions; Kenya; Mammals; Rodent Diseases; Rodentia; Siphonaptera,2016-07,2016,53,4,851-860,Closed,Article,"Guerra, Ana Sofia; Eckerlin, Ralph P; Dowling, Ashley P G; Durden, Lance A; Robbins, Richard G; Dittmar, Katharina; Helgen, Kristofer M; Agwanda, Bernard; Allan, Brian F; Hedlund, Tyler; Young, Hillary S",,"Guerra, Ana Sofia (University of California, Santa Barbara); Eckerlin, Ralph P (Northern Virginia Community College); Dowling, Ashley P G (University of Arkansas at Fayetteville); Durden, Lance A (Georgia Southern University); Robbins, Richard G (); Dittmar, Katharina (University at Buffalo, State University of New York); Helgen, Kristofer M (National Museum of Natural History); Agwanda, Bernard (National Museums of Kenya); Allan, Brian F (University of Illinois at Urbana Champaign); Hedlund, Tyler (University of Illinois at Urbana Champaign); Young, Hillary S (University of California, Santa Barbara)",4,2,0.58,1.04,,https://app.dimensions.ai/details/publication/pub.1059806467,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
36,100,pub.1032458027,10.1111/1365-2435.12542,,,Large wildlife removal drives immune defence increases in rodents,Functional Ecology,,,2016-05,2016,30,5,799-807,All OA; Gold,Article,"Young, Hillary S.; Dirzo, Rodolfo; Helgen, Kristofer M.; McCauley, Douglas J.; Nunn, Charles L.; Snyder, Paul; Veblen, Kari E.; Zhao, Serena; Ezenwa, Vanessa O.",,"Young, Hillary S. (University of California, Santa Barbara; National Museum of Natural History; Mpala Research Center and Wildlife Foundation); Dirzo, Rodolfo (Stanford University); Helgen, Kristofer M. (National Museum of Natural History); McCauley, Douglas J. (University of California, Santa Barbara; Mpala Research Center and Wildlife Foundation); Nunn, Charles L. (Duke University); Snyder, Paul (University of Georgia; Oregon State University); Veblen, Kari E. (Mpala Research Center and Wildlife Foundation; Utah State University); Zhao, Serena (National Museum of Natural History; Mpala Research Center and Wildlife Foundation); Ezenwa, Vanessa O. (Mpala Research Center and Wildlife Foundation; University of Georgia)",9,6,,2.62,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.12542,https://app.dimensions.ai/details/publication/pub.1032458027,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
37,100,pub.1007065170,10.1007/s10530-015-1042-9,,,Passive recovery of an island bird community after rodent eradication,Biological Invasions,,,2016-03,2016,18,3,703-715,Closed,Article,"Croll, Donald A.; Newton, Kelly M.; McKown, Matthew; Holmes, Nick; Williams, Jeffrey C.; Young, Hillary S.; Buckelew, Stacey; Wolf, Coral A.; Howald, Gregg; Bock, Milagra F.; Curl, Jennifer A.; Tershy, Bernie R.","Croll, Donald A.","Croll, Donald A. (University of California, Santa Cruz); Newton, Kelly M. (University of California, Santa Cruz); McKown, Matthew (University of California, Santa Cruz); Holmes, Nick (); Williams, Jeffrey C. (); Young, Hillary S. (University of California, Santa Barbara); Buckelew, Stacey (); Wolf, Coral A. (); Howald, Gregg (); Bock, Milagra F. (University of California, Santa Cruz); Curl, Jennifer A. (University of Alaska Fairbanks); Tershy, Bernie R. (University of California, Santa Cruz)",9,4,,2.62,,https://app.dimensions.ai/details/publication/pub.1007065170,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
38,200,pub.1049149832,10.1890/15-1503.1,27145628,,Does biodiversity protect humans against infectious disease? Reply,Ecology,,Animals; Biodiversity; Communicable Diseases; Genetic Predisposition to Disease; Humans,2016-02,2016,97,2,543-546,Closed,Article,"Wood, Chelsea L.; Lafferty, Kevin D.; DeLeo, Giulio; Young, Hillary S.; Hudson, Peter J.; Kuris, Armand M.",,"Wood, Chelsea L. (University of Michigan); Lafferty, Kevin D. (); DeLeo, Giulio (Stanford University); Young, Hillary S. (University of California, Santa Barbara); Hudson, Peter J. (Pennsylvania State University); Kuris, Armand M. (University of California, Santa Barbara)",7,4,0.51,2.08,,https://app.dimensions.ai/details/publication/pub.1049149832,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
39,100,pub.1004522165,10.1002/eco.1601,,,Proximity to encroaching coconut palm limits native forest water use and persistence on a Pacific atoll,Ecohydrology,,,2015-12,2015,8,8,1514-1524,All OA; Gold,Article,"Krauss, Ken W.; Duberstein, Jamie A.; Cormier, Nicole; Young, Hillary S.; Hathaway, Stacie A.",,"Krauss, Ken W. (United States Geological Survey); Duberstein, Jamie A. (Clemson University); Cormier, Nicole (United States Geological Survey); Young, Hillary S. (University of California, Santa Barbara); Hathaway, Stacie A. (United States Geological Survey)",3,2,,0.83,http://dx.doi.org/10.1002/eco.1601,https://app.dimensions.ai/details/publication/pub.1004522165,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
40,200,pub.1045413834,10.1017/s0266467415000498,,,Differential plant damage due to litterfall in palm-dominated forest stands in a Central Pacific atoll – CORRIGENDUM,Journal of Tropical Ecology,,,2015-11,2015,31,6,573-573,All OA; Gold,Article,"Young, Hillary S.; McCauley, Douglas J.; Pollock, Amanda; Dirzo, Rodolfo",,"Young, Hillary S. (); McCauley, Douglas J. (); Pollock, Amanda (); Dirzo, Rodolfo ()",0,0,,0,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/1E8A1AD2A1A27E73859E8E1C774E61B7/S0266467415000498a.pdf/div-class-title-differential-plant-damage-due-to-litterfall-in-palm-dominated-forest-stands-in-a-central-pacific-atoll-corrigendum-div.pdf,https://app.dimensions.ai/details/publication/pub.1045413834,16 Studies in Human Society; 0602 Ecology; 1601 Anthropology; 06 Biological Sciences,16 Studies in Human Society,0602 Ecology,1601 Anthropology,06 Biological Sciences,
41,200,pub.1062616839,10.1126/science.349.6246.390-b,26206924,,Sexism discussion misses the point,Science,,"Child Care; Child, Preschool; Female; Humans; Male; Mentors; Parental Leave; Parturition; Research Personnel; Science; Sexism; Women",2015-07-24,2015,349,6246,390-391,Closed,Article,"Young, Hillary S.",,"Young, Hillary S. (University of California, Santa Barbara)",0,0,0,,,https://app.dimensions.ai/details/publication/pub.1062616839,,,,,,
42,400,pub.1003335623,10.1645/14-684.1,25634599,,Drivers of Intensity and Prevalence of Flea Parasitism on Small Mammals in East African Savanna Ecosystems,Journal of Parasitology,,Animals; Body Size; Ecosystem; Female; Flea Infestations; Grassland; Host-Pathogen Interactions; Kenya; Male; Plants; Prevalence; Rain; Rodent Diseases; Rodentia; Seasons; Siphonaptera; Soil,2015-06-01,2015,101,3,327-335,"All OA; Green, Accepted & Submitted",Article,"Young, Hillary S.; Dirzo, Rodolfo; McCauley, Douglas J.; Agwanda, Bernard; Cattaneo, Lia; Dittmar, Katharina; Eckerlin, Ralph P.; Fleischer, Robert C.; Helgen, Lauren E.; Hintz, Ashley; Montinieri, John; Zhao, Serena; Helgen, Kristofer M.",,"Young, Hillary S. (University of California, Santa Barbara); Dirzo, Rodolfo (University of California, Santa Barbara); McCauley, Douglas J. (University of California, Santa Barbara); Agwanda, Bernard (University of California, Santa Barbara); Cattaneo, Lia (University of California, Santa Barbara); Dittmar, Katharina (University of California, Santa Barbara); Eckerlin, Ralph P. (University of California, Santa Barbara); Fleischer, Robert C. (University of California, Santa Barbara); Helgen, Lauren E. (University of California, Santa Barbara); Hintz, Ashley (University of California, Santa Barbara); Montinieri, John (University of California, Santa Barbara); Zhao, Serena (University of California, Santa Barbara); Helgen, Kristofer M. (University of California, Santa Barbara)",12,8,0.98,2.35,https://escholarship.org/content/qt2mn8h7qh/qt2mn8h7qh.pdf?t=ozrxzf,https://app.dimensions.ai/details/publication/pub.1003335623,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
43,400,pub.1048249848,10.4269/ajtmh.14-0504,25711606,PMC4385772,Effects of Land Use on Plague (Yersinia pestis) Activity in Rodents in Tanzania,American Journal of Tropical Medicine and Hygiene,,"Agriculture; Animals; Conservation of Natural Resources; DNA Barcoding, Taxonomic; Disease Reservoirs; Ecosystem; Female; Geography; Humans; Plague; Prevalence; Rodent Diseases; Rodentia; Seroepidemiologic Studies; Siphonaptera; Tanzania; Yersinia pestis; Zoonoses",2015-04-01,2015,92,4,776-783,All OA; Gold,Article,"McCauley, Douglas J.; Salkeld, Daniel J.; Young, Hillary S.; Makundi, Rhodes; Dirzo, Rodolfo; Eckerlin, Ralph P.; Lambin, Eric F.; Gaffikin, Lynne; Barry, Michele; Helgen, Kristofer M.",,"McCauley, Douglas J. (); Salkeld, Daniel J. (); Young, Hillary S. (); Makundi, Rhodes (); Dirzo, Rodolfo (); Eckerlin, Ralph P. (); Lambin, Eric F. (); Gaffikin, Lynne (); Barry, Michele (); Helgen, Kristofer M. ()",14,6,1.21,,http://www.ajtmh.org/deliver/fulltext/14761645/92/4/776.pdf?itemId=/content/journals/10.4269/ajtmh.14-0504&mimeType=pdf&containerItemId=content/journals/14761645,https://app.dimensions.ai/details/publication/pub.1048249848,11 Medical and Health Sciences,11 Medical and Health Sciences,,,,
44,400,pub.1010403358,10.1890/14-0995.1,26263659,,Context‐dependent effects of large‐wildlife declines on small‐mammal communities in central Kenya,Ecological Applications,,"Animals; Animals, Wild; Biodiversity; Body Size; Conservation of Natural Resources; Kenya; Population Dynamics",2015-03,2015,25,2,348-360,"All OA; Green, Accepted & Submitted",Article,"Young, Hillary S.; McCauley, Douglas J.; Dirzo, Rodolfo; Goheen, Jacob R.; Agwanda, Bernard; Brook, Cara; Otárola-Castillo, Erik; Ferguson, Adam W.; Kinyua, Stephen N.; McDonough, Molly M.; Palmer, Todd M.; Pringle, Robert M.; Young, Truman P.; Helgen, Kristofer M.",,"Young, Hillary S. (University of California, Santa Barbara; National Museum of Natural History; Mpala Research Center and Wildlife Foundation; Stanford University); McCauley, Douglas J. (University of California, Santa Barbara); Dirzo, Rodolfo (Stanford University); Goheen, Jacob R. (Mpala Research Center and Wildlife Foundation; University of Wyoming); Agwanda, Bernard (National Museums of Kenya); Brook, Cara (Princeton University); Otárola-Castillo, Erik (Harvard University); Ferguson, Adam W. (Texas Tech University); Kinyua, Stephen N. (Mpala Research Center and Wildlife Foundation); McDonough, Molly M. (National Museum of Natural History; Texas Tech University); Palmer, Todd M. (Mpala Research Center and Wildlife Foundation; University of Florida); Pringle, Robert M. (Mpala Research Center and Wildlife Foundation; Princeton University); Young, Truman P. (Mpala Research Center and Wildlife Foundation; University of California, Davis); Helgen, Kristofer M. (National Museum of Natural History)",30,16,1.79,6.58,https://escholarship.org/content/qt403903qq/qt403903qq.pdf?t=ozry34,https://app.dimensions.ai/details/publication/pub.1010403358,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
45,100,pub.1011182250,10.1016/j.biocon.2014.10.027,,,Pelagic marine protected areas protect foraging habitat for multiple breeding seabirds in the central Pacific,Biological Conservation,,,2015-01,2015,181,Mar. Policy 35 2011,226-235,Closed,Article,"Young, Hillary S.; Maxwell, Sara M.; Conners, Melinda G.; Shaffer, Scott A.","Young, Hillary S.","Young, Hillary S. (University of California, Santa Barbara); Maxwell, Sara M. (Stanford University); Conners, Melinda G. (University of California, Santa Cruz); Shaffer, Scott A. (University of California, Santa Cruz; San Jose State University)",23,5,,5.04,,https://app.dimensions.ai/details/publication/pub.1011182250,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
46,100,pub.1044516084,10.1146/annurev-ecolsys-112414-054142,,,"Patterns, Causes, and Consequences of Anthropocene Defaunation",Annual Review of Ecology Evolution and Systematics,,,2014-12,2014,47,1,1-26,Closed,Article,"Young, Hillary S.; McCauley, Douglas J.; Galetti, Mauro; Dirzo, Rodolfo",,"Young, Hillary S. (); McCauley, Douglas J. (); Galetti, Mauro (); Dirzo, Rodolfo ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1044516084,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences
47,400,pub.1009755675,10.1111/cobi.12314,25065396,,Positive and Negative Effects of a Threatened Parrotfish on Reef Ecosystems,Conservation Biology,,"Animals; Conservation of Natural Resources; Coral Reefs; Endangered Species; Feeding Behavior; Food Chain; Models, Biological; Perciformes; Polynesia",2014-10,2014,28,5,1312-1321,"All OA; Green, Accepted & Submitted",Article,"MCCAULEY, DOUGLAS J.; YOUNG, HILLARY S.; GUEVARA, ROGER; WILLIAMS, GARETH J.; POWER, ELEANOR A.; DUNBAR, ROBERT B.; BIRD, DOUGLAS W.; DURHAM, WILLIAM H.; MICHELI, FIORENZA",,"MCCAULEY, DOUGLAS J. (University of California, Santa Barbara); YOUNG, HILLARY S. (University of California, Santa Barbara); GUEVARA, ROGER (); WILLIAMS, GARETH J. (Scripps Institution of Oceanography); POWER, ELEANOR A. (Stanford University); DUNBAR, ROBERT B. (Stanford University); BIRD, DOUGLAS W. (Stanford University); DURHAM, WILLIAM H. (Stanford University); MICHELI, FIORENZA (Stanford University)",16,4,0.46,3.16,https://escholarship.org/content/qt3z36t1jp/qt3z36t1jp.pdf?t=ozrywd,https://app.dimensions.ai/details/publication/pub.1009755675,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
48,100,pub.1037528561,10.1007/s00227-014-2478-7,,,Reliance of mobile species on sensitive habitats: a case study of manta rays (Manta alfredi) and lagoons,Marine Biology,,,2014-09,2014,161,9,1987-1998,"All OA; Green, Accepted & Submitted",Article,"McCauley, Douglas J.; DeSalles, Paul A.; Young, Hillary S.; Papastamatiou, Yannis P.; Caselle, Jennifer E.; Deakos, Mark H.; Gardner, Jonathan P. A.; Garton, David W.; Collen, John D.; Micheli, Fiorenza","McCauley, Douglas J.","McCauley, Douglas J. (University of California, Santa Barbara); DeSalles, Paul A. (Stanford University); Young, Hillary S. (University of California, Santa Barbara); Papastamatiou, Yannis P. (University of St Andrews); Caselle, Jennifer E. (University of California, Santa Barbara); Deakos, Mark H. (); Gardner, Jonathan P. A. (Victoria University of Wellington); Garton, David W. (Georgia Institute of Technology); Collen, John D. (Victoria University of Wellington); Micheli, Fiorenza (Stanford University)",17,7,,3.14,https://escholarship.org/content/qt2b70j073/qt2b70j073.pdf?t=ozryqq,https://app.dimensions.ai/details/publication/pub.1037528561,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
