,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Sally Macintyre. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
30,100,pub.1006499132,10.4319/lo.2013.58.3.0774,,,"Spatial variability of nutrient concentrations, fluxes, and ecosystem metabolism in Nyanza Gulf and Rusinga Channel, Lake Victoria (East Africa)",Limnology and Oceanography,,,2013-05,2013,58,3,774-789,All OA; Gold,Article,"Gikuma-Njuru, P.; Hecky, R. E.; Guildford, S. J.; MacIntyre, S.",,"Gikuma-Njuru, P. (University of Waterloo); Hecky, R. E. (); Guildford, S. J. (); MacIntyre, S. ()",12,6,,1.72,http://onlinelibrary.wiley.com/doi/10.4319/lo.2013.58.3.0774/pdf,https://app.dimensions.ai/details/publication/pub.1006499132,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
31,100,pub.1038453330,10.1002/9781118470596.ch18,,,"Climatic Variability, Mixing Dynamics, and Ecological Consequences in the African Great Lakes",,Climatic Change and Global Warming of Inland Waters,,2012-12-14,2012,,,311-336,Closed,Chapter,"MacIntyre, Sally",,"MacIntyre, Sally (University of California, Santa Barbara)",17,4,,2.61,,https://app.dimensions.ai/details/publication/pub.1038453330,09 Engineering; 0602 Ecology; 0406 Physical Geography and Environmental Geoscience; 0907 Environmental Engineering; 04 Earth Sciences; 06 Biological Sciences,09 Engineering,0602 Ecology,0406 Physical Geography and Environmental Geoscience,0907 Environmental Engineering,04 Earth Sciences
32,100,pub.1034330348,10.1029/2012gl051886,,,Lake‐size dependency of wind shear and convection as controls on gas exchange,Geophysical Research Letters,,,2012-05,2012,39,9,n/a-n/a,All OA; Gold,Article,"Read, Jordan S.; Hamilton, David P.; Desai, Ankur R.; Rose, Kevin C.; MacIntyre, Sally; Lenters, John D.; Smyth, Robyn L.; Hanson, Paul C.; Cole, Jonathan J.; Staehr, Peter A.; Rusak, James A.; Pierson, Donald C.; Brookes, Justin D.; Laas, Alo; Wu, Chin H.",,"Read, Jordan S. (University of Wisconsin–Madison); Hamilton, David P. (University of Waikato); Desai, Ankur R. (University of Wisconsin–Madison); Rose, Kevin C. (Miami University; Smithsonian Environmental Research Center); MacIntyre, Sally (University of California, Santa Barbara); Lenters, John D. (University of Nebraska–Lincoln); Smyth, Robyn L. (Smithsonian Environmental Research Center); Hanson, Paul C. (University of Wisconsin–Madison); Cole, Jonathan J. (Cary Institute of Ecosystem Studies); Staehr, Peter A. (Aarhus University); Rusak, James A. (Ministry of the Environment and Climate Change); Pierson, Donald C. (); Brookes, Justin D. (University of Adelaide); Laas, Alo (Estonian University of Life Sciences); Wu, Chin H. (University of Wisconsin–Madison)",130,40,,37.8,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2012GL051886,https://app.dimensions.ai/details/publication/pub.1034330348,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
33,200,pub.1003327662,10.1029/2011jg001919,,,Correction to “Seasonal and spatial variability of CO2 emission from a large floodplain lake in the lower Amazon”,Journal of Geophysical Research,,,2012-03,2012,117,G1,,All OA; Gold,Article,"Rudorff, Conrado M.; Melack, John M.; MacIntyre, Sally; Barbosa, Cláudio C. F.; Novo, Evlyn M. L. M.",,"Rudorff, Conrado M. (); Melack, John M. (); MacIntyre, Sally (); Barbosa, Cláudio C. F. (); Novo, Evlyn M. L. M. ()",1,1,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011JG001919,https://app.dimensions.ai/details/publication/pub.1003327662,,,,,,
34,100,pub.1006803772,10.1007/s10021-011-9471-5,,,Spatial and Temporal Variability in the Ecosystem Metabolism of a High-elevation Lake: Integrating Benthic and Pelagic Habitats,Ecosystems,,,2011-11,2011,14,7,1123-1140,Closed,Article,"Sadro, Steven; Melack, John M.; MacIntyre, Sally","Sadro, Steven","Sadro, Steven (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara); MacIntyre, Sally (University of California, Santa Barbara)",26,9,,2.73,,https://app.dimensions.ai/details/publication/pub.1006803772,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
35,100,pub.1048875224,10.4319/lo.2011.56.5.1764,,,"Depth‐integrated estimates of ecosystem metabolism in a high‐elevation lake (Emerald Lake, Sierra Nevada, California)",Limnology and Oceanography,,,2011-09,2011,56,5,1764-1780,All OA; Gold,Article,"Sadro, Steven; Melack, John M.; MacIntyre, Sally",,"Sadro, Steven (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara); MacIntyre, Sally (University of California, Santa Barbara)",32,6,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2011.56.5.1764,https://app.dimensions.ai/details/publication/pub.1048875224,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
36,100,pub.1004695480,10.1890/100004,,,Improving biogeochemical knowledge through technological innovation,Frontiers in Ecology and the Environment,,,2011-02,2011,9,1,37-43,All OA; Gold,Article,"Melack, John M; Finzi, Adrien C; Siegel, David; MacIntyre, Sally; Nelson, Craig E; Aufdenkampe, Anthony K; Pace, Michael L",,"Melack, John M (University of California, Santa Barbara); Finzi, Adrien C (Boston University); Siegel, David (University of California, Santa Barbara); MacIntyre, Sally (University of California, Santa Barbara); Nelson, Craig E (University of California, Santa Barbara); Aufdenkampe, Anthony K (Stroud Water Research Center); Pace, Michael L (University of Virginia)",4,0,,0.66,http://onlinelibrary.wiley.com/doi/10.1890/100004/pdf,https://app.dimensions.ai/details/publication/pub.1004695480,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
37,100,pub.1003783555,10.1029/2011jg001699,,,Seasonal and spatial variability of CO2 emission from a large floodplain lake in the lower Amazon,Journal of Geophysical Research,,,2011,2011,116,G4,,All OA; Gold,Article,"Rudorff, Conrado M.; Melack, John M.; MacIntyre, Sally; Barbosa, Cláudio C. F.; Novo, Evlyn M. L. M.",,"Rudorff, Conrado M. (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara); MacIntyre, Sally (University of California, Santa Barbara); Barbosa, Cláudio C. F. (National Institute for Space Research); Novo, Evlyn M. L. M. (National Institute for Space Research)",38,8,,6.26,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011JG001699,https://app.dimensions.ai/details/publication/pub.1003783555,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
38,100,pub.1014581311,10.1029/2010gl044164,,,"Buoyancy flux, turbulence, and the gas transfer coefficient in a stratified lake",Geophysical Research Letters,,,2010-12,2010,37,24,n/a-n/a,All OA; Gold,Article,"MacIntyre, Sally; Jonsson, Anders; Jansson, Mats; Aberg, Jan; Turney, Damon E.; Miller, Scott D.",,"MacIntyre, Sally (University of California, Santa Barbara); Jonsson, Anders (Umeå University); Jansson, Mats (Umeå University); Aberg, Jan (Umeå University); Turney, Damon E. (University of California, Santa Barbara); Miller, Scott D. (University at Albany, State University of New York)",114,35,,15.82,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010GL044164,https://app.dimensions.ai/details/publication/pub.1014581311,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
39,100,pub.1021860930,10.1525/bio.2010.60.5.6,,,"Why Are Daphnia in Some Lakes Sicker? Disease Ecology, Habitat Structure, and the Plankton",BioScience,,,2010-05,2010,60,5,363-375,All OA; Gold,Article,"Hall, Spencer R.; Smyth, Robyn; Becker, Claes R.; Duffy, Meghan A.; Knight, Christine J.; MacIntyre, Sally; Tessier, Alan J.; Cceres, Carla E.",,"Hall, Spencer R. (); Smyth, Robyn (); Becker, Claes R. (); Duffy, Meghan A. (); Knight, Christine J. (); MacIntyre, Sally (); Tessier, Alan J. (); Cceres, Carla E. ()",31,4,,2.9,https://academic.oup.com/bioscience/article-pdf/60/5/363/19404133/60-5-363.pdf,https://app.dimensions.ai/details/publication/pub.1021860930,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
40,100,pub.1021355401,10.1016/j.envsoft.2009.07.002,,,Modelling the fate and transport of negatively buoyant storm–river water in small multi-basin lakes,Environmental Modelling & Software,,,2010-01,2010,25,1,146-157,Closed,Article,"Rueda, Francisco J.; MacIntyre, Sally","Rueda, Francisco J.","Rueda, Francisco J. (University of Granada); MacIntyre, Sally (University of California, Santa Barbara)",22,4,,3.05,,https://app.dimensions.ai/details/publication/pub.1021355401,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
41,100,pub.1012999057,10.4319/lo.2010.55.1.0115,,,Variability in greenhouse gas emissions from permafrost thaw ponds,Limnology and Oceanography,,,2010-01,2010,55,1,115-133,All OA; Gold,Article,"Laurion, Isabelle; Vincent, Warwick F.; MacIntyre, Sally; Retamal, Leira; Dupont, Christiane; Francus, Pierre; Pienitz, Reinhard",,"Laurion, Isabelle (National Institute of Scientific Research; Laval University); Vincent, Warwick F. (Laval University); MacIntyre, Sally (University of California, Santa Barbara); Retamal, Leira (National Institute of Scientific Research; Laval University); Dupont, Christiane (National Institute of Scientific Research; Laval University); Francus, Pierre (National Institute of Scientific Research; Laval University); Pienitz, Reinhard (Laval University)",143,28,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2010.55.1.0115,https://app.dimensions.ai/details/publication/pub.1012999057,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
42,100,pub.1019245272,10.4319/lo.2009.54.6.2041,,,Flow paths and spatial heterogeneity of stream inflows in a small multibasin lake,Limnology and Oceanography,,,2009-11,2009,54,6,2041-2057,All OA; Gold,Article,"Rueda, Francisco J.; MacIntyre, Sally",,"Rueda, Francisco J. (University of Granada); MacIntyre, Sally (University of California, Santa Barbara)",13,1,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2009.54.6.2041,https://app.dimensions.ai/details/publication/pub.1019245272,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
43,100,pub.1011236003,10.4319/lo.2009.54.6_part_2.2315,,,Modeling lakes and reservoirs in the climate system,Limnology and Oceanography,,,2009-11,2009,54,6part2,2315-2329,"All OA; Green, Accepted & Submitted",Article,"MacKay, M. D.; Neale, P. J.; Arp, C. D.; De Senerpont Domis, L. N.; Fang, X.; Gal, G.; Jöhnk, K. D.; Kirillin, G.; Lenters, J. D.; Litchman, E.; MacIntyre, S.; Marsh, P.; Melack, J.; Mooij, W. M.; Peeters, F.; Quesada, A.; Schladow, S. G.; Schmid, M.; Spence, C.; Stokesr, S. L.",,"MacKay, M. D. (Environment Canada); Neale, P. J. (Smithsonian Environmental Research Center); Arp, C. D. (United States Geological Survey); De Senerpont Domis, L. N. (); Fang, X. (Auburn University); Gal, G. (Israel Oceanographic and Limnological Research); Jöhnk, K. D. (Leibniz Institute of Freshwater Ecology and Inland Fisheries); Kirillin, G. (Leibniz Institute of Freshwater Ecology and Inland Fisheries); Lenters, J. D. (University of Nebraska–Lincoln); Litchman, E. (Michigan State University); MacIntyre, S. (University of California, Santa Barbara); Marsh, P. (Environment Canada); Melack, J. (University of California, Santa Barbara); Mooij, W. M. (); Peeters, F. (University of Konstanz); Quesada, A. (); Schladow, S. G. (University of California, Davis); Schmid, M. (Swiss Federal Institute of Aquatic Science and Technology); Spence, C. (Environment Canada); Stokesr, S. L. (Clemson University)",70,21,,6.63,https://www.dora.lib4ri.ch/eawag/islandora/object/eawag%3A6190/datastream/PDF/view,https://app.dimensions.ai/details/publication/pub.1011236003,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,,
44,100,pub.1009308236,10.4319/lo.2009.54.6.2255,,,"Turbulent mixing induced by nonlinear internal waves in Mono Lake, California",Limnology and Oceanography,,,2009-11,2009,54,6,2255-2272,All OA; Gold,Article,"MacIntyre, Sally; Clark, Jordan F.; Jellison, Robert; Fram, Jonathan P.",,"MacIntyre, Sally (University of California, Santa Barbara); Clark, Jordan F. (University of California, Santa Barbara); Jellison, Robert (University of California, Santa Barbara); Fram, Jonathan P. (University of California, Santa Barbara)",29,6,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2009.54.6.2255,https://app.dimensions.ai/details/publication/pub.1009308236,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
45,100,pub.1008065099,10.4319/lo.2009.54.6_part_2.2401,,,Climate‐related variations in mixing dynamics in an Alaskan arctic lake,Limnology and Oceanography,,,2009-11,2009,54,6part2,2401-2417,All OA; Gold,Article,"MacIntyre, Sally; Fram, Jonathan P.; Kushner, Paul J.; Bettez, Neil D.; O'Brien, W. J.; Hobbie, J. E.; Kling, George W.",,"MacIntyre, Sally (University of California, Santa Barbara); Fram, Jonathan P. (University of California, Santa Barbara); Kushner, Paul J. (University of Toronto); Bettez, Neil D. (Cornell University); O'Brien, W. J. (University of North Carolina at Greensboro); Hobbie, J. E. (Marine Biological Laboratory); Kling, George W. (University of Michigan)",57,11,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2009.54.6_part_2.2401,https://app.dimensions.ai/details/publication/pub.1008065099,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
46,200,pub.1071167652,10.3354/meps07752,,,"Differences in growth, morphology and tissue carbon and nitrogen of Macrocystis pyrifera within and at the outer edge of a giant kelp forest in California, USA",Marine Ecology Progress Series,,,2009-01-26,2009,375,,101-112,All OA; Gold,Article,"Stewart, HL; Fram, JP; Reed, DC; Williams, SL; Brzezinski, MA; MacIntyre, S; Gaylord, B",,"Stewart, HL (); Fram, JP (); Reed, DC (); Williams, SL (); Brzezinski, MA (); MacIntyre, S (); Gaylord, B ()",29,9,,3.23,https://www.int-res.com/articles/meps2008/375/m375p101.pdf,https://app.dimensions.ai/details/publication/pub.1071167652,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
47,100,pub.1038458828,10.1016/b978-012370626-3.00040-5,,,Mixing Dynamics in Lakes Across Climatic Zones,,Encyclopedia of Inland Waters,,2009,2009,,Canadian Journal of Fisheries and Aquatic Science401983,603-612,Closed,Chapter,"MacIntyre, S.; Melack, J.M.",,"MacIntyre, S. (University of California, Santa Barbara); Melack, J.M. (University of California, Santa Barbara)",20,4,,3.33,,https://app.dimensions.ai/details/publication/pub.1038458828,0915 Interdisciplinary Engineering; 09 Engineering; 0907 Environmental Engineering,0915 Interdisciplinary Engineering,09 Engineering,0907 Environmental Engineering,,
48,100,pub.1020502042,10.1016/b978-012370626-3.00079-x,,,"The Benthic Boundary Layer (in Rivers, Lakes, and Reservoirs)",,Encyclopedia of Inland Waters,,2009,2009,,Limnology and Oceanography462001,505-514,Closed,Chapter,"Lorke, A.; MacIntyre, S.",,"Lorke, A. (University of Konstanz); MacIntyre, S. (University of California, Santa Barbara)",5,1,,1.13,,https://app.dimensions.ai/details/publication/pub.1020502042,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
49,100,pub.1020284941,10.1016/b978-012370626-3.00078-8,,,The Surface Mixed Layer in Lakes and Reservoirs,,Encyclopedia of Inland Waters,,2009,2009,,Journal of Marine Systems632006,636-650,Closed,Chapter,"Monismith, S.G.; MacIntyre, S.",,"Monismith, S.G. (Stanford University); MacIntyre, S. (University of California, Santa Barbara)",8,3,,1.41,,https://app.dimensions.ai/details/publication/pub.1020284941,0905 Civil Engineering; 0915 Interdisciplinary Engineering; 09 Engineering; 0907 Environmental Engineering,0905 Civil Engineering,0915 Interdisciplinary Engineering,09 Engineering,0907 Environmental Engineering,
50,100,pub.1033775370,10.4319/lo.2008.53.4.1589,,,"Physical pathways and utilization of nitrate supply to the giant kelp, Macrocystis pyrifera",Limnology and Oceanography,,,2008-07,2008,53,4,1589-1603,All OA; Gold,Article,"Fram, Jonathan P.; Stewart, Hannah L.; Brzezinski, Mark A.; Gaylord, Brian; Reed, Daniel C.; Williams, Susan L.; MacIntyre, Sally",,"Fram, Jonathan P. (University of California, Santa Barbara); Stewart, Hannah L. (University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara); Gaylord, Brian (University of California, Davis); Reed, Daniel C. (University of California, Santa Barbara); Williams, Susan L. (University of California, Davis); MacIntyre, Sally (University of California, Santa Barbara)",46,10,,,http://onlinelibrary.wiley.com/doi/10.4319/lo.2008.53.4.1589/pdf,https://app.dimensions.ai/details/publication/pub.1033775370,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
51,100,pub.1033205300,10.4319/lo.2008.53.1.0339,,,"Internal wave effects on photosynthesis: Experiments, theory, and modeling",Limnology and Oceanography,,,2008-01,2008,53,1,339-353,"All OA; Green, Published",Article,"Evans, Mary Anne; MacIntyre, Sally; Kling, George W.",,"Evans, Mary Anne (University of Michigan); MacIntyre, Sally (University of California, Santa Barbara); Kling, George W. (University of Michigan)",27,5,,,https://deepblue.lib.umich.edu/bitstream/2027.42/109941/1/lno20085310339.pdf,https://app.dimensions.ai/details/publication/pub.1033205300,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
52,100,pub.1016770163,10.4319/lo.2007.52.5.1838,,,Spatial patterns of flow and their modification within and around a giant kelp forest,Limnology and Oceanography,,,2007-09,2007,52,5,1838-1852,All OA; Gold,Article,"Gaylord, Brian; Rosman, Johanna H.; Reed, Daniel C.; Koseff, Jeffrey R.; Fram, Jonathan; MacIntyre, Sally; Arkema, Katie; McDonald, Cameron; Brzezinski, Mark A.; Largier, John L.; Monismith, Stephen G.; Raimondi, Peter T.; Mardian, Brent",,"Gaylord, Brian (University of California, Davis); Rosman, Johanna H. (Stanford University); Reed, Daniel C. (University of California, Santa Barbara); Koseff, Jeffrey R. (Stanford University); Fram, Jonathan (University of California, Santa Barbara); MacIntyre, Sally (University of California, Santa Barbara); Arkema, Katie (University of California, Santa Barbara); McDonald, Cameron (Stanford University); Brzezinski, Mark A. (University of California, Santa Barbara); Largier, John L. (University of California, Davis); Monismith, Stephen G. (Stanford University); Raimondi, Peter T. (University of California, Santa Cruz); Mardian, Brent (University of California, Santa Barbara)",83,21,,6.93,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2007.52.5.1838,https://app.dimensions.ai/details/publication/pub.1016770163,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
53,100,pub.1005644283,10.1093/plankt/fbm014,,,"Vertical and temporal distribution of two copepod species, Cyclops scutifer and Diaptomus pribilofensis, in 24 h arctic daylight",Journal of Plankton Research,,,2007-01-01,2007,29,3,275-289,All OA; Gold,Article,"Johnson, Cody R.; O'Brien, W. John; Macintyre, Sally",,"Johnson, Cody R. (); O'Brien, W. John (); Macintyre, Sally (University of California, Santa Barbara)",8,0,,0.67,https://academic.oup.com/plankt/article-pdf/29/3/275/4195038/fbm014.pdf,https://app.dimensions.ai/details/publication/pub.1005644283,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
54,400,pub.1041797012,10.1890/0012-9658(2006)87[1438:psolce]2.0.co;2,16869418,,PHYSICAL STRUCTURE OF LAKES CONSTRAINS EPIDEMICS IN DAPHNIA POPULATIONS,Ecology,,Animal Diseases; Animals; Ascomycota; Daphnia; Ecosystem; Fresh Water; Seasons; Water Microbiology,2006-06,2006,87,6,1438-1444,Closed,Article,"Cáceres, C. E.; Hall, S. R.; Duffy, M. A.; Tessier, A. J.; Helmle, C.; MacIntyre, S.",,"Cáceres, C. E. (University of Illinois at Urbana Champaign); Hall, S. R. (University of Illinois at Urbana Champaign); Duffy, M. A. (Michigan State University); Tessier, A. J. (National Science Foundation); Helmle, C. (University of California, Santa Barbara); MacIntyre, S. (University of California, Santa Barbara)",48,6,1.03,3.84,,https://app.dimensions.ai/details/publication/pub.1041797012,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
55,100,pub.1041135149,10.4319/lo.2006.51.2.1107,,,"Physical pathways of nutrient supply in a small, ultraoligotrophic arctic lake during summer stratification",Limnology and Oceanography,,,2006-03,2006,51,2,1107-1124,All OA; Gold,Article,"MacIntyre, Sally; Sickman, James O.; Goldthwait, Sarah A.; Kling, George W.",,"MacIntyre, Sally (University of California, Santa Barbara); Sickman, James O. (University of California, Santa Barbara; University of Florida); Goldthwait, Sarah A. (University of California, Santa Barbara); Kling, George W. (University of Michigan)",49,9,,5.85,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2006.51.2.1107,https://app.dimensions.ai/details/publication/pub.1041135149,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
56,100,pub.1011773455,10.1007/0-387-24091-8_16,,,Causes and Consequences of Spatial Heterogeneity in Lakes,,Ecosystem Function in Heterogeneous Landscapes,,2005,2005,,,329-347,Closed,Chapter,"Kratz, Timothy K.; MacIntyre, Sally; Webster, Katherine E.",,"Kratz, Timothy K. (University of Wisconsin–Madison); MacIntyre, Sally (University of California, Santa Barbara); Webster, Katherine E. (University of Maine)",8,0,,0.59,,https://app.dimensions.ai/details/publication/pub.1011773455,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
57,200,pub.1071177079,10.3354/meps261001,,,"Characteristics, distribution and persistence of thin layers over a 48 hour period",Marine Ecology Progress Series,,,2003,2003,261,,1-19,All OA; Gold,Article,"McManus, MA; Alldredge, AL; Barnard, AH; Boss, E; Case, JF; Cowles, TJ; Donaghay, PL; Eisner, LB; Gifford, DJ; Greenlaw, CF; Herren, CM; Holliday, DV; Johnson, D; MacIntyre, S; McGehee, DM; Osborn, TR; Perry, MJ; Pieper, RE; Rines, JEB; Smith, DC; Sullivan, JM; Talbot, MK; Twardowski, MS; Weidemann, A; Zaneveld, JR",,"McManus, MA (); Alldredge, AL (); Barnard, AH (); Boss, E (); Case, JF (); Cowles, TJ (); Donaghay, PL (); Eisner, LB (); Gifford, DJ (); Greenlaw, CF (); Herren, CM (); Holliday, DV (); Johnson, D (); MacIntyre, S (); McGehee, DM (); Osborn, TR (); Perry, MJ (); Pieper, RE (); Rines, JEB (); Smith, DC (); Sullivan, JM (); Talbot, MK (); Twardowski, MS (); Weidemann, A (); Zaneveld, JR ()",114,8,,10.12,https://www.int-res.com/articles/meps2003/261/m261p001.pdf,https://app.dimensions.ai/details/publication/pub.1071177079,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
58,100,pub.1018940829,10.1029/2002jd002653,,,CO2 exchange between air and water in an Arctic Alaskan and midlatitude Swiss lake: Importance of convective mixing,Journal of Geophysical Research,,,2003,2003,108,D12,,All OA; Gold,Article,"Eugster, Werner; Kling, George; Jonas, Tobias; McFadden, Joseph P.; Wüest, Alfred; MacIntyre, Sally; Chapin, F. Stuart",,"Eugster, Werner (University of Bern); Kling, George (University of Michigan); Jonas, Tobias (); McFadden, Joseph P. (University of Minnesota); Wüest, Alfred (); MacIntyre, Sally (University of California, Santa Barbara); Chapin, F. Stuart (University of Alaska System)",121,20,,15.59,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2002JD002653,https://app.dimensions.ai/details/publication/pub.1018940829,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
59,100,pub.1050164688,10.4319/lo.2002.47.3.0656,,,"Spatial‐temporal variability in surface layer deepening and lateral advection in an embayment of Lake Victoria, East Africa",Limnology and Oceanography,,,2002-05,2002,47,3,656-671,All OA; Gold,Article,"MacIntyre, Sally; Romero, José R.; Kling, George W.",,"MacIntyre, Sally (University of California, Santa Barbara); Romero, José R. (University of Western Australia); Kling, George W. (University of Michigan)",107,18,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2002.47.3.0656,https://app.dimensions.ai/details/publication/pub.1050164688,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
60,100,pub.1024790305,10.1029/gm127p0135,,,The Critical Importance of Buoyancy Flux for Gas Flux Across the Air‐Water Interface,Geophysical Monograph Series,Gas Transfer at Water Surfaces,,2002-01-01,2002,,,135-139,Closed,Chapter,"Macintyre, Sally; Eugster, Werner; Kling, George W.",,"Macintyre, Sally (University of California, Santa Barbara); Eugster, Werner (University of Bern); Kling, George W. (University of Michigan)",38,5,,,,https://app.dimensions.ai/details/publication/pub.1024790305,,,,,,
61,100,pub.1042318600,10.1023/a:1014563914112,,,"Nutrient fluxes from upwelling and enhanced turbulence at the top of the pycnocline in Mono Lake, California",Hydrobiologia,,,2001-12,2001,466,1-3,13-29,Closed,Article,"MacIntyre, Sally; Jellison, Robert",,"MacIntyre, Sally (University of California, Santa Barbara); Jellison, Robert (University of California, Santa Barbara)",38,6,,,,https://app.dimensions.ai/details/publication/pub.1042318600,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
62,100,pub.1045511582,10.1007/978-94-017-2934-5_2,,,"Nutrient fluxes from upwelling and enhanced turbulence at the top of the pycnocline in Mono Lake, California",,Saline Lakes,,2001,2001,,,13-29,Closed,Chapter,"MacIntyre, Sally; Jellison, Robert",,"MacIntyre, Sally (University of California, Santa Barbara); Jellison, Robert (University of California, Santa Barbara)",18,4,,3.34,,https://app.dimensions.ai/details/publication/pub.1045511582,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
63,100,pub.1091784376,10.21236/ada609776,,,Formation of Marine Biological Thin Layers: Recruitment of Zooplankton,,,,2000-09,2000,,,,All OA; Gold,Article,"Alldredge, Alice L; Case, James F; MacIntyre, Sally",,"Alldredge, Alice L (); Case, James F (); MacIntyre, Sally ()",0,0,,0,http://www.dtic.mil/dtic/tr/fulltext/u2/a609776.pdf,https://app.dimensions.ai/details/publication/pub.1091784376,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
