,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Chandra J Krintz. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
42,100,pub.1017700057,10.1007/s10723-012-9213-8,,,Language and Runtime Support for Automatic Configuration and Deployment of Scientific Computing Software over Cloud Fabrics,Journal of Grid Computing,,,2012-03,2012,10,1,23-46,Closed,Article,"Bunch, Chris; Drawert, Brian; Chohan, Navraj; Krintz, Chandra; Petzold, Linda; Shams, Khawaja","Bunch, Chris","Bunch, Chris (University of California, Santa Barbara); Drawert, Brian (University of California, Santa Barbara); Chohan, Navraj (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Petzold, Linda (University of California, Santa Barbara); Shams, Khawaja (Jet Propulsion Lab)",11,0,,4.53,,https://app.dimensions.ai/details/publication/pub.1017700057,08 Information and Computing Sciences; 0806 Information Systems; 0803 Computer Software,08 Information and Computing Sciences,0806 Information Systems,0803 Computer Software,,
43,100,pub.1094115598,10.1109/cloud.2011.111,,,Database-Agnostic Transaction Support for Cloud Infrastructures,,2011 IEEE 4th International Conference on Cloud Computing,,2011-07,2011,,,692-699,Closed,Proceeding,"Chohan, Navraj; Bunch, Chris; Krintz, Chandra; Nomura, Yoshihide",,"Chohan, Navraj (University of California, Santa Barbara); Bunch, Chris (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Nomura, Yoshihide (Fujitsu (Japan))",8,0,,3.09,,https://app.dimensions.ai/details/publication/pub.1094115598,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
44,100,pub.1048075565,10.1145/2125636.2125642,,,Enabling automated HPC / database deployment via the appscale hybrid cloud platform,,Proceedings of the first annual workshop on High performance computing meets databases - HPCDB '11,,2011,2011,,,13-16,"All OA; Green, Accepted & Submitted",Proceeding,"Bunch, Chris; Krintz, Chandra",,"Bunch, Chris (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara)",4,0,,1.46,http://2011.hpcdb.org/sites/2011.hpcdb.org/files/bunch_hybridcloud.pdf,https://app.dimensions.ai/details/publication/pub.1048075565,08 Information and Computing Sciences; 0806 Information Systems; 0803 Computer Software; 0802 Computation Theory and Mathematics,08 Information and Computing Sciences,0806 Information Systems,0803 Computer Software,0802 Computation Theory and Mathematics,
45,100,pub.1047738762,10.1145/1996109.1996120,,,Neptune: a domain specific language for deploying hpc software on cloud platforms,,Proceedings of the 2nd international workshop on Scientific cloud computing - ScienceCloud '11,,2011,2011,,,59-68,Closed,Proceeding,"Bunch, Chris; Chohan, Navraj; Krintz, Chandra; Shams, Khawaja",,"Bunch, Chris (University of California, Santa Barbara); Chohan, Navraj (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Shams, Khawaja (California Institute of Technology)",21,3,,7.91,,https://app.dimensions.ai/details/publication/pub.1047738762,08 Information and Computing Sciences; 0806 Information Systems; 0803 Computer Software,08 Information and Computing Sciences,0806 Information Systems,0803 Computer Software,,
46,200,pub.1063159178,10.1145/1932682.1869479,,,"Cross-language, type-safe, and transparent object sharing for co-located managed runtimes",ACM SIGPLAN Notices,,,2010-10-17,2010,45,10,223,"All OA; Green, Published",Article,"Wegiel, Michal; Krintz, Chandra",,"Wegiel, Michal (); Krintz, Chandra ()",0,0,,,http://cs.ucsb.edu/%7Eckrintz/papers/colors10.pdf,https://app.dimensions.ai/details/publication/pub.1063159178,,,,,,
47,100,pub.1093495725,10.1109/cloud.2010.51,,,An Evaluation of Distributed Datastores Using the AppScale Cloud Platform,,2010 IEEE 3rd International Conference on Cloud Computing,,2010-07,2010,,,305-312,Closed,Proceeding,"Bunch, Chris; Chohan, Navraj; Krintz, Chandra; Chohan, Jovan; Kupferman, Jonathan; Lakhina, Puneet; Li, Yiming; Nomura, Yoshihide",,"Bunch, Chris (University of California, Santa Barbara); Chohan, Navraj (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Chohan, Jovan (University of California, Santa Barbara); Kupferman, Jonathan (University of California, Santa Barbara); Lakhina, Puneet (University of California, Santa Barbara); Li, Yiming (University of California, Santa Barbara); Nomura, Yoshihide (Fujitsu (Japan))",37,5,,13.32,,https://app.dimensions.ai/details/publication/pub.1093495725,08 Information and Computing Sciences; 0806 Information Systems; 0803 Computer Software,08 Information and Computing Sciences,0806 Information Systems,0803 Computer Software,,
48,100,pub.1029973194,10.1145/1869459.1869479,,,"Cross-language, type-safe, and transparent object sharing for co-located managed runtimes",ACM SIGPLAN Notices,Proceedings of the ACM international conference on Object oriented programming systems languages and applications - OOPSLA '10,,2010,2010,45,10,223-240,"All OA; Green, Published",Proceeding,"Wegiel, Michal; Krintz, Chandra",,"Wegiel, Michal (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara)",8,1,,2.77,http://cs.ucsb.edu/%7Eckrintz/papers/colors10.pdf,https://app.dimensions.ai/details/publication/pub.1029973194,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
49,100,pub.1002197037,10.1007/978-3-642-12636-9_4,,,AppScale: Scalable and Open AppEngine Application Development and Deployment,"Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",Cloud Computing,,2010,2010,34,,57-70,"All OA; Green, Accepted & Submitted",Chapter,"Chohan, Navraj; Bunch, Chris; Pang, Sydney; Krintz, Chandra; Mostafa, Nagy; Soman, Sunil; Wolski, Rich",,"Chohan, Navraj (University of California, Santa Barbara); Bunch, Chris (University of California, Santa Barbara); Pang, Sydney (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Mostafa, Nagy (University of California, Santa Barbara); Soman, Sunil (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara)",53,2,,19.08,http://www.cs.ucsb.edu/~ckrintz/papers/cloudcomp09.pdf,https://app.dimensions.ai/details/publication/pub.1002197037,08 Information and Computing Sciences; 0806 Information Systems; 0803 Computer Software,08 Information and Computing Sciences,0806 Information Systems,0803 Computer Software,,
50,100,pub.1032245193,10.1145/1596510.1596513,,,The single-referent collector: Optimizing compaction for the common case,ACM Transactions on Architecture and Code Optimization,,,2009-10-01,2009,6,4,15,All OA; Gold,Article,"Wegiel, Michal; Krintz, Chandra",,"Wegiel, Michal (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara)",0,0,,0,http://dl.acm.org/ft_gateway.cfm?id=1596513&type=pdf,https://app.dimensions.ai/details/publication/pub.1032245193,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
51,200,pub.1063163079,10.1145/2528521.1508278,,,Dynamic prediction of collection yield for managed runtimes,ACM SIGARCH Computer Architecture News,,,2009-03-01,2009,37,1,289,"All OA; Green, Published",Article,"Wegiel, Michal; Krintz, Chandra",,"Wegiel, Michal (); Krintz, Chandra ()",0,0,,,http://cs.ucsb.edu/~ckrintz/papers/yieldpred-asplos09.pdf,https://app.dimensions.ai/details/publication/pub.1063163079,,,,,,
52,100,pub.1003423300,10.1016/j.scico.2009.01.006,,,As-if-serial exception handling semantics for Java futures,Science of Computer Programming,,,2009-03,2009,74,5-6,314-332,All OA; Gold,Article,"Zhang, Lingli; Krintz, Chandra","Krintz, Chandra","Zhang, Lingli (Microsoft (United States)); Krintz, Chandra (University of California, Santa Barbara)",3,1,,0.98,https://doi.org/10.1016/j.scico.2009.01.006,https://app.dimensions.ai/details/publication/pub.1003423300,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
53,200,pub.1063155951,10.1145/1508284.1508278,,,Dynamic prediction of collection yield for managed runtimes,ACM SIGPLAN Notices,,,2009-02-28,2009,44,3,289,"All OA; Green, Published",Article,"Wegiel, Michal; Krintz, Chandra",,"Wegiel, Michal (); Krintz, Chandra ()",3,0,,,http://cs.ucsb.edu/~ckrintz/papers/yieldpred-asplos09.pdf,https://app.dimensions.ai/details/publication/pub.1063155951,,,,,,
54,100,pub.1040217432,10.1145/1508244.1508278,,,Dynamic prediction of collection yield for managed runtimes,ACM SIGARCH Computer Architecture News,Proceeding of the 14th international conference on Architectural support for programming languages and operating systems - ASPLOS '09,,2009,2009,37,1,289-300,"All OA; Green, Published",Proceeding,"Wegiel, Michal; Krintz, Chandra",,"Wegiel, Michal (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara)",6,1,,1.96,http://cs.ucsb.edu/~ckrintz/papers/yieldpred-asplos09.pdf,https://app.dimensions.ai/details/publication/pub.1040217432,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
55,100,pub.1033549802,10.1145/1596655.1596682,,,Tracking performance across software revisions,,Proceedings of the 7th International Conference on Principles and Practice of Programming in Java - PPPJ '09,,2009,2009,,,162-171,"All OA; Green, Accepted & Submitted",Proceeding,"Mostafa, Nagy; Krintz, Chandra",,"Mostafa, Nagy (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara)",9,0,,2.95,http://www.cs.ucsb.edu/~nagy/docs/p162-mostafa.pdf,https://app.dimensions.ai/details/publication/pub.1033549802,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
56,200,pub.1023216036,10.1145/1480828.1480831,,,SIGPLAN programming language curriculum workshop: Discussion Summaries and recommendations,ACM SIGPLAN Notices,,,2008-11-30,2008,43,11,6-29,Closed,Article,"Allen, Eric; Bodik, Ras; Bruce, Kim; Fisher, Kathleen; Freund, Stephen; Harper, Robert; Krintz, Chandra; Krishnamurthi, Shriram; Larus, Jim; Lea, Doug; Leavens, Gary; Pollock, Lori; Reges, Stuart; Rinard, Martin; Sheldon, Mark; Turbak, Franklyn; Mitchell/Bailey, Mark W. Wand",,"Allen, Eric (); Bodik, Ras (); Bruce, Kim (); Fisher, Kathleen (); Freund, Stephen (); Harper, Robert (); Krintz, Chandra (); Krishnamurthi, Shriram (); Larus, Jim (); Lea, Doug (); Leavens, Gary (); Pollock, Lori (); Reges, Stuart (); Rinard, Martin (); Sheldon, Mark (); Turbak, Franklyn (); Mitchell/Bailey, Mark W. Wand ()",3,0,,,,https://app.dimensions.ai/details/publication/pub.1023216036,,,,,,
57,200,pub.1013932833,10.1145/1480828.1480832,,,SIGPLAN programming language curriculum workshop: Workshop report summary,ACM SIGPLAN Notices,,,2008-11-30,2008,43,11,29-30,Closed,Article,"Fisher, Kathleen; Krintz, Chandra",,"Fisher, Kathleen (); Krintz, Chandra ()",2,0,,,,https://app.dimensions.ai/details/publication/pub.1013932833,,,,,,
58,200,pub.1013726530,10.1145/1480828.1480830,,,SIGPLAN programming language curriculum workshop: Workshop organization,ACM SIGPLAN Notices,,,2008-11-30,2008,43,11,1-6,Closed,Article,"Fisher, Kathleen; Krintz, Chandra",,"Fisher, Kathleen (); Krintz, Chandra ()",2,0,,,,https://app.dimensions.ai/details/publication/pub.1013726530,,,,,,
59,100,pub.1063977168,10.1177/1094342007095289,,,On the Efficacy of Computation Offloading Decision-Making Strategies,The International Journal of High Performance Computing Applications,,,2008-11,2008,22,4,460-479,Closed,Article,"Gurun, Selim; Wolski, Rich; Krintz, Chandra; Nurmi, Dan",,"Gurun, Selim (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Nurmi, Dan (University of California, Santa Barbara)",6,2,,1.92,,https://app.dimensions.ai/details/publication/pub.1063977168,08 Information and Computing Sciences; 0805 Distributed Computing,08 Information and Computing Sciences,0805 Distributed Computing,,,
60,200,pub.1063154986,10.1145/1379022.1375621,,,XMem,ACM SIGPLAN Notices,,,2008-05-30,2008,43,6,327,Closed,Article,"Wegiel, Michal; Krintz, Chandra",,"Wegiel, Michal (); Krintz, Chandra ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1063154986,,,,,,
61,100,pub.1033601384,10.1145/1347375.1347385,,,"NWSLite: A general-purpose, nonparametric prediction utility for embedded systems",ACM Transactions on Embedded Computing Systems,,,2008-04-01,2008,7,3,32,Closed,Article,"Gurun, Selim; Krintz, Chandra; Wolski, Rich",,"Gurun, Selim (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara)",5,0,,1.52,,https://app.dimensions.ai/details/publication/pub.1033601384,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
62,100,pub.1095543379,10.1109/ipdps.2008.4536215,,,Using Bandwidth Data To Make Computation Offloading Decisions,2008 IEEE International Symposium on Parallel and Distributed Processing,2008 IEEE International Symposium on Parallel and Distributed Processing,,2008-04,2008,,,1-8,"All OA; Green, Accepted & Submitted",Proceeding,"Wolski, Rich; Gurun, Selim; Krintz, Chandra; Nurmi, Dan",,"Wolski, Rich (University of California, Santa Barbara); Gurun, Selim (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Nurmi, Dan (University of California, Santa Barbara)",78,13,,24.29,http://cs.ucsb.edu/~ckrintz/papers/hpgc08.pdf,https://app.dimensions.ai/details/publication/pub.1095543379,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
63,200,pub.1063154729,10.1145/1353536.1346294,,,The mapping collector,ACM SIGPLAN Notices,,,2008-03-25,2008,43,3,91,Closed,Article,"Wegiel, Michal; Krintz, Chandra",,"Wegiel, Michal (); Krintz, Chandra ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1063154729,,,,,,
64,200,pub.1063154701,10.1145/1353535.1346294,,,The mapping collector,ACM SIGOPS Operating Systems Review,,,2008-03-25,2008,42,2,91,Closed,Article,"Wegiel, Michal; Krintz, Chandra",,"Wegiel, Michal (); Krintz, Chandra ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1063154701,,,,,,
65,200,pub.1063154669,10.1145/1353534.1346294,,,The mapping collector,ACM SIGARCH Computer Architecture News,,,2008-03-25,2008,36,1,91,Closed,Article,"Wegiel, Michal; Krintz, Chandra",,"Wegiel, Michal (); Krintz, Chandra ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1063154669,,,,,,
66,100,pub.1028338898,10.1007/s11265-007-0113-2,,,Accurate and Scalable Simulation of Network of Heterogeneous Sensor Devices,Journal of Signal Processing Systems,,,2008-02,2008,50,2,115-136,"All OA; Green, Accepted & Submitted",Article,"Wen, Ye; Gurun, Selim; Chohan, Navraj; Wolski, Rich; Krintz, Chandra","Wen, Ye","Wen, Ye (University of California, Santa Barbara); Gurun, Selim (University of California, Santa Barbara); Chohan, Navraj (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara)",2,0,,0.48,http://cs.ucsb.edu/~ckrintz/papers/jsps08.pdf,https://app.dimensions.ai/details/publication/pub.1028338898,09 Engineering; 0906 Electrical and Electronic Engineering,09 Engineering,0906 Electrical and Electronic Engineering,,,
67,100,pub.1051292029,10.1145/1346281.1346294,,,"The mapping collector: virtual memory support for generational, parallel, and concurrent compaction",ACM SIGOPS Operating Systems Review,Proceedings of the 13th international conference on Architectural support for programming languages and operating systems  - ASPLOS XIII,,2008,2008,42,2,91-102,Closed,Proceeding,"Wegiel, Michal; Krintz, Chandra",,"Wegiel, Michal (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara)",17,0,,5.17,,https://app.dimensions.ai/details/publication/pub.1051292029,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
68,100,pub.1030321662,10.1145/1375581.1375621,,,"XMem: type-safe, transparent, shared memory for cross-runtime communication and coordination",ACM SIGPLAN Notices,Proceedings of the 2008 ACM SIGPLAN conference on Programming language design and implementation  - PLDI '08,,2008,2008,43,6,327-338,Closed,Proceeding,"Wegiel, Michal; Krintz, Chandra",,"Wegiel, Michal (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara)",9,2,,2.78,,https://app.dimensions.ai/details/publication/pub.1030321662,08 Information and Computing Sciences; 0806 Information Systems; 0803 Computer Software,08 Information and Computing Sciences,0806 Information Systems,0803 Computer Software,,
69,100,pub.1026337705,10.1007/978-3-540-78195-0_6,,,"Implementation, Compilation, Optimization of Object-Oriented Languages, Programs and Systems",Lecture Notes in Computer Science,Object-Oriented Technology. ECOOP 2007 Workshop Reader,,2008,2008,4906,,50-64,Closed,Chapter,"Zendra, Olivier; Jul, Eric; Ducournau, Roland; Gagnon, Etienne; Jones, Richard; Krintz, Chandra; Mulet, Philippe; Vitek, Jan",,"Zendra, Olivier (); Jul, Eric (); Ducournau, Roland (Montpellier Laboratory of Informatics, Robotics and Microelectronics); Gagnon, Etienne (University of Quebec at Montreal); Jones, Richard (University of Kent); Krintz, Chandra (University of California, Santa Barbara); Mulet, Philippe (IBM (France)); Vitek, Jan (Purdue University West Lafayette)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1026337705,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
70,100,pub.1024478857,10.1007/978-3-540-70592-5_15,,,MTM2: Scalable Memory Management for Multi-tasking Managed Runtime Environments,Lecture Notes in Computer Science,ECOOP 2008 – Object-Oriented Programming,,2008,2008,5142,,335-361,"All OA; Green, Accepted & Submitted",Chapter,"Soman, Sunil; Krintz, Chandra; Daynès, Laurent",,"Soman, Sunil (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Daynès, Laurent ()",3,0,,0.91,http://cs.ucsb.edu/~ckrintz/papers/soman-ecoop08.pdf,https://app.dimensions.ai/details/publication/pub.1024478857,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
71,100,pub.1095616317,10.1109/pact.2007.4336207,,,Call-chain Software Instruction Prefetching in J2EE Server Applications,Proceedings 1998 International Conference on Parallel Architectures and Compilation Techniques (Cat No98EX192),16th International Conference on Parallel Architecture and Compilation Techniques (PACT 2007),,2007-09,2007,,,140-149,"All OA; Green, Accepted & Submitted",Proceeding,"Nagpurkar, Priya; Cain, Harold W.; Serrano, Mauricio; Choi, Jong-Deok; Krintz, Chandra",,"Nagpurkar, Priya (University of California, Santa Barbara); Cain, Harold W. (); Serrano, Mauricio (); Choi, Jong-Deok (Samsung (South Korea)); Krintz, Chandra (University of California, Santa Barbara)",4,0,,1.15,http://pages.cs.wisc.edu/~cain/pubs/nagpurkar_pact07.pdf,https://app.dimensions.ai/details/publication/pub.1095616317,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
72,100,pub.1093951977,10.1109/pact.2007.4336206,,,Language and Virtual Machine Support for Efficient Fine-Grained Futures in Java,Proceedings 1998 International Conference on Parallel Architectures and Compilation Techniques (Cat No98EX192),16th International Conference on Parallel Architecture and Compilation Techniques (PACT 2007),,2007-09,2007,,,130-139,"All OA; Green, Accepted & Submitted",Proceeding,"Zhang, Lingli; Krintz, Chandra; Nagpurkar, Priya",,"Zhang, Lingli (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Nagpurkar, Priya (University of California, Santa Barbara)",6,0,,1.72,http://www.cs.ucsb.edu/~ckrintz/papers/zhang-pact07.pdf,https://app.dimensions.ai/details/publication/pub.1093951977,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
73,100,pub.1049963812,10.1016/j.jss.2006.12.566,,,Application-specific garbage collection,Journal of Systems and Software,,,2007-07,2007,80,7,1037-1056,Closed,Article,"Soman, Sunil; Krintz, Chandra","Soman, Sunil","Soman, Sunil (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara)",11,2,,3.16,,https://app.dimensions.ai/details/publication/pub.1049963812,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
74,100,pub.1093474591,10.1109/cgo.2007.20,,,Isla Vista Heap Sizing: Using Feedback to Avoid Paging,,International Symposium on Code Generation and Optimization (CGO'07),,2007-03,2007,,,325-340,Closed,Proceeding,"Grzegorczyk, C.; Soman, S.; Krintz, C.; Wolski, R.",,"Grzegorczyk, C. (University of California, Santa Barbara); Soman, S. (University of California, Santa Barbara); Krintz, C. (University of California, Santa Barbara); Wolski, R. (University of California, Santa Barbara)",16,1,,2.17,,https://app.dimensions.ai/details/publication/pub.1093474591,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
75,100,pub.1095068952,10.1109/ipdps.2007.370513,,,VIProf: Vertically Integrated Full-System Performance Profiler,,2007 IEEE International Parallel and Distributed Processing Symposium,,2007,2007,,,1-6,"All OA; Green, Accepted & Submitted",Proceeding,"Mousa, Hussam; Krintz, Chandra; Youseff, Lamia; Wolski, Rich",,"Mousa, Hussam (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Youseff, Lamia (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara)",1,0,,0.29,http://www.cs.ucsb.edu/~rich/publications/viprof-ngs.pdf,https://app.dimensions.ai/details/publication/pub.1095068952,08 Information and Computing Sciences; 0806 Information Systems; 0803 Computer Software,08 Information and Computing Sciences,0806 Information Systems,0803 Computer Software,,
76,100,pub.1039816507,10.1145/1294325.1294349,,,Supporting exception handling for futures in Java,,Proceedings of the 5th international symposium on Principles and practice of programming in Java  - PPPJ '07,,2007,2007,,,175-184,"All OA; Green, Published",Proceeding,"Zhang, Lingli; Krintz, Chandra; Nagpurkar, Priya",,"Zhang, Lingli (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Nagpurkar, Priya (University of California, Santa Barbara)",16,1,,4.6,http://csc.lsu.edu/~gb/csc7700/Reading/java-futures-exception-handling-zhang-07.pdf,https://app.dimensions.ai/details/publication/pub.1039816507,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
77,100,pub.1004093923,10.1007/978-3-540-71774-4_1,,,"Implementation, Compilation, Optimization of Object-Oriented Languages, Programs and Systems",Lecture Notes in Computer Science,Object-Oriented Technology. ECOOP 2006 Workshop Reader,,2007,2007,4379,,1-14,"All OA; Green, Accepted & Submitted",Chapter,"Ducournau, Roland; Gagnon, Etienne; Krintz, Chandra; Mulet, Philippe; Vitek, Jan; Zendra, Olivier",,"Ducournau, Roland (Montpellier Laboratory of Informatics, Robotics and Microelectronics); Gagnon, Etienne (University of Quebec at Montreal); Krintz, Chandra (University of California, Santa Barbara); Mulet, Philippe (IBM (France)); Vitek, Jan (Purdue University West Lafayette); Zendra, Olivier ()",0,0,,0,http://arxiv.org/pdf/0710.2887,https://app.dimensions.ai/details/publication/pub.1004093923,0103 Numerical and Computational Mathematics; 01 Mathematical Sciences,0103 Numerical and Computational Mathematics,01 Mathematical Sciences,,,
78,100,pub.1093832724,10.1109/vtdc.2006.4,,,Evaluating the Performance Impact of Xen on MPI and Process Execution For HPC Systems,,First International Workshop on Virtualization Technology in Distributed Computing (VTDC 2006),,2006-11,2006,,,1-1,"All OA; Green, Accepted & Submitted",Proceeding,"Youseff, L.; Wolski, R.; Gorda, B.; Krintz, C.",,"Youseff, L. (University of California, Santa Barbara); Wolski, R. (University of California, Santa Barbara); Gorda, B. (); Krintz, C. ()",61,3,,17.49,http://www.cs.ucsb.edu/~ckrintz/papers/vtdc-sc06.pdf,https://app.dimensions.ai/details/publication/pub.1093832724,08 Information and Computing Sciences; 0806 Information Systems; 0803 Computer Software,08 Information and Computing Sciences,0806 Information Systems,0803 Computer Software,,
79,100,pub.1095703690,10.1109/icsamos.2006.300819,,,"SimGate: Full-System, Cycle-Close Simulation of the Stargate Sensor Network Intermediate Node",,"2006 International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation",,2006-07,2006,,,129-136,"All OA; Green, Accepted & Submitted",Proceeding,"Wen, Y.; Gurun, S.; Chohan, Navraj; Wolski, R.; Krintz, C.",,"Wen, Y. (University of California, Santa Barbara); Gurun, S. (University of California, Santa Barbara); Chohan, Navraj (University of California, Santa Barbara); Wolski, R. (University of California, Santa Barbara); Krintz, C. (University of California, Santa Barbara)",4,0,,1.17,http://www.cs.ucsb.edu/~ckrintz/papers/samos06.pdf,https://app.dimensions.ai/details/publication/pub.1095703690,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
80,100,pub.1051136852,10.1145/1132462.1132465,,,Efficient remote profiling for resource-constrained devices,ACM Transactions on Architecture and Code Optimization,,,2006-03-01,2006,3,1,35-66,"All OA; Green, Accepted & Submitted",Article,"Nagpurkar, Priya; Mousa, Hussam; Krintz, Chandra; Sherwood, Timothy",,"Nagpurkar, Priya (University of California, Santa Barbara); Mousa, Hussam (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Sherwood, Timothy (University of California, Santa Barbara)",7,2,,1.89,http://www.cs.ucsb.edu/~ckrintz/papers/remprofTACO.pdf,https://app.dimensions.ai/details/publication/pub.1051136852,08 Information and Computing Sciences; 0806 Information Systems; 0803 Computer Software; 0802 Computation Theory and Mathematics,08 Information and Computing Sciences,0806 Information Systems,0803 Computer Software,0802 Computation Theory and Mathematics,
81,100,pub.1061753000,10.1109/tpds.2006.3,,,Adaptive on-the-fly compression,IEEE Transactions on Parallel and Distributed Systems,,,2006-01,2006,17,1,15-24,Closed,Article,"Krintz, C.; Sucu, S.",,"Krintz, C. (University of California, Santa Barbara); Sucu, S. (University of California, Santa Barbara)",30,3,,8.79,,https://app.dimensions.ai/details/publication/pub.1061753000,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
82,100,pub.1035018173,10.1016/j.scico.2005.07.004,,,Phase-based visualization and analysis of Java programs,Science of Computer Programming,,,2006-01,2006,59,1-2,64-81,All OA; Gold,Article,"Nagpurkar, Priya; Krintz, Chandra","Nagpurkar, Priya","Nagpurkar, Priya (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara)",3,0,,0.86,https://doi.org/10.1016/j.scico.2005.07.004,https://app.dimensions.ai/details/publication/pub.1035018173,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
83,100,pub.1094666168,10.1109/cgo.2006.26,,,Online Phase Detection Algorithms,,International Symposium on Code Generation and Optimization (CGO'06),,2006,2006,,,1-13,"All OA; Green, Accepted & Submitted",Proceeding,"Nagpurkar, Priya; Hind, Michael; Krintz, Chandra; Sweeney, Peter F.; Rajan, V.T.",,"Nagpurkar, Priya (University of California, Santa Barbara); Hind, Michael (IBM Research – Thomas J. Watson Research Center); Krintz, Chandra (University of California, Santa Barbara); Sweeney, Peter F. (IBM Research – Thomas J. Watson Research Center); Rajan, V.T. (IBM Research – Thomas J. Watson Research Center)",41,3,,12.01,http://www.cs.colorado.edu/~mozer/courses/6622/papers/Nagpurkaretal.pdf,https://app.dimensions.ai/details/publication/pub.1094666168,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
