,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Uta Desy Elisabeth Passow. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
29,200,pub.1049013328,10.1073/pnas.1600498113,26933220,PMC4801283,Reply to Prince et al.: Ability of chemical dispersants to reduce oil spill impacts remains unclear,Proceedings of the National Academy of Sciences,,Marinobacter; Petroleum; Petroleum Pollution; Seawater; Water Microbiology,2016-03-15,2016,113,11,e1422-e1423,All OA; Gold,Article,"Kleindienst, Sara; Seidel, Michael; Ziervogel, Kai; Grim, Sharon; Loftis, Kathy; Harrison, Sarah; Malkin, Sairah Y.; Perkins, Matthew J.; Field, Jennifer; Sogin, Mitchell L.; Dittmar, Thorsten; Passow, Uta; Medeiros, Patricia; Joye, Samantha B.",,"Kleindienst, Sara (University of Georgia); Seidel, Michael (University of Georgia); Ziervogel, Kai (University of North Carolina at Chapel Hill); Grim, Sharon (); Loftis, Kathy (University of Georgia); Harrison, Sarah (University of Georgia); Malkin, Sairah Y. (University of Georgia); Perkins, Matthew J. (Oregon State University); Field, Jennifer (Oregon State University); Sogin, Mitchell L. (); Dittmar, Thorsten (Carl von Ossietzky University of Oldenburg; Max Planck Institute for Marine Microbiology); Passow, Uta (University of California, Santa Barbara); Medeiros, Patricia (University of Georgia); Joye, Samantha B. (University of Georgia)",9,8,0.51,,http://www.pnas.org/content/113/11/E1422.full.pdf,https://app.dimensions.ai/details/publication/pub.1049013328,,,,,,
30,100,pub.1005822799,10.1016/j.ancene.2016.01.006,,,Assessing the impacts of oil-associated marine snow formation and sedimentation during and after the Deepwater Horizon oil spill,Anthropocene,,,2016-03,2016,13,,18-33,All OA; Gold,Article,"Daly, Kendra L.; Passow, Uta; Chanton, Jeffrey; Hollander, David","Daly, Kendra L.","Daly, Kendra L. (University of South Florida); Passow, Uta (University of California, Santa Barbara); Chanton, Jeffrey (Florida State University); Hollander, David (University of South Florida)",85,64,,21.84,https://doi.org/10.1016/j.ancene.2016.01.006,https://app.dimensions.ai/details/publication/pub.1005822799,0499 Other Earth Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0401 Atmospheric Sciences,0499 Other Earth Sciences,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0401 Atmospheric Sciences
31,100,pub.1016516849,10.3389/fmars.2016.00008,,,Linking Heterotrophic Microbial Activities with Particle Characteristics in Waters of the Mississippi River Delta in the Aftermath of Hurricane Isaac,Frontiers in Marine Science,,,2016-02-16,2016,3,,8,All OA; Gold,Article,"Ziervogel, Kai; Osburn, Christopher; Brym, Adeline; Battles, Jessica; Joye, Samantha; D'souza, Nigel; Montoya, Joseph; Passow, Uta; Arnosti, Carol",,"Ziervogel, Kai (University of North Carolina at Chapel Hill); Osburn, Christopher (North Carolina State University); Brym, Adeline (North Carolina State University); Battles, Jessica (University of Georgia); Joye, Samantha (University of Georgia); D'souza, Nigel (Georgia Institute of Technology); Montoya, Joseph (Georgia Institute of Technology); Passow, Uta (University of California, Santa Barbara); Arnosti, Carol (University of North Carolina at Chapel Hill)",4,4,,0.91,https://www.frontiersin.org/articles/10.3389/fmars.2016.00008/pdf,https://app.dimensions.ai/details/publication/pub.1016516849,0605 Microbiology; 06 Biological Sciences; 04 Earth Sciences; 0405 Oceanography,0605 Microbiology,06 Biological Sciences,04 Earth Sciences,0405 Oceanography,
32,200,pub.1096968567,10.1575/1912/8263,,,Towards a transformative understanding of the ocean�s biological pump: Priorities for future research - Report on the NSF Biology of the Biological Pump Workshop,,,,2016,2016,,,,All OA; Gold,Monograph,"Burd, Adrian; Buchan, Alison; Church, Matthew J.; Landry, Michael R.; McDonnell, Andrew M. P.; Passow, Uta; Steinberg, Deborah K.; Benway, Heather M.",,"Burd, Adrian (); Buchan, Alison (); Church, Matthew J. (); Landry, Michael R. (); McDonnell, Andrew M. P. (); Passow, Uta (); Steinberg, Deborah K. (); Benway, Heather M. ()",9,7,,,http://darchive.mblwhoilibrary.org/bitstream/1912/8263/1/BioPump-Final-2.pdf,https://app.dimensions.ai/details/publication/pub.1096968567,,,,,,
33,400,pub.1048581665,10.1073/pnas.1507380112,26553985,PMC4672791,Chemical dispersants can suppress the activity of natural oil-degrading microorganisms,Proceedings of the National Academy of Sciences,,"Biodegradation, Environmental; Gulf of Mexico; Marinobacter; Petroleum; Petroleum Pollution; Seawater; Water Microbiology",2015-12-01,2015,112,48,14900-14905,All OA; Gold,Article,"Kleindienst, Sara; Seidel, Michael; Ziervogel, Kai; Grim, Sharon; Loftis, Kathy; Harrison, Sarah; Malkin, Sairah Y.; Perkins, Matthew J.; Field, Jennifer; Sogin, Mitchell L.; Dittmar, Thorsten; Passow, Uta; Medeiros, Patricia M.; Joye, Samantha B.",,"Kleindienst, Sara (University of Georgia); Seidel, Michael (University of Georgia); Ziervogel, Kai (University of North Carolina System); Grim, Sharon (); Loftis, Kathy (University of Georgia); Harrison, Sarah (University of Georgia); Malkin, Sairah Y. (University of Georgia); Perkins, Matthew J. (Oregon State University); Field, Jennifer (Oregon State University); Sogin, Mitchell L. (); Dittmar, Thorsten (Carl von Ossietzky University of Oldenburg; Max Planck Institute for Marine Microbiology); Passow, Uta (University of California, Santa Barbara); Medeiros, Patricia M. (University of Georgia); Joye, Samantha B. (University of Georgia)",110,54,6.13,18.51,https://www.pnas.org/content/pnas/112/48/14900.full.pdf,https://app.dimensions.ai/details/publication/pub.1048581665,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
34,200,pub.1073068406,10.5670/oceanog.2015.31,,,And on Top of All That… Coping with Ocean Acidification in the Midst of Many Stressors,Oceanography,,,2015-06-01,2015,25,2,48-61,All OA; Gold,Article,"Center, Smithsonian Environmental Research; Breitberg, Denise; Salisbury, Joseph; Bernhard, Joan; Cai, Wei-Jun; Dupont, Sam; Doney, Scott; Kroeker, Kristy; Levin, Lisa; Long, W Chistopher; Milke, Lisa; Miller, Seth; Phelan, Beth; Passow, Uta; Seibel, Brad; Todgham, Anne; Tarrant, Ann",,"Center, Smithsonian Environmental Research (); Breitberg, Denise (); Salisbury, Joseph (); Bernhard, Joan (); Cai, Wei-Jun (); Dupont, Sam (); Doney, Scott (); Kroeker, Kristy (); Levin, Lisa (); Long, W Chistopher (); Milke, Lisa (); Miller, Seth (); Phelan, Beth (); Passow, Uta (); Seibel, Brad (); Todgham, Anne (); Tarrant, Ann ()",586,40,,92.84,https://tos.org/oceanography/assets/docs/28-2_breitburg.pdf,https://app.dimensions.ai/details/publication/pub.1073068406,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
35,100,pub.1029227572,10.1007/s00227-015-2669-x,,,Negative effects of ocean acidification on calcification vary within the coccolithophore genus Calcidiscus,Marine Biology,,,2015-06,2015,162,6,1287-1305,Closed,Article,"Diner, Rachel E.; Benner, Ina; Passow, Uta; Komada, Tomoko; Carpenter, Edward J.; Stillman, Jonathon H.","Stillman, Jonathon H.","Diner, Rachel E. (San Francisco State University); Benner, Ina (San Francisco State University); Passow, Uta (University of California, Santa Barbara); Komada, Tomoko (San Francisco State University); Carpenter, Edward J. (San Francisco State University); Stillman, Jonathon H. (San Francisco State University; University of California, Berkeley)",9,6,,,,https://app.dimensions.ai/details/publication/pub.1029227572,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
36,100,pub.1013529004,10.1002/lno.10063,,,Combined effects of CO2 and temperature on carbon uptake and partitioning by the marine diatoms Thalassiosira weissflogii and Dactyliosolen fragilissimus,Limnology and Oceanography,,,2015-05,2015,60,3,901-919,All OA; Gold,Article,"Taucher, J.; Jones, J.; James, A.; Brzezinski, M. A.; Carlson, C. A.; Riebesell, U.; Passow, U.",,"Taucher, J. (GEOMAR Helmholtz Centre for Ocean Research Kiel); Jones, J. (University of California, Santa Barbara); James, A. (University of California, Santa Barbara); Brzezinski, M. A. (University of California, Santa Barbara); Carlson, C. A. (University of California, Santa Barbara); Riebesell, U. (GEOMAR Helmholtz Centre for Ocean Research Kiel); Passow, U. (University of California, Santa Barbara)",37,15,,6.52,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lno.10063,https://app.dimensions.ai/details/publication/pub.1013529004,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
37,400,pub.1055508492,10.1021/es5041738,25494664,,Transparent exopolymer particles: from aquatic environments and engineered systems to membrane biofouling.,Environmental Science & Technology,,"Biofilms; Biofouling; Biopolymers; Gels; Membranes, Artificial; Particle Size; Polysaccharides; Surface Properties; Waste Water; Water Purification",2015-01-20,2015,49,2,691-707,Closed,Article,"Bar-Zeev, Edo; Passow, Uta; Romero-Vargas Castrillón, Santiago; Elimelech, Menachem",,"Bar-Zeev, Edo (Yale University); Passow, Uta (University of California, Santa Barbara); Romero-Vargas Castrillón, Santiago (Yale University); Elimelech, Menachem (Yale University)",62,24,3.31,11.25,,https://app.dimensions.ai/details/publication/pub.1055508492,09 Engineering; 0904 Chemical Engineering,09 Engineering,0904 Chemical Engineering,,,
38,400,pub.1000502641,10.1371/journal.pone.0112379,25375640,PMC4223051,Aggregation and Sedimentation of Thalassiosira weissflogii (diatom) in a Warmer and More Acidified Future Ocean,PLoS ONE,,Animals; Carbon Dioxide; Diatoms; Eutrophication; Hot Temperature; Hydrogen-Ion Concentration; Oceans and Seas,2014-11-06,2014,9,11,e112379,All OA; Gold,Article,"Seebah, Shalin; Fairfield, Caitlin; Ullrich, Matthias S.; Passow, Uta",,"Seebah, Shalin (Jacobs University); Fairfield, Caitlin (University of California, Santa Barbara); Ullrich, Matthias S. (Jacobs University); Passow, Uta (University of California, Santa Barbara)",20,11,0.22,3.26,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0112379&type=printable,https://app.dimensions.ai/details/publication/pub.1000502641,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
39,100,pub.1013289653,10.5194/bg-11-4173-2014,,,Molecular insights into the microbial formation of marine dissolved organic matter: recalcitrant or labile?,Biogeosciences,,,2014-08-11,2014,11,15,4173-4190,All OA; Gold,Article,"Koch, B. P.; Kattner, G.; Witt, M.; Passow, U.",,"Koch, B. P. (Alfred Wegener Institute for Polar and Marine Research); Kattner, G. (Alfred Wegener Institute for Polar and Marine Research); Witt, M. (Bruker (Germany)); Passow, U. (University of California, Santa Barbara)",44,23,,7.02,https://www.biogeosciences.net/11/4173/2014/bg-11-4173-2014.pdf,https://app.dimensions.ai/details/publication/pub.1013289653,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
40,400,pub.1041845172,10.3389/fmicb.2014.00188,24847314,PMC4021148,Natural oil slicks fuel surface water microbial activities in the northern Gulf of Mexico,Frontiers in Microbiology,,,2014-05-08,2014,5,,188,All OA; Gold,Article,"Ziervogel, Kai; D'souza, Nigel; Sweet, Julia; Yan, Beizhan; Passow, Uta",,"Ziervogel, Kai (University of North Carolina at Chapel Hill); D'souza, Nigel (Lamont-Doherty Earth Observatory); Sweet, Julia (University of California, Santa Barbara); Yan, Beizhan (Lamont-Doherty Earth Observatory); Passow, Uta (University of California, Santa Barbara)",15,5,0.47,2.39,https://www.frontiersin.org/articles/10.3389/fmicb.2014.00188/pdf,https://app.dimensions.ai/details/publication/pub.1041845172,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
41,100,pub.1045420734,10.4319/lo.2014.59.2.0532,,,Aggregation as a function of and mineral particles,Limnology and Oceanography,,,2014-03,2014,59,2,532-547,All OA; Gold,Article,"Passow, Uta; De La Rocha, Christina L.; Fairfield, Caitlin; Schmidt, Katrin",,"Passow, Uta (University of California, Santa Barbara); De La Rocha, Christina L. (European Institute for Marine Studies); Fairfield, Caitlin (University of California, Santa Barbara); Schmidt, Katrin (University of California, Santa Barbara)",19,5,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2014.59.2.0532,https://app.dimensions.ai/details/publication/pub.1045420734,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
42,100,pub.1072665057,10.5194/bgd-11-3065-2014,,,Molecular insights into the microbial formation of marine dissolved organic matter: recalcitrant or labile?,Biogeosciences Discussions,,,2014-02-25,2014,11,2,3065-3111,All OA; Gold,Article,"Koch, B. P.; Kattner, G.; Witt, M.; Passow, U.",,"Koch, B. P. (); Kattner, G. (); Witt, M. (); Passow, U. ()",4,0,,0.64,https://epic.awi.de/id/eprint/35715/2/Koch_et_al_2014_Microbial_formation_of_DOM.pdf,https://app.dimensions.ai/details/publication/pub.1072665057,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
43,100,pub.1018223933,10.1016/b978-0-08-095975-7.00604-5,,,8.4 The Biological Pump,,Treatise on Geochemistry,,2014,2014,,,93-122,Closed,Chapter,"De La Rocha, C.L.; Passow, U.",,"De La Rocha, C.L. (University of Western Brittany); Passow, U. (University of California, Santa Barbara)",7,3,,0.98,,https://app.dimensions.ai/details/publication/pub.1018223933,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
44,400,pub.1022669480,10.1371/journal.pone.0063091,23704890,PMC3660375,Marine Phytoplankton Temperature versus Growth Responses from Polar to Tropical Waters – Outcome of a Scientific Community-Wide Study,PLoS ONE,,Aquatic Organisms; Ecosystem; Humans; Oceans and Seas; Phytoplankton; Species Specificity; Temperature; Tropical Climate; Water,2013-05-21,2013,8,5,e63091,All OA; Gold,Article,"Boyd, Philip W.; Rynearson, Tatiana A.; Armstrong, Evelyn A.; Fu, Feixue; Hayashi, Kendra; Hu, Zhangxi; Hutchins, David A.; Kudela, Raphael M.; Litchman, Elena; Mulholland, Margaret R.; Passow, Uta; Strzepek, Robert F.; Whittaker, Kerry A.; Yu, Elizabeth; Thomas, Mridul K.",,"Boyd, Philip W. (University of Otago); Rynearson, Tatiana A. (University of Rhode Island); Armstrong, Evelyn A. (University of Otago); Fu, Feixue (University of Southern California); Hayashi, Kendra (University of California, Santa Cruz); Hu, Zhangxi (Old Dominion University); Hutchins, David A. (University of Southern California); Kudela, Raphael M. (University of California, Santa Cruz); Litchman, Elena (Michigan State University); Mulholland, Margaret R. (Old Dominion University); Passow, Uta (University of California, Santa Barbara); Strzepek, Robert F. (University of Otago); Whittaker, Kerry A. (University of Rhode Island); Yu, Elizabeth (University of Southern California); Thomas, Mridul K. (Michigan State University)",128,37,2.76,16.87,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0063091&type=printable,https://app.dimensions.ai/details/publication/pub.1022669480,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
45,100,pub.1045082459,10.1088/1748-9326/7/3/035301,,,Marine snow formation in the aftermath of the Deepwater Horizon oil spill in the Gulf of Mexico,Environmental Research Letters,,,2012-09-01,2012,7,3,035301,All OA; Gold,Article,"Passow, U; Ziervogel, K; Asper, V; Diercks, A",,"Passow, U (University of California, Santa Barbara); Ziervogel, K (University of North Carolina at Chapel Hill); Asper, V (); Diercks, A ()",181,79,,21.69,http://iopscience.iop.org/article/10.1088/1748-9326/7/3/035301/pdf,https://app.dimensions.ai/details/publication/pub.1045082459,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
46,200,pub.1071170443,10.3354/meps09894,,,Effects of Marinobacter adhaerens HP15 on polymer exudation by Thalassiosira weissflogii at different N:P ratios,Marine Ecology Progress Series,,,2012-08-08,2012,461,,1-14,All OA; Gold,Article,"Gärdes, A; Ramaye, Y; Grossart, HP; Passow, U; Ullrich, MS",,"Gärdes, A (); Ramaye, Y (); Grossart, HP (); Passow, U (); Ullrich, MS ()",23,7,,3.28,https://www.int-res.com/articles/feature/m461p001.pdf,https://app.dimensions.ai/details/publication/pub.1071170443,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
47,100,pub.1047962199,10.1016/j.marchem.2011.10.004,,,The abiotic formation of TEP under different ocean acidification scenarios,Marine Chemistry,,,2012-01,2012,128,,72-80,Closed,Article,"Passow, Uta","Passow, Uta","Passow, Uta (University of California, Santa Barbara)",39,2,,4.44,,https://app.dimensions.ai/details/publication/pub.1047962199,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
48,400,pub.1016532708,10.3389/fmicb.2012.00425,23248623,PMC3521168,Contrasting extracellular enzyme activities of particle-associated bacteria from distinct provinces of the North Atlantic Ocean,Frontiers in Microbiology,,,2012,2012,3,,425,All OA; Gold,Article,"Arnosti, Carol; Fuchs, Bernhard M.; Amann, Rudolf; Passow, Uta",,"Arnosti, Carol (University of North Carolina at Chapel Hill); Fuchs, Bernhard M. (Max Planck Institute for Marine Microbiology); Amann, Rudolf (Max Planck Institute for Marine Microbiology); Passow, Uta (Alfred Wegener Institute for Polar and Marine Research)",23,4,0.7,2.72,https://www.frontiersin.org/articles/10.3389/fmicb.2012.00425/pdf,https://app.dimensions.ai/details/publication/pub.1016532708,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
49,100,pub.1045013050,10.1016/j.dsr.2011.09.001,,,Biological controls on dissolution of diatom frustules during their descent to the deep ocean: Lessons learned from controlled laboratory experiments,Deep Sea Research Part I Oceanographic Research Papers,,,2011-12,2011,58,12,1147-1157,Closed,Article,"Passow, Uta; French, Megan A.; Robert, Maya","Passow, Uta","Passow, Uta (University of California, Santa Barbara; Alfred Wegener Institute for Polar and Marine Research); French, Megan A. (University of East Anglia; Alfred Wegener Institute for Polar and Marine Research); Robert, Maya (University of South Florida; Alfred Wegener Institute for Polar and Marine Research)",8,1,,0.89,,https://app.dimensions.ai/details/publication/pub.1045013050,04 Earth Sciences; 0403 Geology; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0405 Oceanography,0402 Geochemistry,
50,200,pub.1071157063,10.3354/ame01522,,,Dynamics of extracellular enzyme activities in seawater under changed atmospheric pCO2: a mesocosm investigation,Aquatic Microbial Ecology,,,2011-09-20,2011,64,3,285-298,All OA; Gold,Article,"Arnosti, C; Grossart, HP; Mühling, M; Joint, I; Passow, U",,"Arnosti, C (); Grossart, HP (); Mühling, M (); Joint, I (); Passow, U ()",20,0,,2.14,https://www.int-res.com/articles/ame2011/64/a064p285.pdf,https://app.dimensions.ai/details/publication/pub.1071157063,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
51,400,pub.1050639664,10.1038/ismej.2010.145,20827289,PMC3105730,Diatom-associated bacteria are required for aggregation of Thalassiosira weissflogii,The ISME Journal,,"Bacteria; Bacterial Physiological Phenomena; Cell Culture Techniques; Diatoms; RNA, Ribosomal, 16S",2011-03,2011,5,3,436-445,All OA; Gold,Article,"Gärdes, Astrid; Iversen, Morten H; Grossart, Hans-Peter; Passow, Uta; Ullrich, Matthias S","Ullrich, Matthias S","Gärdes, Astrid (Jacobs University); Iversen, Morten H (University of Bremen; Alfred Wegener Institute for Polar and Marine Research); Grossart, Hans-Peter (); Passow, Uta (Alfred Wegener Institute for Polar and Marine Research; University of California, Santa Barbara); Ullrich, Matthias S (Jacobs University)",110,26,2.76,11.94,https://www.nature.com/articles/ismej2010145.pdf,https://app.dimensions.ai/details/publication/pub.1050639664,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
52,100,pub.1044944220,10.1002/biuz.201010429,,,Kohlenstoffpumpen im Ozean steuern das Klima. Globale Erwärmung,Biologie in unserer Zeit,,,2010-10,2010,40,5,304-313,Closed,Article,"Bathmann, Ulrich; Passow, Uta",,"Bathmann, Ulrich (); Passow, Uta ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1044944220,,,,,,
53,100,pub.1047625060,10.4319/lom.2010.8.386,,,"A novel method to measure particle sinking velocity in vitro, and its comparison to three other in vitro methods",Limnology and Oceanography Methods,,,2010-08,2010,8,8,386-393,"All OA; Green, Published",Article,"Ploug, Helle; Terbrüggen, Anja; Kaufmann, Anna; Wolf‐Gladrow, Dieter; Passow, Uta",,"Ploug, Helle (Alfred Wegener Institute for Polar and Marine Research; Stockholm University); Terbrüggen, Anja (Alfred Wegener Institute for Polar and Marine Research); Kaufmann, Anna (Alfred Wegener Institute for Polar and Marine Research); Wolf‐Gladrow, Dieter (Alfred Wegener Institute for Polar and Marine Research); Passow, Uta (Alfred Wegener Institute for Polar and Marine Research; University of California, Santa Barbara)",33,7,,,https://epic.awi.de/id/eprint/22133/1/Plo2010a.pdf,https://app.dimensions.ai/details/publication/pub.1047625060,04 Earth Sciences; 06 Biological Sciences,04 Earth Sciences,06 Biological Sciences,,,
54,200,pub.1071168675,10.3354/meps08555,,,"Characterization of phytoplankton exudates and carbohydrates in relation to their complexation of copper, cadmium and iron",Marine Ecology Progress Series,,,2010-06-03,2010,408,,33-46,All OA; Gold,Article,"Strmecki, S; Plavsic, M; Steigenberger, S; Passow, U",,"Strmecki, S (); Plavsic, M (); Steigenberger, S (); Passow, U ()",17,3,,1.98,https://www.int-res.com/articles/meps_oa/m408p033.pdf,https://app.dimensions.ai/details/publication/pub.1071168675,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
55,200,pub.1071168570,10.3354/meps08474,,,Utilization of organic nutrients by coccolithophores,Marine Ecology Progress Series,,,2010-04-08,2010,404,,21-29,All OA; Gold,Article,"Benner, I; Passow, U",,"Benner, I (); Passow, U ()",13,4,,1.51,https://www.int-res.com/articles/meps2010/404/m404p021.pdf,https://app.dimensions.ai/details/publication/pub.1071168570,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
56,100,pub.1009622707,10.5194/bg-7-109-2010,,,The role of polysaccharides and diatom exudates in the redox cycling of Fe and the photoproduction of hydrogen peroxide in coastal seawaters,Biogeosciences,,,2010-01-11,2010,7,1,109-119,All OA; Gold,Article,"Steigenberger, S.; Statham, P. J.; Völker, C.; Passow, U.",,"Steigenberger, S. (Alfred Wegener Institute for Polar and Marine Research; National Oceanography Centre); Statham, P. J. (National Oceanography Centre); Völker, C. (Alfred Wegener Institute for Polar and Marine Research); Passow, U. (Alfred Wegener Institute for Polar and Marine Research)",22,1,,,https://www.biogeosciences.net/7/109/2010/bg-7-109-2010.pdf,https://app.dimensions.ai/details/publication/pub.1009622707,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
57,100,pub.1018090607,10.5194/bg-6-3071-2009,,,Effects of ultraviolet B radiation on (not so) transparent exopolymer particles,Biogeosciences,,,2009-12-17,2009,6,12,3071-3080,All OA; Gold,Article,"Ortega-Retuerta, E.; Passow, U.; Duarte, C. M.; Reche, I.",,"Ortega-Retuerta, E. (University of Granada); Passow, U. (University of California, Santa Barbara; Alfred Wegener Institute for Polar and Marine Research); Duarte, C. M. (Mediterranean Institute for Advanced Studies); Reche, I. (University of Granada)",33,11,,,https://www.biogeosciences.net/6/3071/2009/bg-6-3071-2009.pdf,https://app.dimensions.ai/details/publication/pub.1018090607,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
58,100,pub.1037231718,10.5194/bg-6-2155-2009,,,Distribution of calcifying and silicifying phytoplankton in relation to environmental and biogeochemical parameters during the late stages of the 2005 North East Atlantic Spring Bloom,Biogeosciences,,,2009-10-12,2009,6,10,2155-2179,All OA; Gold,Article,"Leblanc, K.; Hare, C. E.; Feng, Y.; Berg, G. M.; DiTullio, G. R.; Neeley, A.; Benner, I.; Sprengel, C.; Beck, A.; Sanudo-Wilhelmy, S. A.; Passow, U.; Klinck, K.; Rowe, J. M.; Wilhelm, S. W.; Brown, C. W.; Hutchins, D. A.",,"Leblanc, K. (); Hare, C. E. (); Feng, Y. (Institute of Oceanology); Berg, G. M. (Stanford University); DiTullio, G. R. (); Neeley, A. (); Benner, I. (Alfred Wegener Institute for Polar and Marine Research; San Francisco State University); Sprengel, C. (Alfred Wegener Institute for Polar and Marine Research); Beck, A. (Max Planck Institute for Marine Microbiology); Sanudo-Wilhelmy, S. A. (University of Southern California); Passow, U. (Alfred Wegener Institute for Polar and Marine Research; University of California, Santa Barbara); Klinck, K. (Alfred Wegener Institute for Polar and Marine Research); Rowe, J. M. (University of Nebraska–Lincoln); Wilhelm, S. W. (University of Tennessee at Knoxville); Brown, C. W. (Center for Satellite Applications and Research); Hutchins, D. A. (University of Southern California)",34,9,,,https://www.biogeosciences.net/6/2155/2009/bg-6-2155-2009.pdf,https://app.dimensions.ai/details/publication/pub.1037231718,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
59,200,pub.1071168143,10.3354/meps08133,,,Effects of increased pCO2 and temperature on the North Atlantic spring bloom. I. The phytoplankton community and biogeochemical response,Marine Ecology Progress Series,,,2009-08-19,2009,388,,13-25,All OA; Gold,Article,"Feng, Y; Hare, CE; Leblanc, K; Rose, JM; Zhang, Y; DiTullio, GR; Lee, PA; Wilhelm, SW; Rowe, JM; Sun, J; Nemcek, N; Gueguen, C; Passow, U; Benner, I; Brown, C; Hutchins, DA",,"Feng, Y (); Hare, CE (); Leblanc, K (); Rose, JM (); Zhang, Y (); DiTullio, GR (); Lee, PA (); Wilhelm, SW (); Rowe, JM (); Sun, J (); Nemcek, N (); Gueguen, C (); Passow, U (); Benner, I (); Brown, C (); Hutchins, DA ()",164,23,,18.28,https://www.int-res.com/articles/meps2009/388/m388p013.pdf,https://app.dimensions.ai/details/publication/pub.1071168143,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
