,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Konstadinos G Goulias. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
35,100,pub.1071048696,10.3141/2323-01,,,Understanding Place through use of Mixed-Method Approach,Transportation Research Record Journal of the Transportation Research Board,,,2012-01,2012,2323,1,1-9,Closed,Article,"Deutsch, Kathleen; Goulias, Konstadinos G.",,"Deutsch, Kathleen (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",4,3,,0.87,,https://app.dimensions.ai/details/publication/pub.1071048696,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
36,100,pub.1071048447,10.3141/2307-14,,,"Exploratory Analysis of Spatial Hierarchical Clustering in Los Angeles County, California: Relationship of Opportunity-Based Accessibility, Reported Land Values, and Resident Characteristics",Transportation Research Record Journal of the Transportation Research Board,,,2012-01,2012,2307,1,132-140,Closed,Article,"Ravulaparthy, Srinath; Dalal, Pamela; Chen, Yali; Goulias, Konstadinos G.",,"Ravulaparthy, Srinath (University of California, Santa Barbara); Dalal, Pamela (University of California, Santa Barbara); Chen, Yali (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1071048447,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
37,100,pub.1071048366,10.3141/2303-08,,,Application of Socioeconomic Model System for Activity-Based Modeling: Experience from Southern California,Transportation Research Record Journal of the Transportation Research Board,,,2012-01,2012,2303,1,71-80,"All OA; Green, Accepted & Submitted",Article,"Pendyala, Ram M.; Bhat, Chandra R.; Goulias, Konstadinos G.; Paleti, Rajesh; Konduri, Karthik C.; Sidharthan, Raghu; Hu, Hsi-Hwa; Huang, Guoxiong; Christian, Keith P.",,"Pendyala, Ram M. (Arizona State University); Bhat, Chandra R. (); Goulias, Konstadinos G. (University of California, Santa Barbara); Paleti, Rajesh (); Konduri, Karthik C. (Arizona State University); Sidharthan, Raghu (); Hu, Hsi-Hwa (); Huang, Guoxiong (); Christian, Keith P. (Arizona State University)",8,2,,1.73,https://repositories.lib.utexas.edu/bitstream/2152/21113/2/TRR_CEMSELTSPopGen_15March2012.pdf,https://app.dimensions.ai/details/publication/pub.1071048366,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
38,100,pub.1071048345,10.3141/2302-08,,,"Joint Vehicle Holdings, by Type and Vintage, and Primary Driver Assignment Model with Application for California",Transportation Research Record Journal of the Transportation Research Board,,,2012-01,2012,2302,1,74-83,"All OA; Green, Accepted & Submitted",Article,"Vyas, Gaurav; Paleti, Rajesh; Bhat, Chandra R.; Goulias, Konstadinos G.; Pendyala, Ram M.; Hu, Hsi-Hwa; Adler, Thomas J.; Bahreinian, Aniss",,"Vyas, Gaurav (Parsons Brinckerhoff); Paleti, Rajesh (The University of Texas at Austin); Bhat, Chandra R. (The University of Texas at Austin); Goulias, Konstadinos G. (University of California, Santa Barbara); Pendyala, Ram M. (Arizona State University); Hu, Hsi-Hwa (); Adler, Thomas J. (); Bahreinian, Aniss (California Energy Commission)",11,3,,2.38,https://repositories.lib.utexas.edu/bitstream/2152/15711/2/vyas_thesis_20119.pdf,https://app.dimensions.ai/details/publication/pub.1071048345,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
39,100,pub.1071047934,10.3141/2276-04,,,Opportunity-Based Dynamic Transit Accessibility in Southern California,Transportation Research Record Journal of the Transportation Research Board,,,2012-01,2012,2276,1,26-37,All OA; Gold,Article,"Lei, Ting L.; Chen, Yali; Goulias, Konstadinos G.",,"Lei, Ting L. (University of Oklahoma); Chen, Yali (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",20,7,,4.33,http://journals.sagepub.com/doi/pdf/10.3141/2276-04,https://app.dimensions.ai/details/publication/pub.1071047934,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
40,100,pub.1006635255,10.1016/j.sbspro.2012.06.1326,,,“Teenager's Travel Patterns for School and After-School Activities.”,Procedia - Social and Behavioral Sciences,,,2012,2012,48,,3635-3650,All OA; Gold,Article,"Kamargianni, Maria; Polydoropoulou, Amalia; Goulias, Konstadinos G.","Kamargianni, Maria","Kamargianni, Maria (University of the Aegean); Polydoropoulou, Amalia (University of the Aegean); Goulias, Konstadinos G. (University of California, Santa Barbara)",12,7,,2.35,https://doi.org/10.1016/j.sbspro.2012.06.1326,https://app.dimensions.ai/details/publication/pub.1006635255,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
41,100,pub.1094791759,10.1109/fists.2011.5973624,,,"Simulator of Activities, Greenhouse Emissions, Networks, and Travel (SimAGENT) in Southern California: Design, Implementation, Preliminary Findings, and Integration Plans",,2011 IEEE Forum on Integrated and Sustainable Transportation Systems,,2011-06,2011,1,,164-169,Closed,Proceeding,"Goulias, Konstadinos G.; Bhat, Chandra R.; Pendyala, Ram M.; Chen, Yali; Paleti, Rajesh; Konduri, Karthik C.; Huang, Guoxiong; Hu, Hsi-Hwa",,"Goulias, Konstadinos G. (); Bhat, Chandra R. (); Pendyala, Ram M. (); Chen, Yali (); Paleti, Rajesh (); Konduri, Karthik C. (); Huang, Guoxiong (); Hu, Hsi-Hwa ()",12,2,,4.63,,https://app.dimensions.ai/details/publication/pub.1094791759,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
42,100,pub.1094676765,10.1109/fists.2011.5973622,,,A Method for Computing Flight Emissions and Identifying Potential Point-to-Point Aviation Markets,,2011 IEEE Forum on Integrated and Sustainable Transportation Systems,,2011-06,2011,1,,333-338,Closed,Proceeding,"Isbell, Nathanael A.; Goulias, Konstadinos G.",,"Isbell, Nathanael A. (); Goulias, Konstadinos G. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1094676765,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
43,100,pub.1071047569,10.3141/2255-07,,,Development of Indicators of Opportunity-Based Accessibility,Transportation Research Record Journal of the Transportation Research Board,,,2011-01,2011,2255,1,58-68,All OA; Gold,Article,"Chen, Yali; Ravulaparthy, Srinath; Deutsch, Kathleen; Dalal, Pamela; Yoon, Seo Youn; Lei, Ting; Goulias, Konstadinos G.; Pendyala, Ram M.; Bhat, Chandra R.; Hu, Hsi-Hwa",,"Chen, Yali (University of California, Santa Barbara); Ravulaparthy, Srinath (University of California, Santa Barbara); Deutsch, Kathleen (University of California, Santa Barbara); Dalal, Pamela (University of California, Santa Barbara); Yoon, Seo Youn (University of California, Santa Barbara); Lei, Ting (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara); Pendyala, Ram M. (Arizona State University); Bhat, Chandra R. (The University of Texas at Austin); Hu, Hsi-Hwa ()",40,7,,8.97,https://journals.sagepub.com/doi/pdf/10.3141/2255-07,https://app.dimensions.ai/details/publication/pub.1071047569,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
44,100,pub.1071047550,10.3141/2254-06,,,"Design of Comprehensive Microsimulator of Household Vehicle Fleet Composition, Utilization, and Evolution",Transportation Research Record Journal of the Transportation Research Board,,,2011-01,2011,2254,1,44-57,"All OA; Green, Accepted & Submitted",Article,"Paleti, Rajesh; Eluru, Naveen; Bhat, Chandra R.; Pendyala, Ram M.; Adler, Thomas J.; Goulias, Konstadinos G.",,"Paleti, Rajesh (); Eluru, Naveen (McGill University); Bhat, Chandra R. (); Pendyala, Ram M. (Arizona State University); Adler, Thomas J. (); Goulias, Konstadinos G. (University of California, Santa Barbara)",15,4,,3.36,https://repositories.lib.utexas.edu/bitstream/2152/21389/2/TRR_Vehicle_Fleet_Evolution_15March2011.pdf,https://app.dimensions.ai/details/publication/pub.1071047550,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
45,100,pub.1071047227,10.3141/2231-05,,,Travel Determinants and Multiscale Transferability of National Activity Patterns to Local Populations,Transportation Research Record Journal of the Transportation Research Board,,,2011-01,2011,2231,1,35-43,Closed,Article,"Henson, Kriste M.; Goulias, Konstadinos G.",,"Henson, Kriste M. (Los Alamos National Laboratory); Goulias, Konstadinos G. (University of California, Santa Barbara)",1,0,,0.22,,https://app.dimensions.ai/details/publication/pub.1071047227,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
46,100,pub.1071047222,10.3141/2230-15,,,Spatial Analysis of Propensity to Escort Children to School in Southern California,Transportation Research Record Journal of the Transportation Research Board,,,2011-01,2011,2230,1,132-142,Closed,Article,"Yoon, Seo Youn; Doudnikoff, Marjorie; Goulias, Konstadinos G.",,"Yoon, Seo Youn (University of California, Santa Barbara); Doudnikoff, Marjorie (École Nationale des Travaux Publics de l'État); Goulias, Konstadinos G. (University of California, Santa Barbara)",22,9,,4.93,,https://app.dimensions.ai/details/publication/pub.1071047222,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
47,100,pub.1071046972,10.3141/2213-11,,,Model for Children's School Travel Mode Choice,Transportation Research Record Journal of the Transportation Research Board,,,2011-01,2011,2213,1,78-86,Closed,Article,"Sidharthan, Raghuprasad; Bhat, Chandra R.; Pendyala, Ram M.; Goulias, Konstadinos G.",,"Sidharthan, Raghuprasad (); Bhat, Chandra R. (); Pendyala, Ram M. (Arizona State University); Goulias, Konstadinos G. (University of California, Santa Barbara)",32,13,,7.17,,https://app.dimensions.ai/details/publication/pub.1071046972,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
48,200,pub.1071146335,10.3328/tl.2010.02.04.245-260,,,Impact of time-space prism accessibility on time use behavior and its propagation through intra-household interaction,Transportation Letters,,,2010-10,2010,2,4,245-260,Closed,Article,"Yoon, Seo; Goulias, Konstadinos",,"Yoon, Seo (); Goulias, Konstadinos ()",20,4,,,,https://app.dimensions.ai/details/publication/pub.1071146335,,,,,,
49,100,pub.1071046640,10.3141/2193-16,,,"Literacy, Access, and Mobility",Transportation Research Record Journal of the Transportation Research Board,,,2010-01,2010,2193,1,132-139,Closed,Article,"Dalal, Pamela; Goulias, Konstadinos G.",,"Dalal, Pamela (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",3,1,,0.61,,https://app.dimensions.ai/details/publication/pub.1071046640,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
50,100,pub.1071046106,10.3141/2157-12,,,Exploring Sense-of-Place Attitudes as Indicators of Travel Behavior,Transportation Research Record Journal of the Transportation Research Board,,,2010-01,2010,2157,1,95-102,"All OA; Green, Accepted & Submitted",Article,"Deutsch, Kate; Goulias, Konstadinos",,"Deutsch, Kate (University of California, Santa Barbara); Goulias, Konstadinos (University of California, Santa Barbara)",9,2,,1.83,https://escholarship.org/content/qt2xg395jg/qt2xg395jg.pdf?t=krnaxc,https://app.dimensions.ai/details/publication/pub.1071046106,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
51,200,pub.1035602916,10.1016/s1755-5345(13)70026-5,,,Applications of Discrete Choice Models – Selected papers from the 11th World Conference on Transport Research,Journal of Choice Modelling,,,2010,2010,3,1,1-4,All OA; Gold,Article,"Shiftan, Yoram; Goulias, Konstadinos","Shiftan, Yoram","Shiftan, Yoram (Technion – Israel Institute of Technology); Goulias, Konstadinos (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/s1755-5345(13)70026-5,https://app.dimensions.ai/details/publication/pub.1035602916,,,,,,
52,200,pub.1028126133,10.1007/s11116-009-9234-8,,,Remembering a teacher,Transportation,,,2009-11,2009,36,6,643-645,Closed,Article,"Pendyala, Ram M.; Goulias, Konstadinos G.; Chen, Cynthia","Pendyala, Ram M.","Pendyala, Ram M. (Arizona State University); Goulias, Konstadinos G. (University of California, Santa Barbara); Chen, Cynthia (University of Washington)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1028126133,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
53,200,pub.1071146305,10.3328/tl.2009.01.02.147-167,,,Active travel behavior,Transportation Letters,,,2009-04,2009,1,2,147-167,Closed,Article,"Burbidge, Shaunna; Goulias, Konstadinos",,"Burbidge, Shaunna (); Goulias, Konstadinos ()",22,7,,,,https://app.dimensions.ai/details/publication/pub.1071146305,,,,,,
54,200,pub.1071146299,10.3328/tl.2009.01.01.19-39,,,"An assessment of activity-based modeling and simulation for applications in operational studies, disaster preparedness, and homeland security",Transportation Letters,,,2009-01,2009,1,1,19-39,Closed,Article,"Henson, Kriste; Goulias, Konstadinos; Golledge, Reginald",,"Henson, Kriste (); Goulias, Konstadinos (); Golledge, Reginald ()",23,6,,,,https://app.dimensions.ai/details/publication/pub.1071146299,,,,,,
55,100,pub.1071045741,10.3141/2135-13,,,"Structural Equations Model of Land Use Patterns, Location Choice, and Travel Behavior",Transportation Research Record Journal of the Transportation Research Board,,,2009-01,2009,2135,1,106-113,All OA; Gold,Article,"de Abreu e Silva, João; Goulias, Konstadinos G.",,"de Abreu e Silva, João (); Goulias, Konstadinos G. (University of California, Santa Barbara)",18,2,,3.01,http://journals.sagepub.com/doi/pdf/10.3141/2135-13,https://app.dimensions.ai/details/publication/pub.1071045741,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
56,100,pub.1071045738,10.3141/2135-10,,,Evaluating the Impact of Neighborhood Trail Development on Active Travel Behavior and Overall Physical Activity of Suburban Residents,Transportation Research Record Journal of the Transportation Research Board,,,2009-01,2009,2135,1,78-86,Closed,Article,"Burbidge, Shaunna K.; Goulias, Konstadinos G.",,"Burbidge, Shaunna K. (Brigham Young University); Goulias, Konstadinos G. ()",23,9,,3.85,,https://app.dimensions.ai/details/publication/pub.1071045738,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
57,200,pub.1113500030,10.1007/978-1-4939-8763-4_565,,,Travel Behavior and Demand Analysis and Prediction,,Complex Dynamics of Traffic Management,,2009,2009,,,613-648,"All OA; Green, Accepted & Submitted",Chapter,"Goulias, Konstadinos G.","Goulias, Konstadinos G.","Goulias, Konstadinos G. (University of California, Santa Barbara)",0,0,,,https://escholarship.org/content/qt58d3081c/qt58d3081c.pdf?t=mc2sh3,https://app.dimensions.ai/details/publication/pub.1113500030,,,,,,
58,200,pub.1008269481,10.1007/978-0-387-30440-3_565,,,Travel Behavior and Demand Analysis and Prediction,,Encyclopedia of Complexity and Systems Science,,2009,2009,,,9536-9565,"All OA; Green, Accepted & Submitted",Chapter,"Goulias, Konstadinos G.",,"Goulias, Konstadinos G. (University of California, Santa Barbara)",3,2,,,https://escholarship.org/content/qt58d3081c/qt58d3081c.pdf?t=mc2sh3,https://app.dimensions.ai/details/publication/pub.1008269481,,,,,,
59,100,pub.1008157912,10.1007/s11116-008-9172-x,,,"Immigration, residential location, car ownership, and commuting behavior: a multivariate latent class analysis from California",Transportation,,,2008-08,2008,35,5,655-671,Closed,Article,"Beckman, Jarad D.; Goulias, Konstadinos G.","Beckman, Jarad D.","Beckman, Jarad D. (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",35,9,,6.53,,https://app.dimensions.ai/details/publication/pub.1008157912,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
60,100,pub.1071043998,10.3141/2014-09,,,Catching the Next Big Wave,Transportation Research Record Journal of the Transportation Research Board,,,2007-01,2007,2014,1,67-75,All OA; Gold,Article,"Goulias, Konstadinos G.; Blain, Larry; Kilgren, Neil; Michalowski, Timothy; Murakami, Elaine",,"Goulias, Konstadinos G. (University of California, Santa Barbara); Blain, Larry (University of Puget Sound); Kilgren, Neil (University of Puget Sound); Michalowski, Timothy (University of Puget Sound); Murakami, Elaine (Federal Highway Administration)",18,4,,3.14,https://journals.sagepub.com/doi/pdf/10.3141/2014-09,https://app.dimensions.ai/details/publication/pub.1071043998,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
61,200,pub.1051377056,10.1108/9780080467542-019,,,"A Dynamic Analysis of Daily Time Uses, Mode Choice, and Information and Communication Technology",,Transport Science and Technology,,2006-12-14,2006,,Issue books/2006/9780080467542/9780080467542/20160212-01,247-262,Closed,Chapter,"Kim, Tae-Gyu; Goulias, Konstadinos G.",,"Kim, Tae-Gyu (North Carolina Department of Public Safety); Goulias, Konstadinos G. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1051377056,,,,,,
62,200,pub.1017885984,10.1108/9780080467542-018,,,A Multivariate Multilevel Analysis of Information Technology Choice,,Transport Science and Technology,,2006-12-14,2006,,Issue books/2006/9780080467542/9780080467542/20160212-01,233-246,Closed,Chapter,"Kim, Tae-Gyu; Goulias, Konstadinos G.",,"Kim, Tae-Gyu (North Carolina Department of Public Safety); Goulias, Konstadinos G. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1017885984,,,,,,
63,200,pub.1013262120,10.1108/9780080467542-001,,,"Introduction to science, technology, and transport systems",,Transport Science and Technology,,2006-12-14,2006,,Issue books/2006/9780080467542/9780080467542/20160212-01,1-4,Closed,Chapter,"Goulias, Konstadinos G.",,"Goulias, Konstadinos G. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1013262120,,,,,,
64,100,pub.1051986434,10.1007/s11116-006-8075-y,,,On altruists and egoists in activity participation and travel: who are they and do they live together?,Transportation,,,2006-09,2006,33,5,447-462,"All OA; Green, Accepted & Submitted",Article,"Goulias, Konstadinos G.; Henson, Kriste M.","Goulias, Konstadinos G.","Goulias, Konstadinos G. (University of California, Santa Barbara); Henson, Kriste M. ()",21,1,,4.34,https://escholarship.org/content/qt0p36z3r0/qt0p36z3r0.pdf?t=mc2sh3,https://app.dimensions.ai/details/publication/pub.1051986434,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
65,200,pub.1071043273,10.3141/1977-17,,,Effects of Land Use Characteristics on Residence and Employment Location and Travel Behavior of Urban Adult Workers,Transportation Research Record Journal of the Transportation Research Board,,,2006-01,2006,1977,,121-131,Closed,Article,"e Silva, João; Golob, Thomas; Goulias, Konstadinos",,"e Silva, João (); Golob, Thomas (); Goulias, Konstadinos ()",29,3,,6,,https://app.dimensions.ai/details/publication/pub.1071043273,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
66,200,pub.1071042684,10.3141/1942-04,,,Preliminary Assessment of Activity Analysis and Modeling for Homeland Security Applications,Transportation Research Record Journal of the Transportation Research Board,,,2006-01,2006,1942,,23-30,"All OA; Green, Accepted & Submitted",Article,"Henson, Kriste; Goulias, Konstadinos",,"Henson, Kriste (); Goulias, Konstadinos ()",9,0,,1.86,https://escholarship.org/content/qt6tw9z8mn/qt6tw9z8mn.pdf?t=mc2sx6,https://app.dimensions.ai/details/publication/pub.1071042684,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
67,100,pub.1104194638,10.1177/0361198106197700115,,,Effects of Land Use Characteristics on Residence and Employment Location and Travel Behavior of Urban Adult Workers,Transportation Research Record Journal of the Transportation Research Board,,,2006-01,2006,1977,1,121-131,Closed,Article,"de Abreu e Silva, João; Golob, Thomas F.; Goulias, Konstadinos G.",,"de Abreu e Silva, João (); Golob, Thomas F. (University of California, Irvine); Goulias, Konstadinos G. (University of California, Santa Barbara)",6,2,,1.24,,https://app.dimensions.ai/details/publication/pub.1104194638,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
68,100,pub.1104194055,10.1177/0361198106194200104,,,Preliminary Assessment of Activity Analysis and Modeling for Homeland Security Applications,Transportation Research Record Journal of the Transportation Research Board,,,2006-01,2006,1942,1,23-30,"All OA; Green, Accepted & Submitted",Article,"Henson, Kriste M.; Goulias, Konstadinos G.",,"Henson, Kriste M. (Los Alamos National Laboratory; University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",5,1,,0.74,https://escholarship.org/content/qt6tw9z8mn/qt6tw9z8mn.pdf?t=mc2sx6,https://app.dimensions.ai/details/publication/pub.1104194055,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
69,200,pub.1071042494,10.3141/1932-10,,,Assessing the Time Lag Between Transportation Investment and Economic Development by the Data Envelopment Approach,Transportation Research Record Journal of the Transportation Research Board,,,2005-01,2005,1932,,79-88,Closed,Article,"Alam, Jobair; Sikder, Saiyid; Goulias, Konstadinos",,"Alam, Jobair (); Sikder, Saiyid (); Goulias, Konstadinos ()",4,1,,0.82,,https://app.dimensions.ai/details/publication/pub.1071042494,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
70,200,pub.1071042357,10.3141/1926-16,,,Simulation of Daily Activity Patterns Incorporating Interactions Within Households: Algorithm Overview and Performance,Transportation Research Record Journal of the Transportation Research Board,,,2005-01,2005,1926,,135-141,Closed,Article,"Přibyl, Ondřej; Goulias, Konstadinos",,"Přibyl, Ondřej (); Goulias, Konstadinos ()",12,2,,2.45,,https://app.dimensions.ai/details/publication/pub.1071042357,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
71,100,pub.1104193865,10.1177/0361198105193200110,,,Assessing the Time Lag between Transportation Investment and Economic Development by the Data Envelopment Approach,Transportation Research Record Journal of the Transportation Research Board,,,2005-01,2005,1932,1,79-88,Closed,Article,"Alam, Jobair B.; Sikder, Saiyid H.; Goulias, Konstadinos G.",,"Alam, Jobair B. (Bangladesh University of Engineering and Technology); Sikder, Saiyid H. (Pennsylvania State University); Goulias, Konstadinos G. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1104193865,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
