,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Gary D Libecap. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
42,100,pub.1052741969,10.1017/s0022050703531801,,,"Redefining Efficiency: Pollution Concerns, Regulatory Mechanisms, and Technological Change in the U.S. Petroleum Industry. By Hugh S. Gorman. Series on Technology and the Environment. Series Editors, Jeffrey Stine, and Joel Tarr. Akron, OH: University of Akron Press, 2001. Pp. xv, 451. $49.95, cloth; $39.95, paper. -",The Journal of Economic History,,,2003-03,2003,63,1,294-295,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1052741969,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
43,100,pub.1102202003,10.2139/ssrn.460622,,,"Small Farms, Externalities, and the Dust Bowl of the 1930s",SSRN Electronic Journal,,,2003,2003,,,,"All OA; Green, Published",Preprint,"Hansen, Zeynep K.; Libecap, Gary D.",,"Hansen, Zeynep K. (); Libecap, Gary D. ()",1,1,,0.09,http://www.nber.org/papers/w10055.pdf,https://app.dimensions.ai/details/publication/pub.1102202003,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
44,100,pub.1042145813,10.1017/s0022050702000876,,,"Oil in Texas: The Gusher Age, 1895–1945. By Diana Davids Olien and Roger M. Olien. Austin: University of Texas Press, 2002. Pp. xi, 307. $39.95.",The Journal of Economic History,,,2002-06,2002,62,2,621-622,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",2,0,,0.96,,https://app.dimensions.ai/details/publication/pub.1042145813,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
45,100,pub.1086947831,10.1007/978-1-349-74173-1_388,,,Unitization,,The New Palgrave Dictionary of Economics and the Law,,2002,2002,,,2041-2043,Closed,Chapter,"Libecap, Gary D.",,"Libecap, Gary D. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1086947831,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,,,
46,100,pub.1086947564,10.1007/978-1-349-74173-1_65,,,Common Property,,The New Palgrave Dictionary of Economics and the Law,,2002,2002,,,317-324,Closed,Chapter,"Libecap, Gary D.",,"Libecap, Gary D. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1086947564,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
47,100,pub.1006499667,10.1017/s0022050701005976,,,"The Mystery of Capital: Why Capitalism Triumphs in the West and Fails Everywhere Else. By Hernando de Soto. New York: Basic Books, 2000. Pp. 276. $27.50, cloth; $14.00, paper.",The Journal of Economic History,,,2001-12,2001,61,4,1166-1168,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",34,2,,10.15,,https://app.dimensions.ai/details/publication/pub.1006499667,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
48,100,pub.1011062585,10.1007/pl00011022,,,Information distortion and competitive remedies in government transfer programs: The case of ethanol,Economics of Governance,,,2001-07,2001,2,2,101-134,Closed,Article,"Johnson, Ronald N.; Libecap, Gary D.",,"Johnson, Ronald N. (Montana State University); Libecap, Gary D. (University of Arizona)",13,2,,3.88,,https://app.dimensions.ai/details/publication/pub.1011062585,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
49,100,pub.1032142477,10.2202/1145-6396.1003,,,The Problem of an Autonomous Bureaucracy in Transition Economies: Lessons from the American Experience,Journal des Économistes et des Études Humaines,,,2001-01-01,2001,11,1,,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (National Bureau of Economic Research)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1032142477,,,,,,
50,100,pub.1102190559,10.2139/ssrn.286700,,,"Land Reform Policies, the Sources of Violent Conflict and Implications for Deforestation in the Brazilian Amazon",SSRN Electronic Journal,,,2001,2001,,,,"All OA; Green, Accepted & Submitted",Preprint,"Alston, Lee J.; Mueller, Bernardo; Libecap, Gary D.",,"Alston, Lee J. (); Mueller, Bernardo (University of Brasília); Libecap, Gary D. ()",0,0,,0,http://dlc.dlib.indiana.edu/dlc/bitstream/handle/10535/5714/Land%20reform%20policies%20the%20sources%20of%20violent%20conflict%20and%20implications%20for%20deforestation%20in%20the%20brazilian%20amazon.pdf?sequence=1&isAllowed=y,https://app.dimensions.ai/details/publication/pub.1102190559,18 Law and Legal Studies; 1402 Applied Economics; 1801 Law; 14 Economics,18 Law and Legal Studies,1402 Applied Economics,1801 Law,14 Economics,
51,100,pub.1102190386,10.2139/ssrn.286699,,,"U.S. Land Policy, Property Rights, and the Dust Bowl of the 1930s",SSRN Electronic Journal,,,2001,2001,,,,"All OA; Green, Accepted & Submitted",Preprint,"Hansen, Zeynep K.; Libecap, Gary D.",,"Hansen, Zeynep K. (); Libecap, Gary D. ()",1,1,,0.3,http://dlc.dlib.indiana.edu/dlc/bitstream/handle/10535/5720/US%20land%20policy%20property%20rights%20and%20the%20dust%20bowl%20of%20the%201930s.pdf?sequence=1&isAllowed=y,https://app.dimensions.ai/details/publication/pub.1102190386,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
52,100,pub.1029279553,10.1006/exeh.2000.0747,,,The Effect of Cost Heterogeneity in the Success and Failure of the New Deal's Agricultural and Industrial Programs,Explorations in Economic History,,,2000-10,2000,37,4,370-400,"All OA; Green, Accepted & Submitted",Article,"Alexander, Barbara; Libecap, Gary D.",,"Alexander, Barbara (); Libecap, Gary D. ()",9,1,,2.51,http://trbf.analysisonline.org/home/140002434/140002434/Alexander-LibecapEEH.pdf,https://app.dimensions.ai/details/publication/pub.1029279553,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
53,100,pub.1024496854,10.1006/jeem.1999.1103,,,"Land Reform Policies, the Sources of Violent Conflict, and Implications for Deforestation in the Brazilian Amazon",Journal of Environmental Economics and Management,,,2000-03,2000,39,2,162-188,"All OA; Green, Accepted & Submitted",Article,"Alston, Lee J.; Libecap, Gary D.; Mueller, Bernardo",,"Alston, Lee J. (University of Illinois System; National Bureau of Economic Research); Libecap, Gary D. (University of Arizona; National Bureau of Economic Research); Mueller, Bernardo (University of Brasília)",137,17,,38.14,http://dlc.dlib.indiana.edu/dlc/bitstream/handle/10535/5714/Land%20reform%20policies%20the%20sources%20of%20violent%20conflict%20and%20implications%20for%20deforestation%20in%20the%20brazilian%20amazon.pdf?sequence=1&isAllowed=y,https://app.dimensions.ai/details/publication/pub.1024496854,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
54,100,pub.1050533304,10.1007/978-1-4615-4563-7_1,,,Introduction: Public Choice Essays in Honor of a Maverick Scholar: Gordon Tullock,,Public Choice Essays in Honor of a Maverick Scholar: Gordon Tullock,,2000,2000,,,1-11,Closed,Chapter,"Fishback, Price; Libecap, Gary; Zajac, Edward",,"Fishback, Price (University of Arizona); Libecap, Gary (University of Arizona); Zajac, Edward (University of Arizona)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1050533304,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
55,100,pub.1014277506,10.1007/978-1-4615-4573-6_7,,,Public Choice and the Success of Government-Sponsored Cartels: The Different Experience of New Deal Agricultural and Industrial Policies,,Public Choice Interpretations of American Economic History,,2000,2000,,,123-146,Closed,Chapter,"Alexander, Barbara J.; Libecap, Gary D.",,"Alexander, Barbara J. (); Libecap, Gary D. ()",2,0,,0.5,,https://app.dimensions.ai/details/publication/pub.1014277506,14 Economics; 16 Studies in Human Society; 1403 Econometrics; 1605 Policy and Administration; 1402 Applied Economics,14 Economics,16 Studies in Human Society,1403 Econometrics,1605 Policy and Administration,1402 Applied Economics
56,100,pub.1054037134,10.1017/s1355770x99000121,,,A model of rural conflict: violence and land reform policy in Brazil,Environment and Development Economics,,,1999-05,1999,4,2,135-160,"All OA; Green, Published",Article,"ALSTON, LEE J.; LIBECAP, GARY D.; MUELLER, BERNARDO",,"ALSTON, LEE J. (University of Illinois System); LIBECAP, GARY D. (University of Arizona); MUELLER, BERNARDO (University of Brasília)",41,7,,,http://bibliotecadigital.fgv.br/dspace/bitstream/10438/12244/1/000089894.pdf,https://app.dimensions.ai/details/publication/pub.1054037134,"14 Economics; 15 Commerce, Management, Tourism and Services; 1502 Banking, Finance and Investment; 1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management",14 Economics,"15 Commerce, Management, Tourism and Services","1502 Banking, Finance and Investment",1402 Applied Economics,05 Environmental Sciences
57,100,pub.1099305245,10.3998/mpub.16208,,,"Titles, Conflict, and Land Use, The Development of Property Rights and Land Reform on the Brazilian Amazon Frontier",,,,1999,1999,,,,All OA; Gold,Monograph,"Alston, Lee J.; Libecap, Gary D.; Mueller, Bernardo",,"Alston, Lee J. (); Libecap, Gary D. (); Mueller, Bernardo ()",118,11,,,https://www.fulcrum.org/downloads/1g05fd13g?locale=en,https://app.dimensions.ai/details/publication/pub.1099305245,1606 Political Science; 16 Studies in Human Society; 1402 Applied Economics; 14 Economics,1606 Political Science,16 Studies in Human Society,1402 Applied Economics,14 Economics,
58,400,pub.1016099352,10.1006/jmps.1998.1216,9710552,,An Experimental Investigation of the Incentives to Form Agricultural Marketing Pools,Journal of Mathematical Psychology,,,1998-06,1998,42,2-3,287-304,Closed,Article,"Hoffman, Elizabeth; Libecap, Gary; Shachat, Jason M.",,"Hoffman, Elizabeth (University of Illinois at Chicago); Libecap, Gary (University of Arizona); Shachat, Jason M. (University of California, San Diego)",3,0,0,,,https://app.dimensions.ai/details/publication/pub.1016099352,0102 Applied Mathematics; 17 Psychology and Cognitive Sciences; 1701 Psychology; 01 Mathematical Sciences; 1702 Cognitive Sciences,0102 Applied Mathematics,17 Psychology and Cognitive Sciences,1701 Psychology,01 Mathematical Sciences,1702 Cognitive Sciences
59,200,pub.1001243206,10.1017/s0022050700019112,,,The New Institutional Economics and Economic History,The Journal of Economic History,,,1997-09,1997,57,3,718-721,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",4,1,,,,https://app.dimensions.ai/details/publication/pub.1001243206,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
60,200,pub.1007535474,10.1006/jcec.1997.1422,,,"Robert W. Hahn (Ed.),Risks, Costs and Lives Saved: Getting Better Results from Regulation.New York: Oxford University Press and Washington, D.C.: American Enterprise Press, 1996. xvi + 268 pp., index, $29.95",Journal of Comparative Economics,,,1997-04,1997,24,2,222-223,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1007535474,1499 Other Economics; 1402 Applied Economics; 14 Economics,1499 Other Economics,1402 Applied Economics,14 Economics,,
61,200,pub.1012395640,10.1177/0002716296545001044,,,Economics,The Annals of the American Academy of Political and Social Science,,,1996-05,1996,545,1,211-211,Closed,Article,"LIBECAP, GARY D.",,"LIBECAP, GARY D. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1012395640,,,,,,
62,100,pub.1005013463,10.1017/cbo9780511619984.009,,,Violence and the assignment of property rights on two Brazilian frontiers,,The political economy of conflict and appropriation,,1996,1996,,,157-177,Closed,Chapter,"Alston, Lee J.; Libecap, Gary D.; Schneider, Robert",,"Alston, Lee J. (); Libecap, Gary D. (); Schneider, Robert ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1005013463,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
63,100,pub.1033114981,10.1111/j.1465-7295.1995.tb01869.x,,,THE FAILURE OF GOVERNMENT‐SPONSORED CARTELS AND DEVELOPMENT OF FEDERAL FARM POLICY,Economic Inquiry,,,1995-07,1995,33,3,365-382,Closed,Article,"HOFFMAN, ELIZABETH; LIBECAP, GARY D.",,"HOFFMAN, ELIZABETH (); LIBECAP, GARY D. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1033114981,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
64,200,pub.1035998698,10.1017/s0022050700015862,,,"Contrived Competition: Regulation and Deregulation in America. By Richard H. K. Vietor. Cambridge, MA: The Belknap Press of Harvard University Press, 1994. Pp. 439. $35.00.",The Journal of Economic History,,,1994-12,1994,54,4,960-962,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1035998698,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
65,100,pub.1004234935,10.1177/0951692894006004007,,,7. The Conditions for Successful Collective Action,Journal of Theoretical Politics,,,1994-10,1994,6,4,563-592,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. ()",20,2,,,,https://app.dimensions.ai/details/publication/pub.1004234935,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
66,200,pub.1013552515,10.1016/1062-9769(94)90045-0,,,"Land, property rights and privatization in Brazil",The Quarterly Review of Economics and Finance,,,1994-06,1994,34,,261-280,Closed,Article,"Mueller, Bernardo; Alston, Lee; Libecap, Gary D.; Schneider, Robert","Alston, Lee","Mueller, Bernardo (); Alston, Lee (); Libecap, Gary D. (); Schneider, Robert ()",18,0,,,,https://app.dimensions.ai/details/publication/pub.1013552515,"14 Economics; 15 Commerce, Management, Tourism and Services",14 Economics,"15 Commerce, Management, Tourism and Services",,,
67,200,pub.1019711733,10.1006/jcec.1993.1060,,,"Common Property Economics: A General Theory and Land Use Application, Glenn G. Stevenson, New York: Cambridge Univ. Press, 1991. xiv + 245 pp., index, $54.95.",Journal of Comparative Economics,,,1993-12,1993,17,4,800-801,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1019711733,1499 Other Economics; 1402 Applied Economics; 14 Economics,1499 Other Economics,1402 Applied Economics,14 Economics,,
68,200,pub.1015504602,10.1017/s0022050700051640,,,"New Jersey and the Fiscal Origins of Modern American Corporation Law. By Christopher Grandy. New York: Garland Publishing Inc., 1993. Pp. xii, 141. $45.00.",The Journal of Economic History,,,1993-12,1993,53,4,962-963,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1015504602,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
69,200,pub.1020926343,10.1177/0002716292522001041,,,Economics,The Annals of the American Academy of Political and Social Science,,,1992-07,1992,522,1,186-187,Closed,Article,"LIBECAP, GARY D.",,"LIBECAP, GARY D. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1020926343,,,,,,
70,200,pub.1005295542,10.1016/0167-2681(92)90064-i,,,"Economic analysis of property rights Yoram Barzel, (Cambridge University Press, New York, 1989) pp xi+122, $2995, cloth, $1095, paper",Journal of Economic Behavior & Organization,,,1992-06,1992,18,1,147-149,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1005295542,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
71,100,pub.1051219356,10.1111/j.1465-7295.1992.tb01656.x,,,THE RISE OF THE CHICAGO PACKERS and THE ORIGINS OF MEAT INSPECTION and ANTITRUST,Economic Inquiry,,,1992-04,1992,30,2,242-262,"All OA; Green, Accepted & Submitted",Article,"LIBECAP, GARY D.",,"LIBECAP, GARY D. (University of Arizona)",51,6,,,http://www.nber.org/papers/h0029.pdf,https://app.dimensions.ai/details/publication/pub.1051219356,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
72,200,pub.1033246556,10.2307/1964039,,,"Private Property and the Limits of American Constitutionalism: The Madisonian Framework and Its Legacy. By Jennifer Nedelsky. Chicago: University of Chicago Press, 1991. 343p. $29.95. - Property and the Politics of Entitlement. By John Brigham. Philadelphia: Temple University Press, 1990. 223p. $39.95.",American Political Science Review,,,1992-03,1992,86,1,219-220,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1033246556,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
73,200,pub.1047980170,10.1016/0147-5967(91)90018-o,,,"The lever of riches: Technological creativity and economic progress Joel Mokyr, New York: Oxford Univ. Press, 1990. ix + 328 pp., index, $24.95",Journal of Comparative Economics,,,1991-12,1991,15,4,742-744,Closed,Article,"Libecap, Gary D",,"Libecap, Gary D (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1047980170,1499 Other Economics; 1402 Applied Economics; 14 Economics,1499 Other Economics,1402 Applied Economics,14 Economics,,
74,100,pub.1004538754,10.1017/s0022050700039024,,,Institutional Choice and the Development of U.S. Agricultural Policies in the 1920s,The Journal of Economic History,,,1991-06,1991,51,2,397-411,Closed,Article,"Hoffman, Elizabeth; Libecap, Gary D.",,"Hoffman, Elizabeth (University of Arizona); Libecap, Gary D. (University of Arizona)",19,0,,,,https://app.dimensions.ai/details/publication/pub.1004538754,1403 Econometrics; 1402 Applied Economics; 14 Economics,1403 Econometrics,1402 Applied Economics,14 Economics,,
75,200,pub.1034724631,10.1007/bf00173824,,,Public sector employee voter participation and salaries,Public Choice,,,1991-01,1991,68,1-3,137-150,Closed,Article,"Johnson, Ronald N.; Libecap, Gary D.",,"Johnson, Ronald N. (Montana State University); Libecap, Gary D. (University of Arizona)",8,2,,,,https://app.dimensions.ai/details/publication/pub.1034724631,1606 Political Science; 1402 Applied Economics; 16 Studies in Human Society; 14 Economics,1606 Political Science,1402 Applied Economics,16 Studies in Human Society,14 Economics,
76,200,pub.1025553722,10.1017/s0022050700037645,,,"Pure Food: Securing the Federal Food and Drugs Act of 1906. By James Harvey Young. Princeton: Princeton University Press, 1989. Pp. xiii, 312. $29.95.",The Journal of Economic History,,,1990-09,1990,50,3,767-768,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1025553722,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
77,200,pub.1035579424,10.1016/0147-5967(90)90078-n,,,"Non-renewable resources extraction programs and markets John M. Hartwick, Chur, Switzerland: Harwood Academic Publishers, 1989. ix + 147 pp. $48.00",Journal of Comparative Economics,,,1990-06,1990,14,2,345-346,Closed,Article,"Libecap, Gary D",,"Libecap, Gary D (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1035579424,1499 Other Economics; 1402 Applied Economics; 14 Economics,1499 Other Economics,1402 Applied Economics,14 Economics,,
78,200,pub.1053846840,10.1177/1043463190002001008,,,Comments on Elinor Ostrom,Rationality and Society,,,1990-01,1990,2,1,112-116,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1053846840,1608 Sociology; 1606 Political Science; 16 Studies in Human Society,1608 Sociology,1606 Political Science,16 Studies in Human Society,,
79,100,pub.1032589380,10.1017/s0022050700009463,,,"The Political Economy of Crude Oil Cartelization in the United States, 1933–1972",The Journal of Economic History,,,1989-12,1989,49,4,833-855,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",26,4,,,,https://app.dimensions.ai/details/publication/pub.1032589380,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
80,100,pub.1050720671,10.1111/j.1465-7295.1989.tb02014.x,,,"AGENCY GROWTH, SALARIES AND THE PROTECTED BUREAUCRAT",Economic Inquiry,,,1989-07,1989,27,3,431-451,Closed,Article,"JOHNSON, RONALD N.; LIBECAP, GARY D.",,"JOHNSON, RONALD N. (); LIBECAP, GARY D. ()",16,0,,,,https://app.dimensions.ai/details/publication/pub.1050720671,14 Economics,14 Economics,,,,
81,200,pub.1050359951,10.1017/s0022050700008688,,,"The Fall of the Bell System: A Study in Prices and Politics. By Peter Temin with Louis Galambos. New York: Cambridge University Press, 1987. Pp. xviii, 378. $27.95.",The Journal of Economic History,,,1989-06,1989,49,2,536-537,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1050359951,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
82,100,pub.1007929005,10.1007/978-94-009-2372-0_8,,,Conceptual Constructs for Practical ITQ Management Policies,,Rights Based Fishing,,1989,1989,,,191-214,Closed,Chapter,"Anderson, Lee G.; Libecap, Gary D.",,"Anderson, Lee G. (University of Delaware); Libecap, Gary D. (University of Arizona)",12,1,,,,https://app.dimensions.ai/details/publication/pub.1007929005,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
83,200,pub.1028450866,10.1017/s0022050700050427,,,"The Fisherman's Problem: Ecology and Law in the California Fisheries, 1850–1980. By Arthur F. McEvoy. New York: Cambridge University Press, 1986. Studies in Environment and History. Pp. xviii, 368. $39.50.",The Journal of Economic History,,,1987-12,1987,47,4,1059-1061,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1028450866,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
84,200,pub.1040093551,10.1017/s0022050700051020,,,"Strategic Uses of Public Policy: Business and Government in the Progressive Era. By Donna J. Wood, Marshfield: Pitman Publishing, 1986. Pp. xiii, 258. $26.95.",The Journal of Economic History,,,1986-12,1986,46,4,1083-1084,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1040093551,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
85,200,pub.1028775872,10.1017/s0022050700051019,,,"Fair Play in the Marketplace: The First Battle for Pure Food and Drugs. By Mitchell Okun. Dekalb: Northern Illinois University Press, 1986. Pp. xv, 345. $27.50.",The Journal of Economic History,,,1986-12,1986,46,4,1081-1083,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1028775872,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
86,200,pub.1016097503,10.1016/0014-4983(86)90004-5,,,Property rights in economic history: Implications for research,Explorations in Economic History,,,1986-07,1986,23,3,227-252,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",57,7,,,,https://app.dimensions.ai/details/publication/pub.1016097503,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
87,200,pub.1050852603,10.1017/s0022050700046660,,,"Working the Range: Essays on the History of Western Land Management and the Environment. Edited by R. Wunder John. Westport: Greenwood Press, 1985. Pp. xv, 237. $29.95.",The Journal of Economic History,,,1986-06,1986,46,2,568-569,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1050852603,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
88,200,pub.1041302008,10.1017/s0022050700033325,,,"Conservation Under FDR. By A. L. Riesch Owen. New York: Praeger Publishers, 1983. Pp. xvi, 268. $24.95.",The Journal of Economic History,,,1984-12,1984,44,4,1127-1128,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1041302008,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
89,100,pub.1029510468,10.1017/s0022050700031995,,,The Political Allocation of Mineral Rights: A Re–Evaluation of Teapot Dome,The Journal of Economic History,,,1984-06,1984,44,2,381-391,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",9,1,,,,https://app.dimensions.ai/details/publication/pub.1029510468,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
90,200,pub.1004688165,10.1017/s0022050700030011,,,"Who Owns the Wildlife? The Political Economy of Conservation in Nineteenth-Century America. By James A. Tober. Contributions in Economics and Economic History, Number 37. Westport, Connecticut: Greenwood Press, 1981. Pp. 330. $27.00.",The Journal of Economic History,,,1983-06,1983,43,2,527-528,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (Texas A&M University System)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1004688165,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
91,200,pub.1045866792,10.1017/s0022050700029375,,,Government Regulation in the Economy,The Journal of Economic History,,,1983-03,1983,43,1,301-302,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (Texas A&M University System)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1045866792,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
