,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Adrian C Stier. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
31,400,pub.1035688850,10.1111/j.1469-185x.2011.00199.x,21929739,,The influence of fundamental traits on mechanisms controlling appendage regeneration,Biological Reviews,,Animals; Extremities; Genomics; Invertebrates; Regeneration; Vertebrates,2012-05,2012,87,2,330-345,Closed,Article,"Seifert, Ashley W.; Monaghan, James R.; Smith, Matthew D.; Pasch, Bret; Stier, Adrian C.; Michonneau, François; Maden, Malcolm",,"Seifert, Ashley W. (University of Florida); Monaghan, James R. (University of Florida); Smith, Matthew D. (University of Florida); Pasch, Bret (University of Florida); Stier, Adrian C. (University of Florida); Michonneau, François (University of Florida); Maden, Malcolm (University of Florida)",43,16,1.21,5.04,,https://app.dimensions.ai/details/publication/pub.1035688850,0604 Genetics; 0601 Biochemistry and Cell Biology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0601 Biochemistry and Cell Biology,06 Biological Sciences,0603 Evolutionary Biology,
32,400,pub.1040099929,10.1371/journal.pone.0032079,22523536,PMC3327697,Housekeeping Mutualisms: Do More Symbionts Facilitate Host Performance?,PLoS ONE,,Animals; Anthozoa; Decapoda (Crustacea); Host-Parasite Interactions; Species Specificity; Symbiosis,2012-04-16,2012,7,4,e32079,All OA; Gold,Article,"Stier, Adrian C.; Gil, Michael A.; McKeon, C. Seabird; Lemer, Sarah; Leray, Matthieu; Mills, Suzanne C.; Osenberg, Craig W.",,"Stier, Adrian C. (University of Florida); Gil, Michael A. (University of Florida); McKeon, C. Seabird (University of Florida; Smithsonian Marine Station); Lemer, Sarah (Labex Corail); Leray, Matthieu (Labex Corail); Mills, Suzanne C. (Labex Corail); Osenberg, Craig W. (University of Florida)",19,4,0.42,2.28,https://doi.org/10.1371/journal.pone.0032079,https://app.dimensions.ai/details/publication/pub.1040099929,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
33,100,pub.1012889398,10.1007/s00338-010-0694-2,,,Coral density and predation affect growth of a reef-building coral,Coral Reefs,,,2011-06,2011,30,2,363-367,Closed,Article,"Shantz, A. A.; Stier, A. C.; Idjadi, J. A.","Shantz, A. A.","Shantz, A. A. (Northeastern University); Stier, A. C. (University of Florida); Idjadi, J. A. (Eastern Connecticut State University)",9,1,,0.95,,https://app.dimensions.ai/details/publication/pub.1012889398,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
34,100,pub.1031288925,10.1890/10-1510.1,,,The value of estuarine and coastal ecosystem services,Ecological Monographs,,,2011-05,2011,81,2,169-193,All OA; Gold,Article,"Barbier, Edward B.; Hacker, Sally D.; Kennedy, Chris; Koch, Evamaria W.; Stier, Adrian C.; Silliman, Brian R.",,"Barbier, Edward B. (University of Wyoming); Hacker, Sally D. (Oregon State University); Kennedy, Chris (University of Wyoming); Koch, Evamaria W. (University of Maryland Center For Environmental Sciences); Stier, Adrian C. (University of Florida); Silliman, Brian R. (University of Florida)",1971,631,,260.2,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/10-1510.1,https://app.dimensions.ai/details/publication/pub.1031288925,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
35,100,pub.1050613008,10.1016/b978-0-12-374711-2.01206-7,,,12.06 Estuarine and Coastal Ecosystems and Their Services,,Treatise on Estuarine and Coastal Science,,2011,2011,,,109-127,Closed,Chapter,"Barbier, E.B.; Hacker, S.D.; Koch, E.W.; Stier, A.C.; Silliman, B.R.",,"Barbier, E.B. (University of Wyoming); Hacker, S.D. (Oregon State University); Koch, E.W. (University of Maryland Center For Environmental Sciences); Stier, A.C. (University of Florida); Silliman, B.R. (University of Florida)",14,4,,1.85,,https://app.dimensions.ai/details/publication/pub.1050613008,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
36,100,pub.1016419855,10.1017/cbo9781139049382.010,,,ECOLOGY – Assessing effects of marine protected areas: confounding in space and possible solutions,,Marine Protected Areas,,2011,2011,,,143-167,Closed,Chapter,"Osenberg, Craig W.; Shima, Jeffrey S.; Miller, Sonja L.; Stier, Adrian C.",,"Osenberg, Craig W. (); Shima, Jeffrey S. (); Miller, Sonja L. (); Stier, Adrian C. ()",23,7,,3.04,,https://app.dimensions.ai/details/publication/pub.1016419855,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
37,400,pub.1052921083,10.1098/rsbl.2010.0291,20484230,PMC3001362,The vermetid gastropod Dendropoma maximum reduces coral growth and survival,Biology Letters,,Animals; Anthozoa; Coral Reefs; Gastropoda; Polynesia; Population Dynamics,2010-12-23,2010,6,6,815-818,All OA; Gold,Article,"Shima, Jeffrey S.; Osenberg, Craig W.; Stier, Adrian C.",,"Shima, Jeffrey S. (Victoria University of Wellington); Osenberg, Craig W. (University of Florida); Stier, Adrian C. (University of Florida)",25,4,0.28,2.34,http://rsbl.royalsocietypublishing.org/content/6/6/815.full.pdf,https://app.dimensions.ai/details/publication/pub.1052921083,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
38,100,pub.1048704809,10.1007/s00338-010-0663-9,,,Guard crabs alleviate deleterious effects of vermetid snails on a branching coral,Coral Reefs,,,2010-12,2010,29,4,1019-1022,Closed,Article,"Stier, A. C.; McKeon, C. S.; Osenberg, C. W.; Shima, J. S.","Stier, A. C.","Stier, A. C. (University of Florida); McKeon, C. S. (University of Florida; Florida Museum of Natural History); Osenberg, C. W. (University of Florida); Shima, J. S. (Victoria University of Wellington)",33,6,,3.88,,https://app.dimensions.ai/details/publication/pub.1048704809,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
39,400,pub.1043665478,10.1890/09-1993.1,21058544,,Propagule redirection: Habitat availability reduces colonization and increases recruitment in reef fishes,Ecology,,Animals; Ecosystem; Fishes; Pacific Ocean; Population Dynamics; Reproduction; Species Specificity,2010-10,2010,91,10,2826-2832,All OA; Gold,Article,"Stier, Adrian C.; Osenberg, Craig W.",,"Stier, Adrian C. (University of Florida); Osenberg, Craig W. (University of Florida)",18,6,0.34,2.11,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/09-1993.1,https://app.dimensions.ai/details/publication/pub.1043665478,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
40,400,pub.1021180753,10.1890/09-0298.1,20715614,,"Synthesizing mechanisms of density dependence in reef fishes: behavior, habitat configuration, and observational scale",Ecology,,"Animals; Anthozoa; Behavior, Animal; Ecosystem; Fishes; Longevity; Population Density",2010-07,2010,91,7,1949-1961,Closed,Article,"White, J. Wilson; Samhouri, Jameal F.; Stier, Adrian C.; Wormald, Clare L.; Hamilton, Scott L.; Sandin, Stuart A.",,"White, J. Wilson (University of California, Davis); Samhouri, Jameal F. (Northwest Fisheries Science Center); Stier, Adrian C. (University of Florida); Wormald, Clare L. (California State University, Northridge); Hamilton, Scott L. (University of California, Santa Barbara); Sandin, Stuart A. (Scripps Institution of Oceanography)",48,7,1.05,5.64,,https://app.dimensions.ai/details/publication/pub.1021180753,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
41,100,pub.1040622468,10.1007/s00338-010-0592-7,,,Predators reduce abundance and species richness of coral reef fish recruits via non-selective predation,Coral Reefs,,,2010-06,2010,29,2,527-532,Closed,Article,"Heinlein, J. M.; Stier, A. C.; Steele, M. A.","Heinlein, J. M.","Heinlein, J. M. (Northeastern University); Stier, A. C. (University of Florida); Steele, M. A. (California State University, Northridge)",19,5,,2.23,,https://app.dimensions.ai/details/publication/pub.1040622468,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
42,100,pub.1030298645,10.1007/s00338-010-0606-5,,,Charismatic microfauna alter cyanobacterial production through a trophic cascade,Coral Reefs,,,2010-06,2010,29,2,393-397,Closed,Article,"Geange, S. W.; Stier, A. C.","Geange, S. W.","Geange, S. W. (Victoria University of Wellington); Stier, A. C. (University of Florida)",2,0,,0.19,,https://app.dimensions.ai/details/publication/pub.1030298645,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
43,400,pub.1016420331,10.1007/s00442-009-1554-z,20052492,,Priority effects and habitat complexity affect the strength of competition,Oecologia,,Aggression; Animals; Anthozoa; Ecosystem; Fishes; Polynesia,2010-05,2010,163,1,111-118,Closed,Article,"Geange, Shane Wallace; Stier, Adrian C.","Geange, Shane Wallace","Geange, Shane Wallace (Victoria University of Wellington); Stier, Adrian C. (University of Florida)",21,4,0.34,1.97,,https://app.dimensions.ai/details/publication/pub.1016420331,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
44,400,pub.1019050627,10.1890/08-0630.1,19886495,,Order of arrival affects competition in two reef fishes,Ecology,,Animals; Competitive Behavior; Ecosystem; Feeding Behavior; Fishes; Seasons,2009-10,2009,90,10,2868-2878,Closed,Article,"Geange, Shane W.; Stier, Adrian C.",,"Geange, Shane W. (Victoria University of Wellington); Stier, Adrian C. (University of Florida)",45,5,0.98,3.98,,https://app.dimensions.ai/details/publication/pub.1019050627,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
45,200,pub.1031492571,10.1007/s00338-008-0445-9,,,Coral reef fishes use crown-of-thorns seastar as habitat,Coral Reefs,,,2009-03,2009,28,1,227-227,All OA; Gold,Article,"Stier, Adrian C.; Steele, Mark A.; Brooks, Andrew J.","Stier, Adrian C.","Stier, Adrian C. (University of Florida); Steele, Mark A. (California State University, Northridge); Brooks, Andrew J. (University of California, Santa Barbara)",4,0,,,https://link.springer.com/content/pdf/10.1007%2Fs00338-008-0445-9.pdf,https://app.dimensions.ai/details/publication/pub.1031492571,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
46,100,pub.1043971722,10.1016/j.jembe.2008.10.020,,,"Effects of the fish anesthetic, clove oil (eugenol), on coral health and growth",Journal of Experimental Marine Biology and Ecology,,,2009-02,2009,369,1,53-57,Closed,Article,"Boyer, S.E.; White, J.S.; Stier, A.C.; Osenberg, C.W.","Boyer, S.E.","Boyer, S.E. (University of Florida); White, J.S. (University of Florida); Stier, A.C. (University of Florida); Osenberg, C.W. (University of Florida)",9,2,,0.8,,https://app.dimensions.ai/details/publication/pub.1043971722,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
