,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Benjamin S Halpern. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
47,100,pub.1007373621,10.1016/j.ecolind.2016.12.034,,,Navigating uncertainty in environmental composite indicators,Ecological Indicators,,,2017-04,2017,75,Nat. Resour. Forum 31 2007,268-278,"All OA; Green, Accepted & Submitted",Article,"Burgass, Michael J.; Halpern, Benjamin S.; Nicholson, Emily; Milner-Gulland, E.J.","Burgass, Michael J.","Burgass, Michael J. (Imperial College London; University of Oxford); Halpern, Benjamin S. (Imperial College London; University of California, Santa Barbara); Nicholson, Emily (Deakin University); Milner-Gulland, E.J. (University of Oxford)",29,26,,,http://hdl.handle.net/10044/1/57285,https://app.dimensions.ai/details/publication/pub.1007373621,03 Chemical Sciences; 05 Environmental Sciences; 06 Biological Sciences,03 Chemical Sciences,05 Environmental Sciences,06 Biological Sciences,,
48,100,pub.1083530250,10.3389/fmars.2017.00020,,,Using the Ocean Health Index to Identify Opportunities and Challenges to Improving Southern Ocean Ecosystem Health,Frontiers in Marine Science,,,2017-02-03,2017,4,,20,All OA; Gold,Article,"Longo, Catherine S.; Frazier, Melanie; Doney, Scott C.; Rheuban, Jennie E.; Humberstone, Jennifer Macy; Halpern, Benjamin S.",,"Longo, Catherine S. (Marine Stewardship Council); Frazier, Melanie (University of California, Santa Barbara); Doney, Scott C. (Woods Hole Oceanographic Institution); Rheuban, Jennie E. (Woods Hole Oceanographic Institution); Humberstone, Jennifer Macy (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",7,7,,2.64,https://www.frontiersin.org/articles/10.3389/fmars.2017.00020/pdf,https://app.dimensions.ai/details/publication/pub.1083530250,0602 Ecology; 0405 Oceanography; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0405 Oceanography,06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences
49,100,pub.1023615207,10.1016/j.marpol.2016.11.011,,,Costly stakeholder participation creates inertia in marine ecosystems,Marine Policy,,,2017-02,2017,76,,122-129,Closed,Article,"Lynham, J.; Halpern, B.S.; Blenckner, T.; Essington, T.; Estes, J.; Hunsicker, M.; Kappel, C.; Salomon, A.K.; Scarborough, C.; Selkoe, K.A.; Stier, A.","Lynham, J.","Lynham, J. (University of Hawaii at Manoa); Halpern, B.S. (University of California, Santa Barbara; Imperial College London); Blenckner, T. (Stockholm University); Essington, T. (); Estes, J. (University of California, Santa Cruz); Hunsicker, M. (University of California, Santa Barbara); Kappel, C. (University of California, Santa Barbara); Salomon, A.K. (Simon Fraser University); Scarborough, C. (University of California, Santa Barbara); Selkoe, K.A. (University of California, Santa Barbara; University of Hawaii at Manoa); Stier, A. (University of California, Santa Barbara)",8,7,,8.4,,https://app.dimensions.ai/details/publication/pub.1023615207,1801 Law; 1606 Political Science; 16 Studies in Human Society; 18 Law and Legal Studies; 05 Environmental Sciences; 0502 Environmental Science and Management,1801 Law,1606 Political Science,16 Studies in Human Society,18 Law and Legal Studies,05 Environmental Sciences
50,100,pub.1074207873,10.3389/fmars.2017.00015,,,Dynamic Interactions among Boundaries and the Expansion of Sustainable Aquaculture,Frontiers in Marine Science,,,2017-01-26,2017,4,,15,All OA; Gold,Article,"Broitman, Bernardo R.; Halpern, Benjamin S.; Gelcich, Stefan; Lardies, Marco A.; Vargas, Cristian A.; Vásquez-Lavín, Felipe; Widdicombe, Stephen; Birchenough, Silvana N. R.",,"Broitman, Bernardo R. (Catholic University of the North); Halpern, Benjamin S. (University of California, Santa Barbara); Gelcich, Stefan (Pontifical Catholic University of Chile); Lardies, Marco A. (Adolfo Ibáñez University); Vargas, Cristian A. (University of Concepción); Vásquez-Lavín, Felipe (); Widdicombe, Stephen (Plymouth Marine Laboratory); Birchenough, Silvana N. R. ()",6,4,,6.38,https://www.frontiersin.org/articles/10.3389/fmars.2017.00015/pdf,https://app.dimensions.ai/details/publication/pub.1074207873,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
51,500,pub.1014247455,10.1371/journal.pone.0169281,28046057,PMC5207524,Public Perceptions of Aquaculture: Evaluating Spatiotemporal Patterns of Sentiment around the World,PLoS ONE,,Aquaculture; Demography; Emotions; Internationality; Newspapers as Topic; Perception; Public Opinion; Spatio-Temporal Analysis,2017-01-03,2017,12,1,e0169281,All OA; Gold,Article,"Froehlich, Halley E.; Gentry, Rebecca R.; Rust, Michael B.; Grimm, Dietmar; Halpern, Benjamin S.",,"Froehlich, Halley E. (University of California, Santa Barbara); Gentry, Rebecca R. (University of California, Santa Barbara); Rust, Michael B. (National Oceanic and Atmospheric Administration); Grimm, Dietmar (); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",28,25,0.24,12.55,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0169281&type=printable,https://app.dimensions.ai/details/publication/pub.1014247455,0704 Fisheries Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,07 Agricultural and Veterinary Sciences,,,
52,200,pub.1044445918,10.1002/bes2.1290,,,Best Practices for Virtual Participation in Meetings: Experiences from Synthesis Centers,Bulletin of the Ecological Society of America,,,2017-01,2017,98,1,57-63,All OA; Gold,Article,"Hampton, Stephanie E.; Halpern, Benjamin S.; Winter, Marten; Balch, Jennifer K.; Parker, John N.; Baron, Jill S.; Palmer, Margaret; Schildhauer, Mark P.; Bishop, Pamela; Meagher, Thomas R.; Specht, Alison",,"Hampton, Stephanie E. (Washington State University); Halpern, Benjamin S. (University of California, Santa Barbara); Winter, Marten (German Center for Integrative Biodiversity Research); Balch, Jennifer K. (University of Colorado Boulder); Parker, John N. (Arizona State University); Baron, Jill S. (); Palmer, Margaret (National Socio-Environmental Synthesis Center); Schildhauer, Mark P. (University of California, Santa Barbara); Bishop, Pamela (National Institute for Mathematical and Biological Synthesis); Meagher, Thomas R. (University of St Andrews); Specht, Alison (University of Queensland)",2,2,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/bes2.1290,https://app.dimensions.ai/details/publication/pub.1044445918,,,,,,
53,100,pub.1007649127,10.1111/conl.12245,,,Integrating Expert Perceptions into Food Web Conservation and Management,Conservation Letters,,,2017-01,2017,10,1,67-76,All OA; Gold,Article,"Stier, Adrian C.; Samhouri, Jameal F.; Gray, Steven; Martone, Rebecca G.; Mach, Megan E.; Halpern, Benjamin S.; Kappel, Carrie V.; Scarborough, Courtney; Levin, Phillip S.",,"Stier, Adrian C. (University of California, Santa Barbara); Samhouri, Jameal F. (Northwest Fisheries Science Center); Gray, Steven (Michigan State University); Martone, Rebecca G. (); Mach, Megan E. (); Halpern, Benjamin S. (University of California, Santa Barbara); Kappel, Carrie V. (University of California, Santa Barbara); Scarborough, Courtney (University of California, Santa Barbara); Levin, Phillip S. (Northwest Fisheries Science Center)",13,5,,5.8,https://doi.org/10.1111/conl.12245,https://app.dimensions.ai/details/publication/pub.1007649127,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
54,100,pub.1048123702,10.3389/fmars.2016.00273,,,Where Does River Runoff Matter for Coastal Marine Conservation?,Frontiers in Marine Science,,,2016-12-27,2016,3,,273,All OA; Gold,Article,"Fredston-Hermann, Alexa; Brown, Christopher J.; Albert, Simon; Klein, Carissa J.; Mangubhai, Sangeeta; Nelson, Joanna L.; Teneva, Lida; Wenger, Amelia; Gaines, Steven D.; Halpern, Benjamin S.",,"Fredston-Hermann, Alexa (University of California, Santa Barbara); Brown, Christopher J. (Griffith University); Albert, Simon (University of Queensland); Klein, Carissa J. (University of Queensland); Mangubhai, Sangeeta (); Nelson, Joanna L. (Stanford University; The Nature Conservancy); Teneva, Lida (Conservation International); Wenger, Amelia (University of Queensland); Gaines, Steven D. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",7,6,,2.04,https://www.frontiersin.org/articles/10.3389/fmars.2016.00273/pdf,https://app.dimensions.ai/details/publication/pub.1048123702,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
55,400,pub.1024156448,10.1371/journal.pone.0160377,27483378,PMC4970671,Mapping Uncertainty Due to Missing Data in the Global Ocean Health Index,PLoS ONE,,Conservation of Natural Resources; Ecosystem; Humans; Oceans and Seas; Uncertainty,2016-08-02,2016,11,8,e0160377,All OA; Gold,Article,"Frazier, Melanie; Longo, Catherine; Halpern, Benjamin S.",,"Frazier, Melanie (University of California, Santa Barbara); Longo, Catherine (Marine Stewardship Council); Halpern, Benjamin S. (Imperial College London; University of California, Santa Barbara)",10,4,0.25,3.28,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0160377&type=printable,https://app.dimensions.ai/details/publication/pub.1024156448,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
56,100,pub.1017651822,10.1016/j.aquaculture.2016.04.018,,,Synthesis and comparative analysis of physiological tolerance and life-history growth traits of marine aquaculture species,Aquaculture,,,2016-07,2016,460,,75-82,Closed,Article,"Froehlich, Halley E.; Gentry, Rebecca R.; Halpern, Benjamin S.","Froehlich, Halley E.","Froehlich, Halley E. (University of California, Santa Barbara); Gentry, Rebecca R. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",5,2,,1.3,,https://app.dimensions.ai/details/publication/pub.1017651822,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
57,300,pub.1046448190,10.1038/534317a,27306172,,Nutrition: Fall in fish catch threatens human health,Nature,,"Animals; Aquaculture; Child, Preschool; Developing Countries; Female; Fisheries; Fishes; Food Supply; Humans; Male; Malnutrition; Micronutrients; Nutritional Status; Population Dynamics",2016-06,2016,534,7607,317-320,All OA; Gold,Article,"Golden, Christopher D.; Allison, Edward H.; Cheung, William W. L.; Dey, Madan M.; Halpern, Benjamin S.; McCauley, Douglas J.; Smith, Matthew; Vaitla, Bapu; Zeller, Dirk; Myers, Samuel S.","Golden, Christopher D.","Golden, Christopher D. (Harvard University); Allison, Edward H. (University of Washington); Cheung, William W. L. (University of British Columbia); Dey, Madan M. (University of Arkansas at Pine Bluff); Halpern, Benjamin S. (University of California, Santa Barbara); McCauley, Douglas J. (University of California, Santa Barbara); Smith, Matthew (Harvard University); Vaitla, Bapu (Harvard University); Zeller, Dirk (University of British Columbia); Myers, Samuel S. (Harvard University)",125,87,4.5,,http://www.nature.com:80/polopoly_fs/1.20074!/menu/main/topColumns/topLeftColumn/pdf/534317a.pdf,https://app.dimensions.ai/details/publication/pub.1046448190,,,,,,
58,200,pub.1037077867,10.1016/j.csr.2016.05.002,,,"Assessing marine ecosystems health, in an integrative way",Continental Shelf Research,,,2016-06,2016,121,,1-2,Closed,Article,"Borja, Ángel; Halpern, Benjamin S.; Archambault, Philippe","Borja, Ángel","Borja, Ángel (); Halpern, Benjamin S. (University of California, Santa Barbara); Archambault, Philippe (Université du Québec à Rimouski)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1037077867,04 Earth Sciences; 06 Biological Sciences,04 Earth Sciences,06 Biological Sciences,,,
59,100,pub.1029011884,10.3389/fmars.2016.00062,,,Responses of Marine Organisms to Climate Change across Oceans,Frontiers in Marine Science,,,2016-05-04,2016,3,,62,All OA; Gold,Article,"Poloczanska, Elvira S.; Burrows, Michael T.; Brown, Christopher J.; Molinos, Jorge García; Halpern, Benjamin S.; Hoegh-Guldberg, Ove; Kappel, Carrie V.; Moore, Pippa J.; Richardson, Anthony J.; Schoeman, David S.; Sydeman, William J.",,"Poloczanska, Elvira S. (Commonwealth Scientific and Industrial Research Organisation; University of Queensland); Burrows, Michael T. (Scottish Association For Marine Science); Brown, Christopher J. (Griffith University); Molinos, Jorge García (Scottish Association For Marine Science; National Institute for Environmental Studies; Hokkaido University); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Hoegh-Guldberg, Ove (University of Queensland); Kappel, Carrie V. (University of California, Santa Barbara); Moore, Pippa J. (Aberystwyth University; Edith Cowan University); Richardson, Anthony J. (Commonwealth Scientific and Industrial Research Organisation; University of Queensland); Schoeman, David S. (University of the Sunshine Coast); Sydeman, William J. (Farallon Institute; University of California, Davis)",139,108,,38.04,https://www.frontiersin.org/articles/10.3389/fmars.2016.00062/pdf,https://app.dimensions.ai/details/publication/pub.1029011884,0602 Ecology; 0405 Oceanography; 0501 Ecological Applications; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0405 Oceanography,0501 Ecological Applications,06 Biological Sciences,04 Earth Sciences
60,200,pub.1039155536,10.1126/science.aaf3565,27102469,,Filling in biodiversity threat gaps,Science,,Animals; Biodiversity; Datasets as Topic; Endangered Species; Human Activities; Humans,2016-04-22,2016,352,6284,416-418,"All OA; Green, Accepted & Submitted",Article,"Joppa, L N; O'Connor, B; Visconti, P; Smith, C; Geldmann, J; Hoffmann, M; Watson, J E M; Butchart, S H M; Virah-Sawmy, M; Halpern, B S; Ahmed, S E; Balmford, A; Sutherland, W J; Harfoot, M; Hilton-Taylor, C; Foden, W; Di Minin, E; Pagad, S; Genovesi, P; Hutton, J; Burgess, N D",,"Joppa, L N (); O'Connor, B (); Visconti, P (); Smith, C (); Geldmann, J (); Hoffmann, M (); Watson, J E M (); Butchart, S H M (); Virah-Sawmy, M (); Halpern, B S (); Ahmed, S E (); Balmford, A (); Sutherland, W J (); Harfoot, M (); Hilton-Taylor, C (); Foden, W (); Di Minin, E (); Pagad, S (); Genovesi, P (); Hutton, J (); Burgess, N D ()",78,59,2.44,,https://www.repository.cam.ac.uk/bitstream/1810/255038/1/Joppa_et_al-2016-Science%20Magazine-AM-Main_article.pdf,https://app.dimensions.ai/details/publication/pub.1039155536,,,,,,
61,400,pub.1036448569,10.1890/14-2200,27411240,,Characterizing driver–response relationships in marine pelagic ecosystems for improved ocean management,Ecological Applications,,"Animals; Biomass; Databases, Factual; Ecosystem; Marine Biology; Models, Biological; Oceans and Seas; Population Density",2016-04,2016,26,3,651-663,"All OA; Green, Accepted & Submitted",Article,"Hunsicker, Mary E.; Kappel, Carrie V.; Selkoe, Kimberly A.; Halpern, Benjamin S.; Scarborough, Courtney; Mease, Lindley; Amrhein, Alisan",,"Hunsicker, Mary E. (University of California, Santa Barbara); Kappel, Carrie V. (University of California, Santa Barbara); Selkoe, Kimberly A. (University of California, Santa Barbara; University of Hawaii at Manoa); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Scarborough, Courtney (University of California, Santa Barbara); Mease, Lindley (Stanford University); Amrhein, Alisan (University of California, Santa Barbara)",32,19,0.85,8.3,http://spiral.imperial.ac.uk/bitstream/10044/1/33775/2/Hunsicker_etal_EcoApps_2016_preprint.pdf,https://app.dimensions.ai/details/publication/pub.1036448569,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
62,400,pub.1030175777,10.1111/gcb.13184,26661135,,Ecological and methodological drivers of species’ distribution and phenology responses to climate change,Global Change Biology,,"Aquatic Organisms; Climate Change; Ecology; Models, Theoretical; Population Dynamics; Seasons",2016-04,2016,22,4,1548-1560,All OA; Gold,Article,"Brown, Christopher J; O'Connor, Mary I; Poloczanska, Elvira S; Schoeman, David S; Buckley, Lauren B; Burrows, Michael T; Duarte, Carlos M; Halpern, Benjamin S; Pandolfi, John M; Parmesan, Camille; Richardson, Anthony J",,"Brown, Christopher J (University of Queensland); O'Connor, Mary I (University of British Columbia); Poloczanska, Elvira S (University of Queensland); Schoeman, David S (University of the Sunshine Coast); Buckley, Lauren B (University of Washington); Burrows, Michael T (Scottish Association For Marine Science); Duarte, Carlos M (King Abdullah University of Science and Technology); Halpern, Benjamin S (University of California, Santa Barbara; Imperial College London); Pandolfi, John M (University of Queensland); Parmesan, Camille (Plymouth University; The University of Texas at Austin); Richardson, Anthony J (University of Queensland)",54,42,2.46,16.35,http://dx.doi.org/10.1111/gcb.13184,https://app.dimensions.ai/details/publication/pub.1030175777,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,05 Environmental Sciences,06 Biological Sciences
63,100,pub.1002960256,10.3389/fmars.2016.00020,,,Overview of Integrative Assessment of Marine Systems: The Ecosystem Approach in Practice,Frontiers in Marine Science,,,2016-03-01,2016,3,,20,All OA; Gold,Article,"Borja, Angel; Elliott, Michael; Andersen, Jesper H.; Berg, Torsten; Carstensen, Jacob; Halpern, Benjamin S.; Heiskanen, Anna-Stiina; Korpinen, Samuli; Lowndes, Julia S. Stewart; Martin, Georg; Rodriguez-Ezpeleta, Naiara",,"Borja, Angel (); Elliott, Michael (University of Hull); Andersen, Jesper H. (); Berg, Torsten (MariLim (Germany)); Carstensen, Jacob (Aarhus University); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Heiskanen, Anna-Stiina (Finnish Environment Institute); Korpinen, Samuli (Finnish Environment Institute); Lowndes, Julia S. Stewart (University of California, Santa Barbara); Martin, Georg (University of Tartu); Rodriguez-Ezpeleta, Naiara ()",89,50,,26.44,https://www.frontiersin.org/articles/10.3389/fmars.2016.00020/pdf,https://app.dimensions.ai/details/publication/pub.1002960256,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
64,400,pub.1009694381,10.1093/biosci/biv171,26977115,PMC4786620,Upgrading Marine Ecosystem Restoration Using Ecological‐Social Concepts,BioScience,,,2016-02-01,2016,66,2,156-163,All OA; Gold,Article,"Abelson, Avigdor; Halpern, Benjamin S.; Reed, Daniel C.; Orth, Robert J.; Kendrick, Gary A.; Beck, Michael W.; Belmaker, Jonathan; Krause, Gesche; Edgar, Graham J.; Airoldi, Laura; Brokovich, Eran; France, Robert; Shashar, Nadav; de Blaeij, Arianne; Stambler, Noga; Salameh, Pierre; Shechter, Mordechai; Nelson, Peter A.",,"Abelson, Avigdor (); Halpern, Benjamin S. (); Reed, Daniel C. (); Orth, Robert J. (); Kendrick, Gary A. (); Beck, Michael W. (); Belmaker, Jonathan (); Krause, Gesche (); Edgar, Graham J. (); Airoldi, Laura (); Brokovich, Eran (); France, Robert (); Shashar, Nadav (); de Blaeij, Arianne (); Stambler, Noga (); Salameh, Pierre (); Shechter, Mordechai (); Nelson, Peter A. ()",38,19,0.98,11.29,https://academic.oup.com/bioscience/article-pdf/66/2/156/7483698/biv171.pdf,https://app.dimensions.ai/details/publication/pub.1009694381,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
65,100,pub.1003009105,10.1038/nclimate2769,,,Climate velocity and the future global redistribution of marine biodiversity,Nature Climate Change,,,2016-01,2016,6,1,83-88,"All OA; Green, Accepted & Submitted",Article,"García Molinos, Jorge; Halpern, Benjamin S.; Schoeman, David S.; Brown, Christopher J.; Kiessling, Wolfgang; Moore, Pippa J.; Pandolfi, John M.; Poloczanska, Elvira S.; Richardson, Anthony J.; Burrows, Michael T.","García Molinos, Jorge","García Molinos, Jorge (Scottish Association For Marine Science; National Institute for Environmental Studies); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Schoeman, David S. (University of the Sunshine Coast); Brown, Christopher J. (University of Queensland); Kiessling, Wolfgang (University of Erlangen-Nuremberg; Museum für Naturkunde - Leibniz Institute for Evolution and Biodiversity Science); Moore, Pippa J. (Aberystwyth University; Edith Cowan University); Pandolfi, John M. (University of Queensland); Poloczanska, Elvira S. (University of Queensland); Richardson, Anthony J. (University of Queensland); Burrows, Michael T. (Scottish Association For Marine Science)",152,90,,40.23,http://hdl.handle.net/10044/1/31586,https://app.dimensions.ai/details/publication/pub.1003009105,0405 Oceanography; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0405 Oceanography,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,
66,400,pub.1015114974,10.7717/peerj.1503,26713251,PMC4690351,Best practices for assessing ocean health in multiple contexts using tailorable frameworks,PeerJ,,,2015-12-10,2015,3,,e1503,All OA; Gold,Article,"Lowndes, Julia S. Stewart; Pacheco, Erich J.; Best, Benjamin D.; Scarborough, Courtney; Longo, Catherine; Katona, Steven K.; Halpern, Benjamin S.",,"Lowndes, Julia S. Stewart (University of California, Santa Barbara); Pacheco, Erich J. (Conservation International); Best, Benjamin D. (Duke University); Scarborough, Courtney (University of California, Santa Barbara); Longo, Catherine (Marine Stewardship Council); Katona, Steven K. (Conservation International); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",11,3,0.3,2.7,https://peerj.com/articles/1503.pdf,https://app.dimensions.ai/details/publication/pub.1015114974,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
67,400,pub.1044439181,10.1038/srep17539,26631984,PMC4668359,Shortfalls in the global protected area network at representing marine biodiversity,Scientific Reports,,"Animals; Biodiversity; Conservation of Natural Resources; Databases, Factual; Ecosystem; Fishes; Invertebrates; Mammals; Oceans and Seas",2015-12,2015,5,1,17539,All OA; Gold,Article,"Klein, Carissa J.; Brown, Christopher J.; Halpern, Benjamin S.; Segan, Daniel B.; McGowan, Jennifer; Beger, Maria; Watson, James E.M.",,"Klein, Carissa J. (University of Queensland); Brown, Christopher J. (University of Queensland; Griffith University); Halpern, Benjamin S. (Imperial College London; University of California, Santa Barbara); Segan, Daniel B. (Wildlife Conservation Society); McGowan, Jennifer (University of Queensland); Beger, Maria (University of Queensland); Watson, James E.M. (University of Queensland; Wildlife Conservation Society)",53,29,1,10.39,https://www.nature.com/articles/srep17539.pdf,https://app.dimensions.ai/details/publication/pub.1044439181,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
68,100,pub.1023366843,10.1016/j.ecoser.2014.11.007,,,Measuring indicators of ocean health for an island nation: The ocean health index for Fiji,Ecosystem Services,,,2015-12,2015,16,Mar. Policy 22 2009,403-412,"All OA; Green, Accepted & Submitted",Article,"Selig, Elizabeth R.; Frazier, Melanie; O'Leary, Jennifer K.; Jupiter, Stacy D.; Halpern, Benjamin S.; Longo, Catherine; Kleisner, Kristin L.; Sivo, Loraini; Ranelletti, Marla","Selig, Elizabeth R.","Selig, Elizabeth R. (Conservation International); Frazier, Melanie (University of California, Santa Barbara); O'Leary, Jennifer K. (University of California, Santa Barbara; Stanford University); Jupiter, Stacy D. (); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Longo, Catherine (University of California, Santa Barbara); Kleisner, Kristin L. (University of British Columbia); Sivo, Loraini (); Ranelletti, Marla (University of California, Santa Barbara)",11,5,,7.93,http://hdl.handle.net/10044/1/31815,https://app.dimensions.ai/details/publication/pub.1023366843,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
69,100,pub.1019945361,10.3389/fmars.2015.00095,,,Using Ecological Thresholds to Inform Resource Management: Current Options and Future Possibilities,Frontiers in Marine Science,,,2015-11-09,2015,2,,95,All OA; Gold,Article,"Foley, Melissa M.; Martone, Rebecca G.; Fox, Michael D.; Kappel, Carrie V.; Mease, Lindley A.; Erickson, Ashley L.; Halpern, Benjamin S.; Selkoe, Kimberly A.; Taylor, Peter; Scarborough, Courtney",,"Foley, Melissa M. (); Martone, Rebecca G. (); Fox, Michael D. (); Kappel, Carrie V. (University of California, Santa Barbara); Mease, Lindley A. (); Erickson, Ashley L. (); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Selkoe, Kimberly A. (University of California, Santa Barbara; University of Hawaii at Manoa); Taylor, Peter (); Scarborough, Courtney (University of California, Santa Barbara)",26,16,,5.7,https://www.frontiersin.org/articles/10.3389/fmars.2015.00095/pdf,https://app.dimensions.ai/details/publication/pub.1019945361,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
70,400,pub.1008027487,10.1038/ncomms8615,26172980,PMC4510691,Spatial and temporal changes in cumulative human impacts on the world’s ocean,Nature Communications,,Climate Change; Ecosystem; Environmental Monitoring; Environmental Pollution; Fisheries; Humans; Oceans and Seas; Spatio-Temporal Analysis; Water Pollution,2015-11,2015,6,1,7615,All OA; Gold,Article,"Halpern, Benjamin S.; Frazier, Melanie; Potapenko, John; Casey, Kenneth S.; Koenig, Kellee; Longo, Catherine; Lowndes, Julia Stewart; Rockwood, R. Cotton; Selig, Elizabeth R.; Selkoe, Kimberly A.; Walbridge, Shaun","Halpern, Benjamin S.","Halpern, Benjamin S. (Imperial College London; University of California, Santa Barbara); Frazier, Melanie (University of California, Santa Barbara); Potapenko, John (University of California, Santa Barbara); Casey, Kenneth S. (); Koenig, Kellee (Conservation International); Longo, Catherine (University of California, Santa Barbara); Lowndes, Julia Stewart (University of California, Santa Barbara); Rockwood, R. Cotton (Scripps Institution of Oceanography); Selig, Elizabeth R. (Conservation International); Selkoe, Kimberly A. (University of California, Santa Barbara; University of Hawaii at Manoa); Walbridge, Shaun ()",348,232,7.95,73.32,https://www.nature.com/articles/ncomms8615.pdf,https://app.dimensions.ai/details/publication/pub.1008027487,0602 Ecology; 0405 Oceanography; 0501 Ecological Applications; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0405 Oceanography,0501 Ecological Applications,06 Biological Sciences,04 Earth Sciences
71,100,pub.1023005740,10.1016/j.gloenvcha.2015.09.007,,,Social equity and the probability of success of biodiversity conservation,Global Environmental Change,,,2015-11,2015,35,,299-306,"All OA; Green, Accepted & Submitted",Article,"Klein, Carissa; McKinnon, Madeleine C.; Wright, Becky Twohey; Possingham, Hugh P.; Halpern, Benjamin S.","Klein, Carissa","Klein, Carissa (University of Queensland); McKinnon, Madeleine C. (Conservation International; University of Queensland); Wright, Becky Twohey (University of California, Santa Barbara); Possingham, Hugh P. (University of Queensland; Imperial College London); Halpern, Benjamin S. (Imperial College London; University of California, Santa Barbara)",27,21,,19.47,http://spiral.imperial.ac.uk/bitstream/10044/1/31816/6/Klein%20GEC%20Equity_V3%20Accepted.pdf,https://app.dimensions.ai/details/publication/pub.1023005740,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
