,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Steven D Gaines. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
27,500,pub.1091255883,10.1038/s41598-017-08850-w,28827603,PMC5566470,Ecological effects of full and partial protection in the crowded Mediterranean Sea: a regional meta-analysis,Scientific Reports,,Animals; Biomass; Conservation of Natural Resources; Ecosystem; Fishes; Human Activities; Humans; Mediterranean Sea; Sea Urchins,2017-12,2017,7,1,8940,All OA; Gold,Article,"Giakoumi, Sylvaine; Scianna, Claudia; Plass-Johnson, Jeremiah; Micheli, Fiorenza; Grorud-Colvert, Kirsten; Thiriet, Pierre; Claudet, Joachim; Di Carlo, Giuseppe; Di Franco, Antonio; Gaines, Steven D.; García-Charton, José A.; Lubchenco, Jane; Reimer, Jessica; Sala, Enric; Guidetti, Paolo","Giakoumi, Sylvaine","Giakoumi, Sylvaine (French National Centre for Scientific Research; University of Queensland); Scianna, Claudia (French National Centre for Scientific Research); Plass-Johnson, Jeremiah (French National Centre for Scientific Research; Technical University of Denmark); Micheli, Fiorenza (Stanford University); Grorud-Colvert, Kirsten (Oregon State University); Thiriet, Pierre (Sorbonne University; National Museum of Natural History); Claudet, Joachim (French National Centre for Scientific Research); Di Carlo, Giuseppe (World Wide Fund for Nature (Italy)); Di Franco, Antonio (French National Centre for Scientific Research); Gaines, Steven D. (University of California, Santa Barbara); García-Charton, José A. (University of Murcia); Lubchenco, Jane (Oregon State University); Reimer, Jessica (Oregon State University); Sala, Enric (National Geographic Society); Guidetti, Paolo (French National Centre for Scientific Research; National Inter-University Consortium for Marine Sciences)",36,35,0.32,14.02,https://www.nature.com/articles/s41598-017-08850-w.pdf,https://app.dimensions.ai/details/publication/pub.1091255883,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
28,500,pub.1091161779,10.1038/s41467-017-00349-2,28851866,PMC5575123,Agricultural pesticide use and adverse birth outcomes in the San Joaquin Valley of California,Nature Communications,,"Agriculture; Birth Weight; California; Dose-Response Relationship, Drug; Environmental Exposure; Female; Fetal Development; Fetal Weight; Humans; Infant, Newborn; Maternal Exposure; Pesticides; Pregnancy; Prenatal Exposure Delayed Effects",2017-12,2017,8,1,302,All OA; Gold,Article,"Larsen, Ashley E.; Gaines, Steven D.; Deschênes, Olivier","Larsen, Ashley E.","Larsen, Ashley E. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Deschênes, Olivier (University of California, Santa Barbara)",13,13,0.39,7.23,https://www.nature.com/articles/s41467-017-00349-2.pdf,https://app.dimensions.ai/details/publication/pub.1091161779,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
29,100,pub.1092576005,10.3389/fmars.2017.00348,,,Opportunism on the High Seas: Foraging Ecology of Olive Ridley Turtles in the Eastern Pacific Ocean,Frontiers in Marine Science,,,2017-11-08,2017,4,,348,All OA; Gold,Article,"Peavey, Lindsey E.; Popp, Brian N.; Pitman, Robert L.; Gaines, Steven D.; Arthur, Karen E.; Kelez, Shaleyla; Seminoff, Jeffrey A.",,"Peavey, Lindsey E. (Southwest Fisheries Science Center; University of California, Santa Barbara); Popp, Brian N. (University of Hawaii at Manoa); Pitman, Robert L. (Southwest Fisheries Science Center); Gaines, Steven D. (University of California, Santa Barbara); Arthur, Karen E. (University of Hawaii at Manoa); Kelez, Shaleyla (); Seminoff, Jeffrey A. (Southwest Fisheries Science Center)",5,5,,2.08,https://www.frontiersin.org/articles/10.3389/fmars.2017.00348/pdf,https://app.dimensions.ai/details/publication/pub.1092576005,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
30,500,pub.1092188129,10.1371/journal.pone.0186309,29023580,PMC5638509,Effects of fish movement assumptions on the design of a marine protected area to protect an overfished stock,PLoS ONE,,"Animals; Biomass; Conservation of Natural Resources; Female; Fisheries; Fishes; Models, Theoretical; Movement; Population Dynamics; Temperature",2017-10-12,2017,12,10,e0186309,All OA; Gold,Article,"Cornejo-Donoso, Jorge; Einarsson, Baldvin; Birnir, Bjorn; Gaines, Steven D.",,"Cornejo-Donoso, Jorge (University of California, Santa Barbara); Einarsson, Baldvin (University of California, Santa Barbara); Birnir, Bjorn (University of California, Santa Barbara; University of Iceland); Gaines, Steven D. (University of California, Santa Barbara)",5,5,0,2.08,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0186309&type=printable,https://app.dimensions.ai/details/publication/pub.1092188129,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
31,500,pub.1091119429,10.1038/s41559-017-0257-9,29046547,,Mapping the global potential for marine aquaculture,Nature Ecology & Evolution,,Aquaculture; Aquatic Organisms; Seafood,2017-09,2017,1,9,1317-1324,Closed,Article,"Gentry, Rebecca R.; Froehlich, Halley E.; Grimm, Dietmar; Kareiva, Peter; Parke, Michael; Rust, Michael; Gaines, Steven D.; Halpern, Benjamin S.","Gentry, Rebecca R.","Gentry, Rebecca R. (University of California, Santa Barbara); Froehlich, Halley E. (University of California, Santa Barbara); Grimm, Dietmar (); Kareiva, Peter (University of California Los Angeles); Parke, Michael (Pacific Islands Fisheries Science Center); Rust, Michael (National Oceanic and Atmospheric Administration); Gaines, Steven D. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",49,46,1.58,18.2,,https://app.dimensions.ai/details/publication/pub.1091119429,04 Earth Sciences; 0704 Fisheries Sciences; 0405 Oceanography; 07 Agricultural and Veterinary Sciences,04 Earth Sciences,0704 Fisheries Sciences,0405 Oceanography,07 Agricultural and Veterinary Sciences,
32,500,pub.1091120473,10.1073/pnas.1705169114,28794280,PMC5576807,Marine reserves solve an important bycatch problem in fisheries,Proceedings of the National Academy of Sciences,,,2017-08-22,2017,114,34,8927-8934,All OA; Gold,Article,"Hastings, Alan; Gaines, Steven D.; Costello, Christopher",,"Hastings, Alan (University of California, Davis); Gaines, Steven D. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",10,7,0.89,4.27,https://www.pnas.org/content/pnas/114/34/8927.full.pdf,https://app.dimensions.ai/details/publication/pub.1091120473,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
33,200,pub.1090778741,10.1073/pnas.1708147114,28720708,PMC5547651,Reply to Le Pape et al.: Management is key to preventing marine extinctions,Proceedings of the National Academy of Sciences,,,2017-08-01,2017,114,31,e6275-e6276,All OA; Gold,Article,"Burgess, Matthew G.; Fredston-Hermann, Alexa; Pinsky, Malin L.; Gaines, Steven D.; Tilman, David",,"Burgess, Matthew G. (University of California, Santa Barbara); Fredston-Hermann, Alexa (University of California, Santa Barbara); Pinsky, Malin L. (Rutgers, The State University of New Jersey); Gaines, Steven D. (University of California, Santa Barbara); Tilman, David (University of California, Santa Barbara; University of Minnesota)",2,2,0,,https://www.pnas.org/content/pnas/114/31/E6275.full.pdf,https://app.dimensions.ai/details/publication/pub.1090778741,,,,,,
34,500,pub.1090277284,10.1111/ele.12790,28656624,,To what extent can ecosystem services motivate protecting biodiversity?,Ecology Letters,,Biodiversity; Conservation of Natural Resources; Ecosystem; Uncertainty,2017-08,2017,20,8,935-946,All OA; Gold,Article,"Dee, Laura E.; De Lara, Michel; Costello, Christopher; Gaines, Steven D.",,"Dee, Laura E. (University of California, Santa Barbara; University of Minnesota); De Lara, Michel (École des Ponts ParisTech); Costello, Christopher (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara)",12,12,0.97,5,https://doi.org/10.1111/ele.12790,https://app.dimensions.ai/details/publication/pub.1090277284,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
35,100,pub.1015346387,10.1111/conl.12303,,,Unexpected Management Choices When Accounting for Uncertainty in Ecosystem Service Tradeoff Analyses,Conservation Letters,,,2017-07,2017,10,4,422-430,All OA; Gold,Article,"Cabral, Reniel B.; Halpern, Benjamin S.; Costello, Christopher; Gaines, Steven D.",,"Cabral, Reniel B. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara)",8,8,,3.57,https://doi.org/10.1111/conl.12303,https://app.dimensions.ai/details/publication/pub.1015346387,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
36,500,pub.1036326890,10.1007/s13280-016-0850-1,27854068,PMC5385667,Fisheries regulatory regimes and resilience to climate change,Ambio,,Climate Change; Conservation of Natural Resources; Environmental Policy; Fisheries; Government Regulation,2017-05,2017,46,4,399-412,All OA; Gold,Article,"Ojea, Elena; Pearlman, Isaac; Gaines, Steven D.; Lester, Sarah E.","Ojea, Elena","Ojea, Elena (University of Vigo); Pearlman, Isaac (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Lester, Sarah E. (Florida State University)",9,8,0.36,6.01,https://link.springer.com/content/pdf/10.1007%2Fs13280-016-0850-1.pdf,https://app.dimensions.ai/details/publication/pub.1036326890,0602 Ecology; 1801 Law; 18 Law and Legal Studies; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,1801 Law,18 Law and Legal Studies,06 Biological Sciences,05 Environmental Sciences
37,100,pub.1084523900,10.1016/j.biocon.2017.03.014,,,Disentangling the effects of fishing and environmental forcing on demographic variation in an exploited species,Biological Conservation,,,2017-05,2017,209,Ecol. Appl. 8 1998,488-498,Closed,Article,"Teck, Sarah J.; Lorda, Julio; Shears, Nick T.; Bell, Tom W.; Cornejo-Donoso, Jorge; Caselle, Jennifer E.; Hamilton, Scott L.; Gaines, Steven D.","Teck, Sarah J.","Teck, Sarah J. (University of California, Santa Barbara); Lorda, Julio (Autonomous University of Baja California); Shears, Nick T. (University of Auckland); Bell, Tom W. (University of California, Santa Barbara); Cornejo-Donoso, Jorge (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara); Hamilton, Scott L. (California State University Los Angeles); Gaines, Steven D. (University of California, Santa Barbara)",3,3,,1.17,,https://app.dimensions.ai/details/publication/pub.1084523900,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
38,500,pub.1084152712,10.1073/pnas.1607551114,28351981,PMC5393227,Range contraction enables harvesting to extinction,Proceedings of the National Academy of Sciences,,"Animals; Costs and Cost Analysis; Ecosystem; Extinction, Biological; Fisheries; Models, Biological; Population Density",2017-04-11,2017,114,15,3945-3950,All OA; Gold,Article,"Burgess, Matthew G.; Costello, Christopher; Fredston-Hermann, Alexa; Pinsky, Malin L.; Gaines, Steven D.; Tilman, David; Polasky, Stephen",,"Burgess, Matthew G. (University of California, Santa Barbara; University of Minnesota); Costello, Christopher (University of California, Santa Barbara); Fredston-Hermann, Alexa (University of California, Santa Barbara); Pinsky, Malin L. (Rutgers, The State University of New Jersey); Gaines, Steven D. (University of California, Santa Barbara); Tilman, David (University of California, Santa Barbara; University of Minnesota); Polasky, Stephen (University of Minnesota)",22,18,2.14,9.16,https://www.pnas.org/content/pnas/114/15/3945.full.pdf,https://app.dimensions.ai/details/publication/pub.1084152712,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
39,100,pub.1083409589,10.1016/j.marpol.2017.01.024,,,Are Territorial Use Rights in Fisheries (TURFs) sufficiently large?,Marine Policy,,,2017-04,2017,78,,189-195,Closed,Article,"Aceves-Bueno, Eréndira; Cornejo-Donoso, Jorge; Miller, Steve J.; Gaines, Steven D.","Aceves-Bueno, Eréndira","Aceves-Bueno, Eréndira (University of California, Santa Barbara); Cornejo-Donoso, Jorge (University of California, Santa Barbara); Miller, Steve J. (University of Minnesota); Gaines, Steven D. (University of California, Santa Barbara)",6,6,,6.3,,https://app.dimensions.ai/details/publication/pub.1083409589,1801 Law; 1606 Political Science; 16 Studies in Human Society; 18 Law and Legal Studies; 05 Environmental Sciences; 0502 Environmental Science and Management,1801 Law,1606 Political Science,16 Studies in Human Society,18 Law and Legal Studies,05 Environmental Sciences
40,500,pub.1083852593,10.1038/srep43131,28220895,PMC5318939,Resetting predator baselines in coral reef ecosystems,Scientific Reports,,Animals; Coral Reefs; Ecosystem; Population Density; Sharks,2017-03,2017,7,1,43131,All OA; Gold,Article,"Bradley, Darcy; Conklin, Eric; Papastamatiou, Yannis P.; McCauley, Douglas J.; Pollock, Kydd; Pollock, Amanda; Kendall, Bruce E.; Gaines, Steven D.; Caselle, Jennifer E.","Bradley, Darcy","Bradley, Darcy (University of California, Santa Barbara); Conklin, Eric (The Nature Conservancy); Papastamatiou, Yannis P. (Florida International University); McCauley, Douglas J. (University of California, Santa Barbara); Pollock, Kydd (The Nature Conservancy); Pollock, Amanda (United States Fish and Wildlife Service); Kendall, Bruce E. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara)",23,19,2.01,8.96,https://www.nature.com/articles/srep43131.pdf,https://app.dimensions.ai/details/publication/pub.1083852593,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
41,500,pub.1017712879,10.1002/eap.1446,28207172,,Drivers of redistribution of fishing and non‐fishing effort after the implementation of a marine protected area network,Ecological Applications,,Biodiversity; California; Conservation of Natural Resources; Fisheries; Human Activities,2017-03,2017,27,2,416-428,"All OA; Green, Published",Article,"Cabral, Reniel B.; Gaines, Steven D.; Johnson, Brett A.; Bell, Tom W.; White, Crow",,"Cabral, Reniel B. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Johnson, Brett A. (California Polytechnic State University); Bell, Tom W. (University of California, Santa Barbara); White, Crow (California Polytechnic State University)",10,8,0.59,4.16,https://digitalcommons.calpoly.edu/cgi/viewcontent.cgi?article=1474&context=bio_fac,https://app.dimensions.ai/details/publication/pub.1017712879,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
42,100,pub.1037860687,10.1111/faf.12179,,,Describing ecosystem contexts with single‐species models: a theoretical synthesis for fisheries,Fish and Fisheries,,,2017-03,2017,18,2,264-284,Closed,Article,"Burgess, Matthew G; Giacomini, Henrique C; Szuwalski, Cody S; Costello, Christopher; Gaines, Steven D",,"Burgess, Matthew G (University of California, Santa Barbara); Giacomini, Henrique C (University of Toronto); Szuwalski, Cody S (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Gaines, Steven D (University of California, Santa Barbara)",5,4,,1.95,,https://app.dimensions.ai/details/publication/pub.1037860687,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
43,500,pub.1083844438,10.1371/journal.pone.0172370,28207874,PMC5313192,Growth and life history variability of the grey reef shark (Carcharhinus amblyrhynchos) across its range,PLoS ONE,,Animals; Conservation of Natural Resources; Ecosystem; Female; Life Cycle Stages; Male; Population Density; Sharks,2017-02-16,2017,12,2,e0172370,All OA; Gold,Article,"Bradley, Darcy; Conklin, Eric; Papastamatiou, Yannis P.; McCauley, Douglas J.; Pollock, Kydd; Kendall, Bruce E.; Gaines, Steven D.; Caselle, Jennifer E.",,"Bradley, Darcy (University of California, Santa Barbara); Conklin, Eric (The Nature Conservancy); Papastamatiou, Yannis P. (Florida International University); McCauley, Douglas J. (University of California, Santa Barbara); Pollock, Kydd (The Nature Conservancy); Kendall, Bruce E. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara)",8,8,1.66,3.33,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0172370&type=printable,https://app.dimensions.ai/details/publication/pub.1083844438,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
44,500,pub.1010220287,10.1016/j.tree.2016.10.011,27856059,,Operationalizing Network Theory for Ecosystem Service Assessments,Trends in Ecology & Evolution,,Conservation of Natural Resources; Ecology; Ecosystem; Humans,2017-02,2017,32,2,118-130,"All OA; Green, Accepted & Submitted",Article,"Dee, Laura E.; Allesina, Stefano; Bonn, Aletta; Eklöf, Anna; Gaines, Steven D.; Hines, Jes; Jacob, Ute; McDonald-Madden, Eve; Possingham, Hugh; Schröter, Matthias; Thompson, Ross M.","Dee, Laura E.","Dee, Laura E. (University of Minnesota); Allesina, Stefano (); Bonn, Aletta (Helmholtz Centre for Environmental Research; Friedrich Schiller University Jena; German Center for Integrative Biodiversity Research); Eklöf, Anna (Linköping University); Gaines, Steven D. (University of California, Santa Barbara); Hines, Jes (German Center for Integrative Biodiversity Research; Leipzig University); Jacob, Ute (German Center for Integrative Biodiversity Research; University of Göttingen); McDonald-Madden, Eve (University of Queensland); Possingham, Hugh (University of Queensland); Schröter, Matthias (Helmholtz Centre for Environmental Research; German Center for Integrative Biodiversity Research); Thompson, Ross M. (University of Canberra)",30,22,1.59,13.15,http://espace.library.uq.edu.au/view/UQ:426220/UQ426220_OA.pdf,https://app.dimensions.ai/details/publication/pub.1010220287,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
45,500,pub.1079401987,10.1098/rspb.2016.1936,28123086,PMC5310031,Protection of large predators in a marine reserve alters size-dependent prey mortality,Proceedings of The Royal Society B Biological Sciences,,Animals; California; Ecosystem; Fishes; Food Chain; Kelp; Sea Urchins,2017-01-25,2017,284,1847,20161936,All OA; Gold,Article,"Selden, Rebecca L; Gaines, Steven D; Hamilton, Scott L; Warner, Robert R",,"Selden, Rebecca L (University of California, Santa Barbara); Gaines, Steven D (University of California, Santa Barbara); Hamilton, Scott L (California State University Los Angeles); Warner, Robert R (University of California, Santa Barbara)",11,9,0.89,4.28,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2016.1936,https://app.dimensions.ai/details/publication/pub.1079401987,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
46,500,pub.1017655105,10.1073/pnas.1612722114,28028218,PMC5278447,High fishery catches through trophic cascades in China,Proceedings of the National Academy of Sciences,,"Animals; Biodiversity; Biomass; China; Conservation of Natural Resources; Ecosystem; Fisheries; Fishes; Food Chain; Models, Biological; Predatory Behavior",2017-01-24,2017,114,4,717-721,All OA; Gold,Article,"Szuwalski, Cody S.; Burgess, Matthew G.; Costello, Christopher; Gaines, Steven D.",,"Szuwalski, Cody S. (University of California, Santa Barbara); Burgess, Matthew G. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara)",37,28,1.14,15.79,https://www.pnas.org/content/pnas/114/4/717.full.pdf,https://app.dimensions.ai/details/publication/pub.1017655105,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
47,500,pub.1031155833,10.1002/ece3.2637,28116067,PMC5243789,Offshore aquaculture: Spatial planning principles for sustainable development,Ecology and Evolution,,,2017-01,2017,7,2,733-743,All OA; Gold,Article,"Gentry, Rebecca R.; Lester, Sarah E.; Kappel, Carrie V.; White, Crow; Bell, Tom W.; Stevens, Joel; Gaines, Steven D.",,"Gentry, Rebecca R. (University of California, Santa Barbara); Lester, Sarah E. (Florida State University); Kappel, Carrie V. (University of California, Santa Barbara); White, Crow (); Bell, Tom W. (University of California, Santa Barbara); Stevens, Joel (); Gaines, Steven D. (University of California, Santa Barbara)",27,26,0.56,11.42,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.2637,https://app.dimensions.ai/details/publication/pub.1031155833,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
48,100,pub.1048123702,10.3389/fmars.2016.00273,,,Where Does River Runoff Matter for Coastal Marine Conservation?,Frontiers in Marine Science,,,2016-12-27,2016,3,,273,All OA; Gold,Article,"Fredston-Hermann, Alexa; Brown, Christopher J.; Albert, Simon; Klein, Carissa J.; Mangubhai, Sangeeta; Nelson, Joanna L.; Teneva, Lida; Wenger, Amelia; Gaines, Steven D.; Halpern, Benjamin S.",,"Fredston-Hermann, Alexa (University of California, Santa Barbara); Brown, Christopher J. (Griffith University); Albert, Simon (University of Queensland); Klein, Carissa J. (University of Queensland); Mangubhai, Sangeeta (); Nelson, Joanna L. (Stanford University; The Nature Conservancy); Teneva, Lida (Conservation International); Wenger, Amelia (University of Queensland); Gaines, Steven D. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",7,6,,2.04,https://www.frontiersin.org/articles/10.3389/fmars.2016.00273/pdf,https://app.dimensions.ai/details/publication/pub.1048123702,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
49,200,pub.1062668695,10.1126/science.aai8222,27980169,,U.S. seafood import restriction presents opportunity and risk,Science,,Animals; Conservation of Natural Resources; Mammals; Population; Risk; Seafood; United States,2016-12-16,2016,354,6318,1372-1374,Closed,Article,"Williams, Rob; Burgess, Matthew G.; Ashe, Erin; Gaines, Steven D.; Reeves, Randall R.",,"Williams, Rob (University of St Andrews); Burgess, Matthew G. (University of California, Santa Barbara); Ashe, Erin (University of St Andrews); Gaines, Steven D. (University of California, Santa Barbara); Reeves, Randall R. ()",11,9,0.23,,,https://app.dimensions.ai/details/publication/pub.1062668695,,,,,,
50,400,pub.1009327708,10.1111/cobi.12722,26991947,,Expanding marine protected areas to include degraded coral reefs,Conservation Biology,,Animals; Anthozoa; Biodiversity; Conservation of Natural Resources; Coral Reefs; Ecosystem; Humans,2016-12,2016,30,6,1182-1191,All OA; Gold,Article,"Abelson, A.; Nelson, P.A.; Edgar, G.J.; Shashar, N.; Reed, D.C.; Belmaker, J.; Krause, G.; Beck, M.W.; Brokovich, E.; France, R.; Gaines, S.D.",,"Abelson, A. (Tel Aviv University); Nelson, P.A. (H.T. Harvey & Associates); Edgar, G.J. (University of Tasmania); Shashar, N. (); Reed, D.C. (University of California, Santa Barbara); Belmaker, J. (Tel Aviv University); Krause, G. (Alfred Wegener Institute for Polar and Marine Research); Beck, M.W. (University of California, Santa Cruz); Brokovich, E. (); France, R. (Dalhousie University); Gaines, S.D. (University of California, Santa Barbara)",16,9,0.19,4.66,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cobi.12722,https://app.dimensions.ai/details/publication/pub.1009327708,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
51,100,pub.1053108019,10.1111/faf.12123,,,Remaining questions in the case for balanced harvesting,Fish and Fisheries,,,2016-12,2016,17,4,1216-1226,Closed,Article,"Burgess, Matthew G; Diekert, Florian K; Jacobsen, Nis S; Andersen, Ken H; Gaines, Steven D",,"Burgess, Matthew G (University of California, Santa Barbara); Diekert, Florian K (University of California, Santa Barbara); Jacobsen, Nis S (); Andersen, Ken H (); Gaines, Steven D (University of California, Santa Barbara)",30,13,,7.78,,https://app.dimensions.ai/details/publication/pub.1053108019,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
52,100,pub.1034726313,10.1002/ecs2.1533,,,Siting marine protected areas based on habitat quality and extent provides the greatest benefit to spatially structured metapopulations,Ecosphere,,,2016-11,2016,7,11,e01533,All OA; Gold,Article,"Cabral, Reniel B.; Gaines, Steven D.; Lim, May T.; Atrigenio, Michael P.; Mamauag, Samuel S.; Pedemonte, Gerold C.; Aliño, Porfirio M.",,"Cabral, Reniel B. (University of California, Santa Barbara; University of the Philippines System); Gaines, Steven D. (University of California, Santa Barbara); Lim, May T. (University of the Philippines System); Atrigenio, Michael P. (University of the Philippines System); Mamauag, Samuel S. (University of the Philippines System); Pedemonte, Gerold C. (University of the Philippines System); Aliño, Porfirio M. (University of the Philippines System)",14,11,,4.08,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.1533,https://app.dimensions.ai/details/publication/pub.1034726313,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
53,100,pub.1040145887,10.1016/j.marpol.2016.06.005,,,Factors driving the implementation of fishery reforms,Marine Policy,,,2016-09,2016,71,,222-228,Closed,Article,"Rahimi, Shireen; Gaines, Steven D.; Gelcich, Stefan; Deacon, Robert; Ovando, Dan","Rahimi, Shireen","Rahimi, Shireen (Columbia University); Gaines, Steven D. (University of California, Santa Barbara); Gelcich, Stefan (Pontifical Catholic University of Chile); Deacon, Robert (University of California, Berkeley); Ovando, Dan (University of California, Santa Barbara)",1,1,,2.03,,https://app.dimensions.ai/details/publication/pub.1040145887,18 Law and Legal Studies; 1801 Law,18 Law and Legal Studies,1801 Law,,,
54,400,pub.1041823623,10.1098/rspb.2016.1435,27534960,PMC5013776,Functional diversity of catch mitigates negative effects of temperature variability on fisheries yields,Proceedings of The Royal Society B Biological Sciences,,Biodiversity; Ecosystem; Fisheries; Temperature,2016-08-17,2016,283,1836,20161435,All OA; Gold,Article,"Dee, Laura E; Miller, Steve J; Peavey, Lindsey E; Bradley, Darcy; Gentry, Rebecca R; Startz, Richard; Gaines, Steven D; Lester, Sarah E",,"Dee, Laura E (University of California, Santa Barbara); Miller, Steve J (University of Minnesota); Peavey, Lindsey E (University of California, Santa Barbara); Bradley, Darcy (University of California, Santa Barbara); Gentry, Rebecca R (University of California, Santa Barbara); Startz, Richard (University of California, Santa Barbara); Gaines, Steven D (University of California, Santa Barbara); Lester, Sarah E (Florida State University)",12,10,0.58,3.11,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2016.1435,https://app.dimensions.ai/details/publication/pub.1041823623,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
