,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is María Débora Iglesias-Rodriguez. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
27,400,pub.1010499494,10.1126/science.1154122,18420926,,Phytoplankton Calcification in a High-CO<sub>2</sub> World,Science,,"Atmosphere; Calcification, Physiologic; Calcium Carbonate; Carbon Dioxide; Eukaryota; Geologic Sediments; Hydrogen-Ion Concentration; Oceans and Seas; Photosynthesis; Phytoplankton",2008-04-18,2008,320,5874,336-340,Closed,Article,"Iglesias-Rodriguez, M. Debora; Halloran, Paul R.; Rickaby, Rosalind E. M.; Hall, Ian R.; Colmenero-Hidalgo, Elena; Gittins, John R.; Green, Darryl R. H.; Tyrrell, Toby; Gibbs, Samantha J.; von Dassow, Peter; Rehm, Eric; Armbrust, E. Virginia; Boessenkool, Karin P.",,"Iglesias-Rodriguez, M. Debora (National Oceanography Centre); Halloran, Paul R. (University of Oxford); Rickaby, Rosalind E. M. (University of Oxford); Hall, Ian R. (Cardiff University); Colmenero-Hidalgo, Elena (Cardiff University); Gittins, John R. (National Oceanography Centre); Green, Darryl R. H. (National Oceanography Centre); Tyrrell, Toby (National Oceanography Centre); Gibbs, Samantha J. (National Oceanography Centre); von Dassow, Peter (Roscoff Marine Station); Rehm, Eric (); Armbrust, E. Virginia (); Boessenkool, Karin P. (Cardiff University)",533,57,3.97,50.66,,https://app.dimensions.ai/details/publication/pub.1010499494,0602 Ecology; 0405 Oceanography; 0699 Other Biological Sciences; 0607 Plant Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0699 Other Biological Sciences,0607 Plant Biology,04 Earth Sciences
28,400,pub.1003353789,10.1111/j.1529-8817.2008.00474.x,27041197,,OLIGONUCLEOTIDE PRIMERS FOR THE DETECTION OF BIOLUMINESCENT DINOFLAGELLATES REVEAL NOVEL LUCIFERASE SEQUENCES AND INFORMATION ON THE MOLECULAR EVOLUTION OF THIS GENE1,Journal of Phycology,,,2008-04,2008,44,2,419-428,"All OA; Green, Accepted & Submitted",Article,"Baker, Andrea; Robbins, Ian; Moline, Mark A.; Iglesias‐Rodríguez, María Débora",,"Baker, Andrea (); Robbins, Ian (California Polytechnic State University); Moline, Mark A. (California Polytechnic State University); Iglesias‐Rodríguez, María Débora ()",9,0,0.19,0.65,https://digitalcommons.calpoly.edu/cgi/viewcontent.cgi?article=1158&context=bio_fac,https://app.dimensions.ai/details/publication/pub.1003353789,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
29,400,pub.1006144827,10.1111/j.2006.0018-0661.01933.x,17362341,,Microsatellite cross‐amplification in coccolithophores: application in population diversity studies,Hereditas,,"Alleles; DNA, Algal; Eukaryota; Genetic Variation; Genetics, Population; Microsatellite Repeats",2006-12,2006,143,2006,99-102,All OA; Gold,Article,"Iglesias‐Rodríguez, M. Débora; Probert, Ian; Batley, Jacqueline",,"Iglesias‐Rodríguez, M. Débora (National Oceanography Centre); Probert, Ian (University of Caen Lower Normandy); Batley, Jacqueline (La Trobe University)",4,0,0.06,0.26,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.2006.0018-0661.01933.x,https://app.dimensions.ai/details/publication/pub.1006144827,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
30,100,pub.1015844564,10.1111/j.1529-8817.2006.00231.x,,,INTRASPECIFIC GENETIC DIVERSITY IN THE MARINE COCCOLITHOPHORE EMILIANIA HUXLEYI (PRYMNESIOPHYCEAE): THE USE OF MICROSATELLITE ANALYSIS IN MARINE PHYTOPLANKTON POPULATION STUDIES1,Journal of Phycology,,,2006-06,2006,42,3,526-536,Closed,Article,"Iglesias‐Rodríguez, María Débora; Schofield, Oscar M.; Batley, Jacqueline; Medlin, Linda K.; Hayes, Paul K.",,"Iglesias‐Rodríguez, María Débora (); Schofield, Oscar M. (Rutgers, The State University of New Jersey); Batley, Jacqueline (La Trobe University); Medlin, Linda K. (Alfred Wegener Institute for Polar and Marine Research); Hayes, Paul K. (University of Bristol)",103,4,,6.78,,https://app.dimensions.ai/details/publication/pub.1015844564,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
31,100,pub.1046604205,10.1046/j.1471-8286.2002.00289.x,,,Polymorphic microsatellite loci in global populations of the marine coccolithophorid Emiliania huxleyi,Molecular Ecology Resources,,,2002-12,2002,2,4,495-497,Closed,Article,"Iglesias‐Rodríguez, M. Débora; Sáez, Alberto G.; Groben, René; Edwards, Keith J.; Batley, Jacqueline; Medlin, Linda K.; Hayes, Paul K.",,"Iglesias‐Rodríguez, M. Débora (University of Bristol); Sáez, Alberto G. (Alfred Wegener Institute for Polar and Marine Research); Groben, René (Alfred Wegener Institute for Polar and Marine Research); Edwards, Keith J. (University of Bristol); Batley, Jacqueline (University of Bristol); Medlin, Linda K. (Alfred Wegener Institute for Polar and Marine Research); Hayes, Paul K. (University of Bristol)",33,0,,2.09,,https://app.dimensions.ai/details/publication/pub.1046604205,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
32,100,pub.1001103391,10.1029/2001gb001454,,,Representing key phytoplankton functional groups in ocean carbon cycle models: Coccolithophorids,Global Biogeochemical Cycles,,,2002-12,2002,16,4,47-1-47-20,All OA; Gold,Article,"Iglesias‐Rodríguez, M. Débora; Brown, Christopher W.; Doney, Scott C.; Kleypas, Joan; Kolber, Dorota; Kolber, Zbigniew; Hayes, Paul K.; Falkowski, Paul G.",,"Iglesias‐Rodríguez, M. Débora (Rutgers, The State University of New Jersey; University of Bristol); Brown, Christopher W. (National Oceanic and Atmospheric Administration); Doney, Scott C. (National Center for Atmospheric Research); Kleypas, Joan (National Center for Atmospheric Research); Kolber, Dorota (Rutgers, The State University of New Jersey); Kolber, Zbigniew (Rutgers, The State University of New Jersey); Hayes, Paul K. (University of Bristol); Falkowski, Paul G. (Rutgers, The State University of New Jersey)",201,27,,13.5,http://onlinelibrary.wiley.com/doi/10.1029/2001GB001454/pdf,https://app.dimensions.ai/details/publication/pub.1001103391,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
33,100,pub.1033682985,10.1029/2002eo000267,,,Progress made in study of ocean's calcium carbonate budget,Eos,,,2002-08-20,2002,83,34,365-375,All OA; Gold,Article,"Iglesias‐Rodriguez, M. Debora; Armstrong, Robert; Feely, Richard; Hood, Raleigh; Kleypas, Joan; Milliman, John D.; Sabine, Christopher; Sarmiento, Jorge",,"Iglesias‐Rodriguez, M. Debora (University of Bristol); Armstrong, Robert (); Feely, Richard (); Hood, Raleigh (); Kleypas, Joan (); Milliman, John D. (); Sabine, Christopher (); Sarmiento, Jorge ()",59,12,,4.13,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2002EO000267,https://app.dimensions.ai/details/publication/pub.1033682985,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
34,100,pub.1017314258,10.1046/j.1469-8137.1998.00309.x,,,Carbon dioxide‐concentrating mechanism and the development of extracellular carbonic anhydrase in the marine picoeukaryote Micromonas pusilla,New Phytologist,,,1998-12,1998,140,4,685-690,All OA; Gold,Article,"IGLESIAS‐RODRÍGUEZ, M. D.; NIMER, N. A.; MERRETT, M. J.",,"IGLESIAS‐RODRÍGUEZ, M. D. (University of Wales); NIMER, N. A. (University of Wales); MERRETT, M. J. (University of Wales)",12,1,,,https://nph.onlinelibrary.wiley.com/doi/pdf/10.1046/j.1469-8137.1998.00309.x,https://app.dimensions.ai/details/publication/pub.1017314258,0607 Plant Biology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0607 Plant Biology,0601 Biochemistry and Cell Biology,06 Biological Sciences,,
35,100,pub.1026433533,10.1111/j.0022-3646.1997.00625.x,,,BICARBONATE UTILIZATION BY MARINE PHYTOPLANKTON SPECIES,Journal of Phycology,,,1997-08,1997,33,4,625-631,Closed,Article,"Nimer, Nabil A.; Iglesias‐Rodriguez, M. Debora; Merrett, Michael J.",,"Nimer, Nabil A. (Swansea University); Iglesias‐Rodriguez, M. Debora (Swansea University); Merrett, Michael J. (Swansea University)",98,11,,,,https://app.dimensions.ai/details/publication/pub.1026433533,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
36,100,pub.1037236890,10.1046/j.1469-8137.1997.00625.x,,,Dissolved inorganic carbon utilization and the development of extracellular carbonic anhydrase by the marine diatom Phaeodactylum tricornutum,New Phytologist,,,1997-01,1997,135,1,163-168,All OA; Gold,Article,"IGLESIAS‐RODRIGUEZ, M. D.; MERRETT, M. J.",,"IGLESIAS‐RODRIGUEZ, M. D. (Swansea University); MERRETT, M. J. (Swansea University)",23,2,,,https://nph.onlinelibrary.wiley.com/doi/pdf/10.1046/j.1469-8137.1997.00625.x,https://app.dimensions.ai/details/publication/pub.1037236890,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
