,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Erika J Eliason. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
29,400,pub.1023550099,10.1111/jfb.12120,23731155,,Low cardiac and aerobic scope in a coastal population of sockeye salmon Oncorhynchus nerka with a short upriver migration,Journal of Fish Biology,,"Adaptation, Physiological; Animal Migration; Animals; Heart; Lung; Oxygen Consumption; Physical Exertion; Rivers; Salmon; Selection, Genetic; Swimming; Temperature",2013-06,2013,82,6,2104-2112,Closed,Article,"Eliason, E. J.; Wilson, S. M.; Farrell, A. P.; Cooke, S. J.; Hinch, S. G.",,"Eliason, E. J. (University of British Columbia); Wilson, S. M. (Carleton University); Farrell, A. P. (University of British Columbia); Cooke, S. J. (Carleton University); Hinch, S. G. (University of British Columbia)",29,5,1.95,3.27,,https://app.dimensions.ai/details/publication/pub.1023550099,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
30,400,pub.1051297878,10.1093/conphys/cot008,27293592,PMC4732444,Cardiorespiratory collapse at high temperature in swimming adult sockeye salmon,Conservation Physiology,,,2013-05-25,2013,1,1,cot008,All OA; Gold,Article,"Eliason, Erika J.; Clark, Timothy D.; Hinch, Scott G.; Farrell, Anthony P.",,"Eliason, Erika J. (University of British Columbia); Clark, Timothy D. (University of British Columbia); Hinch, Scott G. (University of British Columbia); Farrell, Anthony P. (University of British Columbia)",41,10,2.08,11.82,https://academic.oup.com/conphys/article-pdf/1/1/cot008/1034841/cot008.pdf,https://app.dimensions.ai/details/publication/pub.1051297878,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences,1102 Cardiorespiratory Medicine and Haematology,11 Medical and Health Sciences,,,
31,400,pub.1011431541,10.1016/j.cbpa.2012.12.002,23247092,,Calibrating acoustic acceleration transmitters for estimating energy use by wild adult Pacific salmon,Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,Accelerometry; Animals; Calibration; Energy Metabolism; Female; Male; Oncorhynchus; Oxygen Consumption; Reference Values; Swimming; Temperature,2013-03,2013,164,3,491-498,Closed,Article,"Wilson, S.M.; Hinch, S.G.; Eliason, E.J.; Farrell, A.P.; Cooke, S.J.","Wilson, S.M.","Wilson, S.M. (Carleton University); Hinch, S.G. (University of British Columbia); Eliason, E.J. (University of British Columbia); Farrell, A.P. (University of British Columbia); Cooke, S.J. (Carleton University)",39,11,1.25,5.59,,https://app.dimensions.ai/details/publication/pub.1011431541,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
32,400,pub.1007079051,10.1002/ece3.274,22957178,PMC3434914,Consequences of high temperatures and premature mortality on the transcriptome and blood physiology of wild adult sockeye salmon (Oncorhynchus nerka),Ecology and Evolution,,,2012-07,2012,2,7,1747-1764,All OA; Gold,Article,"Jeffries, Ken M.; Hinch, Scott G.; Sierocinski, Thomas; Clark, Timothy D.; Eliason, Erika J.; Donaldson, Michael R.; Li, Shaorong; Pavlidis, Paul; Miller, Kristi M.",,"Jeffries, Ken M. (University of British Columbia); Hinch, Scott G. (University of British Columbia); Sierocinski, Thomas (University of British Columbia); Clark, Timothy D. (Australian Institute of Marine Science; University of British Columbia); Eliason, Erika J. (University of British Columbia); Donaldson, Michael R. (University of British Columbia); Li, Shaorong (Fisheries and Oceans Canada); Pavlidis, Paul (University of British Columbia); Miller, Kristi M. (Fisheries and Oceans Canada)",45,16,2.02,4.24,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.274,https://app.dimensions.ai/details/publication/pub.1007079051,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
33,400,pub.1029571023,10.1098/rstb.2012.0022,22566681,PMC3350662,Conservation physiology in practice: how physiological knowledge has improved our ability to sustainably manage Pacific salmon during up-river migration,Philosophical Transactions of the Royal Society B Biological Sciences,,"Adaptation, Physiological; Animal Migration; Animals; Climate Change; Conservation of Natural Resources; Fisheries; Genomics; Heart; Respiratory Physiological Phenomena; Rivers; Salmon; Survival Analysis; Telemetry; Temperature",2012-06-19,2012,367,1596,1757-1769,All OA; Gold,Article,"Cooke, Steven J.; Hinch, Scott G.; Donaldson, Michael R.; Clark, Timothy D.; Eliason, Erika J.; Crossin, Glenn T.; Raby, Graham D.; Jeffries, Ken M.; Lapointe, Mike; Miller, Kristi; Patterson, David A.; Farrell, Anthony P.",,"Cooke, Steven J. (Carleton University); Hinch, Scott G. (University of British Columbia); Donaldson, Michael R. (University of British Columbia); Clark, Timothy D. (University of British Columbia; Australian Institute of Marine Science); Eliason, Erika J. (University of British Columbia); Crossin, Glenn T. (Dalhousie University); Raby, Graham D. (Carleton University); Jeffries, Ken M. (University of British Columbia); Lapointe, Mike (Pacific Salmon Commission); Miller, Kristi (Fisheries and Oceans Canada); Patterson, David A. (Simon Fraser University); Farrell, Anthony P. (University of British Columbia)",63,20,2.27,6.69,http://rstb.royalsocietypublishing.org/content/367/1596/1757.full.pdf,https://app.dimensions.ai/details/publication/pub.1029571023,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
34,100,pub.1004927452,10.1016/j.fishres.2011.08.014,,,Physiological impairment of adult sockeye salmon in fresh water after simulated capture-and-release across a range of temperatures,Fisheries Research,,,2011-12,2011,112,1-2,85-95,Closed,Article,"Gale, Marika Kirstin; Hinch, Scott G.; Eliason, Erika J.; Cooke, Steven J.; Patterson, David A.","Hinch, Scott G.","Gale, Marika Kirstin (University of British Columbia); Hinch, Scott G. (University of British Columbia); Eliason, Erika J. (University of British Columbia); Cooke, Steven J. (Carleton University); Patterson, David A. (Simon Fraser University)",36,7,,4.6,,https://app.dimensions.ai/details/publication/pub.1004927452,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
35,400,pub.1035230927,10.1126/science.1199158,21454790,,Differences in Thermal Tolerance Among Sockeye Salmon Populations,Science,,"Adaptation, Physiological; Animal Migration; Animals; Climate Change; Heart; Population Dynamics; Salmon; Species Specificity; Temperature",2011-04-01,2011,332,6025,109-112,Closed,Article,"Eliason, Erika J.; Clark, Timothy D.; Hague, Merran J.; Hanson, Linda M.; Gallagher, Zoë S.; Jeffries, Ken M.; Gale, Marika K.; Patterson, David A.; Hinch, Scott G.; Farrell, Anthony P.",,"Eliason, Erika J. (University of British Columbia); Clark, Timothy D. (University of British Columbia); Hague, Merran J. (Simon Fraser University); Hanson, Linda M. (University of British Columbia); Gallagher, Zoë S. (University of British Columbia); Jeffries, Ken M. (University of British Columbia); Gale, Marika K. (University of British Columbia); Patterson, David A. (Simon Fraser University); Hinch, Scott G. (University of British Columbia); Farrell, Anthony P. (University of British Columbia)",417,105,13.96,48.28,,https://app.dimensions.ai/details/publication/pub.1035230927,0606 Physiology; 0604 Genetics; 0602 Ecology; 06 Biological Sciences,0606 Physiology,0604 Genetics,0602 Ecology,06 Biological Sciences,
36,100,pub.1040129502,10.1111/j.1365-2095.2009.00693.x,,,The effect of hepatic passage on postprandial plasma lipid profile of rainbow trout (Oncorhynchus mykiss) after a single meal,Aquaculture Nutrition,,,2010-10,2010,16,5,536-543,Closed,Article,"ELIASON, E.J.; DJORDJEVIC, B.; TRATTNER, S.; PICKOVA, J.; KARLSSON, A.; FARRELL, A.P.; KIESSLING, A.K.",,"ELIASON, E.J. (University of British Columbia); DJORDJEVIC, B. (Norwegian University of Life Sciences); TRATTNER, S. (Swedish University of Agricultural Sciences); PICKOVA, J. (Swedish University of Agricultural Sciences); KARLSSON, A. (Norwegian University of Life Sciences); FARRELL, A.P. (University of British Columbia); KIESSLING, A.K. (Norwegian University of Life Sciences)",6,2,,0.83,,https://app.dimensions.ai/details/publication/pub.1040129502,0704 Fisheries Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,07 Agricultural and Veterinary Sciences,,,
37,200,pub.1009099131,10.1242/jeb.036558,,,"ALLIGATORS, LIKE BIRDS, BREATHE ONE WAY ONLY",Journal of Experimental Biology,,,2010-06-01,2010,213,11,iv-iv,All OA; Gold,Article,"Eliason, Erika J.",,"Eliason, Erika J. ()",1,0,,,http://jeb.biologists.org/content/213/11/iv.full.pdf,https://app.dimensions.ai/details/publication/pub.1009099131,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
38,200,pub.1021650428,10.1242/jeb.036434,,,LYMPHATICS ASSIST CIRCULATION DURING HYPOXIA,Journal of Experimental Biology,,,2010-03-01,2010,213,5,iv-iv,All OA; Gold,Article,"Eliason, Erika J.",,"Eliason, Erika J. ()",0,0,,,http://jeb.biologists.org/content/213/5/iv.full.pdf,https://app.dimensions.ai/details/publication/pub.1021650428,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
39,100,pub.1044157744,10.1139/z09-092,,,Fish cardiorespiratory physiology in an era of climate changeThe present review is one of a series of occasional review articles that have been invited by the Editors and will feature the broad range of disciplines and expertise represented in our Editorial Advisory Board.,Canadian Journal of Zoology,,,2009-10,2009,87,10,835-851,Closed,Article,"Farrell, A. P.; Eliason, E. J.; Sandblom, E.; Clark, T. D.",,"Farrell, A. P. (University of British Columbia); Eliason, E. J. (University of British Columbia); Sandblom, E. (University of British Columbia); Clark, T. D. (University of British Columbia)",93,20,,18.39,,https://app.dimensions.ai/details/publication/pub.1044157744,06 Biological Sciences; 0608 Zoology,06 Biological Sciences,0608 Zoology,,,
40,200,pub.1007296593,10.1242/jeb.023838,,,DIFFUSION INFLUENCES CELL DESIGN,Journal of Experimental Biology,,,2009-09-01,2009,212,17,iv-iv,All OA; Gold,Article,"Eliason, Erika J.",,"Eliason, Erika J. ()",0,0,,,http://jeb.biologists.org/content/212/17/iv.full.pdf,https://app.dimensions.ai/details/publication/pub.1007296593,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
41,200,pub.1031887401,10.1242/jeb.023846,,,FISH: THE GUTS OF THE CARBON CYCLE,Journal of Experimental Biology,,,2009-06-15,2009,212,12,v-vi,All OA; Gold,Article,"Eliason, Erika J.",,"Eliason, Erika J. ()",0,0,,,http://jeb.biologists.org/content/212/12/v.2.full.pdf,https://app.dimensions.ai/details/publication/pub.1031887401,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
42,400,pub.1014364741,10.1242/jeb.019281,19043063,,The effect of acute temperature increases on the cardiorespiratory performance of resting and swimming sockeye salmon (Oncorhynchus nerka),Journal of Experimental Biology,,Animal Migration; Animals; Heart Rate; Hot Temperature; Oxygen Consumption; Salmon; Swimming,2008-12-15,2008,211,24,3915-3926,All OA; Gold,Article,"Steinhausen, M F; Sandblom, E; Eliason, E J; Verhille, C; Farrell, A P",,"Steinhausen, M F (University of British Columbia); Sandblom, E (); Eliason, E J (); Verhille, C (); Farrell, A P ()",119,19,4.31,19.19,http://jeb.biologists.org/content/211/24/3915.full.pdf,https://app.dimensions.ai/details/publication/pub.1014364741,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences,1102 Cardiorespiratory Medicine and Haematology,11 Medical and Health Sciences,,,
43,100,pub.1046907651,10.1111/j.1095-8649.2008.02109.x,,,Calibration of a hand‐held haemoglobin analyser for use on fish blood,Journal of Fish Biology,,,2008-12,2008,73,10,2587-2595,"All OA; Green, Accepted & Submitted",Article,"Clark, T. D.; Eliason, E. J.; Sandblom, E.; Hinch, S. G.; Farrell, A. P.",,"Clark, T. D. (University of British Columbia); Eliason, E. J. (University of British Columbia); Sandblom, E. (University of British Columbia); Hinch, S. G. (University of British Columbia); Farrell, A. P. (University of British Columbia)",43,10,,4.65,http://www.zoology.ubc.ca/files/1844.pdf,https://app.dimensions.ai/details/publication/pub.1046907651,0704 Fisheries Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,07 Agricultural and Veterinary Sciences,,,
44,200,pub.1025904958,10.1016/j.cbpa.2008.04.440,,,Salmonids in hot water: Examining aerobic scope and cardiac limitations,Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,,2008-07,2008,150,3,s167-s168,Closed,Article,"Farrell, A.; Hinch, S.; Patterson, D.; Eliason, E.; Steinhausen, M.; Hanson, L.",,"Farrell, A. (University of British Columbia); Hinch, S. (University of British Columbia); Patterson, D. (Simon Fraser University); Eliason, E. (University of British Columbia); Steinhausen, M. (University of British Columbia); Hanson, L. (University of British Columbia)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1025904958,0606 Physiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences; 0608 Zoology,0606 Physiology,0601 Biochemistry and Cell Biology,06 Biological Sciences,0608 Zoology,
45,200,pub.1009931898,10.1016/j.cbpa.2008.04.192,,,Cutaneous oxygen uptake in exercising adult salmon: A role for the secondary circulation system,Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,,2008-07,2008,150,3,s97,Closed,Article,"Steinhausen, M.; Eliason, E.; Clark, T.; Sandblom, E.; Verhille, C.; Cox, G.; Wilson, C.; Farrell, A.",,"Steinhausen, M. (University of British Columbia); Eliason, E. (University of British Columbia); Clark, T. (University of British Columbia); Sandblom, E. (University of British Columbia); Verhille, C. (University of British Columbia); Cox, G. (University of British Columbia); Wilson, C. (University of British Columbia); Farrell, A. (University of British Columbia)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1009931898,0606 Physiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences; 0608 Zoology,0606 Physiology,0601 Biochemistry and Cell Biology,06 Biological Sciences,0608 Zoology,
46,200,pub.1005984330,10.1016/j.cbpa.2008.04.447,,,Oxygen limitations at warm temperatures in migrating salmon,Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,,2008-07,2008,150,3,s169,Closed,Article,"Eliason, E.; Clark, T.; Jeffries, K.; Hinch, S.; Cox, G.; Wilson, C.; Farrell, T.",,"Eliason, E. (University of British Columbia); Clark, T. (University of British Columbia); Jeffries, K. (University of British Columbia); Hinch, S. (University of British Columbia); Cox, G. (University of British Columbia); Wilson, C. (University of British Columbia); Farrell, T. (University of British Columbia)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1005984330,0606 Physiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences; 0608 Zoology,0606 Physiology,0601 Biochemistry and Cell Biology,06 Biological Sciences,0608 Zoology,
47,400,pub.1004089005,10.1016/j.cbpa.2008.01.033,18308602,,"Postprandial gastrointestinal blood flow, oxygen consumption and heart rate in rainbow trout (Oncorhynchus mykiss)",Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,Animal Nutritional Physiological Phenomena; Animals; Cardiac Output; Diet; Digestion; Gastrointestinal Tract; Heart Rate; Intestinal Absorption; Oncorhynchus mykiss; Oxygen Consumption; Postprandial Period,2008-04,2008,149,4,380-388,Closed,Article,"Eliason, Erika J.; Higgs, David A.; Farrell, Anthony P.","Eliason, Erika J.","Eliason, Erika J. (University of British Columbia); Higgs, David A. (University of British Columbia); Farrell, Anthony P. (University of British Columbia)",40,5,1.44,6.15,,https://app.dimensions.ai/details/publication/pub.1004089005,0606 Physiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences; 0608 Zoology,0606 Physiology,0601 Biochemistry and Cell Biology,06 Biological Sciences,0608 Zoology,
48,100,pub.1052620137,10.1016/j.aquaculture.2007.09.006,,,Effect of isoenergetic diets with different protein and lipid content on the growth performance and heat increment of rainbow trout,Aquaculture,,,2007-11,2007,272,1-4,723-736,Closed,Article,"Eliason, Erika J.; Higgs, David A.; Farrell, Anthony P.","Eliason, Erika J.","Eliason, Erika J. (University of British Columbia); Higgs, David A. (University of British Columbia); Farrell, Anthony P. (University of British Columbia)",27,7,,3.98,,https://app.dimensions.ai/details/publication/pub.1052620137,07 Agricultural and Veterinary Sciences; 0704 Fisheries Sciences; 06 Biological Sciences; 0608 Zoology,07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,06 Biological Sciences,0608 Zoology,
49,100,pub.1052684266,10.1111/j.1095-8649.2007.01489.x,,,Validation of the hepatic portal vein cannulation technique using Atlantic salmon Salmo salar L.,Journal of Fish Biology,,,2007-07,2007,71,1,290-297,Closed,Article,"Eliason, E. J.; Kiessling, A.; Karlsson, A.; Djordjevic, B.; Farrell, A. P.",,"Eliason, E. J. (); Kiessling, A. (); Karlsson, A. (); Djordjevic, B. (); Farrell, A. P. ()",22,1,,5.93,,https://app.dimensions.ai/details/publication/pub.1052684266,0606 Physiology; 06 Biological Sciences,0606 Physiology,06 Biological Sciences,,,
50,200,pub.1014440799,10.1016/j.cbpa.2007.01.409,,,Validation of the hepatic portal vein cannulation technique using Atlantic salmon (Salmo salar L.),Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,,2007-04,2007,146,4,s187,Closed,Article,"Eliason, E.; Kiessling, A.; Karlsson, A.; Djordjevic, B.; Farrell, A.",,"Eliason, E. (University of British Columbia); Kiessling, A. (Norwegian University of Life Sciences); Karlsson, A. (Norwegian University of Life Sciences); Djordjevic, B. (Norwegian University of Life Sciences); Farrell, A. (University of British Columbia)",1,0,,0.15,,https://app.dimensions.ai/details/publication/pub.1014440799,0606 Physiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences; 0608 Zoology,0606 Physiology,0601 Biochemistry and Cell Biology,06 Biological Sciences,0608 Zoology,
51,200,pub.1005315556,10.1016/j.cbpa.2007.01.378,,,Effect of postprandrial hypoxia challenge on oxygen consumption and gut blood flow in rainbow trout (Oncorhynchus mykiss),Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,,2007-04,2007,146,4,s177,Closed,Article,"Eliason, E.",,"Eliason, E. (University of British Columbia)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1005315556,0606 Physiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences; 0608 Zoology,0606 Physiology,0601 Biochemistry and Cell Biology,06 Biological Sciences,0608 Zoology,
52,400,pub.1048958007,10.1242/jeb.02597,17142677,,Postprandial changes in plasma free amino acid levels obtained simultaneously from the hepatic portal vein and the dorsal aorta in rainbow trout (Oncorhynchus mykiss),Journal of Experimental Biology,,Amino Acids; Animals; Aorta; Catheterization; Liver; Oncorhynchus mykiss; Portal Vein; Postprandial Period,2006-12-15,2006,209,24,4885-4894,All OA; Gold,Article,"Karlsson, Anders; Eliason, Erika J.; Mydland, Liv Torunn; Farrell, Anthony P.; Kiessling, Anders",,"Karlsson, Anders (Norwegian University of Life Sciences); Eliason, Erika J. (University of British Columbia); Mydland, Liv Torunn (Norwegian University of Life Sciences); Farrell, Anthony P. (University of British Columbia); Kiessling, Anders (Norwegian University of Life Sciences)",48,8,1.06,9.56,http://jeb.biologists.org/content/209/24/4885.full.pdf,https://app.dimensions.ai/details/publication/pub.1048958007,11 Medical and Health Sciences; 1103 Clinical Sciences,11 Medical and Health Sciences,1103 Clinical Sciences,,,
