,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Joseph P Mcfadden. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
29,100,pub.1030353445,10.1029/2010jg001463,,,Seasonal contributions of vegetation types to suburban evapotranspiration,Journal of Geophysical Research,,,2011,2011,116,G1,,All OA; Gold,Article,"Peters, Emily B.; Hiller, Rebecca V.; McFadden, Joseph P.",,"Peters, Emily B. (University of Minnesota); Hiller, Rebecca V. (Swiss Federal Institute of Technology in Zurich); McFadden, Joseph P. (University of California, Santa Barbara)",48,13,,6.83,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010JG001463,https://app.dimensions.ai/details/publication/pub.1030353445,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
30,100,pub.1036037260,10.1007/s11252-010-0128-5,,,Influence of seasonality and vegetation type on suburban microclimates,Urban Ecosystems,,,2010-12,2010,13,4,443-460,All OA; Gold,Article,"Peters, Emily B.; McFadden, Joseph P.","Peters, Emily B.","Peters, Emily B. (University of Minnesota); McFadden, Joseph P. (University of California, Santa Barbara)",22,5,,2.24,https://link.springer.com/content/pdf/10.1007%2Fs11252-010-0128-5.pdf,https://app.dimensions.ai/details/publication/pub.1036037260,0602 Ecology; 0699 Other Biological Sciences; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0699 Other Biological Sciences,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences
31,100,pub.1019646477,10.1029/2009jg001266,,,Biological and environmental controls on tree transpiration in a suburban landscape,Journal of Geophysical Research,,,2010,2010,115,G4,,All OA; Gold,Article,"Peters, Emily B.; McFadden, Joseph P.; Montgomery, Rebecca A.",,"Peters, Emily B. (University of Minnesota); McFadden, Joseph P. (University of California, Santa Barbara); Montgomery, Rebecca A. (University of Minnesota)",45,11,,4.82,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009JG001266,https://app.dimensions.ai/details/publication/pub.1019646477,0607 Plant Biology; 0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,
32,100,pub.1022396875,10.1007/s10546-009-9421-3,,,"Surface Energy Balance Measurements Above an Exurban Residential Neighbourhood of Kansas City, Missouri",Boundary-Layer Meteorology,,,2009-12,2009,133,3,299,All OA; Gold,Article,"Balogun, Ahmed A.; Adegoke, Jimmy O.; Vezhapparambu, Sajith; Mauder, Matthias; McFadden, Joseph P.; Gallo, Kevin","Balogun, Ahmed A.","Balogun, Ahmed A. (Federal University of Technology); Adegoke, Jimmy O. (University of Missouri–Kansas City); Vezhapparambu, Sajith (University of Missouri–Kansas City); Mauder, Matthias (Karlsruhe Institute of Technology); McFadden, Joseph P. (University of California, Santa Barbara); Gallo, Kevin (Research Applications (United States))",21,2,,1.83,https://link.springer.com/content/pdf/10.1007%2Fs10546-009-9421-3.pdf,https://app.dimensions.ai/details/publication/pub.1022396875,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
33,400,pub.1062452567,10.1126/science.1117368,16179434,,Role of Land-Surface Changes in Arctic Summer Warming,Science,,Alaska; Arctic Regions; Greenhouse Effect; Picea; Seasons; Trees,2005-10-28,2005,310,5748,657-660,"All OA; Green, Accepted & Submitted",Article,"Chapin, F. S.; Sturm, M.; Serreze, M. C.; McFadden, J. P.; Key, J. R.; Lloyd, A. H.; McGuire, A. D.; Rupp, T. S.; Lynch, A. H.; Schimel, J. P.; Beringer, J.; Chapman, W. L.; Epstein, H. E.; Euskirchen, E. S.; Hinzman, L. D.; Jia, G.; Ping, C.-L.; Tape, K. D.; Thompson, C. D. C.; Walker, D. A.; Welker, J. M.",,"Chapin, F. S. (University of Alaska Fairbanks); Sturm, M. (United States Army); Serreze, M. C. (Cooperative Institute for Research in Environmental Sciences); McFadden, J. P. (University of Minnesota); Key, J. R. (); Lloyd, A. H. (Middlebury College); McGuire, A. D. (University of Alaska Fairbanks); Rupp, T. S. (University of Alaska Fairbanks); Lynch, A. H. (Monash University); Schimel, J. P. (University of California, Santa Barbara); Beringer, J. (Monash University); Chapman, W. L. (University of Illinois at Urbana Champaign); Epstein, H. E. (University of Virginia); Euskirchen, E. S. (University of Alaska Fairbanks); Hinzman, L. D. (University of Alaska Fairbanks); Jia, G. (Colorado State University); Ping, C.-L. (University of Alaska Fairbanks); Tape, K. D. (University of Alaska Fairbanks); Thompson, C. D. C. (University of Alaska Fairbanks); Walker, D. A. (University of Alaska Fairbanks); Welker, J. M. (University of Alaska Anchorage)",834,121,3.11,64.75,http://www.lter.uaf.edu/pdf/1203_Chapin_Sturm_2005.pdf,https://app.dimensions.ai/details/publication/pub.1062452567,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
34,100,pub.1036320879,10.1657/1523-0430(2005)037[0061:disrea]2.0.co;2,,,"Differences in Surface Roughness, Energy, and CO2 Fluxes in Two Moist Tundra Vegetation Types, Kuparuk Watershed, Alaska, U.S.A",Arctic Antarctic and Alpine Research,,,2005-02,2005,37,1,61-67,"All OA; Green, Accepted & Submitted",Article,"Eugster, Werner; McFadden, Joseph P.; Chapin, F. Stuart",,"Eugster, Werner (University of Bern); McFadden, Joseph P. (University of Minnesota); Chapin, F. Stuart (University of Alaska System)",13,1,,1.18,http://www.bioone.org/doi/pdf/10.1657/1523-0430%2806-015%29%5BSTARR%5D2.0.CO%3B2,https://app.dimensions.ai/details/publication/pub.1036320879,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
35,100,pub.1026042589,10.1890/01-0444,,,A REGIONAL STUDY OF THE CONTROLS ON WATER VAPOR AND CO2 EXCHANGE IN ARCTIC TUNDRA,Ecology,,,2003-10,2003,84,10,2762-2776,Closed,Article,"McFadden, Joseph P.; Eugster, Werner; Chapin, F. Stuart",,"McFadden, Joseph P. (University of Minnesota); Eugster, Werner (University of Bern); Chapin, F. Stuart (University of Alaska System)",73,8,,6.93,,https://app.dimensions.ai/details/publication/pub.1026042589,0607 Plant Biology; 0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,
36,100,pub.1047124711,10.1007/s00703-001-0584-9,,,RAMS 2001: Current status and future directions,Meteorology and Atmospheric Physics,,,2003-01,2003,82,1,5-29,Closed,Article,"Cotton, W. R.; Pielke Sr., R. A.; Walko, R. L.; Liston, G. E.; Tremback, C. J.; Jiang, H.; McAnelly, R. L.; Harrington, J. Y.; Nicholls, M. E.; Carrio, G. G.; McFadden, J. P.",,"Cotton, W. R. (Colorado State University); Pielke Sr., R. A. (Colorado State University); Walko, R. L. (); Liston, G. E. (Colorado State University); Tremback, C. J. (); Jiang, H. (Colorado State University); McAnelly, R. L. (Colorado State University); Harrington, J. Y. (Pennsylvania State University); Nicholls, M. E. (Colorado State University); Carrio, G. G. (Colorado State University); McFadden, J. P. (Colorado State University)",657,71,,51.31,,https://app.dimensions.ai/details/publication/pub.1047124711,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,,
37,100,pub.1018940829,10.1029/2002jd002653,,,CO2 exchange between air and water in an Arctic Alaskan and midlatitude Swiss lake: Importance of convective mixing,Journal of Geophysical Research,,,2003,2003,108,D12,,All OA; Gold,Article,"Eugster, Werner; Kling, George; Jonas, Tobias; McFadden, Joseph P.; Wüest, Alfred; MacIntyre, Sally; Chapin, F. Stuart",,"Eugster, Werner (University of Bern); Kling, George (University of Michigan); Jonas, Tobias (); McFadden, Joseph P. (University of Minnesota); Wüest, Alfred (); MacIntyre, Sally (University of California, Santa Barbara); Chapin, F. Stuart (University of Alaska System)",121,20,,15.59,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2002JD002653,https://app.dimensions.ai/details/publication/pub.1018940829,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
38,100,pub.1015208245,10.1046/j.1354-1013.2001.00416.x,,,"Modelled changes in arctic tundra snow, energy and moisture fluxes due to increased shrubs",Global Change Biology,,,2002-01,2002,8,1,17-32,Closed,Article,"Liston, Glen E.; Mcfadden, Joseph P.; Sturm, Matthew; Pielke, Roger A.",,"Liston, Glen E. (Colorado State University); Mcfadden, Joseph P. (Colorado State University); Sturm, Matthew (United States Army); Pielke, Roger A. (Colorado State University)",147,26,,,,https://app.dimensions.ai/details/publication/pub.1015208245,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
39,100,pub.1050366418,10.1175/1520-0442(2001)014<0336:ssiiat>2.0.co;2,,,Snow–Shrub Interactions in Arctic Tundra: A Hypothesis with Climatic Implications,Journal of Climate,,,2001-02,2001,14,3,336-344,Closed,Article,"Sturm, Matthew; Holmgren, Jon; McFadden, Joseph P.; Liston, Glen E.; Chapin, F. Stuart; Racine, Charles H.",,"Sturm, Matthew (); Holmgren, Jon (); McFadden, Joseph P. (); Liston, Glen E. (); Chapin, F. Stuart (); Racine, Charles H. ()",353,60,,36.22,,https://app.dimensions.ai/details/publication/pub.1050366418,09 Engineering; 0405 Oceanography; 0909 Geomatic Engineering; 04 Earth Sciences; 0401 Atmospheric Sciences,09 Engineering,0405 Oceanography,0909 Geomatic Engineering,04 Earth Sciences,0401 Atmospheric Sciences
40,100,pub.1013759599,10.1046/j.1365-2486.2000.06015.x,,,Land–atmosphere energy exchange in Arctic tundra and boreal forest: available data and feedbacks to climate,Global Change Biology,,,2000-12,2000,6,S1,84-115,"All OA; Green, Accepted & Submitted",Article,"Eugster, Werner; Rouse, Wayne R; Pielke, Roger A.; Mcfadden, Joseph P.; Baldocchi, Dennis D; Kittel, Timothy G. F; Chapin, F. Stuart; Liston, Glen E.; Vidale, Pier Luigi; Vaganov, Eugene; Chambers, Scott",,"Eugster, Werner (University of Bern); Rouse, Wayne R (McMaster University); Pielke, Roger A. (Colorado State University); Mcfadden, Joseph P. (University of California, Berkeley); Baldocchi, Dennis D (); Kittel, Timothy G. F (National Center for Atmospheric Research); Chapin, F. Stuart (University of California, Berkeley; National Center for Atmospheric Research); Liston, Glen E. (Colorado State University); Vidale, Pier Luigi (Colorado State University); Vaganov, Eugene (Russian Academy of Sciences); Chambers, Scott (University of Alaska System)",271,19,,21.86,http://sinus.unibe.ch/~eugster/publications/FULL/Eugster.2000.GCB.6.pdf,https://app.dimensions.ai/details/publication/pub.1013759599,0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,,
41,100,pub.1004568086,10.1046/j.1365-2486.2000.06016.x,,,The controls on net ecosystem productivity along an Arctic transect: a model comparison with flux measurements,Global Change Biology,,,2000-12,2000,6,S1,116-126,"All OA; Green, Accepted & Submitted",Article,"Williams, Mathew; Eugster, Werner; Rastetter, Edward B.; Mcfadden, Joseph P.; Chapin, F. Stuart",,"Williams, Mathew (Marine Biological Laboratory); Eugster, Werner (University of California, Berkeley); Rastetter, Edward B. (Marine Biological Laboratory); Mcfadden, Joseph P. (University of California, Berkeley); Chapin, F. Stuart (University of California, Berkeley)",83,7,,7.7,http://sinus.unibe.ch/~eugster/publications/FULL/Williams.2000.GCB.6.pdf,https://app.dimensions.ai/details/publication/pub.1004568086,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
42,100,pub.1022853914,10.1175/1520-0442(2000)013<2002:sdaaei>2.0.co;2,,,Summer Differences among Arctic Ecosystems in Regional Climate Forcing,Journal of Climate,,,2000-06,2000,13,12,2002-2010,Closed,Article,"Chapin, F. Stuart; Eugster, Werner; McFadden, Joseph P.; Lynch, Amanda H.; Walker, Donald A.",,"Chapin, F. Stuart (); Eugster, Werner (); McFadden, Joseph P. (); Lynch, Amanda H. (); Walker, Donald A. ()",95,8,,11.35,,https://app.dimensions.ai/details/publication/pub.1022853914,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
43,100,pub.1011348625,10.1029/98jd02400,,,Subgrid‐scale variability in the surface energy balance of arctic tundra,Journal of Geophysical Research,,,1998-11-27,1998,103,D22,28947-28961,All OA; Gold,Article,"McFadden, Joseph P.; Chapin, F. Stuart; Hollinger, David Y.",,"McFadden, Joseph P. (); Chapin, F. Stuart (); Hollinger, David Y. ()",91,5,,,http://onlinelibrary.wiley.com/doi/10.1029/98JD02400/pdf,https://app.dimensions.ai/details/publication/pub.1011348625,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
44,100,pub.1024715043,10.1038/28839,,,Energy and trace-gas fluxes across a soil pH boundary in the Arctic,Nature,,,1998-07,1998,394,6692,469-472,Closed,Article,"Walker, D. A.; Auerbach, N. A.; Bockheim, J. G.; Chapin, F. S.; Eugster, W.; King, J. Y.; McFadden, J. P.; Michaelson, G. J.; Nelson, F. E.; Oechel, W. C.; Ping, C. L.; Reeburg, W. S.; Regli, S.; Shiklomanov, N. I.; Vourlitis, G. L.","Walker, D. A.","Walker, D. A. (Institute of Arctic and Alpine Research); Auerbach, N. A. (Institute of Arctic and Alpine Research); Bockheim, J. G. (University of Wisconsin–Madison); Chapin, F. S. (University of California, Berkeley); Eugster, W. (University of California, Berkeley); King, J. Y. (University of California, Irvine); McFadden, J. P. (University of California, Berkeley); Michaelson, G. J. (University of Alaska Fairbanks); Nelson, F. E. (University of Delaware); Oechel, W. C. (San Diego State University); Ping, C. L. (University of Alaska Fairbanks); Reeburg, W. S. (University of California, Irvine); Regli, S. (University of California, Irvine); Shiklomanov, N. I. (University of Delaware); Vourlitis, G. L. (San Diego State University)",124,3,,,,https://app.dimensions.ai/details/publication/pub.1024715043,06 Biological Sciences; 0503 Soil Sciences; 0602 Ecology; 05 Environmental Sciences,06 Biological Sciences,0503 Soil Sciences,0602 Ecology,05 Environmental Sciences,
45,100,pub.1053647330,10.1023/a:1000552311805,,,A Comparative Approach to Regional Variation in Surface Fluxes Using Mobile Eddy Correlation Towers,Boundary-Layer Meteorology,,,1997-11,1997,85,2,293-307,Closed,Article,"Eugster, Werner; McFadden, Joseph P.; Chapin, F. Stuart",,"Eugster, Werner (University of California, Berkeley); McFadden, Joseph P. (University of California, Berkeley); Chapin, F. Stuart (University of California, Berkeley)",63,3,,,,https://app.dimensions.ai/details/publication/pub.1053647330,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
