,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Jonathan M Levine. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
31,400,pub.1039711869,10.1111/ele.12443,25960188,PMC4676300,"The ecological forecast horizon, and examples of its uses and determinants",Ecology Letters,,"Biological Evolution; Ecology; Ecosystem; Forecasting; Models, Statistical; Phylogeny",2015-07,2015,18,7,597-611,All OA; Gold,Article,"Petchey, Owen L; Pontarp, Mikael; Massie, Thomas M; Kéfi, Sonia; Ozgul, Arpat; Weilenmann, Maja; Palamara, Gian Marco; Altermatt, Florian; Matthews, Blake; Levine, Jonathan M; Childs, Dylan Z; McGill, Brian J; Schaepman, Michael E; Schmid, Bernhard; Spaak, Piet; Beckerman, Andrew P; Pennekamp, Frank; Pearse, Ian S; Vasseur, David",,"Petchey, Owen L (University of Zurich; Swiss Federal Institute of Aquatic Science and Technology); Pontarp, Mikael (University of Zurich; Umeå University); Massie, Thomas M (University of Zurich); Kéfi, Sonia (French National Centre for Scientific Research); Ozgul, Arpat (University of Zurich); Weilenmann, Maja (University of Zurich); Palamara, Gian Marco (University of Zurich); Altermatt, Florian (University of Zurich; Swiss Federal Institute of Aquatic Science and Technology); Matthews, Blake (Swiss Federal Institute of Aquatic Science and Technology); Levine, Jonathan M (Swiss Federal Institute of Technology in Zurich); Childs, Dylan Z (University of Sheffield); McGill, Brian J (University of Maine); Schaepman, Michael E (University of Zurich); Schmid, Bernhard (University of Zurich); Spaak, Piet (Swiss Federal Institute of Aquatic Science and Technology; Swiss Federal Institute of Technology in Zurich); Beckerman, Andrew P (University of Sheffield); Pennekamp, Frank (University of Zurich); Pearse, Ian S (University of Illinois at Urbana Champaign); Vasseur, David ()",111,61,3.12,24.33,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ele.12443,https://app.dimensions.ai/details/publication/pub.1039711869,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
32,100,pub.1051591320,10.1111/1365-2435.12345,,,"Community assembly, coexistence and the environmental filtering metaphor",Functional Ecology,,,2015-05,2015,29,5,592-599,All OA; Gold,Article,"Kraft, Nathan J. B.; Adler, Peter B.; Godoy, Oscar; James, Emily C.; Fuller, Steve; Levine, Jonathan M.",,"Kraft, Nathan J. B. (University of Maryland, College Park); Adler, Peter B. (Utah State University); Godoy, Oscar (); James, Emily C. (Utah State University); Fuller, Steve (Utah State University); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",368,232,,72.16,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.12345,https://app.dimensions.ai/details/publication/pub.1051591320,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
33,400,pub.1011303390,10.1073/pnas.1413650112,25561561,PMC4311865,Plant functional traits and the multidimensional nature of species coexistence,Proceedings of the National Academy of Sciences,,Plant Physiological Phenomena; Species Specificity,2015-01-20,2015,112,3,797-802,All OA; Gold,Article,"Kraft, Nathan J. B.; Godoy, Oscar; Levine, Jonathan M.",,"Kraft, Nathan J. B. (University of Maryland, College Park); Godoy, Oscar (University of California, Santa Barbara); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",253,135,11.11,53.31,http://www.pnas.org/content/112/3/797.full.pdf,https://app.dimensions.ai/details/publication/pub.1011303390,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,0604 Genetics,05 Environmental Sciences
34,100,pub.1085108775,10.1101/013441,,,"The Ecological Forecast Horizon, and examples of its uses and determinants",bioRxiv,,,2015-01-10,2015,,,013441,"All OA; Green, Published",Preprint,"Petchey, Owen L; Pontarp, Mikael; Massie, Thomas M; Kéfi, Sonia; Ozgul, Arpat; Weilenmann, Maja; Palamara, Gian Marco; Altermatt, Florian; Matthews, Blake J; Levine, Jonathan M; Childs, Dylan Z; McGill, Brian J; Schaepman, Michael E; Schmid, Bernhard; Spaak, Piet; Beckerman, Andrew P; Pennekamp, Frank; Pearse, Ian S",,"Petchey, Owen L (University of Zurich); Pontarp, Mikael (University of Zurich); Massie, Thomas M (University of Zurich); Kéfi, Sonia (University of Montpellier); Ozgul, Arpat (University of Zurich); Weilenmann, Maja (University of Zurich); Palamara, Gian Marco (University of Zurich); Altermatt, Florian (University of Zurich); Matthews, Blake J (); Levine, Jonathan M (Swiss Federal Institute of Technology in Zurich); Childs, Dylan Z (University of Sheffield); McGill, Brian J (University of Maine System); Schaepman, Michael E (University of Zurich); Schmid, Bernhard (University of Zurich); Spaak, Piet (Swiss Federal Institute of Aquatic Science and Technology); Beckerman, Andrew P (University of Sheffield); Pennekamp, Frank (University of Zurich); Pearse, Ian S ()",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2015/03/29/013441.full.pdf,https://app.dimensions.ai/details/publication/pub.1085108775,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
35,100,pub.1018888420,10.1111/geb.12219,,,The germination strategies of widespread annual plants are unrelated to regional climate,Global Ecology and Biogeography,,,2014-12,2014,23,12,1430-1439,Closed,Article,"Mayfield, Margaret M.; Dwyer, John M.; Main, Alanna; Levine, Jonathan M.",,"Mayfield, Margaret M. (University of Queensland; University of California, Santa Barbara); Dwyer, John M. (University of Queensland; Ecosystem Sciences); Main, Alanna (University of Queensland); Levine, Jonathan M. (University of California, Santa Barbara; Swiss Federal Institute of Technology in Zurich)",11,2,,2.51,,https://app.dimensions.ai/details/publication/pub.1018888420,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
36,400,pub.1044962107,10.1371/journal.pone.0106059,25170943,PMC4149492,A Mechanistic Study of Plant and Microbial Controls over R* for Nitrogen in an Annual Grassland,PLoS ONE,,"Biodiversity; Biomass; Grassland; Models, Biological; Nitrogen; Nitrogen Cycle; Plants; Population Dynamics; Seasons; Soil; Soil Microbiology; Species Specificity",2014-08-29,2014,9,8,e106059,All OA; Gold,Article,"Yelenik, Stephanie G.; Colman, Benjamin P.; Levine, Jonathan M.; HilleRisLambers, Janneke",,"Yelenik, Stephanie G. (University of California, Santa Barbara); Colman, Benjamin P. (University of California, Santa Barbara); Levine, Jonathan M. (University of California, Santa Barbara); HilleRisLambers, Janneke (University of California, Santa Barbara)",0,0,0,0,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0106059&type=printable,https://app.dimensions.ai/details/publication/pub.1044962107,0607 Plant Biology; 0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0605 Microbiology,0602 Ecology,06 Biological Sciences,
37,400,pub.1041427743,10.1111/ele.12289,24766326,,Phylogenetic relatedness and the determinants of competitive outcomes,Ecology Letters,,"California; Ecosystem; Models, Biological; Phylogeny; Plant Physiological Phenomena; Plants",2014-07,2014,17,7,836-844,Closed,Article,"Godoy, Oscar; Kraft, Nathan J. B.; Levine, Jonathan M.",,"Godoy, Oscar (); Kraft, Nathan J. B. (University of Maryland, College Park); Levine, Jonathan M. (University of Zurich)",160,74,5.38,33.55,,https://app.dimensions.ai/details/publication/pub.1041427743,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
38,400,pub.1003651425,10.1890/13-1157.1,24804456,,Phenology effects on invasion success: insights from coupling field experiments to coexistence theory,Ecology,,"California; Ecosystem; Introduced Species; Models, Biological; Plants; Population Dynamics; Species Specificity; Time Factors",2014-03,2014,95,3,726-736,Closed,Article,"Godoy, Oscar; Levine, Jonathan M.",,"Godoy, Oscar (University of California, Santa Barbara); Levine, Jonathan M. (University of California, Santa Barbara; Swiss Federal Institute of Technology in Zurich)",81,47,2.54,14.96,,https://app.dimensions.ai/details/publication/pub.1003651425,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
39,400,pub.1034294330,10.1111/ele.12056,23279851,,"Coexistence, niches and biodiversity effects on ecosystem functioning",Ecology Letters,,"Biodiversity; Ecosystem; Models, Biological; Models, Theoretical; Nitrogen; Plant Development; Plants; Seasons; Soil",2013-05,2013,16,s1,116-127,All OA; Gold,Article,"Turnbull, Lindsay Ann; Levine, Jonathan M.; Loreau, Michel; Hector, Andy",,"Turnbull, Lindsay Ann (University of Zurich); Levine, Jonathan M. (University of California, Santa Barbara); Loreau, Michel (); Hector, Andy (University of Zurich)",68,21,1.68,11.12,http://onlinelibrary.wiley.com/doi/10.1111/ele.12056/pdf,https://app.dimensions.ai/details/publication/pub.1034294330,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
40,100,pub.1001818353,10.1111/1365-2745.12052,,,An improved model to predict the effects of changing biodiversity levels on ecosystem function,Journal of Ecology,,,2013-03,2013,101,2,344-355,All OA; Gold,Article,"Connolly, John; Bell, Thomas; Bolger, Thomas; Brophy, Caroline; Carnus, Timothee; Finn, John A.; Kirwan, Laura; Isbell, Forest; Levine, Jonathan; Lüscher, Andreas; Picasso, Valentin; Roscher, Christiane; Sebastia, Maria Teresa; Suter, Matthias; Weigelt, Alexandra",,"Connolly, John (University College Dublin); Bell, Thomas (Imperial College London); Bolger, Thomas (University College Dublin); Brophy, Caroline (National University of Ireland, Maynooth); Carnus, Timothee (University College Dublin); Finn, John A. (); Kirwan, Laura (Waterford Institute of Technology); Isbell, Forest (University of Minnesota); Levine, Jonathan (Swiss Federal Institute of Technology in Zurich); Lüscher, Andreas (); Picasso, Valentin (University of the Republic); Roscher, Christiane (Helmholtz Centre for Environmental Research); Sebastia, Maria Teresa (University of Lleida); Suter, Matthias (Swiss Federal Institute of Technology in Zurich); Weigelt, Alexandra (Leipzig University)",37,17,,6.05,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2745.12052,https://app.dimensions.ai/details/publication/pub.1001818353,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
41,400,pub.1044545206,10.1073/pnas.1212375110,23297239,PMC3562839,Plant invasions and extinction debts,Proceedings of the National Academy of Sciences,,"Algorithms; California; Conservation of Natural Resources; Ecosystem; Environment; Environmental Monitoring; Extinction, Biological; Geography; Introduced Species; Models, Biological; Plant Physiological Phenomena; Poaceae; Population Dynamics",2013-01-29,2013,110,5,1744-1749,All OA; Gold,Article,"Gilbert, Benjamin; Levine, Jonathan M.",,"Gilbert, Benjamin (University of Toronto; University of California, Santa Barbara); Levine, Jonathan M. (University of California, Santa Barbara; Swiss Federal Institute of Technology in Zurich)",93,36,2.01,16.4,http://www.pnas.org/content/110/5/1744.full.pdf,https://app.dimensions.ai/details/publication/pub.1044545206,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
42,100,pub.1052412964,10.1146/annurev-ecolsys-110411-160411,,,Rethinking Community Assembly through the Lens of Coexistence Theory,Annual Review of Ecology Evolution and Systematics,,,2012-12,2012,43,1,227-248,Closed,Article,"HilleRisLambers, J.; Adler, P.B.; Harpole, W.S.; Levine, J.M.; Mayfield, M.M.",,"HilleRisLambers, J. (University of Washington); Adler, P.B. (Utah State University); Harpole, W.S. (Iowa State University); Levine, J.M. (); Mayfield, M.M. (University of Queensland)",509,214,,61.01,,https://app.dimensions.ai/details/publication/pub.1052412964,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
43,400,pub.1031533924,10.1890/11-0471.1,22352163,,Seasonal timing of first rain storms affects rare plant population dynamics,Ecology,,Asteraceae; California; Climate Change; Endangered Species; Germination; Hydrophyllaceae; Population Dynamics; Rain; Seasons; Temperature; Time Factors,2011-12,2011,92,12,2236-2247,Closed,Article,"Levine, Jonathan M.; McEachern, A. Kathryn; Cowan, Clark",,"Levine, Jonathan M. (University of California, Santa Barbara); McEachern, A. Kathryn (); Cowan, Clark (University of California, Santa Barbara)",28,12,0.27,3.7,,https://app.dimensions.ai/details/publication/pub.1031533924,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
44,400,pub.1058847943,10.1086/662161,22030739,,Eco-Evolutionary dynamics enable coexistence via neighbor-dependent selection.,The American Naturalist,,"Biological Evolution; Ecosystem; Models, Biological; Population Density; Selection, Genetic",2011-11,2011,178,5,e96-e109,Closed,Article,"Vasseur, David A; Amarasekare, Priyanga; Rudolf, Volker H W; Levine, Jonathan M",,"Vasseur, David A (Yale University); Amarasekare, Priyanga (); Rudolf, Volker H W (); Levine, Jonathan M ()",52,23,1.22,5.97,,https://app.dimensions.ai/details/publication/pub.1058847943,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
45,200,pub.1034130081,10.1073/pnas.1108946108,,PMC3150930,Reply to Ferrarini: Strengths and weaknesses of simple competition models,Proceedings of the National Academy of Sciences,,,2011-08-02,2011,108,31,e346-e346,All OA; Gold,Article,"Allesina, Stefano; Levine, Jonathan M.",,"Allesina, Stefano (); Levine, Jonathan M. (University of California, Santa Barbara)",0,0,,,http://www.pnas.org/content/108/31/E346.full.pdf,https://app.dimensions.ai/details/publication/pub.1034130081,,,,,,
46,400,pub.1032385637,10.1073/pnas.1014428108,21415368,PMC3078357,A competitive network theory of species diversity,Proceedings of the National Academy of Sciences,,"Biodiversity; Competitive Behavior; Computer Simulation; Ecology; Ecosystem; Models, Biological; Species Specificity",2011-04-05,2011,108,14,5638-5642,All OA; Gold,Article,"Allesina, Stefano; Levine, Jonathan M.",,"Allesina, Stefano (); Levine, Jonathan M. (University of California, Santa Barbara)",144,57,2.7,19.01,http://www.pnas.org/content/108/14/5638.full.pdf,https://app.dimensions.ai/details/publication/pub.1032385637,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
47,400,pub.1052494078,10.1016/j.tree.2011.01.009,21367482,PMC3088364,Why intraspecific trait variation matters in community ecology,Trends in Ecology & Evolution,,"Biological Evolution; Biota; Demography; Genetic Variation; Models, Biological; Phenotype; Population Density",2011-04,2011,26,4,183-192,"All OA; Green, Accepted & Submitted",Article,"Bolnick, Daniel I.; Amarasekare, Priyanga; Araújo, Márcio S.; Bürger, Reinhard; Levine, Jonathan M.; Novak, Mark; Rudolf, Volker H.W.; Schreiber, Sebastian J.; Urban, Mark C.; Vasseur, David A.",,"Bolnick, Daniel I. (The University of Texas at Austin); Amarasekare, Priyanga (University of California Los Angeles); Araújo, Márcio S. (Florida International University); Bürger, Reinhard (University of Vienna); Levine, Jonathan M. (University of California, Santa Barbara); Novak, Mark (University of California, Santa Cruz); Rudolf, Volker H.W. (Rice University); Schreiber, Sebastian J. (University of California, Davis); Urban, Mark C. (University of Connecticut); Vasseur, David A. (Yale University)",911,360,22.03,87.04,http://europepmc.org/articles/pmc3088364?pdf=render,https://app.dimensions.ai/details/publication/pub.1052494078,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
48,200,pub.1058846084,10.1086/659644,,,Erratum,The American Naturalist,,,2011-04,2011,177,4,548-548,Closed,Article,"Pachepsky, Elizaveta; Levine, Jonathan M.",,"Pachepsky, Elizaveta (University of California, Santa Barbara); Levine, Jonathan M. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1058846084,06 Biological Sciences,06 Biological Sciences,,,,
49,400,pub.1058844677,10.1086/657438,21117949,,Density dependence slows invader spread in fragmented landscapes.,The American Naturalist,,"Biodiversity; Ecosystem; Introduced Species; Markov Chains; Models, Biological; Plant Development; Population Density; Population Growth; Seeds; Stochastic Processes",2011-01,2011,177,1,18-28,Closed,Article,"Pachepsky, Elizaveta; Levine, Jonathan M",,"Pachepsky, Elizaveta (University of California, Santa Barbara); Levine, Jonathan M ()",26,3,0.54,2.73,,https://app.dimensions.ai/details/publication/pub.1058844677,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
50,400,pub.1000353990,10.1890/10-0465.1,21560677,,The role of plant–soil feedbacks in driving native‐species recovery,Ecology,,Artemisia; California; Ecosystem; Eriogonum; Introduced Species; Poaceae; Population Growth; Seedlings; Soil,2011-01,2011,92,1,66-74,Closed,Article,"Yelenik, Stephanie G.; Levine, Jonathan M.",,"Yelenik, Stephanie G. (University of California, Santa Barbara); Levine, Jonathan M. (University of California, Santa Barbara)",30,9,0.5,4.45,,https://app.dimensions.ai/details/publication/pub.1000353990,0602 Ecology; 0502 Environmental Science and Management; 0503 Soil Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0503 Soil Sciences,0607 Plant Biology,05 Environmental Sciences
51,100,pub.1028137581,10.1111/j.1526-100x.2009.00598.x,,,Processes Limiting Native Shrub Recovery in Exotic Grasslands after Non‐Native Herbivore Removal,Restoration Ecology,,,2010-11,2010,18,s2,418-425,Closed,Article,"Yelenik, Stephanie G.; Levine, Jonathan M.",,"Yelenik, Stephanie G. (University of California, Santa Barbara; Oregon State University); Levine, Jonathan M. (University of California, Santa Barbara)",20,7,,2.35,,https://app.dimensions.ai/details/publication/pub.1028137581,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
52,400,pub.1001356377,10.1073/pnas.1007745107,20855605,PMC2951440,Competition–defense tradeoffs and the maintenance of plant diversity,Proceedings of the National Academy of Sciences,,"Biodiversity; Ecosystem; Models, Biological; Plants; Population Dynamics",2010-10-05,2010,107,40,17217-17222,All OA; Gold,Article,"Viola, David V.; Mordecai, Erin A.; Jaramillo, Alejandra G.; Sistla, Seeta A.; Albertson, Lindsey K.; Gosnell, J. Stephen; Cardinale, Bradley J.; Levine, Jonathan M.",,"Viola, David V. (University of California, Santa Barbara); Mordecai, Erin A. (University of California, Santa Barbara); Jaramillo, Alejandra G. (University of California, Santa Barbara); Sistla, Seeta A. (University of California, Santa Barbara); Albertson, Lindsey K. (University of California, Santa Barbara); Gosnell, J. Stephen (University of California, Santa Barbara); Cardinale, Bradley J. (University of California, Santa Barbara); Levine, Jonathan M. (University of California, Santa Barbara)",43,12,0.95,4.03,http://www.pnas.org/content/107/40/17217.full.pdf,https://app.dimensions.ai/details/publication/pub.1001356377,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
53,400,pub.1032368480,10.1111/j.1461-0248.2010.01509.x,20576030,,Opposing effects of competitive exclusion on the phylogenetic structure of communities,Ecology Letters,,"Biodiversity; Competitive Behavior; Models, Theoretical; Phylogeny; Plant Development; Plants; Species Specificity",2010-09,2010,13,9,1085-1093,Closed,Article,"Mayfield, Margaret M.; Levine, Jonathan M.",,"Mayfield, Margaret M. (University of Queensland); Levine, Jonathan M. (University of California, Santa Barbara)",742,233,11.72,109.91,,https://app.dimensions.ai/details/publication/pub.1032368480,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
54,400,pub.1022075379,10.1111/j.1365-2745.2010.01706.x,20852668,PMC2936119,California annual grass invaders: the drivers or passengers of change?,Journal of Ecology,,,2010-09,2010,98,5,1147-1156,"All OA; Green, Published",Article,"HilleRisLambers, Janneke; Yelenik, Stephanie G.; Colman, Benjamin P.; Levine, Jonathan M.",,"HilleRisLambers, Janneke (University of Washington); Yelenik, Stephanie G. (University of California, Santa Barbara; Oregon State University); Colman, Benjamin P. (University of California, Santa Barbara; Duke University); Levine, Jonathan M. (University of California, Santa Barbara)",62,14,0.93,7.28,http://europepmc.org/articles/pmc2936119?pdf=render,https://app.dimensions.ai/details/publication/pub.1022075379,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
55,100,pub.1022995400,10.1111/j.1600-0706.2009.17914.x,,,Species diversity reduces invasion success in pathogen‐regulated communities,Oikos,,,2010-06,2010,119,6,1040-1046,"All OA; Green, Accepted & Submitted",Article,"Turnbull, Lindsay A.; Levine, Jonathan M.; Fergus, Alexander J. F.; Petermann, Jana S.",,"Turnbull, Lindsay A. (University of Zurich); Levine, Jonathan M. (University of Zurich); Fergus, Alexander J. F. (University of Zurich); Petermann, Jana S. (University of Zurich)",17,2,,1.59,http://www.zora.uzh.ch/id/eprint/34497/2/Turnbull_etal_O10.pdf,https://app.dimensions.ai/details/publication/pub.1022995400,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
56,400,pub.1033710784,10.1111/j.1461-0248.2010.01496.x,20545729,,Coexistence of perennial plants: an embarrassment of niches,Ecology Letters,,"Artemisia; Biodiversity; Ecosystem; Extinction, Biological; Models, Biological; Poaceae; Population Dynamics",2010-05,2010,13,8,1019-1029,Closed,Article,"Adler, Peter B.; Ellner, Stephen P.; Levine, Jonathan M.",,"Adler, Peter B. (Utah State University); Ellner, Stephen P. (Cornell University); Levine, Jonathan M. (University of California, Santa Barbara)",138,42,2.41,12.93,,https://app.dimensions.ai/details/publication/pub.1033710784,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
57,400,pub.1020037287,10.1890/08-2365.1,20437958,,Native shrub reestablishment in exotic annual grasslands: Do ecosystem processes recover?,Ecological Applications,,Artemisia; California; Ecosystem; Eriogonum; Poaceae; Soil,2010-04,2010,20,3,716-727,Closed,Article,"Yelenik, S. G.; Levine, J. M.",,"Yelenik, S. G. (University of California, Santa Barbara); Levine, J. M. (University of California, Santa Barbara)",13,1,0.22,1.59,,https://app.dimensions.ai/details/publication/pub.1020037287,0602 Ecology; 0501 Ecological Applications; 0607 Plant Biology; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0501 Ecological Applications,0607 Plant Biology,06 Biological Sciences,05 Environmental Sciences
58,400,pub.1009895821,10.1890/08-2039.1,20380203,,Do competitors modulate rare plant response to precipitation change?,Ecology,,Endangered Species; Plants; Rain,2010-01,2010,91,1,130-140,Closed,Article,"Levine, Jonathan M.; McEachern, A. Kathryn; Cowan, Clark",,"Levine, Jonathan M. (University of California, Santa Barbara); McEachern, A. Kathryn (); Cowan, Clark (University of California, Santa Barbara)",43,11,0.91,4.03,,https://app.dimensions.ai/details/publication/pub.1009895821,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
59,400,pub.1008612548,10.1890/08-2241.1,20120800,,Weak effect of climate variability on coexistence in a sagebrush steppe community,Ecology,,"Artemisia; Climate Change; Ecosystem; Models, Biological; Population Density; Population Dynamics; Population Growth; Species Specificity",2009-12,2009,90,12,3303-3312,Closed,Article,"Adler, Peter B.; HilleRisLambers, Janneke; Levine, Jonathan M.",,"Adler, Peter B. (Utah State University); HilleRisLambers, Janneke (University of Washington); Levine, Jonathan M. (University of California, Santa Barbara)",22,3,0.42,1.95,,https://app.dimensions.ai/details/publication/pub.1008612548,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
60,400,pub.1026274615,10.1371/journal.pone.0006887,19727390,PMC2731204,Direct and Indirect Effects of Climate Change on a Prairie Plant Community,PLoS ONE,,"Animals; Biodiversity; Biomass; Climate; Climate Change; Ecosystem; Environment; Environmental Monitoring; Kansas; Models, Theoretical; Plants; Poaceae; Reproducibility of Results",2009-09-03,2009,4,9,e6887,All OA; Gold,Article,"Adler, Peter B.; Leiker, James; Levine, Jonathan M.",,"Adler, Peter B. (Utah State University); Leiker, James (Kansas State University); Levine, Jonathan M. (University of California, Santa Barbara)",34,7,0.52,3.01,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0006887&type=printable,https://app.dimensions.ai/details/publication/pub.1026274615,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
61,400,pub.1044685385,10.1038/nature08251,19675568,,The importance of niches for the maintenance of species diversity,Nature,,"Biodiversity; California; Ecosystem; Models, Biological; Plant Development; Plant Physiological Phenomena; Plants; Population Dynamics; Seeds",2009-09,2009,461,7261,254-257,Closed,Article,"Levine, Jonathan M.; HilleRisLambers, Janneke","Levine, Jonathan M.","Levine, Jonathan M. (University of California, Santa Barbara); HilleRisLambers, Janneke (University of Washington)",339,101,5.54,36.92,,https://app.dimensions.ai/details/publication/pub.1044685385,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
62,100,pub.1019859049,10.1111/j.1365-2745.2009.01514.x,,,Plant invasions and the niche,Journal of Ecology,,,2009-07,2009,97,4,609-615,All OA; Gold,Article,"MacDougall, Andrew S.; Gilbert, Benjamin; Levine, Jonathan M.",,"MacDougall, Andrew S. (University of Guelph); Gilbert, Benjamin (University of California, Santa Barbara); Levine, Jonathan M. (University of California, Santa Barbara)",215,61,,23.41,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2745.2009.01514.x,https://app.dimensions.ai/details/publication/pub.1019859049,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
63,400,pub.1029643208,10.1007/s00442-008-1264-y,19139921,,Abiotic and biotic resistance to grass invasion in serpentine annual plant communities,Oecologia,,Analysis of Variance; Biomass; Calcium; California; Ecosystem; Fertility; Nitrogen; Phosphorus; Poaceae; Population Dynamics; Species Specificity; Water,2009-04,2009,159,4,839-847,All OA; Gold,Article,"Going, Barbara Marie; Hillerislambers, Janneke; Levine, Jonathan M.","Going, Barbara Marie","Going, Barbara Marie (University of California, Davis); Hillerislambers, Janneke (University of Washington); Levine, Jonathan M. (University of California, Santa Barbara)",62,10,0.99,5.49,https://link.springer.com/content/pdf/10.1007%2Fs00442-008-1264-y.pdf,https://app.dimensions.ai/details/publication/pub.1029643208,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
