,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Max A Moritz. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
25,400,pub.1015741251,10.1093/biosci/biv182,29593361,PMC5865631,The Science of Firescapes: Achieving Fire-Resilient Communities,BioScience,,,2016-02-01,2016,66,2,130-146,All OA; Gold,Article,"Smith, Alistair M.S.; Kolden, Crystal A.; Paveglio, Travis B.; Cochrane, Mark A.; Bowman, David MJS; Moritz, Max A.; Kliskey, Andrew D.; Alessa, Lilian; Hudak, Andrew T.; Hoffman, Chad M.; Lutz, James A.; Queen, Lloyd P.; Goetz, Scott J.; Higuera, Philip E.; Boschetti, Luigi; Flannigan, Mike; Yedinak, Kara M.; Watts, Adam C.; Strand, Eva K.; van Wagtendonk, Jan W.; Anderson, John W.; Stocks, Brian J.; Abatzoglou, John T.",,"Smith, Alistair M.S. (); Kolden, Crystal A. (); Paveglio, Travis B. (); Cochrane, Mark A. (); Bowman, David MJS (); Moritz, Max A. (); Kliskey, Andrew D. (); Alessa, Lilian (); Hudak, Andrew T. (); Hoffman, Chad M. (); Lutz, James A. (); Queen, Lloyd P. (); Goetz, Scott J. (); Higuera, Philip E. (); Boschetti, Luigi (); Flannigan, Mike (); Yedinak, Kara M. (); Watts, Adam C. (); Strand, Eva K. (); van Wagtendonk, Jan W. (); Anderson, John W. (); Stocks, Brian J. (); Abatzoglou, John T. ()",63,36,1.53,,https://academic.oup.com/bioscience/article-pdf/66/2/130/24328432/biv182.pdf,https://app.dimensions.ai/details/publication/pub.1015741251,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
26,100,pub.1000284822,10.1016/j.rse.2015.10.024,,,Effects of fire severity and post-fire climate on short-term vegetation recovery of mixed-conifer and red fir forests in the Sierra Nevada Mountains of California,Remote Sensing of Environment,,,2015-12,2015,171,,311-325,Closed,Article,"Meng, Ran; Dennison, Philip E.; Huang, Chengquan; Moritz, Max A.; D'Antonio, Carla","Meng, Ran","Meng, Ran (University of Utah); Dennison, Philip E. (University of Utah); Huang, Chengquan (University of Maryland, College Park); Moritz, Max A. (University of California, Berkeley); D'Antonio, Carla (University of California, Santa Barbara)",33,18,,7.47,,https://app.dimensions.ai/details/publication/pub.1000284822,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
27,100,pub.1051550904,10.1016/j.foreco.2015.03.024,,,"Disease, fuels and potential fire behavior: Impacts of Sudden Oak Death in two coastal California forest types",Forest Ecology and Management,,,2015-07,2015,348,,23-30,"All OA; Green, Accepted & Submitted",Article,"Forrestel, Alison B.; Ramage, Benjamin S.; Moody, Tadashi; Moritz, Max A.; Stephens, Scott L.","Forrestel, Alison B.","Forrestel, Alison B. (Golden Gate University); Ramage, Benjamin S. (Randolph–Macon College); Moody, Tadashi (University of California, Berkeley); Moritz, Max A. (University of California, Berkeley); Stephens, Scott L. (University of California, Berkeley)",7,2,,1.83,https://escholarship.org/content/qt7mt0g9n8/qt7mt0g9n8.pdf?t=oba5ae,https://app.dimensions.ai/details/publication/pub.1051550904,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
28,100,pub.1043793056,10.1890/es15-00003.1,,,Increasing elevation of fire in the Sierra Nevada and implications for forest change,Ecosphere,,,2015-07,2015,6,7,1-10,All OA; Gold,Article,"Schwartz, Mark W.; Butt, Nathalie; Dolanc, Christopher R.; Holguin, Andrew; Moritz, Max A.; North, Malcolm P.; Safford, Hugh D.; Stephenson, Nathan L.; Thorne, James H.; van Mantgem, Phillip J.",,"Schwartz, Mark W. (University of California, Davis); Butt, Nathalie (); Dolanc, Christopher R. (University of California, Davis; Mercyhurst University); Holguin, Andrew (University of California, Davis); Moritz, Max A. (University of California, Berkeley); North, Malcolm P. (Pacific Southwest Research Station); Safford, Hugh D. (University of California, Davis); Stephenson, Nathan L. (United States Geological Survey); Thorne, James H. (University of California, Davis); van Mantgem, Phillip J. ()",14,3,,2.27,https://doi.org/10.1890/es15-00003.1,https://app.dimensions.ai/details/publication/pub.1043793056,0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,,
29,200,pub.1040983336,10.1016/j.tree.2015.03.008,25837916,,Place and process in conservation planning for climate change: a reply to Keppel and Wardell-Johnson,Trends in Ecology & Evolution,,Animal Distribution; Climate Change; Conservation of Natural Resources; Microclimate; Plant Dispersal,2015-05,2015,30,5,234-235,Closed,Article,"Hannah, Lee; Flint, Lorraine; Syphard, Alexandra D.; Moritz, Max A.; Buckley, Lauren B.; McCullough, Ian M.",,"Hannah, Lee (Conservation International); Flint, Lorraine (); Syphard, Alexandra D. (); Moritz, Max A. (University of California, Berkeley); Buckley, Lauren B. (University of Washington); McCullough, Ian M. (University of California, Santa Barbara)",3,1,0.09,,,https://app.dimensions.ai/details/publication/pub.1040983336,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
30,100,pub.1050099055,10.1093/biosci/biu233,,,Adapting California's Ecosystems to a Changing Climate,BioScience,,,2015-03-01,2015,65,3,247-262,All OA; Gold,Article,"Chornesky, Elizabeth A.; Ackerly, David D.; Beier, Paul; Davis, Frank W.; Flint, Lorraine E.; Lawler, Joshua J.; Moyle, Peter B.; Moritz, Max A.; Scoonover, Mary; Byrd, Kristin; Alvarez, Pelayo; Heller, Nicole E.; Micheli, Elisabeth R.; Weiss, Stuart B.",,"Chornesky, Elizabeth A. (); Ackerly, David D. (); Beier, Paul (); Davis, Frank W. (); Flint, Lorraine E. (); Lawler, Joshua J. (); Moyle, Peter B. (); Moritz, Max A. (); Scoonover, Mary (); Byrd, Kristin (); Alvarez, Pelayo (); Heller, Nicole E. (); Micheli, Elisabeth R. (); Weiss, Stuart B. ()",17,7,,3.73,https://academic.oup.com/bioscience/article-pdf/65/3/247/16648660/biu233.pdf,https://app.dimensions.ai/details/publication/pub.1050099055,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
31,100,pub.1024431595,10.1088/1748-9326/10/3/034018,,,A minimal model of fire-vegetation feedbacks and disturbance stochasticity generates alternative stable states in grassland–shrubland–woodland systems,Environmental Research Letters,,,2015-03-01,2015,10,3,034018,All OA; Gold,Article,"Batllori, Enric; Ackerly, David D; Moritz, Max A",,"Batllori, Enric (Centre for Research on Ecology and Forestry Applications; University of California, Berkeley); Ackerly, David D (University of California, Berkeley); Moritz, Max A (University of California, Berkeley)",14,8,,3.25,http://iopscience.iop.org/article/10.1088/1748-9326/10/3/034018/pdf,https://app.dimensions.ai/details/publication/pub.1024431595,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
32,400,pub.1043459658,10.1890/14-0227.1,29185661,,Is U.S. climatic diversity well represented within the existing federal protection network?,Ecological Applications,,Biodiversity; Climate; Conservation of Natural Resources; Federal Government; Geographic Mapping; United States,2014-12,2014,24,8,1898-1907,All OA; Gold,Article,"Batllori, Enric; Miller, Carol; Parisien, Marc-André; Parks, Sean A.; Moritz, Max A.",,"Batllori, Enric (University of California, Berkeley); Miller, Carol (US Forest Service); Parisien, Marc-André (); Parks, Sean A. (US Forest Service); Moritz, Max A. (University of California, Berkeley)",10,4,0.18,2.1,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/14-0227.1,https://app.dimensions.ai/details/publication/pub.1043459658,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
33,400,pub.1025365018,10.1038/nature13946,25373675,,Learning to coexist with wildfire,Nature,,Australia; Climate Change; Conservation of Natural Resources; Ecosystem; Environmental Policy; Fires; Forests; Geography; Housing; Human Activities; Humans; Mediterranean Region; Population Density; Risk Management; Southwestern United States,2014-11,2014,515,7525,58-66,Closed,Article,"Moritz, Max A.; Batllori, Enric; Bradstock, Ross A.; Gill, A. Malcolm; Handmer, John; Hessburg, Paul F.; Leonard, Justin; McCaffrey, Sarah; Odion, Dennis C.; Schoennagel, Tania; Syphard, Alexandra D.","Moritz, Max A.","Moritz, Max A. (University of California, Berkeley); Batllori, Enric (University of California, Berkeley); Bradstock, Ross A. (University of Wollongong); Gill, A. Malcolm (Australian National University); Handmer, John (RMIT University); Hessburg, Paul F. (US Forest Service); Leonard, Justin (Commonwealth Scientific and Industrial Research Organisation); McCaffrey, Sarah (US Forest Service); Odion, Dennis C. (University of California, Santa Barbara); Schoennagel, Tania (University of Colorado Boulder); Syphard, Alexandra D. ()",282,153,4.32,55.67,,https://app.dimensions.ai/details/publication/pub.1025365018,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
34,100,pub.1000225053,10.1016/j.landusepol.2014.06.020,,,"Modeling residential development in California from 2000 to 2050: Integrating wildfire risk, wildland and agricultural encroachment",Land Use Policy,,,2014-11,2014,41,,438-452,All OA; Gold,Article,"Mann, Michael L.; Berck, Peter; Moritz, Max A.; Batllori, Enric; Baldwin, James G.; Gately, Conor K.; Cameron, D. Richard","Mann, Michael L.","Mann, Michael L. (George Washington University; University of California, Berkeley); Berck, Peter (University of California, Berkeley); Moritz, Max A. (University of California, Berkeley); Batllori, Enric (University of California, Berkeley); Baldwin, James G. (Boston University); Gately, Conor K. (Boston University); Cameron, D. Richard (The Nature Conservancy)",24,9,,3.92,https://doi.org/10.1016/j.landusepol.2014.06.020,https://app.dimensions.ai/details/publication/pub.1000225053,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
35,400,pub.1044469449,10.1371/journal.pone.0110637,25337785,PMC4206446,Remote Sensing Analysis of Vegetation Recovery following Short-Interval Fires in Southern California Shrublands,PLoS ONE,,California; Climate; Ecosystem; Fires; Plant Development; Plant Dispersal; Plants; Remote Sensing Technology,2014-10-22,2014,9,10,e110637,All OA; Gold,Article,"Meng, Ran; Dennison, Philip E.; D’Antonio, Carla M.; Moritz, Max A.",,"Meng, Ran (University of Utah); Dennison, Philip E. (University of Utah); D’Antonio, Carla M. (University of California, Santa Barbara); Moritz, Max A. (University of California, Berkeley)",19,10,0.27,3.1,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0110637&type=printable,https://app.dimensions.ai/details/publication/pub.1044469449,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
36,400,pub.1032920356,10.1890/13-1477.1,29160658,,An analysis of controls on fire activity in boreal Canada: comparing models built with different temporal resolutions,Ecological Applications,,"Canada; Models, Statistical; Taiga; Time Factors; Wildfires",2014-09,2014,24,6,1341-1356,Closed,Article,"Parisien, Marc-André; Parks, Sean A.; Krawchuk, Meg A.; Little, John M.; Flannigan, Mike D.; Gowman, Lynn M.; Moritz, Max A.",,"Parisien, Marc-André (University of Alberta); Parks, Sean A. (US Forest Service); Krawchuk, Meg A. (Simon Fraser University); Little, John M. (); Flannigan, Mike D. (University of Alberta); Gowman, Lynn M. (); Moritz, Max A. (University of California, Berkeley)",37,10,0.93,,,https://app.dimensions.ai/details/publication/pub.1032920356,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
37,100,pub.1018675649,10.1002/env.2287,,,Burning issues: statistical analyses of global fire data to inform assessments of environmental change,Environmetrics,,,2014-09,2014,25,6,472-481,Closed,Article,"Krawchuk, M. A.; Moritz, M. A.",,"Krawchuk, M. A. (Simon Fraser University); Moritz, M. A. (University of California, Berkeley)",35,13,,7.91,,https://app.dimensions.ai/details/publication/pub.1018675649,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
38,400,pub.1017111762,10.1016/j.tree.2014.04.006,24875589,,"Fine-grain modeling of species’ response to climate change: holdouts, stepping-stones, and microrefugia",Trends in Ecology & Evolution,,Animal Distribution; Climate Change; Conservation of Natural Resources; Microclimate; Plant Dispersal,2014-07,2014,29,7,390-397,Closed,Article,"Hannah, Lee; Flint, Lorraine; Syphard, Alexandra D.; Moritz, Max A.; Buckley, Lauren B.; McCullough, Ian M.",,"Hannah, Lee (Conservation International); Flint, Lorraine (); Syphard, Alexandra D. (); Moritz, Max A. (University of California, Berkeley); Buckley, Lauren B. (University of Washington); McCullough, Ian M. (University of California, Santa Barbara)",130,63,2.9,21.21,,https://app.dimensions.ai/details/publication/pub.1017111762,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
39,100,pub.1047727130,10.1002/2014gl059576,,,"Large wildfire trends in the western United States, 1984–2011",Geophysical Research Letters,,,2014-04-28,2014,41,8,2928-2933,All OA; Gold,Article,"Dennison, Philip E.; Brewer, Simon C.; Arnold, James D.; Moritz, Max A.",,"Dennison, Philip E. (University of Utah); Brewer, Simon C. (University of Utah); Arnold, James D. (University of Utah); Moritz, Max A. (University of California, Berkeley)",336,173,,54.82,http://onlinelibrary.wiley.com/doi/10.1002/2014GL059576/pdf,https://app.dimensions.ai/details/publication/pub.1047727130,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
40,100,pub.1017752505,10.1111/jbi.12285,,,"Pyrogeography, historical ecology, and the human dimensions of fire regimes",Journal of Biogeography,,,2014-04,2014,41,4,833-836,All OA; Gold,Article,"Roos, Christopher I.; Bowman, David M. J. S.; Balch, Jennifer K.; Artaxo, Paulo; Bond, William J.; Cochrane, Mark; D'Antonio, Carla M.; DeFries, Ruth; Mack, Michelle; Johnston, Fay H.; Krawchuk, Meg A.; Kull, Christian A.; Moritz, Max A.; Pyne, Stephen; Scott, Andrew C.; Swetnam, Thomas W.",,"Roos, Christopher I. (Southern Methodist University); Bowman, David M. J. S. (University of Tasmania); Balch, Jennifer K. (Pennsylvania State University); Artaxo, Paulo (University of Sao Paulo); Bond, William J. (University of Cape Town); Cochrane, Mark (South Dakota State University); D'Antonio, Carla M. (University of California, Santa Barbara); DeFries, Ruth (Columbia University); Mack, Michelle (University of Florida); Johnston, Fay H. (University of Tasmania); Krawchuk, Meg A. (Simon Fraser University); Kull, Christian A. (Monash University); Moritz, Max A. (University of California, Berkeley); Pyne, Stephen (Arizona State University); Scott, Andrew C. (Royal Holloway University of London); Swetnam, Thomas W. (University of Arizona)",18,5,,2.94,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jbi.12285,https://app.dimensions.ai/details/publication/pub.1017752505,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
41,400,pub.1007790513,10.1371/journal.pone.0087852,24498383,PMC3912150,Examining Historical and Current Mixed-Severity Fire Regimes in Ponderosa Pine and Mixed-Conifer Forests of Western North America,PLoS ONE,,"Coniferophyta; Ecosystem; Fires; Forestry; History, 19th Century; History, 20th Century; History, 21st Century; North America; Pinus ponderosa; Weather",2014-02-03,2014,9,2,e87852,All OA; Gold,Article,"Odion, Dennis C.; Hanson, Chad T.; Arsenault, André; Baker, William L.; DellaSala, Dominick A.; Hutto, Richard L.; Klenner, Walt; Moritz, Max A.; Sherriff, Rosemary L.; Veblen, Thomas T.; Williams, Mark A.",,"Odion, Dennis C. (University of California, Santa Barbara; Southern Oregon University); Hanson, Chad T. (Earth Island Institute); Arsenault, André (); Baker, William L. (University of Wyoming); DellaSala, Dominick A. (); Hutto, Richard L. (University of Montana); Klenner, Walt (); Moritz, Max A. (University of California, Berkeley); Sherriff, Rosemary L. (Humboldt State University); Veblen, Thomas T. (University of Colorado Boulder); Williams, Mark A. (University of Wyoming)",94,29,1.36,19.44,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0087852&type=printable,https://app.dimensions.ai/details/publication/pub.1007790513,0602 Ecology; 0705 Forestry Sciences; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0705 Forestry Sciences,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
42,100,pub.1034662481,10.1111/geb.12065,,,Climate change‐induced shifts in fire for Mediterranean ecosystems,Global Ecology and Biogeography,,,2013-10,2013,22,10,1118-1129,Closed,Article,"Batllori, Enric; Parisien, Marc‐André; Krawchuk, Meg A.; Moritz, Max A.",,"Batllori, Enric (University of California, Berkeley); Parisien, Marc‐André (Canadian Forest Service); Krawchuk, Meg A. (Simon Fraser University); Moritz, Max A. (University of California, Berkeley)",79,31,,11.63,,https://app.dimensions.ai/details/publication/pub.1034662481,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
43,400,pub.1046773589,10.1111/nyas.12104,23581682,,Bounded ranges of variation as a framework for future conservation and fire management,Annals of the New York Academy of Sciences,,,2013-05,2013,1286,1,92-107,Closed,Article,"Moritz, Max A.; Hurteau, Matthew D.; Suding, Katharine N.; D'Antonio, Carla M.",,"Moritz, Max A. (); Hurteau, Matthew D. (); Suding, Katharine N. (); D'Antonio, Carla M. ()",32,7,0.54,5.64,,https://app.dimensions.ai/details/publication/pub.1046773589,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
44,100,pub.1047734137,10.1071/wf12140,,,Short-term physiological effects of smoke on grapevine leaves,International Journal of Wildland Fire,,,2013,2013,22,7,933-946,All OA; Gold,Article,"Bell, T. L.; Stephens, S. L.; Moritz, M. A.",,"Bell, T. L. (University of Sydney); Stephens, S. L. (University of California, Berkeley); Moritz, M. A. (University of California, Berkeley)",4,0,,0.7,http://www.publish.csiro.au/wf/pdf/WF12140,https://app.dimensions.ai/details/publication/pub.1047734137,0602 Ecology; 0502 Environmental Science and Management; 0705 Forestry Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0705 Forestry Sciences,05 Environmental Sciences,06 Biological Sciences
45,100,pub.1011419101,10.1016/b978-0-12-384719-5.00034-4,,,"Disturbance, Mechanisms of",,Encyclopedia of Biodiversity,,2013,2013,,,562-567,Closed,Chapter,"Davis, Frank W.; Moritz, Max A.",,"Davis, Frank W. (University of California, Santa Barbara); Moritz, Max A. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1011419101,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
46,300,pub.1023256656,10.1038/487273a,22810656,,Wildfires ignite debate on global warming,Nature,,Fires; Global Warming; Public Opinion; United States,2012-07,2012,487,7407,273-273,All OA; Gold,Article,"Moritz, Max A.",,"Moritz, Max A. (University of California, Berkeley)",5,1,0.09,,http://www.nature.com:80/polopoly_fs/1.11025!/menu/main/topColumns/topLeftColumn/pdf/487273a.pdf,https://app.dimensions.ai/details/publication/pub.1023256656,,,,,,
47,100,pub.1018253744,10.1890/es11-00345.1,,,Climate change and disruptions to global fire activity,Ecosphere,,,2012-06,2012,3,6,1-22,All OA; Gold,Article,"Moritz, Max A.; Parisien, Marc-André; Batllori, Enric; Krawchuk, Meg A.; Van Dorn, Jeff; Ganz, David J.; Hayhoe, Katharine",,"Moritz, Max A. (University of California, Berkeley); Parisien, Marc-André (University of California, Berkeley); Batllori, Enric (University of California, Berkeley); Krawchuk, Meg A. (University of California, Berkeley); Van Dorn, Jeff (); Ganz, David J. (The Nature Conservancy); Hayhoe, Katharine (Texas Tech University)",363,118,,62.04,https://doi.org/10.1890/es11-00345.1,https://app.dimensions.ai/details/publication/pub.1018253744,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
48,100,pub.1027180456,10.1111/j.1654-1103.2011.01340.x,,,Sudden oak death disease progression across two forest types and spatial scales,Journal of Vegetation Science,,,2012-02,2012,23,1,151-163,Closed,Article,"Ramage, Benjamin S.; Forrestel, Alison B.; Moritz, Max A.; O'Hara, Kevin L.",,"Ramage, Benjamin S. (University of California, Berkeley); Forrestel, Alison B. (University of California, Berkeley); Moritz, Max A. (University of California, Berkeley); O'Hara, Kevin L. (University of California, Berkeley)",12,2,,2.28,,https://app.dimensions.ai/details/publication/pub.1027180456,0705 Forestry Sciences; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,07 Agricultural and Veterinary Sciences,,,
49,400,pub.1033964506,10.1371/journal.pone.0029212,22279530,PMC3260958,Land Management Practices Associated with House Loss in Wildfires,PLoS ONE,,Biomass; Climate Change; Conservation of Natural Resources; Ecosystem; Fires; Forestry; Housing; Humans; Logistic Models; Population Dynamics; Trees; Urbanization; Victoria,2012-01-18,2012,7,1,e29212,All OA; Gold,Article,"Gibbons, Philip; van Bommel, Linda; Gill, A. Malcolm; Cary, Geoffrey J.; Driscoll, Don A.; Bradstock, Ross A.; Knight, Emma; Moritz, Max A.; Stephens, Scott L.; Lindenmayer, David B.",,"Gibbons, Philip (Australian National University); van Bommel, Linda (Australian National University); Gill, A. Malcolm (Australian National University); Cary, Geoffrey J. (Australian National University); Driscoll, Don A. (Australian National University); Bradstock, Ross A. (University of Wollongong); Knight, Emma (Australian National University); Moritz, Max A. (University of California, Berkeley); Stephens, Scott L. (University of California, Berkeley); Lindenmayer, David B. (Australian National University)",93,15,1.16,17.65,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0029212&type=printable,https://app.dimensions.ai/details/publication/pub.1033964506,0705 Forestry Sciences; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,07 Agricultural and Veterinary Sciences,,,
50,200,pub.1016609524,10.1155/2012/493970,,,Erratum to “Physiological Effects of Smoke Exposure on Deciduous and Conifer Tree Species”,International Journal of Forestry Research,,,2012,2012,2012,,1-1,All OA; Gold,Article,"Calder, W. John; Lifferth, Greg; Moritz, Max A.; St. Clair, Samuel B.",,"Calder, W. John (Brigham Young University); Lifferth, Greg (Brigham Young University); Moritz, Max A. (University of California, Berkeley); St. Clair, Samuel B. (Brigham Young University)",0,0,,0,http://downloads.hindawi.com/journals/ijfr/2012/493970.pdf,https://app.dimensions.ai/details/publication/pub.1016609524,0705 Forestry Sciences; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,07 Agricultural and Veterinary Sciences,,,
51,100,pub.1017271774,10.1071/wf11044,,,Spatial variability in wildfire probability across the western United States,International Journal of Wildland Fire,,,2012,2012,21,4,313-327,Closed,Article,"Parisien, Marc-André; Snetsinger, Susan; Greenberg, Jonathan A.; Nelson, Cara R.; Schoennagel, Tania; Dobrowski, Solomon Z.; Moritz, Max A.",,"Parisien, Marc-André (Canadian Forest Service; University of California, Berkeley); Snetsinger, Susan (University of Montana); Greenberg, Jonathan A. (University of Illinois at Urbana Champaign); Nelson, Cara R. (University of Montana); Schoennagel, Tania (University of Colorado Boulder); Dobrowski, Solomon Z. (University of Montana); Moritz, Max A. (University of California, Berkeley)",78,26,,13.33,,https://app.dimensions.ai/details/publication/pub.1017271774,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
52,400,pub.1000169966,10.1111/j.1365-2699.2011.02595.x,22279247,PMC3263421,The human dimension of fire regimes on Earth,Journal of Biogeography,,,2011-12,2011,38,12,2223-2236,All OA; Gold,Article,"Bowman, David M J S; Balch, Jennifer; Artaxo, Paulo; Bond, William J; Cochrane, Mark A; D'Antonio, Carla M; DeFries, Ruth; Johnston, Fay H; Keeley, Jon E; Krawchuk, Meg A; Kull, Christian A; Mack, Michelle; Moritz, Max A; Pyne, Stephen; Roos, Christopher I; Scott, Andrew C; Sodhi, Navjot S; Swetnam, Thomas W; Whittaker, Robert",,"Bowman, David M J S (University of Tasmania); Balch, Jennifer (); Artaxo, Paulo (University of Sao Paulo); Bond, William J (University of Cape Town); Cochrane, Mark A (South Dakota State University); D'Antonio, Carla M (University of California, Santa Barbara); DeFries, Ruth (Columbia University); Johnston, Fay H (University of Tasmania); Keeley, Jon E (United States Geological Survey; University of California Los Angeles); Krawchuk, Meg A (University of California, Berkeley); Kull, Christian A (Monash University); Mack, Michelle (University of Florida); Moritz, Max A (University of California, Berkeley); Pyne, Stephen (Arizona State University); Roos, Christopher I (Southern Methodist University); Scott, Andrew C (Royal Holloway University of London); Sodhi, Navjot S (National University of Singapore); Swetnam, Thomas W (University of Arizona); Whittaker, Robert (University of Arizona)",389,139,3.06,48.87,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2699.2011.02595.x,https://app.dimensions.ai/details/publication/pub.1000169966,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
53,100,pub.1032084349,10.1007/s10021-011-9474-2,,,"Contributions of Ignitions, Fuels, and Weather to the Spatial Patterns of Burn Probability of a Boreal Landscape",Ecosystems,,,2011-11,2011,14,7,1141-1155,Closed,Article,"Parisien, Marc-André; Parks, Sean A.; Miller, Carol; Krawchuk, Meg A.; Heathcott, Mark; Moritz, Max A.","Parisien, Marc-André","Parisien, Marc-André (University of California, Berkeley; Canadian Forest Service); Parks, Sean A. (US Forest Service); Miller, Carol (US Forest Service); Krawchuk, Meg A. (Simon Fraser University); Heathcott, Mark (Parks Canada); Moritz, Max A. (University of California, Berkeley)",47,14,,5.35,,https://app.dimensions.ai/details/publication/pub.1032084349,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
54,100,pub.1072532884,10.4996/fireecology.0702114,,,"Landscape-Scale Vegetation Change Following Fire in Point Reyes, California, USA",Fire Ecology,,,2011-08,2011,7,2,114-128,All OA; Gold,Article,"Forrestel, Alison B.; Moritz, Max A.; Stephens, Scott L.","Forrestel, Alison B.","Forrestel, Alison B. (University of California, Berkeley); Moritz, Max A. (University of California, Berkeley); Stephens, Scott L. (University of California, Berkeley)",14,6,,1.53,https://doi.org/10.4996/fireecology.0702114,https://app.dimensions.ai/details/publication/pub.1072532884,0501 Ecological Applications; 05 Environmental Sciences; 0602 Ecology; 06 Biological Sciences,0501 Ecological Applications,05 Environmental Sciences,0602 Ecology,06 Biological Sciences,
