,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Erica Fleishman. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
27,400,pub.1000621877,10.1007/978-1-4939-2981-8_36,26610973,,Current Status of Development of Methods to Assess Effects of Cumulative or Aggregated Underwater Sounds on Marine Mammals,Advances in Experimental Medicine and Biology,The Effects of Noise on Aquatic Life II,Animals; Aquatic Organisms; Bowhead Whale; Environmental Monitoring; Sound; Water,2016,2016,875,,303-311,Closed,Chapter,"Fleishman, Erica; Streever, Bill; Angliss, Robyn; Clark, Christopher W.; Ellison, William T.; Frankel, Adam; Gedamke, Jason; Leu, Matthias; McKenna, Megan; Racca, Roberto; Simmons, Samantha; Suydam, Robert","Fleishman, Erica","Fleishman, Erica (University of California, Davis); Streever, Bill (); Angliss, Robyn (Alaska Fisheries Science Center); Clark, Christopher W. (Cornell University); Ellison, William T. (Marine Acoustics (United States)); Frankel, Adam (); Gedamke, Jason (); Leu, Matthias (William & Mary); McKenna, Megan (); Racca, Roberto (); Simmons, Samantha (Marine Mammal Commission); Suydam, Robert (North Slope Borough)",2,1,0,,,https://app.dimensions.ai/details/publication/pub.1000621877,11 Medical and Health Sciences,11 Medical and Health Sciences,,,,
28,100,pub.1053699777,10.1643/ce-15-233,,,Estimates of Survival Probability from Two Populations of Giant Gartersnakes in Californias Great Central Valley,Copeia,,,2015-12,2015,103,4,1026-1036,"All OA; Green, Published",Article,"Hansen, Eric C.; Scherer, Rick D.; White, Gary C.; Dickson, Brett G.; Fleishman, Erica",,"Hansen, Eric C. (); Scherer, Rick D. (Conservation Science Partners); White, Gary C. (Colorado State University); Dickson, Brett G. (Conservation Science Partners); Fleishman, Erica (University of California, Davis)",7,5,,1.37,http://www.bioone.org/doi/pdf/10.1670/16-143,https://app.dimensions.ai/details/publication/pub.1053699777,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
29,200,pub.1071164204,10.3354/esr00699,,,Expert elicitation of seasonal abundance of North Atlantic right whales Eubalaena glacialis in the mid-Atlantic,Endangered Species Research,,,2015-11-04,2015,29,1,51-58,All OA; Gold,Article,"Oedekoven, C; Fleishman, E; Hamilton, P; Clark, JS; Schick, RS",,"Oedekoven, C (); Fleishman, E (); Hamilton, P (); Clark, JS (); Schick, RS ()",3,2,,,https://www.int-res.com/articles/esr2016/29/n029p051.pdf,https://app.dimensions.ai/details/publication/pub.1071164204,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
30,200,pub.1037364237,10.1002/rse2.1,,,"A new platform to support research at the interface of remote sensing, ecology and conservation",Remote Sensing in Ecology and Conservation,,,2015-10,2015,1,1,1-3,All OA; Gold,Article,"Pettorelli, Nathalie; Nagendra, Harini; Williams, Rob; Rocchini, Duccio; Fleishman, Erica",,"Pettorelli, Nathalie (Zoological Society of London); Nagendra, Harini (Azim Premji University); Williams, Rob (); Rocchini, Duccio (); Fleishman, Erica (University of California, Davis)",10,2,,,https://zslpublications.onlinelibrary.wiley.com/doi/pdf/10.1002/rse2.1,https://app.dimensions.ai/details/publication/pub.1037364237,,,,,,
31,100,pub.1041152206,10.3120/madr-62-03-139-149.1,,,"Genetic Structure And Demography Of Chloropyron palmatum, An Endangered Annual Plant",Madroño,,,2015-07,2015,62,3,139-149,Closed,Article,"Ayres, Debra R.; Fleishman, Erica; Launer, Alan; Lee, Alex K.; Zippin, David",,"Ayres, Debra R. (); Fleishman, Erica (); Launer, Alan (); Lee, Alex K. (); Zippin, David ()",2,0,,0.35,,https://app.dimensions.ai/details/publication/pub.1041152206,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
32,400,pub.1047897018,10.1016/j.tree.2014.11.002,25433442,,A horizon scan of global conservation issues for 2015,Trends in Ecology & Evolution,,Climate Change; Conservation of Natural Resources; Ecosystem; Environment; Environmental Pollution; Insecticides,2015-01,2015,30,1,17-24,"All OA; Green, Published",Article,"Sutherland, William J.; Clout, Mick; Depledge, Michael; Dicks, Lynn V.; Dinsdale, Jason; Entwistle, Abigail C.; Fleishman, Erica; Gibbons, David W.; Keim, Brandon; Lickorish, Fiona A.; Monk, Kathryn A.; Ockendon, Nancy; Peck, Lloyd S.; Pretty, Jules; Rockström, Johan; Spalding, Mark D.; Tonneijck, Femke H.; Wintle, Bonnie C.",,"Sutherland, William J. (University of Cambridge); Clout, Mick (University of Auckland); Depledge, Michael (University of Exeter); Dicks, Lynn V. (University of Cambridge); Dinsdale, Jason (Environment Agency); Entwistle, Abigail C. (); Fleishman, Erica (University of California, Davis); Gibbons, David W. (Royal Society for the Protection of Birds); Keim, Brandon (); Lickorish, Fiona A. (Cranfield University); Monk, Kathryn A. (Natural Resources Wales); Ockendon, Nancy (University of Cambridge); Peck, Lloyd S. (British Antarctic Survey); Pretty, Jules (University of Essex); Rockström, Johan (Stockholm University); Spalding, Mark D. (University of Cambridge); Tonneijck, Femke H. (Wetlands International); Wintle, Bonnie C. (University of Melbourne)",29,12,0.82,7.12,http://dspace.lib.cranfield.ac.uk/bitstream/1826/8674/1/A_horizon_scan_of_global_conversation_issues-2014.pdf,https://app.dimensions.ai/details/publication/pub.1047897018,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
33,100,pub.1002509454,10.1111/aec.12162,,,A scrutiny of the evidence for pressure‐induced state shifts in estuarine and nearshore ecosystems,Austral Ecology,,,2014-12,2014,39,8,898-906,Closed,Article,"Nally, Ralph Mac; Albano, Christine; Fleishman, Erica",,"Nally, Ralph Mac (University of Canberra); Albano, Christine (University of California, Davis); Fleishman, Erica (University of California, Davis)",18,7,,3.33,,https://app.dimensions.ai/details/publication/pub.1002509454,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
34,100,pub.1027360538,10.1890/es13-00387.1,,,"Projecting current and future location, quality, and connectivity of habitat for breeding birds in the Great Basin",Ecosphere,,,2014-07,2014,5,7,1-29,All OA; Gold,Article,"Fleishman, E.; Thomson, J. R.; Kalies, E. L.; Dickson, B. G.; Dobkin, D.S.; Leu, M.",,"Fleishman, E. (University of California, Davis); Thomson, J. R. (Monash University); Kalies, E. L. (Northern Arizona University); Dickson, B. G. (); Dobkin, D.S. (); Leu, M. (William & Mary)",8,5,,1.58,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES13-00387.1,https://app.dimensions.ai/details/publication/pub.1027360538,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
35,100,pub.1011411956,10.1093/biosci/bit035,,,Policymakers’ and Scientists’ Ranks of Research Priorities for Resource-Management Policy,BioScience,,,2014-03-01,2014,64,3,219-228,All OA; Gold,Article,"Rudd, Murray A.; Fleishman, Erica",,"Rudd, Murray A. (); Fleishman, Erica ()",23,6,,4.82,https://academic.oup.com/bioscience/article-pdf/64/3/219/17461985/bit035.pdf,https://app.dimensions.ai/details/publication/pub.1011411956,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
36,100,pub.1050743779,10.1111/geb.12091,,,Climate‐change‐driven deterioration of the condition of floodplain forest and the future for the avifauna,Global Ecology and Biogeography,,,2014-02,2014,23,2,191-202,Closed,Article,"Nally, Ralph Mac; Lada, Hania; Cunningham, Shaun C.; Thomson, James R.; Fleishman, Erica",,"Nally, Ralph Mac (Monash University); Lada, Hania (Monash University); Cunningham, Shaun C. (Monash University); Thomson, James R. (Monash University); Fleishman, Erica (University of California, Davis)",16,5,,2.96,,https://app.dimensions.ai/details/publication/pub.1050743779,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
37,200,pub.1071171326,10.3354/meps10547,,,Using short-term measures of behaviour to estimate long-term fitness of southern elephant seals,Marine Ecology Progress Series,,,2014-01-27,2014,496,,99-108,"All OA; Green, Accepted & Submitted",Article,"New, LF; Clark, JS; Costa, DP; Fleishman, E; Hindell, MA; Klanjšček, T; Lusseau, D; Kraus, S; McMahon, CR; Robinson, PW; Schick, RS; Schwarz, LK; Simmons, SE; Thomas, L; Tyack, P; Harwood, J",,"New, LF (); Clark, JS (); Costa, DP (); Fleishman, E (); Hindell, MA (); Klanjšček, T (); Lusseau, D (); Kraus, S (); McMahon, CR (); Robinson, PW (); Schick, RS (); Schwarz, LK (); Simmons, SE (); Thomas, L (); Tyack, P (); Harwood, J ()",84,28,,15.3,http://www.int-res.com/articles/suppl/m496p099_supp.pdf,https://app.dimensions.ai/details/publication/pub.1071171326,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
38,400,pub.1044313594,10.1016/j.tree.2013.11.004,24332318,PMC3884124,A horizon scan of global conservation issues for 2014,Trends in Ecology & Evolution,,Biodiversity; Climate Change; Communicable Diseases; Conservation of Natural Resources; Introduced Species,2014-01,2014,29,1,15-22,All OA; Gold,Article,"Sutherland, William J.; Aveling, Rosalind; Brooks, Thomas M.; Clout, Mick; Dicks, Lynn V.; Fellman, Liz; Fleishman, Erica; Gibbons, David W.; Keim, Brandon; Lickorish, Fiona; Monk, Kathryn A.; Mortimer, Diana; Peck, Lloyd S.; Pretty, Jules; Rockström, Johan; Rodríguez, Jon Paul; Smith, Rebecca K.; Spalding, Mark D.; Tonneijck, Femke H.; Watkinson, Andrew R.",,"Sutherland, William J. (University of Cambridge); Aveling, Rosalind (); Brooks, Thomas M. (International Union for Conservation of Nature); Clout, Mick (University of Auckland); Dicks, Lynn V. (University of Cambridge); Fellman, Liz (Natural Environment Research Council); Fleishman, Erica (University of California, Davis); Gibbons, David W. (Royal Society for the Protection of Birds); Keim, Brandon (); Lickorish, Fiona (Cranfield University); Monk, Kathryn A. (Natural Resources Wales); Mortimer, Diana (Joint Nature Conservation Committee); Peck, Lloyd S. (British Antarctic Survey); Pretty, Jules (University of Essex); Rockström, Johan (Stockholm University); Rodríguez, Jon Paul (); Smith, Rebecca K. (University of Cambridge); Spalding, Mark D. (University of Cambridge); Tonneijck, Femke H. (Wetlands International); Watkinson, Andrew R. (University of East Anglia)",65,18,2.16,8.45,https://doi.org/10.1016/j.tree.2013.11.004,https://app.dimensions.ai/details/publication/pub.1044313594,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
39,400,pub.1045314239,10.1002/etc.2352,24115122,PMC3949623,Predicted transport of pyrethroid insecticides from an urban landscape to surface water,Environmental Toxicology and Chemistry,,"California; Environmental Monitoring; Insecticides; Nitriles; Pyrethrins; Rivers; Water Movements; Water Pollutants, Chemical",2013-11,2013,32,11,2469-2477,"All OA; Green, Accepted & Submitted",Article,"Jorgenson, Brant; Fleishman, Erica; Macneale, Kate H.; Schlenk, Daniel; Scholz, Nathaniel L.; Spromberg, Julann A.; Werner, Inge; Weston, Donald P.; Xiao, Qingfu; Young, Thomas M.; Zhang, Minghua",,"Jorgenson, Brant (University of California, Davis); Fleishman, Erica (University of California, Davis); Macneale, Kate H. (National Oceanic and Atmospheric Administration); Schlenk, Daniel (University of California, Riverside); Scholz, Nathaniel L. (); Spromberg, Julann A. (National Oceanic and Atmospheric Administration); Werner, Inge (); Weston, Donald P. (University of California, Berkeley); Xiao, Qingfu (University of California, Davis); Young, Thomas M. (University of California, Davis); Zhang, Minghua (University of California, Davis)",12,4,1.17,1.82,http://europepmc.org/articles/pmc3949623?pdf=render,https://app.dimensions.ai/details/publication/pub.1045314239,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
40,100,pub.1052335053,10.1111/1365-2664.12137,,,Steelhead vulnerability to climate change in the Pacific Northwest,Journal of Applied Ecology,,,2013-07,2013,50,5,1093-1104,All OA; Gold,Article,"Wade, Alisa A.; Beechie, Timothy J.; Fleishman, Erica; Mantua, Nathan J.; Wu, Huan; Kimball, John S.; Stoms, David M.; Stanford, Jack A.",,"Wade, Alisa A. (University of California, Santa Barbara); Beechie, Timothy J. (Northwest Fisheries Science Center); Fleishman, Erica (); Mantua, Nathan J. (Southwest Fisheries Science Center); Wu, Huan (University of Montana); Kimball, John S. (University of Montana); Stoms, David M. (California Energy Commission); Stanford, Jack A. (University of Montana)",26,14,,5.35,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2664.12137,https://app.dimensions.ai/details/publication/pub.1052335053,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
41,400,pub.1031720725,10.1016/j.tree.2012.10.022,23219597,,A horizon scan of global conservation issues for 2013,Trends in Ecology & Evolution,,"Animals; Antimicrobial Cationic Peptides; Aquaculture; Aquatic Organisms; Autoimmune Diseases; Biodiversity; Cocos; Conservation of Natural Resources; Coral Reefs; DNA; Extinction, Biological; Extraction and Processing Industry; Forestry; Humans; Hypersensitivity; Nuclear Power Plants; Nucleic Acids; Printing; Solar Energy; Thorium; Water Cycle",2013-01,2013,28,1,16-22,"All OA; Green, Published",Article,"Sutherland, William J.; Bardsley, Sarah; Clout, Mick; Depledge, Michael H.; Dicks, Lynn V.; Fellman, Liz; Fleishman, Erica; Gibbons, David W.; Keim, Brandon; Lickorish, Fiona; Margerison, Ceri; Monk, Kathryn A.; Norris, Kenneth; Peck, Lloyd S.; Prior, Stephanie V.; Scharlemann, Jörn P.W.; Spalding, Mark D.; Watkinson, Andrew R.",,"Sutherland, William J. (University of Cambridge); Bardsley, Sarah (Environment Agency); Clout, Mick (University of Auckland); Depledge, Michael H. (University of Exeter); Dicks, Lynn V. (University of Cambridge); Fellman, Liz (Natural Environment Research Council); Fleishman, Erica (University of California, Davis); Gibbons, David W. (Royal Society for the Protection of Birds); Keim, Brandon (); Lickorish, Fiona (Cranfield University); Margerison, Ceri (British Ecological Society); Monk, Kathryn A. (Environment Agency); Norris, Kenneth (University of Reading); Peck, Lloyd S. (British Antarctic Survey); Prior, Stephanie V. (University of Cambridge); Scharlemann, Jörn P.W. (University of Sussex); Spalding, Mark D. (University of Cambridge); Watkinson, Andrew R. (University of East Anglia)",44,8,0.94,8.23,http://dspace.lib.cranfield.ac.uk/bitstream/1826/8674/1/A_horizon_scan_of_global_conversation_issues-2014.pdf,https://app.dimensions.ai/details/publication/pub.1031720725,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
42,100,pub.1087456402,10.5822/978-1-61091-484-0_8,,,Natural Ecosystems,,Assessment of Climate Change in the Southwest United States,,2013,2013,,,148-167,Closed,Chapter,"Fleishman, Erica; Belnap, Jayne; Cobb, Neil; Enquist, Carolyn A. F.; Ford, Karl; MacDonald, Glen; Pellant, Mike; Schoennagel, Tania; Schmit, Lara M.; Schwartz, Mark; van Drunick, Suzanne; Westerling, Anthony LeRoy; Keyser, Alisa; Lucas, Ryan; Sabo, John","Fleishman, Erica","Fleishman, Erica (University of California, Davis); Belnap, Jayne (United States Geological Survey); Cobb, Neil (Northern Arizona University); Enquist, Carolyn A. F. (Wildlife Society); Ford, Karl (Bureau of Land Management); MacDonald, Glen (University of California Los Angeles); Pellant, Mike (Bureau of Land Management); Schoennagel, Tania (); Schmit, Lara M. (Northern Arizona University); Schwartz, Mark (University of California, Davis); van Drunick, Suzanne (); Westerling, Anthony LeRoy (University of California, Merced); Keyser, Alisa (University of California, Merced); Lucas, Ryan (University of California, Merced); Sabo, John (Arizona State University)",1,0,,0.14,,https://app.dimensions.ai/details/publication/pub.1087456402,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
43,100,pub.1087456384,10.5822/978-1-61091-484-0_1,,,Summary for Decision Makers,,Assessment of Climate Change in the Southwest United States,,2013,2013,,,1-20,"All OA; Green, Accepted & Submitted",Chapter,"Overpeck, Jonathan; Garfin, Gregg; Jardine, Angela; Busch, David E.; Cayan, Dan; Dettinger, Michael; Fleishman, Erica; Gershunov, Alexander; MacDonald, Glen; Redmond, Kelly T.; Travis, William R.; Udall, Bradley","Overpeck, Jonathan","Overpeck, Jonathan (University of Arizona); Garfin, Gregg (University of Arizona); Jardine, Angela (University of Arizona); Busch, David E. (United States Geological Survey); Cayan, Dan (Scripps Institution of Oceanography); Dettinger, Michael (University of Arizona); Fleishman, Erica (University of California, Davis); Gershunov, Alexander (Scripps Institution of Oceanography); MacDonald, Glen (University of California Los Angeles); Redmond, Kelly T. (); Travis, William R. (); Udall, Bradley ()",10,0,,1.66,http://www.millenniumassessment.org/documents_sga/SAfMA_Integrated_Report.pdf,https://app.dimensions.ai/details/publication/pub.1087456384,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,
44,400,pub.1027143484,10.1007/s00267-012-9893-7,22773068,PMC3410031,The Adaptation for Conservation Targets (ACT) Framework: A Tool for Incorporating Climate Change into Natural Resource Management,Environmental Management,,Climate Change; Conservation of Natural Resources; Ecosystem; Forecasting; Goals; Rivers; United States; Water Supply,2012-09,2012,50,3,341-351,All OA; Gold,Article,"Cross, Molly S.; Zavaleta, Erika S.; Bachelet, Dominique; Brooks, Marjorie L.; Enquist, Carolyn A. F.; Fleishman, Erica; Graumlich, Lisa J.; Groves, Craig R.; Hannah, Lee; Hansen, Lara; Hayward, Greg; Koopman, Marni; Lawler, Joshua J.; Malcolm, Jay; Nordgren, John; Petersen, Brian; Rowland, Erika L.; Scott, Daniel; Shafer, Sarah L.; Shaw, M. Rebecca; Tabor, Gary M.",,"Cross, Molly S. (Wildlife Conservation Society); Zavaleta, Erika S. (University of California, Santa Cruz); Bachelet, Dominique (); Brooks, Marjorie L. (Southern Illinois University System); Enquist, Carolyn A. F. (Wildlife Society); Fleishman, Erica (University of California, Santa Barbara; University of California, Davis); Graumlich, Lisa J. (University of Washington); Groves, Craig R. (The Nature Conservancy); Hannah, Lee (Conservation International); Hansen, Lara (); Hayward, Greg (); Koopman, Marni (); Lawler, Joshua J. (); Malcolm, Jay (University of Toronto); Nordgren, John (Kresge Foundation); Petersen, Brian (Michigan State University); Rowland, Erika L. (Wildlife Conservation Society); Scott, Daniel (University of Waterloo); Shafer, Sarah L. (United States Geological Survey); Shaw, M. Rebecca (); Tabor, Gary M. (Center for Large Landscape Conservation)",64,12,0.76,10.31,https://link.springer.com/content/pdf/10.1007%2Fs00267-012-9893-7.pdf,https://app.dimensions.ai/details/publication/pub.1027143484,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
45,100,pub.1002854985,10.1016/j.marpol.2012.01.005,,,Application of non-market valuation to California's coastal policy decisions,Marine Policy,,,2012-09,2012,36,5,1166-1171,Closed,Article,"Raheem, N.; Colt, S.; Fleishman, E.; Talberth, J.; Swedeen, P.; Boyle, K.J.; Rudd, M.; Lopez, R.D.; Crocker, D.; Bohan, D.; O'Higgins, T.; Willer, C.; Boumans, R.M.","Raheem, N.","Raheem, N. (Emerson College); Colt, S. (University of Alaska Anchorage); Fleishman, E. (University of California, Santa Barbara; University of Vermont); Talberth, J. (); Swedeen, P. (); Boyle, K.J. (Virginia Tech); Rudd, M. (University of York); Lopez, R.D. (); Crocker, D. (California Department of Fish and Wildlife); Bohan, D. (); O'Higgins, T. (Scottish Association For Marine Science); Willer, C. (); Boumans, R.M. (University of Vermont)",15,1,,2.56,,https://app.dimensions.ai/details/publication/pub.1002854985,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
46,100,pub.1044684543,10.1525/bio.2012.62.4.13,,,"A Perspective on Modern Pesticides, Pelagic Fish Declines, and Unknown Ecological Resilience in Highly Managed Ecosystems",BioScience,,,2012-04,2012,62,4,428-434,All OA; Gold,Article,"Scholz, Nathaniel L.; Fleishman, Erica; Brown, Larry; Werner, Inge; Johnson, Michael L.; Brooks, Marjorie L.; Mitchelmore, Carys L.; Schlenk, Daniel",,"Scholz, Nathaniel L. (); Fleishman, Erica (); Brown, Larry (); Werner, Inge (); Johnson, Michael L. (); Brooks, Marjorie L. (); Mitchelmore, Carys L. (); Schlenk, Daniel ()",22,4,,3.14,https://academic.oup.com/bioscience/article-pdf/62/4/428/19406144/62-4-428.pdf,https://app.dimensions.ai/details/publication/pub.1044684543,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
47,100,pub.1042490465,10.1007/s12237-011-9459-6,,,"Life Histories, Salinity Zones, and Sublethal Contributions of Contaminants to Pelagic Fish Declines Illustrated with a Case Study of San Francisco Estuary, California, USA",Chesapeake Science,,,2012-03,2012,35,2,603-621,"All OA; Green, Accepted & Submitted",Article,"Brooks, Marjorie L.; Fleishman, Erica; Brown, Larry R.; Lehman, Peggy W.; Werner, Inge; Scholz, Nathaniel; Mitchelmore, Carys; Lovvorn, James R.; Johnson, Michael L.; Schlenk, Daniel; van Drunick, Suzanne; Drever, James I.; Stoms, David M.; Parker, Alex E.; Dugdale, Richard","Brooks, Marjorie L.","Brooks, Marjorie L. (Southern Illinois University System); Fleishman, Erica (University of California, Santa Barbara; University of California, Davis); Brown, Larry R. (); Lehman, Peggy W. (California Natural Resources Agency); Werner, Inge (University of California, Davis); Scholz, Nathaniel (Northwest Fisheries Science Center); Mitchelmore, Carys (University of Maryland Center For Environmental Sciences); Lovvorn, James R. (Southern Illinois University System); Johnson, Michael L. (University of California, Davis); Schlenk, Daniel (University of California, Riverside); van Drunick, Suzanne (University of Colorado Boulder); Drever, James I. (University of Wyoming); Stoms, David M. (University of California, Santa Barbara); Parker, Alex E. (San Francisco State University); Dugdale, Richard (San Francisco State University)",31,4,,3.72,http://csum-dspace.calstate.edu/bitstream/10211.3/130173/1/Brooks%20et%20al%202012%20Full%20citation.pdf,https://app.dimensions.ai/details/publication/pub.1042490465,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
48,400,pub.1005934489,10.1016/j.tree.2011.10.011,22133790,,A horizon scan of global conservation issues for 2012,Trends in Ecology & Evolution,,Biodiversity; Conservation of Natural Resources,2012-01,2012,27,1,12-18,"All OA; Green, Published",Article,"Sutherland, William J.; Aveling, Ros; Bennun, Leon; Chapman, Eleanor; Clout, Mick; Côté, Isabelle M.; Depledge, Michael H.; Dicks, Lynn V.; Dobson, Andrew P.; Fellman, Liz; Fleishman, Erica; Gibbons, David W.; Keim, Brandon; Lickorish, Fiona; Lindenmayer, David B.; Monk, Kathryn A.; Norris, Kenneth; Peck, Lloyd S.; Prior, Stephanie V.; Scharlemann, Jörn P.W.; Spalding, Mark; Watkinson, Andrew R.",,"Sutherland, William J. (University of Cambridge); Aveling, Ros (); Bennun, Leon (BirdLife international); Chapman, Eleanor (Environment Agency); Clout, Mick (University of Auckland); Côté, Isabelle M. (Simon Fraser University); Depledge, Michael H. (Royal Cornwall Hospital); Dicks, Lynn V. (University of Cambridge); Dobson, Andrew P. (); Fellman, Liz (Natural Environment Research Council); Fleishman, Erica (University of California, Davis); Gibbons, David W. (Royal Society for the Protection of Birds); Keim, Brandon (); Lickorish, Fiona (Cranfield University); Lindenmayer, David B. (Australian National University); Monk, Kathryn A. (Environment Agency); Norris, Kenneth (University of Reading); Peck, Lloyd S. (British Antarctic Survey); Prior, Stephanie V. (University of Cambridge); Scharlemann, Jörn P.W. (); Spalding, Mark (); Watkinson, Andrew R. (University of East Anglia)",53,7,0.96,9.06,http://dspace.lib.cranfield.ac.uk/bitstream/1826/8674/1/A_horizon_scan_of_global_conversation_issues-2014.pdf,https://app.dimensions.ai/details/publication/pub.1005934489,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
49,200,pub.1096955984,10.2118/158090-ms,,,Early Progress and Challenges in Assessing Aggregate Sound Exposure and Associated Effects on Marine Mammals,,"International Conference on Health, Safety and Environment in Oil and Gas Exploration and Production",,2012,2012,,,,Closed,Proceeding,"Streever, Bill; Ellison, William T.; Frankel, Adam S.; Racca, Roberto; Angliss, Robyn; Clark, Christopher; Fleishman, Erica; Guerra, Melania; Leu, Matthias; Oliveira, Shirley; Sformo, Todd; Southall, Brandon; Suydam, Robert",,"Streever, Bill (); Ellison, William T. (); Frankel, Adam S. (); Racca, Roberto (); Angliss, Robyn (); Clark, Christopher (); Fleishman, Erica (); Guerra, Melania (); Leu, Matthias (); Oliveira, Shirley (); Sformo, Todd (); Southall, Brandon (); Suydam, Robert ()",4,0,,,,https://app.dimensions.ai/details/publication/pub.1096955984,,,,,,
50,200,pub.1004737022,10.1111/j.1523-1739.2011.01782.x,22070253,,Introduction,Conservation Biology,,Conservation of Natural Resources,2011-12,2011,25,6,1072-1074,All OA; Gold,Article,"Redford, Kent H.; Fleishman, Erica",,"Redford, Kent H. (Wildlife Conservation Society); Fleishman, Erica (Wildlife Conservation Society)",1,0,0,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1523-1739.2011.01782.x,https://app.dimensions.ai/details/publication/pub.1004737022,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
51,100,pub.1018770446,10.1111/j.2041-210x.2010.00083.x,,,Methods for collaboratively identifying research priorities and emerging issues in science and policy,Methods in Ecology and Evolution,,,2011-06,2011,2,3,238-247,All OA; Gold,Article,"Sutherland, William J.; Fleishman, Erica; Mascia, Michael B.; Pretty, Jules; Rudd, Murray A.",,"Sutherland, William J. (University of Cambridge); Fleishman, Erica (University of California, Santa Barbara); Mascia, Michael B. (World Wildlife Fund); Pretty, Jules (University of Essex); Rudd, Murray A. (University of York)",152,38,,21.71,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/j.2041-210X.2010.00083.x,https://app.dimensions.ai/details/publication/pub.1018770446,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,05 Environmental Sciences,06 Biological Sciences
