,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Jeff Dozier. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
36,100,pub.1029345906,10.1016/j.advwatres.2008.08.011,,,Time–space continuity of daily maps of fractional snow cover and albedo from MODIS,Advances in Water Resources,,,2008-11,2008,31,11,1515-1526,Closed,Article,"Dozier, Jeff; Painter, Thomas H.; Rittger, Karl; Frew, James E.","Dozier, Jeff","Dozier, Jeff (University of California, Santa Barbara); Painter, Thomas H. (University of Utah); Rittger, Karl (University of California, Santa Barbara); Frew, James E. (University of California, Santa Barbara)",119,29,,37.05,,https://app.dimensions.ai/details/publication/pub.1029345906,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
37,100,pub.1071116542,10.3189/002214308786570827,,,Spatially distributed temperatures at the base of two mountain snowpacks measured with fiber-optic sensors,Journal of Glaciology,,,2008,2008,54,187,673-679,All OA; Gold,Article,"Tyler, Scott W.; Burak, Susan A.; McNamara, James P.; Lamontagne, Aurele; Selker, John S.; Dozier, Jeff",,"Tyler, Scott W. (University of Nevada Reno); Burak, Susan A. (University of Nevada Reno); McNamara, James P. (Boise State University); Lamontagne, Aurele (Boise State University); Selker, John S. (Oregon State University); Dozier, Jeff (University of California, Santa Barbara)",49,9,,4.84,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/459D8E09BD9F9C6A53780CBA42712709/S0022143000208770a.pdf/div-class-title-spatially-distributed-temperatures-at-the-base-of-two-mountain-snowpacks-measured-with-fiber-optic-sensors-div.pdf,https://app.dimensions.ai/details/publication/pub.1071116542,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
38,100,pub.1008563497,10.1029/2008gl035788,,,Avalanche crown‐depth distributions,Geophysical Research Letters,,,2008,2008,35,23,,All OA; Gold,Article,"Bair, Edward H.; Dozier, Jeff; Birkeland, Karl W.",,"Bair, Edward H. (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara); Birkeland, Karl W. (United States Department of Agriculture)",8,1,,2.49,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008GL035788,https://app.dimensions.ai/details/publication/pub.1008563497,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
39,100,pub.1004060904,10.1016/j.rse.2007.02.034,,,A parameterized multiple-scattering model for microwave emission from dry snow,Remote Sensing of Environment,,,2007-11,2007,111,2-3,357-366,Closed,Article,"Jiang, Lingmei; Shi, Jiancheng; Tjuatja, Saibun; Dozier, Jeff; Chen, Kunshan; Zhang, Lixin","Jiang, Lingmei","Jiang, Lingmei (Beijing Normal University); Shi, Jiancheng (University of California, Santa Barbara); Tjuatja, Saibun (The University of Texas at Arlington); Dozier, Jeff (University of California, Santa Barbara); Chen, Kunshan (National Central University); Zhang, Lixin (Beijing Normal University)",33,4,,4.31,,https://app.dimensions.ai/details/publication/pub.1004060904,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
40,100,pub.1023293708,10.1016/j.coldregions.2006.08.006,,,Scanning electron microscopy of impurity structures in snow,Cold Regions Science and Technology,,,2007-01,2007,47,1-2,80-89,Closed,Article,"Rosenthal, Walter; Saleta, Jose; Dozier, Jeff","Dozier, Jeff","Rosenthal, Walter (University of California, Santa Barbara); Saleta, Jose (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara)",23,3,,4.19,,https://app.dimensions.ai/details/publication/pub.1023293708,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
41,100,pub.1035885935,10.1029/2007jd008742,,,Remote sensing of Greenland ice sheet using multispectral near‐infrared and visible radiances,Journal of Geophysical Research,,,2007,2007,112,D24,,All OA; Gold,Article,"Chylek, Petr; McCabe, M.; Dubey, M. K.; Dozier, J.",,"Chylek, Petr (Los Alamos National Laboratory); McCabe, M. (Los Alamos National Laboratory); Dubey, M. K. (Los Alamos National Laboratory); Dozier, J. (University of California, Santa Barbara)",12,3,,1.94,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2007JD008742,https://app.dimensions.ai/details/publication/pub.1035885935,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
42,100,pub.1027505687,10.1029/2005wr004509,,,Measuring the expressed abundance of the three phases of water with an imaging spectrometer over melting snow,Water Resources Research,,,2006-10,2006,42,10,,All OA; Gold,Article,"Green, Robert O.; Painter, Thomas H.; Roberts, Dar A.; Dozier, Jeff",,"Green, Robert O. (Jet Propulsion Lab); Painter, Thomas H. (University of Colorado Boulder); Roberts, Dar A. (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara)",55,13,,10.71,http://onlinelibrary.wiley.com/doi/10.1029/2005WR004509/pdf,https://app.dimensions.ai/details/publication/pub.1027505687,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
43,100,pub.1045851884,10.1029/2005wr004387,,,Mountain hydrology of the western United States,Water Resources Research,,,2006-08,2006,42,8,,All OA; Gold,Article,"Bales, Roger C.; Molotch, Noah P.; Painter, Thomas H.; Dettinger, Michael D.; Rice, Robert; Dozier, Jeff",,"Bales, Roger C. (University of California, Merced); Molotch, Noah P. (Cooperative Institute for Research in Environmental Sciences; University of California Los Angeles); Painter, Thomas H. (University of Colorado Boulder); Dettinger, Michael D. (United States Geological Survey); Rice, Robert (University of California, Merced); Dozier, Jeff (University of California, Santa Barbara)",331,69,,64.43,http://onlinelibrary.wiley.com/doi/10.1029/2005WR004387/pdf,https://app.dimensions.ai/details/publication/pub.1045851884,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
44,100,pub.1094701733,10.1109/igarss.2006.519,,,The Future of Imaging Spectroscopy – Prospective Technologies and Applications,,2006 IEEE International Symposium on Geoscience and Remote Sensing,,2006-07,2006,,,2005-2009,"All OA; Green, Published",Proceeding,"Schaepman, Michael E.; Green, Robert O.; Ungar, Stephen G.; Curtiss, Brian; Boardman, Joe; Plaza, Antonio J.; Gao, Bo-Cai; Ustin, Susan; Kokaly, Raymond; Miller, John R.; Jacquemoud, Stéphane; Ben-Dor, Eyal; Clark, Roger; Davis, Curtiss; Dozier, Jeff; Goodenough, David G.; Roberts, Dar; Swayze, Gregg; Milton, Edward J.; Goetz, Alex F.H.",,"Schaepman, Michael E. (Wageningen University & Research); Green, Robert O. (Jet Propulsion Lab); Ungar, Stephen G. (); Curtiss, Brian (Analytical Spectral Devices (United States)); Boardman, Joe (Analytical Imaging and Geophysics (United States)); Plaza, Antonio J. (University of Extremadura); Gao, Bo-Cai (United States Naval Research Laboratory); Ustin, Susan (University of California, Davis); Kokaly, Raymond (United States Geological Survey); Miller, John R. (York University); Jacquemoud, Stéphane (Paris Diderot University); Ben-Dor, Eyal (Tel Aviv University); Clark, Roger (United States Geological Survey); Davis, Curtiss (Oregon State University); Dozier, Jeff (University of California, Santa Barbara); Goodenough, David G. (Natural Resources Canada); Roberts, Dar (University of California, Santa Barbara); Swayze, Gregg (United States Geological Survey); Milton, Edward J. (University of Southampton); Goetz, Alex F.H. (University of Colorado System)",12,0,,3.07,http://library.wur.nl/WebQuery/wurpubs/fulltext/22382,https://app.dimensions.ai/details/publication/pub.1094701733,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
45,100,pub.1022636713,10.1002/hyp.5586,,,Estimating the spatial distribution of snow water equivalent in an alpine basin using binary regression tree models: the impact of digital elevation data and independent variable selection,Hydrological Processes,,,2005-04-30,2005,19,7,1459-1479,Closed,Article,"Molotch, N. P.; Colee, M. T.; Bales, R. C.; Dozier, J.",,"Molotch, N. P. (University of Arizona; Cooperative Institute for Research in Environmental Sciences); Colee, M. T. (University of California, Santa Barbara); Bales, R. C. (University of California, Merced); Dozier, J. (University of California, Santa Barbara)",119,18,,15.43,,https://app.dimensions.ai/details/publication/pub.1022636713,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
46,100,pub.1018003547,10.1146/annurev.earth.32.101802.120404,,,MULTISPECTRAL AND HYPERSPECTRAL REMOTE SENSING OF ALPINE SNOW PROPERTIES,Annual Review of Earth and Planetary Sciences,,,2004-05-19,2004,32,1,465-494,Closed,Article,"Dozier, Jeff; Painter, Thomas H.",,"Dozier, Jeff (University of California, Santa Barbara); Painter, Thomas H. (University of Colorado Boulder)",195,34,,,,https://app.dimensions.ai/details/publication/pub.1018003547,02 Physical Sciences; 04 Earth Sciences,02 Physical Sciences,04 Earth Sciences,,,
47,100,pub.1021522487,10.1016/j.rse.2003.09.007,,,The effect of anisotropic reflectance on imaging spectroscopy of snow properties,Remote Sensing of Environment,,,2004-02,2004,89,4,409-422,Closed,Article,"Painter, Thomas H.; Dozier, Jeff","Painter, Thomas H.","Painter, Thomas H. (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara)",32,3,,3.86,,https://app.dimensions.ai/details/publication/pub.1021522487,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
48,100,pub.1044818114,10.1029/2003jd004458,,,Measurements of the hemispherical‐directional reflectance of snow at fine spectral and angular resolution,Journal of Geophysical Research,,,2004,2004,109,D18,,All OA; Gold,Article,"Painter, Thomas H.; Dozier, Jeff",,"Painter, Thomas H. (University of California, Santa Barbara; University of Colorado Boulder); Dozier, Jeff (University of California, Santa Barbara)",94,10,,11.63,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2003JD004458,https://app.dimensions.ai/details/publication/pub.1044818114,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
49,100,pub.1026743449,10.1029/2003gl019063,,,Incorporating remotely‐sensed snow albedo into a spatially‐distributed snowmelt model,Geophysical Research Letters,,,2004,2004,31,3,,All OA; Gold,Article,"Molotch, Noah P.; Painter, Thomas H.; Bales, Roger C.; Dozier, Jeff",,"Molotch, Noah P. (University of Arizona); Painter, Thomas H. (University of Colorado Boulder); Bales, Roger C. (University of California, Merced); Dozier, Jeff (University of California, Santa Barbara)",62,5,,17.24,http://onlinelibrary.wiley.com/doi/10.1029/2003GL019063/pdf,https://app.dimensions.ai/details/publication/pub.1026743449,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
50,200,pub.1057727262,10.1063/1.1626011,,,Automated spectro-goniometer: A spherical robot for the field measurement of the directional reflectance of snow,Review of Scientific Instruments,,,2003-12,2003,74,12,5179-5188,Closed,Article,"Painter, Thomas H.; Paden, Brad; Dozier, Jeff",,"Painter, Thomas H. (); Paden, Brad (); Dozier, Jeff ()",40,2,,,,https://app.dimensions.ai/details/publication/pub.1057727262,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
51,100,pub.1032727911,10.1016/s0034-4257(02)00187-6,,,Retrieval of subpixel snow-covered area and grain size from imaging spectrometer data,Remote Sensing of Environment,,,2003-04,2003,85,1,64-77,"All OA; Green, Published",Article,"Painter, Thomas H.; Dozier, Jeff; Roberts, Dar A.; Davis, Robert E.; Green, Robert O.","Dozier, Jeff","Painter, Thomas H. (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Davis, Robert E. (Cold Regions Research and Engineering Laboratory); Green, Robert O. (Jet Propulsion Lab)",225,25,,26.73,http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1081&context=usarmyresearch,https://app.dimensions.ai/details/publication/pub.1032727911,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
52,100,pub.1071117408,10.3189/172756402781817987,,,Spectral snow-reflectance models for grain-size and liquid-water fraction in melting snow for the solar-reflected spectrum,Annals of Glaciology,,,2002,2002,34,,71-73,All OA; Gold,Article,"Green, Robert O.; Dozier, Jeff; Roberts, Dar; Painter, Tom",,"Green, Robert O. (); Dozier, Jeff (); Roberts, Dar (); Painter, Tom ()",46,6,,4.46,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/AF7B8358496D46F1F3A1C0A98962B0BB/S0260305500256607a.pdf/div-class-title-spectral-snow-reflectance-models-for-grain-size-and-liquid-water-fraction-in-melting-snow-for-the-solar-reflected-spectrum-div.pdf,https://app.dimensions.ai/details/publication/pub.1071117408,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics,0401 Atmospheric Sciences,
53,200,pub.1042921264,10.1063/1.1445565,,,John Edward ‘Jack’ Estes,Physics Today,,,2001-12,2001,54,12,75-75,All OA; Gold,Article,"Dozier, Jeff; Asrar, Ghassem",,"Dozier, Jeff (); Asrar, Ghassem ()",0,0,,,http://physicstoday.scitation.org/doi/pdf/10.1063/1.1445565,https://app.dimensions.ai/details/publication/pub.1042921264,01 Mathematical Sciences; 02 Physical Sciences,01 Mathematical Sciences,02 Physical Sciences,,,
54,400,pub.1014447552,10.1128/aem.67.11.5267-5272.2001,11679355,PMC93300,Detection and Quantification of Snow Algae with an Airborne Imaging Spectrometer,Applied and Environmental Microbiology,,"Aircraft; Altitude; Animals; Biomass; Chlamydomonas; Colony Count, Microbial; Image Processing, Computer-Assisted; Snow; Spectrophotometry, Infrared; United States; United States National Aeronautics and Space Administration",2001-11-01,2001,67,11,5267-5272,All OA; Gold,Article,"Painter, Thomas H.; Duval, Brian; Thomas, William H.; Mendez, Maria; Heintzelman, Sara; Dozier, Jeff",,"Painter, Thomas H. (University of California, Santa Barbara); Duval, Brian (Massachusetts Department of Environmental Protection); Thomas, William H. (Scripps Institution of Oceanography); Mendez, Maria (Scripps Institution of Oceanography); Heintzelman, Sara (Scripps Institution of Oceanography); Dozier, Jeff (University of California, Santa Barbara)",64,16,0.36,7.68,https://aem.asm.org/content/67/11/5267.full.pdf,https://app.dimensions.ai/details/publication/pub.1014447552,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
55,200,pub.1101915012,10.1117/12.494275,,,Validation of an automated algorithm for the retrieval of snow-covered area and snow grain size from imaging spectrometer data,Proceedings of SPIE,Imaging Spectrometry VI,,2000-11-15,2000,4132,,382,Closed,Proceeding,"Painter, Thomas H.; Dozier, Jeff; Roberts, Dar A.",,"Painter, Thomas H. (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1101915012,,,,,,
56,100,pub.1048302219,10.1016/s0034-4257(00)00111-5,,,A Hyperspectral Method for Remotely Sensing the Grain Size of Snow,Remote Sensing of Environment,,,2000-11,2000,74,2,207-216,Closed,Article,"Nolin, Anne W; Dozier, Jeff","Nolin, Anne W","Nolin, Anne W (University of Colorado Boulder); Dozier, Jeff (University of California Los Angeles)",188,31,,23.01,,https://app.dimensions.ai/details/publication/pub.1048302219,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
57,100,pub.1061162497,10.1109/36.885196,,,Estimation of snow water equivalence using SIR-C/X-SAR. II. Inferring snow depth and particle size,IEEE Transactions on Geoscience and Remote Sensing,,,2000,2000,38,6,2475-2488,Closed,Article,"Shi, J.; Dozier, J.",,"Shi, J. (University of California, Santa Barbara); Dozier, J. ()",93,15,,12.15,,https://app.dimensions.ai/details/publication/pub.1061162497,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
58,100,pub.1061162496,10.1109/36.885195,,,Estimation of snow water equivalence using SIR-C/X-SAR. I. Inferring snow density and subsurface properties,IEEE Transactions on Geoscience and Remote Sensing,,,2000,2000,38,6,2465-2474,Closed,Article,"Shi, J.; Dozier, J.",,"Shi, J. (University of California, Santa Barbara); Dozier, J. ()",128,18,,14.29,,https://app.dimensions.ai/details/publication/pub.1061162496,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
59,100,pub.1091872347,10.3189/s002214300000126x,,,"Observations of snowpack ripening in the Sierra Nevada, California, U.S.A.",Journal of Glaciology,,,1999,1999,45,151,409-416,All OA; Gold,Article,"Kattelmann, Richard; Dozier, Jeff",,"Kattelmann, Richard (); Dozier, Jeff (University of California, Santa Barbara)",6,1,,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/9E602127A2E8E1DEAD6EB4BB00A8A4B1/S002214300000126Xa.pdf/div-class-title-observations-of-snowpack-ripening-in-the-sierra-nevada-california-u-s-a-div.pdf,https://app.dimensions.ai/details/publication/pub.1091872347,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
60,100,pub.1083703524,10.1017/s002214300000126x,,,"Observations of snowpack ripening in the Sierra Nevada, California, U.S.A.",Journal of Glaciology,,,1999,1999,45,151,409-416,All OA; Gold,Article,"Kattelmann, Richard; Dozier, Jeff",,"Kattelmann, Richard (); Dozier, Jeff ()",17,2,,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/9E602127A2E8E1DEAD6EB4BB00A8A4B1/S002214300000126Xa.pdf/div-class-title-observations-of-snowpack-ripening-in-the-sierra-nevada-california-u-s-a-div.pdf,https://app.dimensions.ai/details/publication/pub.1083703524,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
61,100,pub.1037149646,10.1007/978-3-642-60030-2_21,,,Snowpack Accumulation Trends in California,,Ice Physics and the Natural Environment,,1999,1999,,,299-304,Closed,Chapter,"Johnson, Tammy; Dozier, Jeff; Michaelsen, Joel",,"Johnson, Tammy (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1037149646,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
62,100,pub.1043452743,10.1029/98je01893,,,"Classification of surface types using SIR‐C/X‐SAR, Mount Everest Area, Tibet",Journal of Geophysical Research,,,1998-10-25,1998,103,E11,25823-25837,Closed,Article,"Albright, Thomas P.; Painter, Thomas H.; Roberts, Dar A.; Shi, Jiancheng; Dozier, Jeff; Fielding, Eric",,"Albright, Thomas P. (); Painter, Thomas H. (); Roberts, Dar A. (); Shi, Jiancheng (); Dozier, Jeff (); Fielding, Eric ()",13,2,,,,https://app.dimensions.ai/details/publication/pub.1043452743,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
63,100,pub.1027407962,10.1016/s0034-4257(98)00041-8,,,The Effect of Grain Size on Spectral Mixture Analysis of Snow-Covered Area from AVIRIS Data,Remote Sensing of Environment,,,1998-09,1998,65,3,320-332,Closed,Article,"Painter, Thomas H.; Roberts, Dar A.; Green, Robert O.; Dozier, Jeff","Painter, Thomas H.","Painter, Thomas H. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Green, Robert O. (University of California, Santa Barbara; Jet Propulsion Lab); Dozier, Jeff (University of California, Santa Barbara)",135,11,,,,https://app.dimensions.ai/details/publication/pub.1027407962,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
64,100,pub.1039050997,10.1029/97wr03755,,,Estimating the spatial distribution of snow in mountain basins using remote sensing and energy balance modeling,Water Resources Research,,,1998-05,1998,34,5,1275-1285,"All OA; Green, Published",Article,"Cline, Donald W.; Bales, Roger C.; Dozier, Jeff",,"Cline, Donald W. (); Bales, Roger C. (); Dozier, Jeff ()",134,16,,,http://fiesta.bren.ucsb.edu/~dozier/Pubs/97WR03755.pdf,https://app.dimensions.ai/details/publication/pub.1039050997,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
65,200,pub.1050111189,10.1117/12.278931,,,Estimating snow cover and grain size from AVIRIS data with spectral mixture analysis and modeled snow spectra,Proceedings of SPIE,Imaging Spectrometry III,,1997-10-31,1997,3118,,120-131,Closed,Proceeding,"Painter, Thomas H.; Roberts, Dar A.; Green, Robert O.; Dozier, Jeff",,"Painter, Thomas H. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Green, Robert O. (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1050111189,,,,,,
66,100,pub.1006812574,10.1002/(sici)1099-1085(19970630)11:8<971::aid-hyp514>3.0.co;2-y,,,EFFECTS OF CLIMATE CHANGE ON INLAND WATERS OF THE PACIFIC COASTAL MOUNTAINS AND WESTERN GREAT BASIN OF NORTH AMERICA,Hydrological Processes,,,1997-06-30,1997,11,8,971-992,"All OA; Green, Accepted & Submitted",Article,"MELACK, JOHN M.; DOZIER, JEFF; GOLDMAN, CHARLES R.; GREENLAND, DAVID; MILNER, ALEXANDER M.; NAIMAN, ROBERT J.",,"MELACK, JOHN M. (University of California, Santa Barbara); DOZIER, JEFF (University of California, Santa Barbara); GOLDMAN, CHARLES R. (University of California, Davis); GREENLAND, DAVID (University of Oregon); MILNER, ALEXANDER M. (University of Birmingham); NAIMAN, ROBERT J. (University of Washington)",51,4,,,http://www2.bren.ucsb.edu/~dozier/Pubs/MelackHydrolProc1997.pdf,https://app.dimensions.ai/details/publication/pub.1006812574,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0405 Oceanography,
67,100,pub.1010979677,10.1175/1520-0442(1997)010<1393:cahcit>2.0.co;2,,,"Climatic and Hydrologic Changes in the Tien Shan, Central Asia",Journal of Climate,,,1997-06,1997,10,6,1393-1404,Closed,Article,"Aizen, Vladimir B.; Aizen, Elena M.; Melack, John M.; Dozier, Jeff",,"Aizen, Vladimir B. (); Aizen, Elena M. (); Melack, John M. (); Dozier, Jeff ()",213,37,,,,https://app.dimensions.ai/details/publication/pub.1010979677,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
68,100,pub.1027435479,10.1145/248603.248609,,,Data management for earth system science,ACM SIGMOD Record,,,1997-03-01,1997,26,1,27-31,"All OA; Green, Accepted & Submitted",Article,"Frew, James; Dozier, Jeff",,"Frew, James (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara)",9,0,,,http://fiesta.bren.ucsb.edu/~dozier/Pubs/FrewDozier-SIGMOD1997.pdf,https://app.dimensions.ai/details/publication/pub.1027435479,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
69,100,pub.1019933663,10.1016/s0034-4257(96)00146-0,,,Mapping seasonal snow with SIR-C/X-SAR in mountainous areas,Remote Sensing of Environment,,,1997-02,1997,59,2,294-307,Closed,Article,"Shi, Jiancheng; Dozier, Jeff","Shi, Jiancheng","Shi, Jiancheng (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara)",69,7,,,,https://app.dimensions.ai/details/publication/pub.1019933663,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
70,100,pub.1094583758,10.1109/igarss.1997.608891,,,Effects of large structure in wet snow cover on SAR measurements,,IGARSS'97. 1997 IEEE International Geoscience and Remote Sensing Symposium Proceedings. Remote Sensing - A Scientific Vision for Sustainable Development,,1997,1997,4,,1451-1453 vol.4,Closed,Proceeding,"Shi, Jiancheng; Kattlemann, R.; Dozier, J.",,"Shi, Jiancheng (University of California, Santa Barbara); Kattlemann, R. (); Dozier, J. ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1094583758,1005 Communications Technologies; 10 Technology,1005 Communications Technologies,10 Technology,,,
71,100,pub.1094539375,10.1109/igarss.1997.615205,,,Mapping snow cover with repeat pass synthetic aperture radar,,IGARSS'97. 1997 IEEE International Geoscience and Remote Sensing Symposium Proceedings. Remote Sensing - A Scientific Vision for Sustainable Development,,1997,1997,2,,628-630 vol.2,Closed,Proceeding,"Shi, Jiancheng; Hensley, S.; Dozier, J.",,"Shi, Jiancheng (University of California, Santa Barbara); Hensley, S. (); Dozier, J. ()",27,1,,,,https://app.dimensions.ai/details/publication/pub.1094539375,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
72,100,pub.1091948891,10.3189/s0022143000035115,,,"Glacial regime of the highest Tien Shan mountain, Pobeda-Khan Tengry massif",Journal of Glaciology,,,1997,1997,43,145,503-512,All OA; Gold,Article,"Aizen, Vladimir B.; Aizen, Elena M.; Dozier, Jeff; Melack, John M.; Sexton, David D.; Nesterov, Victor N.",,"Aizen, Vladimir B. (University of California, Santa Barbara); Aizen, Elena M. (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara); Sexton, David D. (University of Cambridge); Nesterov, Victor N. (University of California, Santa Barbara)",8,0,,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/433086A47BA26A7C6859D5E6C46C51EC/S0022143000035115a.pdf/div-class-title-glacial-regime-of-the-highest-tien-shan-mountain-pobeda-khan-tengry-massif-div.pdf,https://app.dimensions.ai/details/publication/pub.1091948891,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
