,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Derek B Booth. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
41,100,pub.1095381043,10.1109/igarss.2001.976073,,,Stream-Temperature Estimation from Thermal Infrared Images,,IGARSS 2001. Scanning the Present and Resolving the Future. Proceedings. IEEE 2001 International Geoscience and Remote Sensing Symposium (Cat. No.01CH37217),,2001,2001,1,,112-114,"All OA; Green, Published",Proceeding,"Jennifer, KAY; HANDCOCK], Rebecca N.; Gillespie, Alan; Konrad, Christopher; Burges, Stephen; Naveh, Nir; Booth, Derek",,"Jennifer, KAY (); HANDCOCK], Rebecca N. (); Gillespie, Alan (); Konrad, Christopher (University of Washington); Burges, Stephen (University of Washington); Naveh, Nir (University of Washington); Booth, Derek (University of Washington)",5,0,,0.4,https://researchrepository.murdoch.edu.au/id/eprint/35359/1/00976073.pdf,https://app.dimensions.ai/details/publication/pub.1095381043,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
42,100,pub.1010424501,10.1029/ws002p0017,,,Rates of Channel Erosion in Small Urban Streams,Water Science and Application,Land Use and Watersheds: Human Influence on Hydrology and Geomorphology in Urban and Forest Areas,,2001,2001,2,,17-38,"All OA; Green, Accepted & Submitted",Chapter,"Booth, Derek B.; Henshaw, Patricia C.",,"Booth, Derek B. (University of Washington); Henshaw, Patricia C. (University of Washington)",36,5,,,http://faculty.washington.edu/dbooth/Booth_Henshaw_AGU_Land_Use_Watersheds.PDF,https://app.dimensions.ai/details/publication/pub.1010424501,,,,,,
43,100,pub.1014007457,10.1111/j.1752-1688.2000.tb05722.x,,,NATURAL RESTABILIZATION OF STREAM CHANNELS IN URBAN WATERSHEDS1,JAWRA Journal of the American Water Resources Association,,,2000-12,2000,36,6,1219-1236,Closed,Article,"Henshaw, Patricia C.; Booth, Derek B.",,"Henshaw, Patricia C. (); Booth, Derek B. ()",54,2,,6.03,,https://app.dimensions.ai/details/publication/pub.1014007457,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
44,100,pub.1022972673,10.1080/01944369908976060,,,Field Evaluation of Permeable Pavement Systems for Improved Stormwater Management,Journal of the American Planning Association,,,1999-09-30,1999,65,3,314-325,Closed,Article,"Booth, Derek B.; Leavitt, Jennifer",,"Booth, Derek B. (); Leavitt, Jennifer ()",66,15,,,,https://app.dimensions.ai/details/publication/pub.1022972673,12 Built Environment and Design; 1205 Urban and Regional Planning,12 Built Environment and Design,1205 Urban and Regional Planning,,,
45,100,pub.1025606570,10.1111/j.1752-1688.1997.tb04126.x,,,"URBANIZATION OF AQUATIC SYSTEMS: DEGRADATION THRESHOLDS, STORMWATER DETECTION, AND THE LIMITS OF MITIGATION1",JAWRA Journal of the American Water Resources Association,,,1997-10,1997,33,5,1077-1090,Closed,Article,"Booth, Derek B.; Jackson, C. Rhett",,"Booth, Derek B. (); Jackson, C. Rhett ()",557,63,,,,https://app.dimensions.ai/details/publication/pub.1025606570,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
46,100,pub.1039814719,10.1130/0091-7613(1994)022<0695:giasot>2.3.co;2,,,"Glaciofluvial infilling and scour of the Puget Lowland, Washington, during ice-sheet glaciation",Geology,,,1994,1994,22,8,695-698,Closed,Article,"Booth, Derek B.",,"Booth, Derek B. (University of Washington)",52,3,,,,https://app.dimensions.ai/details/publication/pub.1039814719,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
47,100,pub.1009314555,10.1130/0016-7606(1993)105<0671:cncbsw>2.3.co;2,,,Channel networks carved by subglacial water: Observations and reconstruction in the eastern Puget Lowland of Washington,Geological Society of America Bulletin,,,1993-05,1993,105,5,671-683,Closed,Article,"BOOTH, DEREK B.; HALLET, BERNARD",,"BOOTH, DEREK B. (University of Washington); HALLET, BERNARD (University of Washington)",43,3,,,,https://app.dimensions.ai/details/publication/pub.1009314555,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
48,100,pub.1048866997,10.7202/032877ar,,,"Glacier Physics of the Puget Lobe, Southwest Cordilleran Ice Sheet",Géographie physique et Quaternaire,,,1991,1991,45,3,301-315,All OA; Gold,Article,"Booth, Derek B.",,"Booth, Derek B. ()",12,1,,,http://www.erudit.org/fr/revues/gpq/1991-v45-n3-gpq1938/032877ar.pdf,https://app.dimensions.ai/details/publication/pub.1048866997,,,,,,
49,100,pub.1018220515,10.1111/j.1752-1688.1990.tb01380.x,,,STREAM‐CHANNEL INCISION FOLLOWING DRAINAGE‐BASIN URBANIZATION1,JAWRA Journal of the American Water Resources Association,,,1990-06,1990,26,3,407-417,Closed,Article,"Booth, Derek B.",,"Booth, Derek B. ()",208,22,,,,https://app.dimensions.ai/details/publication/pub.1018220515,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
50,200,pub.1000797610,10.1016/0033-5894(87)90041-x,,,"Glacial Geologic Processes. By David Drewry. Edward Arnold Ltd., London, 1986, 276 pp., ill.",Quaternary Research,,,1987-07,1987,28,1,175-175,Closed,Article,"Booth, Derek B.",,"Booth, Derek B. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1000797610,2101 Archaeology; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 21 History and Archaeology; 04 Earth Sciences,2101 Archaeology,0406 Physical Geography and Environmental Geoscience,0403 Geology,21 History and Archaeology,04 Earth Sciences
51,100,pub.1034083883,10.1111/j.1502-3885.1986.tb00929.x,,,"The formation of ice‐marginal embankments into ice‐dammed lakes in the eastern Puget Lowland, Washington, U.S.A., during the late Pleistocene",Boreas,,,1986-09,1986,15,3,247-263,Closed,Article,"BOOTH, DEREK B.",,"BOOTH, DEREK B. (United States Geological Survey)",10,0,,,,https://app.dimensions.ai/details/publication/pub.1034083883,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
52,100,pub.1023864602,10.1016/0033-5894(86)90001-3,,,Mass Balance and Sliding Velocity of the Puget Lobe of the Cordilleran Ice Sheet During the Last Glaciation,Quaternary Research,,,1986-05,1986,25,3,269-280,Closed,Article,"Booth, Derek B.",,"Booth, Derek B. (United States Geological Survey)",24,1,,,,https://app.dimensions.ai/details/publication/pub.1023864602,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
53,100,pub.1037109322,10.1016/0165-232x(81)90001-x,,,Macroscopic behavior of freezing saturated silty soils,Cold Regions Science and Technology,,,1981-07,1981,4,3,163-174,Closed,Article,"Booth, Derek B.",,"Booth, Derek B. (Stanford University)",2,1,,,,https://app.dimensions.ai/details/publication/pub.1037109322,0905 Civil Engineering; 0911 Maritime Engineering; 09 Engineering; 0904 Chemical Engineering,0905 Civil Engineering,0911 Maritime Engineering,09 Engineering,0904 Chemical Engineering,
