,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Stephane Maritorena. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
23,100,pub.1037126142,10.1029/2005gl024310,,,Colored dissolved organic matter and its influence on the satellite‐based characterization of the ocean biosphere,Geophysical Research Letters,,,2005,2005,32,20,,All OA; Gold,Article,"Siegel, D. A.; Maritorena, S.; Nelson, N. B.; Behrenfeld, M. J.; McClain, C. R.",,"Siegel, D. A. (University of California, Santa Barbara); Maritorena, S. (University of California, Santa Barbara); Nelson, N. B. (University of California, Santa Barbara); Behrenfeld, M. J. (Oregon State University); McClain, C. R. (Goddard Space Flight Center)",112,21,,7.5,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005GL024310,https://app.dimensions.ai/details/publication/pub.1037126142,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
24,200,pub.1062449215,10.1126/science.1092704,14645833,,The Many Shades of Ocean Blue,Science,,"Algorithms; Biomass; Chlorophyll; Color; Ecosystem; Light; Oceanography; Optics and Photonics; Pacific Ocean; Phytoplankton; Scattering, Radiation; Seawater; Spacecraft; Water Movements",2003-11-28,2003,302,5650,1514-1515,Closed,Article,"Claustre, Hervé; Maritorena, Stéphane",,"Claustre, Hervé (Institut National des Sciences de l'Univers); Maritorena, Stéphane (University of California, Santa Barbara)",87,7,0.19,,,https://app.dimensions.ai/details/publication/pub.1062449215,,,,,,
25,100,pub.1016182612,10.1016/s0034-4257(02)00108-6,,,Simultaneous retrieval of oceanic and atmospheric parameters for ocean color imagery by spectral optimization: a validation,Remote Sensing of Environment,,,2003-02,2003,84,2,208-220,"All OA; Green, Accepted & Submitted",Article,"Chomko, Roman M; Gordon, Howard R; Maritorena, Stephane; Siegel, David A","Gordon, Howard R","Chomko, Roman M (University of Miami); Gordon, Howard R (University of Miami); Maritorena, Stephane (University of California, Santa Barbara); Siegel, David A (University of California, Santa Barbara)",45,4,,3.29,http://www.icess.ucsb.edu/~stephane/Chomko_et_al_RSE02.pdf,https://app.dimensions.ai/details/publication/pub.1016182612,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
26,100,pub.1011777162,10.1029/2001jc000965,,,Global distribution and dynamics of colored dissolved and detrital organic materials,Journal of Geophysical Research,,,2002-12,2002,107,C12,21-1-21-14,All OA; Gold,Article,"Siegel, D. A.; Maritorena, S.; Nelson, N. B.; Hansell, D. A.; Lorenzi‐Kayser, M.",,"Siegel, D. A. (University of California, Santa Barbara); Maritorena, S. (University of California, Santa Barbara); Nelson, N. B. (University of California, Santa Barbara); Hansell, D. A. (University of Miami); Lorenzi‐Kayser, M. (University of California, Santa Barbara)",309,42,,20.75,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2001JC000965,https://app.dimensions.ai/details/publication/pub.1011777162,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
27,400,pub.1065117248,10.1364/ao.41.002705,12027157,,Optimization of a semianalytical ocean color model for global-scale applications.,Applied Optics,,,2002-05-20,2002,41,15,2705-14,Closed,Article,"Maritorena, Stéphane; Siegel, David A; Peterson, Alan R",,"Maritorena, Stéphane (University of California, Santa Barbara); Siegel, David A (); Peterson, Alan R ()",600,79,3.32,121.38,,https://app.dimensions.ai/details/publication/pub.1065117248,09 Engineering; 0205 Optical Physics; 0906 Electrical and Electronic Engineering; 0913 Mechanical Engineering; 02 Physical Sciences,09 Engineering,0205 Optical Physics,0906 Electrical and Electronic Engineering,0913 Mechanical Engineering,02 Physical Sciences
28,100,pub.1047593104,10.1029/2001gl014056,,,Is desert dust making oligotrophic waters greener?,Geophysical Research Letters,,,2002-05-15,2002,29,10,107-1-107-4,All OA; Gold,Article,"Claustre, H.; Morel, A.; Hooker, S. B.; Babin, M.; Antoine, D.; Oubelkheir, K.; Bricaud, A.; Leblanc, K.; Quéguiner, B.; Maritorena, S.",,"Claustre, H. (); Morel, A. (); Hooker, S. B. (Goddard Space Flight Center); Babin, M. (); Antoine, D. (); Oubelkheir, K. (); Bricaud, A. (); Leblanc, K. (); Quéguiner, B. (); Maritorena, S. (University of California, Santa Barbara)",121,12,,8.13,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2001GL014056,https://app.dimensions.ai/details/publication/pub.1047593104,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
29,100,pub.1006767050,10.1016/s0399-1784(02)01189-1,,,Photoacclimatization in the zooxanthellae of Pocillopora verrucosa and comparison with a pelagic algal community,Oceanologica Acta,,,2002-05,2002,25,3-4,125-134,"All OA; Green, Published",Article,"Maritorena, Stéphane; Payri, Claude; Babin, Marcel; Claustre, Hervé; Bonnafous, Luc; Morel, André; Rodière, Michel","Maritorena, Stéphane","Maritorena, Stéphane (University of California, Santa Barbara; University of French Polynesia); Payri, Claude (University of French Polynesia); Babin, Marcel (); Claustre, Hervé (); Bonnafous, Luc (University of French Polynesia); Morel, André (); Rodière, Michel (University of French Polynesia)",3,1,,0.36,https://archimer.ifremer.fr/doc/00322/43313/42941.pdf,https://app.dimensions.ai/details/publication/pub.1006767050,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
30,100,pub.1051012897,10.1016/s0967-0637(01)00081-4,,,Phytoplankton pigment and absorption characteristics along meridional transects in the Atlantic Ocean,Deep Sea Research Part I Oceanographic Research Papers,,,2002-04,2002,49,4,637-660,"All OA; Green, Accepted & Submitted",Article,"Barlow, R.G; Aiken, J; Holligan, P.M; Cummings, D.G; Maritorena, S; Hooker, S","Barlow, R.G","Barlow, R.G (); Aiken, J (Plymouth Marine Laboratory); Holligan, P.M (National Oceanography Centre); Cummings, D.G (Plymouth Marine Laboratory); Maritorena, S (University of California, Santa Barbara); Hooker, S (Goddard Space Flight Center)",82,5,,5.51,http://www.icess.ucsb.edu/~stephane/Barlow_et_al_DSR2002_47.pdf,https://app.dimensions.ai/details/publication/pub.1051012897,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
31,100,pub.1049015826,10.1046/j.1529-8817.2001.037002223.x,,,"PHOTOACCLIMATION IN THE TROPICAL CORALLINE ALGA HYDROLITHON ONKODES (RHODOPHYTA, CORALLINACEAE) FROM A FRENCH POLYNESIAN REEF",Journal of Phycology,,,2001-04-18,2001,37,2,223-234,Closed,Article,"Payri, Claude E.; Maritorena, Stéphane; Bizeau, Christophe; Rodière, Michel",,"Payri, Claude E. (University of French Polynesia); Maritorena, Stéphane (); Bizeau, Christophe (University of French Polynesia); Rodière, Michel (University of French Polynesia)",32,5,,3.84,,https://app.dimensions.ai/details/publication/pub.1049015826,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
32,100,pub.1042831541,10.1029/2000jc000319,,,Bio‐optical properties of oceanic waters: A reappraisal,Journal of Geophysical Research,,,2001-04-15,2001,106,C4,7163-7180,All OA; Gold,Article,"Morel, André; Maritorena, Stéphane",,"Morel, André (); Maritorena, Stéphane ()",637,98,,45.7,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2000JC000319,https://app.dimensions.ai/details/publication/pub.1042831541,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
33,100,pub.1005943067,10.1016/s0967-0645(00)00167-3,,,Bio-optical modeling of primary production on regional scales: the Bermuda BioOptics project,Deep Sea Research Part II Topical Studies in Oceanography,,,2001-01,2001,48,8-9,1865-1896,Closed,Article,"Siegel, D.A; Westberry, T.K; O’Brien, M.C; Nelson, N.B; Michaels, A.F; Morrison, J.R; Scott, A; Caporelli, E.A; Sorensen, J.C; Maritorena, S; Garver, S.A; Brody, E.A; Ubante, J; Hammer, M.A","Siegel, D.A","Siegel, D.A (University of California, Santa Barbara); Westberry, T.K (University of California, Santa Barbara); O’Brien, M.C (University of California, Santa Barbara); Nelson, N.B (Bermuda Institute of Ocean Sciences); Michaels, A.F (University of Southern California); Morrison, J.R (Bermuda Institute of Ocean Sciences; Woods Hole Oceanographic Institution); Scott, A (Bermuda Institute of Ocean Sciences); Caporelli, E.A (University of Southern California); Sorensen, J.C (University of California, Santa Barbara); Maritorena, S (University of California, Santa Barbara); Garver, S.A (California State Polytechnic University); Brody, E.A (University of California, Santa Barbara); Ubante, J (University of California, Santa Barbara); Hammer, M.A (University of Southern California)",84,3,,6.03,,https://app.dimensions.ai/details/publication/pub.1005943067,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
34,400,pub.1065115660,10.1364/ao.39.006725,18354686,,Determination of the fluorescence quantum yield by oceanic phytoplankton in their natural habitat.,Applied Optics,,,2000-12-20,2000,39,36,6725-37,Closed,Article,"Maritorena, S; Morel, A; Gentili, B",,"Maritorena, S (University of California, Santa Barbara); Morel, A (); Gentili, B ()",53,2,0.31,12.99,,https://app.dimensions.ai/details/publication/pub.1065115660,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
35,400,pub.1065115289,10.1364/ao.39.003582,18349929,,Atmospheric correction of satellite ocean color imagery: the black pixel assumption.,Applied Optics,,,2000-07-20,2000,39,21,3582-91,Closed,Article,"Siegel, David A.; Wang, Menghua; Maritorena, Stéphane; Robinson, Wayne",,"Siegel, David A. (); Wang, Menghua (); Maritorena, Stéphane (); Robinson, Wayne ()",325,41,2.97,64.05,,https://app.dimensions.ai/details/publication/pub.1065115289,09 Engineering; 0205 Optical Physics; 0906 Electrical and Electronic Engineering; 0913 Mechanical Engineering; 02 Physical Sciences,09 Engineering,0205 Optical Physics,0906 Electrical and Electronic Engineering,0913 Mechanical Engineering,02 Physical Sciences
36,100,pub.1006250793,10.1175/1520-0426(2000)017<0811:aeoora>2.0.co;2,,,An Evaluation of Oceanographic Radiometers and Deployment Methodologies,Journal of Atmospheric and Oceanic Technology,,,2000-06,2000,17,6,811-830,Closed,Article,"Hooker, Stanford B.; Maritorena, Stephane",,"Hooker, Stanford B. (); Maritorena, Stephane ()",48,10,,6.27,,https://app.dimensions.ai/details/publication/pub.1006250793,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
37,100,pub.1021427654,10.1029/98jc02160,,,Ocean color chlorophyll algorithms for SeaWiFS,Journal of Geophysical Research,,,1998-10-15,1998,103,C11,24937-24953,All OA; Gold,Article,"O'Reilly, John E.; Maritorena, Stéphane; Mitchell, B. Greg; Siegel, David A.; Carder, Kendall L.; Garver, Sara A.; Kahru, Mati; McClain, Charles",,"O'Reilly, John E. (); Maritorena, Stéphane (); Mitchell, B. Greg (); Siegel, David A. (); Carder, Kendall L. (); Garver, Sara A. (); Kahru, Mati (); McClain, Charles ()",1384,169,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/98JC02160,https://app.dimensions.ai/details/publication/pub.1021427654,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
38,100,pub.1034973686,10.1080/01431169608948992,,,Remote sensing of the water attenuation in coral reefs: a case study in French Polynesia,International Journal of Remote Sensing,,,1996-01,1996,17,1,155-166,Closed,Article,"MARITORENA, S.",,"MARITORENA, S. ()",42,7,,,,https://app.dimensions.ai/details/publication/pub.1034973686,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
39,200,pub.1071173574,10.3354/meps131245,,,Optical properties of water and spectral light absorption by living and non-living particles and by yellow substances in coral reef waters of French Polynesia,Marine Ecology Progress Series,,,1996,1996,131,,245-255,All OA; Gold,Article,"Maritorena, S; Guillocheau, N",,"Maritorena, S (); Guillocheau, N ()",23,2,,,https://www.int-res.com/articles/meps/131/m131p245.pdf,https://app.dimensions.ai/details/publication/pub.1071173574,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
40,100,pub.1049352791,10.4319/lo.1994.39.7.1689,,,Diffuse reflectance of oceanic shallow waters: Influence of water depth and bottom albedo,Limnology and Oceanography,,,1994-11,1994,39,7,1689-1703,All OA; Gold,Article,"Maritorena, Stéphane; Morel, André; Gentili, Bernard",,"Maritorena, Stéphane (); Morel, André (); Gentili, Bernard ()",246,38,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.1994.39.7.1689,https://app.dimensions.ai/details/publication/pub.1049352791,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
41,100,pub.1009717244,10.1071/mf9941149,,,A survey of environmental physico-chemical parameters during a minor coral mass bleaching event in Tahiti in 1993,Marine and Freshwater Research,,,1994,1994,45,7,1149-1156,Closed,Article,"Drollet, JH; Faucon, M; Maritorena, S; Martin, PMV",,"Drollet, JH (); Faucon, M (); Maritorena, S (); Martin, PMV ()",25,1,,,,https://app.dimensions.ai/details/publication/pub.1009717244,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
