,Last_Name,Name,School,Researcher,Home_Dept,Areas_Expertise,Sub_Headings,Start_Year,Depart_Year,Scholar_Identifier,Scholar_Url,Scholar_Keywords
88,Cleveland,David Cleveland, UCSB,David Cleveland UCSB,Environmental Studies,"Sustainable, small-scale agrifood systems: plant breeding, climate change, nutrition, food sovereignty.",LULCC; Conservation,,2016.0,Q8pkoBAAAAAJ,https://scholar.google.com/citations?user=Q8pkoBAAAAAJ&view_op=list_works&sortby=pubdate,"['Local food systems', 'food & climate justice', 'diet & nutrition', 'plant breeding & crop genetic resources', 'local & scientific knowle']"
89,Gray,Summer Gray, UCSB,Summer Gray UCSB,Environmental Studies,"Environment and Society, Infrastructure and Adaptation, Climate Justice Studies","Environmental Justice, Environmental Politics",2017.0,,none,none,none
90,Heilmayr,Robert Heilmayr, UCSB,Robert Heilmayr UCSB,Environmental Studies,"Environmental economics, Ecological economics, Land systems science",Environmental Economics; Conservation,2017.0,,4n0166UAAAAJ,https://scholar.google.com/citations?user=4n0166UAAAAJ&view_op=list_works&sortby=pubdate,"['Land Systems Science', 'Environmental Economics', 'Conservation Biology', 'Remote Sensing', 'Climate Policy']"
91,Pellow,David Pellow, UCSB,David Pellow UCSB,Environmental Studies,"Environmental Justice, Social Change",Environmental Politics,2016.0,,none,none,none
92,Perrone,Debra Perrone, UCSB,Debra Perrone UCSB,Environmental Studies,"Water Resources Engineering, Groundwater Science and Policy","Hydrology, Coupled Natural Human Systems",2017.0,,BmbVaAgAAAAJ,https://scholar.google.com/citations?user=BmbVaAgAAAAJ&view_op=list_works&sortby=pubdate,"['Water', 'Energy', 'Food']"
93,Pulver,Simone Pulver, UCSB,Simone Pulver UCSB,Environmental Studies,"Global environmental politics, organizational theory, and the sociology of development",Environmental Politics,,,rsyLfcEAAAAJ,https://scholar.google.com/citations?user=rsyLfcEAAAAJ&view_op=list_works&sortby=pubdate,['Simone Pulver']
94,Stonich,Susan Stonich, UCSB,Susan Stonich UCSB,Environmental Studies,Ecological anthropology and third world environmental problems,Human Geography,,2014.0,none,none,none
95,Wilkinson,Robert Wilkinson, UCSB,Robert Wilkinson UCSB,Environmental Studies,"Environmental policy, water and watershed policy, energy, climate change, urban environment.",Environmental Politics,,2015.0,none,none,none
96,Harthorn,Barbara Harthorn, UCSB,Barbara Harthorn UCSB,Feminist Studies,Nanomaterials and Environmental Risk Perception,Environmental Politics,,,NnxLL5YAAAAJ,https://scholar.google.com/citations?user=NnxLL5YAAAAJ&view_op=list_works&sortby=pubdate,"['Risk perception', 'medical anthropology', 'health inequality', 'environmental health', 'deliberation']"
97,Bookhagen,Bodo Bookhagen, UCSB,Bodo Bookhagen UCSB,Geography,"Geomorphology – remote sensing, hydrology, cosmogenic isotopes, climate change",Geomorphology; Hydrology,,2014.0,_UuIymgAAAAJ,https://scholar.google.com/citations?user=_UuIymgAAAAJ&view_op=list_works&sortby=pubdate,"['Remote Sensing', 'Geomorphology', 'Water resources', 'Quaternary Geochronology']"
98,Carvalho,Leila Carvalho, UCSB,Leila Carvalho UCSB,Geography,Atmospheric science – Regional and large-scale climate variability; scaling processes in geophysics,Climate; Atmospheric Science,,,HCfUlVIAAAAJ,https://scholar.google.com/citations?user=HCfUlVIAAAAJ&view_op=list_works&sortby=pubdate,"['climate', 'atmospheric sciences', 'meteorology']"
99,Cassels,Susan Cassels, UCSB,Susan Cassels UCSB,Geography,Epidemiology & mathematical modeling; social network analysis; infectious disease epidemiology,Human Geography,2015.0,,iZiXeBcAAAAJ,https://scholar.google.com/citations?user=iZiXeBcAAAAJ&view_op=list_works&sortby=pubdate,['Susan Cassels']
100,Chadwick,Oliver Chadwick, UCSB,Oliver Chadwick UCSB,Geography,Biogeosciences; soil science,Soils; Geomorphology,,2019.0,G8HrBaYAAAAJ,https://scholar.google.com/citations?user=G8HrBaYAAAAJ&view_op=list_works&sortby=pubdate,"['geomorphology', 'biogeochemistry', 'soil science']"
101,Chrastil,Liz Chrastil, UCSB,Liz Chrastil UCSB,Geography,"Cognitive and Behavioral Geography, Human-Environment Relations",,2017.0,,none,none,none
102,Chu,Vena Chu, UCSB,Vena Chu UCSB,Geography,"Remote sensing, Cryosphere, Arctic climate change",,2018.0,,28mqRI8AAAAJ,https://scholar.google.com/citations?user=28mqRI8AAAAJ&view_op=list_works&sortby=pubdate,"['Arctic', 'Cryosphere', 'Greenland', 'Hydrology', 'Remote sensing']"
103,Church,Richard Church, UCSB,Richard Church UCSB,Geography,"Geographic Information Science, Transportation",Transportation; Human Geography; GIScience,,,t4-JG2IAAAAJ,https://scholar.google.com/citations?user=t4-JG2IAAAAJ&view_op=list_works&sortby=pubdate,"['location modeling', 'GIScience', 'operations research', 'transportation', 'Regional Science']"
104,Clarke,Keith Clarke, UCSB,Keith Clarke UCSB,Geography,Geographic Information Science; Cartography,GIScience; LULCC; Human Geography,,2021.0,fjZMW1oAAAAJ,https://scholar.google.com/citations?user=fjZMW1oAAAAJ&view_op=list_works&sortby=pubdate,"['Cartography', 'geographic information systems', 'urban modeling', 'geocomputation']"
105,Couclelis,Helen Couclelis, UCSB,Helen Couclelis UCSB,Geography,"Cognitive and Behavioral Geography, Geographic Information Science, Human-Environment Relations",Human Geography; Cognition,,2015.0,STbfwjsAAAAJ,https://scholar.google.com/citations?user=STbfwjsAAAAJ&view_op=list_works&sortby=pubdate,"['Geographic information science', 'urban modelling and planning', 'spatial cognition']"
106,DeVries,Timothy DeVries, UCSB,Timothy DeVries UCSB,Geography,Global ocean modeling; cycling of carbon and nutrients,"Biological, Chemical & Physical Oceanography; Paleoclimate",2014.0,,1Z6XrOUAAAAJ,https://scholar.google.com/citations?user=1Z6XrOUAAAAJ&view_op=list_works&sortby=pubdate,['Ocean circulation and biogeochemistry']
107,Dickey,Tommy Dickey, UCSB,Tommy Dickey UCSB,Geography,Optical and physical oceanography; ocean instrumentation,Biological & Physical Oceanography,,,none,none,none
108,Ding,Qinghua Ding, UCSB,Qinghua Ding UCSB,Geography,Climate  Dynamics,,2017.0,,P2YMInoAAAAJ,https://scholar.google.com/citations?user=P2YMInoAAAAJ&view_op=list_works&sortby=pubdate,['Climate Dynamics & Polar Climate Change']
109,Ganti,Vamsi Ganti, UCSB,Vamsi Ganti UCSB,Geography,Fluvial Geomorphology,"Hydrology, Geomorphology",2018.0,,qrDqBXEAAAAJ,https://scholar.google.com/citations?user=qrDqBXEAAAAJ&view_op=list_works&sortby=pubdate,"['Sedimentology', 'Geomorphology']"
110,Gautier,Catherine Gautier, UCSB,Catherine Gautier UCSB,Geography,"Climate science – atmospheric science, radiation, climate change, education",Climate; Atmospheric Science,,2013.0,none,none,none
111,Goulias,Kostas Goulias, UCSB,Kostas Goulias UCSB,Geography,"Geographic Information Science, Transportation",GIScience; Transportation; Human Geography,,,xdXTW7wAAAAJ,https://scholar.google.com/citations?user=xdXTW7wAAAAJ&view_op=list_works&sortby=pubdate,"['Transportation Systems Modeling and …', 'Travel Behavior', 'Transportation Policy and Planning', 'Geographic Information Scie']"
112,Janowicz,Krzysztof Janowicz, UCSB,Krzysztof Janowicz UCSB,Geography,Geographic Information Science,GIScience,2011.0,,6B2Z9vAAAAAJ,https://scholar.google.com/citations?user=6B2Z9vAAAAAJ&view_op=list_works&sortby=pubdate,"['GIScience', 'Semantic Web', 'Geospatial Semantics', 'Spatial Data Science', 'Web Science']"
113,Jones,Charles Jones, UCSB,Charles Jones UCSB,Geography,"Atmospheric science – Regional and large-scale climate variability and modeling, air-sea interaction",Climate; Atmospheric Science,2013.0,,PHyhP_AAAAAJ,https://scholar.google.com/citations?user=PHyhP_AAAAAJ&view_op=list_works&sortby=pubdate,"['meteorology', 'climate', 'climate change', 'predictability', 'climate variability']"
114,King,Jennifer King, UCSB,Jennifer King UCSB,Geography,Terrestrial biogeochemistry; Soil Science,Soils; Ecosystem Ecology,,,yaLhLgkAAAAJ,https://scholar.google.com/citations?user=yaLhLgkAAAAJ&view_op=list_works&sortby=pubdate,"['Biogeochemistry', 'Earth System Science']"
115,Kuhn,Werner Kuhn, UCSB,Werner Kuhn UCSB,Geography,Geographic Information Science,GIScience,2013.0,2024.0,SQsXfZAAAAAJ,https://scholar.google.com/citations?user=SQsXfZAAAAAJ&view_op=list_works&sortby=pubdate,"['GIS', 'spatial information and computing', 'semantics of information', 'ontology', 'usability']"
116,Kyriakidis,Phaedon Kyriakidis, UCSB,Phaedon Kyriakidis UCSB,Geography,Geographic Information Science; geostatistics ,GIScience,,2014.0,none,none,none
117,Loaiciga,Hugo Loaiciga, UCSB,Hugo Loaiciga UCSB,Geography,Groundwater hydrology; water resources,Hydrology,,2022.0,WQ9iC9kAAAAJ,https://scholar.google.com/citations?user=WQ9iC9kAAAAJ&view_op=list_works&sortby=pubdate,['Hydrology and Water Resources']
118,Lopez-Carr,David Lopez-Carr, UCSB,David Lopez-Carr UCSB,Geography,Human-Environment Relations; Demography & migration,Human Geography,,,w_JW40AAAAAJ,https://scholar.google.com/citations?user=w_JW40AAAAAJ&view_op=list_works&sortby=pubdate,"['population', 'health', 'environment']"
119,McFadden,Joseph McFadden, UCSB,Joseph McFadden UCSB,Geography,"Land-use and land-cover change, biosphere-atmosphere interactions, Earth system science, urban ecology","LULCC; Land-atmosphere interaction; Ecosystems Ecology, Ecophysiology",,,none,none,none
120,Michaelsen,Joel Michaelsen, UCSB,Joel Michaelsen UCSB,Geography,"Climatology, meteorology, and statistics",Climate; Atmospheric Science,,2014.0,none,none,none
121,Montello,Dan Montello, UCSB,Dan Montello UCSB,Geography,"Cognitive and Behavioral Geography, Geographic Information Science, Human-Environment Relations",Human Geography; Cognition,,,none,none,none
122,Murray,Alan Murray, UCSB,Alan Murray UCSB,Geography,GIS/Transport,GIScience; Transportaion; Human Geography,2016.0,,Raj7sewAAAAJ,https://scholar.google.com/citations?user=Raj7sewAAAAJ&view_op=list_works&sortby=pubdate,"['GIScience', 'location modeling', 'spatial optimization', 'regional science', 'spatial data science']"
123,Nidzieko,Nick Nidzieko, UCSB,Nick Nidzieko UCSB,Geography,Estuarine and Coastal Processes,Physical Oceanography and Marine Ecology,2015.0,,UmAJBOIAAAAJ,https://scholar.google.com/citations?user=UmAJBOIAAAAJ&view_op=list_works&sortby=pubdate,"['Coastal oceanography', 'autonomous platforms']"
124,Raubal,Martin Raubal, UCSB,Martin Raubal UCSB,Geography,"Cognitive Engineering for Geospatial Services, Cognitive semantic interoperability",GIScience,,2014.0,none,none,none
125,Roberts,Dar Roberts, UCSB,Dar Roberts UCSB,Geography,"Terrestrial ecosystems – Remote sensing of vegetation, geology, ecology, and ecophysiology",Landscape Ecology; Ecophysiology; LULCC,,,v5VGkXMAAAAJ,https://scholar.google.com/citations?user=v5VGkXMAAAAJ&view_op=list_works&sortby=pubdate,['Remote sensing']
126,Siegel,David Siegel, UCSB,David Siegel UCSB,Geography,Interdisciplinary marine science; global biogeochemistry; coastal processes; spatial ecology,Biological & Physical Oceanography; Marine & Spatial Ecology,,,i5ZL1ywAAAAJ,https://scholar.google.com/citations?user=i5ZL1ywAAAAJ&view_op=list_works&sortby=pubdate,"['Oceanography', 'Marine Science', 'Biogeochemistry', 'Remote Sensing', 'Spatial Ecology']"
127,Sweeney,Stuart Sweeney, UCSB,Stuart Sweeney UCSB,Geography,Human-Environment Relations; spatial econometrics,Human Geography,,,QebCBSUAAAAJ,https://scholar.google.com/citations?user=QebCBSUAAAAJ&view_op=list_works&sortby=pubdate,['Stuart Sweeney']
128,Washburn,Libe Washburn, UCSB,Libe Washburn UCSB,Geography,"Coastal circulation, mesoscale processes, air-sea interaction, and interdisciplinary oceanography",Physical Oceanography,,2020.0,8PNXV2wAAAAJ,https://scholar.google.com/citations?user=8PNXV2wAAAAJ&view_op=list_works&sortby=pubdate,['Libe Washburn']
129,Caylor,Kelly Caylor, UCSB,Kelly Caylor UCSB,Geography/Bren/ ERI,Ecohydrology,Hydrology; Ecosystem Ecology; Human-Environment; Food Systems; ,2016.0,,VGaoB64AAAAJ,https://scholar.google.com/citations?user=VGaoB64AAAAJ&view_op=list_works&sortby=pubdate,"['Ecohydrology', 'Environmental Sciences', 'Ecology', 'Hydrology', 'Water Resources']"
130,Carlson,Jean Carlson, UCSB,Jean Carlson UCSB,Physics,"Robustness, tradeoffs, and feedback in complex, highly connected systems.",Geophysics,,,none,none,none
131,Deshmukh,Ranjit Deshmukh, UCSB,Ranjit Deshmukh UCSB,Environmental Studies,"Energy systems and policy analysis; electricity sector planning, operations, and markets; geospatial analysis of energy resources; energy access in developing regions",Environmental Politics,2019.0,,FjU4kL0AAAAJ,https://scholar.google.com/citations?user=FjU4kL0AAAAJ&view_op=list_works&sortby=pubdate,"['renewable energy', 'solar', 'wind', 'biomass', 'policy']"
132,Krintz,Chandra Krintz, UCSB,Chandra Krintz UCSB,Computer Science,"Programming systems, cloud computing and services, and the Internet of Things (IoT)",,2001.0,,none,none,none
133,O'Malley,Michelle O'Malley, UCSB,Michelle O'Malley UCSB,Chemical Engineering,"Bioengineering
Energy, Efficiency & Sustainability",,2018.0,,d3FwJjMAAAAJ,https://scholar.google.com/citations?user=d3FwJjMAAAAJ&view_op=list_works&sortby=pubdate,"['anaerobic fungi', 'microbial consortia', 'bioengineering', 'sustainability', 'membrane proteins']"
134,Stevenson,Samantha Stevenson, UCSB,Samantha Stevenson UCSB,Bren School,"Climate Modeling, Drought, Oceanography, Climate Dynamics","Climate; Hydrology, Oceanography",2017.0,,vNZ4mYoAAAAJ,https://scholar.google.com/citations?user=vNZ4mYoAAAAJ&view_op=list_works&sortby=pubdate,['Samantha Stevenson']
