,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Bruce Haynes Tiffney. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
43,400,pub.1062526106,10.1126/science.219.4584.507,17742828,,A Fossil Noctuid Moth Egg from the Late Cretaceous of Eastern North America,Science,,,1983-02-04,1983,219,4584,507-509,Closed,Article,"GÁLL, LAWRENCE F.; TIFFNEY, BRUCE H.",,"GÁLL, LAWRENCE F. (Yale University); TIFFNEY, BRUCE H. (Yale University)",16,0,0.08,,,https://app.dimensions.ai/details/publication/pub.1062526106,04 Earth Sciences; 0403 Geology; 06 Biological Sciences; 0603 Evolutionary Biology,04 Earth Sciences,0403 Geology,06 Biological Sciences,0603 Evolutionary Biology,
44,100,pub.1001777132,10.1016/s0047-2484(82)80008-0,,,The fayum primate forest revisited,Journal of Human Evolution,,,1982-11,1982,11,7,603-632,"All OA; Green, Accepted & Submitted",Article,"Bown, Thomas M.; Kraus, Mary J.; Wing, Scott L.; Fleagle, John G.; Tiffney, Bruce H.; Simons, Elwyn L.; Vondra, Carl F.",,"Bown, Thomas M. (University of Colorado Boulder; United States Geological Survey; Stony Brook University; Yale University; Duke University; Iowa State University); Kraus, Mary J. (University of Colorado Boulder; United States Geological Survey; Stony Brook University; Yale University; Duke University; Iowa State University); Wing, Scott L. (University of Colorado Boulder; United States Geological Survey; Stony Brook University; Yale University; Duke University; Iowa State University); Fleagle, John G. (University of Colorado Boulder; United States Geological Survey; Stony Brook University; Yale University; Duke University; Iowa State University); Tiffney, Bruce H. (University of Colorado Boulder; United States Geological Survey; Stony Brook University; Yale University; Duke University; Iowa State University); Simons, Elwyn L. (Duke University); Vondra, Carl F. (University of Colorado Boulder; United States Geological Survey; Stony Brook University; Yale University; Duke University; Iowa State University)",85,4,,,http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1247&context=usgsstaffpub,https://app.dimensions.ai/details/publication/pub.1001777132,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
45,100,pub.1004272157,10.2307/2806703,,,Fruits of Wetherellia and Palaeowetherellia (?Euphorbiaceae) from Eocene Sediments in Virginia and Maryland,Brittonia,,,1982-07,1982,34,3,300,Closed,Article,"Mazer, Susan J.; Tiffney, Bruce H.",,"Mazer, Susan J. (Yale University); Tiffney, Bruce H. (Yale University)",21,2,,,,https://app.dimensions.ai/details/publication/pub.1004272157,0607 Plant Biology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,06 Biological Sciences,0603 Evolutionary Biology,,
46,100,pub.1007582806,10.1038/296063a0,,,Preservation of unsaturated fatty acids in Palaeogene angiosperm fruits and seeds,Nature,,,1982-03,1982,296,5852,63-64,Closed,Article,"Niklas, Karl J.; Tiffney, Bruce H.; Leopold, A. Carl",,"Niklas, Karl J. (Cornell University); Tiffney, Bruce H. (Yale University); Leopold, A. Carl (Cornell University)",6,0,,,,https://app.dimensions.ai/details/publication/pub.1007582806,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
47,100,pub.1026381067,10.1007/bf02988138,,,"Euodia costata (Chandler) Tiffney, (Rutaceae) from the Eocene of Southern England",PalZ,,,1981-12,1981,55,3-4,185-190,Closed,Article,"Tiffney, Bruce H.","Tiffney, Bruce H.","Tiffney, Bruce H. (Yale University)",6,1,,,,https://app.dimensions.ai/details/publication/pub.1026381067,0602 Ecology; 0403 Geology; 0603 Evolutionary Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0603 Evolutionary Biology,04 Earth Sciences,06 Biological Sciences
48,200,pub.1018508961,10.1016/s0007-1536(81)80079-4,,,"Re-evaluation of Geaster florissantensis (Oligocene, North America)",Fungal Biology,,,1981-06,1981,76,3,493-495,Closed,Article,"Tiffney, Bruce H.",,"Tiffney, Bruce H. (Yale University)",2,0,,,,https://app.dimensions.ai/details/publication/pub.1018508961,0607 Plant Biology; 0605 Microbiology; 06 Biological Sciences,0607 Plant Biology,0605 Microbiology,06 Biological Sciences,,
49,200,pub.1089800657,10.1007/978-1-4615-6959-6_1,,,Apparent Changes in the Diversity of Fossil Plants,,Evolutionary Biology,,1980,1980,,,1-89,Closed,Chapter,"Niklas, Karl J.; Tiffney, Bruce H.; Knoll, Andrew H.",,"Niklas, Karl J. (); Tiffney, Bruce H. (); Knoll, Andrew H. ()",75,0,,,,https://app.dimensions.ai/details/publication/pub.1089800657,,,,,,
50,400,pub.1062520420,10.1126/science.206.4425.1400,17739300,,Phanerozoic Land-Plant Diversity in North America,Science,,,1979-12-21,1979,206,4425,1400-1402,Closed,Article,"KNOLL, ANDREW H.; NIKLAS, KARL J.; TIFFNEY, BRUCE H.",,"KNOLL, ANDREW H. (Oberlin College); NIKLAS, KARL J. (Cornell University); TIFFNEY, BRUCE H. (Yale University)",39,1,0,,,https://app.dimensions.ai/details/publication/pub.1062520420,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
51,200,pub.1069936005,10.2307/2442609,,,Flora of the Brandon Lignite. IV. Illiciaceae,American Journal of Botany,,,1979-03,1979,66,3,321,Closed,Article,"Tiffney, Bruce H.; Barghoorn, Elso S.",,"Tiffney, Bruce H. (); Barghoorn, Elso S. ()",13,0,,,,https://app.dimensions.ai/details/publication/pub.1069936005,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
52,100,pub.1100717356,10.1002/j.1537-2197.1979.tb06230.x,,,FLORA OF THE BRANDON LIGNITE. IV. ILLICIACEAE,American Journal of Botany,,,1979-03,1979,66,3,321-329,Closed,Article,"Tiffney, Bruce H.; Barghoorn, Elso S.",,"Tiffney, Bruce H. (Harvard University); Barghoorn, Elso S. (Harvard University)",12,1,,,,https://app.dimensions.ai/details/publication/pub.1100717356,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
53,100,pub.1040142306,10.2307/2806671,,,Fruits and seeds of the brandon lignite III. Turpinia (Staphyleaceae),Brittonia,,,1979-01,1979,31,1,39-51,Closed,Article,"Tiffney, Bruce H.","Tiffney, Bruce H.","Tiffney, Bruce H. (Harvard University)",15,2,,,,https://app.dimensions.ai/details/publication/pub.1040142306,0607 Plant Biology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,06 Biological Sciences,0603 Evolutionary Biology,,
54,100,pub.1026560111,10.1016/0034-6667(79)90047-2,,,Nomenclatural revision: Brandon Vitaceae,Review of Palaeobotany and Palynology,,,1979-01,1979,27,1,91-92,Closed,Article,"Tiffney, Bruce H.",,"Tiffney, Bruce H. (Yale University)",10,2,,,,https://app.dimensions.ai/details/publication/pub.1026560111,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
55,100,pub.1045875051,10.1111/j.1095-8339.1977.tb01491.x,,,Fruits and seeds of the Brandon Lignite: Magnoliaceae,Botanical Journal of the Linnean Society,,,1977-12,1977,75,4,299-323,All OA; Gold,Article,"TIFFNEY, B. H.",,"TIFFNEY, B. H. (Harvard University)",33,2,,,https://academic.oup.com/botlinnean/article-pdf/75/4/299/14082692/j.1095-8339.1977.tb01491.x.pdf,https://app.dimensions.ai/details/publication/pub.1045875051,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
56,100,pub.1027922226,10.1038/265136a0,,,"Dicotyledonous angiosperm flower from the Upper Cretaceous of Martha's Vineyard, Massachusetts",Nature,,,1977-01,1977,265,5590,136-137,Closed,Article,"TIFFNEY, BRUCE H.",,"TIFFNEY, BRUCE H. (Harvard University)",24,0,,,,https://app.dimensions.ai/details/publication/pub.1027922226,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
57,100,pub.1025468737,10.1016/0034-6667(76)90001-4,,,Fruits and seeds of the brandon lignite. I. Vitaceae,Review of Palaeobotany and Palynology,,,1976-09,1976,22,3,169-191,Closed,Article,"Tiffney, Bruce H.; Barghoorn, Elso S.",,"Tiffney, Bruce H. (Harvard University); Barghoorn, Elso S. (Harvard University)",38,6,,,,https://app.dimensions.ai/details/publication/pub.1025468737,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
