,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Patricia Ann Holden. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
26,400,pub.1055137039,10.1021/acsnano.5b02021,26168153,PMC5698005,Cu Nanoparticles Have Different Impacts in Escherichia coli and Lactobacillus brevis than Their Microsized and Ionic Analogues.,ACS Nano,,Anti-Infective Agents; Copper; Escherichia coli; Lactobacillus brevis; Metal Nanoparticles,2015-07-28,2015,9,7,7215-25,"All OA; Green, Accepted & Submitted",Article,"Kaweeteerawat, Chitrada; Chang, Chong Hyun; Roy, Kevin R; Liu, Rong; Li, Ruibin; Toso, Daniel; Fischer, Heidi; Ivask, Angela; Ji, Zhaoxia; Zink, Jeffrey I; Zhou, Z Hong; Chanfreau, Guillaume Francois; Telesca, Donatello; Cohen, Yoram; Holden, Patricia Ann; Nel, Andre E; Godwin, Hilary A",,"Kaweeteerawat, Chitrada (University of California Los Angeles); Chang, Chong Hyun (University of California Los Angeles); Roy, Kevin R (University of California Los Angeles); Liu, Rong (University of California Los Angeles); Li, Ruibin (University of California Los Angeles); Toso, Daniel (University of California Los Angeles); Fischer, Heidi (University of California Los Angeles); Ivask, Angela (University of California Los Angeles; National Institute of Chemical Physics and Biophysics); Ji, Zhaoxia (University of California Los Angeles); Zink, Jeffrey I (University of California Los Angeles); Zhou, Z Hong (University of California Los Angeles); Chanfreau, Guillaume Francois (University of California Los Angeles); Telesca, Donatello (University of California Los Angeles); Cohen, Yoram (University of California Los Angeles); Holden, Patricia Ann (University of California Los Angeles; University of California, Santa Barbara); Nel, Andre E (University of California Los Angeles); Godwin, Hilary A (University of California Los Angeles)",49,20,3.52,8.41,http://europepmc.org/articles/pmc5698005?pdf=render,https://app.dimensions.ai/details/publication/pub.1055137039,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
27,400,pub.1055508508,10.1021/es504259s,25563693,,Toxicity of metal oxide nanoparticles in Escherichia coli correlates with conduction band and hydration energies.,Environmental Science & Technology,,Anti-Infective Agents; Cell Membrane; Escherichia coli; Inhibitory Concentration 50; Metal Nanoparticles; Microbial Sensitivity Tests; Oxidative Stress; Oxides; Proportional Hazards Models; Reactive Oxygen Species,2015-01-20,2015,49,2,1105-12,Closed,Article,"Kaweeteerawat, Chitrada; Ivask, Angela; Liu, Rong; Zhang, Haiyuan; Chang, Chong Hyun; Low-Kam, Cecile; Fischer, Heidi; Ji, Zhaoxia; Pokhrel, Suman; Cohen, Yoram; Telesca, Donatello; Zink, Jeffrey; Mädler, Lutz; Holden, Patricia A.; Nel, Andre; Godwin, Hilary",,"Kaweeteerawat, Chitrada (University of California Los Angeles); Ivask, Angela (University of California Los Angeles; National Institute of Chemical Physics and Biophysics); Liu, Rong (University of California Los Angeles); Zhang, Haiyuan (University of California Los Angeles); Chang, Chong Hyun (University of California Los Angeles); Low-Kam, Cecile (University of California Los Angeles); Fischer, Heidi (University of California Los Angeles); Ji, Zhaoxia (University of California Los Angeles); Pokhrel, Suman (University of Bremen); Cohen, Yoram (University of California Los Angeles); Telesca, Donatello (University of California Los Angeles); Zink, Jeffrey (University of California Los Angeles); Mädler, Lutz (University of Bremen); Holden, Patricia A. (University of California Los Angeles; University of California, Santa Barbara); Nel, Andre (University of California Los Angeles); Godwin, Hilary (University of California Los Angeles)",61,25,3.95,16.17,,https://app.dimensions.ai/details/publication/pub.1055508508,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
28,400,pub.1055508476,10.1021/es504117x,25409530,,Effects of TiO2 and Ag nanoparticles on polyhydroxybutyrate biosynthesis by activated sludge bacteria.,Environmental Science & Technology,,"Bacteria; Biomass; Microbial Consortia; Nanoparticles; Polyesters; RNA, Ribosomal, 16S; Sewage; Silver; Titanium; Waste Disposal, Fluid; Waste Water",2014-12-16,2014,48,24,14712-20,Closed,Article,"Priester, John H.; Van De Werfhorst, Laurie C.; Ge, Yuan; Adeleye, Adeyemi S.; Tomar, Shivira; Tom, Lauren M.; Piceno, Yvette M.; Andersen, Gary L.; Holden, Patricia A.",,"Priester, John H. (University of California, Santa Barbara); Van De Werfhorst, Laurie C. (University of California, Santa Barbara); Ge, Yuan (University of California, Santa Barbara); Adeleye, Adeyemi S. (University of California, Santa Barbara); Tomar, Shivira (University of California, Santa Barbara); Tom, Lauren M. (Lawrence Berkeley National Laboratory); Piceno, Yvette M. (Lawrence Berkeley National Laboratory); Andersen, Gary L. (Lawrence Berkeley National Laboratory); Holden, Patricia A. (University of California, Santa Barbara)",11,2,0.95,1.92,,https://app.dimensions.ai/details/publication/pub.1055508476,09 Engineering; 0605 Microbiology; 06 Biological Sciences; 0907 Environmental Engineering,09 Engineering,0605 Microbiology,06 Biological Sciences,0907 Environmental Engineering,
29,400,pub.1055508280,10.1021/es5031646,25354168,,Soybean plants modify metal oxide nanoparticle effects on soil bacterial communities.,Environmental Science & Technology,,Bacteria; Cerium; Metal Nanoparticles; Soil Microbiology; Soil Pollutants; Soybeans; Zinc Oxide,2014-11-18,2014,48,22,13489-96,Closed,Article,"Ge, Yuan; Priester, John H.; Van De Werfhorst, Laurie C.; Walker, Sharon L.; Nisbet, Roger M.; An, Youn-Joo; Schimel, Joshua P.; Gardea-Torresdey, Jorge L.; Holden, Patricia A.",,"Ge, Yuan (); Priester, John H. (); Van De Werfhorst, Laurie C. (); Walker, Sharon L. (University of California, Riverside); Nisbet, Roger M. (University of California, Santa Barbara); An, Youn-Joo (Konkuk University); Schimel, Joshua P. (University of California, Santa Barbara); Gardea-Torresdey, Jorge L. (The University of Texas at El Paso); Holden, Patricia A. ()",37,15,2.24,7.12,,https://app.dimensions.ai/details/publication/pub.1055508280,0605 Microbiology; 0503 Soil Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0605 Microbiology,0503 Soil Sciences,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
30,100,pub.1095497859,10.1109/bibm.2014.6999369,,,Visual Data Exploration of Soil Bacteria Susceptible to Engineered Nanomaterials,,2014 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),,2014-11,2014,,,18-24,Closed,Proceeding,"Liu, Rong; Ge, Yuan; Holden, Patricia A.; Cohen, Yoram",,"Liu, Rong (University of California Los Angeles); Ge, Yuan (University of California, Santa Barbara); Holden, Patricia A. (University of California, Santa Barbara); Cohen, Yoram (University of California Los Angeles)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1095497859,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
31,400,pub.1055508114,10.1021/es502440s,25158225,,Evaluation of exposure concentrations used in assessing manufactured nanomaterial environmental hazards: are they relevant?,Environmental Science & Technology,,"Environmental Exposure; Hazardous Substances; Models, Theoretical; Nanostructures; Risk Assessment",2014-09-16,2014,48,18,10541-51,Closed,Article,"Holden, Patricia A.; Klaessig, Frederick; Turco, Ronald F.; Priester, John H.; Rico, Cyren M.; Avila-Arias, Helena; Mortimer, Monika; Pacpaco, Kathleen; Gardea-Torresdey, Jorge L.",,"Holden, Patricia A. (University of California, Santa Barbara); Klaessig, Frederick (University of California, Santa Barbara); Turco, Ronald F. (Purdue University West Lafayette); Priester, John H. (University of California, Santa Barbara); Rico, Cyren M. (The University of Texas at El Paso; University of California, Santa Barbara); Avila-Arias, Helena (Purdue University West Lafayette); Mortimer, Monika (University of California, Santa Barbara); Pacpaco, Kathleen (University of California, Santa Barbara); Gardea-Torresdey, Jorge L. (The University of Texas at El Paso; University of California, Santa Barbara)",84,30,5.22,17.61,,https://app.dimensions.ai/details/publication/pub.1055508114,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
32,400,pub.1055508065,10.1021/es502173s,25055204,,Microbial source tracking in a coastal California watershed reveals canines as controllable sources of fecal contamination.,Environmental Science & Technology,,Animals; Bathing Beaches; Birds; California; DNA; Dogs; Enterococcus; Environmental Monitoring; Escherichia coli; Feces; Humans; Water Microbiology; Water Pollutants,2014-08-19,2014,48,16,9043-52,Closed,Article,"Ervin, Jared S.; Van De Werfhorst, Laurie C.; Murray, Jill L. S.; Holden, Patricia A.",,"Ervin, Jared S. (University of California, Santa Barbara); Van De Werfhorst, Laurie C. (University of California, Santa Barbara); Murray, Jill L. S. (); Holden, Patricia A. (University of California, Santa Barbara)",20,6,1.71,3.49,,https://app.dimensions.ai/details/publication/pub.1055508065,09 Engineering; 0605 Microbiology; 06 Biological Sciences; 0907 Environmental Engineering,09 Engineering,0605 Microbiology,06 Biological Sciences,0907 Environmental Engineering,
33,400,pub.1039250161,10.1016/j.plaphy.2014.03.028,24751400,,Cerium dioxide and zinc oxide nanoparticles alter the nutritional value of soil cultivated soybean plants,Plant Physiology and Biochemistry,,Calcium; Cerium; Copper; Manganese; Nanoparticles; Phosphorus; Soybeans; Zinc; Zinc Oxide,2014-07,2014,80,Plant J. 46 2006,128-135,Closed,Article,"Peralta-Videa, Jose R.; Hernandez-Viezcas, Jose A.; Zhao, Lijuan; Diaz, Baltazar Corral; Ge, Yuan; Priester, John H.; Holden, Patricia Ann; Gardea-Torresdey, Jorge L.","Gardea-Torresdey, Jorge L.","Peralta-Videa, Jose R. (The University of Texas at El Paso); Hernandez-Viezcas, Jose A. (The University of Texas at El Paso); Zhao, Lijuan (The University of Texas at El Paso); Diaz, Baltazar Corral (Universidad Autónoma de Ciudad Juárez); Ge, Yuan (University of California, Santa Barbara); Priester, John H. (University of California, Santa Barbara); Holden, Patricia Ann (University of California, Santa Barbara); Gardea-Torresdey, Jorge L. (The University of Texas at El Paso)",82,43,3.16,18.73,,https://app.dimensions.ai/details/publication/pub.1039250161,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
34,400,pub.1026553281,10.1371/journal.pone.0099414,24911191,PMC4049813,Analysis of Run-to-Run Variation of Bar-Coded Pyrosequencing for Evaluating Bacterial Community Shifts and Individual Taxa Dynamics,PLoS ONE,,"Analysis of Variance; Bacteria; Biodiversity; DNA Barcoding, Taxonomic; High-Throughput Nucleotide Sequencing; Metagenome; Reproducibility of Results; Soil Microbiology",2014-06-09,2014,9,6,e99414,All OA; Gold,Article,"Ge, Yuan; Schimel, Joshua P.; Holden, Patricia A.",,"Ge, Yuan (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara); Holden, Patricia A. (University of California, Santa Barbara)",9,2,0.5,1.17,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0099414&type=printable,https://app.dimensions.ai/details/publication/pub.1026553281,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
35,400,pub.1078953852,10.2175/106143013x13807328848496,25109201,,Canine Scent Detection and Microbial Source Tracking of Human Waste Contamination in Storm Drains,Water Environment Research,,"Animals; Dogs; Environmental Monitoring; Feces; Humans; Odorants; Sanitary Engineering; Sewage; Waste Disposal, Fluid; Water Pollution",2014-06-01,2014,86,6,550-558,Closed,Article,"Van De Werfhorst, Laurie C; Murray, Jill L S; Reynolds, Scott; Reynolds, Karen; Holden, Patricia A",,"Van De Werfhorst, Laurie C (); Murray, Jill L S (); Reynolds, Scott (); Reynolds, Karen (); Holden, Patricia A ()",11,6,0.54,1.92,,https://app.dimensions.ai/details/publication/pub.1078953852,09 Engineering; 0605 Microbiology; 06 Biological Sciences; 0907 Environmental Engineering,09 Engineering,0605 Microbiology,06 Biological Sciences,0907 Environmental Engineering,
36,400,pub.1029379889,10.1016/j.copbio.2013.11.008,24863899,,Five reasons to use bacteria when assessing manufactured nanomaterial environmental hazards and fates,Current Opinion in Biotechnology,,Animals; Bacteria; Ecosystem; Ecotoxicology; Environmental Microbiology; Humans; Nanostructures; Refuse Disposal; Risk Assessment; Toxicity Tests; Waste Water,2014-06,2014,27,,73-78,Closed,Article,"Holden, Patricia A; Schimel, Joshua P; Godwin, Hilary A",,"Holden, Patricia A (University of California, Santa Barbara; University of California Los Angeles); Schimel, Joshua P (University of California, Santa Barbara; University of California Los Angeles); Godwin, Hilary A (University of California Los Angeles)",47,16,3.05,7.49,,https://app.dimensions.ai/details/publication/pub.1029379889,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
37,400,pub.1004179946,10.1016/j.jenvman.2014.01.029,24583609,,Detection limits and cost comparisons of human- and gull-associated conventional and quantitative PCR assays in artificial and environmental waters,Journal of Environmental Management,,"Animals; Bacteroidetes; Biological Assay; Charadriiformes; Costs and Cost Analysis; DNA, Bacterial; Endpoint Determination; Environmental Pollution; Feces; Genetic Markers; Humans; Limit of Detection; Linear Models; Logistic Models; Polymerase Chain Reaction; Water; Water Microbiology; Water Quality",2014-04,2014,136,J. Veterinary Diag. Invest. 21 2009,112-120,Closed,Article,"Riedel, Timothy E.; Zimmer-Faust, Amity G.; Thulsiraj, Vanessa; Madi, Tania; Hanley, Kaitlyn T.; Ebentier, Darcy L.; Byappanahalli, Muruleedhara; Layton, Blythe; Raith, Meredith; Boehm, Alexandria B.; Griffith, John F.; Holden, Patricia A.; Shanks, Orin C.; Weisberg, Stephen B.; Jay, Jennifer A.","Riedel, Timothy E.","Riedel, Timothy E. (); Zimmer-Faust, Amity G. (); Thulsiraj, Vanessa (); Madi, Tania (); Hanley, Kaitlyn T. (); Ebentier, Darcy L. (); Byappanahalli, Muruleedhara (Great Lakes Science Center); Layton, Blythe (Southern California Coastal Water Research Project); Raith, Meredith (Southern California Coastal Water Research Project); Boehm, Alexandria B. (Stanford University); Griffith, John F. (Southern California Coastal Water Research Project); Holden, Patricia A. (University of California, Santa Barbara); Shanks, Orin C. (Environmental Protection Agency); Weisberg, Stephen B. (Southern California Coastal Water Research Project); Jay, Jennifer A. ()",9,5,0.7,1.89,,https://app.dimensions.ai/details/publication/pub.1004179946,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
38,400,pub.1018072070,10.1016/j.ecoenv.2013.10.014,24296285,,Zinc oxide nanoparticles delay soybean development: A standard soil microcosm study,Ecotoxicology and Environmental Safety,,Nanoparticles; Plant Roots; Reproduction; Seeds; Soil Pollutants; Soybeans; Zinc Oxide,2014-02,2014,100,J. Hazard. Mater. 184 2010,131-137,Closed,Article,"Yoon, Sung-Ji; Kwak, Jin Il; Lee, Woo-Mi; Holden, Patricia A.; An, Youn-Joo","An, Youn-Joo","Yoon, Sung-Ji (Konkuk University); Kwak, Jin Il (Konkuk University); Lee, Woo-Mi (Konkuk University); Holden, Patricia A. (University of California, Santa Barbara); An, Youn-Joo (Konkuk University)",54,25,2.5,,,https://app.dimensions.ai/details/publication/pub.1018072070,11 Medical and Health Sciences; 03 Chemical Sciences; 05 Environmental Sciences,11 Medical and Health Sciences,03 Chemical Sciences,05 Environmental Sciences,,
39,400,pub.1056225599,10.1021/nn4044047,24341736,,Toxicity mechanisms in Escherichia coli vary for silver nanoparticles and differ from ionic silver.,ACS Nano,,"Anti-Bacterial Agents; Biological Availability; Escherichia coli; Metal Nanoparticles; Microbial Sensitivity Tests; Microscopy, Atomic Force; Microscopy, Electron, Transmission; Silver; Solubility",2014-01-28,2014,8,1,374-86,Closed,Article,"Ivask, Angela; ElBadawy, Amro; Kaweeteerawat, Chitrada; Boren, David; Fischer, Heidi; Ji, Zhaoxia; Chang, Chong Hyun; Liu, Rong; Tolaymat, Thabet; Telesca, Donatello; Zink, Jeffrey I.; Cohen, Yoram; Holden, Patricia Ann; Godwin, Hilary A.",,"Ivask, Angela (National Institute of Chemical Physics and Biophysics); ElBadawy, Amro (University of Cincinnati); Kaweeteerawat, Chitrada (); Boren, David (); Fischer, Heidi (); Ji, Zhaoxia (); Chang, Chong Hyun (); Liu, Rong (); Tolaymat, Thabet (Environmental Protection Agency); Telesca, Donatello (); Zink, Jeffrey I. (); Cohen, Yoram (); Holden, Patricia Ann (); Godwin, Hilary A. ()",187,82,10.12,28.86,,https://app.dimensions.ai/details/publication/pub.1056225599,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
40,400,pub.1045806599,10.1039/c3an01648j,24343373,,Integrated approach to evaluating the toxicity of novel cysteine-capped silver nanoparticles to Escherichia coli and Pseudomonas aeruginosa,Analyst,,"Cysteine; Dose-Response Relationship, Drug; Escherichia coli; Metal Nanoparticles; Microscopy, Electron, Transmission; Pseudomonas aeruginosa; Reactive Oxygen Species; Silver; Spectrophotometry, Infrared; Spectrophotometry, Ultraviolet",2014,2014,139,5,954-963,Closed,Article,"Priester, John H.; Singhal, Aditi; Wu, Binghui; Stucky, Galen D.; Holden, Patricia A.",,"Priester, John H. (University of California, Santa Barbara); Singhal, Aditi (University of California, Santa Barbara); Wu, Binghui (University of California, Santa Barbara); Stucky, Galen D. (University of California, Santa Barbara); Holden, Patricia A. (University of California, Santa Barbara)",29,13,1.77,6.09,,https://app.dimensions.ai/details/publication/pub.1045806599,03 Chemical Sciences; 0301 Analytical Chemistry; 0399 Other Chemical Sciences,03 Chemical Sciences,0301 Analytical Chemistry,0399 Other Chemical Sciences,,
41,400,pub.1055506814,10.1021/es403385c,24256577,,Potential mechanisms and environmental controls of TiO2 nanoparticle effects on soil bacterial communities.,Environmental Science & Technology,,"Bacteria; Carbon; Nanoparticles; Nitrogen; Polymorphism, Restriction Fragment Length; Principal Component Analysis; Regression Analysis; Soil; Soil Microbiology; Titanium; Water",2013-12-17,2013,47,24,14411-7,Closed,Article,"Ge, Yuan; Priester, John H.; Van De Werfhorst, Laurie C.; Schimel, Joshua P.; Holden, Patricia A.",,"Ge, Yuan (University of California, Santa Barbara); Priester, John H. (University of California, Santa Barbara); Van De Werfhorst, Laurie C. (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara); Holden, Patricia A. (University of California, Santa Barbara)",46,17,2,6.78,,https://app.dimensions.ai/details/publication/pub.1055506814,0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
42,200,pub.1055507126,10.1021/es404527d,24228618,,Engineered nanoparticles may induce genotoxicity.,Environmental Science & Technology,,Animals; DNA Damage; Humans; Mutagenicity Tests; Mutagens; Nanoparticles; Risk Assessment,2013-12-03,2013,47,23,13212-4,Closed,Article,"Wang, Huanhua; Wu, Fengchang; Meng, Wei; White, Jason C.; Holden, Patricia A.; Xing, Baoshan",,"Wang, Huanhua (Chinese Research Academy of Environmental Sciences); Wu, Fengchang (Chinese Research Academy of Environmental Sciences); Meng, Wei (Chinese Research Academy of Environmental Sciences); White, Jason C. (Connecticut Agricultural Experiment Station); Holden, Patricia A. (); Xing, Baoshan (University of Massachusetts Amherst)",22,1,1.32,,,https://app.dimensions.ai/details/publication/pub.1055507126,,,,,,
43,400,pub.1046059075,10.1016/j.watres.2012.12.046,23880218,,Performance of forty-one microbial source tracking methods: A twenty-seven lab evaluation study,Water Research,,Animals; Bacteroidetes; Biomarkers; Birds; California; Environmental Monitoring; Feces; Genetic Markers; Humans; Mammals; Polymerase Chain Reaction; Sensitivity and Specificity; Sewage; Water Microbiology; Water Pollution,2013-11,2013,47,18,6812-6828,Closed,Article,"Boehm, Alexandria B.; Van De Werfhorst, Laurie C.; Griffith, John F.; Holden, Patricia A.; Jay, Jenny A.; Shanks, Orin C.; Wang, Dan; Weisberg, Stephen B.","Boehm, Alexandria B.","Boehm, Alexandria B. (Stanford University); Van De Werfhorst, Laurie C. (University of California, Santa Barbara); Griffith, John F. (Southern California Coastal Water Research Project); Holden, Patricia A. (University of California, Santa Barbara); Jay, Jenny A. (University of California Los Angeles); Shanks, Orin C. (Environmental Protection Agency); Wang, Dan (Stanford University); Weisberg, Stephen B. (Southern California Coastal Water Research Project)",119,34,8.44,19.17,,https://app.dimensions.ai/details/publication/pub.1046059075,03 Chemical Sciences; 0301 Analytical Chemistry,03 Chemical Sciences,0301 Analytical Chemistry,,,
44,400,pub.1044057833,10.1016/j.watres.2013.05.060,23992621,,Performance of human fecal anaerobe-associated PCR-based assays in a multi-laboratory method evaluation study,Water Research,,"Bacteria, Anaerobic; California; DNA, Bacterial; Environmental Monitoring; Feces; Humans; Limit of Detection; Real-Time Polymerase Chain Reaction; Waste Water; Water Microbiology; Water Pollution",2013-11,2013,47,18,6897-6908,"All OA; Green, Published",Article,"Layton, Blythe A.; Cao, Yiping; Ebentier, Darcy L.; Hanley, Kaitlyn; Ballesté, Elisenda; Brandão, João; Byappanahalli, Muruleedhara; Converse, Reagan; Farnleitner, Andreas H.; Gentry-Shields, Jennifer; Gidley, Maribeth L.; Gourmelon, Michèle; Lee, Chang Soo; Lee, Jiyoung; Lozach, Solen; Madi, Tania; Meijer, Wim G.; Noble, Rachel; Peed, Lindsay; Reischer, Georg H.; Rodrigues, Raquel; Rose, Joan B.; Schriewer, Alexander; Sinigalliano, Chris; Srinivasan, Sangeetha; Stewart, Jill; Van De Werfhorst, Laurie C.; Wang, Dan; Whitman, Richard; Wuertz, Stefan; Jay, Jenny; Holden, Patricia A.; Boehm, Alexandria B.; Shanks, Orin; Griffith, John F.","Griffith, John F.","Layton, Blythe A. (Southern California Coastal Water Research Project); Cao, Yiping (Southern California Coastal Water Research Project); Ebentier, Darcy L. (University of California Los Angeles); Hanley, Kaitlyn (University of California Los Angeles); Ballesté, Elisenda (University College Dublin); Brandão, João (National Institute of Health Dr. Ricardo Jorge); Byappanahalli, Muruleedhara (Great Lakes Science Center); Converse, Reagan (Oak Ridge Associated Universities); Farnleitner, Andreas H. (TU Wien); Gentry-Shields, Jennifer (University of North Carolina System); Gidley, Maribeth L. (University of Miami); Gourmelon, Michèle (French Research Institute for Exploitation of the Sea); Lee, Chang Soo (The Ohio State University); Lee, Jiyoung (The Ohio State University); Lozach, Solen (French Research Institute for Exploitation of the Sea); Madi, Tania (); Meijer, Wim G. (University College Dublin); Noble, Rachel (); Peed, Lindsay (Environmental Protection Agency); Reischer, Georg H. (TU Wien); Rodrigues, Raquel (National Institute of Health Dr. Ricardo Jorge); Rose, Joan B. (Michigan State University); Schriewer, Alexander (University of California, Davis); Sinigalliano, Chris (Atlantic Oceanographic and Meteorological Laboratory); Srinivasan, Sangeetha (Michigan State University); Stewart, Jill (University of North Carolina System); Van De Werfhorst, Laurie C. (University of California, Santa Barbara); Wang, Dan (Stanford University); Whitman, Richard (Great Lakes Science Center); Wuertz, Stefan (University of California, Davis; Nanyang Technological University); Jay, Jenny (University of California Los Angeles); Holden, Patricia A. (University of California, Santa Barbara); Boehm, Alexandria B. (Stanford University); Shanks, Orin (Environmental Protection Agency); Griffith, John F. (Southern California Coastal Water Research Project)",61,12,4.33,9.83,https://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1775&context=usgsstaffpub,https://app.dimensions.ai/details/publication/pub.1044057833,03 Chemical Sciences; 0301 Analytical Chemistry,03 Chemical Sciences,0301 Analytical Chemistry,,,
45,400,pub.1042688217,10.1016/j.watres.2013.01.060,23911226,,Evaluation of the repeatability and reproducibility of a suite of qPCR-based microbial source tracking methods,Water Research,,Bacteria; California; Environmental Monitoring; Feces; Real-Time Polymerase Chain Reaction; Reproducibility of Results; Water Microbiology; Water Pollution,2013-11,2013,47,18,6839-6848,Closed,Article,"Ebentier, Darcy L.; Hanley, Kaitlyn T.; Cao, Yiping; Badgley, Brian D.; Boehm, Alexandria B.; Ervin, Jared S.; Goodwin, Kelly D.; Gourmelon, Michèle; Griffith, John F.; Holden, Patricia A.; Kelty, Catherine A.; Lozach, Solen; McGee, Charles; Peed, Lindsay A.; Raith, Meredith; Ryu, Hodon; Sadowsky, Michael J.; Scott, Elizabeth A.; Domingo, Jorge Santo; Schriewer, Alexander; Sinigalliano, Christopher D.; Shanks, Orin C.; Van De Werfhorst, Laurie C.; Wang, Dan; Wuertz, Stefan; Jay, Jennifer A.","Jay, Jennifer A.","Ebentier, Darcy L. (University of California Los Angeles); Hanley, Kaitlyn T. (University of California Los Angeles; University of California, Davis); Cao, Yiping (Southern California Coastal Water Research Project); Badgley, Brian D. (University of Minnesota); Boehm, Alexandria B. (Stanford University); Ervin, Jared S. (University of California, Santa Barbara); Goodwin, Kelly D. (); Gourmelon, Michèle (French Research Institute for Exploitation of the Sea); Griffith, John F. (Southern California Coastal Water Research Project); Holden, Patricia A. (University of California, Santa Barbara); Kelty, Catherine A. (Environmental Protection Agency); Lozach, Solen (French Research Institute for Exploitation of the Sea); McGee, Charles (); Peed, Lindsay A. (Environmental Protection Agency); Raith, Meredith (Southern California Coastal Water Research Project); Ryu, Hodon (Environmental Protection Agency); Sadowsky, Michael J. (University of Minnesota); Scott, Elizabeth A. (Southern California Coastal Water Research Project); Domingo, Jorge Santo (Environmental Protection Agency); Schriewer, Alexander (University of California, Davis); Sinigalliano, Christopher D. (); Shanks, Orin C. (Environmental Protection Agency); Van De Werfhorst, Laurie C. (University of California, Santa Barbara); Wang, Dan (Stanford University); Wuertz, Stefan (University of California, Davis; Nanyang Technological University); Jay, Jennifer A. (University of California Los Angeles)",32,9,2.1,3.81,,https://app.dimensions.ai/details/publication/pub.1042688217,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
46,400,pub.1040249014,10.1016/j.watres.2013.02.060,23871252,,"Characterization of fecal concentrations in human and other animal sources by physical, culture-based, and quantitative real-time PCR methods",Water Research,,"Animals; Bacteria; Birds; Colony Count, Microbial; DNA, Bacterial; Environmental Monitoring; Feces; Humans; Mammals; Real-Time Polymerase Chain Reaction; Waste Water; Water Pollution; Water Quality",2013-11,2013,47,18,6873-6882,Closed,Article,"Ervin, Jared S.; Russell, Todd L.; Layton, Blythe A.; Yamahara, Kevan M.; Wang, Dan; Sassoubre, Lauren M.; Cao, Yiping; Kelty, Catherine A.; Sivaganesan, Mano; Boehm, Alexandria B.; Holden, Patricia A.; Weisberg, Stephen B.; Shanks, Orin C.","Shanks, Orin C.","Ervin, Jared S. (University of California, Santa Barbara); Russell, Todd L. (Stanford University); Layton, Blythe A. (Southern California Coastal Water Research Project); Yamahara, Kevan M. (Stanford University); Wang, Dan (Stanford University); Sassoubre, Lauren M. (Stanford University); Cao, Yiping (Southern California Coastal Water Research Project); Kelty, Catherine A. (Environmental Protection Agency); Sivaganesan, Mano (Environmental Protection Agency); Boehm, Alexandria B. (Stanford University); Holden, Patricia A. (University of California, Santa Barbara); Weisberg, Stephen B. (Southern California Coastal Water Research Project); Shanks, Orin C. (Environmental Protection Agency)",32,8,2.42,5.51,,https://app.dimensions.ai/details/publication/pub.1040249014,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
