,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Lee Hannah. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
34,100,pub.1028553265,10.1016/b978-0-12-420218-4.00007-x,,,Chapter 7 Past Marine Ecosystem Changes,,Climate Change Biology,,2015,2015,,American Zoologist391999,163-177,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1028553265,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
35,100,pub.1027711178,10.1016/b978-0-12-420218-4.00020-2,,,"Chapter 20 Assessing Risks, Designing Solutions",,Climate Change Biology,,2015,2015,,,423-431,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1027711178,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
36,100,pub.1026907632,10.1016/b978-0-12-420218-4.00008-1,,,Chapter 8 Past Freshwater Changes,,Climate Change Biology,,2015,2015,,Proceedings of the National Academy of Sciences of the United States of America1062009,179-194,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1026907632,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
37,100,pub.1020478378,10.1016/b978-0-12-420218-4.00012-3,,,Chapter 12 Estimating Extinction Risk from Climate Change,,Climate Change Biology,,2015,2015,,Science3182007,263-279,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1020478378,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,05 Environmental Sciences,06 Biological Sciences
38,100,pub.1015401837,10.1016/b978-0-12-420218-4.00004-4,,,Chapter 4 Phenology Changes in Timing of Biological Events Due to Climate Change,,Climate Change Biology,,2015,2015,,Nature4412006,83-102,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1015401837,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
39,100,pub.1004917318,10.1016/b978-0-12-420218-4.00011-1,,,Chapter 11 Modeling Species and Ecosystem Response,,Climate Change Biology,,2015,2015,,Climatic Change512001,237-262,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1004917318,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,0501 Ecological Applications,05 Environmental Sciences
40,400,pub.1017111762,10.1016/j.tree.2014.04.006,24875589,,"Fine-grain modeling of species’ response to climate change: holdouts, stepping-stones, and microrefugia",Trends in Ecology & Evolution,,Animal Distribution; Climate Change; Conservation of Natural Resources; Microclimate; Plant Dispersal,2014-07,2014,29,7,390-397,Closed,Article,"Hannah, Lee; Flint, Lorraine; Syphard, Alexandra D.; Moritz, Max A.; Buckley, Lauren B.; McCullough, Ian M.",,"Hannah, Lee (Conservation International); Flint, Lorraine (); Syphard, Alexandra D. (); Moritz, Max A. (University of California, Berkeley); Buckley, Lauren B. (University of Washington); McCullough, Ian M. (University of California, Santa Barbara)",130,63,2.9,21.21,,https://app.dimensions.ai/details/publication/pub.1017111762,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
41,100,pub.1042923903,10.1111/conl.12066,,,Climate‐Smart Landscapes: Opportunities and Challenges for Integrating Adaptation and Mitigation in Tropical Agriculture,Conservation Letters,,,2014-03,2014,7,2,77-90,All OA; Gold,Article,"Harvey, Celia A.; Chacón, Mario; Donatti, Camila I.; Garen, Eva; Hannah, Lee; Andrade, Angela; Bede, Lucio; Brown, Douglas; Calle, Alicia; Chará, Julian; Clement, Christopher; Gray, Elizabeth; Hoang, Minh Ha; Minang, Peter; Rodríguez, Ana María; Seeberg‐Elverfeldt, Christina; Semroc, Bambi; Shames, Seth; Smukler, Sean; Somarriba, Eduardo; Torquebiau, Emmanuel; Etten, Jacob; Wollenberg, Eva",,"Harvey, Celia A. (Conservation International); Chacón, Mario (Conservation International); Donatti, Camila I. (Conservation International); Garen, Eva (Conservation International; Yale University); Hannah, Lee (Conservation International); Andrade, Angela (); Bede, Lucio (); Brown, Douglas (); Calle, Alicia (Yale University); Chará, Julian (Centro para la Investigación en Sistemas Sostenibles de Producción Agropecuaria); Clement, Christopher (University of Vermont); Gray, Elizabeth (The Nature Conservancy); Hoang, Minh Ha (World Agroforestry Centre); Minang, Peter (World Agroforestry Centre); Rodríguez, Ana María (Conservation International); Seeberg‐Elverfeldt, Christina (Food and Agriculture Organization of the United Nations; Federal Ministry of Economic Cooperation and Development); Semroc, Bambi (Conservation International); Shames, Seth (); Smukler, Sean (University of British Columbia); Somarriba, Eduardo (Centro Agronomico Tropical De Investigacion Y Ensenanza Catie); Torquebiau, Emmanuel (); Etten, Jacob (); Wollenberg, Eva (University of Vermont)",117,51,,25.47,https://onlinelibrary.wiley.com/doi/pdf/10.1111/conl.12066,https://app.dimensions.ai/details/publication/pub.1042923903,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
42,400,pub.1009120298,10.1371/journal.pone.0072590,23991125,PMC3749124,Global Climate Change Adaptation Priorities for Biodiversity and Food Security,PLoS ONE,,Agriculture; Biodiversity; Climate Change; Food Supply; Species Specificity,2013-08-21,2013,8,8,e72590,All OA; Gold,Article,"Hannah, Lee; Ikegami, Makihiko; Hole, David G.; Seo, Changwan; Butchart, Stuart H. M.; Peterson, A. Townsend; Roehrdanz, Patrick R.",,"Hannah, Lee (Conservation International; University of California, Santa Barbara); Ikegami, Makihiko (Lincoln University); Hole, David G. (Conservation International; Durham University); Seo, Changwan (Seoul National University); Butchart, Stuart H. M. (BirdLife international); Peterson, A. Townsend (University of Kansas); Roehrdanz, Patrick R. (University of California, Santa Barbara)",18,7,0.16,10.7,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0072590&type=printable,https://app.dimensions.ai/details/publication/pub.1009120298,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
43,200,pub.1022544688,10.1073/pnas.1308923110,24137631,PMC3746900,Reply to van Leeuwen et al.: Planning for agricultural adaptation to climate change and its consequences for conservation,Proceedings of the National Academy of Sciences,,"Agriculture; Climate Change; Conservation of Natural Resources; Ecosystem; Models, Biological; Vitis; Wine",2013-08-13,2013,110,33,e3053-e3053,All OA; Gold,Article,"Hannah, Lee; Roehrdanz, Patrick R.; Ikegami, Makihiko; Shepard, Anderson V.; Shaw, M. Rebecca; Tabor, Gary; Zhi, Lu; Marquet, Pablo A.; Hijmans, Robert J.",,"Hannah, Lee (Conservation International; University of California, Santa Barbara); Roehrdanz, Patrick R. (University of California, Santa Barbara); Ikegami, Makihiko (University of California, Santa Barbara); Shepard, Anderson V. (University of California, Santa Barbara); Shaw, M. Rebecca (); Tabor, Gary (Center for Large Landscape Conservation); Zhi, Lu (Peking University); Marquet, Pablo A. (Pontifical Catholic University of Chile; Santa Fe Institute); Hijmans, Robert J. (University of California, Davis)",2,0,0,,http://www.pnas.org/content/110/33/E3053.full.pdf,https://app.dimensions.ai/details/publication/pub.1022544688,,,,,,
44,400,pub.1053546277,10.1073/pnas.1210127110,23569231,PMC3637704,"Climate change, wine, and conservation",Proceedings of the National Academy of Sciences,,"Agriculture; Climate Change; Conservation of Natural Resources; Ecosystem; Fresh Water; Mediterranean Region; Models, Biological; Vitis; Wine",2013-04-23,2013,110,17,6907-6912,"All OA; Green, Published",Article,"Hannah, Lee; Roehrdanz, Patrick R.; Ikegami, Makihiko; Shepard, Anderson V.; Shaw, M. Rebecca; Tabor, Gary; Zhi, Lu; Marquet, Pablo A.; Hijmans, Robert J.",,"Hannah, Lee (University of California, Santa Barbara); Roehrdanz, Patrick R. (University of California, Santa Barbara); Ikegami, Makihiko (University of California, Santa Barbara); Shepard, Anderson V. (University of California, Santa Barbara); Shaw, M. Rebecca (); Tabor, Gary (Center for Large Landscape Conservation); Zhi, Lu (Peking University); Marquet, Pablo A. (Pontifical Catholic University of Chile); Hijmans, Robert J. (University of California, Davis)",234,88,4.36,36.26,http://europepmc.org/articles/pmc3637704?pdf=render,https://app.dimensions.ai/details/publication/pub.1053546277,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,0501 Ecological Applications,05 Environmental Sciences
45,400,pub.1039725588,10.1111/gcb.12051,23504785,,Modeling plant species distributions under future climates: how fine scale do climate projections need to be?,Global Change Biology,,Biodiversity; California; Climate Change; Forecasting; Plants,2013-02,2013,19,2,473-483,"All OA; Green, Published",Article,"Franklin, Janet; Davis, Frank W.; Ikegami, Makihiko; Syphard, Alexandra D.; Flint, Lorraine E.; Flint, Alan L.; Hannah, Lee",,"Franklin, Janet (Arizona State University); Davis, Frank W. (University of California, Santa Barbara); Ikegami, Makihiko (University of California, Santa Barbara); Syphard, Alexandra D. (); Flint, Lorraine E. (); Flint, Alan L. (); Hannah, Lee (University of California, Santa Barbara; Conservation International)",188,69,3.15,35.16,https://escholarship.org/content/qt75k42636/qt75k42636.pdf?t=nyj16p,https://app.dimensions.ai/details/publication/pub.1039725588,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
46,400,pub.1027143484,10.1007/s00267-012-9893-7,22773068,PMC3410031,The Adaptation for Conservation Targets (ACT) Framework: A Tool for Incorporating Climate Change into Natural Resource Management,Environmental Management,,Climate Change; Conservation of Natural Resources; Ecosystem; Forecasting; Goals; Rivers; United States; Water Supply,2012-09,2012,50,3,341-351,All OA; Gold,Article,"Cross, Molly S.; Zavaleta, Erika S.; Bachelet, Dominique; Brooks, Marjorie L.; Enquist, Carolyn A. F.; Fleishman, Erica; Graumlich, Lisa J.; Groves, Craig R.; Hannah, Lee; Hansen, Lara; Hayward, Greg; Koopman, Marni; Lawler, Joshua J.; Malcolm, Jay; Nordgren, John; Petersen, Brian; Rowland, Erika L.; Scott, Daniel; Shafer, Sarah L.; Shaw, M. Rebecca; Tabor, Gary M.",,"Cross, Molly S. (Wildlife Conservation Society); Zavaleta, Erika S. (University of California, Santa Cruz); Bachelet, Dominique (); Brooks, Marjorie L. (Southern Illinois University System); Enquist, Carolyn A. F. (Wildlife Society); Fleishman, Erica (University of California, Santa Barbara; University of California, Davis); Graumlich, Lisa J. (University of Washington); Groves, Craig R. (The Nature Conservancy); Hannah, Lee (Conservation International); Hansen, Lara (); Hayward, Greg (); Koopman, Marni (); Lawler, Joshua J. (); Malcolm, Jay (University of Toronto); Nordgren, John (Kresge Foundation); Petersen, Brian (Michigan State University); Rowland, Erika L. (Wildlife Conservation Society); Scott, Daniel (University of Waterloo); Shafer, Sarah L. (United States Geological Survey); Shaw, M. Rebecca (); Tabor, Gary M. (Center for Large Landscape Conservation)",64,12,0.76,10.31,https://link.springer.com/content/pdf/10.1007%2Fs00267-012-9893-7.pdf,https://app.dimensions.ai/details/publication/pub.1027143484,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
47,400,pub.1047016462,10.1111/j.1523-1739.2012.01838.x,22497442,,Climate Change and the Cost of Conserving Species in Madagascar,Conservation Biology,,"Climate Change; Conservation of Natural Resources; Ecosystem; Madagascar; Models, Biological; Plants; Time Factors",2012-06,2012,26,3,408-419,"All OA; Green, Accepted & Submitted",Article,"BUSCH, JONAH; DAVE, RADHIKA; HANNAH, LEE; CAMERON, ALISON; RASOLOHERY, ANDRIAMBOLANTSOA; ROEHRDANZ, PATRICK; SCHATZ, GEORGE",,"BUSCH, JONAH (Conservation International); DAVE, RADHIKA (Conservation International); HANNAH, LEE (Conservation International); CAMERON, ALISON (); RASOLOHERY, ANDRIAMBOLANTSOA (); ROEHRDANZ, PATRICK (University of California, Santa Barbara); SCHATZ, GEORGE (Missouri Botanical Garden)",12,2,0.23,2.01,https://pure.qub.ac.uk/portal/files/2562155/Busch_Climate_change_and_the_cost_of_conserving_species_in_Madagascar_ConsBiol_2012.pdf,https://app.dimensions.ai/details/publication/pub.1047016462,0602 Ecology; 0705 Forestry Sciences; 0501 Ecological Applications; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 07 Agricultural and Veterinary Sciences,0602 Ecology,0705 Forestry Sciences,0501 Ecological Applications,06 Biological Sciences,05 Environmental Sciences
48,200,pub.1026907118,10.1111/j.1523-1739.2012.01862.x,22594592,,Introduction,Conservation Biology,,"California; Climate Change; Conservation of Natural Resources; Madagascar; Models, Biological; South Africa",2012-06,2012,26,3,385-385,Closed,Article,"Andelman, Sandy; Hannah, Lee; Shaw, Rebecca",,"Andelman, Sandy (Conservation International); Hannah, Lee (Conservation International); Shaw, Rebecca ()",0,0,0,,,https://app.dimensions.ai/details/publication/pub.1026907118,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
49,100,pub.1087459636,10.5822/978-1-61091-203-7_7,,,"Cape Floristic Region, South Africa",,Climate and Conservation,,2012,2012,,,80-91,Closed,Chapter,"Hannah, Lee; Panitz, Dave; Midgley, Guy",,"Hannah, Lee (); Panitz, Dave (); Midgley, Guy (South African National Biodiversity Institute)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1087459636,06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0603 Evolutionary Biology,06 Biological Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0603 Evolutionary Biology,
50,100,pub.1087459599,10.5822/978-1-61091-182-5_6,,,First Extinctions on Land,,Saving a Million Species,,2012,2012,,,89-101,Closed,Chapter,"McMenamin, Sarah K.; Hannah, Lee","McMenamin, Sarah K.","McMenamin, Sarah K. (University of Washington); Hannah, Lee (University of California, Santa Barbara)",1,1,,0.14,,https://app.dimensions.ai/details/publication/pub.1087459599,0602 Ecology; 0699 Other Biological Sciences; 0603 Evolutionary Biology; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0699 Other Biological Sciences,0603 Evolutionary Biology,06 Biological Sciences,05 Environmental Sciences
51,100,pub.1087459596,10.5822/978-1-61091-182-5_3,,,"Climate Change, Extinction Risk, and Public Policy",,Saving a Million Species,,2012,2012,,,29-38,Closed,Chapter,"Mawdsley, Jonathan; Midgley, Guy; Hannah, Lee","Mawdsley, Jonathan","Mawdsley, Jonathan (); Midgley, Guy (South African National Biodiversity Institute); Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1087459596,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
52,100,pub.1087459595,10.5822/978-1-61091-182-5_20,,,Saving a Million Species,,Saving a Million Species,,2012,2012,,,389-394,Closed,Chapter,"Hannah, Lee","Hannah, Lee","Hannah, Lee (University of California, Santa Barbara)",1,0,,0.13,,https://app.dimensions.ai/details/publication/pub.1087459595,0699 Other Biological Sciences; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0699 Other Biological Sciences,06 Biological Sciences,05 Environmental Sciences,0502 Environmental Science and Management,
53,100,pub.1087459583,10.5822/978-1-61091-182-5_1,,,Are a Million Species at Risk?,,Saving a Million Species,,2012,2012,,,3-9,Closed,Chapter,"Hannah, Lee","Hannah, Lee","Hannah, Lee (University of California, Santa Barbara)",4,1,,0.68,,https://app.dimensions.ai/details/publication/pub.1087459583,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
54,100,pub.1025011034,10.1007/s10584-011-0307-2,,,The impact of climate change on California timberlands,Climatic Change,,,2011-12,2011,109,Suppl 1,429-443,"All OA; Green, Accepted & Submitted",Article,"Hannah, L.; Costello, C.; Guo, C.; Ries, L.; Kolstad, C.; Panitz, D.; Snider, N.","Hannah, L.","Hannah, L. (Conservation International; University of California, Santa Barbara); Costello, C. (University of California, Santa Barbara); Guo, C. (University of California, Santa Barbara); Ries, L. (University of California, Santa Barbara); Kolstad, C. (University of California, Santa Barbara); Panitz, D. (University of California, Santa Barbara); Snider, N. (University of California, Santa Barbara)",6,0,,0.99,http://hdl.handle.net/10.1007/s10584-011-0307-2,https://app.dimensions.ai/details/publication/pub.1025011034,0502 Environmental Science and Management; 14 Economics; 0699 Other Biological Sciences; 0501 Ecological Applications; 1402 Applied Economics; 05 Environmental Sciences; 06 Biological Sciences,0502 Environmental Science and Management,14 Economics,0699 Other Biological Sciences,0501 Ecological Applications,1402 Applied Economics
55,200,pub.1042834013,10.1111/j.1523-1739.2011.01648.x,21410532,,Lessons from Finance for New Land‐Conservation Strategies Given Climate‐Change Uncertainty,Conservation Biology,,Animals; Biodiversity; Climate Change; Conservation of Natural Resources; Decision Making; Uncertainty,2011-04,2011,25,2,412-414,Closed,Article,"ANDO, AMY W.; HANNAH, LEE",,"ANDO, AMY W. (University of Illinois at Urbana Champaign); HANNAH, LEE (University of California, Santa Barbara)",8,1,0.06,,,https://app.dimensions.ai/details/publication/pub.1042834013,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
56,100,pub.1013168890,10.1007/978-3-642-05383-2_16,,,"Conservation, climate change, and tropical forests",,Tropical Rainforest Responses to Climatic Change,,2011,2011,,,431-443,Closed,Chapter,"Hannah, L.; Lovejoy, T.","Hannah, L.","Hannah, L. (Conservation International; University of California, Santa Barbara); Lovejoy, T. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1013168890,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
57,100,pub.1001808014,10.1007/978-3-642-05383-2_15,,,Modeling future effects of climate change on tropical forests,,Tropical Rainforest Responses to Climatic Change,,2011,2011,,,411-429,Closed,Chapter,"Hannah, L.; Betts, R. A.; Shugart, H. H.","Hannah, L.","Hannah, L. (Conservation International; University of California, Santa Barbara); Betts, R. A. (Met Office); Shugart, H. H. (University of Virginia)",2,0,,0.2,,https://app.dimensions.ai/details/publication/pub.1001808014,0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,,
58,100,pub.1043330503,10.1111/j.1600-0587.2009.06000.x,,,BioMove – an integrated platform simulating the dynamic response of species to environmental change,Ecography,,,2010-05,2010,33,3,612-616,All OA; Gold,Article,"Midgley, Guy F.; Davies, Ian D.; Albert, Cécile H.; Altwegg, Res; Hannah, Lee; Hughes, Gregory O.; O'Halloran, Lydia R.; Seo, Changwan; Thorne, James H.; Thuiller, Wilfried",,"Midgley, Guy F. (); Davies, Ian D. (); Albert, Cécile H. (); Altwegg, Res (); Hannah, Lee (University of California, Santa Barbara); Hughes, Gregory O. (University of California, Santa Barbara); O'Halloran, Lydia R. (University of California, Santa Barbara); Seo, Changwan (University of California, Santa Barbara); Thorne, James H. (University of California, Santa Barbara); Thuiller, Wilfried ()",81,10,,9.15,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1600-0587.2009.06000.x,https://app.dimensions.ai/details/publication/pub.1043330503,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
59,100,pub.1051162330,10.1890/070146,,,Resource management in a changing and uncertain climate,Frontiers in Ecology and the Environment,,,2010-02,2010,8,1,35-43,Closed,Article,"Lawler, Joshua J; Tear, Timothy H; Pyke, Chris; Shaw, M Rebecca; Gonzalez, Patrick; Kareiva, Peter; Hansen, Lara; Hannah, Lee; Klausmeyer, Kirk; Aldous, Allison; Bienz, Craig; Pearsall, Sam",,"Lawler, Joshua J (University of Washington); Tear, Timothy H (The Nature Conservancy); Pyke, Chris (); Shaw, M Rebecca (The Nature Conservancy); Gonzalez, Patrick (The Nature Conservancy); Kareiva, Peter (The Nature Conservancy); Hansen, Lara (); Hannah, Lee (); Klausmeyer, Kirk (The Nature Conservancy); Aldous, Allison (The Nature Conservancy); Bienz, Craig (); Pearsall, Sam (The Nature Conservancy)",115,15,,13.51,,https://app.dimensions.ai/details/publication/pub.1051162330,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
60,400,pub.1044496300,10.1098/rsbl.2008.0476,18986960,PMC2657743,Scale effects in species distribution models: implications for conservation planning under climate change,Biology Letters,,"Biodiversity; California; Conservation of Natural Resources; Greenhouse Effect; Linear Models; Models, Biological; Neural Networks (Computer); Population Density; Trees",2009-02-23,2009,5,1,39-43,"All OA; Green, Published",Article,"Seo, Changwan; Thorne, James H; Hannah, Lee; Thuiller, Wilfried",,"Seo, Changwan (); Thorne, James H (University of California, Davis); Hannah, Lee (University of California, Santa Barbara); Thuiller, Wilfried (Laboratoire d'Écologie Alpine)",139,36,1.28,,http://europepmc.org/articles/pmc2657743?pdf=render,https://app.dimensions.ai/details/publication/pub.1044496300,06 Biological Sciences,06 Biological Sciences,,,,
61,200,pub.1015819587,10.1088/1755-1307/6/31/312006,,,"Towards an adaptive management framework for climate change across species, sites and land/seascapes",IOP Conference Series Earth and Environmental Science,,,2009-02-01,2009,6,31,312006,All OA; Gold,Article,"Hole, David; Turner, W; Brooks, T; Willis, S; Huntley, B; Hannah, L; Butchart, S; Donald, P",,"Hole, David (Conservation International; Durham University); Turner, W (Conservation International); Brooks, T (Conservation International); Willis, S (Durham University); Huntley, B (Durham University); Hannah, L (Conservation International); Butchart, S (BirdLife international); Donald, P (Royal Society for the Protection of Birds)",1,0,,,http://iopscience.iop.org/article/10.1088/1755-1307/6/31/312006/pdf,https://app.dimensions.ai/details/publication/pub.1015819587,,,,,,
62,200,pub.1013882071,10.1088/1755-1307/6/31/312005,,,Ensuring biodiversity security in the face of climate change,IOP Conference Series Earth and Environmental Science,,,2009-02-01,2009,6,31,312005,All OA; Gold,Article,"Andelman, Sandy; Midgley, G; Polasky, S; Bode, M; Busch, J; Hannah, L; Marquet, P; Panitz, D; Reyers, B; Shaw, R; Wise, R",,"Andelman, Sandy (Conservation International); Midgley, G (South African National Biodiversity Institute); Polasky, S (University of Minnesota); Bode, M (University of Melbourne); Busch, J (Conservation International); Hannah, L (Conservation International); Marquet, P (); Panitz, D (University of California, Santa Barbara); Reyers, B (Council for Scientific and Industrial Research); Shaw, R (The Nature Conservancy); Wise, R (Council for Scientific and Industrial Research)",0,0,,,http://iopscience.iop.org/article/10.1088/1755-1307/6/31/312005/pdf,https://app.dimensions.ai/details/publication/pub.1013882071,,,,,,
63,200,pub.1017142130,10.1098/rsbl.2008.0270,18664414,PMC2610084,Climate change adaptation for conservation in Madagascar,Biology Letters,,Acclimatization; Animals; Biodiversity; Conservation of Natural Resources; Greenhouse Effect; Madagascar,2008-10-23,2008,4,5,590-594,"All OA; Green, Published",Article,"Hannah, Lee; Dave, Radhika; Lowry, Porter P; Andelman, Sandy; Andrianarisata, Michele; Andriamaro, Luciano; Cameron, Alison; Hijmans, Robert; Kremen, Claire; MacKinnon, James; Randrianasolo, Harison Hanitriniaina; Andriambololonera, Sylvie; Razafimpahanana, Andriamandimbisoa; Randriamahazo, Herilala; Randrianarisoa, Jeannicq; Razafinjatovo, Philippe; Raxworthy, Chris; Schatz, George E; Tadross, Mark; Wilmé, Lucienne",,"Hannah, Lee (Conservation International); Dave, Radhika (Conservation International); Lowry, Porter P (Missouri Botanical Garden); Andelman, Sandy (Conservation International); Andrianarisata, Michele (); Andriamaro, Luciano (); Cameron, Alison (University of California, Berkeley); Hijmans, Robert (); Kremen, Claire (University of California, Berkeley); MacKinnon, James (); Randrianasolo, Harison Hanitriniaina (); Andriambololonera, Sylvie (); Razafimpahanana, Andriamandimbisoa (); Randriamahazo, Herilala (); Randrianarisoa, Jeannicq (); Razafinjatovo, Philippe (); Raxworthy, Chris (American Museum of Natural History); Schatz, George E (Missouri Botanical Garden); Tadross, Mark (University of Cape Town); Wilmé, Lucienne ()",86,17,0.9,,http://europepmc.org/articles/pmc2610084?pdf=render,https://app.dimensions.ai/details/publication/pub.1017142130,06 Biological Sciences,06 Biological Sciences,,,,
64,400,pub.1031948354,10.1196/annals.1439.009,18566095,,Protected Areas and Climate Change,Annals of the New York Academy of Sciences,,Conservation of Natural Resources; Ecosystem; Greenhouse Effect; Planning Techniques,2008-06,2008,1134,1,201-212,Closed,Article,"Hannah, Lee",,"Hannah, Lee (Conservation International)",72,15,0.62,9.74,,https://app.dimensions.ai/details/publication/pub.1031948354,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
65,100,pub.1038545690,10.1111/j.2007.0906-7590.05121.x,,,Spatial and temporal variation in species‐area relationships in the Fynbos biological hotspot,Ecography,,,2007-12,2007,30,6,852-861,"All OA; Green, Accepted & Submitted",Article,"Manne, Lisa L.; Williams, Paul H.; Midgley, Guy F.; Thuiller, Wilfried; Rebelo, Tony; Hannah, Lee",,"Manne, Lisa L. (); Williams, Paul H. (); Midgley, Guy F. (); Thuiller, Wilfried (); Rebelo, Tony (); Hannah, Lee ()",8,1,,0.78,http://www.utsc.utoronto.ca/~manne/Manne_etal_2007_ecography.pdf,https://app.dimensions.ai/details/publication/pub.1038545690,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
