,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Chen Ji. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
29,100,pub.1043637084,10.1193/1.1778388,,,"A Teleseismic Study of the 2002 Denali Fault, Alaska, Earthquake and Implications for Rapid Strong-Motion Estimation",Earthquake Spectra,,,2004-08,2004,20,3,617-637,Closed,Article,"Ji, Chen; Helmberger, Don V.; Wald, David J.",,"Ji, Chen (); Helmberger, Don V. (); Wald, David J. ()",23,3,,4.47,,https://app.dimensions.ai/details/publication/pub.1043637084,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
30,200,pub.1037777292,10.1785/gssrl.75.2.155,,,"Preliminary Report on the 22 December 2003, M 6.5 San Simeon, California Earthquake",Seismological Research Letters,,,2004-03-01,2004,75,2,155-172,"All OA; Green, Accepted & Submitted",Article,"Hardebeck, Jeanne L.; Boatwright, John; Dreger, Douglas; Goel, Rakesh; Graizer, Vladimir; Hudnut, Kenneth; Ji, Chen; Jones, Lucile; Langbein, John; Lin, Jian; Roeloffs, Evelyn; Simpson, Robert; Stark, Keith; Stein, Ross; Tinsley, John C.",,"Hardebeck, Jeanne L. (); Boatwright, John (); Dreger, Douglas (); Goel, Rakesh (); Graizer, Vladimir (); Hudnut, Kenneth (); Ji, Chen (); Jones, Lucile (); Langbein, John (); Lin, Jian (); Roeloffs, Evelyn (); Simpson, Robert (); Stark, Keith (); Stein, Ross (); Tinsley, John C. ()",54,1,,6.94,https://authors.library.caltech.edu/44969/1/155.full.pdf,https://app.dimensions.ai/details/publication/pub.1037777292,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
31,100,pub.1093624411,10.1109/hpcasia.2004.1324082,,,Simulations of Global Seismic Wave Propagation for 3-D Earth Model,,"Proceedings. Seventh International Conference on High Performance Computing and Grid in Asia Pacific Region, 2004.",,2004,2004,,,496-501,Closed,Proceeding,"Seiji, Tsuboi; Komatitsch, Dimitri; Ji, Chen; Tromp, Jeroen",,"Seiji, Tsuboi (); Komatitsch, Dimitri (California Institute of Technology); Ji, Chen (California Institute of Technology); Tromp, Jeroen (California Institute of Technology)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1093624411,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
32,100,pub.1040815824,10.1016/j.pepi.2003.09.012,,,Broadband modeling of the 2002 Denali fault earthquake on the Earth Simulator,Physics of The Earth and Planetary Interiors,,,2003-10,2003,139,3-4,305-313,Closed,Article,"Tsuboi, Seiji; Komatitsch, Dimitri; Ji, Chen; Tromp, Jeroen","Tsuboi, Seiji","Tsuboi, Seiji (Japan Agency for Marine-Earth Science and Technology); Komatitsch, Dimitri (California Institute of Technology); Ji, Chen (California Institute of Technology); Tromp, Jeroen (California Institute of Technology)",46,0,,4.7,,https://app.dimensions.ai/details/publication/pub.1040815824,0403 Geology; 04 Earth Sciences; 0404 Geophysics,0403 Geology,04 Earth Sciences,0404 Geophysics,,
33,100,pub.1020621787,10.1029/2002jb001764,,,"Slip history and dynamic implications of the 1999 Chi‐Chi, Taiwan, earthquake",Journal of Geophysical Research,,,2003-09,2003,108,B9,,"All OA; Green, Accepted & Submitted",Article,"Ji, Chen; Helmberger, Donald V.; Wald, David J.; Ma, Kuo‐Fong",,"Ji, Chen (California Institute of Technology); Helmberger, Donald V. (California Institute of Technology); Wald, David J. (United States Geological Survey); Ma, Kuo‐Fong (National Central University)",120,20,,14.4,https://authors.library.caltech.edu/35831/1/2002JB001764.pdf,https://app.dimensions.ai/details/publication/pub.1020621787,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
34,100,pub.1020457466,10.1029/2001jb001393,,,Velocity variations in the uppermost mantle beneath the southern Sierra Nevada and Walker Lane,Journal of Geophysical Research,,,2003-07,2003,108,B7,,All OA; Gold,Article,"Savage, Brian; Ji, Chen; Helmberger, Don V.",,"Savage, Brian (California Institute of Technology); Ji, Chen (California Institute of Technology); Helmberger, Don V. (California Institute of Technology)",15,1,,1.53,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2001JB001393,https://app.dimensions.ai/details/publication/pub.1020457466,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
35,100,pub.1006903600,10.1029/2002gl016724,,,"Static stress transfer during the 2002 Nenana Mountain‐Denali Fault, Alaska, earthquake sequence",Geophysical Research Letters,,,2003-03,2003,30,6,,All OA; Gold,Article,"Anderson, Greg; Ji, Chen",,"Anderson, Greg (United States Geological Survey); Ji, Chen (California Institute of Technology)",17,1,,1.74,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2002GL016724,https://app.dimensions.ai/details/publication/pub.1006903600,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
36,100,pub.1000747375,10.1029/2002gl015380,,,"Evidence for fault lubrication during the 1999 Chi‐Chi, Taiwan, earthquake (Mw7.6)",Geophysical Research Letters,,,2003-03,2003,30,5,n/a-n/a,All OA; Gold,Article,"Ma, Kuo‐Fong; Brodsky, Emily E.; Mori, Jim; Ji, Chen; Song, Teh‐Ru A.; Kanamori, Hiroo",,"Ma, Kuo‐Fong (National Central University); Brodsky, Emily E. (); Mori, Jim (Kyoto University); Ji, Chen (); Song, Teh‐Ru A. (); Kanamori, Hiroo ()",91,6,,10.92,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2002GL015380,https://app.dimensions.ai/details/publication/pub.1000747375,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
37,100,pub.1046965302,10.1145/1048935.1050155,,,"A 14.6 billion degrees of freedom, 5 teraflops, 2.5 terabyte earthquake simulation on the Earth Simulator",,Proceedings of the 2003 ACM/IEEE conference on Supercomputing - SC '03,,2003,2003,,,4-4,Closed,Proceeding,"Komatitsch, D.; Tsuboi, S.; Ji, Chen; Tromp, J.",,"Komatitsch, D. (California Institute of Technology); Tsuboi, S. (); Ji, Chen (); Tromp, J. ()",66,5,,7.92,,https://app.dimensions.ai/details/publication/pub.1046965302,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
38,100,pub.1040249746,10.1785/0120000916,,,"Source Description of the 1999 Hector Mine, California, Earthquake, Part I: Wavelet Domain Inversion Theory and Resolution Analysis",Bulletin of the Seismological Society of America,,,2002-05-01,2002,92,4,1192-1207,"All OA; Green, Accepted & Submitted",Article,"Ji, Chen; Wald, David J.; Helmberger, Donald V.",,"Ji, Chen (); Wald, David J. (); Helmberger, Donald V. ()",308,49,,33.59,https://authors.library.caltech.edu/35807/1/1192.full.pdf,https://app.dimensions.ai/details/publication/pub.1040249746,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
39,100,pub.1002940357,10.1785/0120000917,,,"Source Description of the 1999 Hector Mine, California, Earthquake, Part II: Complexity of Slip History",Bulletin of the Seismological Society of America,,,2002-05-01,2002,92,4,1208-1226,"All OA; Green, Accepted & Submitted",Article,"Ji, Chen; Wald, David J.; Helmberger, Donald V.",,"Ji, Chen (); Wald, David J. (); Helmberger, Donald V. ()",123,16,,13.41,https://authors.library.caltech.edu/35808/1/1208.full.pdf,https://app.dimensions.ai/details/publication/pub.1002940357,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
40,100,pub.1032359510,10.1029/2001gl013225,,,"Slip distribution and tectonic implication of the 1999 Chi‐Chi, Taiwan, Earthquake",Geophysical Research Letters,,,2001-12-01,2001,28,23,4379-4382,All OA; Gold,Article,"Ji, Chen; Helmberger, Donald V.; Song, Teh‐Ru Alex; Ma, Kuo‐Fong; Wald, David J.",,"Ji, Chen (California Institute of Technology); Helmberger, Donald V. (California Institute of Technology); Song, Teh‐Ru Alex (California Institute of Technology); Ma, Kuo‐Fong (National Central University); Wald, David J. (United States Geological Survey)",46,2,,5.47,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2001GL013225,https://app.dimensions.ai/details/publication/pub.1032359510,0403 Geology; 04 Earth Sciences; 0404 Geophysics,0403 Geology,04 Earth Sciences,0404 Geophysics,,
41,100,pub.1050413371,10.1785/0119990080,,,Basin Structure Estimation by Waveform Modeling: Forward and Inverse Methods,Bulletin of the Seismological Society of America,,,2000-08-01,2000,90,4,964-976,"All OA; Green, Accepted & Submitted",Article,"Ji, Chen; Helmberger, Don V.; Wald, David J.",,"Ji, Chen (); Helmberger, Don V. (); Wald, David J. ()",17,2,,1.75,https://authors.library.caltech.edu/35916/1/964.full.pdf,https://app.dimensions.ai/details/publication/pub.1050413371,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
