,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Leila M V Carvalho. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
36,100,pub.1005717570,10.1007/s10584-012-0504-7,,,"Changes in extreme daily rainfall for São Paulo, Brazil",Climatic Change,,,2013-02,2013,116,3-4,705-722,All OA; Gold,Article,"Silva Dias, Maria A. F.; Dias, Juliana; Carvalho, Leila M. V.; Freitas, Edmilson D.; Silva Dias, Pedro L.","Silva Dias, Maria A. F.","Silva Dias, Maria A. F. (University of Sao Paulo); Dias, Juliana (Earth System Research Laboratory); Carvalho, Leila M. V. (University of California, Santa Barbara); Freitas, Edmilson D. (University of Sao Paulo); Silva Dias, Pedro L. (University of Sao Paulo; Laboratório Nacional de Computação Científica)",47,19,,6.92,https://link.springer.com/content/pdf/10.1007%2Fs10584-012-0504-7.pdf,https://app.dimensions.ai/details/publication/pub.1005717570,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
37,100,pub.1063454919,10.1175/jcli-d-11-00335.1,,,Precipitation Characteristics of the South American Monsoon System Derived from Multiple Datasets,Journal of Climate,,,2012-07,2012,25,13,4600-4620,"All OA; Green, Accepted & Submitted",Article,"Carvalho, Leila M. V.; Jones, Charles; Posadas, Adolfo N. D.; Quiroz, Roberto; Bookhagen, Bodo; Liebmann, Brant",,"Carvalho, Leila M. V. (); Jones, Charles (); Posadas, Adolfo N. D. (); Quiroz, Roberto (); Bookhagen, Bodo (); Liebmann, Brant ()",28,7,,2.88,https://cgspace.cgiar.org/bitstream/10568/67714/1/75947.pdf,https://app.dimensions.ai/details/publication/pub.1063454919,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
38,100,pub.1038902686,10.1175/jcli-d-11-00278.1,,,Spatial–Intensity Variations in Extreme Precipitation in the Contiguous United States and the Madden–Julian Oscillation,Journal of Climate,,,2012-07,2012,25,14,4898-4913,Closed,Article,"Jones, Charles; Carvalho, Leila M. V.",,"Jones, Charles (); Carvalho, Leila M. V. ()",30,11,,3.41,,https://app.dimensions.ai/details/publication/pub.1038902686,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
39,100,pub.1014466037,10.1029/2012jc007964,,,Introduction to special section on Recent Advances in the Study of Optical Variability in the Near‐Surface and Upper Ocean,Journal of Geophysical Research,,,2012-07,2012,117,C7,n/a-n/a,"All OA; Green, Published",Article,"Dickey, T.; Banner, M. L.; Bhandari, P.; Boyd, T.; Carvalho, L.; Chang, G.; Chao, Y.; Czerski, H.; Darecki, M.; Dong, C.; Farmer, D.; Freeman, S.; Gemmrich, J.; Gernez, P.; Hall‐Patch, N.; Holt, B.; Jiang, S.; Jones, C.; Kattawar, G.; LeBel, D.; Lenain, L.; Lewis, M.; Liu, Y.; Logan, L.; Manov, D.; Melville, W. K.; Moline, M. A.; Morison, R.; Nencioli, F.; Pegau, W. S.; Reineman, B.; Robbins, I.; Röttgers, R.; Schultz, H.; Shen, L.; Shinki, M.; Slivkoff, M.; Sokólski, M.; Spada, F.; Statom, N.; Stramski, D.; Sutherland, P.; Twardowski, M.; Vagle, S.; Van Dommelen, R.; Voss, K.; Washburn, L.; Wei, J.; Wijesekera, H.; Wurl, O.; Yang, D.; Yildiz, S.; You, Y.; Yue, D. K. P.; Zaneveld, R.; Zappa, C. J.",,"Dickey, T. (University of California, Santa Barbara); Banner, M. L. (UNSW Sydney); Bhandari, P. (University of Miami); Boyd, T. (Oregon State University); Carvalho, L. (University of California, Santa Barbara); Chang, G. (); Chao, Y. (Remote Sensing Solutions (United States)); Czerski, H. (University of Southampton); Darecki, M. (Institute of Oceanology); Dong, C. (University of California Los Angeles); Farmer, D. (University of Rhode Island); Freeman, S. (Science Systems and Applications (United States)); Gemmrich, J. (University of Victoria); Gernez, P. (University of Nantes); Hall‐Patch, N. (Fisheries and Oceans Canada); Holt, B. (Jet Propulsion Lab); Jiang, S. (University of California, Santa Barbara); Jones, C. (University of California, Santa Barbara); Kattawar, G. (Texas A&M University); LeBel, D. (Lamont-Doherty Earth Observatory); Lenain, L. (University of California, San Diego); Lewis, M. (Dalhousie University); Liu, Y. (Massachusetts Institute of Technology); Logan, L. (University of Miami); Manov, D. (University of California, Santa Barbara); Melville, W. K. (University of California, San Diego); Moline, M. A. (California Polytechnic State University); Morison, R. (UNSW Sydney); Nencioli, F. (Mediterranean Institute of Oceanography); Pegau, W. S. (); Reineman, B. (University of California, San Diego); Robbins, I. (California Polytechnic State University); Röttgers, R. (Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research); Schultz, H. (University of Massachusetts System); Shen, L. (Johns Hopkins University); Shinki, M. (); Slivkoff, M. (); Sokólski, M. (Institute of Oceanology); Spada, F. (); Statom, N. (University of California, San Diego); Stramski, D. (University of California, San Diego); Sutherland, P. (University of California, San Diego); Twardowski, M. (); Vagle, S. (Fisheries and Oceans Canada); Van Dommelen, R. (); Voss, K. (University of Miami); Washburn, L. (University of California, Santa Barbara); Wei, J. (Dalhousie University); Wijesekera, H. (United States Naval Research Laboratory); Wurl, O. (Old Dominion University); Yang, D. (Johns Hopkins University); Yildiz, S. (University of California, San Diego); You, Y. (Texas A&M University); Yue, D. K. P. (Massachusetts Institute of Technology); Zaneveld, R. (); Zappa, C. J. (Lamont-Doherty Earth Observatory)",18,2,,2.05,https://digitalcommons.odu.edu/cgi/viewcontent.cgi?article=1275&context=oeas_fac_pubs,https://app.dimensions.ai/details/publication/pub.1014466037,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
40,100,pub.1044494254,10.1175/jcli-d-11-00157.1,,,Seasonality of African Precipitation from 1996 to 2009,Journal of Climate,,,2012-06,2012,25,12,4304-4322,Closed,Article,"Liebmann, Brant; Bladé, Ileana; Kiladis, George N.; Carvalho, Leila M. V.; Senay, Gabriel B.; Allured, Dave; Leroux, Stephanie; Funk, Chris",,"Liebmann, Brant (); Bladé, Ileana (); Kiladis, George N. (); Carvalho, Leila M. V. (); Senay, Gabriel B. (); Allured, Dave (); Leroux, Stephanie (); Funk, Chris ()",75,24,,7.71,,https://app.dimensions.ai/details/publication/pub.1044494254,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
41,100,pub.1024966945,10.1175/jcli-d-11-00586.1,,,Forecast Skill of the South American Monsoon System,Journal of Climate,,,2012-03,2012,25,6,1883-1889,Closed,Article,"Jones, Charles; Carvalho, Leila M. V.; Liebmann, Brant",,"Jones, Charles (); Carvalho, Leila M. V. (); Liebmann, Brant ()",10,1,,1.03,,https://app.dimensions.ai/details/publication/pub.1024966945,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
42,100,pub.1007520560,10.1002/joc.2254,,,Recent developments on the South American monsoon system,International Journal of Climatology,,,2012-01,2012,32,1,1-21,All OA; Gold,Article,"Marengo, J. A.; Liebmann, B.; Grimm, A. M.; Misra, V.; Dias, P. L. Silva; Cavalcanti, I. F. A.; Carvalho, L. M. V.; Berbery, E. H.; Ambrizzi, T.; Vera, C. S.; Saulo, A. C.; Nogues‐Paegle, J.; Zipser, E.; Seth, A.; Alves, L. M.",,"Marengo, J. A. (); Liebmann, B. (); Grimm, A. M. (Federal University of Paraná); Misra, V. (Florida State University); Dias, P. L. Silva (University of Sao Paulo); Cavalcanti, I. F. A. (); Carvalho, L. M. V. (University of California, Santa Barbara); Berbery, E. H. (University of Maryland, College Park); Ambrizzi, T. (University of Sao Paulo); Vera, C. S. (University of Buenos Aires); Saulo, A. C. (University of Buenos Aires); Nogues‐Paegle, J. (University of Utah); Zipser, E. (University of Utah); Seth, A. (University of Connecticut); Alves, L. M. (University of Sao Paulo)",177,53,,18.2,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1002/joc.2254,https://app.dimensions.ai/details/publication/pub.1007520560,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
43,100,pub.1007485960,10.1002/joc.2147,,,The South American Monsoon System and the 1970s climate transition,International Journal of Climatology,,,2011-06-30,2011,31,8,1248-1256,All OA; Gold,Article,"Carvalho, Leila M. V.; Jones, Charles; Silva, Ana E.; Liebmann, Brant; Dias, Pedro L. Silva",,"Carvalho, Leila M. V. (University of Sao Paulo; University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Silva, Ana E. (University of Sao Paulo); Liebmann, Brant (Cooperative Institute for Research in Environmental Sciences); Dias, Pedro L. Silva (University of Sao Paulo)",48,12,,4.89,http://onlinelibrary.wiley.com/doi/10.1002/joc.2147/pdf,https://app.dimensions.ai/details/publication/pub.1007485960,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
44,100,pub.1009830202,10.1007/s00382-010-0836-9,,,The South Atlantic dipole and variations in the characteristics of the South American Monsoon in the WCRP-CMIP3 multi-model simulations,Climate Dynamics,,,2011-06,2011,36,11-12,2091-2102,All OA; Gold,Article,"Bombardi, Rodrigo J.; Carvalho, Leila M. V.","Bombardi, Rodrigo J.","Bombardi, Rodrigo J. (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara)",25,7,,2.55,https://link.springer.com/content/pdf/10.1007%2Fs00382-010-0836-9.pdf,https://app.dimensions.ai/details/publication/pub.1009830202,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
45,100,pub.1038791724,10.1007/s00382-010-0806-2,,,Moisture transport and intraseasonal variability in the South America monsoon system,Climate Dynamics,,,2011-05,2011,36,9-10,1865-1880,All OA; Gold,Article,"Carvalho, Leila M. V.; Silva, Ana E.; Jones, Charles; Liebmann, Brant; Silva Dias, Pedro L.; Rocha, Humberto R.","Carvalho, Leila M. V.","Carvalho, Leila M. V. (University of Sao Paulo; University of California, Santa Barbara); Silva, Ana E. (University of Sao Paulo); Jones, Charles (University of California, Santa Barbara); Liebmann, Brant (Cooperative Institute for Research in Environmental Sciences); Silva Dias, Pedro L. (University of Sao Paulo); Rocha, Humberto R. (University of Sao Paulo)",47,11,,4.79,https://link.springer.com/content/pdf/10.1007%2Fs00382-010-0806-2.pdf,https://app.dimensions.ai/details/publication/pub.1038791724,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
46,100,pub.1036017573,10.1175/2011jcli-d-10-05002.1,,,The Madden–Julian Oscillation and the Relative Value of Deterministic Forecasts of Extreme Precipitation in the Contiguous United States,Journal of Climate,,,2011-05,2011,24,10,2421-2428,Closed,Article,"Jones, Charles; Carvalho, Leila M. V.; Gottschalck, Jon; Higgins, Wayne",,"Jones, Charles (); Carvalho, Leila M. V. (); Gottschalck, Jon (); Higgins, Wayne ()",20,0,,2.1,,https://app.dimensions.ai/details/publication/pub.1036017573,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,,
47,100,pub.1037349186,10.1175/2010mwr3512.1,,,Influence of the Madden–Julian Oscillation on Forecasts of Extreme Precipitation in the Contiguous United States,Monthly Weather Review,,,2011-02,2011,139,2,332-350,Closed,Article,"Jones, Charles; Gottschalck, Jon; Carvalho, Leila M. V.; Higgins, Wayne",,"Jones, Charles (); Gottschalck, Jon (); Carvalho, Leila M. V. (); Higgins, Wayne ()",33,7,,3.46,,https://app.dimensions.ai/details/publication/pub.1037349186,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,,
48,100,pub.1039147686,10.1002/qj.765,,,Will global warming modify the activity of the Madden–Julian Oscillation?,Quarterly Journal of the Royal Meteorological Society,,,2011-01,2011,137,655,544-552,All OA; Gold,Article,"Jones, Charles; Carvalho, Leila M. V.",,"Jones, Charles (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara)",29,3,,3.14,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1002/qj.765,https://app.dimensions.ai/details/publication/pub.1039147686,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
49,100,pub.1023065572,10.1175/2010jcli3457.1,,,Mechanisms Associated with Large Daily Rainfall Events in Northeast Brazil,Journal of Climate,,,2011-01,2011,24,2,376-396,Closed,Article,"Liebmann, Brant; Kiladis, George N.; Allured, Dave; Vera, Carolina S.; Jones, Charles; Carvalho, Leila M. V.; Bladé, Ileana; Gonzáles, Paula L. M.",,"Liebmann, Brant (); Kiladis, George N. (); Allured, Dave (); Vera, Carolina S. (); Jones, Charles (); Carvalho, Leila M. V. (); Bladé, Ileana (); Gonzáles, Paula L. M. ()",14,2,,1.43,,https://app.dimensions.ai/details/publication/pub.1023065572,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
50,100,pub.1022713569,10.1007/s00382-009-0660-2,,,Stochastic simulations of the Madden–Julian oscillation activity,Climate Dynamics,,,2011-01,2011,36,1-2,229-246,All OA; Gold,Article,"Jones, Charles; Carvalho, Leila M. V.","Jones, Charles","Jones, Charles (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara; University of Sao Paulo)",27,2,,3.49,https://link.springer.com/content/pdf/10.1007%2Fs00382-009-0660-2.pdf,https://app.dimensions.ai/details/publication/pub.1022713569,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
51,100,pub.1000634922,10.1175/2010mwr3406.1,,,Forecast Skill of Synoptic Conditions Associated with Santa Ana Winds in Southern California,Monthly Weather Review,,,2010-12,2010,138,12,4528-4541,Closed,Article,"Jones, Charles; Fujioka, Francis; Carvalho, Leila M. V.",,"Jones, Charles (); Fujioka, Francis (); Carvalho, Leila M. V. ()",14,5,,1.3,,https://app.dimensions.ai/details/publication/pub.1000634922,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
52,100,pub.1031090972,10.1007/s00382-008-0488-1,,,IPCC global coupled model simulations of the South America monsoon system,Climate Dynamics,,,2009-12,2009,33,7-8,893,"All OA; Green, Accepted & Submitted",Article,"Bombardi, Rodrigo J.; Carvalho, Leila M. V.","Bombardi, Rodrigo J.","Bombardi, Rodrigo J. (University of Sao Paulo); Carvalho, Leila M. V. (University of Sao Paulo; University of California, Santa Barbara)",48,11,,4.19,http://www.icess.ucsb.edu/gem/papers/Bombardi_Carvalho_IPCC_SAMS_Clim_dyn2008.pdf,https://app.dimensions.ai/details/publication/pub.1031090972,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
53,100,pub.1035618466,10.1175/2008jcli2257.1,,,Intraseasonal and Interannual Variability of Extreme Dry and Wet Events over Southeastern South America and the Subtropical Atlantic during Austral Summer,Journal of Climate,,,2009-04,2009,22,7,1682-1699,"All OA; Green, Accepted & Submitted",Article,"Muza, Michel N.; Carvalho, Leila M. V.; Jones, Charles; Liebmann, Brant",,"Muza, Michel N. (); Carvalho, Leila M. V. (); Jones, Charles (); Liebmann, Brant ()",43,10,,4.43,http://www.icess.ucsb.edu/gem/papers/Muza_et_al_2009_interan_intras.pdf,https://app.dimensions.ai/details/publication/pub.1035618466,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
54,100,pub.1035543199,10.1175/2008jcli2340.1,,,Origin of Convectively Coupled Kelvin Waves over South America,Journal of Climate,,,2009-01,2009,22,2,300-315,Closed,Article,"Liebmann, Brant; Kiladis, George N.; Carvalho, Leila M. V.; Jones, Charles; Vera, Carolina S.; Bladé, Ileana; Allured, Dave",,"Liebmann, Brant (); Kiladis, George N. (); Carvalho, Leila M. V. (); Jones, Charles (); Vera, Carolina S. (); Bladé, Ileana (); Allured, Dave ()",37,5,,3,,https://app.dimensions.ai/details/publication/pub.1035543199,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
55,100,pub.1050847678,10.5194/npg-14-723-2007,,,Anti-persistence in the global temperature anomaly field,Nonlinear Processes in Geophysics,,,2007-11-26,2007,14,6,723-733,All OA; Gold,Article,"Carvalho, L. M. V.; Tsonis, A. A.; Jones, C.; Rocha, H. R.; Polito, P. S.",,"Carvalho, L. M. V. (University of Sao Paulo; University of California, Santa Barbara); Tsonis, A. A. (University of Wisconsin–Milwaukee); Jones, C. (University of California, Santa Barbara); Rocha, H. R. (University of Sao Paulo); Polito, P. S. (University of Sao Paulo)",14,2,,,https://www.nonlin-processes-geophys.net/14/723/2007/npg-14-723-2007.pdf,https://app.dimensions.ai/details/publication/pub.1050847678,04 Earth Sciences,04 Earth Sciences,,,,
56,100,pub.1020987424,10.1175/jcli4122.1,,,Onset and End of the Rainy Season in South America in Observations and the ECHAM 4.5 Atmospheric General Circulation Model,Journal of Climate,,,2007-05,2007,20,10,2037-2050,"All OA; Green, Published",Article,"Liebmann, Brant; Camargo, Suzana J.; Seth, Anji; Marengo, José A.; Carvalho, Leila M. V.; Allured, Dave; Fu, Rong; Vera, Carolina S.",,"Liebmann, Brant (); Camargo, Suzana J. (); Seth, Anji (); Marengo, José A. (); Carvalho, Leila M. V. (); Allured, Dave (); Fu, Rong (); Vera, Carolina S. ()",65,22,,6.69,https://academiccommons.columbia.edu/doi/10.7916/D8T444SB/download,https://app.dimensions.ai/details/publication/pub.1020987424,09 Engineering; 0405 Oceanography; 0909 Geomatic Engineering; 04 Earth Sciences; 0401 Atmospheric Sciences,09 Engineering,0405 Oceanography,0909 Geomatic Engineering,04 Earth Sciences,0401 Atmospheric Sciences
57,100,pub.1051176986,10.1007/978-0-387-34918-3_21,,,On the Spatiotemporal Variability of the Temperature Anomaly Field,,Nonlinear Dynamics in Geosciences,,2007,2007,,,393-406,Closed,Chapter,"Carvalho, Leila M. V.; Tsonis, Anastasios A.; Jones, Charles",,"Carvalho, Leila M. V. (); Tsonis, Anastasios A. (); Jones, Charles ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1051176986,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
58,100,pub.1029601220,10.1175/jcli3972.1,,,Changes in the Activity of the Madden–Julian Oscillation during 1958–2004,Journal of Climate,,,2006-12,2006,19,24,6353-6370,Closed,Article,"Jones, Charles; Carvalho, Leila M. V.",,"Jones, Charles (); Carvalho, Leila M. V. ()",47,11,,4.49,,https://app.dimensions.ai/details/publication/pub.1029601220,09 Engineering; 0405 Oceanography; 0909 Geomatic Engineering; 04 Earth Sciences; 0401 Atmospheric Sciences,09 Engineering,0405 Oceanography,0909 Geomatic Engineering,04 Earth Sciences,0401 Atmospheric Sciences
59,100,pub.1009116306,10.5194/npg-13-651-2006,,,"Complexity and predictability of daily precipitation in a semi-arid region: an application to Ceará, Brazil",Nonlinear Processes in Geophysics,,,2006-11-27,2006,13,6,651-659,All OA; Gold,Article,"Silva, M. E. S.; Carvalho, L. M. V.; da Silva Dias, M. A. F.; de M. B. S. Xavier, T.",,"Silva, M. E. S. (University of Sao Paulo); Carvalho, L. M. V. (University of Sao Paulo); da Silva Dias, M. A. F. (University of Sao Paulo; National Institute for Space Research); de M. B. S. Xavier, T. ()",9,2,,0.71,https://www.nonlin-processes-geophys.net/13/651/2006/npg-13-651-2006.pdf,https://app.dimensions.ai/details/publication/pub.1009116306,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
60,400,pub.1008769504,10.1016/j.envint.2004.08.004,15734187,,The effects of air pollution and meteorological parameters on respiratory morbidity during the summer in São Paulo City,Environment International,,"Adolescent; Air Pollutants; Brazil; Child; Child Welfare; Child, Preschool; Cities; Female; Humans; Infant; Infant, Newborn; Male; Meteorological Concepts; Morbidity; Oxidants, Photochemical; Ozone; Particle Size; Principal Component Analysis; Respiratory Tract Diseases; Retrospective Studies; Seasons; Sulfur Dioxide",2005-04,2005,31,3,343-349,Closed,Article,"Gonçalves, F.L.T.; Carvalho, L.M.V.; Conde, F.C.; Latorre, M.R.D.O.; Saldiva, P.H.N.; Braga, A.L.F","Gonçalves, F.L.T.","Gonçalves, F.L.T. (University of Sao Paulo); Carvalho, L.M.V. (University of Sao Paulo); Conde, F.C. (University of Sao Paulo); Latorre, M.R.D.O. (University of Sao Paulo); Saldiva, P.H.N. (University of Sao Paulo); Braga, A.L.F (University of Sao Paulo)",39,4,0.69,6.05,,https://app.dimensions.ai/details/publication/pub.1008769504,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
61,100,pub.1020856448,10.1175/jcli-3284.1,,,Opposite Phases of the Antarctic Oscillation and Relationships with Intraseasonal to Interannual Activity in the Tropics during the Austral Summer,Journal of Climate,,,2005-03,2005,18,5,702-718,Closed,Article,"Carvalho, Leila M. V.; Jones, Charles; Ambrizzi, Tércio",,"Carvalho, Leila M. V. (); Jones, Charles (); Ambrizzi, Tércio ()",115,16,,8.93,,https://app.dimensions.ai/details/publication/pub.1020856448,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
62,100,pub.1033643983,10.1175/3205.1,,,An Observed Trend in Central South American Precipitation,Journal of Climate,,,2004-11,2004,17,22,4357-4367,"All OA; Green, Accepted & Submitted",Article,"Liebmann, Brant; Vera, Carolina S.; Carvalho, Leila M. V.; Camilloni, Inés A.; Hoerling, Martin P.; Allured, Dave; Barros, Vicente R.; Báez, Julián; Bidegain, Mario",,"Liebmann, Brant (); Vera, Carolina S. (); Carvalho, Leila M. V. (); Camilloni, Inés A. (); Hoerling, Martin P. (); Allured, Dave (); Barros, Vicente R. (); Báez, Julián (); Bidegain, Mario ()",107,19,,6.86,http://www.icess.ucsb.edu/gem/Liebmann.et.al.2004.trends.precip.pdf,https://app.dimensions.ai/details/publication/pub.1033643983,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
63,100,pub.1006150476,10.1175/1520-0442(2004)017<3829:svoris>2.0.co;2,,,Subseasonal Variations of Rainfall in South America in the Vicinity of the Low-Level Jet East of the Andes and Comparison to Those in the South Atlantic Convergence Zone,Journal of Climate,,,2004-10,2004,17,19,3829-3842,Closed,Article,"Liebmann, Brant; Kiladis, George N.; Vera, Carolina S.; Saulo, A. Celeste; Carvalho, Leila M. V.",,"Liebmann, Brant (); Kiladis, George N. (); Vera, Carolina S. (); Saulo, A. Celeste (); Carvalho, Leila M. V. ()",119,13,,11.26,,https://app.dimensions.ai/details/publication/pub.1006150476,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
64,100,pub.1048294570,10.1175/1520-0442(2004)017<2078:asfmot>2.0.co;2,,,A Statistical Forecast Model of Tropical Intraseasonal Convective Anomalies,Journal of Climate,,,2004-06,2004,17,11,2078-2095,Closed,Article,"Jones, Charles; Carvalho, Leila M. V.; Higgins, R. Wayne; Waliser, Duane E.; Schemm, J-K. E.",,"Jones, Charles (); Carvalho, Leila M. V. (); Higgins, R. Wayne (); Waliser, Duane E. (); Schemm, J-K. E. ()",59,7,,5.6,,https://app.dimensions.ai/details/publication/pub.1048294570,09 Engineering; 0405 Oceanography; 0909 Geomatic Engineering; 04 Earth Sciences; 0401 Atmospheric Sciences,09 Engineering,0405 Oceanography,0909 Geomatic Engineering,04 Earth Sciences,0401 Atmospheric Sciences
65,100,pub.1005636358,10.1175/1520-0442(2004)017<0523:cotica>2.0.co;2,,,Climatology of Tropical Intraseasonal Convective Anomalies: 1979–2002,Journal of Climate,,,2004-02,2004,17,3,523-539,Closed,Article,"Jones, Charles; Carvalho, Leila M. V.; Higgins, R. Wayne; Waliser, Duane E.; Schemm, J-K. E.",,"Jones, Charles (); Carvalho, Leila M. V. (); Higgins, R. Wayne (); Waliser, Duane E. (); Schemm, J-K. E. ()",82,9,,5.26,,https://app.dimensions.ai/details/publication/pub.1005636358,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
66,100,pub.1047365283,10.1175/1520-0442(2004)017<0088:tsaczi>2.0.co;2,,,"The South Atlantic Convergence Zone: Intensity, Form, Persistence, and Relationships with Intraseasonal to Interannual Activity and Extreme Rainfall",Journal of Climate,,,2004-01,2004,17,1,88-108,"All OA; Green, Accepted & Submitted",Article,"Carvalho, Leila M. V.; Jones, Charles; Liebmann, Brant",,"Carvalho, Leila M. V. (); Jones, Charles (); Liebmann, Brant ()",354,78,,33.49,http://www.icess.ucsb.edu/gem/Carvalho_Jones_Liebmann_2004_sacz_jclimate.pdf,https://app.dimensions.ai/details/publication/pub.1047365283,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
67,100,pub.1043676472,10.1175/1520-0493(2003)131<0961:vosacc>2.0.co;2,,,Variability of South American Convective Cloud Systems and Tropospheric Circulation during January–March 1998 and 1999,Monthly Weather Review,,,2003-05,2003,131,5,961-973,"All OA; Green, Accepted & Submitted",Article,"Ferreira, Rosana Nieto; Rickenbach, Thomas M.; Herdies, Dirceu L.; Carvalho, Leila M. V.",,"Ferreira, Rosana Nieto (); Rickenbach, Thomas M. (); Herdies, Dirceu L. (); Carvalho, Leila M. V. ()",40,2,,3.34,http://hdl.handle.net/2060/20020060501,https://app.dimensions.ai/details/publication/pub.1043676472,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
68,100,pub.1035581502,10.1175/1520-0442(2002)015<2377:epeiss>2.0.co;2,,,Extreme Precipitation Events in Southeastern South America and Large-Scale Convective Patterns in the South Atlantic Convergence Zone,Journal of Climate,,,2002-09,2002,15,17,2377-2394,Closed,Article,"Carvalho, Leila M. V.; Jones, Charles; Liebmann, Brant",,"Carvalho, Leila M. V. (); Jones, Charles (); Liebmann, Brant ()",158,26,,11.72,,https://app.dimensions.ai/details/publication/pub.1035581502,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,,
69,100,pub.1051906249,10.1029/2001gl014276,,,Multifractal properties of evolving convective systems over tropical South America,Geophysical Research Letters,,,2002-08,2002,29,15,33-1-33-4,All OA; Gold,Article,"Carvalho, Leila M. V.; Lavallée, Daniel; Jones, Charles",,"Carvalho, Leila M. V. (University of Sao Paulo; University of California, Santa Barbara); Lavallée, Daniel (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara)",14,2,,2.18,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2001GL014276,https://app.dimensions.ai/details/publication/pub.1051906249,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
