,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Raul K Suarez. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
36,400,pub.1040556925,10.1002/jez.1040,11471140,,Fuel use in hawkmoth (Amphion floridensis) flight muscle: Enzyme activities and flux rates,Journal of Experimental Zoology,,"Animals; Body Weight; Carnitine O-Palmitoyltransferase; Energy Metabolism; Feeding Behavior; Female; Flight, Animal; Male; Moths; Muscles; Oxygen Consumption; Pupa; Sex Characteristics",2001-07-01,2001,290,2,108-114,Closed,Article,"O’Brien, Diane M.; Suarez, Raul K.",,"O’Brien, Diane M. (Princeton University; Swarthmore College); Suarez, Raul K. (University of California, Santa Barbara)",8,0,0.22,0.46,,https://app.dimensions.ai/details/publication/pub.1040556925,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
37,400,pub.1058622309,10.1086/318112,11121349,,Energy metabolism during insect flight: biochemical design and physiological performance.,Physiological and Biochemical Zoology,,"Animals; Energy Metabolism; Flight, Animal; Glycolysis; Insecta; Models, Biological",2000-11,2000,73,6,765-71,Closed,Article,"Suarez, R K",,"Suarez, R K (University of California, Santa Barbara)",64,9,1.33,9.61,,https://app.dimensions.ai/details/publication/pub.1058622309,06 Biological Sciences; 0608 Zoology,06 Biological Sciences,0608 Zoology,,,
38,400,pub.1074588421,,10667973,,Mitochondrial function in flying honeybees (Apis mellifera): respiratory chain enzymes and electron flow from complex III to oxygen.,Journal of Experimental Biology,,"Animals; Bees; Electron Transport; Electron Transport Complex III; Electron Transport Complex IV; Enzymes; Microscopy, Electron; Mitochondria; Muscles; Oxygen Consumption",2000-03,2000,203,Pt 5,905-11,Closed,Article,"Suarez, R K; Staples, J F; Lighton, J R; Mathieu-Costello, O",,"Suarez, R K (University of California, Santa Barbara); Staples, J F (); Lighton, J R (); Mathieu-Costello, O ()",23,4,0.87,1.39,,https://app.dimensions.ai/details/publication/pub.1074588421,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
39,100,pub.1014437574,10.1016/s1568-1254(00)80004-2,,,Chapter 2 Quantitative design of muscle energy metabolism for steady-state work,Cell and Molecular Response to Stress,Environmental Stressors and Gene Responses,,2000,2000,1,,17-28,Closed,Chapter,"Suarez, Raul K.",,"Suarez, Raul K. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1014437574,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
40,200,pub.1029971056,10.1016/s1095-6433(99)90037-5,,,How enzymes operate in vivo: enzyme fractional velocities and turnover rates in flying honeybees,Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,,1999-08,1999,124,,s10,Closed,Article,"Suarez, RK; Staples, JF; Lighton, JRB",,"Suarez, RK (); Staples, JF (); Lighton, JRB ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1029971056,0606 Physiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences; 0608 Zoology,0606 Physiology,0601 Biochemistry and Cell Biology,06 Biological Sciences,0608 Zoology,
41,100,pub.1011004478,10.1002/(sici)1097-010x(19990615)284:1<1::aid-jez1>3.0.co;2-p,,,Turnover rates of mitochondrial respiratory chain enzymes in flying honeybees (Apis mellifera),Journal of Experimental Zoology,,,1999-06-15,1999,284,1,1-6,Closed,Article,"Suarez, R.K.; Staples, J.F.; Lighton, J.R.B.",,"Suarez, R.K. (University of California, Santa Barbara); Staples, J.F. (University of California, Santa Barbara); Lighton, J.R.B. (University of Nevada, Las Vegas)",11,1,,,,https://app.dimensions.ai/details/publication/pub.1011004478,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
42,100,pub.1021398486,10.1016/s0305-0491(98)00019-4,,,Integrating metabolic pathway fluxes with gene-to-enzyme expression rates,Comparative Biochemistry and Physiology Part B Biochemistry and Molecular Biology,,,1998-05,1998,120,1,17-26,Closed,Article,"Hochachka, P.W.; McClelland, G.B.; Burness, G.P.; Staples, J.F.; Suarez, R.K.","Hochachka, P.W.","Hochachka, P.W. (University of British Columbia); McClelland, G.B. (University of British Columbia); Burness, G.P. (University of British Columbia); Staples, J.F. (University of California, Santa Barbara); Suarez, R.K. (University of California, Santa Barbara)",27,3,,,,https://app.dimensions.ai/details/publication/pub.1021398486,0604 Genetics; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0604 Genetics,0601 Biochemistry and Cell Biology,06 Biological Sciences,,
43,400,pub.1083230248,,9510520,,Oxygen and the upper limits to animal design and performance.,Journal of Experimental Biology,,"Animals; Biological Evolution; Energy Metabolism; Flight, Animal; Oxygen",1998-04,1998,201,Pt 8,1065-72,Closed,Article,"Suarez, R K",,"Suarez, R K (University of California, Santa Barbara)",50,4,0.99,,,https://app.dimensions.ai/details/publication/pub.1083230248,0606 Physiology; 06 Biological Sciences; 0608 Zoology,0606 Physiology,06 Biological Sciences,0608 Zoology,,
44,400,pub.1036177060,10.1073/pnas.94.13.7065,9192692,PMC21285,Relationships between enzymatic flux capacities and metabolic flux rates: Nonequilibrium reactions in muscle glycolysis,Proceedings of the National Academy of Sciences,,Animals; Catalysis; Enzymes; Fishes; Glycolysis; Hexokinase; Kinetics; Muscles; Phosphofructokinase-1; Phosphorylases,1997-06-24,1997,94,13,7065-7069,All OA; Gold,Article,"Suarez, R. K.; Staples, J. F.; Lighton, J. R. B.; West, T. G.",,"Suarez, R. K. (University of California, Santa Barbara); Staples, J. F. (University of California, Santa Barbara); Lighton, J. R. B. (University of Nevada, Las Vegas); West, T. G. (University of Cambridge)",58,3,1.34,,http://www.pnas.org/content/94/13/7065.full.pdf,https://app.dimensions.ai/details/publication/pub.1036177060,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
45,400,pub.1058831789,10.1086/639570,9231389,,"Effects of ambient oxygen tension on flight performance, metabolism, and water loss of the honeybee.",Physiological and Biochemical Zoology,,"Animals; Bees; Body Temperature; Environment; Flight, Animal; Oxygen; Partial Pressure; Thorax; Water Loss, Insensible; Wings, Animal",1997-03,1997,70,2,167-74,Closed,Article,"Joos, B; Lighton, J R; Harrison, J F; Suarez, R K; Roberts, S P",,"Joos, B (University of Nevada, Las Vegas); Lighton, J R (); Harrison, J F (); Suarez, R K (); Roberts, S P ()",41,1,1.24,,,https://app.dimensions.ai/details/publication/pub.1058831789,0606 Physiology; 06 Biological Sciences; 0608 Zoology,0606 Physiology,06 Biological Sciences,0608 Zoology,,
46,400,pub.1000034238,10.1073/pnas.93.22.12616,8901631,PMC38041,"Energy metabolism, enzymatic flux capacities, and metabolic flux rates in flying honeybees",Proceedings of the National Academy of Sciences,,Animals; Bees; Carbon; Citrate (si)-Synthase; Electron Transport Complex IV; Energy Metabolism; Hexokinase; Hexoses; Kinetics; Muscles; Oxygen Consumption; Phosphofructokinase-1,1996-10-29,1996,93,22,12616-12620,All OA; Gold,Article,"Suarez, R K; Lighton, J R; Joos, B; Roberts, S P; Harrison, J F",,"Suarez, R K (University of California, Santa Barbara); Lighton, J R (); Joos, B (); Roberts, S P (); Harrison, J F ()",76,6,1.97,,http://www.pnas.org/content/93/22/12616.full.pdf,https://app.dimensions.ai/details/publication/pub.1000034238,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
47,200,pub.1058931469,10.1086/physzool.68.4.30166358,,,Sustaining the Highest Mass-Specific Metabolic Rates in the Animal Kingdom,Physiological and Biochemical Zoology,,,1995-07,1995,68,4,23-25,Closed,Article,"Suarez, Raul K.",,"Suarez, Raul K. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1058931469,11 Medical and Health Sciences; 1116 Medical Physiology; 0606 Physiology; 06 Biological Sciences; 0608 Zoology,11 Medical and Health Sciences,1116 Medical Physiology,0606 Physiology,06 Biological Sciences,0608 Zoology
48,100,pub.1045493460,10.1002/jez.1402630402,,,Mitochondrial respiration in locust flight muscles,Journal of Experimental Zoology,,,1992-10-01,1992,263,4,351-355,Closed,Article,"Suarez, Raul K.; Moyes, Christopher D.",,"Suarez, Raul K. (Simon Fraser University); Moyes, Christopher D. (Simon Fraser University)",4,0,,,,https://app.dimensions.ai/details/publication/pub.1045493460,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
49,400,pub.1030819974,10.1016/0034-5687(92)90075-8,1518983,,Capillary-to-fiber geometry and mitochondrial density in hummingbird flight muscle,Respiratory Physiology & Neurobiology,,"Animals; Birds; Capillaries; Female; Flight, Animal; Male; Mitochondria, Muscle; Muscles; Oxygen Consumption",1992-07,1992,89,1,113-132,Closed,Article,"Mathieu-Costello, O.; Suarez, R.K.; Hochachka, P.W.","Mathieu-Costello, O.","Mathieu-Costello, O. (University of California, San Diego); Suarez, R.K. (Simon Fraser University); Hochachka, P.W. (University of British Columbia)",80,9,3.3,,,https://app.dimensions.ai/details/publication/pub.1030819974,1109 Neurosciences; 1102 Cardiorespiratory Medicine and Haematology; 1116 Medical Physiology; 11 Medical and Health Sciences,1109 Neurosciences,1102 Cardiorespiratory Medicine and Haematology,1116 Medical Physiology,11 Medical and Health Sciences,
50,400,pub.1032830929,10.1007/bf01920240,1612136,,Hummingbird flight: Sustaining the highest mass-specific metabolic rates among vertebrates,Cellular and Molecular Life Sciences,,"Animals; Birds; Energy Metabolism; Flight, Animal; Kinetics; Microscopy, Electron; Mitochondria; Muscles; Oxygen Consumption",1992-06,1992,48,6,565-570,Closed,Article,"Suarez, R. K.",,"Suarez, R. K. (Simon Fraser University)",103,16,3.01,,,https://app.dimensions.ai/details/publication/pub.1032830929,0606 Physiology; 06 Biological Sciences; 0608 Zoology,0606 Physiology,06 Biological Sciences,0608 Zoology,,
51,200,pub.1028445634,10.1007/bf01920235,1612133,,Ecological implications of metabolic biochemistry: Elephant parts and the third secret of life,Cellular and Molecular Life Sciences,,Animals; Biochemical Phenomena; Biochemistry; Biological Evolution; Ecology; Metabolism,1992-06,1992,48,6,535-536,Closed,Article,"Suarez, R. K.",,"Suarez, R. K. (Simon Fraser University)",4,0,0.11,,,https://app.dimensions.ai/details/publication/pub.1028445634,11 Medical and Health Sciences; 1103 Clinical Sciences; 0606 Physiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,11 Medical and Health Sciences,1103 Clinical Sciences,0606 Physiology,0601 Biochemistry and Cell Biology,06 Biological Sciences
52,400,pub.1033363894,10.1007/bf02265151,24213727,,"Effects of exercise-training on cardiac performance and muscle enzymes in rainbow trout,Oncorhynchus mykiss",Fish Physiology and Biochemistry,,,1991-12,1991,9,4,303-312,Closed,Article,"Farrell, A. P.; Johansen, J. A.; Suarez, R. K.",,"Farrell, A. P. (Simon Fraser University); Johansen, J. A. (Simon Fraser University); Suarez, R. K. (Simon Fraser University)",92,5,2.57,,,https://app.dimensions.ai/details/publication/pub.1033363894,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
53,400,pub.1048581766,10.1002/jez.1402600216,1940827,,Peroxisomal β‐oxidation: Insights from comparative biochemistry,Journal of Experimental Zoology,,"Acyl-CoA Oxidase; Animals; Birds; Carnitine O-Palmitoyltransferase; Dogfish; Fishes; Hagfishes; Male; Microbodies; Mitochondria; Oxidation-Reduction; Oxidoreductases; Rats; Rats, Inbred Strains",1991-11,1991,260,2,267-273,Closed,Article,"Moyes, Christopher D.; Suarez, Raul K.; Brown, Gayle S.; Hochachka, Peter W.",,"Moyes, Christopher D. (University of British Columbia); Suarez, Raul K. (Simon Fraser University); Brown, Gayle S. (University of British Columbia); Hochachka, Peter W. (University of British Columbia)",12,1,0.27,,,https://app.dimensions.ai/details/publication/pub.1048581766,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
54,400,pub.1052661496,10.1073/pnas.88.11.4870,2052568,PMC51768,Mitochondrial respiration in hummingbird flight muscles,Proceedings of the National Academy of Sciences,,"Animals; Birds; Citrate (si)-Synthase; Flight, Animal; Kinetics; Microscopy, Electron; Mitochondria, Muscle; Muscles; Oxygen Consumption",1991-06-01,1991,88,11,4870-4873,All OA; Gold,Article,"Suarez, R K; Lighton, J R; Brown, G S; Mathieu-Costello, O",,"Suarez, R K (Simon Fraser University); Lighton, J R (Simon Fraser University); Brown, G S (Simon Fraser University); Mathieu-Costello, O (Simon Fraser University)",118,12,2.84,,http://www.pnas.org/content/88/11/4870.full.pdf,https://app.dimensions.ai/details/publication/pub.1052661496,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
55,400,pub.1047095656,10.1073/pnas.87.23.9207,2251266,PMC55133,Fuel selection in rufous hummingbirds: ecological implications of metabolic biochemistry.,Proceedings of the National Academy of Sciences,,"Animals; Birds; Body Weight; Ecology; Energy Metabolism; Flight, Animal; Food Preferences; Mitochondria, Muscle; Models, Biological; Muscles; Oxidation-Reduction; Oxygen Consumption",1990-12-01,1990,87,23,9207-9210,"All OA; Green, Published",Article,"Suarez, R K; Lighton, J R; Moyes, C D; Brown, G S; Gass, C L; Hochachka, P W",,"Suarez, R K (Simon Fraser University); Lighton, J R (Simon Fraser University); Moyes, C D (Simon Fraser University); Brown, G S (Simon Fraser University); Gass, C L (Simon Fraser University); Hochachka, P W (Simon Fraser University)",97,5,2.5,,http://europepmc.org/articles/pmc55133?pdf=render,https://app.dimensions.ai/details/publication/pub.1047095656,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
56,100,pub.1044162079,10.1139/z90-174,,,"Effects of exercise training and coronary ablation on swimming performance, heart size, and cardiac enzymes in rainbow trout, Oncorhynchus mykiss",Canadian Journal of Zoology,,,1990-06,1990,68,6,1174-1179,Closed,Article,"Farrell, A. P.; Johansen, J. A.; Steffensen, J. F.; Moyes, C. D.; West, T. G.; Suarez, R. K.",,"Farrell, A. P. (); Johansen, J. A. (); Steffensen, J. F. (); Moyes, C. D. (); West, T. G. (); Suarez, R. K. ()",87,4,,,,https://app.dimensions.ai/details/publication/pub.1044162079,06 Biological Sciences; 0608 Zoology,06 Biological Sciences,0608 Zoology,,,
57,400,pub.1079024404,10.1152/ajpregu.1989.257.5.r1083,2556054,,Turtles and rats: a biochemical comparison of anoxia-tolerant and anoxia-sensitive brains.,American Journal of Physiology,,"Adaptation, Physiological; Animals; Brain; Calcium Channels; Electrophysiology; Energy Metabolism; Glucose; Hypoxia; Male; Rats; Rats, Inbred Strains; Sodium-Potassium-Exchanging ATPase; Turtles",1989-11-01,1989,257,5 Pt 2,r1083-8,Closed,Article,"Suarez, R. K.; Doll, C. J.; Buie, A. E.; West, T. G.; Funk, G. D.; Hochachka, P. W.",,"Suarez, R. K. (University of British Columbia); Doll, C. J. (University of British Columbia); Buie, A. E. (University of British Columbia); West, T. G. (University of British Columbia); Funk, G. D. (University of British Columbia); Hochachka, P. W. (University of British Columbia)",26,0,1.04,,,https://app.dimensions.ai/details/publication/pub.1079024404,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
58,400,pub.1079288585,,2732662,,Oxidative properties of carp red and white muscle.,Journal of Experimental Biology,,"Animals; Carps; Cyprinidae; Kinetics; Mitochondria, Muscle; Organ Specificity; Oxygen Consumption",1989-05,1989,143,,321-31,Closed,Article,"Moyes, C D; Buck, L T; Hochachka, P W; Suarez, R K",,"Moyes, C D (University of British Columbia); Buck, L T (); Hochachka, P W (); Suarez, R K ()",47,0,1.01,,,https://app.dimensions.ai/details/publication/pub.1079288585,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
59,400,pub.1079447033,10.1152/ajpregu.1988.255.5.r699,2903681,,Biosynthetic capacity of hummingbird liver.,American Journal of Physiology,,Acetyl-CoA Carboxylase; Carnitine O-Palmitoyltransferase; Citrate (si)-Synthase; Energy Metabolism; Fatty Acids; Fructose-Bisphosphatase; Gluconeogenesis; L-Lactate Dehydrogenase; Liver; Phosphoenolpyruvate Carboxykinase (GTP); Phosphofructokinase-1; Pyruvate Carboxylase; Pyruvate Kinase,1988-11-01,1988,255,5 Pt 2,r699-702,Closed,Article,"Suarez, R. K.; Brownsey, R. W.; Vogl, W.; Brown, G. S.; Hochachka, P. W.",,"Suarez, R. K. (University of British Columbia); Brownsey, R. W. (University of British Columbia); Vogl, W. (University of British Columbia); Brown, G. S. (University of British Columbia); Hochachka, P. W. (University of British Columbia)",16,4,0.42,,,https://app.dimensions.ai/details/publication/pub.1079447033,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
60,100,pub.1018849167,10.1139/z88-154,,,Thinking with and without oxygen: energy metabolism in vertebrate brains,Canadian Journal of Zoology,,,1988-05,1988,66,5,1041-1045,Closed,Article,"Suarez, Raul K.",,"Suarez, Raul K. ()",7,0,,,,https://app.dimensions.ai/details/publication/pub.1018849167,0606 Physiology; 06 Biological Sciences,0606 Physiology,06 Biological Sciences,,,
61,100,pub.1040080738,10.1139/z87-287,,,Gluconeogenesis in teleost fishes,Canadian Journal of Zoology,,,1987-08,1987,65,8,1869-1882,Closed,Article,"Suarez, Raul K.; Mommsen, Thomas P.",,"Suarez, Raul K. (); Mommsen, Thomas P. ()",183,8,,,,https://app.dimensions.ai/details/publication/pub.1040080738,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
62,100,pub.1025996902,10.1002/jez.1402430202,,,Hormonal control of gluconeogenesis in rainbow trout hepatocytes: Regulatory role of pyruvate kinase,Journal of Experimental Zoology,,,1987-08,1987,243,2,173-180,Closed,Article,"Petersen, T. D. P.; Hochachka, P. W.; Suarez, R. K.",,"Petersen, T. D. P. (University of British Columbia); Hochachka, P. W. (University of British Columbia); Suarez, R. K. (University of British Columbia)",46,2,,,,https://app.dimensions.ai/details/publication/pub.1025996902,11 Medical and Health Sciences; 1103 Clinical Sciences,11 Medical and Health Sciences,1103 Clinical Sciences,,,
63,100,pub.1044244047,10.1139/z86-102,,,"Enzymes of energy metabolism and gluconeogenesis in the Pacific blue marlin, Makaira nigricans",Canadian Journal of Zoology,,,1986-03,1986,64,3,694-697,Closed,Article,"Suarez, Raul K.; Mallet, Maryse D.; Daxboeck, Charles; Hochachka, Peter W.",,"Suarez, Raul K. (); Mallet, Maryse D. (); Daxboeck, Charles (); Hochachka, Peter W. ()",33,0,,,,https://app.dimensions.ai/details/publication/pub.1044244047,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
64,100,pub.1086247201,10.1007/bf00797707,,,Preparation and properties of rainbow trout liver mitochondria,Journal of Comparative Physiology A,,,1981-06,1981,143,2,269-273,Closed,Article,"Suarez, Raul K.; Hochachka, Peter W.",,"Suarez, Raul K. (University of British Columbia); Hochachka, Peter W. (University of British Columbia)",54,3,,,,https://app.dimensions.ai/details/publication/pub.1086247201,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
65,100,pub.1086126482,10.1007/bf00797709,,,Pyruvate carboxylase from rainbow trout liver,Journal of Comparative Physiology A,,,1981-06,1981,143,2,281-288,Closed,Article,"Suarez, Raul K.; Hochachka, Peter W.",,"Suarez, Raul K. (University of British Columbia); Hochachka, Peter W. (University of British Columbia)",4,0,,,,https://app.dimensions.ai/details/publication/pub.1086126482,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
66,100,pub.1086124774,10.1007/bf00797708,,,The pyruvate branch point in fish liver mitochondria: Effects of acylcarnitine oxidation on pyruvate dehydrogenase and pyruvate carboxylase activities,Journal of Comparative Physiology A,,,1981-06,1981,143,2,275-279,Closed,Article,"Suarez, Raul K.; Hochachka, Peter W.",,"Suarez, Raul K. (University of British Columbia); Hochachka, Peter W. (University of British Columbia)",6,0,,,,https://app.dimensions.ai/details/publication/pub.1086124774,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
