,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Matthew Potoski. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
51,200,pub.1098741388,10.1017/cbo9780511617683,,,The Voluntary Environmentalists,,,,2006,2006,,,,Closed,Monograph,"Prakash, Aseem; Potoski, Matthew",,"Prakash, Aseem (); Potoski, Matthew ()",181,23,,,,https://app.dimensions.ai/details/publication/pub.1098741388,,,,,,
52,100,pub.1043124247,10.1111/j.0092-5853.2005.00120.x,,,Green Clubs and Voluntary Governance: ISO 14001 and Firms' Regulatory Compliance,American Journal of Political Science,,,2005-04,2005,49,2,235-248,"All OA; Green, Accepted & Submitted",Article,"Potoski, Matthew; Prakash, Aseem",,"Potoski, Matthew (Iowa State University); Prakash, Aseem (University of Washington)",314,67,,119.79,http://home.cerge-ei.cz/richmanova/upces/Potoski%2C Prakash - Green CLubs and Voluntary Governance ISO 14001 and Firms%27 Regulatory Compliance.pdf,https://app.dimensions.ai/details/publication/pub.1043124247,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
53,100,pub.1041074640,10.1002/pam.20136,,,Covenants with weak swords: ISO 14001 and facilities' environmental performance,Journal of Policy Analysis and Management,,,2005,2005,24,4,745-769,Closed,Article,"Potoski, Matthew; Prakash, Aseem",,"Potoski, Matthew (Iowa State University); Prakash, Aseem (University of Washington)",250,44,,80.09,,https://app.dimensions.ai/details/publication/pub.1041074640,14 Economics; 1606 Political Science; 16 Studies in Human Society; 1605 Policy and Administration; 1402 Applied Economics,14 Economics,1606 Political Science,16 Studies in Human Society,1605 Policy and Administration,1402 Applied Economics
54,100,pub.1040037342,10.1111/j.1540-6210.2004.00413.x,,,Managing the Public Service Market,Public Administration Review,,,2004-11,2004,64,6,656-668,Closed,Article,"Brown, Trevor L.; Potoski, Matthew",,"Brown, Trevor L. (The Ohio State University); Potoski, Matthew (Iowa State University)",68,5,,19,,https://app.dimensions.ai/details/publication/pub.1040037342,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
55,100,pub.1040834529,10.1111/j.1468-2508.2004.00281.x,,,Regulatory Convergence in Nongovernmental Regimes? Cross‐National Adoption of ISO 14001 Certifications,The Journal of Politics,,,2004-08,2004,66,3,885-905,Closed,Article,"Potoski, Matthew; Prakash, Aseem",,"Potoski, Matthew (Iowa State University); Prakash, Aseem (University of Washington)",71,12,,29.02,,https://app.dimensions.ai/details/publication/pub.1040834529,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
56,100,pub.1024140745,10.1111/j.1468-2508.2004.00162.x,,,Organized Interests and the Politics of Federal Discretionary Grants,The Journal of Politics,,,2004-05,2004,66,2,513-533,Closed,Article,"Lowry, Robert C.; Potoski, Matthew",,"Lowry, Robert C. (Iowa State University); Potoski, Matthew (Iowa State University)",28,4,,11.45,,https://app.dimensions.ai/details/publication/pub.1024140745,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
57,100,pub.1110808761,10.1108/jopp-04-03-2004-b003,,,Assessing the management costs of delivering services under alternative institutional arrangements,Journal of Public Procurement,,,2004-03,2004,Volume 4,Issue 3,375-396,Closed,Article,"Brown, Trevor L.; Potoski, Matthew",,"Brown, Trevor L. (The Ohio State University); Potoski, Matthew (Iowa State University)",3,0,,0.84,,https://app.dimensions.ai/details/publication/pub.1110808761,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
58,100,pub.1051029449,10.1111/j.1540-6210.2004.00357.x,,,The Regulation Dilemma: Cooperation and Conflict in Environmental Governance,Public Administration Review,,,2004-03,2004,64,2,152-163,"All OA; Green, Accepted & Submitted",Article,"Potoski, Matthew; Prakash, Aseem",,"Potoski, Matthew (Iowa State University); Prakash, Aseem (University of Washington)",93,17,,31.29,http://dlc.dlib.indiana.edu/dlc/bitstream/handle/10535/5666/The%20regulation%20dilemma%20cooperation%20and%20conflict%20in%20environmental%20governance.pdf?sequence=1&isAllowed=y,https://app.dimensions.ai/details/publication/pub.1051029449,1606 Political Science; 1605 Policy and Administration; 16 Studies in Human Society,1606 Political Science,1605 Policy and Administration,16 Studies in Human Society,,
59,100,pub.1017451523,10.1111/1540-6210.00276,,,Contract–Management Capacity in Municipal and County Governments,Public Administration Review,,,2003-03,2003,63,2,153-164,Closed,Article,"Brown, Trevor L.; Potoski, Matthew",,"Brown, Trevor L. (The Ohio State University); Potoski, Matthew (Iowa State University)",147,27,,43.72,,https://app.dimensions.ai/details/publication/pub.1017451523,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
60,100,pub.1047211485,10.1002/pam.10117,,,Managing contract performance: A transaction costs approach,Journal of Policy Analysis and Management,,,2003,2003,22,2,275-297,Closed,Article,"Brown, Trevor L.; Potoski, Matthew",,"Brown, Trevor L. (The Ohio State University); Potoski, Matthew (Iowa State University)",157,27,,46.69,,https://app.dimensions.ai/details/publication/pub.1047211485,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
61,100,pub.1052494453,10.1111/0022-3816.00150,,,Setting the Legislative Agenda: The Dimensional Structure of Bill Cosponsoring and Floor Voting,The Journal of Politics,,,2002-08,2002,64,3,864-891,Closed,Article,"Talbert, Jeffery C.; Potoski, Matthew",,"Talbert, Jeffery C. (University of Kentucky); Potoski, Matthew (Iowa State University)",43,5,,12.57,,https://app.dimensions.ai/details/publication/pub.1052494453,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
62,100,pub.1028742401,10.1111/j.1541-0072.2002.tb02142.x,,,Dimensions of State Environmental Policies,Policy Studies Journal,,,2002-05,2002,30,2,208-226,Closed,Article,"Potoski, Matthew; Woods, Neal D.",,"Potoski, Matthew (); Woods, Neal D. ()",47,11,,19.83,,https://app.dimensions.ai/details/publication/pub.1028742401,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
63,100,pub.1045116721,10.1177/153244000200200101,,,Designing Bureaucratic Responsiveness: Administrative Procedures and Agency Choice in State Environmental Policy,State Politics & Policy Quarterly,,,2002-03,2002,2,1,1-23,Closed,Article,"Potoski, Matthew",,"Potoski, Matthew (Iowa State University)",20,1,,6.99,,https://app.dimensions.ai/details/publication/pub.1045116721,1606 Political Science; 1605 Policy and Administration; 16 Studies in Human Society,1606 Political Science,1605 Policy and Administration,16 Studies in Human Society,,
64,400,pub.1074836160,,11409817,PMC1089228,"Asthma prevalence, cost, and adherence with expert guidelines on the utilization of health care services and costs in a state Medicaid population.",Health Services Research,,"Adolescent; Adult; Anti-Asthmatic Agents; Asthma; Child; Cost-Benefit Analysis; Cross-Sectional Studies; Emergency Service, Hospital; Female; Guideline Adherence; Health Care Costs; Health Services; Health Services Research; Hospitalization; Humans; Kentucky; Logistic Models; Male; Medicaid; Middle Aged; Practice Guidelines as Topic; Prevalence; Retrospective Studies; Risk Factors",2001-06,2001,36,2,357-71,Closed,Article,"Piecoro, L T; Potoski, M; Talbert, J C; Doherty, D E",,"Piecoro, L T (Procter & Gamble (United States)); Potoski, M (); Talbert, J C (); Doherty, D E ()",105,18,3.48,14.24,,https://app.dimensions.ai/details/publication/pub.1074836160,1102 Cardiorespiratory Medicine and Haematology; 1117 Public Health and Health Services; 11 Medical and Health Sciences,1102 Cardiorespiratory Medicine and Haematology,1117 Public Health and Health Services,11 Medical and Health Sciences,,
65,100,pub.1039860512,10.1111/0033-3352.00034,,,Clean Air Federalism: Do States Race to the Bottom?,Public Administration Review,,,2001-05,2001,61,3,335-343,Closed,Article,"Potoski, Matthew",,"Potoski, Matthew (Iowa State University)",57,10,,27.91,,https://app.dimensions.ai/details/publication/pub.1039860512,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
66,200,pub.1070589791,10.2307/449256,,,The Dimensional Structure of Policy Outputs: Distributive Policy and Roll Call Voting,Political Research Quarterly,,,2000-12,2000,53,4,695,Closed,Article,"Potoski, Matthew; Talbert, Jeffery",,"Potoski, Matthew (); Talbert, Jeffery ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1070589791,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
67,100,pub.1042567272,10.1177/106591290005300401,,,The Dimensional Structure of Policy Outputs: Distributive Policy and Roll Call Voting,Political Research Quarterly,,,2000-12,2000,53,4,695-710,Closed,Article,"Potoski, Matthew; Talbert, Jeffery",,"Potoski, Matthew (Iowa State University); Talbert, Jeffery (University of Kentucky)",11,2,,3.38,,https://app.dimensions.ai/details/publication/pub.1042567272,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
68,100,pub.1059962571,10.1093/oxfordjournals.jpart.a024425,,,Managing Uncertainty through Bureaucratic Design: Administrative Procedures and State Air Pollution Control Agencies,Journal of Public Administration Research and Theory,,,1999-10-01,1999,9,4,623-640,Closed,Article,"Potoski, Matthew",,"Potoski, Matthew (Iowa State University)",40,7,,,,https://app.dimensions.ai/details/publication/pub.1059962571,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
