,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Noah P Molotch. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
28,500,pub.1084905613,10.1038/ncomms14996,28418406,PMC5399290,Large near-term projected snowpack loss over the western United States,Nature Communications,,,2017-04,2017,8,1,14996,All OA; Gold,Article,"Fyfe, John C.; Derksen, Chris; Mudryk, Lawrence; Flato, Gregory M.; Santer, Benjamin D.; Swart, Neil C.; Molotch, Noah P.; Zhang, Xuebin; Wan, Hui; Arora, Vivek K.; Scinocca, John; Jiao, Yanjun","Fyfe, John C.","Fyfe, John C. (Environment Canada); Derksen, Chris (Environment Canada); Mudryk, Lawrence (Environment Canada); Flato, Gregory M. (Environment Canada); Santer, Benjamin D. (Lawrence Livermore National Laboratory); Swart, Neil C. (Environment Canada); Molotch, Noah P. (Institute of Arctic and Alpine Research; California Institute of Technology); Zhang, Xuebin (Environment Canada); Wan, Hui (Environment Canada); Arora, Vivek K. (Environment Canada); Scinocca, John (Environment Canada); Jiao, Yanjun (Environment Canada)",51,43,0.86,16.78,https://www.nature.com/articles/ncomms14996.pdf,https://app.dimensions.ai/details/publication/pub.1084905613,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
29,100,pub.1010158358,10.1088/1748-9326/aa510a,,,Impacts of increasing aridity and wildfires on aerosol loading in the intermountain Western US,Environmental Research Letters,,,2017-01-01,2017,12,1,014006,All OA; Gold,Article,"Hallar, A Gannet; Molotch, Noah P; Hand, Jenny L; Livneh, Ben; McCubbin, Ian B; Petersen, Ross; Michalsky, Joseph; Lowenthal, Douglas; Kunkel, Kenneth E",,"Hallar, A Gannet (University of Utah; Desert Research Institute); Molotch, Noah P (University of Colorado Boulder; Jet Propulsion Lab); Hand, Jenny L (Colorado State University); Livneh, Ben (Cooperative Institute for Research in Environmental Sciences; University of Colorado Boulder); McCubbin, Ian B (Jet Propulsion Lab); Petersen, Ross (University of Utah); Michalsky, Joseph (Cooperative Institute for Research in Environmental Sciences; Earth System Research Laboratory); Lowenthal, Douglas (University of Utah; Desert Research Institute); Kunkel, Kenneth E (Cooperative Institute for Climate and Satellites)",8,7,,2.42,https://iopscience.iop.org/article/10.1088/1748-9326/aa510a/pdf,https://app.dimensions.ai/details/publication/pub.1010158358,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
30,100,pub.1030350683,10.1016/j.rse.2016.11.001,,,Quantifying insect-related forest mortality with the remote sensing of snow,Remote Sensing of Environment,,,2017-01,2017,188,,26-36,Closed,Article,"Baker, Emily H.; Painter, Thomas H.; Schneider, Dominik; Meddens, Arjan J.H.; Hicke, Jeffrey A.; Molotch, Noah P.","Molotch, Noah P.","Baker, Emily H. (Institute of Arctic and Alpine Research); Painter, Thomas H. (Jet Propulsion Lab); Schneider, Dominik (Institute of Arctic and Alpine Research); Meddens, Arjan J.H. (University of Idaho); Hicke, Jeffrey A. (University of Idaho); Molotch, Noah P. (Institute of Arctic and Alpine Research; Jet Propulsion Lab)",9,7,,3.97,,https://app.dimensions.ai/details/publication/pub.1030350683,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
31,200,pub.1099588671,10.1130/abs/2017am-294441,,,POTENTIAL SHIFTS IN GROUNDWATER DISCHARGE AS SNOWMELT-DOMINATED WATERSHEDS WARM,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Evans, Sarah G.; Ge, Shemin; Voss, Clifford I.; Molotch, Noah P.",,"Evans, Sarah G. (); Ge, Shemin (); Voss, Clifford I. (); Molotch, Noah P. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099588671,,,,,,
32,100,pub.1035574488,10.1002/2016wr019067,,,Real‐time estimation of snow water equivalent in the Upper Colorado River Basin using MODIS‐based SWE Reconstructions and SNOTEL data,Water Resources Research,,,2016-10,2016,52,10,7892-7910,All OA; Gold,Article,"Schneider, Dominik; Molotch, Noah P.",,"Schneider, Dominik (University of Colorado Boulder; Institute of Arctic and Alpine Research); Molotch, Noah P. (University of Colorado Boulder; Institute of Arctic and Alpine Research; Jet Propulsion Lab)",12,8,,4.2,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016WR019067,https://app.dimensions.ai/details/publication/pub.1035574488,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
33,400,pub.1010841912,10.1002/2016wr018954,27917006,PMC5113773,Measuring spatiotemporal variation in snow optical grain size under a subalpine forest canopy using contact spectroscopy,Water Resources Research,,,2016-09,2016,52,9,7513-7522,All OA; Gold,Article,"Molotch, Noah P.; Barnard, David M.; Burns, Sean P.; Painter, Thomas H.",,"Molotch, Noah P. (Institute of Arctic and Alpine Research; University of Colorado Boulder; Jet Propulsion Lab); Barnard, David M. (Institute of Arctic and Alpine Research); Burns, Sean P. (University of Colorado Boulder; National Center for Atmospheric Research); Painter, Thomas H. (Jet Propulsion Lab)",8,7,0,3.17,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016WR018954,https://app.dimensions.ai/details/publication/pub.1010841912,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
34,100,pub.1052737981,10.1002/2016gl069769,,,Earlier snowmelt reduces atmospheric carbon uptake in midlatitude subalpine forests,Geophysical Research Letters,,,2016-08-16,2016,43,15,8160-8168,"All OA; Green, Accepted & Submitted",Article,"Winchell, Taylor S.; Barnard, David M.; Monson, Russell K.; Burns, Sean P.; Molotch, Noah P.",,"Winchell, Taylor S. (University of Colorado Boulder); Barnard, David M. (University of Colorado Boulder); Monson, Russell K. (University of Arizona); Burns, Sean P. (University of Colorado Boulder; National Center for Atmospheric Research); Molotch, Noah P. (University of Colorado Boulder; Jet Propulsion Lab)",27,15,,4.63,https://repository.arizona.edu/bitstream/10150/621684/1/Winchell_et_al-2016-Geophysical_Research_Letters.pdf,https://app.dimensions.ai/details/publication/pub.1052737981,0699 Other Biological Sciences; 06 Biological Sciences,0699 Other Biological Sciences,06 Biological Sciences,,,
35,100,pub.1022481219,10.1002/2016gl069690,,,Snowmelt rate dictates streamflow,Geophysical Research Letters,,,2016-08-16,2016,43,15,8006-8016,Closed,Article,"Barnhart, Theodore B.; Molotch, Noah P.; Livneh, Ben; Harpold, Adrian A.; Knowles, John F.; Schneider, Dominik",,"Barnhart, Theodore B. (University of Colorado Boulder; Institute of Arctic and Alpine Research); Molotch, Noah P. (University of Colorado Boulder; Institute of Arctic and Alpine Research; Jet Propulsion Lab); Livneh, Ben (University of Colorado Boulder; Cooperative Institute for Research in Environmental Sciences); Harpold, Adrian A. (University of Nevada Reno); Knowles, John F. (Institute of Arctic and Alpine Research); Schneider, Dominik (University of Colorado Boulder; Institute of Arctic and Alpine Research)",59,46,,13.94,,https://app.dimensions.ai/details/publication/pub.1022481219,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
36,100,pub.1072680551,10.5194/tc-10-1229-2016,,,"Case study of spatial and temporal variability of snow cover, grain size, albedo and radiative forcing in the Sierra Nevada and Rocky Mountain snowpack derived from imaging spectroscopy",The Cryosphere,,,2016-06-15,2016,10,3,1229-1244,All OA; Gold,Article,"Seidel, Felix C.; Rittger, Karl; Skiles, S. McKenzie; Molotch, Noah P.; Painter, Thomas H.",,"Seidel, Felix C. (Jet Propulsion Lab); Rittger, Karl (University of Colorado Boulder); Skiles, S. McKenzie (Jet Propulsion Lab); Molotch, Noah P. (University of Colorado Boulder; Jet Propulsion Lab); Painter, Thomas H. (Jet Propulsion Lab)",15,9,,3.7,https://www.the-cryosphere.net/10/1229/2016/tc-10-1229-2016.pdf,https://app.dimensions.ai/details/publication/pub.1072680551,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
37,100,pub.1009345986,10.1088/1748-9326/11/4/044015,,,Energy budget increases reduce mean streamflow more than snow–rain transitions: using integrated modeling to isolate climate change impacts on Rocky Mountain hydrology,Environmental Research Letters,,,2016-04-12,2016,11,4,044015,All OA; Gold,Article,"Foster, Lauren M; Bearup, Lindsay A; Molotch, Noah P; Brooks, Paul D; Maxwell, Reed M",,"Foster, Lauren M (Colorado School of Mines); Bearup, Lindsay A (Colorado School of Mines); Molotch, Noah P (University of Colorado Boulder; Jet Propulsion Lab); Brooks, Paul D (University of Utah); Maxwell, Reed M (Colorado School of Mines)",15,11,,3.7,https://iopscience.iop.org/article/10.1088/1748-9326/11/4/044015/pdf,https://app.dimensions.ai/details/publication/pub.1009345986,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
38,100,pub.1072671505,10.5194/hess-20-411-2016,,,Spatio-temporal variability of snow water equivalent in the extra-tropical Andes Cordillera from distributed energy balance modeling and remotely sensed snow cover,Hydrology and Earth System Sciences,,,2016-01-25,2016,20,1,411-430,All OA; Gold,Article,"Cornwell, E.; Molotch, N. P.; McPhee, J.",,"Cornwell, E. (University of Chile); Molotch, N. P. (University of Colorado Boulder; Jet Propulsion Lab); McPhee, J. (University of Chile)",27,12,,7.44,https://www.hydrol-earth-syst-sci.net/20/411/2016/hess-20-411-2016.pdf,https://app.dimensions.ai/details/publication/pub.1072671505,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
39,100,pub.1029937846,10.1080/17550874.2015.1123318,,,The ‘teflon basin’ myth: hydrology and hydrochemistry of a seasonally snow-covered catchment,Plant Ecology & Diversity,,,2015-11-02,2015,8,5-6,639-661,Closed,Article,"Williams, Mark W.; Hood, Eran; Molotch, Noah P.; Caine, Nel; Cowie, Rory; Liu, Fengjing",,"Williams, Mark W. (); Hood, Eran (); Molotch, Noah P. (); Caine, Nel (); Cowie, Rory (); Liu, Fengjing ()",15,10,,3.44,,https://app.dimensions.ai/details/publication/pub.1029937846,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
40,100,pub.1002469370,10.1002/2015gl065855,,,Sensitivity of soil water availability to changing snowmelt timing in the western U.S.,Geophysical Research Letters,,,2015-10-16,2015,42,19,8011-8020,All OA; Gold,Article,"Harpold, Adrian A.; Molotch, Noah P.",,"Harpold, Adrian A. (University of Nevada Reno); Molotch, Noah P. (Institute of Arctic and Alpine Research; Jet Propulsion Lab)",32,19,,5.98,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015GL065855,https://app.dimensions.ai/details/publication/pub.1002469370,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
41,100,pub.1010919128,10.5194/hessd-12-8927-2015,,,Spatio-temporal variability of snow water equivalent in the extra-tropical Andes cordillera from a distributed energy balance modeling and remotely sensed snow cover,Hydrology and Earth System Sciences Discussions,,,2015-09-03,2015,12,9,8927-8976,All OA; Gold,Article,"Cornwell, E.; Molotch, N. P.; McPhee, J.",,"Cornwell, E. (University of Chile); Molotch, N. P. (University of Colorado Boulder; Jet Propulsion Lab); McPhee, J. (University of Chile)",1,0,,0.25,https://doi.org/10.5194/hessd-12-8927-2015,https://app.dimensions.ai/details/publication/pub.1010919128,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
42,100,pub.1040270630,10.1002/eco.1565,,,Quantifying the effects of vegetation structure on snow accumulation and ablation in mixed‐conifer forests,Ecohydrology,,,2015-09,2015,8,6,1073-1094,All OA; Gold,Article,"Broxton, P. D.; Harpold, A. A.; Biederman, J. A.; Troch, P. A.; Molotch, N. P.; Brooks, P. D.",,"Broxton, P. D. (University of Arizona); Harpold, A. A. (); Biederman, J. A. (University of Arizona); Troch, P. A. (University of Arizona); Molotch, N. P. (); Brooks, P. D. (University of Arizona)",43,23,,8.89,http://dx.doi.org/10.1002/eco.1565,https://app.dimensions.ai/details/publication/pub.1040270630,0602 Ecology; 0699 Other Biological Sciences; 0705 Forestry Sciences; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 07 Agricultural and Veterinary Sciences,0602 Ecology,0699 Other Biological Sciences,0705 Forestry Sciences,06 Biological Sciences,05 Environmental Sciences
43,200,pub.1020232027,10.5194/hess-19-2943-2015,,,"Corrigendum to ""Laser vision: lidar as a transformative tool to advance critical zone science"" published in Hydrol. Earth Syst. Sci., 19, 2881–2897, 2015",Hydrology and Earth System Sciences,,,2015-06-24,2015,19,6,2943-2943,All OA; Gold,Article,"Harpold, A. A.; Marshall, J. A.; Lyon, S. W.; Barnhart, T. B.; Fisher, B. A.; Donovan, M.; Brubaker, K. M.; Crosby, C. J.; Glenn, N. F.; Glennie, C. L.; Kirchner, P. B.; Lam, N.; Mankoff, K. D.; McCreight, J. L.; Molotch, N. P.; Musselman, K. N.; Pelletier, J.; Russo, T.; Sangireddy, H.; Sjöberg, Y.; Swetnam, T.; West, N.",,"Harpold, A. A. (University of Nevada Reno); Marshall, J. A. (University of Oregon); Lyon, S. W. (Stockholm University); Barnhart, T. B. (University of Colorado Boulder); Fisher, B. A. (University of Minnesota); Donovan, M. (); Brubaker, K. M. (Hobart and William Smith Colleges); Crosby, C. J. (UNAVCO); Glenn, N. F. (Boise State University); Glennie, C. L. (University of Houston); Kirchner, P. B. (University of California Los Angeles); Lam, N. (Stockholm University); Mankoff, K. D. (Woods Hole Oceanographic Institution); McCreight, J. L. (National Center for Atmospheric Research); Molotch, N. P. (University of Colorado Boulder); Musselman, K. N. (University of Saskatchewan); Pelletier, J. (University of Arizona); Russo, T. (Pennsylvania State University); Sangireddy, H. (The University of Texas at Austin); Sjöberg, Y. (Stockholm University); Swetnam, T. (University of Arizona); West, N. (Pennsylvania State University)",1,1,,0.23,https://www.hydrol-earth-syst-sci.net/19/2943/2015/hess-19-2943-2015.pdf,https://app.dimensions.ai/details/publication/pub.1020232027,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
44,100,pub.1023152087,10.5194/hess-19-2881-2015,,,Laser vision: lidar as a transformative tool to advance critical zone science,Hydrology and Earth System Sciences,,,2015-06-22,2015,19,6,2881-2897,All OA; Gold,Article,"Harpold, A. A.; Marshall, J. A.; Lyon, S. W.; Barnhart, T. B.; Fisher, B. A.; Donovan, M.; Brubaker, K. M.; Crosby, C. J.; Glenn, N. F.; Glennie, C. L.; Kirchner, P. B.; Lam, N.; Mankoff, K. D.; McCreight, J. L.; Molotch, N. P.; Musselman, K. N.; Pelletier, J.; Russo, T.; Sangireddy, H.; Sjöberg, Y.; Swetnam, T.; West, N.",,"Harpold, A. A. (University of Nevada Reno); Marshall, J. A. (University of Oregon); Lyon, S. W. (Stockholm University); Barnhart, T. B. (University of Colorado Boulder); Fisher, B. A. (University of Minnesota); Donovan, M. (); Brubaker, K. M. (Hobart and William Smith Colleges); Crosby, C. J. (UNAVCO); Glenn, N. F. (Boise State University); Glennie, C. L. (University of Houston); Kirchner, P. B. (University of California Los Angeles); Lam, N. (Stockholm University); Mankoff, K. D. (Woods Hole Oceanographic Institution); McCreight, J. L. (National Center for Atmospheric Research); Molotch, N. P. (University of Colorado Boulder); Musselman, K. N. (University of Saskatchewan); Pelletier, J. (University of Arizona); Russo, T. (Pennsylvania State University); Sangireddy, H. (The University of Texas at Austin); Sjöberg, Y. (Stockholm University); Swetnam, T. (University of Arizona); West, N. (Pennsylvania State University)",20,8,,4.55,https://www.hydrol-earth-syst-sci.net/19/2881/2015/hess-19-2881-2015.pdf,https://app.dimensions.ai/details/publication/pub.1023152087,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
45,100,pub.1003809848,10.1002/hyp.10400,,,Soil moisture response to snowmelt timing in mixed‐conifer subalpine forests,Hydrological Processes,,,2015-06-15,2015,29,12,2782-2798,Closed,Article,"Harpold, Adrian A.; Molotch, Noah P.; Musselman, Keith N.; Bales, Roger C.; Kirchner, Peter B.; Litvak, Marcy; Brooks, Paul D.",,"Harpold, Adrian A. (University of Nevada Reno); Molotch, Noah P. (); Musselman, Keith N. (University of California Los Angeles); Bales, Roger C. (University of California, Merced); Kirchner, Peter B. (University of California, Merced); Litvak, Marcy (University of New Mexico); Brooks, Paul D. (University of Arizona)",38,17,,8.65,,https://app.dimensions.ai/details/publication/pub.1003809848,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
46,100,pub.1018967605,10.1016/j.jhydrol.2015.01.039,,,Catchment response to bark beetle outbreak and dust-on-snow in the Colorado Rocky Mountains,Journal of Hydrology,,,2015-04,2015,523,J. Hydrol. 291 1 2004,196-210,Closed,Article,"Livneh, Ben; Deems, Jeffrey S.; Buma, Brian; Barsugli, Joseph J.; Schneider, Dominik; Molotch, Noah P.; Wolter, K.; Wessman, Carol A.","Livneh, Ben","Livneh, Ben (University of Colorado Boulder); Deems, Jeffrey S. (University of Colorado Boulder); Buma, Brian (University of Alaska Southeast); Barsugli, Joseph J. (University of Colorado Boulder); Schneider, Dominik (University of Colorado Boulder); Molotch, Noah P. (University of Colorado Boulder; California Institute of Technology); Wolter, K. (); Wessman, Carol A. (University of Colorado Boulder)",26,11,,6.02,,https://app.dimensions.ai/details/publication/pub.1018967605,04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience; 0705 Forestry Sciences; 07 Agricultural and Veterinary Sciences,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,0705 Forestry Sciences,07 Agricultural and Veterinary Sciences,
47,100,pub.1014199960,10.1016/j.agrformet.2014.12.015,,,"Snowpack-climate manipulation using infrared heaters in subalpine forests of the Southern Rocky Mountains, USA",Agricultural and Forest Meteorology,,,2015-04,2015,203,,142-157,All OA; Gold,Article,"Meromy, Leah; Molotch, Noah P.; Williams, Mark W.; Musselman, Keith N.; Kueppers, Lara M.","Molotch, Noah P.","Meromy, Leah (Institute of Arctic and Alpine Research); Molotch, Noah P. (Institute of Arctic and Alpine Research; Jet Propulsion Lab); Williams, Mark W. (Institute of Arctic and Alpine Research); Musselman, Keith N. (University of Saskatchewan); Kueppers, Lara M. (University of California, Merced)",13,8,,,https://manuscript.elsevier.com/S0168192314003256/pdf/S0168192314003256.pdf,https://app.dimensions.ai/details/publication/pub.1014199960,04 Earth Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,04 Earth Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
48,100,pub.1006131100,10.5194/hessd-12-1017-2015,,,Laser vision: lidar as a transformative tool to advance critical zone science,Hydrology and Earth System Sciences Discussions,,,2015-01-23,2015,12,1,1017-1058,All OA; Gold,Article,"Harpold, A. A.; Marshall, J. A.; Lyon, S. W.; Barnhart, T. B.; Fisher, B.; Donovan, M.; Brubaker, K. M.; Crosby, C. J.; Glenn, N. F.; Glennie, C. L.; Kirchner, P. B.; Lam, N.; Mankoff, K. D.; McCreight, J. L.; Molotch, N. P.; Musselman, K. N.; Pelletier, J.; Russo, T.; Sangireddy, H.; Sjöberg, Y.; Swetnam, T.; West, N.",,"Harpold, A. A. (University of Nevada Reno); Marshall, J. A. (University of Oregon); Lyon, S. W. (Stockholm University); Barnhart, T. B. (University of Colorado Boulder); Fisher, B. (University of Minnesota); Donovan, M. (); Brubaker, K. M. (Hobart and William Smith Colleges); Crosby, C. J. (UNAVCO); Glenn, N. F. (Boise State University); Glennie, C. L. (University of Houston); Kirchner, P. B. (University of California Los Angeles); Lam, N. (Stockholm University); Mankoff, K. D. (Woods Hole Oceanographic Institution); McCreight, J. L. (National Center for Atmospheric Research); Molotch, N. P. (University of Colorado Boulder); Musselman, K. N. (University of Saskatchewan); Pelletier, J. (University of Arizona); Russo, T. (Pennsylvania State University); Sangireddy, H. (The University of Texas at Austin); Sjöberg, Y. (Stockholm University); Swetnam, T. (University of Arizona); West, N. (Pennsylvania State University)",6,2,,1.18,https://doi.org/10.5194/hessd-12-1017-2015,https://app.dimensions.ai/details/publication/pub.1006131100,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
49,100,pub.1049843516,10.1016/j.rse.2014.09.001,,,On the characterization of vegetation transmissivity using LAI for application in passive microwave remote sensing of snowpack,Remote Sensing of Environment,,,2015-01,2015,156,,310-321,Closed,Article,"Jagt, Benjamin J. Vander; Durand, Michael T.; Margulis, Steven A.; Kim, Edward J.; Molotch, Noah P.","Jagt, Benjamin J. Vander","Jagt, Benjamin J. Vander (The Ohio State University); Durand, Michael T. (The Ohio State University); Margulis, Steven A. (University of California Los Angeles); Kim, Edward J. (Goddard Space Flight Center); Molotch, Noah P. (California Institute of Technology)",9,4,,2.3,,https://app.dimensions.ai/details/publication/pub.1049843516,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
50,200,pub.1033295453,10.1016/j.rse.2014.09.003,,,Corrigendum to “The effect of spatial variability on the sensitivity of passive microwave measurements to snow water equivalent” [Remote Sensing of Environment 136 (2013) 163–179],Remote Sensing of Environment,,,2014-12,2014,155,,378,Closed,Article,"Jagt, Benjamin J. Vander; Durand, Michael T.; Margulis, Steven A.; Kim, Edward J.; Molotch, Noah P.","Jagt, Benjamin J. Vander","Jagt, Benjamin J. Vander (The Ohio State University); Durand, Michael T. (The Ohio State University); Margulis, Steven A. (University of California Los Angeles); Kim, Edward J. (Goddard Space Flight Center); Molotch, Noah P. (University of Colorado Boulder)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1033295453,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
51,100,pub.1050198370,10.1002/9781118872086.ch10,,,Snow Cover Depletion Curves and Snow Water Equivalent Reconstruction,Geophysical Monograph Series,Remote Sensing of the Terrestrial Water Cycle,,2014-11-03,2014,,,157-173,Closed,Chapter,"Molotch, Noah P.; Durand, Michael T.; Guan, Bin; Margulis, Steven A.; Davis, Robert E.",,"Molotch, Noah P. (Institute of Arctic and Alpine Research; Jet Propulsion Lab); Durand, Michael T. (The Ohio State University); Guan, Bin (University of California Los Angeles); Margulis, Steven A. (University of California Los Angeles); Davis, Robert E. (Cold Regions Research and Engineering Laboratory)",2,0,,0.48,,https://app.dimensions.ai/details/publication/pub.1050198370,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
52,100,pub.1049998201,10.1002/2013wr015243,,,Relationships between stream nitrate concentration and spatially distributed snowmelt in high‐elevation catchments of the western U.S.,Water Resources Research,,,2014-11,2014,50,11,8694-8713,All OA; Gold,Article,"Perrot, Danielle; Molotch, Noah P.; Williams, Mark W.; Jepsen, Steven M.; Sickman, James O.",,"Perrot, Danielle (Institute of Arctic and Alpine Research); Molotch, Noah P. (Institute of Arctic and Alpine Research; Jet Propulsion Lab); Williams, Mark W. (Institute of Arctic and Alpine Research); Jepsen, Steven M. (University of California, Merced); Sickman, James O. (University of California, Riverside)",9,2,,2.97,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2013WR015243,https://app.dimensions.ai/details/publication/pub.1049998201,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
53,100,pub.1023987763,10.1002/2014wr015442,,,Filling in the gaps: Inferring spatially distributed precipitation from gauge observations over complex terrain,Water Resources Research,,,2014-11,2014,50,11,8589-8610,All OA; Gold,Article,"Livneh, Ben; Deems, Jeff S.; Schneider, Dominik; Barsugli, Joseph J.; Molotch, Noah P.",,"Livneh, Ben (Cooperative Institute for Research in Environmental Sciences; University of Colorado Boulder); Deems, Jeff S. (Cooperative Institute for Research in Environmental Sciences; University of Colorado Boulder); Schneider, Dominik (University of Colorado Boulder); Barsugli, Joseph J. (Cooperative Institute for Research in Environmental Sciences); Molotch, Noah P. (University of Colorado Boulder; Jet Propulsion Lab)",23,9,,7.6,http://onlinelibrary.wiley.com/doi/10.1002/2014WR015442/pdf,https://app.dimensions.ai/details/publication/pub.1023987763,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
54,100,pub.1050565777,10.5194/hess-18-4261-2014,,,"LiDAR measurement of seasonal snow accumulation along an elevation gradient in the southern Sierra Nevada, California",Hydrology and Earth System Sciences,,,2014-10-30,2014,18,10,4261-4275,All OA; Gold,Article,"Kirchner, P. B.; Bales, R. C.; Molotch, N. P.; Flanagan, J.; Guo, Q.",,"Kirchner, P. B. (University of California Los Angeles); Bales, R. C. (); Molotch, N. P. (University of Colorado Boulder; Jet Propulsion Lab); Flanagan, J. (); Guo, Q. ()",36,15,,4.59,https://www.hydrol-earth-syst-sci.net/18/4261/2014/hess-18-4261-2014.pdf,https://app.dimensions.ai/details/publication/pub.1050565777,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
55,100,pub.1044035582,10.1002/hyp.10254,,,Physiographic and climatic controls on snow cover persistence in the Sierra Nevada Mountains,Hydrological Processes,,,2014-07-30,2014,28,16,4573-4586,Closed,Article,"Molotch, Noah P.; Meromy, Leah",,"Molotch, Noah P. (Institute of Arctic and Alpine Research; Jet Propulsion Lab); Meromy, Leah (Institute of Arctic and Alpine Research)",21,12,,3.25,,https://app.dimensions.ai/details/publication/pub.1044035582,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
