,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Robin S Matoza. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
34,100,pub.1036340353,10.1029/2012gl054329,,,Coherent ambient infrasound recorded by the International Monitoring System,Geophysical Research Letters,,,2013-01-28,2013,40,2,429-433,All OA; Gold,Article,"Matoza, Robin S.; Landès, Matthieu; Le Pichon, Alexis; Ceranna, Lars; Brown, David",,"Matoza, Robin S. (Scripps Institution of Oceanography); Landès, Matthieu (); Le Pichon, Alexis (); Ceranna, Lars (Federal Institute For Geosciences and Natural Resources); Brown, David ()",32,15,,12.84,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2012GL054329,https://app.dimensions.ai/details/publication/pub.1036340353,1005 Communications Technologies; 10 Technology,1005 Communications Technologies,10 Technology,,,
35,100,pub.1049381207,10.1016/j.jvolgeores.2012.09.002,,,"An overview of volcano infrasound: From hawaiian to plinian, local to global",Journal of Volcanology and Geothermal Research,,,2013-01,2013,249,,123-139,Closed,Article,"Fee, David; Matoza, Robin S.","Fee, David","Fee, David (University of Alaska Fairbanks); Matoza, Robin S. (Scripps Institution of Oceanography)",103,40,,15.69,,https://app.dimensions.ai/details/publication/pub.1049381207,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
36,100,pub.1014270412,10.1029/2012jd017988,,,Infrasonic propagation from the 2010 Eyjafjallajökull eruption: Investigating the influence of stratospheric solar tides,Journal of Geophysical Research,,,2012-11-16,2012,117,D21,n/a-n/a,All OA; Gold,Article,"Green, D. N.; Matoza, R. S.; Vergoz, J.; Le Pichon, A.",,"Green, D. N. (Atomic Weapons Establishment); Matoza, R. S. (University of California, San Diego); Vergoz, J. (); Le Pichon, A. ()",13,4,,3.62,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2012JD017988,https://app.dimensions.ai/details/publication/pub.1014270412,09 Engineering; 0906 Electrical and Electronic Engineering,09 Engineering,0906 Electrical and Electronic Engineering,,,
37,200,pub.1062385451,10.1121/1.4755525,,,Coherent ambient infrasound recorded by the International Monitoring System,The Journal of the Acoustical Society of America,,,2012-09,2012,132,3,2046-2046,"All OA; Green, Published",Article,"Matoza, Robin S.; Landes, Matthieu; Le Pichon, Alexis; Ceranna, Lars; Brown, David",,"Matoza, Robin S. (); Landes, Matthieu (); Le Pichon, Alexis (); Ceranna, Lars (); Brown, David ()",0,0,,,https://escholarship.org/content/qt5cj624df/qt5cj624df.pdf?t=nugqy0,https://app.dimensions.ai/details/publication/pub.1062385451,,,,,,
38,100,pub.1042865763,10.1111/j.1365-246x.2012.05518.x,,,Infrasound data inversion for atmospheric sounding,Geophysical Journal International,,,2012-07,2012,190,1,687-701,All OA; Gold,Article,"Lalande, J.‐M.; Sèbe, O.; Landès, M.; Blanc‐Benon, Ph.; Matoza, R. S.; Le Pichon, A.; Blanc, E.",,"Lalande, J.‐M. (University of Lyon System); Sèbe, O. (); Landès, M. (); Blanc‐Benon, Ph. (University of Lyon System); Matoza, R. S. (University of California, San Diego); Le Pichon, A. (); Blanc, E. ()",29,12,,5.54,https://academic.oup.com/gji/article-pdf/190/1/687/1640196/190-1-687.pdf,https://app.dimensions.ai/details/publication/pub.1042865763,09 Engineering; 0909 Geomatic Engineering; 0403 Geology; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0403 Geology,04 Earth Sciences,0404 Geophysics
39,100,pub.1035440458,10.1029/2011jd016684,,,Localization of microbarom sources using the IMS infrasound network,Journal of Geophysical Research,,,2012-03-27,2012,117,D6,n/a-n/a,All OA; Gold,Article,"Landès, Matthieu; Ceranna, Lars; Le Pichon, Alexis; Matoza, Robin S.",,"Landès, Matthieu (); Ceranna, Lars (Federal Institute For Geosciences and Natural Resources); Le Pichon, Alexis (); Matoza, Robin S. (Scripps Institution of Oceanography)",27,11,,3.07,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011JD016684,https://app.dimensions.ai/details/publication/pub.1035440458,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
40,100,pub.1041245145,10.1029/2011gl047019,,,"Long‐range acoustic observations of the Eyjafjallajökull eruption, Iceland, April–May 2010",Geophysical Research Letters,,,2011-03,2011,38,6,n/a-n/a,"All OA; Green, Published",Article,"Matoza, Robin S.; Vergoz, Julien; Le Pichon, Alexis; Ceranna, Lars; Green, David N.; Evers, Läslo G.; Ripepe, Maurizio; Campus, Paola; Liszka, Ludwik; Kvaerna, Tormod; Kjartansson, Einar; Höskuldsson, Ármann",,"Matoza, Robin S. (); Vergoz, Julien (); Le Pichon, Alexis (); Ceranna, Lars (Federal Institute For Geosciences and Natural Resources); Green, David N. (Atomic Weapons Establishment); Evers, Läslo G. (Royal Netherlands Meteorological Institute; Delft University of Technology); Ripepe, Maurizio (University of Florence); Campus, Paola (University of Florence); Liszka, Ludwik (); Kvaerna, Tormod (); Kjartansson, Einar (Icelandic Meteorological Office); Höskuldsson, Ármann (University of Iceland)",35,12,,12.95,https://escholarship.org/content/qt4rk4p62z/qt4rk4p62z.pdf?t=nugqxg,https://app.dimensions.ai/details/publication/pub.1041245145,1005 Communications Technologies; 10 Technology,1005 Communications Technologies,10 Technology,,,
41,100,pub.1013074836,10.1016/j.jvolgeores.2010.11.022,,,"Infrasonic observations of the June 2009 Sarychev Peak eruption, Kuril Islands: Implications for infrasonic monitoring of remote explosive volcanism",Journal of Volcanology and Geothermal Research,,,2011-02,2011,200,1-2,35-48,"All OA; Green, Accepted & Submitted",Article,"Matoza, Robin S.; Le Pichon, Alexis; Vergoz, Julien; Herry, Pascal; Lalande, Jean-Marie; Lee, Hee-il; Che, Il-Young; Rybin, Alexander","Matoza, Robin S.","Matoza, Robin S. (); Le Pichon, Alexis (); Vergoz, Julien (); Herry, Pascal (); Lalande, Jean-Marie (); Lee, Hee-il (Korea Institute of Geoscience and Mineral Resources); Che, Il-Young (Korea Institute of Geoscience and Mineral Resources); Rybin, Alexander (Institute of Marine Geology and Geophysics)",55,10,,6.91,https://escholarship.org/content/qt7398s0tn/qt7398s0tn.pdf?t=nugqzo,https://app.dimensions.ai/details/publication/pub.1013074836,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
42,100,pub.1024264451,10.1029/2009jb007192,,,"Infrasonic tremor wavefield of the Pu`u `Ō`ō crater complex and lava tube system, Hawaii, in April 2007",Journal of Geophysical Research,,,2010,2010,115,B12,,All OA; Gold,Article,"Matoza, Robin S.; Fee, David; Garcés, Milton A.",,"Matoza, Robin S. (Scripps Institution of Oceanography); Fee, David (University of Hawaii at Manoa; University of Alaska Fairbanks); Garcés, Milton A. (University of Hawaii at Manoa)",31,8,,7.51,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009JB007192,https://app.dimensions.ai/details/publication/pub.1024264451,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
43,100,pub.1019294453,10.1029/2010jb007839,,,Subevents of long‐period seismicity: Implications for hydrothermal dynamics during the 2004–2008 eruption of Mount St. Helens,Journal of Geophysical Research,,,2010,2010,115,B12,,All OA; Gold,Article,"Matoza, Robin S.; Chouet, Bernard A.",,"Matoza, Robin S. (Scripps Institution of Oceanography); Chouet, Bernard A. (United States Geological Survey)",37,8,,3.85,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010JB007839,https://app.dimensions.ai/details/publication/pub.1019294453,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
44,100,pub.1052277487,10.1029/2008jb006128,,,The source of infrasound associated with long‐period events at Mount St. Helens,Journal of Geophysical Research,,,2009,2009,114,B4,,All OA; Gold,Article,"Matoza, Robin S.; Garcés, Milton A.; Chouet, Bernard A.; D'Auria, Luca; Hedlin, Michael A. H.; De Groot‐Hedlin, Catherine; Waite, Gregory P.",,"Matoza, Robin S. (Scripps Institution of Oceanography); Garcés, Milton A. (University of Hawaii at Manoa); Chouet, Bernard A. (United States Geological Survey); D'Auria, Luca (National Institute of Geophysics and Volcanology); Hedlin, Michael A. H. (Scripps Institution of Oceanography); De Groot‐Hedlin, Catherine (Scripps Institution of Oceanography); Waite, Gregory P. (United States Geological Survey; Michigan Technological University)",54,7,,7.4,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008JB006128,https://app.dimensions.ai/details/publication/pub.1052277487,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
45,100,pub.1017878456,10.1029/2008gl036486,,,Infrasonic jet noise from volcanic eruptions,Geophysical Research Letters,,,2009,2009,36,8,,All OA; Gold,Article,"Matoza, R. S.; Fee, D.; Garcés, M. A.; Seiner, J. M.; Ramón, P. A.; Hedlin, M. A. H.",,"Matoza, R. S. (Scripps Institution of Oceanography); Fee, D. (University of Hawaii at Manoa); Garcés, M. A. (University of Hawaii at Manoa); Seiner, J. M. (University of Mississippi); Ramón, P. A. (National Polytechnic School); Hedlin, M. A. H. (Scripps Institution of Oceanography)",81,18,,18.37,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008GL036486,https://app.dimensions.ai/details/publication/pub.1017878456,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
46,100,pub.1049327361,10.1029/2008eo400001,,,Capturing the Acoustic Fingerprint of Stratospheric Ash Injection,Eos,,,2008-09-30,2008,89,40,377-378,All OA; Gold,Article,"Garcés, Milton; Fee, David; Steffke, Andrea; McCormack, David; Servranckx, Rene; Bass, Henry; Hetzer, Claus; Hedlin, Michael; Matoza, Robin; Yepes, Hugo; Ramon, Patricio",,"Garcés, Milton (University of Hawaii at Manoa); Fee, David (University of Hawaii at Manoa); Steffke, Andrea (University of Hawaii at Manoa); McCormack, David (Geological Survey of Canada); Servranckx, Rene (); Bass, Henry (University of Mississippi); Hetzer, Claus (University of Mississippi); Hedlin, Michael (University of California, San Diego); Matoza, Robin (University of California, San Diego); Yepes, Hugo (National Polytechnic School); Ramon, Patricio (National Polytechnic School)",44,7,,10.62,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008EO400001,https://app.dimensions.ai/details/publication/pub.1049327361,09 Engineering; 0906 Electrical and Electronic Engineering,09 Engineering,0906 Electrical and Electronic Engineering,,,
47,100,pub.1045665695,10.1029/2008gl035176,,,"Seismic and acoustic recordings of an unusually large rockfall at Mount St. Helens, Washington",Geophysical Research Letters,,,2008,2008,35,19,,All OA; Gold,Article,"Moran, S. C.; Matoza, R. S.; Garcés, M. A.; Hedlin, M. A. H.; Bowers, D.; Scott, W. E.; Sherrod, D. R.; Vallance, J. W.",,"Moran, S. C. (United States Geological Survey); Matoza, R. S. (Scripps Institution of Oceanography); Garcés, M. A. (University of Hawaii at Manoa); Hedlin, M. A. H. (Scripps Institution of Oceanography); Bowers, D. (Atomic Weapons Establishment); Scott, W. E. (United States Geological Survey); Sherrod, D. R. (United States Geological Survey); Vallance, J. W. (United States Geological Survey)",36,4,,4.95,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008GL035176,https://app.dimensions.ai/details/publication/pub.1045665695,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
48,100,pub.1048910072,10.1016/j.jvolgeores.2006.10.006,,,An infrasound array study of Mount St. Helens,Journal of Volcanology and Geothermal Research,,,2007-02,2007,160,3-4,249-262,Closed,Article,"Matoza, Robin S.; Hedlin, Michael A.H.; Garcés, Milton A.","Matoza, Robin S.","Matoza, Robin S. (University of California, San Diego); Hedlin, Michael A.H. (University of California, San Diego); Garcés, Milton A. (University of Hawaii at Manoa)",67,8,,6.96,,https://app.dimensions.ai/details/publication/pub.1048910072,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
