,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Daniel R Montello. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
42,100,pub.1035562344,10.1080/13875868.2003.9683761,,,Where's Downtown?: Behavioral Methods for Determining Referents of Vague Spatial Queries,Spatial Cognition and Computation,,,2003-09,2003,3,2-3,185-204,"All OA; Green, Accepted & Submitted",Article,"Montello, Daniel R.; Goodchild, Michael F.; Gottsegen, Jonathon; Fohl, Peter",,"Montello, Daniel R. (); Goodchild, Michael F. (); Gottsegen, Jonathon (); Fohl, Peter ()",108,25,,16.21,http://cogs200.pbwiki.com/f/montello_03_wheres.pdf,https://app.dimensions.ai/details/publication/pub.1035562344,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
43,100,pub.1038903601,10.1007/978-3-540-39923-0_21,,,Testing the First Law of Cognitive Geography on Point-Display Spatializations,Lecture Notes in Computer Science,Spatial Information Theory. Foundations of Geographic Information Science,,2003,2003,2825,,316-331,"All OA; Green, Accepted & Submitted",Chapter,"Montello, Daniel R.; Fabrikant, Sara Irina; Ruocco, Marco; Middleton, Richard S.",,"Montello, Daniel R. (University of California, Santa Barbara); Fabrikant, Sara Irina (University of California, Santa Barbara); Ruocco, Marco (University of California, Santa Barbara); Middleton, Richard S. (University of California, Santa Barbara)",33,4,,3.95,http://www.geog.ucsb.edu/~sara/html/research/pubs/montello_etal_cosit03.pdf,https://app.dimensions.ai/details/publication/pub.1038903601,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
44,100,pub.1013678642,10.1016/s0160-2896(02)00116-2,,,Development of a self-report measure of environmental spatial ability,Intelligence,,,2002-10,2002,30,5,425-447,"All OA; Green, Accepted & Submitted",Article,"Hegarty, Mary; Richardson, Anthony E; Montello, Daniel R; Lovelace, Kristin; Subbiah, Ilavanil","Hegarty, Mary","Hegarty, Mary (University of California, Santa Barbara); Richardson, Anthony E (University of California, Santa Barbara); Montello, Daniel R (University of California, Santa Barbara); Lovelace, Kristin (University of California, Santa Barbara); Subbiah, Ilavanil (University of California, Santa Barbara)",398,107,,48.71,http://www.psych.ucsb.edu/%7Ehegarty/papers/sbsodarticle.pdf,https://app.dimensions.ai/details/publication/pub.1013678642,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
45,100,pub.1032401721,10.1559/152304002782008503,,,Cognitive Map-Design Research in the Twentieth Century: Theoretical and Empirical Approaches,Cartography and Geographic Information Science,,,2002-01,2002,29,3,283-304,Closed,Article,"Montello, Daniel R.",,"Montello, Daniel R. ()",149,25,,18.73,,https://app.dimensions.ai/details/publication/pub.1032401721,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
46,400,pub.1003542696,10.1037/0278-7393.28.6.1051,12450331,,Orientation specificity and spatial updating of memories for layouts.,Journal of Experimental Psychology Learning Memory and Cognition,,"Adult; Concept Formation; Female; Field Dependence-Independence; Humans; Judgment; Male; Mental Recall; Orientation; Pattern Recognition, Visual; Problem Solving; Psychophysics; Space Perception",2002,2002,28,6,1051,Closed,Article,"Waller, David; Montello, Daniel R.; Richardson, Anthony E.; Hegarty, Mary",,"Waller, David (University of California, Santa Barbara); Montello, Daniel R. (University of California, Santa Barbara); Richardson, Anthony E. (University of California, Santa Barbara); Hegarty, Mary (University of California, Santa Barbara)",107,10,1.98,13.1,,https://app.dimensions.ai/details/publication/pub.1003542696,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
47,100,pub.1046167727,10.1559/152304001782173998,,,Cognitive and Usability Issues in Geovisualization,Cartography and Geographic Information Science,,,2001-01,2001,28,1,61-75,"All OA; Green, Accepted & Submitted",Article,"Slocum, Terry A.; Blok, Connie; Jiang, Bin; Koussoulakou, Alexandra; Montello, Daniel R.; Fuhrmann, Sven; Hedley, Nicholas R.",,"Slocum, Terry A. (); Blok, Connie (); Jiang, Bin (); Koussoulakou, Alexandra (); Montello, Daniel R. (); Fuhrmann, Sven (); Hedley, Nicholas R. ()",173,33,,22.88,http://www.hig.se/%7Ebjg/SlocumLongPlusIllus.pdf,https://app.dimensions.ai/details/publication/pub.1046167727,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
48,100,pub.1031568658,10.1016/b0-08-043076-7/02492-x,,,Spatial Cognition,,International Encyclopedia of the Social & Behavioral Sciences,,2001,2001,,,14771-14775,Closed,Chapter,"Montello, D.R.",,"Montello, D.R. (University of California, Santa Barbara)",49,8,,11.11,,https://app.dimensions.ai/details/publication/pub.1031568658,16 Studies in Human Society; 17 Psychology and Cognitive Sciences; 1701 Psychology; 1604 Human Geography; 1702 Cognitive Sciences,16 Studies in Human Society,17 Psychology and Cognitive Sciences,1701 Psychology,1604 Human Geography,1702 Cognitive Sciences
49,100,pub.1029650848,10.1016/b0-08-043076-7/02473-6,,,Scale in Geography,,International Encyclopedia of the Social & Behavioral Sciences,,2001,2001,,,13501-13504,Closed,Chapter,"Montello, D.R.",,"Montello, D.R. (University of California, Santa Barbara)",44,13,,7.14,,https://app.dimensions.ai/details/publication/pub.1029650848,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
50,100,pub.1007635248,10.1111/0004-5608.00160,,,Sex‐Related Differences and Similarities in Geographic and Environmental Spatial Abilities,Annals of the American Association of Geographers,,,1999-09,1999,89,3,515-534,"All OA; Green, Accepted & Submitted",Article,"Montello, Daniel R.; Lovelace, Kristin L.; Golledge, Reginald G.; Self, Carole M.",,"Montello, Daniel R. (University of California, Santa Barbara); Lovelace, Kristin L. (University of California, Santa Barbara); Golledge, Reginald G. (University of California, Santa Barbara); Self, Carole M. (University of California, Santa Barbara)",180,19,,,http://ludwig.missouri.edu/405/montello.pdf,https://app.dimensions.ai/details/publication/pub.1007635248,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
51,400,pub.1040192511,10.1068/p280981,10664749,,A Comparison of Methods for Estimating Directions in Egocentric Space,Perception,,Adolescent; Female; Humans; Male; Orientation; Psychophysics; Space Perception,1999-08,1999,28,8,981-1000,Closed,Article,"Montello, Daniel R; Richardson, Anthony E; Hegarty, Mary; Provenza, Michael",,"Montello, Daniel R (University of California, Santa Barbara); Richardson, Anthony E (University of California, Santa Barbara); Hegarty, Mary (University of California, Santa Barbara); Provenza, Michael (University of California, Santa Barbara)",34,7,0.61,,,https://app.dimensions.ai/details/publication/pub.1040192511,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
52,400,pub.1051500217,10.3758/bf03211566,10479831,,Spatial knowledge acquisition from maps and from navigation in real and virtual environments,Memory & Cognition,,Adolescent; Adult; Cognition; Computer Simulation; Distance Perception; Female; Humans; Learning; Male; Maps as Topic; Middle Aged; Orientation; Space Perception,1999-07,1999,27,4,741-750,All OA; Gold,Article,"Richardson, Anthony E.; Montello, Daniel R.; Hegarty, Mary","Richardson, Anthony E.","Richardson, Anthony E. (University of California, Santa Barbara); Montello, Daniel R. (University of California, Santa Barbara); Hegarty, Mary (University of California, Santa Barbara)",317,51,4.57,,https://link.springer.com/content/pdf/10.3758%2FBF03211566.pdf,https://app.dimensions.ai/details/publication/pub.1051500217,11 Medical and Health Sciences; 17 Psychology and Cognitive Sciences; 1701 Psychology; 1109 Neurosciences; 1702 Cognitive Sciences,11 Medical and Health Sciences,17 Psychology and Cognitive Sciences,1701 Psychology,1109 Neurosciences,1702 Cognitive Sciences
53,200,pub.1058164064,10.1068/p2940,,,A comparison of methods for estimating directions in egocentric space,Perception,,,1999,1999,28,8,981-1000,Closed,Article,"Montello, Daniel R; Richardson, Anthony E; Hegarty, Mary; Provenza, Michael",,"Montello, Daniel R (); Richardson, Anthony E (); Hegarty, Mary (); Provenza, Michael ()",19,1,,,,https://app.dimensions.ai/details/publication/pub.1058164064,1701 Psychology; 17 Psychology and Cognitive Sciences; 1702 Cognitive Sciences,1701 Psychology,17 Psychology and Cognitive Sciences,1702 Cognitive Sciences,,
54,100,pub.1022141463,10.1007/3-540-48384-5_5,,,Elements of Good Route Directions in Familiar and Unfamiliar Environments,Lecture Notes in Computer Science,Spatial Information Theory. Cognitive and Computational Foundations of Geographic Information Science,,1999,1999,1661,,65-82,"All OA; Green, Accepted & Submitted",Chapter,"Lovelace, Kristin L.; Hegarty, Mary; Montello, Daniel R.",,"Lovelace, Kristin L. (University of California, Santa Barbara); Hegarty, Mary (University of California, Santa Barbara); Montello, Daniel R. (University of California, Santa Barbara)",172,21,,,http://www.geog.ucsb.edu/~montello/pubs/directions.pdf,https://app.dimensions.ai/details/publication/pub.1022141463,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
55,100,pub.1095025774,10.1109/fuzzy.1998.687484,,,Fuzzy spatial queries in digital spatial data libraries,FUZZ-IEEE'99 1999 IEEE International Fuzzy Systems Conference Proceedings (Cat No99CH36315),1998 IEEE International Conference on Fuzzy Systems Proceedings. IEEE World Congress on Computational Intelligence (Cat. No.98CH36228),,1998,1998,1,,205-210 vol.1,Closed,Proceeding,"Goodchild, M.F.; Montello, D.R.; Fohl, P.; Gottsegen, J.",,"Goodchild, M.F. (University of California, Santa Barbara); Montello, D.R. (); Fohl, P. (); Gottsegen, J. ()",9,1,,,,https://app.dimensions.ai/details/publication/pub.1095025774,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0806 Information Systems,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0806 Information Systems,
56,100,pub.1012707741,10.1007/3-540-63623-4_57,,,The perception and cognition of environmental distance: Direct sources of information,Lecture Notes in Computer Science,Spatial Information Theory A Theoretical Basis for GIS,,1997,1997,1329,,297-311,Closed,Chapter,"Montello, Daniel R.",,"Montello, Daniel R. (University of California, Santa Barbara)",79,7,,,,https://app.dimensions.ai/details/publication/pub.1012707741,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
57,100,pub.1004823612,10.1007/978-0-585-33485-1_14,,,Modeling Directional Knowledge and Reasoning in Environmental Space: Testing Qualitative Metrics,GeoJournal Library,The Construction of Cognitive Maps,,1996,1996,32,,321-344,Closed,Chapter,"Montello, Daniel R.; Frank, Andrew U.",,"Montello, Daniel R. (University of California, Santa Barbara); Frank, Andrew U. (TU Wien)",28,2,,,,https://app.dimensions.ai/details/publication/pub.1004823612,01 Mathematical Sciences; 0101 Pure Mathematics,01 Mathematical Sciences,0101 Pure Mathematics,,,
58,100,pub.1028056493,10.1007/3-540-60392-1_32,,,How significant are cultural differences in spatial cognition?,Lecture Notes in Computer Science,Spatial Information Theory A Theoretical Basis for GIS,,1995,1995,988,,485-500,Closed,Chapter,"Montello, Daniel R.",,"Montello, Daniel R. (University of California, Santa Barbara)",26,4,,,,https://app.dimensions.ai/details/publication/pub.1028056493,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
59,400,pub.1058163449,10.1068/p231447,7792134,,Updating after Rotational and Translational Body Movements: Coordinate Structure of Perspective Space,Perception,,Female; Humans; Imagination; Male; Motion Perception; Reaction Time; Rotation,1994-12,1994,23,12,1447-1455,Closed,Article,"Presson, Clark C; Montello, Daniel R",,"Presson, Clark C (Arizona State University); Montello, Daniel R (Arizona State University)",180,14,4.18,,,https://app.dimensions.ai/details/publication/pub.1058163449,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
60,100,pub.1023182759,10.1177/0013916593253002,,,Integrating Knowledge of Vertically Aligned Large-Scale Spaces,Environment and Behavior,,,1993-05,1993,25,3,457-484,Closed,Article,"Montello, Daniel R.; Pick, Herbert L.",,"Montello, Daniel R. (University of California, Santa Barbara); Pick, Herbert L. (University of Minnesota)",130,17,,,,https://app.dimensions.ai/details/publication/pub.1023182759,16 Studies in Human Society; 17 Psychology and Cognitive Sciences; 12 Built Environment and Design,16 Studies in Human Society,17 Psychology and Cognitive Sciences,12 Built Environment and Design,,
61,100,pub.1051309556,10.1177/0146167293192008,,,Effects of Physical Attractiveness on Affect and Perceptual Judgments: When Social Comparison Overrides Social Reinforcement,Personality and Social Psychology Bulletin,,,1993-04,1993,19,2,195-199,Closed,Article,"Kenrick, Douglas T.; Montello, Daniel R.; Gutierres, Sara E.; Trost, Melanie R.",,"Kenrick, Douglas T. (Arizona State University); Montello, Daniel R. (University of California, Santa Barbara); Gutierres, Sara E. (); Trost, Melanie R. (Arizona State University)",32,1,,,,https://app.dimensions.ai/details/publication/pub.1051309556,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
62,100,pub.1038440561,10.1007/3-540-57207-4_21,,,Scale and multiple psychologies of space,Lecture Notes in Computer Science,Spatial Information Theory A Theoretical Basis for GIS,,1993,1993,716,,312-321,"All OA; Green, Accepted & Submitted",Chapter,"Montello, Daniel R.",,"Montello, Daniel R. (University of California, Santa Barbara)",279,46,,,http://www.nbu.bg/cogs/events/2003/materials/christian_freksa/montello_scale_93.pdf,https://app.dimensions.ai/details/publication/pub.1038440561,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
63,100,pub.1035740459,10.1007/3-540-55966-3_8,,,The geometry of environmental knowledge,Lecture Notes in Computer Science,Theories and Methods of Spatio-Temporal Reasoning in Geographic Space,,1992,1992,639,,136-152,"All OA; Green, Accepted & Submitted",Chapter,"Montello, Daniel R.",,"Montello, Daniel R. (University of California, Santa Barbara)",31,1,,,http://www.geog.ucsb.edu/~montello/pubs/geometry.pdf,https://app.dimensions.ai/details/publication/pub.1035740459,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
64,100,pub.1010250413,10.1177/0013916589213006,,,Remembering Changes in Direction,Environment and Behavior,,,1989-05,1989,21,3,346-363,Closed,Article,"Sadalla, Edward K.; Montello, Daniel R.",,"Sadalla, Edward K. (Arizona State University); Montello, Daniel R. ()",114,16,,,,https://app.dimensions.ai/details/publication/pub.1010250413,16 Studies in Human Society; 17 Psychology and Cognitive Sciences; 12 Built Environment and Design,16 Studies in Human Society,17 Psychology and Cognitive Sciences,12 Built Environment and Design,,
65,200,pub.1016458204,10.1111/j.2044-835x.1988.tb01111.x,,,Landmarks and the coordination and integration of spatial information,British Journal of Developmental Psychology,,,1988-11,1988,6,4,372-375,Closed,Article,"Pick, Herbert L.; Montello, Daniel R.; Somerville, Susan C.",,"Pick, Herbert L. (University of Minnesota); Montello, Daniel R. (Arizona State University); Somerville, Susan C. (Arizona State University)",12,0,,,,https://app.dimensions.ai/details/publication/pub.1016458204,1701 Psychology; 17 Psychology and Cognitive Sciences; 1702 Cognitive Sciences,1701 Psychology,17 Psychology and Cognitive Sciences,1702 Cognitive Sciences,,
66,200,pub.1012743774,10.1111/j.2044-835x.1988.tb01113.x,,,Points of reference in spatial cognition: Stalking the elusive landmark*,British Journal of Developmental Psychology,,,1988-11,1988,6,4,378-381,Closed,Article,"Presson, Clark C.; Montello, Daniel R.",,"Presson, Clark C. (Arizona State University); Montello, Daniel R. (Arizona State University)",113,10,,,,https://app.dimensions.ai/details/publication/pub.1012743774,1701 Psychology; 17 Psychology and Cognitive Sciences; 1702 Cognitive Sciences,1701 Psychology,17 Psychology and Cognitive Sciences,1702 Cognitive Sciences,,
67,100,pub.1010148127,10.1016/s0272-4944(88)80005-7,,,"Classroom seating location and its effect on course achievement, participation, and attitudes",Journal of Environmental Psychology,,,1988-06,1988,8,2,149-157,Closed,Article,"Montello, Daniel R.",,"Montello, Daniel R. (Arizona State University)",25,1,,,,https://app.dimensions.ai/details/publication/pub.1010148127,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
68,100,pub.1042532901,10.1037/0012-1649.22.3.327,,,Changes in peer and parent influence during adolescence: Longitudinal versus cross-sectional perspectives on smoking initiation.,Developmental Psychology,,,1986-05,1986,22,3,327,"All OA; Green, Accepted & Submitted",Article,"Chassin, Laurie; Presson, Clark C.; Sherman, Steven J.; Montello, Daniel; McGrew, John",,"Chassin, Laurie (Arizona State University); Presson, Clark C. (Arizona State University); Sherman, Steven J. (Indiana University); Montello, Daniel (Arizona State University); McGrew, John (Indiana University)",270,8,,,http://www.geog.ucsb.edu/~montello/pubs/smoking.pdf,https://app.dimensions.ai/details/publication/pub.1042532901,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
