,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is David W Lea. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
32,400,pub.1021968013,10.1073/pnas.0606291103,17001018,PMC1576294,Global temperature change,Proceedings of the National Academy of Sciences,,Greenhouse Effect; Oceans and Seas; Seawater; Temperature; Time Factors,2006-09-26,2006,103,39,14288-14293,All OA; Gold,Article,"Hansen, James; Sato, Makiko; Ruedy, Reto; Lo, Ken; Lea, David W.; Medina-Elizade, Martin",,"Hansen, James (Columbia University); Sato, Makiko (Columbia University); Ruedy, Reto (); Lo, Ken (); Lea, David W. (University of California, Santa Barbara); Medina-Elizade, Martin (University of California, Santa Barbara)",1006,175,5.32,119.21,http://www.pnas.org/content/103/39/14288.full.pdf,https://app.dimensions.ai/details/publication/pub.1021968013,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
33,200,pub.1016761463,10.1016/j.gca.2006.06.926,,,"Mg/Ca, stable isotopes and an important paleo-salintiy record from the indo-pacific warm pool",Geochimica et Cosmochimica Acta,,,2006-08,2006,70,18,a460,Closed,Article,"Opdyke, B.N.; Edwards, J.; Bostock, H.C.; Lea, D.W.; Spero, H.J.; Gagan, M.; Fifield, K.",,"Opdyke, B.N. (Australian National University); Edwards, J. (Australian National University); Bostock, H.C. (Australian National University); Lea, D.W. (University of California, San Diego); Spero, H.J. (University of California, Davis); Gagan, M. (Australian National University); Fifield, K. (Australian National University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1016761463,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
34,100,pub.1006455806,10.1016/j.quascirev.2005.11.010,,,"Paleoclimate history of Galápagos surface waters over the last 135,000yr",Quaternary Science Reviews,,,2006-06,2006,25,11-12,1152-1167,Closed,Article,"Lea, David W.; Pak, Dorothy K.; Belanger, Christina L.; Spero, Howard J.; Hall, Mike A.; Shackleton, Nicholas J.","Lea, David W.","Lea, David W. (University of California, Santa Barbara); Pak, Dorothy K. (University of California, Santa Barbara); Belanger, Christina L. (University of California, Santa Barbara); Spero, Howard J. (University of California, Davis); Hall, Mike A. (University of Cambridge); Shackleton, Nicholas J. (University of Cambridge)",129,12,,16.2,,https://app.dimensions.ai/details/publication/pub.1006455806,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
35,400,pub.1062452484,10.1126/science.1115933,16223985,,The Mid-Pleistocene Transition in the Tropical Pacific,Science,,,2005-11-11,2005,310,5750,1009-1012,Closed,Article,"Medina-Elizalde, Martín; Lea, David W.",,"Medina-Elizalde, Martín (University of California, Santa Barbara); Lea, David W. (University of California, Santa Barbara)",135,20,0.31,12.7,,https://app.dimensions.ai/details/publication/pub.1062452484,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
36,100,pub.1003586016,10.1029/2005gc000970,,,Influence of volcanic shards on foraminiferal Mg/Ca in a core from the Galápagos region,Geochemistry Geophysics Geosystems,,,2005-11,2005,6,11,n/a-n/a,All OA; Gold,Article,"Lea, David W.; Pak, Dorothy K.; Paradis, Georges",,"Lea, David W. (University of California, Santa Barbara); Pak, Dorothy K. (University of California, Santa Barbara); Paradis, Georges (University of California, Santa Barbara)",42,6,,4.09,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005GC000970,https://app.dimensions.ai/details/publication/pub.1003586016,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
37,100,pub.1039908646,10.1029/2005gc000989,,,Effects of temperature on Mg/Ca in neogloboquadrinid shells determined by live culturing,Geochemistry Geophysics Geosystems,,,2005-10,2005,6,10,n/a-n/a,All OA; Gold,Article,"von Langen, Peter J.; Pak, Dorothy K.; Spero, Howard J.; Lea, David W.",,"von Langen, Peter J. (University of California, Santa Barbara); Pak, Dorothy K. (University of California, Santa Barbara); Spero, Howard J. (University of California, Davis); Lea, David W. (University of California, Santa Barbara)",48,4,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005GC000989,https://app.dimensions.ai/details/publication/pub.1039908646,02 Physical Sciences; 04 Earth Sciences,02 Physical Sciences,04 Earth Sciences,,,
38,100,pub.1048607275,10.1029/2004pa001114,,,Diatom‐bound 15N/14N: New support for enhanced nutrient consumption in the ice age subantarctic,Paleoceanography and Paleoclimatology,,,2005-09,2005,20,3,n/a-n/a,All OA; Gold,Article,"Robinson, Rebecca S.; Sigman, Daniel M.; DiFiore, Peter J.; Rohde, Melissa M.; Mashiotta, Tracy A.; Lea, David W.",,"Robinson, Rebecca S. (Princeton University); Sigman, Daniel M. (Princeton University); DiFiore, Peter J. (Princeton University); Rohde, Melissa M. (University of British Columbia); Mashiotta, Tracy A. (); Lea, David W. (University of California, Santa Barbara)",88,2,,8,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2004PA001114,https://app.dimensions.ai/details/publication/pub.1048607275,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
39,100,pub.1037436920,10.1016/j.epsl.2005.06.020,,,Final closure of Panama and the onset of northern hemisphere glaciation,Earth and Planetary Science Letters,,,2005-08,2005,237,1-2,33-44,All OA; Gold,Article,"Bartoli, G.; Sarnthein, M.; Weinelt, M.; Erlenkeuser, H.; Garbe-Schönberg, D.; Lea, D.W.","Bartoli, G.","Bartoli, G. (Kiel University); Sarnthein, M. (Kiel University); Weinelt, M. (Kiel University); Erlenkeuser, H. (Kiel University); Garbe-Schönberg, D. (Kiel University); Lea, D.W. (University of California, Santa Barbara)",222,34,,20.17,https://doi.org/10.1016/j.epsl.2005.06.020,https://app.dimensions.ai/details/publication/pub.1037436920,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
40,100,pub.1033644444,10.1029/2003pa000914,,,Role of deep sea temperature in the carbon cycle during the last glacial,Paleoceanography and Paleoclimatology,,,2005-06,2005,20,2,n/a-n/a,All OA; Gold,Article,"Martin, Pamela; Archer, David; Lea, David W.",,"Martin, Pamela (); Archer, David (); Lea, David W. (University of California, Santa Barbara)",36,3,,2.79,http://onlinelibrary.wiley.com/doi/10.1029/2003PA000914/pdf,https://app.dimensions.ai/details/publication/pub.1033644444,0602 Ecology; 0405 Oceanography; 0402 Geochemistry; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0402 Geochemistry,04 Earth Sciences,06 Biological Sciences
41,100,pub.1018916690,10.1029/2004gc000760,,,Seasonal and interannual variation in Santa Barbara Basin water temperatures observed in sediment trap foraminiferal Mg/Ca,Geochemistry Geophysics Geosystems,,,2004-12,2004,5,12,n/a-n/a,All OA; Gold,Article,"Pak, Dorothy K.; Lea, David W.; Kennett, James P.",,"Pak, Dorothy K. (University of California, Santa Barbara); Lea, David W. (University of California, Santa Barbara); Kennett, James P. (University of California, Santa Barbara)",58,7,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2004GC000760,https://app.dimensions.ai/details/publication/pub.1018916690,02 Physical Sciences; 04 Earth Sciences,02 Physical Sciences,04 Earth Sciences,,,
42,100,pub.1024062387,10.1016/j.gca.2004.03.013,,,"Effects of seawater carbonate ion concentration and temperature on shell U, Mg, and Sr in cultured planktonic foraminifera",Geochimica et Cosmochimica Acta,,,2004-11,2004,68,21,4347-4361,Closed,Article,"Russell, Ann D.; Hönisch, Bärbel; Spero, Howard J.; Lea, David W.","Russell, Ann D.","Russell, Ann D. (University of California, Davis); Hönisch, Bärbel (Alfred Wegener Institute for Polar and Marine Research); Spero, Howard J. (University of California, Davis); Lea, David W. (University of California, Santa Barbara)",270,43,,25.92,,https://app.dimensions.ai/details/publication/pub.1024062387,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
43,400,pub.1021794359,10.1126/science.1100061,15375266,,Middle Miocene Southern Ocean Cooling and Antarctic Cryosphere Expansion,Science,,,2004-09-17,2004,305,5691,1766-1770,Closed,Article,"Shevenell, Amelia E.; Kennett, James P.; Lea, David W.",,"Shevenell, Amelia E. (University of California, Santa Barbara); Kennett, James P. (University of California, Santa Barbara); Lea, David W. (University of California, Santa Barbara)",309,42,1.34,19.82,,https://app.dimensions.ai/details/publication/pub.1021794359,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
44,100,pub.1024037329,10.1175/1520-0442(2004)017<2170:tycits>2.0.co;2,,,"The 100 000-Yr Cycle in Tropical SST, Greenhouse Forcing, and Climate Sensitivity",Journal of Climate,,,2004-06,2004,17,11,2170-2179,Closed,Article,"Lea, David W.",,"Lea, David W. ()",98,7,,8.17,,https://app.dimensions.ai/details/publication/pub.1024037329,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,
45,100,pub.1014979463,10.1029/2003gc000650,,,Interlaboratory comparison study of Mg/Ca and Sr/Ca measurements in planktonic foraminifera for paleoceanographic research,Geochemistry Geophysics Geosystems,,,2004-04,2004,5,4,n/a-n/a,"All OA; Green, Published",Article,"Rosenthal, Yair; Perron‐Cashman, Suzanne; Lear, Caroline H.; Bard, Edouard; Barker, Stephen; Billups, Katharina; Bryan, Martha; Delaney, Margaret L.; deMenocal, Peter B.; Dwyer, Gary S.; Elderfield, Henry; German, Chris R.; Greaves, Mervyn; Lea, David W.; Marchitto, Thomas M.; Pak, Dorothy K.; Paradis, Georges L.; Russell, Ann D.; Schneider, Ralph R.; Scheiderich, Kathleen; Stott, Lowell; Tachikawa, Kazuyo; Tappa, Eric; Thunell, Robert; Wara, Michael; Weldeab, Syee; Wilson, Paul A.",,"Rosenthal, Yair (Rutgers, The State University of New Jersey); Perron‐Cashman, Suzanne (Rutgers, The State University of New Jersey); Lear, Caroline H. (Rutgers, The State University of New Jersey); Bard, Edouard (); Barker, Stephen (University of Cambridge); Billups, Katharina (University of Delaware); Bryan, Martha (Lamont-Doherty Earth Observatory); Delaney, Margaret L. (University of California, Santa Cruz); deMenocal, Peter B. (Lamont-Doherty Earth Observatory); Dwyer, Gary S. (Duke University); Elderfield, Henry (University of Cambridge); German, Chris R. (); Greaves, Mervyn (University of Cambridge); Lea, David W. (University of California, Santa Barbara); Marchitto, Thomas M. (Institute of Arctic and Alpine Research); Pak, Dorothy K. (University of California, Santa Barbara); Paradis, Georges L. (University of California, Santa Barbara); Russell, Ann D. (University of California, Davis); Schneider, Ralph R. (University of Bordeaux); Scheiderich, Kathleen (University of Delaware); Stott, Lowell (University of Southern California); Tachikawa, Kazuyo (); Tappa, Eric (University of South Carolina); Thunell, Robert (University of South Carolina); Wara, Michael (University of California, Santa Cruz); Weldeab, Syee (University of Bremen); Wilson, Paul A. ()",135,17,,,https://dukespace.lib.duke.edu/dspace/bitstream/10161/6589/1/Rosenthal_2004_GGG.pdf,https://app.dimensions.ai/details/publication/pub.1014979463,02 Physical Sciences; 04 Earth Sciences,02 Physical Sciences,04 Earth Sciences,,,
46,400,pub.1021282113,10.1038/nature02346,15014495,,Links between salinity variation in the Caribbean and North Atlantic thermohaline circulation,Nature,,Animals; Atlantic Ocean; Atmosphere; Calcium; Caribbean Region; Climate; Geologic Sediments; Magnesium; Oxygen Isotopes; Seasons; Seawater; Sodium Chloride; Temperature; Time Factors; Water Movements,2004-03,2004,428,6979,160-163,Closed,Article,"Schmidt, Matthew W.; Spero, Howard J.; Lea, David W.","Schmidt, Matthew W.","Schmidt, Matthew W. (University of California, Davis); Spero, Howard J. (University of California, Davis); Lea, David W. (University of California, Santa Barbara)",201,25,0.25,12.9,,https://app.dimensions.ai/details/publication/pub.1021282113,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
47,100,pub.1024049076,10.1016/s0016-7037(03)00384-3,,,Barium and strontium uptake into larval protoconchs and statoliths of the marine neogastropod Kelletia kelletii,Geochimica et Cosmochimica Acta,,,2003-11,2003,67,21,4091-4099,Closed,Article,"Zacherl, Danielle C.; Paradis, Georges; Lea, David W.","Zacherl, Danielle C.","Zacherl, Danielle C. (University of California, Santa Barbara; University of California Los Angeles); Paradis, Georges (University of California, Santa Barbara); Lea, David W. (University of California, Santa Barbara)",51,4,,4.35,,https://app.dimensions.ai/details/publication/pub.1024049076,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
48,400,pub.1045764964,10.1126/science.1088470,12958356,,Synchroneity of Tropical and High-Latitude Atlantic Temperatures over the Last Glacial Termination,Science,,,2003-09-05,2003,301,5638,1361-1364,Closed,Article,"Lea, David W.; Pak, Dorothy K.; Peterson, Larry C.; Hughen, Konrad A.",,"Lea, David W. (University of California, Santa Barbara); Pak, Dorothy K. (University of California, Santa Barbara); Peterson, Larry C. (University of Miami); Hughen, Konrad A. (Woods Hole Oceanographic Institution)",317,33,0.36,28.62,,https://app.dimensions.ai/details/publication/pub.1045764964,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
49,100,pub.1050227622,10.1016/s0016-7037(02)01296-6,,,Model for kinetic effects on calcium isotope fractionation (δ44Ca) in inorganic aragonite and cultured planktonic foraminifera,Geochimica et Cosmochimica Acta,,,2003-04,2003,67,7,1375-1382,"All OA; Green, Published",Article,"Gussone, Nikolaus; Eisenhauer, Anton; Heuser, Alexander; Dietzel, Martin; Bock, Barbara; Böhm, Florian; Spero, Howard J.; Lea, David W.; Bijma, Jelle; Nägler, Thomas F.","Eisenhauer, Anton","Gussone, Nikolaus (GEOMAR Helmholtz Centre for Ocean Research Kiel); Eisenhauer, Anton (GEOMAR Helmholtz Centre for Ocean Research Kiel); Heuser, Alexander (GEOMAR Helmholtz Centre for Ocean Research Kiel); Dietzel, Martin (Graz University of Technology); Bock, Barbara (GEOMAR Helmholtz Centre for Ocean Research Kiel); Böhm, Florian (GEOMAR Helmholtz Centre for Ocean Research Kiel); Spero, Howard J. (University of California, Davis); Lea, David W. (University of California, Santa Barbara); Bijma, Jelle (Alfred Wegener Institute for Polar and Marine Research); Nägler, Thomas F. (University of Bern)",159,15,,12.07,https://epic.awi.de/id/eprint/6092/1/Gus2003a.pdf,https://app.dimensions.ai/details/publication/pub.1050227622,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
50,100,pub.1005389864,10.1016/s0272-7714(02)00317-7,,,Spatio-temporal and interspecific variation in otolith trace-elemental fingerprints in a temperate estuarine fish assemblage,Estuarine Coastal and Shelf Science,,,2003-04,2003,56,5-6,1111-1123,Closed,Article,"Swearer, Stephen E; Forrester, Graham E; Steele, Mark A; Brooks, Andrew J; Lea, David W","Swearer, Stephen E","Swearer, Stephen E (University of Melbourne); Forrester, Graham E (University of Rhode Island); Steele, Mark A (University of Rhode Island); Brooks, Andrew J (University of California, Santa Barbara); Lea, David W (University of California, Santa Barbara)",80,6,,5.87,,https://app.dimensions.ai/details/publication/pub.1005389864,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
51,100,pub.1002972556,10.1029/2002pa000814,,,Multispecies approach to reconstructing eastern equatorial Pacific thermocline hydrography during the past 360 kyr,Paleoceanography and Paleoclimatology,,,2003-03,2003,18,1,n/a-n/a,All OA; Gold,Article,"Spero, Howard J.; Mielke, Koreen M.; Kalve, Erica M.; Lea, David W.; Pak, Dorothy K.",,"Spero, Howard J. (University of California, Davis); Mielke, Koreen M. (University of California, Davis); Kalve, Erica M. (University of California, Davis); Lea, David W. (University of California, Santa Barbara); Pak, Dorothy K. (University of California, Santa Barbara)",150,18,,12.43,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2002PA000814,https://app.dimensions.ai/details/publication/pub.1002972556,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0602 Ecology; 06 Biological Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0602 Ecology,06 Biological Sciences,
52,200,pub.1071176763,10.3354/meps248297,,,Trace elemental fingerprinting of gastropod statoliths to study larval dispersal trajectories,Marine Ecology Progress Series,,,2003,2003,248,,297-303,All OA; Gold,Article,"Zacherl, DC; Manríquez, PH; Paradis, G; Day, RW; Castilla, JC; Warner, RR; Lea, DW; Gaines, SD",,"Zacherl, DC (); Manríquez, PH (); Paradis, G (); Day, RW (); Castilla, JC (); Warner, RR (); Lea, DW (); Gaines, SD ()",52,2,,4.61,https://www.int-res.com/articles/meps2003/248/m248p297.pdf,https://app.dimensions.ai/details/publication/pub.1071176763,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
53,200,pub.1038983565,10.1016/b0-08-043751-6/06114-4,,,6.14 Elemental and Isotopic Proxies of Past Ocean Temperatures,,Treatise on Geochemistry,,2003,2003,,,1-26,Closed,Chapter,"Lea, D.W.",,"Lea, D.W. (University of California, Santa Barbara)",21,3,,,,https://app.dimensions.ai/details/publication/pub.1038983565,,,,,,
54,100,pub.1032098518,10.1029/2001gc000280,,,A simple evaluation of cleaning procedures on fossil benthic foraminiferal Mg/Ca,Geochemistry Geophysics Geosystems,,,2002-10,2002,3,10,1-8,All OA; Gold,Article,"Martin, Pamela A.; Lea, David W.",,"Martin, Pamela A. (University of California, Santa Barbara); Lea, David W. (University of California, Santa Barbara)",157,26,,,http://onlinelibrary.wiley.com/doi/10.1029/2001GC000280/pdf,https://app.dimensions.ai/details/publication/pub.1032098518,02 Physical Sciences; 04 Earth Sciences,02 Physical Sciences,04 Earth Sciences,,,
55,200,pub.1062446724,10.1126/science.1073841,12114613,,The Glacial Tropical Pacific--Not Just a West Side Story,Science,,,2002-07-12,2002,297,5579,202-203,Closed,Article,"Lea, David W.",,"Lea, David W. (University of California, Santa Barbara)",19,1,0,,,https://app.dimensions.ai/details/publication/pub.1062446724,,,,,,
56,100,pub.1032707900,10.1016/s0012-821x(02)00472-7,,,Quaternary deep sea temperature histories derived from benthic foraminiferal Mg/Ca,Earth and Planetary Science Letters,,,2002-04-30,2002,198,1-2,193-209,Closed,Article,"Martin, Pamela A; Lea, David W; Rosenthal, Yair; Shackleton, Nicholas J; Sarnthein, Michael; Papenfuss, Thomas","Martin, Pamela A","Martin, Pamela A (University of California, Santa Barbara); Lea, David W (University of California, Santa Barbara); Rosenthal, Yair (Rutgers, The State University of New Jersey); Shackleton, Nicholas J (University of Cambridge); Sarnthein, Michael (Kiel University); Papenfuss, Thomas (Kiel University)",180,11,,,,https://app.dimensions.ai/details/publication/pub.1032707900,02 Physical Sciences; 04 Earth Sciences,02 Physical Sciences,04 Earth Sciences,,,
57,400,pub.1007990793,10.1126/science.1069401,11964477,,The Cause of Carbon Isotope Minimum Events on Glacial Terminations,Science,,Animals; Atmosphere; Carbon Dioxide; Carbon Isotopes; Climate; Geologic Sediments; Oxygen Isotopes; Pacific Ocean; Plankton; Seawater; Temperature; Time,2002-04-19,2002,296,5567,522-525,Closed,Article,"Spero, Howard J.; Lea, David W.",,"Spero, Howard J. (University of California, Davis); Lea, David W. (University of California, Santa Barbara)",170,20,0.17,11.42,,https://app.dimensions.ai/details/publication/pub.1007990793,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
58,100,pub.1005244355,10.1029/2001gc000200,,,Core top calibration of Mg/Ca in tropical foraminifera: Refining paleotemperature estimation,Geochemistry Geophysics Geosystems,,,2002-04,2002,3,4,1-29,All OA; Gold,Article,"Dekens, Petra S.; Lea, David W.; Pak, Dorothy K.; Spero, Howard J.",,"Dekens, Petra S. (University of California, Santa Barbara; University of California, Santa Cruz); Lea, David W. (University of California, Santa Barbara); Pak, Dorothy K. (University of California, Santa Barbara); Spero, Howard J. (University of California, Davis)",362,46,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2001GC000200,https://app.dimensions.ai/details/publication/pub.1005244355,02 Physical Sciences; 04 Earth Sciences,02 Physical Sciences,04 Earth Sciences,,,
59,100,pub.1021419881,10.1016/s0277-3791(01)00081-6,,,Reconstructing a 350ky history of sea level using planktonic Mg/Ca and oxygen isotope records from a Cocos Ridge core,Quaternary Science Reviews,,,2002-01,2002,21,1-3,283-293,Closed,Article,"Lea, David W.; Martin, Pamela A.; Pak, Dorothy K.; Spero, Howard J.","Lea, David W.","Lea, David W. (University of California, Santa Barbara); Martin, Pamela A. (University of California, Santa Barbara); Pak, Dorothy K. (University of California, Santa Barbara); Spero, Howard J. (University of California, Davis)",214,22,,21.81,,https://app.dimensions.ai/details/publication/pub.1021419881,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
60,100,pub.1022030058,10.1016/s0012-821x(01)00494-0,,,Uranium-series and radiocarbon geochronology of deep-sea corals: implications for Southern Ocean ventilation rates and the oceanic carbon cycle,Earth and Planetary Science Letters,,,2001-11,2001,193,1-2,167-182,Closed,Article,"Goldstein, Steven J.; Lea, David W.; Chakraborty, Supriyo; Kashgarian, Michaele; Murrell, Michael T.","Goldstein, Steven J.","Goldstein, Steven J. (Los Alamos National Laboratory); Lea, David W. (University of California, Santa Barbara); Chakraborty, Supriyo (University of California, Santa Barbara); Kashgarian, Michaele (Lawrence Livermore National Laboratory); Murrell, Michael T. (Los Alamos National Laboratory)",61,3,,5.19,,https://app.dimensions.ai/details/publication/pub.1022030058,04 Earth Sciences; 0403 Geology; 0405 Oceanography,04 Earth Sciences,0403 Geology,0405 Oceanography,,
61,100,pub.1050985473,10.1029/2000pa000547,,,Empirical relationship between pH and the boron isotopic composition of Globigerinoides sacculifer: Implications for the boron isotope paleo‐pH proxy,Paleoceanography and Paleoclimatology,,,2001-10,2001,16,5,515-519,All OA; Gold,Article,"Sanyal, Abhijit; Bijma, Jelle; Spero, Howie; Lea, David W.",,"Sanyal, Abhijit (); Bijma, Jelle (); Spero, Howie (); Lea, David W. ()",101,18,,8.14,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2000PA000547,https://app.dimensions.ai/details/publication/pub.1050985473,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
62,200,pub.1062445067,10.1126/science.1061078,11397911,,"Paleoclimate. Ice ages, the California Current, and Devils Hole.",Science,,Calcium Carbonate; California; Climate; Eukaryota; Ice; Ketones; Nevada; Oxygen; Oxygen Isotopes; Pacific Ocean; Seawater; Temperature,2001-07-06,2001,293,5527,59-60,Closed,Article,"Lea, D W",,"Lea, D W (University of California, Santa Barbara)",10,0,0,,,https://app.dimensions.ai/details/publication/pub.1062445067,,,,,,
63,400,pub.1062444379,10.1126/science.1057969,11222850,,Variability in the El Niño-Southern Oscillation Through a Glacial-Interglacial Cycle,Science,,Animals; Climate; Cnidaria; Fossils; Geologic Sediments; Oceans and Seas; Oxygen Isotopes; Papua New Guinea; Rain; Seasons; Temperature; Trace Elements,2001-02-23,2001,291,5508,1511-1517,Closed,Article,"Tudhope, Alexander W.; Chilcott, Colin P.; McCulloch, Malcolm T.; Cook, Edward R.; Chappell, John; Ellam, Robert M.; Lea, David W.; Lough, Janice M.; Shimmield, Graham B.",,"Tudhope, Alexander W. (University of Edinburgh; Australian Institute of Marine Science); Chilcott, Colin P. (University of Edinburgh); McCulloch, Malcolm T. (Australian National University); Cook, Edward R. (Lamont-Doherty Earth Observatory); Chappell, John (Australian National University); Ellam, Robert M. (Scottish Universities Environmental Research Centre); Lea, David W. (University of California, Santa Barbara); Lough, Janice M. (Australian Institute of Marine Science); Shimmield, Graham B. ()",602,55,1.03,65.25,,https://app.dimensions.ai/details/publication/pub.1062444379,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
64,100,pub.1049537753,10.1029/1999gc000006,,,Variation of foraminiferal Sr/Ca over Quaternary glacial‐interglacial cycles: Evidence for changes in mean ocean Sr/Ca?,Geochemistry Geophysics Geosystems,,,2000-12,2000,1,12,n/a-n/a,All OA; Gold,Article,"Martin, P. A.; Lea, D. W.; Mashiotta, T. A.; Papenfuss, T.; Sarnthein, M.",,"Martin, P. A. (); Lea, D. W. (); Mashiotta, T. A. (); Papenfuss, T. (Kiel University); Sarnthein, M. (Kiel University)",61,6,,5.75,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/1999GC000006,https://app.dimensions.ai/details/publication/pub.1049537753,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
65,400,pub.1062570903,10.1126/science.289.5485.1719,10976060,,Climate Impact of Late Quaternary Equatorial Pacific Sea Surface Temperature Variations,Science,,,2000-09-08,2000,289,5485,1719-1724,Closed,Article,"Lea, David W.; Pak, Dorothy K.; Spero, Howard J.",,"Lea, David W. (University of California, Santa Barbara); Pak, Dorothy K. (University of California, Santa Barbara); Spero, Howard J. (University of California, Davis)",722,47,0.79,74.04,,https://app.dimensions.ai/details/publication/pub.1062570903,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
66,100,pub.1051203814,10.1029/1999rg000066,,,What caused the glacial/interglacial atmospheric pCO2 cycles?,Reviews of Geophysics,,,2000-05,2000,38,2,159-189,All OA; Gold,Article,"Archer, David; Winguth, Arne; Lea, David; Mahowald, Natalie",,"Archer, David (); Winguth, Arne (); Lea, David (); Mahowald, Natalie ()",359,27,,22.24,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/1999RG000066,https://app.dimensions.ai/details/publication/pub.1051203814,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
67,100,pub.1029561065,10.1016/s0377-8398(00)00006-2,,,Temperature influence on the carbon isotopic composition of Globigerina bulloides and Orbulina universa (planktonic foraminifera),Marine Micropaleontology,,,2000-04,2000,38,3-4,213-228,"All OA; Green, Published",Article,"Bemis, Bryan E.; Spero, Howard J.; Lea, David W.; Bijma, Jelle","Bemis, Bryan E.","Bemis, Bryan E. (University of California, Davis); Spero, Howard J. (University of California, Davis); Lea, David W. (University of California, Santa Barbara); Bijma, Jelle (University of Bremen)",92,9,,6.44,https://epic.awi.de/id/eprint/266/1/Bem8888a.pdf,https://app.dimensions.ai/details/publication/pub.1029561065,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
