,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Stephen R Proulx. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
35,100,pub.1034793425,10.1057/9780230596887_6,,,"Masculinity, Culture, and the Paradox of the Lek",,The Body Beautiful,,2007,2007,,,88-107,Closed,Chapter,"Yu, Douglas W.; Proulx, Stephen R.; Shepard, Glenn H.",,"Yu, Douglas W. (University of East Anglia); Proulx, Stephen R. (Iowa State University); Shepard, Glenn H. (University of East Anglia)",7,0,,0.47,,https://app.dimensions.ai/details/publication/pub.1034793425,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
36,400,pub.1032235646,10.1111/j.0014-3820.2006.tb01168.x,16817530,,ALLELIC DIVERGENCE PRECEDES AND PROMOTES GENE DUPLICATION,Evolution,,"Computer Simulation; Evolution, Molecular; Gene Duplication; Genetic Variation; Genome; Models, Genetic; Population Density; Reproducibility of Results",2006-05,2006,60,5,881-892,Closed,Article,"Proulx, Stephen R.; Phillips, Patrick C.",,"Proulx, Stephen R. (University of Oregon); Phillips, Patrick C. (University of Oregon)",54,2,1.18,3.55,,https://app.dimensions.ai/details/publication/pub.1032235646,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
37,100,pub.1010119530,10.1554/05-507.1,,,ALLELIC DIVERGENCE PRECEDES AND PROMOTES GENE DUPLICATION,Evolution,,,2006,2006,60,5,881-892,Closed,Article,"Proulx, Stephen R.; Phillips, Patrick C.",,"Proulx, Stephen R. (University of Oregon); Phillips, Patrick C. (University of Oregon)",3,1,,0.2,,https://app.dimensions.ai/details/publication/pub.1010119530,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
38,400,pub.1034192550,10.1016/j.tree.2005.04.004,16701391,,Network thinking in ecology and evolution,Trends in Ecology & Evolution,,,2005-06,2005,20,6,345-353,Closed,Article,"Proulx, Stephen R.; Promislow, Daniel E.L.; Phillips, Patrick C.",,"Proulx, Stephen R. (University of Oregon); Promislow, Daniel E.L. (University of Georgia); Phillips, Patrick C. (University of Oregon)",451,87,5.7,,,https://app.dimensions.ai/details/publication/pub.1034192550,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
39,400,pub.1058714922,10.1086/426873,15729647,,The opportunity for canalization and the evolution of genetic networks.,The American Naturalist,,"Evolution, Molecular; Gene Regulatory Networks; Genetics, Population; Models, Genetic; Mutation; Phenotype; Selection, Genetic",2005-02,2005,165,2,147-62,Closed,Article,"Proulx, Stephen R; Phillips, Patrick C",,"Proulx, Stephen R (University of Oregon); Phillips, Patrick C ()",84,5,1.38,5.41,,https://app.dimensions.ai/details/publication/pub.1058714922,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
40,400,pub.1016761042,10.1111/j.1420-9101.2004.00723.x,15271094,,Sources of stochasticity in models of sex allocation in spatially structured populations,Journal of Evolutionary Biology,,"Animals; Biological Evolution; Fertility; Founder Effect; Models, Biological; Mortality; Sex Determination Processes; Sex Ratio; Stochastic Processes",2004-07,2004,17,4,924-930,All OA; Gold,Article,"Proulx, S. R.",,"Proulx, S. R. (University of Oregon)",5,0,0.17,0.36,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1420-9101.2004.00723.x,https://app.dimensions.ai/details/publication/pub.1016761042,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
41,400,pub.1062439362,10.1126/sageke.2004.14.pe14,15071177,,Does sex age you?,Science of Aging Knowledge Environment,,Aging; Animals; Biological Evolution; Sexual Behavior,2004-04-07,2004,2004,14,pe14,Closed,Article,"Proulx, Stephen R",,"Proulx, Stephen R (University of Oregon)",0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1062439362,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
42,400,pub.1058674042,10.1086/382548,15122509,,A general theory for the evolutionary dynamics of virulence.,The American Naturalist,,"Animals; Biological Evolution; Disease Transmission, Infectious; Game Theory; Host-Parasite Interactions; Infectious Disease Transmission, Vertical; Models, Biological; Mutation; Parasites; Parasitic Diseases; Population Dynamics; Time Factors; Virulence",2004-04,2004,163,4,e40-63,Closed,Article,"Day, Troy; Proulx, Stephen R",,"Day, Troy (Queen's University); Proulx, Stephen R ()",141,21,3.31,20.07,,https://app.dimensions.ai/details/publication/pub.1058674042,06 Biological Sciences; 0603 Evolutionary Biology,06 Biological Sciences,0603 Evolutionary Biology,,,
43,200,pub.1039410996,10.1002/ajhb.10130,,,Sex ratios: Concepts and research methods,American Journal of Human Biology,,,2003-03,2003,15,2,236-237,Closed,Article,"Proulx, Stephen",,"Proulx, Stephen (University of Oregon)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1039410996,1111 Nutrition and Dietetics; 11 Medical and Health Sciences; 16 Studies in Human Society; 0603 Evolutionary Biology; 1601 Anthropology; 06 Biological Sciences,1111 Nutrition and Dietetics,11 Medical and Health Sciences,16 Studies in Human Society,0603 Evolutionary Biology,1601 Anthropology
44,400,pub.1053214346,10.1098/rspb.2002.2129,12495495,PMC1691170,Older males signal more reliably,Proceedings of The Royal Society B Biological Sciences,,"Age Factors; Animal Communication; Animals; Choice Behavior; Female; Life Cycle Stages; Male; Models, Biological; Reproduction; Sexual Behavior, Animal",2002-11-22,2002,269,1507,2291-2299,"All OA; Green, Published",Article,"Proulx, Stephen R.; Day, Troy; Rowe, Locke",,"Proulx, Stephen R. (University of Toronto); Day, Troy (University of Toronto); Rowe, Locke (University of Toronto)",83,8,1.24,4.59,http://europepmc.org/articles/pmc1691170?pdf=render,https://app.dimensions.ai/details/publication/pub.1053214346,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
45,400,pub.1052463173,10.1111/j.0014-3820.2001.tb00755.x,11831656,,FEMALE CHOICE VIA INDICATOR TRAITS EASILY EVOLVES IN THE FACE OF RECOMBINATION AND MIGRATION,Evolution,,"Alleles; Animals; Environment; Humans; Male; Models, Theoretical; Recombination, Genetic; Selection, Genetic; Sex Characteristics; Sexual Behavior",2001-12,2001,55,12,2401-2411,Closed,Article,"Proulx, Stephen R.",,"Proulx, Stephen R. (University of Utah)",44,3,0.95,2.53,,https://app.dimensions.ai/details/publication/pub.1052463173,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
46,400,pub.1043789971,10.1098/rspb.2001.1804,11703870,PMC1088881,Can behavioural constraints alter the stability of signalling equilibria?,Proceedings of The Royal Society B Biological Sciences,,"Animals; Female; Male; Signal Detection, Psychological",2001-11-22,2001,268,1483,2307-2313,"All OA; Green, Published",Article,"Proulx, Stephen R.",,"Proulx, Stephen R. (University of Oregon)",6,0,0.25,,http://europepmc.org/articles/pmc1088881?pdf=render,https://app.dimensions.ai/details/publication/pub.1043789971,11 Medical and Health Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,11 Medical and Health Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
47,100,pub.1038699693,10.1554/0014-3820(2001)055[2401:fcvite]2.0.co;2,,,FEMALE CHOICE VIA INDICATOR TRAITS EASILY EVOLVES IN THE FACE OF RECOMBINATION AND MIGRATION,Evolution,,,2001,2001,55,12,2401-2411,Closed,Article,"Proulx, Stephen R.",,"Proulx, Stephen R. (University of Utah)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1038699693,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
48,400,pub.1051356533,10.1006/tpbi.2000.1474,10944474,,The ESS under Spatial Variation with Applications to Sex Allocation,Theoretical Population Biology,,"Animals; Biological Evolution; Discriminant Analysis; Female; Genetic Variation; Male; Models, Genetic; Phenotype; Population Density; Reproducibility of Results; Selection, Genetic; Sex Ratio; Statistics, Nonparametric; Stochastic Processes",2000-08,2000,58,1,33-47,Closed,Article,"Proulx, Stephen R.",,"Proulx, Stephen R. (University of Utah)",32,1,1.01,2.39,,https://app.dimensions.ai/details/publication/pub.1051356533,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
49,400,pub.1041116723,10.1086/303218,29587498,,Matings Systems and the Evolution of Niche Breadth.,The American Naturalist,,,1999-07,1999,154,1,89-98,Closed,Article,"Proulx, Stephen R",,"Proulx, Stephen R ()",47,3,0.93,,,https://app.dimensions.ai/details/publication/pub.1041116723,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
