,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Hunter Stanton Lenihan. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
21,100,pub.1014683039,10.1016/j.seares.2013.12.013,,,Impact of engineered zinc oxide nanoparticles on the energy budgets of Mytilus galloprovincialis,Journal of Sea Research,,,2014-11,2014,94,,29-36,Closed,Article,"Muller, Erik B.; Hanna, Shannon K.; Lenihan, Hunter S.; Miller, Robert J.; Nisbet, Roger M.","Muller, Erik B.","Muller, Erik B. (University of California, Santa Barbara); Hanna, Shannon K. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara)",19,10,,2.66,,https://app.dimensions.ai/details/publication/pub.1014683039,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
22,400,pub.1056226317,10.1021/nn504684k,25265533,,Common strategies and technologies for the ecosafety assessment and design of nanomaterials entering the marine environment.,ACS Nano,,"Ecosystem; Marine Biology; Models, Theoretical; Nanostructures",2014-10-28,2014,8,10,9694-709,"All OA; Green, Accepted & Submitted",Article,"Corsi, Ilaria; Cherr, Gary N.; Lenihan, Hunter S.; Labille, Jerome; Hassellov, Martin; Canesi, Laura; Dondero, Francesco; Frenzilli, Giada; Hristozov, Danail; Puntes, Victor; Della Torre, Camilla; Pinsino, Annalisa; Libralato, Giovanni; Marcomini, Antonio; Sabbioni, Enrico; Matranga, Valeria",,"Corsi, Ilaria (University of Siena); Cherr, Gary N. (University of California, Davis); Lenihan, Hunter S. (University of California, Santa Barbara); Labille, Jerome (); Hassellov, Martin (University of Gothenburg); Canesi, Laura (University of Genoa); Dondero, Francesco (University of Eastern Piedmont Amadeo Avogadro); Frenzilli, Giada (University of Pisa); Hristozov, Danail (Ca Foscari University of Venice); Puntes, Victor (Catalan Institute of Nanoscience and Nanotechnology); Della Torre, Camilla (University of Siena); Pinsino, Annalisa (); Libralato, Giovanni (Ca Foscari University of Venice; Veneto Nanotech (Italy)); Marcomini, Antonio (Ca Foscari University of Venice); Sabbioni, Enrico (Veneto Nanotech (Italy)); Matranga, Valeria ()",86,32,5.78,18.03,https://digital.csic.es/bitstream/10261/126874/1/accesoRestringido.pdf,https://app.dimensions.ai/details/publication/pub.1056226317,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
23,400,pub.1019142280,10.1890/13-1201.1,29160669,,Fishery management priorities vary with self‐recruitment in sedentary marine populations,Ecological Applications,,"Animals; Bivalvia; Conservation of Natural Resources; Fisheries; Models, Biological; Oceania; Pacific Ocean; Population Dynamics",2014-09,2014,24,6,1490-1504,"All OA; Green, Accepted & Submitted",Article,"Yau, Annie J.; Lenihan, Hunter S.; Kendall, Bruce E.",,"Yau, Annie J. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara)",12,6,0.43,1.96,https://escholarship.org/content/qt8s5395dz/qt8s5395dz.pdf?t=nbdcd5,https://app.dimensions.ai/details/publication/pub.1019142280,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
24,100,pub.1024453511,10.1111/conl.12073,,,Integration of No‐Take Marine Reserves in the Assessment of Data‐Limited Fisheries,Conservation Letters,,,2014-09,2014,7,5,451-458,All OA; Gold,Article,"Wilson, Jono R.; Valencia, Sarah R.; Kay, Matthew C.; Lenihan, Hunter S.",,"Wilson, Jono R. (University of California, Santa Barbara); Valencia, Sarah R. (University of California, Santa Barbara); Kay, Matthew C. (); Lenihan, Hunter S. (University of California, Santa Barbara)",5,1,,0.92,http://onlinelibrary.wiley.com/doi/10.1111/conl.12073/pdf,https://app.dimensions.ai/details/publication/pub.1024453511,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
25,400,pub.1053062250,10.1016/j.jhazmat.2014.06.052,25036998,,Deposition of carbon nanotubes by a marine suspension feeder revealed by chemical and isotopic tracers,Journal of Hazardous Materials,,"Animal Shells; Animals; Bivalvia; Feces; Nanotubes, Carbon; Phytoplankton; Suspensions; Tissue Distribution; Water Pollutants, Chemical",2014-08,2014,279,,32-37,Closed,Article,"Hanna, Shannon K.; Miller, Robert J.; Lenihan, Hunter S.","Hanna, Shannon K.","Hanna, Shannon K. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara)",15,5,0.82,,,https://app.dimensions.ai/details/publication/pub.1053062250,09 Engineering,09 Engineering,,,,
26,400,pub.1017557904,10.3390/nano4030535,28344235,PMC5304694,Accumulation and Toxicity of Copper Oxide Engineered Nanoparticles in a Marine Mussel,Nanomaterials,,,2014-06-27,2014,4,3,535-547,All OA; Gold,Article,"Hanna, Shannon K; Miller, Robert J; Lenihan, Hunter S",,"Hanna, Shannon K (University of California, Santa Barbara); Miller, Robert J (University of California, Santa Barbara); Lenihan, Hunter S (University of California, Santa Barbara)",20,12,1.4,3.26,https://www.mdpi.com/2079-4991/4/3/535/pdf,https://app.dimensions.ai/details/publication/pub.1017557904,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
27,400,pub.1055507135,10.1021/es404549u,24410520,,Effects and implications of trophic transfer and accumulation of CeO2 nanoparticles in a marine mussel.,Environmental Science & Technology,,"Animals; Cerium; Data Interpretation, Statistical; Environmental Monitoring; Food Chain; Metabolic Clearance Rate; Mytilus; Nanoparticles; Phytoplankton; Water Pollutants, Chemical",2014-02-04,2014,48,3,1517-24,"All OA; Green, Accepted & Submitted",Article,"Conway, Jon R.; Hanna, Shannon K.; Lenihan, Hunter S.; Keller, Arturo A.",,"Conway, Jon R. (University of California, Santa Barbara); Hanna, Shannon K. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara)",38,13,3.06,9.87,https://escholarship.org/content/qt5m15f018/qt5m15f018.pdf?t=o96dhu,https://app.dimensions.ai/details/publication/pub.1055507135,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
28,400,pub.1035355269,10.1016/j.aquatox.2013.09.019,24121101,,Accumulation and toxicity of metal oxide nanoparticles in a soft-sediment estuarine amphipod,Aquatic Toxicology,,"Amphipoda; Animals; Copper; Geologic Sediments; Metal Nanoparticles; Nickel; Seawater; Water Pollutants, Chemical; Zinc Oxide",2013-10,2013,142,Water Res. 40 2006,441-446,"All OA; Green, Published",Article,"Hanna, Shannon K.; Miller, Robert J.; Zhou, Dongxu; Keller, Arturo A.; Lenihan, Hunter S.","Hanna, Shannon K.","Hanna, Shannon K. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Zhou, Dongxu (Geosyntec Consultants (United States)); Keller, Arturo A. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara)",51,16,2.52,7.73,https://escholarship.org/content/qt1569r786/qt1569r786.pdf?t=o9fefv,https://app.dimensions.ai/details/publication/pub.1035355269,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
29,400,pub.1037411982,10.1002/etc.2180,23417698,,"Toxicity of ZnO nanoparticles to the copepod Acartia tonsa, exposed through a phytoplankton diet",Environmental Toxicology and Chemistry,,"Animals; Copepoda; Diatoms; Diet; Marine Biology; Nanoparticles; Phytoplankton; Risk Assessment; Toxicity Tests; Water Pollutants, Chemical; Zinc Oxide",2013-06,2013,32,6,1264-1269,Closed,Article,"Jarvis, Tayler A.; Miller, Robert J.; Lenihan, Hunter S.; Bielmyer, Gretchen K.",,"Jarvis, Tayler A. (Valdosta State University); Miller, Robert J. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Bielmyer, Gretchen K. (Valdosta State University)",31,10,1.98,4.44,,https://app.dimensions.ai/details/publication/pub.1037411982,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
30,400,pub.1006616929,10.1002/smll.201201700,23027589,,Implementation of a Multidisciplinary Approach to Solve Complex Nano EHS Problems by the UC Center for the Environmental Implications of Nanotechnology,Small,,Environment; Environmental Pollutants; Nanostructures; Nanotechnology; United States; United States Environmental Protection Agency,2013-05-27,2013,9,9‐10,1428-1443,Closed,Article,"Xia, Tian; Malasarn, Davin; Lin, Sijie; Ji, Zhaoxia; Zhang, Haiyuan; Miller, Robert J.; Keller, Arturo A.; Nisbet, Roger M.; Harthorn, Barbara H.; Godwin, Hilary A.; Lenihan, Hunter S.; Liu, Rong; Gardea‐Torresdey, Jorge; Cohen, Yoram; Mädler, Lutz; Holden, Patricia A.; Zink, Jeffrey I.; Nel, Andre E.",,"Xia, Tian (University of California Los Angeles); Malasarn, Davin (University of California Los Angeles); Lin, Sijie (University of California Los Angeles); Ji, Zhaoxia (University of California Los Angeles); Zhang, Haiyuan (University of California Los Angeles); Miller, Robert J. (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara); Harthorn, Barbara H. (University of California, Santa Barbara); Godwin, Hilary A. (University of California Los Angeles); Lenihan, Hunter S. (University of California, Santa Barbara); Liu, Rong (University of California Los Angeles); Gardea‐Torresdey, Jorge (The University of Texas at El Paso); Cohen, Yoram (University of California Los Angeles); Mädler, Lutz (University of Bremen); Holden, Patricia A. (University of California, Santa Barbara); Zink, Jeffrey I. (University of California Los Angeles); Nel, Andre E. (University of California Los Angeles)",23,4,0.99,4.3,,https://app.dimensions.ai/details/publication/pub.1006616929,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
31,400,pub.1004426918,10.1371/journal.pone.0061800,23613941,PMC3629123,Impact of Engineered Zinc Oxide Nanoparticles on the Individual Performance of Mytilus galloprovincialis,PLoS ONE,,Animals; Least-Squares Analysis; Mytilus; Nanoparticles; Nanotechnology; Zinc; Zinc Oxide,2013-04-17,2013,8,4,e61800,All OA; Gold,Article,"Hanna, Shannon K.; Miller, Robert J.; Muller, Erik B.; Nisbet, Roger M.; Lenihan, Hunter S.",,"Hanna, Shannon K. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Muller, Erik B. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara)",33,9,2.03,4.73,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0061800&type=printable,https://app.dimensions.ai/details/publication/pub.1004426918,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
32,400,pub.1055150219,10.1021/ar300069t,23039211,,"Ecological nanotoxicology: integrating nanomaterial hazard considerations across the subcellular, population, community, and ecosystems levels.",Accounts of Chemical Research,,Animals; Ecology; Ecosystem; Humans; Nanostructures; Quantum Dots; Risk Factors; Toxicity Tests,2013-03-19,2013,46,3,813-22,Closed,Article,"Holden, Patricia A.; Nisbet, Roger M.; Lenihan, Hunter S.; Miller, Robert J.; Cherr, Gary N.; Schimel, Joshua P.; Gardea-Torresdey, Jorge L.",,"Holden, Patricia A. (); Nisbet, Roger M. (University of California, Santa Barbara); Lenihan, Hunter S. (); Miller, Robert J. (); Cherr, Gary N. (University of California, Davis); Schimel, Joshua P. (University of California, Santa Barbara); Gardea-Torresdey, Jorge L. (The University of Texas at El Paso)",85,23,4.37,,,https://app.dimensions.ai/details/publication/pub.1055150219,03 Chemical Sciences,03 Chemical Sciences,,,,
33,400,pub.1004553234,10.1890/11-2257.1,23600250,,Variable intertidal temperature explains why disease endangers black abalone,Ecology,,Animals; Ecosystem; Host-Pathogen Interactions; Mollusca; Rickettsiaceae; Temperature,2013-01,2013,94,1,161-168,Closed,Article,"Ben-Horin, Tal; Lenihan, Hunter S.; Lafferty, Kevin D.",,"Ben-Horin, Tal (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Lafferty, Kevin D. (University of California, Santa Barbara)",29,10,1.14,4.15,,https://app.dimensions.ai/details/publication/pub.1004553234,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
34,100,pub.1032753450,10.1007/s11051-013-1418-7,,,Persistence of commercial nanoscaled zero-valent iron (nZVI) and by-products,Journal of Nanoparticle Research,,,2013-01,2013,15,1,1418,Closed,Article,"Adeleye, Adeyemi S.; Keller, Arturo A.; Miller, Robert J.; Lenihan, Hunter S.","Keller, Arturo A.","Adeleye, Adeyemi S. (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara)",54,15,,9.3,,https://app.dimensions.ai/details/publication/pub.1032753450,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
35,400,pub.1049578350,10.1371/journal.pone.0052837,23300793,PMC3534081,Small-Scale Spatial Variation in Population Dynamics and Fishermen Response in a Coastal Marine Fishery,PLoS ONE,,"Animal Distribution; Animals; California; Conservation of Natural Resources; Cooperative Behavior; Fertility; Fisheries; Fishes; Humans; Models, Biological; Oceans and Seas; Population Dynamics; Reproduction",2012-12-31,2012,7,12,e52837,All OA; Gold,Article,"Wilson, Jono R.; Kay, Matthew C.; Colgate, John; Qi, Roy; Lenihan, Hunter S.",,"Wilson, Jono R. (University of California, Santa Barbara); Kay, Matthew C. (University of California, Santa Barbara); Colgate, John (); Qi, Roy (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara)",15,5,0.28,2.3,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0052837&type=printable,https://app.dimensions.ai/details/publication/pub.1049578350,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
36,400,pub.1018966512,10.1371/journal.pone.0049396,23209573,PMC3510206,Trophic Cascades Induced by Lobster Fishing Are Not Ubiquitous in Southern California Kelp Forests,PLoS ONE,,Animals; California; Conservation of Natural Resources; Ecosystem; Fisheries; Food Chain; Kelp; Palinuridae; Population Density,2012-11-29,2012,7,11,e49396,All OA; Gold,Article,"Guenther, Carla M.; Lenihan, Hunter S.; Grant, Laura E.; Lopez-Carr, David; Reed, Daniel C.",,"Guenther, Carla M. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Grant, Laura E. (University of California, Santa Barbara); Lopez-Carr, David (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara)",6,2,0.13,0.72,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0049396&type=printable,https://app.dimensions.ai/details/publication/pub.1018966512,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
37,400,pub.1004028170,10.1371/journal.pone.0043983,22952836,PMC3431385,Toxicity of Nano-Zero Valent Iron to Freshwater and Marine Organisms,PLoS ONE,,Animals; Aquatic Organisms; Daphnia; Ferric Compounds; Fresh Water; Iron; Nanoparticles; Oxidation-Reduction; Particle Size; Phytoplankton; Polymers; Toxicity Tests; Zooplankton,2012-08-30,2012,7,8,e43983,All OA; Gold,Article,"Keller, Arturo A.; Garner, Kendra; Miller, Robert J.; Lenihan, Hunter S.",,"Keller, Arturo A. (University of California, Santa Barbara); Garner, Kendra (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara)",87,24,4.22,12.33,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0043983&type=printable,https://app.dimensions.ai/details/publication/pub.1004028170,09 Engineering; 06 Biological Sciences; 0602 Ecology; 0907 Environmental Engineering,09 Engineering,06 Biological Sciences,0602 Ecology,0907 Environmental Engineering,
38,400,pub.1030856601,10.1016/j.jhazmat.2012.05.009,22614026,,"Uptake, accumulation, and biotransformation of metal oxide nanoparticles by a marine suspension-feeder",Journal of Hazardous Materials,,"Animals; Biotransformation; Cerium; Feces; Metal Nanoparticles; Mytilus; Water Pollutants, Chemical; Zinc Oxide",2012-07,2012,225,,139-145,Closed,Article,"Montes, Milka O.; Hanna, Shannon K.; Lenihan, Hunter S.; Keller, Arturo A.","Keller, Arturo A.","Montes, Milka O. (University of California, Santa Barbara; The University of Texas of the Permian Basin); Hanna, Shannon K. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara)",74,17,3.5,,,https://app.dimensions.ai/details/publication/pub.1030856601,09 Engineering,09 Engineering,,,,
39,200,pub.1071170052,10.3354/meps09592,,,Effects of marine reserves on California spiny lobster are robust and modified by fine-scale habitat features and distance from reserve borders,Marine Ecology Progress Series,,,2012-04-11,2012,451,,137-150,All OA; Gold,Article,"Kay, MC; Lenihan, HS; Kotchen, MJ; Miller, CJ",,"Kay, MC (); Lenihan, HS (); Kotchen, MJ (); Miller, CJ ()",17,5,,2.43,https://www.int-res.com/articles/meps2012/451/m451p137.pdf,https://app.dimensions.ai/details/publication/pub.1071170052,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
40,400,pub.1047531756,10.1371/journal.pone.0030321,22276179,PMC3262817,TiO2 Nanoparticles Are Phototoxic to Marine Phytoplankton,PLoS ONE,,Nanoparticles; Oxidative Stress; Phytoplankton; Reactive Oxygen Species; Titanium; Ultraviolet Rays,2012-01-20,2012,7,1,e30321,All OA; Gold,Article,"Miller, Robert J.; Bennett, Samuel; Keller, Arturo A.; Pease, Scott; Lenihan, Hunter S.",,"Miller, Robert J. (University of California, Santa Barbara); Bennett, Samuel (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara); Pease, Scott (University of California, Santa Barbara; University of Washington); Lenihan, Hunter S. (University of California, Santa Barbara)",165,35,8.32,20.47,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0030321&type=printable,https://app.dimensions.ai/details/publication/pub.1047531756,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
41,400,pub.1042463123,10.1890/11-0155.1,22471093,,Collaborative assessment of California spiny lobster population and fishery responses to a marine reserve network,Ecological Applications,,Animals; California; Conservation of Natural Resources; Female; Fisheries; Male; Palinuridae,2012-01,2012,22,1,322-335,Closed,Article,"Kay, Matthew C.; Lenihan, Hunter S.; Guenther, Carla M.; Wilson, Jono R.; Miller, Christopher J.; Shrout, Samuel W.",,"Kay, Matthew C. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Guenther, Carla M. (University of California, Santa Barbara); Wilson, Jono R. (University of California, Santa Barbara); Miller, Christopher J. (); Shrout, Samuel W. ()",29,10,0.47,4.2,,https://app.dimensions.ai/details/publication/pub.1042463123,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
42,400,pub.1047088749,10.1890/11-0108.1,22073787,,"Influence of corallivory, competition, and habitat structure on coral community shifts",Ecology,,Animals; Anthozoa; Coral Reefs; Environmental Monitoring; Feeding Behavior; Fishes; Gastropoda; Population Dynamics,2011-10,2011,92,10,1959-1971,Closed,Article,"Lenihan, Hunter S.; Holbrook, Sally J.; Schmitt, Russell J.; Brooks, Andrew J.",,"Lenihan, Hunter S. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara)",27,11,0.35,3.56,,https://app.dimensions.ai/details/publication/pub.1047088749,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
43,100,pub.1050780252,10.1007/s00338-011-0763-1,,,Associational refuges among corals mediate impacts of a crown-of-thorns starfish Acanthaster planci outbreak,Coral Reefs,,,2011-09,2011,30,3,827-837,Closed,Article,"Kayal, Mohsen; Lenihan, Hunter S.; Pau, Cédric; Penin, Lucie; Adjeroud, Mehdi","Kayal, Mohsen","Kayal, Mohsen (Centre de Recherches Insulaires et Observatoire de l'Environnement; University of Perpignan); Lenihan, Hunter S. (University of California, Santa Barbara); Pau, Cédric (Centre de Recherches Insulaires et Observatoire de l'Environnement; University of Perpignan); Penin, Lucie (University of Perpignan; Centre de Recherches Insulaires et Observatoire de l'Environnement; ARC Centre of Excellence For Coral Reef Studies); Adjeroud, Mehdi (University of Perpignan; Institute of Research for the Development)",32,10,,4.22,,https://app.dimensions.ai/details/publication/pub.1050780252,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
44,100,pub.1021177222,10.1111/j.1526-100x.2010.00672.x,,,Impacts of Channel Reconstruction on Invertebrate Assemblages in a Restored River,Restoration Ecology,,,2011-09,2011,19,5,627-638,Closed,Article,"Albertson, Lindsey K.; Cardinale, Bradley J.; Zeug, Steven C.; Harrison, Lee R.; Lenihan, Hunter S.; Wydzga, M. Aleksandra",,"Albertson, Lindsey K. (University of California, Santa Barbara); Cardinale, Bradley J. (University of California, Santa Barbara); Zeug, Steven C. (University of California, Santa Barbara); Harrison, Lee R. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Wydzga, M. Aleksandra (California Polytechnic State University)",13,1,,1.72,,https://app.dimensions.ai/details/publication/pub.1021177222,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
45,100,pub.1033528892,10.1111/j.1365-2400.2010.00769.x,,,Predictors of Chinook salmon extirpation in California’s Central Valley,Fisheries Management and Ecology,,,2011-02,2011,18,1,61-71,Closed,Article,"ZEUG, S. C.; ALBERTSON, L. K.; LENIHAN, H.; HARDY, J.; CARDINALE, B.",,"ZEUG, S. C. (University of California, Santa Barbara); ALBERTSON, L. K. (); LENIHAN, H. (); HARDY, J. (); CARDINALE, B. ()",11,3,,1.16,,https://app.dimensions.ai/details/publication/pub.1033528892,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
46,100,pub.1030751027,10.1525/bio.2011.61.2.5,,,"Oyster Reefs at Risk and Recommendations for Conservation, Restoration, and Management",BioScience,,,2011-02,2011,61,2,107-116,"All OA; Green, Published",Article,"Beck, Michael W.; Brumbaugh, Robert D.; Airoldi, Laura; Carranza, Alvar; Coen, Loren D.; Crawford, Christine; Defeo, Omar; Edgar, Graham J.; Hancock, Boze; Kay, Matthew C.; Lenihan, Hunter S.; Luckenbach, Mark W.; Toropova, Caitlyn L.; Zhang, Guofan; Guo, Ximing",,"Beck, Michael W. (); Brumbaugh, Robert D. (); Airoldi, Laura (); Carranza, Alvar (); Coen, Loren D. (); Crawford, Christine (); Defeo, Omar (); Edgar, Graham J. (University of Tasmania); Hancock, Boze (); Kay, Matthew C. (); Lenihan, Hunter S. (); Luckenbach, Mark W. (); Toropova, Caitlyn L. (); Zhang, Guofan (); Guo, Ximing ()",420,122,,52.76,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=1659&context=vimsarticles,https://app.dimensions.ai/details/publication/pub.1030751027,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
47,400,pub.1009013142,10.1021/nn1034857,21261306,,Nanomaterials in the environment: from materials to high-throughput screening to organisms.,ACS Nano,,Animals; Combinatorial Chemistry Techniques; Drug Design; Ecotoxicology; Environment; High-Throughput Screening Assays; Humans; Nanostructures; Toxicity Tests,2011-01-25,2011,5,1,13-20,Closed,Article,"Thomas, Courtney R.; George, Saji; Horst, Allison M.; Ji, Zhaoxia; Miller, Robert J.; Peralta-Videa, Jose R.; Xia, Tian; Pokhrel, Suman; Mädler, Lutz; Gardea-Torresdey, Jorge L.; Holden, Patricia A.; Keller, Arturo A.; Lenihan, Hunter S.; Nel, Andre E.; Zink, Jeffrey I.",,"Thomas, Courtney R. (University of California Los Angeles); George, Saji (University of California Los Angeles); Horst, Allison M. (University of California, Santa Barbara); Ji, Zhaoxia (University of California Los Angeles); Miller, Robert J. (University of California, Santa Barbara); Peralta-Videa, Jose R. (The University of Texas at El Paso); Xia, Tian (University of California Los Angeles); Pokhrel, Suman (University of Bremen); Mädler, Lutz (University of Bremen); Gardea-Torresdey, Jorge L. (The University of Texas at El Paso); Holden, Patricia A. (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Nel, Andre E. (University of California Los Angeles); Zink, Jeffrey I. (University of California Los Angeles)",108,17,3.61,14.61,,https://app.dimensions.ai/details/publication/pub.1009013142,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
48,400,pub.1055501373,10.1021/es100247x,20469893,,Impacts of metal oxide nanoparticles on marine phytoplankton.,Environmental Science & Technology,,Marine Biology; Metal Nanoparticles; Phytoplankton; Solubility; Titanium; Zinc Oxide,2010-10,2010,44,19,7329-34,Closed,Article,"Miller, Robert J; Lenihan, Hunter S; Muller, Erik B; Tseng, Nancy; Hanna, Shannon K; Keller, Arturo A",,"Miller, Robert J (University of California, Santa Barbara); Lenihan, Hunter S (); Muller, Erik B (); Tseng, Nancy (); Hanna, Shannon K (); Keller, Arturo A ()",187,35,7.17,20.51,,https://app.dimensions.ai/details/publication/pub.1055501373,03 Chemical Sciences; 0602 Ecology; 06 Biological Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0602 Ecology,06 Biological Sciences,0306 Physical Chemistry (incl. Structural),
49,200,pub.1071168715,10.3354/meps08595,,,Response of Pocillopora verrucosa to corallivory varies with environmental conditions,Marine Ecology Progress Series,,,2010-06-23,2010,409,,51-63,All OA; Gold,Article,"Lenihan, HS; Edmunds, PJ",,"Lenihan, HS (); Edmunds, PJ ()",14,3,,1.63,https://www.int-res.com/articles/meps_oa/m409p051.pdf,https://app.dimensions.ai/details/publication/pub.1071168715,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
