,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Michelle A O'Malley. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
26,400,pub.1053308242,10.1002/1873-3468.12367,27543907,PMC5039092,Adenosine A2a receptors form distinct oligomers in protein detergent complexes,FEBS Letters,,"Detergents; Humans; Micelles; Protein Multimerization; Receptor, Adenosine A2A",2016-09,2016,590,18,3295-3306,"All OA; Green, Published",Article,"Schonenbach, Nicole S.; Rieth, Monica D.; Han, Songi; O'Malley, Michelle A.",,"Schonenbach, Nicole S. (University of California, Santa Barbara); Rieth, Monica D. (University of California, Santa Barbara); Han, Songi (University of California, Santa Barbara); O'Malley, Michelle A. (University of California, Santa Barbara)",4,3,0.23,0.75,https://escholarship.org/content/qt9wq0h1n3/qt9wq0h1n3.pdf?t=ocrpo4,https://app.dimensions.ai/details/publication/pub.1053308242,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
27,400,pub.1055135131,10.1021/acschembio.5b01051,26730612,,Intracellular FRET-based Screen for Redesigning the Specificity of Secreted Proteases.,ACS Chemical Biology,,Fluorescence Resonance Energy Transfer; Peptide Hydrolases; Substrate Specificity,2016-04-15,2016,11,4,961-70,Closed,Article,"Guerrero, Jennifer L; O'Malley, Michelle A; Daugherty, Patrick S",,"Guerrero, Jennifer L (University of California, Santa Barbara); O'Malley, Michelle A (University of California, Santa Barbara); Daugherty, Patrick S (University of California, Santa Barbara)",12,5,1.06,2.25,,https://app.dimensions.ai/details/publication/pub.1055135131,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
28,400,pub.1022835291,10.1016/j.anaerobe.2015.11.008,26620247,,Robust and effective methodologies for cryopreservation and DNA extraction from anaerobic gut fungi,Anaerobe,,"Cryopreservation; DNA, Fungal; Fungi; Gastrointestinal Microbiome; Genome, Fungal; High-Throughput Nucleotide Sequencing; Metagenome; Metagenomics; Sequence Analysis, DNA",2016-04,2016,38,,39-46,Closed,Article,"Solomon, Kevin V.; Henske, John K.; Theodorou, Michael K.; O'Malley, Michelle A.","O'Malley, Michelle A.","Solomon, Kevin V. (University of California, Santa Barbara); Henske, John K. (University of California, Santa Barbara); Theodorou, Michael K. (Harper Adams University); O'Malley, Michelle A. (University of California, Santa Barbara)",10,3,0.9,2.27,,https://app.dimensions.ai/details/publication/pub.1022835291,0605 Microbiology; 0604 Genetics; 06 Biological Sciences,0605 Microbiology,0604 Genetics,06 Biological Sciences,,
29,400,pub.1010636708,10.1126/science.aad1431,26912365,PMC5098331,"Early-branching gut fungi possess a large, comprehensive array of biomass-degrading enzymes",Science,,"Animals; Aspergillus; Biotechnology; Cellulases; Cellulose; Gastrointestinal Tract; Herbivory; RNA, Untranslated; Substrate Specificity; Trichoderma; Xylans",2016-03-11,2016,351,6278,1192-1195,All OA; Gold,Article,"Solomon, Kevin V.; Haitjema, Charles H.; Henske, John K.; Gilmore, Sean P.; Borges-Rivera, Diego; Lipzen, Anna; Brewer, Heather M.; Purvine, Samuel O.; Wright, Aaron T.; Theodorou, Michael K.; Grigoriev, Igor V.; Regev, Aviv; Thompson, Dawn A.; O’Malley, Michelle A.",,"Solomon, Kevin V. (University of California, Santa Barbara); Haitjema, Charles H. (University of California, Santa Barbara); Henske, John K. (University of California, Santa Barbara); Gilmore, Sean P. (University of California, Santa Barbara); Borges-Rivera, Diego (Broad Institute); Lipzen, Anna (); Brewer, Heather M. (Pacific Northwest National Laboratory); Purvine, Samuel O. (Pacific Northwest National Laboratory); Wright, Aaron T. (Pacific Northwest National Laboratory); Theodorou, Michael K. (Harper Adams University); Grigoriev, Igor V. (); Regev, Aviv (Broad Institute); Thompson, Dawn A. (Broad Institute); O’Malley, Michelle A. (University of California, Santa Barbara)",90,52,6.92,16.91,https://science.sciencemag.org/content/sci/351/6278/1192.full.pdf,https://app.dimensions.ai/details/publication/pub.1010636708,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
30,200,pub.1036102164,10.1016/j.bpj.2015.11.382,,,Mapping the Membrane Proteome of Anaerobic Gut Fungi using RNA-Seq,Biophysical Journal,,,2016-02,2016,110,3,58a-59a,All OA; Gold,Article,"Seppala, Susanna; Solomon, Kevin S.; Gilmore, Sean P.; Henske, John K.; Rieth, Monica D.; O'Malley, Michelle A.",,"Seppala, Susanna (University of California, Santa Barbara); Solomon, Kevin S. (University of California, Santa Barbara); Gilmore, Sean P. (University of California, Santa Barbara); Henske, John K. (University of California, Santa Barbara); Rieth, Monica D. (University of California, Santa Barbara); O'Malley, Michelle A. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2015.11.382,https://app.dimensions.ai/details/publication/pub.1036102164,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
31,400,pub.1058421014,10.1080/21655979.2015.1060379,26068180,PMC4601266,Driving biomass breakdown through engineered cellulosomes.,Bioengineered,,Bacteria; Bacterial Proteins; Biocatalysis; Bioengineering; Biomass; Cellulases; Cellulose; Cellulosomes; Fermentation; Fungal Proteins; Fungi; Glucose; Glycoside Hydrolases; Hydrolysis; Multienzyme Complexes,2015-07-04,2015,6,4,204-8,"All OA; Green, Published",Article,"Gilmore, Sean P; Henske, John K; O'Malley, Michelle A",,"Gilmore, Sean P (University of California, Santa Barbara); Henske, John K (University of California, Santa Barbara); O'Malley, Michelle A (University of California, Santa Barbara)",17,9,1.17,2.69,http://europepmc.org/articles/pmc4601266?pdf=render,https://app.dimensions.ai/details/publication/pub.1058421014,0605 Microbiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0605 Microbiology,0601 Biochemistry and Cell Biology,06 Biological Sciences,,
32,400,pub.1028270062,10.1002/wnan.1319,25521522,,Structure and function of G protein‐coupled receptor oligomers: implications for drug discovery,Wiley Interdisciplinary Reviews Nanomedicine and Nanobiotechnology,,"Animals; Binding Sites; Dimerization; Drug Discovery; Humans; Molecular Targeted Therapy; Protein Binding; Protein Conformation; Protein Multimerization; Receptors, G-Protein-Coupled; Structure-Activity Relationship",2015-05,2015,7,3,408-427,"All OA; Green, Published",Article,"Schonenbach, Nicole S.; Hussain, Sunyia; O'Malley, Michelle A.",,"Schonenbach, Nicole S. (University of California, Santa Barbara); Hussain, Sunyia (University of California, Santa Barbara); O'Malley, Michelle A. (University of California, Santa Barbara)",16,10,0.67,4.18,https://escholarship.org/content/qt9qw9t9zc/qt9qw9t9zc.pdf?t=ocrr1y,https://app.dimensions.ai/details/publication/pub.1028270062,09 Engineering; 10 Technology; 1007 Nanotechnology; 0903 Biomedical Engineering; 0304 Medicinal and Biomolecular Chemistry; 03 Chemical Sciences,09 Engineering,10 Technology,1007 Nanotechnology,0903 Biomedical Engineering,0304 Medicinal and Biomolecular Chemistry
33,400,pub.1052415539,10.1002/bit.25264,24788404,,"Anaerobic gut fungi: Advances in isolation, culture, and cellulolytic enzyme discovery for biofuel production",Biotechnology and Bioengineering,,Animals; Biofuels; Biomass; Carbohydrate Metabolism; Cell Culture Techniques; Cellulase; Fungal Proteins; Fungi; Gastrointestinal Tract; Industrial Microbiology; Ruminants,2014-08,2014,111,8,1471-1482,Closed,Article,"Haitjema, Charles H.; Solomon, Kevin V.; Henske, John K.; Theodorou, Michael K.; O'Malley, Michelle A.",,"Haitjema, Charles H. (); Solomon, Kevin V. (); Henske, John K. (); Theodorou, Michael K. (Harper Adams University); O'Malley, Michelle A. ()",54,28,2.37,7.56,,https://app.dimensions.ai/details/publication/pub.1052415539,0605 Microbiology; 0604 Genetics; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0605 Microbiology,0604 Genetics,0601 Biochemistry and Cell Biology,06 Biological Sciences,
34,400,pub.1027410005,10.1016/j.copbio.2014.01.007,24503479,,Extracting data from the muck: deriving biological insight from complex microbial communities and non-model organisms with next generation sequencing,Current Opinion in Biotechnology,,"Animals; Bacteria; Computational Biology; Databases, Genetic; Genome; High-Throughput Nucleotide Sequencing; Humans; Plants; Proteomics; Sequence Analysis, DNA; Sequence Analysis, RNA",2014-08,2014,28,,103-110,Closed,Article,"Solomon, Kevin V; Haitjema, Charles H; Thompson, Dawn A; O’Malley, Michelle A",,"Solomon, Kevin V (University of California, Santa Barbara); Haitjema, Charles H (University of California, Santa Barbara); Thompson, Dawn A (Broad Institute); O’Malley, Michelle A (University of California, Santa Barbara)",21,5,0.72,3.02,,https://app.dimensions.ai/details/publication/pub.1027410005,0605 Microbiology; 0604 Genetics; 06 Biological Sciences,0605 Microbiology,0604 Genetics,06 Biological Sciences,,
35,100,pub.1031299396,10.1002/ep.10614,,,Evaluating expression and catalytic activity of anaerobic fungal fibrolytic enzymes native topiromyces sp E2 inSaccharomyces cerevisiae,Environmental Progress & Sustainable Energy,,,2012-04,2012,31,1,37-46,Closed,Article,"O'Malley, Michelle A.; Theodorou, Michael K.; Kaiser, Chris A.",,"O'Malley, Michelle A. (Massachusetts Institute of Technology); Theodorou, Michael K. (Durham University; Centre for Process Innovation); Kaiser, Chris A. (Massachusetts Institute of Technology)",10,3,,1.01,,https://app.dimensions.ai/details/publication/pub.1031299396,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
36,400,pub.1016090698,10.1016/j.bpj.2011.09.018,22004748,PMC3192985,Toward Rational Design of Protein Detergent Complexes: Determinants of Mixed Micelles That Are Critical for the In Vitro Stabilization of a G-Protein Coupled Receptor,Biophysical Journal,,"Cholesterol Esters; Detergents; Drug Design; Humans; Micelles; Neutron Diffraction; Protein Conformation; Protein Stability; Receptor, Adenosine A2A; Scattering, Small Angle",2011-10,2011,101,8,1938-1948,All OA; Gold,Article,"O'Malley, Michelle A.; Helgeson, Matthew E.; Wagner, Norman J.; Robinson, Anne S.","Robinson, Anne S.","O'Malley, Michelle A. (University of Delaware); Helgeson, Matthew E. (University of Delaware); Wagner, Norman J. (University of Delaware); Robinson, Anne S. (University of Delaware)",30,4,1.23,2.77,https://doi.org/10.1016/j.bpj.2011.09.018,https://app.dimensions.ai/details/publication/pub.1016090698,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
37,200,pub.1046086278,10.1016/j.bpj.2010.12.3019,,,"Exploring the Trafficking, Ligand-Binding Activity, and Unfolding of a Model GPCR",Biophysical Journal,,,2011-02,2011,100,3,516a,All OA; Gold,Article,"Naranjo, Andrea N.; O'Malley, Michelle A.; Chavalier, Amy N.; Robinson, Anne S.",,"Naranjo, Andrea N. (University of Delaware); O'Malley, Michelle A. (Massachusetts Institute of Technology); Chavalier, Amy N. (University of Delaware); Robinson, Anne S. (University of Delaware)",0,0,,,https://doi.org/10.1016/j.bpj.2010.12.3019,https://app.dimensions.ai/details/publication/pub.1046086278,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
38,400,pub.1030650482,10.1016/j.bpj.2010.12.3698,21244820,PMC3021673,The Morphology and Composition of Cholesterol-Rich Micellar Nanostructures Determine Transmembrane Protein (GPCR) Activity,Biophysical Journal,,"Cholesterol; Cholesterol Esters; Cholic Acids; Glucosides; Humans; Membrane Proteins; Micelles; Molecular Conformation; Nanostructures; Protein Transport; Receptors, G-Protein-Coupled; Scattering, Small Angle; Surface Properties",2011-01,2011,100,2,l11-l13,All OA; Gold,Article,"O'Malley, Michelle A.; Helgeson, Matthew E.; Wagner, Norman J.; Robinson, Anne S.","Robinson, Anne S.","O'Malley, Michelle A. (University of Delaware); Helgeson, Matthew E. (University of Delaware); Wagner, Norman J. (University of Delaware); Robinson, Anne S. (University of Delaware)",30,2,1.21,2.77,https://doi.org/10.1016/j.bpj.2010.12.3698,https://app.dimensions.ai/details/publication/pub.1030650482,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
39,400,pub.1055203521,10.1021/bi101155r,20853839,PMC2964423,Analysis of adenosine A₂a receptor stability: effects of ligands and disulfide bonds.,Biochemistry,,"Adenosine; Disulfides; Humans; Ligands; Protein Denaturation; Protein Stability; Receptors, Adenosine A2; Receptors, G-Protein-Coupled; Theophylline",2010-11-02,2010,49,43,9181-9,"All OA; Green, Accepted & Submitted",Article,"O'Malley, Michelle A; Naranjo, Andrea N; Lazarova, Tzvetana; Robinson, Anne S",,"O'Malley, Michelle A (University of Delaware); Naranjo, Andrea N (); Lazarova, Tzvetana (); Robinson, Anne S ()",14,0,0.45,1.23,http://europepmc.org/articles/pmc2964423?pdf=render,https://app.dimensions.ai/details/publication/pub.1055203521,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
40,400,pub.1026885864,10.1002/pro.246,19760666,PMC2788290,Progress toward heterologous expression of active G‐protein‐coupled receptors in Saccharomyces cerevisiae: Linking cellular stress response with translocation and trafficking,Protein Science,,"Amino Acid Sequence; Cell Membrane; Chromatography, Affinity; Fungal Proteins; HSP70 Heat-Shock Proteins; Humans; Microscopy, Fluorescence; Molecular Sequence Data; Protein Sorting Signals; Protein Transport; Radioligand Assay; Receptor, Adenosine A2A; Receptors, G-Protein-Coupled; Recombinant Proteins; Saccharomyces cerevisiae; Stress, Physiological; Unfolded Protein Response",2009-11,2009,18,11,2356-2370,All OA; Gold,Article,"O'Malley, Michelle A.; Mancini, J. Dominic; Young, Carissa L.; McCusker, Emily C.; Raden, David; Robinson, Anne S.",,"O'Malley, Michelle A. (University of Delaware); Mancini, J. Dominic (University of Delaware); Young, Carissa L. (University of Delaware); McCusker, Emily C. (University of Delaware); Raden, David (University of Delaware); Robinson, Anne S. (University of Delaware)",36,4,0.77,2.93,https://onlinelibrary.wiley.com/doi/pdf/10.1002/pro.246,https://app.dimensions.ai/details/publication/pub.1026885864,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
41,400,pub.1041023626,10.1016/j.jsb.2007.05.001,17591446,PMC1994815,High-level expression in Saccharomyces cerevisiae enables isolation and spectroscopic characterization of functional human adenosine A2a receptor,Journal of Structural Biology,,"Cholesterol; Cloning, Molecular; Detergents; Humans; Micelles; Protein Conformation; Receptor, Adenosine A2A; Recombinant Fusion Proteins; Saccharomyces cerevisiae",2007-08,2007,159,2,166-178,"All OA; Green, Accepted & Submitted",Article,"O’Malley, Michelle A.; Lazarova, Tzvetana; Britton, Zachary T.; Robinson, Anne S.","Robinson, Anne S.","O’Malley, Michelle A. (University of Delaware); Lazarova, Tzvetana (University of Delaware); Britton, Zachary T. (University of Delaware); Robinson, Anne S. (University of Delaware)",52,7,1.26,3.85,http://europepmc.org/articles/pmc1994815?pdf=render,https://app.dimensions.ai/details/publication/pub.1041023626,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
42,400,pub.1007199287,10.1021/bp060349b,17397185,,Heterologous GPCR Expression: A Bottleneck to Obtaining Crystal Structures,Biotechnology Progress,,"Animals; Crystallography, X-Ray; Escherichia coli; Gene Expression; Receptors, G-Protein-Coupled; Recombinant Proteins; Yeasts",2007,2007,23,3,540-547,Closed,Article,"McCusker, Emily C.; Bane, Steven E.; O'Malley, Michelle A.; Robinson, Anne Skaja",,"McCusker, Emily C. (University of Delaware); Bane, Steven E. (University of Delaware); O'Malley, Michelle A. (University of Delaware); Robinson, Anne Skaja (University of Delaware)",84,6,2.05,,,https://app.dimensions.ai/details/publication/pub.1007199287,09 Engineering; 10 Technology; 06 Biological Sciences,09 Engineering,10 Technology,06 Biological Sciences,,
43,400,pub.1030071093,10.1021/bp050431r,17022661,,Optimization of the Human Adenosine A2a Receptor Yields in Saccharomyces cerevisiae,Biotechnology Progress,,"Biotechnology; Galactose; Genetic Techniques; Green Fluorescent Proteins; Humans; Hydrogen-Ion Concentration; Ligands; Receptor, Adenosine A2A; Saccharomyces cerevisiae; Spectrometry, Fluorescence; Temperature; Time Factors",2006,2006,22,5,1249-1255,Closed,Article,"Wedekind, Alison; O'Malley, Michelle A.; Niebauer, Ronald T.; Robinson, Anne S.",,"Wedekind, Alison (University of Delaware); O'Malley, Michelle A. (University of Delaware); Niebauer, Ronald T. (University of Delaware); Robinson, Anne S. (University of Delaware)",14,3,0.38,0.91,,https://app.dimensions.ai/details/publication/pub.1030071093,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
44,200,pub.1054298543,10.1002/bp050431r,,,Optimization of the Human Adenosine A 2 a Receptor Yields in Saccharomyces cerevisiae,Biotechnology Progress,,,2006,2006,22,5,1249-1255,Closed,Article,"Wedekind, Alison; O'Malley, Michelle A.; Niebauer, Ronald T.; Robinson, Anne S.",,"Wedekind, Alison (); O'Malley, Michelle A. (); Niebauer, Ronald T. (); Robinson, Anne S. ()",18,2,,,,https://app.dimensions.ai/details/publication/pub.1054298543,09 Engineering; 10 Technology; 06 Biological Sciences,09 Engineering,10 Technology,06 Biological Sciences,,
