,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Francis A Macdonald. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
35,200,pub.1099586936,10.1130/abs/2017am-299085,,,PROTEROZOIC CRATONIC FRAGMENTS IN MONGOLIA: SIGNIFICANCE IN THE INITIATION OF FORMATION OF THE CENTRAL ASIAN OROGENIC BELT,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Bold, Uyanga; Isozaki, Yukio; Macdonald, Francis A.",,"Bold, Uyanga (); Isozaki, Yukio (); Macdonald, Francis A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099586936,,,,,,
36,200,pub.1099586664,10.1130/abs/2017am-300462,,,A LATEST EDIACARAN DOUSHANTUO-TYPE LAGERSTÄTTE FROM NORTHERN MONGOLIAN PHOSPHORITES,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Anderson, Ross P.; Macdonald, Francis A.; Jones, David S.; McMahon, Sean; Briggs, Derek E.G.",,"Anderson, Ross P. (); Macdonald, Francis A. (); Jones, David S. (); McMahon, Sean (); Briggs, Derek E.G. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099586664,,,,,,
37,200,pub.1099586587,10.1130/abs/2017am-305977,,,STRATIGRAPHY OF THE CONNECTICUT VALLEY-GASPE TROUGH IN MASSACHUSETTS AND VERMONT: CONSTRAINTS FROM LA-ICPMS DATES FROM DETRITAL ZIRCON AND CA-IDTIMS DATES FROM VOLCANIC ROCKS,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Karabinos, Paul; Crowley, James L.; Stamp, Laura K.; Jean-Michel, Didier; Barker, Henry C.; Macdonald, Francis A.",,"Karabinos, Paul (); Crowley, James L. (); Stamp, Laura K. (); Jean-Michel, Didier (); Barker, Henry C. (); Macdonald, Francis A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099586587,,,,,,
38,200,pub.1099585837,10.1130/abs/2017am-298510,,,"A PORPOISING CRYOGENIAN BASIN IN THE PANAMINT RANGE, CALIFORNIA",Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Nelson, Lyle L.; Smith, Emily F.; Macdonald, Francis A.; Hodgin, Eben Blake",,"Nelson, Lyle L. (); Smith, Emily F. (); Macdonald, Francis A. (); Hodgin, Eben Blake ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099585837,,,,,,
39,100,pub.1062736041,10.1130/l552.1,,,Paleomagnetism of the Teel basalts from the Zavkhan terrane: Implications for Paleozoic paleogeography in Mongolia and the growth of continental crust,Литосфера,,,2016-12,2016,8,6,699-715,Closed,Article,"Kilian, T.M.; Swanson-Hysell, N.L.; Bold, U.; Crowley, J.; Macdonald, F.A.",,"Kilian, T.M. (University of California, Berkeley); Swanson-Hysell, N.L. (University of California, Berkeley); Bold, U. (Harvard University); Crowley, J. (Boise State University); Macdonald, F.A. (Harvard University)",7,4,,1.87,,https://app.dimensions.ai/details/publication/pub.1062736041,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
40,100,pub.1062736038,10.1130/l549.1,,,Neoproterozoic to early Paleozoic tectonic evolution of the Zavkhan terrane of Mongolia: Implications for continental growth in the Central Asian orogenic belt,Литосфера,,,2016-12,2016,8,6,729-750,All OA; Gold,Article,"Bold, Uyanga; Crowley, James L.; Smith, Emily F.; Sambuu, Oyungerel; Macdonald, Francis A.",,"Bold, Uyanga (Harvard University); Crowley, James L. (Boise State University); Smith, Emily F. (Smithsonian Institution); Sambuu, Oyungerel (Mongolian University of Science and Technology); Macdonald, Francis A. (Harvard University)",24,15,,6.43,https://pubs.geoscienceworld.org/gsa/lithosphere/article-pdf/8/6/729/3051208/729.pdf,https://app.dimensions.ai/details/publication/pub.1062736038,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
41,100,pub.1062734587,10.1130/g38284.1,,,Dodging snowballs: Geochronology of the Gaskiers glaciation and the first appearance of the Ediacaran biota,Geology,,,2016-11,2016,44,11,955-958,Closed,Article,"Pu, Judy P.; Bowring, Samuel A.; Ramezani, Jahandar; Myrow, Paul; Raub, Timothy D.; Landing, Ed; Mills, Andrea; Hodgin, Eben; Macdonald, Francis A.",,"Pu, Judy P. (Massachusetts Institute of Technology; Harvard University); Bowring, Samuel A. (Massachusetts Institute of Technology); Ramezani, Jahandar (Massachusetts Institute of Technology); Myrow, Paul (Colorado College); Raub, Timothy D. (University of St Andrews); Landing, Ed (New York State Museum); Mills, Andrea (); Hodgin, Eben (Harvard University); Macdonald, Francis A. (Harvard University)",76,61,,20.35,,https://app.dimensions.ai/details/publication/pub.1062734587,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
42,100,pub.1062734565,10.1130/g38157.1,,,"The end of the Ediacaran: Two new exceptionally preserved body fossil assemblages from Mount Dunfee, Nevada, USA",Geology,,,2016-11,2016,44,11,911-914,Closed,Article,"Smith, E.F.; Nelson, L.L.; Strange, M.A.; Eyster, A.E.; Rowland, S.M.; Schrag, D.P.; Macdonald, F.A.",,"Smith, E.F. (Smithsonian Institution); Nelson, L.L. (Harvard University); Strange, M.A. (University of Nevada, Las Vegas); Eyster, A.E. (Harvard University); Rowland, S.M. (University of Nevada, Las Vegas); Schrag, D.P. (Harvard University); Macdonald, F.A. (Harvard University)",30,23,,8.03,,https://app.dimensions.ai/details/publication/pub.1062734565,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
43,100,pub.1025009082,10.1016/j.epsl.2016.04.016,,,Continental flood basalt weathering as a trigger for Neoproterozoic Snowball Earth,Earth and Planetary Science Letters,,,2016-07,2016,446,Earth Planet. Sci. Lett. 292 2010,89-99,All OA; Gold,Article,"Cox, Grant M.; Halverson, Galen P.; Stevenson, Ross K.; Vokaty, Michelle; Poirier, André; Kunzmann, Marcus; Li, Zheng-Xiang; Denyszyn, Steven W.; Strauss, Justin V.; Macdonald, Francis A.","Cox, Grant M.","Cox, Grant M. (McGill University; Curtin University); Halverson, Galen P. (McGill University; Curtin University); Stevenson, Ross K. (University of Quebec at Montreal); Vokaty, Michelle (McGill University); Poirier, André (University of Quebec at Montreal); Kunzmann, Marcus (McGill University); Li, Zheng-Xiang (Curtin University); Denyszyn, Steven W. (University of Western Australia); Strauss, Justin V. (Dartmouth College); Macdonald, Francis A. (Harvard University)",75,47,,18.48,https://manuscript.elsevier.com/S0012821X16301728/pdf/S0012821X16301728.pdf,https://app.dimensions.ai/details/publication/pub.1025009082,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
44,400,pub.1013034742,10.1073/pnas.1523667113,27091966,PMC4983854,Low-latitude arc–continent collision as a driver for global cooling,Proceedings of the National Academy of Sciences,,,2016-05-03,2016,113,18,4935-4940,All OA; Gold,Article,"Jagoutz, Oliver; Macdonald, Francis A.; Royden, Leigh",,"Jagoutz, Oliver (Massachusetts Institute of Technology); Macdonald, Francis A. (Harvard University); Royden, Leigh (Massachusetts Institute of Technology)",24,14,0.29,5.76,http://www.pnas.org/content/113/18/4935.full.pdf,https://app.dimensions.ai/details/publication/pub.1013034742,04 Earth Sciences; 0403 Geology; 0405 Oceanography,04 Earth Sciences,0403 Geology,0405 Oceanography,,
45,100,pub.1044795724,10.1130/b31248.1,,,"Integrated stratigraphic, geochemical, and paleontological late Ediacaran to early Cambrian records from southwestern Mongolia",Geological Society of America Bulletin,,,2016-03,2016,128,3-4,442-468,"All OA; Green, Published",Article,"Smith, Emily F.; Macdonald, Francis A.; Petach, Tanya A.; Bold, Uyanga; Schrag, Daniel P.",,"Smith, Emily F. (Harvard University); Macdonald, Francis A. (Harvard University); Petach, Tanya A. (Harvard University); Bold, Uyanga (Harvard University); Schrag, Daniel P. (Harvard University)",34,18,,9.11,https://www.gt-crust.ru/jour/article/download/392/274,https://app.dimensions.ai/details/publication/pub.1044795724,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
46,100,pub.1031753672,10.1130/b31329.1,,,"Oxygen, facies, and secular controls on the appearance of Cryogenian and Ediacaran body and trace fossils in the Mackenzie Mountains of northwestern Canada",Geological Society of America Bulletin,,,2016-03,2016,128,3-4,558-575,Closed,Article,"Sperling, Erik A.; Carbone, Calla; Strauss, Justin V.; Johnston, David T.; Narbonne, Guy M.; Macdonald, Francis A.",,"Sperling, Erik A. (Harvard University); Carbone, Calla (Queen's University); Strauss, Justin V. (Harvard University); Johnston, David T. (Harvard University); Narbonne, Guy M. (Queen's University); Macdonald, Francis A. (Harvard University)",28,12,,6.9,,https://app.dimensions.ai/details/publication/pub.1031753672,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
47,100,pub.1029940365,10.1016/j.epsl.2015.12.017,,,Triple oxygen and multiple sulfur isotope constraints on the evolution of the post-Marinoan sulfur cycle,Earth and Planetary Science Letters,,,2016-02,2016,435,,74-83,All OA; Gold,Article,"Crockford, Peter W.; Cowie, Benjamin R.; Johnston, David T.; Hoffman, Paul F.; Sugiyama, Ichiko; Pellerin, Andre; Bui, Thi Hao; Hayles, Justin; Halverson, Galen P.; Macdonald, Francis A.; Wing, Boswell A.","Crockford, Peter W.","Crockford, Peter W. (); Cowie, Benjamin R. (Harvard University); Johnston, David T. (Harvard University); Hoffman, Paul F. (Harvard University; University of Victoria); Sugiyama, Ichiko (); Pellerin, Andre (); Bui, Thi Hao (); Hayles, Justin (Louisiana State University); Halverson, Galen P. (); Macdonald, Francis A. (Harvard University); Wing, Boswell A. ()",22,15,,4.99,https://manuscript.elsevier.com/S0012821X15007803/pdf/S0012821X15007803.pdf,https://app.dimensions.ai/details/publication/pub.1029940365,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
48,200,pub.1070838597,10.2475/01.2016.01,,,Neoproterozoic stratigraphy of the Zavkhan terrane of Mongolia: The backbone for Cryogenian and early Ediacaran chemostratigraphic records,American Journal of Science,,,2016-01-01,2016,316,1,1-63,Closed,Article,"Bold, U.; Smith, E. F.; Rooney, A. D.; Bowring, S. A.; Buchwaldt, R.; Dudas, F.  .; Ramezani, J.; Crowley, J. L.; Schrag, D. P.; Macdonald, F. A.",,"Bold, U. (); Smith, E. F. (); Rooney, A. D. (); Bowring, S. A. (); Buchwaldt, R. (); Dudas, F.  . (); Ramezani, J. (); Crowley, J. L. (); Schrag, D. P. (); Macdonald, F. A. ()",42,27,,11.06,,https://app.dimensions.ai/details/publication/pub.1070838597,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
49,200,pub.1108097037,10.1130/abs/2016am-286652,,,GEOCHRONOLOGY OF THE GASKIERS GLACIATION,Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Pu, Judy P.; Bowring, Samuel A.; Ramezani, Jahandar; Myrow, Paul; Raub, Timothy D.; Landing, Ed; Mills, Andrea; Hodgin, Eben Blake; Macdonald, Francis A.",,"Pu, Judy P. (); Bowring, Samuel A. (); Ramezani, Jahandar (); Myrow, Paul (); Raub, Timothy D. (); Landing, Ed (); Mills, Andrea (); Hodgin, Eben Blake (); Macdonald, Francis A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108097037,,,,,,
50,200,pub.1108094814,10.1130/abs/2016am-284629,,,TEMPO AND MODE OF NEOPROTEROZOIC GLACIATIONS: AN UPDATE,Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Rooney, Alan D.; Condon, Daniel; Macdonald, Francis A.; Zhu, Maoyan",,"Rooney, Alan D. (); Condon, Daniel (); Macdonald, Francis A. (); Zhu, Maoyan ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108094814,,,,,,
51,200,pub.1108094723,10.1130/abs/2016am-282070,,,"AN OS ISOTOPE PROFILE FROM THE MID-DARRIWILIAN-LOWERMOST SANDBIAN (ORDOVICIAN) ALMELUND SHALE, SWEDEN",Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Rooney, Alan D.; Skarzynski, Daniel T.; Selby, David; Ahlberg, Per; Macdonald, Francis A.",,"Rooney, Alan D. (); Skarzynski, Daniel T. (); Selby, David (); Ahlberg, Per (); Macdonald, Francis A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108094723,,,,,,
52,200,pub.1108094449,10.1130/abs/2016am-282714,,,"CAMBRIAN STRIKE-SLIP EMPLACEMENT OF PAMPIA AND AREQUIPA ON CORDILLERAN MARGIN OF AMAZONIA: EVIDENCE FROM GEOCHRONOLOGY OF THE UMACHIRI FORMATION, PERU",Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Hodgin, Eben Blake; Crowley, James; Carlotto, Victor; Macdonald, Francis A.",,"Hodgin, Eben Blake (); Crowley, James (); Carlotto, Victor (); Macdonald, Francis A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108094449,,,,,,
53,200,pub.1108093630,10.1130/abs/2016am-281615,,,TACONIC LOW-LATITUDE ARC-CONTINENT COLLISION AS A DRIVER FOR ORDOVICIAN COOLING,Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Macdonald, Francis A.; Swanson-Hysell, Nicholas L.",,"Macdonald, Francis A. (); Swanson-Hysell, Nicholas L. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108093630,,,,,,
54,200,pub.1108090990,10.1130/abs/2016rm-276066,,,"REVISED AGE CONSTRAINTS FOR CRYOGENIAN GLACIAL DEPOSITS IN THE POCATELLO FORMATION, SOUTHEASTERN IDAHO",Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Isakson, Vincent H.; Schmitz, Mark D.; Dehler, Carol M.; Macdonald, Francis A.; Yonkee, Adolph",,"Isakson, Vincent H. (); Schmitz, Mark D. (); Dehler, Carol M. (); Macdonald, Francis A. (); Yonkee, Adolph ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1108090990,,,,,,
55,200,pub.1108089413,10.1130/abs/2016ne-272427,,,WAS THE AREQUIPA MASSIF THE CONJUGATE RIFTED MARGIN OF NORTHEASTERN LAURENTIA?,Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Hodgin, Eben Blake; Macdonald, Francis A.; Crowley, James L.; Carlotto, Victor",,"Hodgin, Eben Blake (); Macdonald, Francis A. (); Crowley, James L. (); Carlotto, Victor ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108089413,,,,,,
56,200,pub.1108089391,10.1130/abs/2016ne-272473,,,TACONIC BASIN FORMATION AND MAGMATISM IN NEW ENGLAND AND NEWFOUNDLAND,Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Macdonald, Francis A.; Crowley, James L.; Hodgin, Eben Blake; Karabinos, Paul M.",,"Macdonald, Francis A. (); Crowley, James L. (); Hodgin, Eben Blake (); Karabinos, Paul M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108089391,,,,,,
57,200,pub.1108089273,10.1130/abs/2016ne-272707,,,DETRITAL ZIRCON CONSTRAINTS ON THE AGE OF THE GRANVILLE DOME MANTLING SEQUENCE,Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Stamp, Laura K.; Macdonald, Francis A.; Karabinos, Paul; Crowley, James L.",,"Stamp, Laura K. (); Macdonald, Francis A. (); Karabinos, Paul (); Crowley, James L. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108089273,,,,,,
58,200,pub.1108089241,10.1130/abs/2016ne-272773,,,EVIDENCE FOR THE EVOLVING PLATE GEOMETRY IN THE TACONIC HINTERLAND OF THE NORTHERN APPALACHIANS AND IMPLICATIONS FOR FORELAND BASIN DEPOSITS,Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Karabinos, Paul; Crowley, James L.; Macdonald, Francis A.",,"Karabinos, Paul (); Crowley, James L. (); Macdonald, Francis A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108089241,,,,,,
59,100,pub.1052174014,10.1144/sp424.6,,,Tectonostratigraphic evolution of the c. 780–730 Ma Beck Spring Dolomite: Basin Formation in the core of Rodinia,Geological Society London Special Publications,,,2016,2016,424,1,sp424.6,Closed,Article,"Smith, Emily F.; Macdonald, Francis A.; Crowley, James L.; Hodgin, Eben B.; Schrag, Daniel P.",,"Smith, Emily F. (Harvard University); Macdonald, Francis A. (Harvard University); Crowley, James L. (Boise State University); Hodgin, Eben B. (Harvard University); Schrag, Daniel P. (Harvard University)",12,8,,2.96,,https://app.dimensions.ai/details/publication/pub.1052174014,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
60,200,pub.1070838930,10.2475/10.2015.01,,,Stratigraphic evolution of the Neoproterozoic Callison Lake Formation: Linking the break-up of Rodinia to the Islay carbon isotope excursion,American Journal of Science,,,2015-12,2015,315,10,881-944,"All OA; Green, Accepted & Submitted",Article,"Strauss, Justin V.; MacDonald, Francis A.; Halverson, Galen P.; Tosca, Nicholas J.; Schrag, Daniel P.; Knoll, Andrew H.",,"Strauss, Justin V. (); MacDonald, Francis A. (); Halverson, Galen P. (); Tosca, Nicholas J. (); Schrag, Daniel P. (); Knoll, Andrew H. ()",20,14,,4.07,https://dash.harvard.edu/bitstream/1/30367434/1/95102326.pdf,https://app.dimensions.ai/details/publication/pub.1070838930,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
61,100,pub.1054964469,10.1017/pab.2015.25,,,The Proterozoic Record of Eukaryotes,Paleobiology,,,2015-09,2015,41,4,610-632,All OA; Gold,Article,"Cohen, Phoebe A.; Macdonald, Francis A.",,"Cohen, Phoebe A. (Williams College); Macdonald, Francis A. (Harvard University)",55,30,,11.29,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/07262A33436455F2CDC77BB46B596CB9/S0094837315000251a.pdf/div-class-title-the-proterozoic-record-of-eukaryotes-div.pdf,https://app.dimensions.ai/details/publication/pub.1054964469,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
62,400,pub.1049147411,10.1038/nature14589,26201598,,Statistical analysis of iron geochemical data suggests limited late Proterozoic oxygenation,Nature,,"Animals; Atmosphere; Biodiversity; Geologic Sediments; History, Ancient; Iron; Oceans and Seas; Oxidation-Reduction; Oxygen; Seawater; Sulfides; Time Factors",2015-07,2015,523,7561,451-454,"All OA; Green, Accepted & Submitted",Article,"Sperling, Erik A.; Wolock, Charles J.; Morgan, Alex S.; Gill, Benjamin C.; Kunzmann, Marcus; Halverson, Galen P.; Macdonald, Francis A.; Knoll, Andrew H.; Johnston, David T.","Sperling, Erik A.","Sperling, Erik A. (Harvard University; Scripps Institution of Oceanography; Stanford University); Wolock, Charles J. (Harvard University); Morgan, Alex S. (Harvard University); Gill, Benjamin C. (Virginia Tech); Kunzmann, Marcus (McGill University); Halverson, Galen P. (McGill University); Macdonald, Francis A. (Harvard University); Knoll, Andrew H. (Harvard University); Johnston, David T. (Harvard University)",208,114,4.13,38.71,https://dash.harvard.edu/bitstream/1/27716502/1/76986911.pdf,https://app.dimensions.ai/details/publication/pub.1049147411,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
63,100,pub.1050440511,10.1130/l435.1,,,Kikiktat volcanics of Arctic Alaska—Melting of harzburgitic mantle associated with the Franklin large igneous province,Литосфера,,,2015-06,2015,7,3,275-295,All OA; Gold,Article,"Cox, Grant M.; Strauss, Justin V.; Halverson, Galen P.; Schmitz, Mark D.; McClelland, William C.; Stevenson, Ross S.; Macdonald, Francis A.",,"Cox, Grant M. (McGill University); Strauss, Justin V. (Harvard University); Halverson, Galen P. (McGill University); Schmitz, Mark D. (Boise State University); McClelland, William C. (University of Iowa); Stevenson, Ross S. (); Macdonald, Francis A. (Harvard University)",21,10,,4.31,https://pubs.geoscienceworld.org/gsa/lithosphere/article-pdf/7/3/275/3051043/275.pdf,https://app.dimensions.ai/details/publication/pub.1050440511,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
64,200,pub.1051711055,10.5194/sd-19-17-2015,,,Accelerating Neoproterozoic research through scientific drilling,Scientific Drilling,,,2015-05-29,2015,19,19,17-25,All OA; Gold,Article,"Condon, D. J.; Boggiani, P.; Fike, D.; Halverson, G. P.; Kasemann, S.; Knoll, A. H.; Macdonald, F. A.; Prave, A. R.; Zhu, M.",,"Condon, D. J. (British Geological Survey); Boggiani, P. (University of Sao Paulo); Fike, D. (University of Washington); Halverson, G. P. (McGill University); Kasemann, S. (University of Bremen); Knoll, A. H. (Harvard University); Macdonald, F. A. (Harvard University); Prave, A. R. (University of St Andrews); Zhu, M. (Nanjing Institute of Geology and Paleontology)",2,1,,,https://www.sci-dril.net/19/17/2015/sd-19-17-2015.pdf,https://app.dimensions.ai/details/publication/pub.1051711055,04 Earth Sciences,04 Earth Sciences,,,,
65,100,pub.1024189490,10.1130/g36511.1,,,A Cryogenian chronology: Two long-lasting synchronous Neoproterozoic glaciations,Geology,,,2015-05,2015,43,5,459-462,Closed,Article,"Rooney, Alan D.; Strauss, Justin V.; Brandon, Alan D.; Macdonald, Francis A.",,"Rooney, Alan D. (Harvard University); Strauss, Justin V. (Harvard University); Brandon, Alan D. (University of Houston); Macdonald, Francis A. (Harvard University)",143,78,,29.35,,https://app.dimensions.ai/details/publication/pub.1024189490,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
66,200,pub.1004288592,10.1130/g36575y.1,,,A newly identified Gondwanan terrane in the northern Appalachian Mountains: Implications for the Taconic orogeny and closure of the Iapetus Ocean: REPLY,Geology,,,2015-04,2015,43,4,e360-e360,All OA; Gold,Article,"Macdonald, Francis A.; Ryan-Davis, Juliet; Coish, Raymond A.; Crowley, James L.; Karabinos, Paul M.",,"Macdonald, Francis A. (Harvard University); Ryan-Davis, Juliet (Middlebury College); Coish, Raymond A. (Middlebury College); Crowley, James L. (Boise State University); Karabinos, Paul M. (Williams College)",0,0,,,https://pubs.geoscienceworld.org/gsa/geology/article-pdf/43/4/e360/3549097/e360.pdf,https://app.dimensions.ai/details/publication/pub.1004288592,04 Earth Sciences,04 Earth Sciences,,,,
67,100,pub.1026804666,10.2110/palo.2014.069,,,FOSSILS OF PUTATIVE MARINE ALGAE FROM THE CRYOGENIAN GLACIAL INTERLUDE OF MONGOLIA,Palaios,,,2015-03-12,2015,30,3,238-247,Closed,Article,"COHEN, PHOEBE A.; MACDONALD, FRANCIS A.; PRUSS, SARA; MATYS, EMILY; BOSAK, TANJA",,"COHEN, PHOEBE A. (Williams College); MACDONALD, FRANCIS A. (Harvard University); PRUSS, SARA (Smith College); MATYS, EMILY (Massachusetts Institute of Technology); BOSAK, TANJA (Massachusetts Institute of Technology)",17,8,,2.86,,https://app.dimensions.ai/details/publication/pub.1026804666,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
68,100,pub.1048249956,10.1017/jpa.2014.25,,,"New Ediacaran fossils from the uppermost Blueflower Formation, northwest Canada: disentangling biostratigraphy and paleoecology",Journal of Paleontology,,,2015-03,2015,89,2,281-291,Closed,Article,"Carbone, Calla A.; Narbonne, Guy M.; Macdonald, Francis A.; Boag, Thomas H.",,"Carbone, Calla A. (Queen's University); Narbonne, Guy M. (Queen's University); Macdonald, Francis A. (Harvard University); Boag, Thomas H. (Queen's University)",8,3,,1.64,,https://app.dimensions.ai/details/publication/pub.1048249956,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
69,100,pub.1048711705,10.1016/j.epsl.2014.06.039,,,Neoproterozoic cap-dolostone deposition in stratified glacial meltwater plume,Earth and Planetary Science Letters,,,2014-10,2014,404,Geochim. Cosmochim. Acta 68 2004,22-32,Closed,Article,"Liu, Chao; Wang, Zhengrong; Raub, Timothy D.; Macdonald, Francis A.; Evans, David A.D.","Liu, Chao","Liu, Chao (Yale University); Wang, Zhengrong (Yale University); Raub, Timothy D. (University of St Andrews); Macdonald, Francis A. (Harvard University); Evans, David A.D. (Yale University)",29,16,,4.52,,https://app.dimensions.ai/details/publication/pub.1048711705,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
70,100,pub.1037875458,10.1130/g35736.1,,,"740 Ma vase-shaped microfossils from Yukon, Canada: Implications for Neoproterozoic chronology and biostratigraphy",Geology,,,2014-08,2014,42,8,659-662,Closed,Article,"Strauss, Justin V.; Rooney, Alan D.; Macdonald, Francis A.; Brandon, Alan D.; Knoll, Andrew H.",,"Strauss, Justin V. (Harvard University); Rooney, Alan D. (Harvard University); Macdonald, Francis A. (Harvard University); Brandon, Alan D. (University of Houston); Knoll, Andrew H. (Harvard University)",50,23,,8.43,,https://app.dimensions.ai/details/publication/pub.1037875458,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
71,100,pub.1008442813,10.1130/g35659.1,,,A newly identified Gondwanan terrane in the northern Appalachian Mountains: Implications for the Taconic orogeny and closure of the Iapetus Ocean,Geology,,,2014-06,2014,42,6,539-542,Closed,Article,"Macdonald, F.A.; Ryan-Davis, J.; Coish, R.A.; Crowley, J.L.; Karabinos, P.",,"Macdonald, F.A. (Harvard University); Ryan-Davis, J. (Middlebury College); Coish, R.A. (Middlebury College); Crowley, J.L. (Boise State University); Karabinos, P. (Williams College)",20,11,,3.37,,https://app.dimensions.ai/details/publication/pub.1008442813,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
72,100,pub.1013751129,10.1666/13-042,,,"Trace Fossils with Spreiten from the Late Ediacaran Nama Group, Namibia: Complex Feeding Patterns Five Million Years Before the Precambrian–Cambrian Boundary",Journal of Paleontology,,,2014-03,2014,88,2,299-308,Closed,Article,"Macdonald, Francis A.; Pruss, Sara B.; Strauss, Justin V.",,"Macdonald, Francis A. (Harvard University); Pruss, Sara B. (Smith College); Strauss, Justin V. (Harvard University)",30,8,,5.06,,https://app.dimensions.ai/details/publication/pub.1013751129,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
