,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Douglas J Mccauley. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
27,200,pub.1012435353,10.1038/540038b,27905433,,Conservation: smart advocacy needs data,Nature,,,2016-12,2016,540,7631,38-38,All OA; Gold,Article,"McCauley, Douglas J.; Joyce, Francis H.; Lubchenco, Jane","McCauley, Douglas J.","McCauley, Douglas J. (University of California, Santa Barbara); Joyce, Francis H. (University of California, Santa Barbara); Lubchenco, Jane (Oregon State University)",0,0,0,,http://www.nature.com/articles/540038b.pdf,https://app.dimensions.ai/details/publication/pub.1012435353,,,,,,
28,200,pub.1063176617,10.1146/annurev-ecolsys-112414-054142,,,"Patterns, Causes, and Consequences of Anthropocene Defaunation",Annual Review of Ecology Evolution and Systematics,,,2016-11,2016,47,1,333-358,Closed,Article,"Young, Hillary S.; McCauley, Douglas J.; Galetti, Mauro; Dirzo, Rodolfo",,"Young, Hillary S. (University of California, Santa Barbara); McCauley, Douglas J. (University of California, Santa Barbara); Galetti, Mauro (Sao Paulo State University); Dirzo, Rodolfo (Stanford University)",28,22,,,,https://app.dimensions.ai/details/publication/pub.1063176617,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
29,100,pub.1049849972,10.1146/annurev-environ-110615-085622,,,Megafaunal Impacts on Structure and Function of Ocean Ecosystems,Annual Review of Environment and Resources,,,2016-11,2016,41,1,83-116,"All OA; Green, Published",Article,"Estes, James A.; Heithaus, Michael; McCauley, Douglas J.; Rasher, Douglas B.; Worm, Boris",,"Estes, James A. (University of California, Santa Cruz); Heithaus, Michael (Florida International University); McCauley, Douglas J. (University of California, Santa Barbara); Rasher, Douglas B. (University of Maine); Worm, Boris (Dalhousie University)",39,34,,10.25,https://escholarship.org/content/qt2zw4n4f0/qt2zw4n4f0.pdf?t=ozrxe8,https://app.dimensions.ai/details/publication/pub.1049849972,0602 Ecology; 0405 Oceanography; 0502 Environmental Science and Management; 04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0502 Environmental Science and Management,04 Earth Sciences,05 Environmental Sciences
30,400,pub.1051895350,10.1126/science.aaf2416,27629258,,Ecological selectivity of the emerging mass extinction in the oceans,Science,,"Animals; Aquatic Organisms; Biodiversity; Biological Evolution; Body Size; Extinction, Biological; Oceans and Seas",2016-09-16,2016,353,6305,1284-1286,All OA; Gold,Article,"Payne, Jonathan L.; Bush, Andrew M.; Heim, Noel A.; Knope, Matthew L.; McCauley, Douglas J.",,"Payne, Jonathan L. (Stanford University); Bush, Andrew M. (University of Connecticut); Heim, Noel A. (Stanford University); Knope, Matthew L. (University of Hawaii at Hilo); McCauley, Douglas J. (University of California, Santa Barbara)",54,41,1.86,16.44,https://science.sciencemag.org/content/sci/353/6305/1284.full.pdf,https://app.dimensions.ai/details/publication/pub.1051895350,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences
31,100,pub.1010950809,10.1016/j.jembe.2016.04.012,,,Use of high-resolution acoustic cameras to study reef shark behavioral ecology,Journal of Experimental Marine Biology and Ecology,,,2016-09,2016,482,Environ. Biol. Fish 58 2000,128-133,All OA; Gold,Article,"McCauley, Douglas J.; DeSalles, Paul A.; Young, Hillary S.; Gardner, Jonathan P.A.; Micheli, Fiorenza","McCauley, Douglas J.","McCauley, Douglas J. (University of California, Santa Barbara); DeSalles, Paul A. (University of California, Santa Barbara); Young, Hillary S. (University of California, Santa Barbara); Gardner, Jonathan P.A. (Victoria University of Wellington); Micheli, Fiorenza (Stanford University)",3,2,,0.87,https://manuscript.elsevier.com/S0022098116300855/pdf/S0022098116300855.pdf,https://app.dimensions.ai/details/publication/pub.1010950809,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
32,300,pub.1046448190,10.1038/534317a,27306172,,Nutrition: Fall in fish catch threatens human health,Nature,,"Animals; Aquaculture; Child, Preschool; Developing Countries; Female; Fisheries; Fishes; Food Supply; Humans; Male; Malnutrition; Micronutrients; Nutritional Status; Population Dynamics",2016-06,2016,534,7607,317-320,All OA; Gold,Article,"Golden, Christopher D.; Allison, Edward H.; Cheung, William W. L.; Dey, Madan M.; Halpern, Benjamin S.; McCauley, Douglas J.; Smith, Matthew; Vaitla, Bapu; Zeller, Dirk; Myers, Samuel S.","Golden, Christopher D.","Golden, Christopher D. (Harvard University); Allison, Edward H. (University of Washington); Cheung, William W. L. (University of British Columbia); Dey, Madan M. (University of Arkansas at Pine Bluff); Halpern, Benjamin S. (University of California, Santa Barbara); McCauley, Douglas J. (University of California, Santa Barbara); Smith, Matthew (Harvard University); Vaitla, Bapu (Harvard University); Zeller, Dirk (University of British Columbia); Myers, Samuel S. (Harvard University)",125,87,4.5,,http://www.nature.com:80/polopoly_fs/1.20074!/menu/main/topColumns/topLeftColumn/pdf/534317a.pdf,https://app.dimensions.ai/details/publication/pub.1046448190,,,,,,
33,100,pub.1032458027,10.1111/1365-2435.12542,,,Large wildlife removal drives immune defence increases in rodents,Functional Ecology,,,2016-05,2016,30,5,799-807,All OA; Gold,Article,"Young, Hillary S.; Dirzo, Rodolfo; Helgen, Kristofer M.; McCauley, Douglas J.; Nunn, Charles L.; Snyder, Paul; Veblen, Kari E.; Zhao, Serena; Ezenwa, Vanessa O.",,"Young, Hillary S. (University of California, Santa Barbara; National Museum of Natural History; Mpala Research Center and Wildlife Foundation); Dirzo, Rodolfo (Stanford University); Helgen, Kristofer M. (National Museum of Natural History); McCauley, Douglas J. (University of California, Santa Barbara; Mpala Research Center and Wildlife Foundation); Nunn, Charles L. (Duke University); Snyder, Paul (University of Georgia; Oregon State University); Veblen, Kari E. (Mpala Research Center and Wildlife Foundation; Utah State University); Zhao, Serena (National Museum of Natural History; Mpala Research Center and Wildlife Foundation); Ezenwa, Vanessa O. (Mpala Research Center and Wildlife Foundation; University of Georgia)",9,6,,2.62,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.12542,https://app.dimensions.ai/details/publication/pub.1032458027,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
34,200,pub.1016592728,10.1126/science.aad5686,26965610,,Ending hide and seek at sea,Science,,,2016-03-11,2016,351,6278,1148-1150,All OA; Gold,Article,"McCauley, Douglas J.; Woods, Paul; Sullivan, Brian; Bergman, Bjorn; Jablonicky, Caroline; Roan, Aaron; Hirshfield, Michael; Boerder, Kristina; Worm, Boris",,"McCauley, Douglas J. (University of California, Santa Barbara); Woods, Paul (); Sullivan, Brian (Google); Bergman, Bjorn (); Jablonicky, Caroline (University of California, Santa Barbara); Roan, Aaron (Google); Hirshfield, Michael (); Boerder, Kristina (Dalhousie University); Worm, Boris (Dalhousie University)",71,53,2.43,,https://science.sciencemag.org/content/sci/351/6278/1148.full.pdf,https://app.dimensions.ai/details/publication/pub.1016592728,,,,,,
35,200,pub.1045413834,10.1017/s0266467415000498,,,Differential plant damage due to litterfall in palm-dominated forest stands in a Central Pacific atoll – CORRIGENDUM,Journal of Tropical Ecology,,,2015-11,2015,31,6,573-573,All OA; Gold,Article,"Young, Hillary S.; McCauley, Douglas J.; Pollock, Amanda; Dirzo, Rodolfo",,"Young, Hillary S. (); McCauley, Douglas J. (); Pollock, Amanda (); Dirzo, Rodolfo ()",0,0,,0,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/1E8A1AD2A1A27E73859E8E1C774E61B7/S0266467415000498a.pdf/div-class-title-differential-plant-damage-due-to-litterfall-in-palm-dominated-forest-stands-in-a-central-pacific-atoll-corrigendum-div.pdf,https://app.dimensions.ai/details/publication/pub.1045413834,16 Studies in Human Society; 0602 Ecology; 1601 Anthropology; 06 Biological Sciences,16 Studies in Human Society,0602 Ecology,1601 Anthropology,06 Biological Sciences,
36,200,pub.1110695631,10.4324/9780203115398-8,,,Ocean Health,,Routledge Handbook of Ocean Resources and Management,,2015-10-16,2015,,,108-126,Closed,Chapter,"Micheli, Fiorenza; De Leo, Giulio; Ferretti, Francesco; Margaret Hines, A.; Honey, Kristen; Kroeker, Kristy; Martone, Rebecca G.; McCauley, Douglas J.; O’Leary, Jennifer K.; Rosim, Daniele F.; Sokolow, Susanne H.; Stock, Andy; Wood, Chelsea L.",,"Micheli, Fiorenza (); De Leo, Giulio (); Ferretti, Francesco (); Margaret Hines, A. (); Honey, Kristen (); Kroeker, Kristy (); Martone, Rebecca G. (); McCauley, Douglas J. (); O’Leary, Jennifer K. (); Rosim, Daniele F. (); Sokolow, Susanne H. (); Stock, Andy (); Wood, Chelsea L. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110695631,,,,,,
37,400,pub.1003335623,10.1645/14-684.1,25634599,,Drivers of Intensity and Prevalence of Flea Parasitism on Small Mammals in East African Savanna Ecosystems,Journal of Parasitology,,Animals; Body Size; Ecosystem; Female; Flea Infestations; Grassland; Host-Pathogen Interactions; Kenya; Male; Plants; Prevalence; Rain; Rodent Diseases; Rodentia; Seasons; Siphonaptera; Soil,2015-06-01,2015,101,3,327-335,"All OA; Green, Accepted & Submitted",Article,"Young, Hillary S.; Dirzo, Rodolfo; McCauley, Douglas J.; Agwanda, Bernard; Cattaneo, Lia; Dittmar, Katharina; Eckerlin, Ralph P.; Fleischer, Robert C.; Helgen, Lauren E.; Hintz, Ashley; Montinieri, John; Zhao, Serena; Helgen, Kristofer M.",,"Young, Hillary S. (University of California, Santa Barbara); Dirzo, Rodolfo (University of California, Santa Barbara); McCauley, Douglas J. (University of California, Santa Barbara); Agwanda, Bernard (University of California, Santa Barbara); Cattaneo, Lia (University of California, Santa Barbara); Dittmar, Katharina (University of California, Santa Barbara); Eckerlin, Ralph P. (University of California, Santa Barbara); Fleischer, Robert C. (University of California, Santa Barbara); Helgen, Lauren E. (University of California, Santa Barbara); Hintz, Ashley (University of California, Santa Barbara); Montinieri, John (University of California, Santa Barbara); Zhao, Serena (University of California, Santa Barbara); Helgen, Kristofer M. (University of California, Santa Barbara)",12,8,0.98,2.35,https://escholarship.org/content/qt2mn8h7qh/qt2mn8h7qh.pdf?t=ozrxzf,https://app.dimensions.ai/details/publication/pub.1003335623,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
38,400,pub.1048249848,10.4269/ajtmh.14-0504,25711606,PMC4385772,Effects of Land Use on Plague (Yersinia pestis) Activity in Rodents in Tanzania,American Journal of Tropical Medicine and Hygiene,,"Agriculture; Animals; Conservation of Natural Resources; DNA Barcoding, Taxonomic; Disease Reservoirs; Ecosystem; Female; Geography; Humans; Plague; Prevalence; Rodent Diseases; Rodentia; Seroepidemiologic Studies; Siphonaptera; Tanzania; Yersinia pestis; Zoonoses",2015-04-01,2015,92,4,776-783,All OA; Gold,Article,"McCauley, Douglas J.; Salkeld, Daniel J.; Young, Hillary S.; Makundi, Rhodes; Dirzo, Rodolfo; Eckerlin, Ralph P.; Lambin, Eric F.; Gaffikin, Lynne; Barry, Michele; Helgen, Kristofer M.",,"McCauley, Douglas J. (); Salkeld, Daniel J. (); Young, Hillary S. (); Makundi, Rhodes (); Dirzo, Rodolfo (); Eckerlin, Ralph P. (); Lambin, Eric F. (); Gaffikin, Lynne (); Barry, Michele (); Helgen, Kristofer M. ()",14,6,1.21,,http://www.ajtmh.org/deliver/fulltext/14761645/92/4/776.pdf?itemId=/content/journals/10.4269/ajtmh.14-0504&mimeType=pdf&containerItemId=content/journals/14761645,https://app.dimensions.ai/details/publication/pub.1048249848,11 Medical and Health Sciences,11 Medical and Health Sciences,,,,
39,100,pub.1023271745,10.1890/es14-00514.1,,,Carbon stable isotopes suggest that hippopotamus‐vectored nutrients subsidize aquatic consumers in an East African river,Ecosphere,,,2015-04,2015,6,4,1-11,All OA; Gold,Article,"McCauley, Douglas J.; Dawson, Todd E.; Power, Mary E.; Finlay, Jacques C.; Ogada, Mordecai; Gower, Drew B.; Caylor, Kelly; Nyingi, Wanja D.; Githaiga, John M.; Nyunja, Judith; Joyce, Francis H.; Lewison, Rebecca L.; Brashares, Justin S.",,"McCauley, Douglas J. (University of California, Santa Barbara); Dawson, Todd E. (University of California, Berkeley); Power, Mary E. (University of California, Berkeley); Finlay, Jacques C. (University of Minnesota); Ogada, Mordecai (); Gower, Drew B. (Princeton University); Caylor, Kelly (Princeton University); Nyingi, Wanja D. (National Museums of Kenya); Githaiga, John M. (University of Nairobi); Nyunja, Judith (Kenya Wildlife Service); Joyce, Francis H. (University of California, Santa Barbara); Lewison, Rebecca L. (San Diego State University); Brashares, Justin S. (University of California, Berkeley)",16,11,,3.51,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES14-00514.1,https://app.dimensions.ai/details/publication/pub.1023271745,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
40,400,pub.1010403358,10.1890/14-0995.1,26263659,,Context‐dependent effects of large‐wildlife declines on small‐mammal communities in central Kenya,Ecological Applications,,"Animals; Animals, Wild; Biodiversity; Body Size; Conservation of Natural Resources; Kenya; Population Dynamics",2015-03,2015,25,2,348-360,"All OA; Green, Accepted & Submitted",Article,"Young, Hillary S.; McCauley, Douglas J.; Dirzo, Rodolfo; Goheen, Jacob R.; Agwanda, Bernard; Brook, Cara; Otárola-Castillo, Erik; Ferguson, Adam W.; Kinyua, Stephen N.; McDonough, Molly M.; Palmer, Todd M.; Pringle, Robert M.; Young, Truman P.; Helgen, Kristofer M.",,"Young, Hillary S. (University of California, Santa Barbara; National Museum of Natural History; Mpala Research Center and Wildlife Foundation; Stanford University); McCauley, Douglas J. (University of California, Santa Barbara); Dirzo, Rodolfo (Stanford University); Goheen, Jacob R. (Mpala Research Center and Wildlife Foundation; University of Wyoming); Agwanda, Bernard (National Museums of Kenya); Brook, Cara (Princeton University); Otárola-Castillo, Erik (Harvard University); Ferguson, Adam W. (Texas Tech University); Kinyua, Stephen N. (Mpala Research Center and Wildlife Foundation); McDonough, Molly M. (National Museum of Natural History; Texas Tech University); Palmer, Todd M. (Mpala Research Center and Wildlife Foundation; University of Florida); Pringle, Robert M. (Mpala Research Center and Wildlife Foundation; Princeton University); Young, Truman P. (Mpala Research Center and Wildlife Foundation; University of California, Davis); Helgen, Kristofer M. (National Museum of Natural History)",30,16,1.79,6.58,https://escholarship.org/content/qt403903qq/qt403903qq.pdf?t=ozry34,https://app.dimensions.ai/details/publication/pub.1010403358,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
41,400,pub.1062470062,10.1126/science.1255641,25593191,,Marine defaunation: Animal loss in the global ocean,Science,,"Animals; Animals, Wild; Aquatic Organisms; Biodiversity; Climate Change; Ecosystem; Endangered Species; Extinction, Biological; Human Activities; Humans; Oceans and Seas; Population Dynamics; Seawater",2015-01-16,2015,347,6219,1255641,"All OA; Green, Published",Article,"McCauley, Douglas J.; Pinsky, Malin L.; Palumbi, Stephen R.; Estes, James A.; Joyce, Francis H.; Warner, Robert R.",,"McCauley, Douglas J. (University of California, Santa Barbara); Pinsky, Malin L. (Rutgers, The State University of New Jersey); Palumbi, Stephen R. (Stanford University); Estes, James A. (University of California, Santa Cruz); Joyce, Francis H. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara)",391,192,11.83,76.77,https://escholarship.org/content/qt1gj9w82r/qt1gj9w82r.pdf?t=nvg2ee,https://app.dimensions.ai/details/publication/pub.1062470062,0602 Ecology; 0405 Oceanography; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0405 Oceanography,06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences
42,200,pub.1003657548,10.1890/0012-9623-96.1.157,,,Context‐Dependent Effects of Largewildlife Declines on Small‐Mammal Communities in Central Kenya,Bulletin of the Ecological Society of America,,,2015-01,2015,96,1,157-160,All OA; Gold,Article,"Young, Hillary S.; McCauley, Douglas J.; Dirzo, Rodolfo; Goheen, Jacob R.; Agwanda, Bernard; Brook, Cara; Castillo, Erik O.; Ferguson, Adam W.; Kinyua, Stephen N.; McDonough, Molly M.; Palmer, Todd M.; Pringle, Robert M.; Young, Truman P.; Helgen, Kristofer M.",,"Young, Hillary S. (); McCauley, Douglas J. (); Dirzo, Rodolfo (); Goheen, Jacob R. (); Agwanda, Bernard (); Brook, Cara (); Castillo, Erik O. (); Ferguson, Adam W. (); Kinyua, Stephen N. (); McDonough, Molly M. (); Palmer, Todd M. (); Pringle, Robert M. (); Young, Truman P. (); Helgen, Kristofer M. ()",2,0,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/0012-9623-96.1.157,https://app.dimensions.ai/details/publication/pub.1003657548,,,,,,
43,100,pub.1044516084,10.1146/annurev-ecolsys-112414-054142,,,"Patterns, Causes, and Consequences of Anthropocene Defaunation",Annual Review of Ecology Evolution and Systematics,,,2014-12,2014,47,1,1-26,Closed,Article,"Young, Hillary S.; McCauley, Douglas J.; Galetti, Mauro; Dirzo, Rodolfo",,"Young, Hillary S. (); McCauley, Douglas J. (); Galetti, Mauro (); Dirzo, Rodolfo ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1044516084,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences
44,200,pub.1062615468,10.1126/science.346.6211.819-c,25395527,,Fauna in decline—Response,Science,,Conservation of Natural Resources; Humans; Security Measures,2014-11-14,2014,346,6211,819-820,Closed,Article,"Withey, Lauren; Seto, Katherine; McCauley, Douglas J.; Fiorella, Kathryn J.; Marsh, Ryan A.; Abrahms, Briana; Nuñez, Tristan A.; Golden, Christopher D.; Brashares, Justin S.",,"Withey, Lauren (University of California, Berkeley); Seto, Katherine (University of California, Berkeley); McCauley, Douglas J. (University of California, Santa Barbara); Fiorella, Kathryn J. (University of California, Berkeley); Marsh, Ryan A. (University of California, Berkeley); Abrahms, Briana (University of California, Berkeley); Nuñez, Tristan A. (University of California, Berkeley); Golden, Christopher D. (Wildlife Conservation Society); Brashares, Justin S. (University of California, Berkeley)",0,0,0,,,https://app.dimensions.ai/details/publication/pub.1062615468,,,,,,
45,400,pub.1009755675,10.1111/cobi.12314,25065396,,Positive and Negative Effects of a Threatened Parrotfish on Reef Ecosystems,Conservation Biology,,"Animals; Conservation of Natural Resources; Coral Reefs; Endangered Species; Feeding Behavior; Food Chain; Models, Biological; Perciformes; Polynesia",2014-10,2014,28,5,1312-1321,"All OA; Green, Accepted & Submitted",Article,"MCCAULEY, DOUGLAS J.; YOUNG, HILLARY S.; GUEVARA, ROGER; WILLIAMS, GARETH J.; POWER, ELEANOR A.; DUNBAR, ROBERT B.; BIRD, DOUGLAS W.; DURHAM, WILLIAM H.; MICHELI, FIORENZA",,"MCCAULEY, DOUGLAS J. (University of California, Santa Barbara); YOUNG, HILLARY S. (University of California, Santa Barbara); GUEVARA, ROGER (); WILLIAMS, GARETH J. (Scripps Institution of Oceanography); POWER, ELEANOR A. (Stanford University); DUNBAR, ROBERT B. (Stanford University); BIRD, DOUGLAS W. (Stanford University); DURHAM, WILLIAM H. (Stanford University); MICHELI, FIORENZA (Stanford University)",16,4,0.46,3.16,https://escholarship.org/content/qt3z36t1jp/qt3z36t1jp.pdf?t=ozrywd,https://app.dimensions.ai/details/publication/pub.1009755675,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
46,100,pub.1037528561,10.1007/s00227-014-2478-7,,,Reliance of mobile species on sensitive habitats: a case study of manta rays (Manta alfredi) and lagoons,Marine Biology,,,2014-09,2014,161,9,1987-1998,"All OA; Green, Accepted & Submitted",Article,"McCauley, Douglas J.; DeSalles, Paul A.; Young, Hillary S.; Papastamatiou, Yannis P.; Caselle, Jennifer E.; Deakos, Mark H.; Gardner, Jonathan P. A.; Garton, David W.; Collen, John D.; Micheli, Fiorenza","McCauley, Douglas J.","McCauley, Douglas J. (University of California, Santa Barbara); DeSalles, Paul A. (Stanford University); Young, Hillary S. (University of California, Santa Barbara); Papastamatiou, Yannis P. (University of St Andrews); Caselle, Jennifer E. (University of California, Santa Barbara); Deakos, Mark H. (); Gardner, Jonathan P. A. (Victoria University of Wellington); Garton, David W. (Georgia Institute of Technology); Collen, John D. (Victoria University of Wellington); Micheli, Fiorenza (Stanford University)",17,7,,3.14,https://escholarship.org/content/qt2b70j073/qt2b70j073.pdf?t=ozryqq,https://app.dimensions.ai/details/publication/pub.1037528561,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
47,200,pub.1010691403,10.1126/science.1256734,25061187,,Wildlife decline and social conflict,Science,,Conflict (Psychology); Conservation of Natural Resources; Crime; Employment; Enslavement; Human Trafficking; Humans; Security Measures,2014-07-25,2014,345,6195,376-378,"All OA; Green, Accepted & Submitted",Article,"Brashares, Justin S.; Abrahms, Briana; Fiorella, Kathryn J.; Golden, Christopher D.; Hojnowski, Cheryl E.; Marsh, Ryan A.; McCauley, Douglas J.; Nuñez, Tristan A.; Seto, Katherine; Withey, Lauren",,"Brashares, Justin S. (University of California, Berkeley); Abrahms, Briana (University of California, Berkeley); Fiorella, Kathryn J. (University of California, Berkeley); Golden, Christopher D. (Wildlife Conservation Society); Hojnowski, Cheryl E. (University of California, Berkeley); Marsh, Ryan A. (University of California, Berkeley); McCauley, Douglas J. (University of California, Santa Barbara); Nuñez, Tristan A. (University of California, Berkeley); Seto, Katherine (University of California, Berkeley); Withey, Lauren (University of California, Berkeley)",50,18,0.67,,https://cloudfront.escholarship.org/dist/prd/content/qt5cw3p58h/qt5cw3p58h.pdf?t=ohrxsq,https://app.dimensions.ai/details/publication/pub.1010691403,,,,,,
48,400,pub.1015923903,10.1111/biom.12139,24571609,PMC4108159,Assessing the significance of global and local correlations under spatial autocorrelation: A nonparametric approach,Biometrics,,"Algorithms; Biodiversity; Biometry; Computer Simulation; Ecosystem; Geographic Mapping; Models, Statistical; Monte Carlo Method; Normal Distribution; Sample Size; Statistics, Nonparametric",2014-06,2014,70,2,409-418,"All OA; Green, Accepted & Submitted",Article,"Viladomat, Júlia; Mazumder, Rahul; McInturff, Alex; McCauley, Douglas J.; Hastie, Trevor",,"Viladomat, Júlia (Stanford University); Mazumder, Rahul (Columbia University); McInturff, Alex (Stanford University); McCauley, Douglas J. (University of California, Santa Barbara); Hastie, Trevor (Stanford University)",9,2,0.32,5.09,http://europepmc.org/articles/pmc4108159?pdf=render,https://app.dimensions.ai/details/publication/pub.1015923903,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
49,400,pub.1032136830,10.1073/pnas.1404958111,24778215,PMC4024866,Declines in large wildlife increase landscape-level prevalence of rodent-borne disease in Africa,Proceedings of the National Academy of Sciences,,"Africa, Eastern; Animals; Animals, Wild; Bartonella Infections; Biodiversity; Ecosystem; Flea Infestations; Humans; Kenya; Lice Infestations; Prevalence; Risk Factors; Rodent Diseases; Rodentia; Xenopsylla; Zoonoses",2014-05-13,2014,111,19,7036-7041,All OA; Gold,Article,"Young, Hillary S.; Dirzo, Rodolfo; Helgen, Kristofer M.; McCauley, Douglas J.; Billeter, Sarah A.; Kosoy, Michael Y.; Osikowicz, Lynn M.; Salkeld, Daniel J.; Young, Truman P.; Dittmar, Katharina",,"Young, Hillary S. (University of California, Santa Barbara; National Museum of Natural History); Dirzo, Rodolfo (); Helgen, Kristofer M. (National Museum of Natural History); McCauley, Douglas J. (University of California, Santa Barbara); Billeter, Sarah A. (National Center for Infectious Diseases); Kosoy, Michael Y. (National Center for Infectious Diseases); Osikowicz, Lynn M. (National Center for Infectious Diseases); Salkeld, Daniel J. (Stanford University); Young, Truman P. (University of California, Davis); Dittmar, Katharina (University at Buffalo, State University of New York)",53,15,2.65,9.79,http://www.pnas.org/content/111/19/7036.full.pdf,https://app.dimensions.ai/details/publication/pub.1032136830,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
50,100,pub.1053810675,10.1017/s026646741400008x,,,Differential plant damage due to litterfall in palm-dominated forest stands in a Central Pacific atoll,Journal of Tropical Ecology,,,2014-05,2014,30,3,231-236,"All OA; Green, Accepted & Submitted",Article,"Young, Hillary S.; McCauley, Douglas J.; Pollock, Amanda; Dirzo, Rodolfo",,"Young, Hillary S. (Stanford University; Smithsonian Institution); McCauley, Douglas J. (Stanford University); Pollock, Amanda (United States Fish and Wildlife Service); Dirzo, Rodolfo (Stanford University)",8,3,,1.31,https://escholarship.org/content/qt4px903xq/qt4px903xq.pdf?t=ozryyp,https://app.dimensions.ai/details/publication/pub.1053810675,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
51,200,pub.1050498112,10.1016/j.biocon.2014.02.030,,,Pushing back against paper-park pushers – Reply to Craigie et al.,Biological Conservation,,,2014-04,2014,172,,223-224,"All OA; Green, Published",Article,"McCauley, Douglas J.; Young, Hillary S.; Power, Eleanor A.; Bird, Douglas W.; Durham, William H.; McInturff, Alex; Dunbar, Robert B.; Micheli, Fiorenza; Young, Hillary S.","McCauley, Douglas J.","McCauley, Douglas J. (University of California, Santa Barbara); Young, Hillary S. (Smithsonian Institution); Power, Eleanor A. (Stanford University); Bird, Douglas W. (Stanford University); Durham, William H. (Stanford University); McInturff, Alex (University of California, Berkeley); Dunbar, Robert B. (Stanford University); Micheli, Fiorenza (Stanford University)",2,0,,,https://escholarship.org/content/qt4965q22n/qt4965q22n.pdf?t=ozrysy,https://app.dimensions.ai/details/publication/pub.1050498112,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
