,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is James S Langer. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,100,pub.1043644460,10.1016/0378-4371(95)00221-r,,,Model study of fracture propagation — solutions of steady-state propagation and their stability,Physica A Statistical Mechanics and its Applications,,,1995-11,1995,221,3-Jan,134-142,Closed,Article,"Ching, Emily S.C.; Langer, J.S.; Nakanishi, Hiizu",,"Ching, Emily S.C. (Chinese University of Hong Kong); Langer, J.S. (University of California, Santa Barbara); Nakanishi, Hiizu (Keio University)",4,0,,,,https://app.dimensions.ai/details/publication/pub.1043644460,01 Mathematical Sciences; 02 Physical Sciences; 0105 Mathematical Physics; 0206 Quantum Physics,01 Mathematical Sciences,02 Physical Sciences,0105 Mathematical Physics,0206 Quantum Physics,
49,300,pub.1060718532,10.1103/physreve.52.4414,9963914,,Dynamic stability of one-dimensional models of fracture,Physical Review E,,,1995-10,1995,52,4,4414-4420,Closed,Article,"Ching, Emily S. C.; Langer, J. S.; Nakanishi, Hiizu",,"Ching, Emily S. C. (Chinese University of Hong Kong); Langer, J. S. (University of California, Santa Barbara); Nakanishi, Hiizu (Keio University)",13,0,0.18,,,https://app.dimensions.ai/details/publication/pub.1060718532,0102 Applied Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,01 Mathematical Sciences,,,
50,100,pub.1060839327,10.1103/revmodphys.66.657,,,Dynamics of earthquake faults,Reviews of Modern Physics,,,1994-04,1994,66,2,657-670,"All OA; Green, Accepted & Submitted",Article,"Carlson, J. M.; Langer, J. S.; Shaw, B. E.",,"Carlson, J. M. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara); Shaw, B. E. (University of California, Santa Barbara)",247,17,,,https://academiccommons.columbia.edu/doi/10.7916/D8KW5S0P/download,https://app.dimensions.ai/details/publication/pub.1060839327,02 Physical Sciences,02 Physical Sciences,,,,
51,100,pub.1049674671,10.1016/0921-5093(94)90956-3,,,Dynamics of earthquakes and fracture,Materials Science and Engineering A,,,1994-03,1994,176,2-Jan,33-37,Closed,Article,"Langer, J.S.; Nakanishi, Hiizu",,"Langer, J.S. (University of California, Santa Barbara); Nakanishi, Hiizu (Keio University)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1049674671,0912 Materials Engineering; 09 Engineering; 0913 Mechanical Engineering,0912 Materials Engineering,09 Engineering,0913 Mechanical Engineering,,
52,100,pub.1039377528,10.1016/0378-4371(94)90425-1,,,Theory of adiabatic spinodal decomposition in pressure-quenched binary fluids,Physica A Statistical Mechanics and its Applications,,,1994-03,1994,204,4-Jan,202-211,Closed,Article,"Donley, James P.; Langer, J.S.",,"Donley, James P. (University of California, Santa Barbara); Langer, J.S. (University of California, Santa Barbara)",6,0,,,,https://app.dimensions.ai/details/publication/pub.1039377528,01 Mathematical Sciences; 02 Physical Sciences; 0105 Mathematical Physics; 0206 Quantum Physics,01 Mathematical Sciences,02 Physical Sciences,0105 Mathematical Physics,0206 Quantum Physics,
53,100,pub.1020713370,10.1016/0921-5093(94)90993-8,,,A simple model for crack propagation,Materials Science and Engineering A,,,1994-03,1994,176,2-Jan,317-320,Closed,Article,"Nakanishi, Hiizu; Langer, J.S.",,"Nakanishi, Hiizu (Keio University); Langer, J.S. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1020713370,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
54,300,pub.1060807502,10.1103/physrevlett.71.1573,10054442,,Adiabatic spinodal decomposition in critical binary fluids,Physical Review Letters,,,1993-09,1993,71,10,1573-1576,Closed,Article,"Donley, James P.; Langer, J. S.",,"Donley, James P. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",5,1,0.1,,,https://app.dimensions.ai/details/publication/pub.1060807502,02 Physical Sciences,02 Physical Sciences,,,,
55,300,pub.1060715939,10.1103/physreve.48.439,9960606,,Models of crack propagation. II. Two-dimensional model with dissipation on the fracture surface,Physical Review E,,,1993-07,1993,48,1,439-448,Closed,Article,"Langer, J. S.; Nakanishi, Hiizu",,"Langer, J. S. (University of California, Santa Barbara); Nakanishi, Hiizu (Keio University)",51,1,0.9,,,https://app.dimensions.ai/details/publication/pub.1060715939,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
56,300,pub.1060807035,10.1103/physrevlett.70.3592,10053913,,Dynamic model of onset and propagation of fracture,Physical Review Letters,,,1993-06,1993,70,23,3592-3594,Closed,Article,"Langer, J. S.",,"Langer, J. S. (University of California, Santa Barbara)",51,0,1.05,,,https://app.dimensions.ai/details/publication/pub.1060807035,02 Physical Sciences,02 Physical Sciences,,,,
57,300,pub.1060701249,10.1103/physrevd.47.4303,10015429,,Baryon number diffusion and shape instabilities in the quark-hadron phase transition for heavy-ion collisions and cosmology,Physical Review D,,,1993-05,1993,47,10,4303-4308,Closed,Article,"Adams, Fred C.; Freese, Katherine; Langer, J. S.",,"Adams, Fred C. (); Freese, Katherine (); Langer, J. S. ()",5,0,0.2,,,https://app.dimensions.ai/details/publication/pub.1060701249,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
58,300,pub.1060715164,10.1103/physreve.47.2702,9960302,,Prediction of dendritic spacings in a directional-solidification experiment,Physical Review E,,,1993-04,1993,47,4,2702-2712,Closed,Article,"Warren, James A.; Langer, J. S.",,"Warren, James A. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",185,15,1.57,,,https://app.dimensions.ai/details/publication/pub.1060715164,09 Engineering; 02 Physical Sciences; 01 Mathematical Sciences,09 Engineering,02 Physical Sciences,01 Mathematical Sciences,,
59,300,pub.1060486084,10.1103/physreva.46.3123,9908481,,Models of crack propagation,Physical Review A,,,1992-09,1992,46,6,3123-3131,Closed,Article,"Langer, J. S.",,"Langer, J. S. (University of California, Santa Barbara)",52,1,1.2,,,https://app.dimensions.ai/details/publication/pub.1060486084,01 Mathematical Sciences; 02 Physical Sciences; 03 Chemical Sciences,01 Mathematical Sciences,02 Physical Sciences,03 Chemical Sciences,,
60,300,pub.1060802959,10.1103/physrevlett.67.1043,10045055,,Rupture propagation in a model of an earthquake fault,Physical Review Letters,,,1991-08,1991,67,8,1043-1046,Closed,Article,"Langer, J. S.; Tang, C.",,"Langer, J. S. (University of California, Santa Barbara); Tang, C. (University of California, Santa Barbara)",55,0,1.08,,,https://app.dimensions.ai/details/publication/pub.1060802959,02 Physical Sciences,02 Physical Sciences,,,,
61,300,pub.1060484555,10.1103/physreva.44.884,9906036,,Intrinsic properties of a Burridge-Knopoff model of an earthquake fault,Physical Review A,,,1991-07,1991,44,2,884-897,"All OA; Green, Accepted & Submitted",Article,"Carlson, J. M.; Langer, J. S.; Shaw, B. E.; Tang, C.",,"Carlson, J. M. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara); Shaw, B. E. (University of California, Santa Barbara); Tang, C. (University of California, Santa Barbara)",157,3,2.09,,https://academiccommons.columbia.edu/doi/10.7916/D8QC1KD4/download,https://app.dimensions.ai/details/publication/pub.1060484555,01 Mathematical Sciences; 02 Physical Sciences; 03 Chemical Sciences,01 Mathematical Sciences,02 Physical Sciences,03 Chemical Sciences,,
62,300,pub.1060482084,10.1103/physreva.42.3518,9904435,,Stability of dendritic arrays,Physical Review A,,,1990-09,1990,42,6,3518-3525,Closed,Article,"Warren, James A.; Langer, J. S.",,"Warren, James A. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",85,9,0.91,,,https://app.dimensions.ai/details/publication/pub.1060482084,01 Mathematical Sciences; 02 Physical Sciences; 03 Chemical Sciences,01 Mathematical Sciences,02 Physical Sciences,03 Chemical Sciences,,
63,300,pub.1060480625,10.1103/physreva.40.6470,9902044,,Mechanical model of an earthquake fault,Physical Review A,,,1989-12,1989,40,11,6470-6484,Closed,Article,"Carlson, J. M.; Langer, J. S.",,"Carlson, J. M. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",519,17,4,,,https://app.dimensions.ai/details/publication/pub.1060480625,01 Mathematical Sciences; 02 Physical Sciences; 03 Chemical Sciences,01 Mathematical Sciences,02 Physical Sciences,03 Chemical Sciences,,
64,300,pub.1060480793,10.1103/physreva.40.995,9902225,,Droplet model for autocorrelation functions in an Ising ferromagnet,Physical Review A,,,1989-07,1989,40,2,995-1003,Closed,Article,"Tang, Chao; Nakanishi, Hiizu; Langer, J. S.",,"Tang, Chao (University of California, Santa Barbara); Nakanishi, Hiizu (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",25,1,1.09,,,https://app.dimensions.ai/details/publication/pub.1060480793,01 Mathematical Sciences; 02 Physical Sciences; 03 Chemical Sciences,01 Mathematical Sciences,02 Physical Sciences,03 Chemical Sciences,,
65,300,pub.1060480207,10.1103/physreva.40.366,9901903,,Steady-state propagation of a crack in a viscoelastic strip,Physical Review A,,,1989-07,1989,40,1,366-376,Closed,Article,"Barber, M.; Donley, J.; Langer, J. S.",,"Barber, M. (University of California, Santa Barbara); Donley, J. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",49,1,1.76,,,https://app.dimensions.ai/details/publication/pub.1060480207,01 Mathematical Sciences; 0101 Pure Mathematics,01 Mathematical Sciences,0101 Pure Mathematics,,,
66,300,pub.1060798866,10.1103/physrevlett.62.2632,10040041,,Properties of earthquakes generated by fault dynamics,Physical Review Letters,,,1989-05,1989,62,22,2632-2635,Closed,Article,"Carlson, J. M.; Langer, J. S.",,"Carlson, J. M. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",513,21,7.91,,,https://app.dimensions.ai/details/publication/pub.1060798866,02 Physical Sciences,02 Physical Sciences,,,,
67,300,pub.1060479242,10.1103/physreva.39.5314,9901096,,Predictions of dendritic growth rates in the linearized solvability theory,Physical Review A,,,1989-05,1989,39,10,5314-5325,Closed,Article,"Barbieri, A.; Langer, J. S.",,"Barbieri, A. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",154,14,3.23,,,https://app.dimensions.ai/details/publication/pub.1060479242,01 Mathematical Sciences; 02 Physical Sciences; 03 Chemical Sciences,01 Mathematical Sciences,02 Physical Sciences,03 Chemical Sciences,,
68,100,pub.1031322935,10.1016/b978-0-08-092523-3.50034-4,,,Existence of needle crystals in local models of solidification,,Dynamics of Curved Fronts,,1988,1988,,,319-325,Closed,Chapter,"Langer, J.S.",,"Langer, J.S. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1031322935,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
69,300,pub.1060476576,10.1103/physreva.36.3350,9899254,,Dendritic sidebranching in the three-dimensional symmetric model in the presence of noise,Physical Review A,,,1987-10,1987,36,7,3350-3358,Closed,Article,"Langer, J. S.",,"Langer, J. S. (University of California, Santa Barbara)",122,4,2.71,,,https://app.dimensions.ai/details/publication/pub.1060476576,01 Mathematical Sciences; 02 Physical Sciences; 03 Chemical Sciences,01 Mathematical Sciences,02 Physical Sciences,03 Chemical Sciences,,
70,300,pub.1060476575,10.1103/physreva.36.3340,9899253,,Dynamics of dendritic sidebranching in the two-dimensional symmetric model of solidification,Physical Review A,,,1987-10,1987,36,7,3340-3349,Closed,Article,"Barber, Michael N.; Barbieri, Angelo; Langer, J. S.",,"Barber, Michael N. (University of California, Santa Barbara); Barbieri, Angelo (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",101,3,3.64,,,https://app.dimensions.ai/details/publication/pub.1060476575,01 Mathematical Sciences; 02 Physical Sciences; 03 Chemical Sciences,01 Mathematical Sciences,02 Physical Sciences,03 Chemical Sciences,,
71,300,pub.1060476429,10.1103/physreva.36.2325,9899125,,Pattern selection and tip perturbations in the Saffman-Taylor problem,Physical Review A,,,1987-09,1987,36,5,2325-2332,Closed,Article,"Hong, D. C.; Langer, J. S.",,"Hong, D. C. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",47,1,2.37,,,https://app.dimensions.ai/details/publication/pub.1060476429,01 Mathematical Sciences; 02 Physical Sciences; 03 Chemical Sciences,01 Mathematical Sciences,02 Physical Sciences,03 Chemical Sciences,,
72,300,pub.1060475631,10.1103/physreva.35.1802,9898344,,Velocity selection in the symmetric model of dendritic crystal growth,Physical Review A,,,1987-02,1987,35,4,1802-1808,Closed,Article,"Barbieri, Angelo; Hong, Daniel C.; Langer, J. S.",,"Barbieri, Angelo (University of California, Santa Barbara); Hong, Daniel C. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",97,5,3.6,,,https://app.dimensions.ai/details/publication/pub.1060475631,01 Mathematical Sciences; 02 Physical Sciences; 03 Chemical Sciences,01 Mathematical Sciences,02 Physical Sciences,03 Chemical Sciences,,
73,300,pub.1060474858,10.1103/physreva.34.1462,9897405,,Solvability conditions for dendritic growth in the boundary-layer model with capillary anisotropy,Physical Review A,,,1986-08,1986,34,2,1462-1471,Closed,Article,"Langer, J. S.; Hong, Daniel C.",,"Langer, J. S. (University of California, Santa Barbara); Hong, Daniel C. (University of California, Santa Barbara)",47,8,1.83,,,https://app.dimensions.ai/details/publication/pub.1060474858,01 Mathematical Sciences; 02 Physical Sciences; 03 Chemical Sciences,01 Mathematical Sciences,02 Physical Sciences,03 Chemical Sciences,,
74,200,pub.1088771534,10.1142/9789814415309_0005,,,MODELS OF PATTERN FORMATION IN FIRST-ORDER PHASE TRANSITIONS,Series on Directions in Condensed Matter Physics,Directions in Condensed Matter Physics,,1986-08,1986,1,,165-186,Closed,Chapter,"Langer, J. S.",,"Langer, J. S. (University of California, Santa Barbara)",135,17,,,,https://app.dimensions.ai/details/publication/pub.1088771534,,,,,,
75,300,pub.1060793133,10.1103/physrevlett.56.2032,10032840,,Analytic Theory of the Selection Mechanism in the Saffman-Taylor Problem,Physical Review Letters,,,1986-05,1986,56,19,2032-2035,Closed,Article,"Hong, D. C.; Langer, J. S.",,"Hong, D. C. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",185,2,5.93,,,https://app.dimensions.ai/details/publication/pub.1060793133,02 Physical Sciences,02 Physical Sciences,,,,
76,300,pub.1060793109,10.1103/physrevlett.56.1948,10032818,,Noise-Driven Sidebranching in the Boundary-Layer Model of Dendritic Solidification,Physical Review Letters,,,1986-05,1986,56,18,1948-1951,Closed,Article,"Pieters, Roger; Langer, J. S.",,"Pieters, Roger (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",133,2,4.37,,,https://app.dimensions.ai/details/publication/pub.1060793109,02 Physical Sciences,02 Physical Sciences,,,,
77,300,pub.1060474689,10.1103/physreva.33.442,9896629,,Solvability condition for needle crystals at large undercooling in a nonlocal model of solidification,Physical Review A,,,1986-01,1986,33,1,442-452,Closed,Article,"Caroli, B.; Caroli, C.; Roulet, B.; Langer, J. S.",,"Caroli, B. (Paris Diderot University); Caroli, C. (Paris Diderot University); Roulet, B. (Paris Diderot University); Langer, J. S. (University of California, Santa Barbara)",101,5,4.32,,,https://app.dimensions.ai/details/publication/pub.1060474689,01 Mathematical Sciences; 02 Physical Sciences; 03 Chemical Sciences,01 Mathematical Sciences,02 Physical Sciences,03 Chemical Sciences,,
78,300,pub.1060474669,10.1103/physreva.33.435,9896628,,Existence of needle crystals in local models of solidification,Physical Review A,,,1986-01,1986,33,1,435-441,Closed,Article,"Langer, J. S.",,"Langer, J. S. (University of California, Santa Barbara)",101,2,3.62,,,https://app.dimensions.ai/details/publication/pub.1060474669,01 Mathematical Sciences; 02 Physical Sciences; 03 Chemical Sciences,01 Mathematical Sciences,02 Physical Sciences,03 Chemical Sciences,,
79,100,pub.1019188248,10.1016/0167-2789(85)90094-6,,,Pattern propagation in nonlinear dissipative systems,Physica D Nonlinear Phenomena,,,1985-03,1985,14,3,348-364,Closed,Article,"Ben-Jacob, E.; Brand, H.; Dee, G.; Kramer, L.; Langer, J.S.",,"Ben-Jacob, E. (University of California, Santa Barbara); Brand, H. (University of California, Santa Barbara); Dee, G. (University of California, Santa Barbara); Kramer, L. (University of California, Santa Barbara); Langer, J.S. (University of California, Santa Barbara)",159,4,,,,https://app.dimensions.ai/details/publication/pub.1019188248,01 Mathematical Sciences; 0101 Pure Mathematics,01 Mathematical Sciences,0101 Pure Mathematics,,,
80,100,pub.1060790708,10.1103/physrevlett.53.2110,,,Pattern Selection in Dendritic Solidification,Physical Review Letters,,,1984-11,1984,53,22,2110-2113,Closed,Article,"Ben-Jacob, E.; Goldenfeld, Nigel; Kotliar, B. G.; Langer, J. S.",,"Ben-Jacob, E. (University of California, Santa Barbara); Goldenfeld, Nigel (University of California, Santa Barbara); Kotliar, B. G. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",165,4,,,,https://app.dimensions.ai/details/publication/pub.1060790708,02 Physical Sciences,02 Physical Sciences,,,,
81,100,pub.1012834070,10.1016/0167-2789(84)90528-1,,,String models of interfacial pattern formation,Physica D Nonlinear Phenomena,,,1984-07,1984,12,3-Jan,245-252,Closed,Article,"Ben-Jacob, Eshel; Goldenfeld, Nigel; Langer, J.S.; Schön, Gerd",,"Ben-Jacob, Eshel (University of California, Santa Barbara); Goldenfeld, Nigel (University of California, Santa Barbara); Langer, J.S. (University of California, Santa Barbara); Schön, Gerd (University of California, Santa Barbara)",5,0,,,,https://app.dimensions.ai/details/publication/pub.1012834070,01 Mathematical Sciences; 0101 Pure Mathematics,01 Mathematical Sciences,0101 Pure Mathematics,,,
82,100,pub.1060472074,10.1103/physreva.29.330,,,Boundary-layer model of pattern formation in solidification,Physical Review A,,,1984-01,1984,29,1,330-340,Closed,Article,"Ben-Jacob, E.; Goldenfeld, Nigel; Langer, J. S.; Schön, Gerd",,"Ben-Jacob, E. (University of California, Santa Barbara); Goldenfeld, Nigel (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara); Schön, Gerd (University of California, Santa Barbara)",168,7,,,,https://app.dimensions.ai/details/publication/pub.1060472074,01 Mathematical Sciences; 02 Physical Sciences; 03 Chemical Sciences,01 Mathematical Sciences,02 Physical Sciences,03 Chemical Sciences,,
83,100,pub.1060789252,10.1103/physrevlett.51.1930,,,Dynamics of Interfacial Pattern Formation,Physical Review Letters,,,1983-11,1983,51,21,1930-1932,Closed,Article,"Ben-Jacob, E.; Goldenfeld, Nigel; Langer, J. S.; Schön, Gerd",,"Ben-Jacob, E. (University of California, Santa Barbara); Goldenfeld, Nigel (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara); Schön, Gerd (University of California, Santa Barbara)",174,4,,,,https://app.dimensions.ai/details/publication/pub.1060789252,02 Physical Sciences,02 Physical Sciences,,,,
84,100,pub.1060788732,10.1103/physrevlett.50.383,,,Propagating Pattern Selection,Physical Review Letters,,,1983-02,1983,50,6,383-386,Closed,Article,"Dee, G.; Langer, J. S.",,"Dee, G. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",305,5,,,,https://app.dimensions.ai/details/publication/pub.1060788732,02 Physical Sciences,02 Physical Sciences,,,,
