,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Jennifer E Caselle. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,500,pub.1083852593,10.1038/srep43131,28220895,PMC5318939,Resetting predator baselines in coral reef ecosystems,Scientific Reports,,Animals; Coral Reefs; Ecosystem; Population Density; Sharks,2017-03,2017,7,1,43131,All OA; Gold,Article,"Bradley, Darcy; Conklin, Eric; Papastamatiou, Yannis P.; McCauley, Douglas J.; Pollock, Kydd; Pollock, Amanda; Kendall, Bruce E.; Gaines, Steven D.; Caselle, Jennifer E.","Bradley, Darcy","Bradley, Darcy (University of California, Santa Barbara); Conklin, Eric (The Nature Conservancy); Papastamatiou, Yannis P. (Florida International University); McCauley, Douglas J. (University of California, Santa Barbara); Pollock, Kydd (The Nature Conservancy); Pollock, Amanda (United States Fish and Wildlife Service); Kendall, Bruce E. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara)",24,20,2.01,8.88,https://www.nature.com/articles/srep43131.pdf,https://app.dimensions.ai/details/publication/pub.1083852593,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
29,500,pub.1083844438,10.1371/journal.pone.0172370,28207874,PMC5313192,Growth and life history variability of the grey reef shark (Carcharhinus amblyrhynchos) across its range,PLoS ONE,,Animals; Conservation of Natural Resources; Ecosystem; Female; Life Cycle Stages; Male; Population Density; Sharks,2/16/17,2017,12,2,e0172370,All OA; Gold,Article,"Bradley, Darcy; Conklin, Eric; Papastamatiou, Yannis P.; McCauley, Douglas J.; Pollock, Kydd; Kendall, Bruce E.; Gaines, Steven D.; Caselle, Jennifer E.",,"Bradley, Darcy (University of California, Santa Barbara); Conklin, Eric (The Nature Conservancy); Papastamatiou, Yannis P. (Florida International University); McCauley, Douglas J. (University of California, Santa Barbara); Pollock, Kydd (The Nature Conservancy); Kendall, Bruce E. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara)",8,8,1.66,3.16,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0172370&type=printable,https://app.dimensions.ai/details/publication/pub.1083844438,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
30,400,pub.1034409519,10.1073/pnas.1606102113,27849580,PMC5137772,Global patterns of kelp forest change over the past half-century,Proceedings of the National Academy of Sciences,,Arctic Regions; Climate Change; Ecosystem; Forests; Kelp; Oceans and Seas,11/29/16,2016,113,48,13785-13790,All OA; Gold,Article,"Krumhansl, Kira A.; Okamoto, Daniel K.; Rassweiler, Andrew; Novak, Mark; Bolton, John J.; Cavanaugh, Kyle C.; Connell, Sean D.; Johnson, Craig R.; Konar, Brenda; Ling, Scott D.; Micheli, Fiorenza; Norderhaug, Kjell M.; Pérez-Matus, Alejandro; Sousa-Pinto, Isabel; Reed, Daniel C.; Salomon, Anne K.; Shears, Nick T.; Wernberg, Thomas; Anderson, Robert J.; Barrett, Nevell S.; Buschmann, Alejandro H.; Carr, Mark H.; Caselle, Jennifer E.; Derrien-Courtel, Sandrine; Edgar, Graham J.; Edwards, Matt; Estes, James A.; Goodwin, Claire; Kenner, Michael C.; Kushner, David J.; Moy, Frithjof E.; Nunn, Julia; Steneck, Robert S.; Vásquez, Julio; Watson, Jane; Witman, Jon D.; Byrnes, Jarrett E. K.",,"Krumhansl, Kira A. (Simon Fraser University); Okamoto, Daniel K. (Simon Fraser University); Rassweiler, Andrew (Florida State University); Novak, Mark (Oregon State University); Bolton, John J. (University of Cape Town); Cavanaugh, Kyle C. (University of California Los Angeles); Connell, Sean D. (University of Adelaide); Johnson, Craig R. (University of Tasmania); Konar, Brenda (University of Alaska System); Ling, Scott D. (University of Tasmania); Micheli, Fiorenza (Stanford University); Norderhaug, Kjell M. (Norwegian Institute for Water Research); Pérez-Matus, Alejandro (Pontifical Catholic University of Chile); Sousa-Pinto, Isabel (University of Porto); Reed, Daniel C. (University of California, Santa Barbara); Salomon, Anne K. (Simon Fraser University); Shears, Nick T. (University of Auckland); Wernberg, Thomas (University of Western Australia); Anderson, Robert J. (University of Cape Town; Department of Agriculture, Forestry and Fisheries); Barrett, Nevell S. (University of Tasmania); Buschmann, Alejandro H. (University of Los Lagos); Carr, Mark H. (University of California, Santa Cruz); Caselle, Jennifer E. (University of California, Santa Barbara); Derrien-Courtel, Sandrine (National Museum of Natural History); Edgar, Graham J. (University of Tasmania); Edwards, Matt (San Diego State University); Estes, James A. (University of California, Santa Cruz); Goodwin, Claire (National Museums Northern Ireland); Kenner, Michael C. (University of California, Santa Cruz); Kushner, David J. (); Moy, Frithjof E. (Norwegian Institute of Marine Research); Nunn, Julia (National Museums Northern Ireland); Steneck, Robert S. (University of Maine); Vásquez, Julio (Catholic University of the North); Watson, Jane (Vancouver Island University); Witman, Jon D. (Brown University); Byrnes, Jarrett E. K. ()",126,117,5.44,35.44,https://www.pnas.org/content/pnas/113/48/13785.full.pdf,https://app.dimensions.ai/details/publication/pub.1034409519,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
31,400,pub.1050525022,10.1371/journal.pone.0165648,27824889,PMC5100946,Ocean Productivity May Predict Recruitment of the Rainbow Wrasse (Coris julis),PLoS ONE,,Animals; Atlantic Ocean; Chlorophyll; Perciformes; Plankton; Population; Seawater; Temperature,11/8/16,2016,11,11,e0165648,All OA; Gold,Article,"Fontes, Jorge; Semmens, Brice; Caselle, Jennifer E.; Santos, Ricardo S.; Prakya, Shree R.",,"Fontes, Jorge (University of the Azores); Semmens, Brice (Scripps Institution of Oceanography); Caselle, Jennifer E. (University of California, Santa Barbara); Santos, Ricardo S. (University of the Azores); Prakya, Shree R. (University of the Azores)",4,3,0.33,1.01,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0165648&type=printable,https://app.dimensions.ai/details/publication/pub.1050525022,0602 Ecology; 0405 Oceanography; 0704 Fisheries Sciences; 04 Earth Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0405 Oceanography,0704 Fisheries Sciences,04 Earth Sciences,06 Biological Sciences
32,400,pub.1021430384,10.1371/journal.pone.0145059,26734732,PMC4703205,"Marine Biodiversity in Juan Fernández and Desventuradas Islands, Chile: Global Endemism Hotspots",PLoS ONE,,Analysis of Variance; Animals; Biodiversity; Biomass; Chile; Fishes; Invertebrates; Islands; Species Specificity,1/6/16,2016,11,1,e0145059,All OA; Gold,Article,"Friedlander, Alan M.; Ballesteros, Enric; Caselle, Jennifer E.; Gaymer, Carlos F.; Palma, Alvaro T.; Petit, Ignacio; Varas, Eduardo; Wilson, Alex Muñoz; Sala, Enric",,"Friedlander, Alan M. (National Geographic Society; University of Hawaii at Manoa); Ballesteros, Enric (Centro de Estudios Avanzados de Blane); Caselle, Jennifer E. (University of California, Santa Barbara); Gaymer, Carlos F. (Catholic University of the North); Palma, Alvaro T. (); Petit, Ignacio (Catholic University of the North); Varas, Eduardo (); Wilson, Alex Muñoz (); Sala, Enric (National Geographic Society)",11,8,0.35,3.09,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0145059&type=printable,https://app.dimensions.ai/details/publication/pub.1021430384,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
33,100,pub.1050299444,10.1016/j.fishres.2015.07.020,,,"Assessment of catches, landings and fishing effort as useful tools for MPA management",Fisheries Research,,,2015-12,2015,172,Fish. Res. 147 2013,197-208,Closed,Article,"Batista, M.I.; Costa, B. Horta e; Gonçalves, L.; Henriques, M.; Erzini, K.; Caselle, J.E.; Gonçalves, E.J.; Cabral, H.N.","Batista, M.I.","Batista, M.I. (University of Lisbon); Costa, B. Horta e (University of Algarve); Gonçalves, L. (); Henriques, M. (); Erzini, K. (University of Algarve); Caselle, J.E. (University of California, Santa Barbara); Gonçalves, E.J. (); Cabral, H.N. (University of Lisbon)",4,2,,0.9,,https://app.dimensions.ai/details/publication/pub.1050299444,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
34,400,pub.1035519027,10.1038/srep14102,26373803,PMC4642697,Recovery trajectories of kelp forest animals are rapid yet spatially variable across a network of temperate marine protected areas,Scientific Reports,,"Animals; Aquatic Organisms; Biomass; California; Conservation of Natural Resources; Ecosystem; Fishes; Kelp; Models, Theoretical; Oceans and Seas",2015-11,2015,5,1,14102,All OA; Gold,Article,"Caselle, Jennifer E.; Rassweiler, Andrew; Hamilton, Scott L.; Warner, Robert R.",,"Caselle, Jennifer E. (University of California, Santa Barbara); Rassweiler, Andrew (University of California, Santa Barbara); Hamilton, Scott L. (California State University Los Angeles); Warner, Robert R. (University of California, Santa Barbara)",31,17,0.98,5.93,https://www.nature.com/articles/srep14102.pdf,https://app.dimensions.ai/details/publication/pub.1035519027,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
35,200,pub.1071269126,10.3391/bir.2015.4.4.02,,,"Range expansion of a non-native, invasive macroalga Sargassum horneri (Turner) C. Agardh, 1820 in the eastern Pacific",BioInvasions Records,,,2015-11,2015,4,4,243-248,All OA; Gold,Article,"Marks, Lindsay; Salinas-Ruiz, Paulina; Reed, Daniel; Holbrook, Sally; Culver, Carolynn; Engle, John; Kushner, David; Caselle, Jennifer; Freiwald, Jan; Williams, Jonathan; Smith, Jayson; Aguilar-Rosas, Luis; Kaplanis, Nikolas",,"Marks, Lindsay (); Salinas-Ruiz, Paulina (); Reed, Daniel (); Holbrook, Sally (); Culver, Carolynn (); Engle, John (); Kushner, David (); Caselle, Jennifer (); Freiwald, Jan (); Williams, Jonathan (); Smith, Jayson (); Aguilar-Rosas, Luis (); Kaplanis, Nikolas ()",18,14,,,https://doi.org/10.3391/bir.2015.4.4.02,https://app.dimensions.ai/details/publication/pub.1071269126,,,,,,
36,400,pub.1023284420,10.1371/journal.pone.0127807,26061229,PMC4489509,"Drivers of Daily Routines in an Ectothermic Marine Predator: Hunt Warm, Rest Warmer?",PLoS ONE,,Animals; Circadian Rhythm; Digestion; Ecosystem; Female; Predatory Behavior; Rest; Sharks; Temperature,6/10/15,2015,10,6,e0127807,All OA; Gold,Article,"Papastamatiou, Yannis P.; Watanabe, Yuuki Y.; Bradley, Darcy; Dee, Laura E.; Weng, Kevin; Lowe, Christopher G.; Caselle, Jennifer E.",,"Papastamatiou, Yannis P. (University of St Andrews); Watanabe, Yuuki Y. (National Institute of Polar Research; Graduate University For Advanced Studies); Bradley, Darcy (University of California, Santa Barbara); Dee, Laura E. (University of California, Santa Barbara); Weng, Kevin (William & Mary); Lowe, Christopher G. (California State University, Long Beach); Caselle, Jennifer E. (University of California, Santa Barbara)",33,19,0.47,6.31,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0127807&type=printable,https://app.dimensions.ai/details/publication/pub.1023284420,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
37,400,pub.1033439863,10.1073/pnas.1500316112,25902489,PMC4434765,Comparative analyses of animal-tracking data reveal ecological significance of endothermy in fishes,Proceedings of the National Academy of Sciences,,"Adaptation, Physiological; Animal Migration; Animals; Biological Evolution; Body Temperature; Body Weight; Environment; Fishes; Phylogeny; Seasons; Sharks; Swimming; Thermogenesis",5/12/15,2015,112,19,6104-6109,All OA; Gold,Article,"Watanabe, Yuuki Y.; Goldman, Kenneth J.; Caselle, Jennifer E.; Chapman, Demian D.; Papastamatiou, Yannis P.",,"Watanabe, Yuuki Y. (National Institute of Polar Research; Graduate University For Advanced Studies); Goldman, Kenneth J. (Alaska Department of Fish and Game); Caselle, Jennifer E. (University of California, Santa Barbara); Chapman, Demian D. (Stony Brook University); Papastamatiou, Yannis P. (University of St Andrews)",44,27,2.75,8.41,http://www.pnas.org/content/112/19/6104.full.pdf,https://app.dimensions.ai/details/publication/pub.1033439863,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
38,200,pub.1071164168,10.3354/esr00663,,,Umbrella species in marine systems: using the endangered humphead wrasse to conserve coral reefs,Endangered Species Research,,,4/29/15,2015,27,3,251-263,All OA; Gold,Article,"Weng, KC; Pedersen, MW; Del Raye, GA; Caselle, JE; Gray, AE",,"Weng, KC (); Pedersen, MW (); Del Raye, GA (); Caselle, JE (); Gray, AE ()",5,2,,,https://www.int-res.com/articles/esr2015/27/n027p251.pdf,https://app.dimensions.ai/details/publication/pub.1071164168,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
39,400,pub.1009164827,10.1098/rspb.2014.1817,25500572,PMC4286036,Exploitation and recovery of a sea urchin predator has implications for the resilience of southern California kelp forests,Proceedings of The Royal Society B Biological Sciences,,Animals; California; Conservation of Natural Resources; Ecosystem; Fishes; Food Chain; Kelp; Population Density; Population Dynamics; Predatory Behavior; Sea Urchins,1/22/15,2015,282,1799,20141817,All OA; Gold,Article,"Hamilton, Scott L; Caselle, Jennifer E",,"Hamilton, Scott L (California State University Los Angeles); Caselle, Jennifer E (University of California, Santa Barbara)",18,12,1,3.93,http://rspb.royalsocietypublishing.org/content/282/1799/20141817.full.pdf,https://app.dimensions.ai/details/publication/pub.1009164827,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
40,400,pub.1038275359,10.1371/journal.pone.0109356,25343723,PMC4208745,An Online Database for Informing Ecological Network Models: http://kelpforest.ucsc.edu,PLoS ONE,,"Databases, Factual; Ecosystem; Humans; Internet; North America; Software; User-Computer Interface",10/24/14,2014,9,10,e109356,All OA; Gold,Article,"Beas-Luna, Rodrigo; Novak, Mark; Carr, Mark H.; Tinker, Martin T.; Black, August; Caselle, Jennifer E.; Hoban, Michael; Malone, Dan; Iles, Alison",,"Beas-Luna, Rodrigo (University of California, Santa Cruz); Novak, Mark (Oregon State University); Carr, Mark H. (University of California, Santa Cruz); Tinker, Martin T. (University of California, Santa Cruz; United States Geological Survey); Black, August (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara); Hoban, Michael (University of California, Santa Cruz); Malone, Dan (University of California, Santa Cruz); Iles, Alison (Oregon State University)",9,4,0.19,2.14,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0109356&type=printable,https://app.dimensions.ai/details/publication/pub.1038275359,08 Information and Computing Sciences; 0602 Ecology; 0806 Information Systems; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,08 Information and Computing Sciences,0602 Ecology,0806 Information Systems,06 Biological Sciences,05 Environmental Sciences
41,100,pub.1037528561,10.1007/s00227-014-2478-7,,,Reliance of mobile species on sensitive habitats: a case study of manta rays (Manta alfredi) and lagoons,Marine Biology,,,2014-09,2014,161,9,1987-1998,"All OA; Green, Accepted & Submitted",Article,"McCauley, Douglas J.; DeSalles, Paul A.; Young, Hillary S.; Papastamatiou, Yannis P.; Caselle, Jennifer E.; Deakos, Mark H.; Gardner, Jonathan P. A.; Garton, David W.; Collen, John D.; Micheli, Fiorenza","McCauley, Douglas J.","McCauley, Douglas J. (University of California, Santa Barbara); DeSalles, Paul A. (Stanford University); Young, Hillary S. (University of California, Santa Barbara); Papastamatiou, Yannis P. (University of St Andrews); Caselle, Jennifer E. (University of California, Santa Barbara); Deakos, Mark H. (); Gardner, Jonathan P. A. (Victoria University of Wellington); Garton, David W. (Georgia Institute of Technology); Collen, John D. (Victoria University of Wellington); Micheli, Fiorenza (Stanford University)",17,7,,3.08,https://escholarship.org/content/qt2b70j073/qt2b70j073.pdf?t=ozryqq,https://app.dimensions.ai/details/publication/pub.1037528561,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
42,400,pub.1033700460,10.1371/journal.pone.0102298,25084458,PMC4118840,Marine Protected Area Networks: Assessing Whether the Whole Is Greater than the Sum of Its Parts,PLoS ONE,,Conservation of Natural Resources; Ecosystem; Hawaii; Oceans and Seas,8/1/14,2014,9,8,e102298,All OA; Gold,Article,"Grorud-Colvert, Kirsten; Claudet, Joachim; Tissot, Brian N.; Caselle, Jennifer E.; Carr, Mark H.; Day, Jon C.; Friedlander, Alan M.; Lester, Sarah E.; de Loma, Thierry Lison; Malone, Daniel; Walsh, William J.",,"Grorud-Colvert, Kirsten (Oregon State University); Claudet, Joachim (French National Centre for Scientific Research); Tissot, Brian N. (); Caselle, Jennifer E. (University of California, Santa Barbara); Carr, Mark H. (University of California, Santa Cruz); Day, Jon C. (Great Barrier Reef Marine Park Authority); Friedlander, Alan M. (University of Hawaii at Manoa); Lester, Sarah E. (University of California, Santa Barbara); de Loma, Thierry Lison (Centre de Recherches Insulaires et Observatoire de l'Environnement); Malone, Daniel (University of California, Santa Cruz); Walsh, William J. ()",39,15,0.5,8.02,https://doi.org/10.1371/journal.pone.0102298,https://app.dimensions.ai/details/publication/pub.1033700460,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
43,200,pub.1071171637,10.3354/meps10802,,,"A dynamic oceanographic front drives biogeographical structure in invertebrate settlement along Santa Cruz Island, California, USA",Marine Ecology Progress Series,,,7/17/14,2014,507,,181-196,All OA; Gold,Article,"Gosnell, JS; Macfarlan, RJA; Shears, NT; Caselle, JE",,"Gosnell, JS (); Macfarlan, RJA (); Shears, NT (); Caselle, JE ()",5,2,,0.89,https://www.int-res.com/articles/meps_oa/m507p181.pdf,https://app.dimensions.ai/details/publication/pub.1071171637,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
44,400,pub.1042490443,10.1371/journal.pone.0100142,24963808,PMC4070931,The Real Bounty: Marine Biodiversity in the Pitcairn Islands,PLoS ONE,,Animals; Aquatic Organisms; Biodiversity; Coral Reefs; Food Chain; Pitcairn Island,6/25/14,2014,9,6,e100142,All OA; Gold,Article,"Friedlander, Alan M.; Caselle, Jennifer E.; Ballesteros, Enric; Brown, Eric K.; Turchik, Alan; Sala, Enric",,"Friedlander, Alan M. (National Geographic Society; University of Hawaii at Manoa); Caselle, Jennifer E. (University of California, Santa Barbara); Ballesteros, Enric (Centro de Estudios Avanzados de Blane); Brown, Eric K. (); Turchik, Alan (National Geographic Society); Sala, Enric (National Geographic Society; Centro de Estudios Avanzados de Blane)",34,17,0.41,6.61,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0100142&type=printable,https://app.dimensions.ai/details/publication/pub.1042490443,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
45,200,pub.1071171582,10.3354/meps10749,,,Tropicalization of fish assemblages in temperate biogeographic transition zones,Marine Ecology Progress Series,,,5/14/14,2014,504,,241-252,Closed,Article,"Horta e Costa, B; Assis, J; Franco, G; Erzini, K; Henriques, M; Gonçalves, EJ; Caselle, JE",,"Horta e Costa, B (); Assis, J (); Franco, G (); Erzini, K (); Henriques, M (); Gonçalves, EJ (); Caselle, JE ()",27,13,,4.82,,https://app.dimensions.ai/details/publication/pub.1071171582,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
46,400,pub.1050267113,10.1890/13-0014.1,24649656,,Dietary niche expansion of a kelp forest predator recovering from intense commercial exploitation,Ecology,,"Animals; Ecosystem; Fisheries; Fishes; Herbivory; Invertebrates; Kelp; Models, Biological; Population Dynamics; Principal Component Analysis; Time Factors",2014-01,2014,95,1,164-172,Closed,Article,"Hamilton, Scott L.; Newsome, Seth D.; Caselle, Jennifer E.",,"Hamilton, Scott L. (California State University Los Angeles; University of California, Santa Barbara); Newsome, Seth D. (University of New Mexico); Caselle, Jennifer E. (University of California, Santa Barbara)",13,6,0.55,2.35,,https://app.dimensions.ai/details/publication/pub.1050267113,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
47,400,pub.1018250462,10.1016/b978-0-12-800214-8.00006-2,25358301,,"Chapter Six Marine Protected Area Networks in California, USA",Advances in Marine Biology,Marine Managed Areas and Fisheries,Animals; California; Conservation of Natural Resources; Fisheries; Fishes; Government Regulation; Pacific Ocean; State Government,2014,2014,69,,205-251,"All OA; Green, Published",Chapter,"Botsford, Louis W.; White, J. Wilson; Carr, Mark H.; Caselle, Jennifer E.","Botsford, Louis W.","Botsford, Louis W. (University of California, Davis); White, J. Wilson (); Carr, Mark H. (); Caselle, Jennifer E. (University of California, Santa Barbara)",16,8,0.34,2.56,https://escholarship.org/content/qt04g3594r/qt04g3594r.pdf?t=ovhirp,https://app.dimensions.ai/details/publication/pub.1018250462,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
48,200,pub.1054951062,10.1017/s1755267214000700,,,"Summary of South American records of the smalltooth sand tiger shark Odontaspis ferox (Chondrichthyes: Odontaspidae), with the first record from Chilean waters",Marine Biodiversity Records,,,2014,2014,7,,,Closed,Article,"Long, Douglas J.; Sala, Enric; Ballesteros, Enric; Caselle, Jennifer E.; Friedlander, Alan M.; Klapfer, Avi; Blum, Shmulik; Constable, Heather B.",,"Long, Douglas J. (); Sala, Enric (); Ballesteros, Enric (); Caselle, Jennifer E. (); Friedlander, Alan M. (); Klapfer, Avi (); Blum, Shmulik (); Constable, Heather B. ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1054951062,,,,,,
49,100,pub.1007460544,10.1017/s175526721400116x,,,"First records of the sicklefin lemon shark, Negaprion acutidens, at Palmyra Atoll, central Pacific: a recent colonization event?",Marine Biodiversity Records,,,2014,2014,7,,,"All OA; Green, Accepted & Submitted",Article,"Papastamatiou, Yannis P.; Wood, Chelsea L.; Bradley, Darcy; McCauley, Douglas J.; Pollock, Amanda L.; Caselle, Jennifer E.",,"Papastamatiou, Yannis P. (University of St Andrews); Wood, Chelsea L. (); Bradley, Darcy (University of California, Santa Barbara); McCauley, Douglas J. (University of California, Santa Barbara); Pollock, Amanda L. (United States Fish and Wildlife Service); Caselle, Jennifer E. (University of California, Santa Barbara)",3,1,,0.48,https://research-repository.st-andrews.ac.uk/bitstream/10023/7646/1/Lemon_sharks_at_Palmyra.pdf,https://app.dimensions.ai/details/publication/pub.1007460544,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
50,400,pub.1005852603,10.1002/ece3.840,24340195,PMC3856754,"Phylogeography of the California sheephead, Semicossyphus pulcher: the role of deep reefs as stepping stones and pathways to antitropicality",Ecology and Evolution,,,2013-11,2013,3,13,4558-4571,All OA; Gold,Article,"Poortvliet, Marloes; Longo, Gary C.; Selkoe, Kimberly; Barber, Paul H.; White, Crow; Caselle, Jennifer E.; Perez‐Matus, Alejandro; Gaines, Steven D.; Bernardi, Giacomo",,"Poortvliet, Marloes (University of California, Santa Cruz; University of Groningen); Longo, Gary C. (University of California, Santa Cruz); Selkoe, Kimberly (University of California, Santa Barbara; University of Hawaii at Manoa); Barber, Paul H. (University of California Los Angeles); White, Crow (University of California, Santa Barbara; California Polytechnic State University); Caselle, Jennifer E. (University of California, Santa Barbara); Perez‐Matus, Alejandro (Pontifical Catholic University of Chile); Gaines, Steven D. (); Bernardi, Giacomo (University of California, Santa Cruz)",13,3,0.55,1.63,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.840,https://app.dimensions.ai/details/publication/pub.1005852603,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
51,400,pub.1024740163,10.1371/journal.pone.0065057,23755174,PMC3670923,Fishers’ Behaviour in Response to the Implementation of a Marine Protected Area,PLoS ONE,,Animals; Behavior; Conservation of Natural Resources; Ecosystem; Fisheries; Geography; Portugal; Ships; Workforce,6/3/13,2013,8,6,e65057,All OA; Gold,Article,"Horta e Costa, Bárbara; Batista, Marisa I.; Gonçalves, Leonel; Erzini, Karim; Caselle, Jennifer E.; Cabral, Henrique N.; Gonçalves, Emanuel J.",,"Horta e Costa, Bárbara (Instituto Universitário de Ciências Psicológicas, Sociais e da Vida; University of Algarve); Batista, Marisa I. (University of Lisbon); Gonçalves, Leonel (Instituto Universitário de Ciências Psicológicas, Sociais e da Vida); Erzini, Karim (University of Algarve); Caselle, Jennifer E. (University of California, Santa Barbara); Cabral, Henrique N. (University of Lisbon); Gonçalves, Emanuel J. (Instituto Universitário de Ciências Psicológicas, Sociais e da Vida)",29,8,0.38,5.13,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0065057&type=printable,https://app.dimensions.ai/details/publication/pub.1024740163,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
52,400,pub.1037297383,10.1098/rspb.2013.0327,23516247,PMC3619519,Does fish larval dispersal differ between high and low latitudes?,Proceedings of The Royal Society B Biological Sciences,,Animal Distribution; Animals; Biodiversity; Ecosystem; Fishes; Larva; Reproduction; Temperature; Water Movements,5/22/13,2013,280,1759,20130327,All OA; Gold,Article,"Leis, Jeffrey M.; Caselle, Jennifer E.; Bradbury, Ian R.; Kristiansen, Trond; Llopiz, Joel K.; Miller, Michael J.; O'Connor, Mary I.; Paris, Claire B.; Shanks, Alan L.; Sogard, Susan M.; Swearer, Stephen E.; Treml, Eric A.; Vetter, Russell D.; Warner, Robert R.",,"Leis, Jeffrey M. (Australian Museum; University of Tasmania); Caselle, Jennifer E. (University of California System); Bradbury, Ian R. (Fisheries and Oceans Canada; Memorial University of Newfoundland); Kristiansen, Trond (Norwegian Institute of Marine Research); Llopiz, Joel K. (Woods Hole Oceanographic Institution); Miller, Michael J. (University of Tokyo); O'Connor, Mary I. (University of British Columbia); Paris, Claire B. (University of Miami); Shanks, Alan L. (University of Oregon); Sogard, Susan M. (National Marine Fisheries Service); Swearer, Stephen E. (University of Melbourne); Treml, Eric A. (University of Melbourne); Vetter, Russell D. (); Warner, Robert R. (University of California System)",41,18,1.04,5.77,http://rspb.royalsocietypublishing.org/content/280/1759/20130327.full.pdf,https://app.dimensions.ai/details/publication/pub.1037297383,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
