,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Christopher J Still. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,100,pub.1090372295,10.1111/jbi.13061,,,Multi‐century stasis in C3 and C4 grass distributions across the contiguous United States since the industrial revolution,Journal of Biogeography,,,2017-11,2017,44,11,2564-2574,All OA; Gold,Article,"Griffith, Daniel M.; Cotton, Jennifer M.; Powell, Rebecca L.; Sheldon, Nathan D.; Still, Christopher J.",,"Griffith, Daniel M. (Oregon State University); Cotton, Jennifer M. (California State University, Northridge); Powell, Rebecca L. (University of Denver); Sheldon, Nathan D. (University of Michigan); Still, Christopher J. (Oregon State University)",8,8,,2.79,https://doi.org/10.1111/jbi.13061,https://app.dimensions.ai/details/publication/pub.1090372295,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,0607 Plant Biology,05 Environmental Sciences
30,100,pub.1091918441,10.1101/171850,,,Fog and live fuel moisture in coastal California shrublands,bioRxiv,,,8/3/17,2017,,,171850,"All OA; Green, Published",Preprint,"Emery, Nathan; D'Antonio, Carla M.; Still, Christopher J.",,"Emery, Nathan (Michigan State University); D'Antonio, Carla M. (University of California, Santa Barbara); Still, Christopher J. (Oregon State University)",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2017/08/03/171850.full.pdf,https://app.dimensions.ai/details/publication/pub.1091918441,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
31,100,pub.1012335466,10.1007/s00468-016-1476-4,,,Leaf age and methodology impact assessments of thermotolerance of Coffea arabica,Trees,,,2017-06,2017,31,3,1091-1099,Closed,Article,"Marias, Danielle E.; Meinzer, Frederick C.; Still, Christopher","Marias, Danielle E.","Marias, Danielle E. (Oregon State University); Meinzer, Frederick C. (Pacific Northwest Research Station); Still, Christopher (Oregon State University)",5,4,,2.31,,https://app.dimensions.ai/details/publication/pub.1012335466,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
32,500,pub.1074249910,10.1002/ece3.2681,28303198,PMC5306013,Impacts of leaf age and heat stress duration on photosynthetic gas exchange and foliar nonstructural carbohydrates in Coffea arabica,Ecology and Evolution,,,2017-02,2017,7,4,1297-1310,All OA; Gold,Article,"Marias, Danielle E.; Meinzer, Frederick C.; Still, Christopher",,"Marias, Danielle E. (Oregon State University); Meinzer, Frederick C. (Pacific Northwest Research Station); Still, Christopher (Oregon State University)",7,7,0,3.23,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.2681,https://app.dimensions.ai/details/publication/pub.1074249910,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
33,100,pub.1011065503,10.1071/fp16234,,,Impact of fog drip versus fog immersion on the physiology of Bishop pine saplings,Functional Plant Biology,,,2017,2017,44,3,339,Closed,Article,"Baguskas, Sara A.; King, Jennifer Y.; Fischer, Douglas T.; D’Antonio, Carla M.; Still, Christopher J.",,"Baguskas, Sara A. (University of California, Santa Cruz); King, Jennifer Y. (University of California, Santa Barbara); Fischer, Douglas T. (University of California, Santa Barbara); D’Antonio, Carla M. (University of California, Santa Barbara); Still, Christopher J. (Oregon State University)",4,3,,1.65,,https://app.dimensions.ai/details/publication/pub.1011065503,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
34,100,pub.1040026795,10.1016/j.agrformet.2016.07.017,,,"Continuous, long-term, high-frequency thermal imaging of vegetation: Uncertainties and recommended best practices",Agricultural and Forest Meteorology,,,2016-11,2016,228,Agric. Water Manage. 122 2013,315-326,"All OA; Green, Published",Article,"Aubrecht, Donald M.; Helliker, Brent R.; Goulden, Michael L.; Roberts, Dar A.; Still, Christopher J.; Richardson, Andrew D.","Aubrecht, Donald M.","Aubrecht, Donald M. (Harvard University); Helliker, Brent R. (University of Pennsylvania); Goulden, Michael L. (University of California, Irvine); Roberts, Dar A. (University of California, Santa Barbara); Still, Christopher J. (Oregon State University); Richardson, Andrew D. (Harvard University)",25,20,,6.42,https://escholarship.org/content/qt9fz9v32c/qt9fz9v32c.pdf?t=omt537,https://app.dimensions.ai/details/publication/pub.1040026795,0602 Ecology; 0699 Other Biological Sciences; 0705 Forestry Sciences; 0607 Plant Biology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0699 Other Biological Sciences,0705 Forestry Sciences,0607 Plant Biology,06 Biological Sciences
35,100,pub.1006333670,10.1016/j.agrformet.2016.06.001,,,"Canopy skin temperature variations in relation to climate, soil temperature, and carbon flux at a ponderosa pine forest in central Oregon",Agricultural and Forest Meteorology,,,2016-10,2016,226,J. Agron. Crop Sci. 176 1996,161-173,Closed,Article,"Kim, Youngil; Still, Christopher J.; Hanson, Chad V.; Kwon, Hyojung; Greer, Burke T.; Law, Beverly E.","Kim, Youngil","Kim, Youngil (Oregon State University); Still, Christopher J. (Oregon State University); Hanson, Chad V. (Oregon State University); Kwon, Hyojung (Oregon State University); Greer, Burke T. (Oregon State University); Law, Beverly E. (Oregon State University)",22,19,,5.65,,https://app.dimensions.ai/details/publication/pub.1006333670,0602 Ecology; 0699 Other Biological Sciences; 0705 Forestry Sciences; 0607 Plant Biology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0699 Other Biological Sciences,0705 Forestry Sciences,0607 Plant Biology,06 Biological Sciences
36,100,pub.1003443543,10.1002/ecs2.1364,,,Fog drip maintains dry season ecological function in a California coastal pine forest,Ecosphere,,,2016-06,2016,7,6,,All OA; Gold,Article,"Fischer, Douglas T.; Still, Christopher J.; Ebert, Colin M.; Baguskas, Sara A.; Williams, A. Park",,"Fischer, Douglas T. (University of California, Santa Barbara; Ronin Institute; Arcadis (United States)); Still, Christopher J. (Oregon State University); Ebert, Colin M. (); Baguskas, Sara A. (University of California, Santa Cruz); Williams, A. Park (Lamont-Doherty Earth Observatory)",14,9,,3.51,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.1364,https://app.dimensions.ai/details/publication/pub.1003443543,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
37,400,pub.1049260890,10.1002/ece3.2102,27217950,PMC4863026,Populations of aspen (Populus tremuloides Michx.) with different evolutionary histories differ in their climate occupancy,Ecology and Evolution,,,2016-05,2016,6,9,3032-3039,All OA; Gold,Article,"Greer, Burke T.; Still, Christopher; Howe, Glenn T.; Tague, Christina; Roberts, Dar A.",,"Greer, Burke T. (Oregon State University; University of California, Santa Barbara); Still, Christopher (Oregon State University; University of California, Santa Barbara); Howe, Glenn T. (Oregon State University); Tague, Christina (); Roberts, Dar A. (University of California, Santa Barbara)",3,3,0,0.85,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.2102,https://app.dimensions.ai/details/publication/pub.1049260890,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
38,400,pub.1011273895,10.1007/s00442-016-3556-y,26852312,,Coastal fog during summer drought improves the water status of sapling trees more than adult trees in a California pine forest,Oecologia,,"California; Droughts; Forests; Models, Biological; Pinus; Seasons; Trees; Water; Weather",2016-05,2016,181,1,137-148,Closed,Article,"Baguskas, Sara A.; Still, Christopher J.; Fischer, Douglas T.; D’Antonio, Carla M.; King, Jennifer Y.","Baguskas, Sara A.","Baguskas, Sara A. (University of California, Santa Barbara; University of California, Santa Cruz); Still, Christopher J. (University of California, Santa Barbara; Oregon State University); Fischer, Douglas T. (University of California, Santa Barbara); D’Antonio, Carla M. (University of California, Santa Barbara); King, Jennifer Y. (University of California, Santa Barbara)",12,6,0.41,2.84,,https://app.dimensions.ai/details/publication/pub.1011273895,0607 Plant Biology; 0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,
39,100,pub.1048878900,10.1175/ei-d-15-0033.1,,,Spatial and Temporal Patterns of Cloud Cover and Fog Inundation in Coastal California: Ecological Implications,Earth Interactions,,,2016-05,2016,20,15,19-Jan,All OA; Gold,Article,"Rastogi, Bharat; Williams, A. Park; Fischer, Douglas T.; Iacobellis, Sam F.; McEachern, Kathryn; Carvalho, Leila; Jones, Charles; Baguskas, Sara A.; Still, Christopher J.",,"Rastogi, Bharat (); Williams, A. Park (); Fischer, Douglas T. (); Iacobellis, Sam F. (); McEachern, Kathryn (); Carvalho, Leila (); Jones, Charles (); Baguskas, Sara A. (); Still, Christopher J. ()",11,9,,2.88,http://doi.org/10.1175/ei-d-15-0033.1,https://app.dimensions.ai/details/publication/pub.1048878900,0404 Geophysics; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0404 Geophysics,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,
40,400,pub.1062440008,10.1126/sciadv.1501346,27051865,PMC4820366,"Climate, CO2, and the history of North American grasses since the Last Glacial Maximum",Science Advances,,"Carbon Dioxide; Carbon Isotopes; Climate; Ecosystem; History, Ancient; Models, Theoretical; North America; Paleontology; Poaceae",2016-03,2016,2,3,e1501346,All OA; Gold,Article,"Cotton, Jennifer M.; Cerling, Thure E.; Hoppe, Kathryn A.; Mosier, Thomas M.; Still, Christopher J.",,"Cotton, Jennifer M. (University of Utah; Oregon State University; California State University, Northridge); Cerling, Thure E. (University of Utah); Hoppe, Kathryn A. (University of Washington; Green River Community College); Mosier, Thomas M. (Oregon State University); Still, Christopher J. (Oregon State University)",25,20,0.54,5.07,http://advances.sciencemag.org/content/2/3/e1501346.full.pdf,https://app.dimensions.ai/details/publication/pub.1062440008,0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,,
41,100,pub.1030852391,10.1002/joc.4208,,,An 850‐year tree‐ring‐based reconstruction of drought history in the western Qilian Mountains of northwestern China,International Journal of Climatology,,,2015-09,2015,35,11,3308-3319,Closed,Article,"Gou, Xiaohua; Gao, Linlin; Deng, Yang; Chen, Fahu; Yang, Meixue; Still, Christopher",,"Gou, Xiaohua (Lanzhou University; Columbia University); Gao, Linlin (Lanzhou University; Oregon State University); Deng, Yang (Lanzhou University); Chen, Fahu (Lanzhou University); Yang, Meixue (Northwest Institute of Eco-Environment and Resources); Still, Christopher (Oregon State University)",34,25,,6.19,,https://app.dimensions.ai/details/publication/pub.1030852391,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
42,100,pub.1016841728,10.1002/2015gl063266,,,Urbanization causes increased cloud base height and decreased fog in coastal Southern California,Geophysical Research Letters,,,3/16/15,2015,42,5,1527-1536,All OA; Gold,Article,"Williams, A. Park; Schwartz, Rachel E.; Iacobellis, Sam; Seager, Richard; Cook, Benjamin I.; Still, Christopher J.; Husak, Gregory; Michaelsen, Joel",,"Williams, A. Park (Lamont-Doherty Earth Observatory); Schwartz, Rachel E. (University of California, San Diego); Iacobellis, Sam (University of California, San Diego); Seager, Richard (Lamont-Doherty Earth Observatory); Cook, Benjamin I. (Lamont-Doherty Earth Observatory; Goddard Institute for Space Studies); Still, Christopher J. (Oregon State University); Husak, Gregory (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",40,23,,7.65,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015GL063266,https://app.dimensions.ai/details/publication/pub.1016841728,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
43,400,pub.1042035773,10.3389/fpls.2015.00123,25806035,PMC4354302,Introducing a sensor to measure budburst and its environmental drivers,Frontiers in Plant Science,,,3/10/15,2015,6,,123,All OA; Gold,Article,"Kleinknecht, George J.; Lintz, Heather E.; Kruger, Anton; Niemeier, James J.; Salino-Hugg, Michael J.; Thomas, Christoph K.; Still, Christopher J.; Kim, Youngil",,"Kleinknecht, George J. (Oregon State University); Lintz, Heather E. (Oregon State University); Kruger, Anton (University of Iowa); Niemeier, James J. (University of Iowa); Salino-Hugg, Michael J. (University of Iowa); Thomas, Christoph K. (Oregon State University; University of Bayreuth); Still, Christopher J. (Oregon State University); Kim, Youngil (Oregon State University)",5,3,0,1.14,https://www.frontiersin.org/articles/10.3389/fpls.2015.00123/pdf,https://app.dimensions.ai/details/publication/pub.1042035773,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
44,100,pub.1018998299,10.1111/geb.12265,,,Biogeographically distinct controls on C3 and C4 grass distributions: merging community and physiological ecology,Global Ecology and Biogeography,,,2015-03,2015,24,3,304-313,Closed,Article,"Griffith, Daniel M.; Anderson, T. Michael; Osborne, Colin P.; Strömberg, Caroline A. E.; Forrestel, Elisabeth J.; Still, Christopher J.",,"Griffith, Daniel M. (Wake Forest University); Anderson, T. Michael (Wake Forest University); Osborne, Colin P. (University of Sheffield); Strömberg, Caroline A. E. (University of Washington); Forrestel, Elisabeth J. (Yale University); Still, Christopher J. (Oregon State University)",16,13,,3.06,,https://app.dimensions.ai/details/publication/pub.1018998299,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
45,400,pub.1004018362,10.1371/journal.pone.0107396,25290341,PMC4188557,Phenology and Productivity of C3 and C4 Grasslands in Hawaii,PLoS ONE,,Biodiversity; Carbon Cycle; Ecosystem; Grassland; Hawaii; Poaceae; Remote Sensing Technology; Seasons,10/7/14,2014,9,10,e107396,All OA; Gold,Article,"Pau, Stephanie; Still, Christopher J.",,"Pau, Stephanie (Florida State University); Still, Christopher J. (Oregon State University)",9,6,0,1.7,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0107396&type=printable,https://app.dimensions.ai/details/publication/pub.1004018362,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
46,100,pub.1038667823,10.1016/j.foreco.2013.12.020,,,Evaluating spatial patterns of drought-induced tree mortality in a coastal California pine forest,Forest Ecology and Management,,,2014-03,2014,315,Proc. Natl. Acad. Sci. 106 2009,43-53,Closed,Article,"Baguskas, Sara A.; Peterson, Seth H.; Bookhagen, Bodo; Still, Christopher J.","Baguskas, Sara A.","Baguskas, Sara A. (University of California, Santa Barbara); Peterson, Seth H. (University of California, Santa Barbara); Bookhagen, Bodo (University of California, Santa Barbara); Still, Christopher J. (Oregon State University)",32,15,,6.21,,https://app.dimensions.ai/details/publication/pub.1038667823,0705 Forestry Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
47,100,pub.1023598934,10.1111/geb.12121,,,Land surface skin temperature captures thermal environments of C3 and C4 grasses,Global Ecology and Biogeography,,,2014-03,2014,23,3,286-296,Closed,Article,"Still, Christopher J.; Pau, Stephanie; Edwards, Erika J.",,"Still, Christopher J. (Oregon State University; University of California, Santa Barbara); Pau, Stephanie (University of California, Santa Barbara; Florida State University); Edwards, Erika J. (Brown University)",25,11,,4,,https://app.dimensions.ai/details/publication/pub.1023598934,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
48,100,pub.1049071809,10.1002/2013gb004644,,,Constraining surface carbon fluxes using in situ measurements of carbonyl sulfide and carbon dioxide,Global Biogeochemical Cycles,,,2014-02,2014,28,2,161-179,All OA; Gold,Article,"Berkelhammer, M.; Asaf, D.; Still, C.; Montzka, S.; Noone, D.; Gupta, M.; Provencal, R.; Chen, H.; Yakir, D.",,"Berkelhammer, M. (Cooperative Institute for Research in Environmental Sciences; University of Illinois at Chicago); Asaf, D. (Weizmann Institute of Science); Still, C. (Oregon State University); Montzka, S. (Earth System Research Laboratory); Noone, D. (Cooperative Institute for Research in Environmental Sciences); Gupta, M. (ABB (United States)); Provencal, R. (ABB (United States)); Chen, H. (University of Groningen; Cooperative Institute for Research in Environmental Sciences); Yakir, D. (Weizmann Institute of Science)",43,13,,5.78,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2013GB004644,https://app.dimensions.ai/details/publication/pub.1049071809,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,0402 Geochemistry,
49,100,pub.1036507614,10.1002/2013jg002312,,,The response of the 18O/16O composition of atmospheric CO2 to changes in environmental conditions,Journal of Geophysical Research Biogeosciences,,,2014-01,2014,119,1,55-79,All OA; Gold,Article,"Buenning, Nikolaus; Noone, David; Randerson, James; Riley, William J.; Still, Christopher",,"Buenning, Nikolaus (University of Colorado Boulder; Cooperative Institute for Research in Environmental Sciences; University of Southern California); Noone, David (University of Colorado Boulder; Cooperative Institute for Research in Environmental Sciences); Randerson, James (University of California, Irvine); Riley, William J. (Lawrence Berkeley National Laboratory); Still, Christopher (Oregon State University)",6,0,,1.21,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2013JG002312,https://app.dimensions.ai/details/publication/pub.1036507614,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
50,200,pub.1117003549,10.1017/s2475262200012892,,,Origins of C 4 Grasslands: Integrating Modeling and Paleo Data to Shed Light on Neogene Vegetation Change,The Paleontological Society Special Publications,,,2014,2014,13,,135-136,Closed,Article,"Pau, Stephanie; Strömberg, Caroline A.E.; Fox, David L.; Still, Christopher; Osborne, Colin P.; Lehmann, Caroline; Taylor, Lyla L.; Beerling, David J.",,"Pau, Stephanie (); Strömberg, Caroline A.E. (); Fox, David L. (); Still, Christopher (); Osborne, Colin P. (); Lehmann, Caroline (); Taylor, Lyla L. (); Beerling, David J. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117003549,,,,,,
51,100,pub.1037494210,10.1002/jgrd.50701,,,The nocturnal water cycle in an open‐canopy forest,Journal of Geophysical Research Atmospheres,,,9/16/13,2013,118,17,"10,225-10,242",All OA; Gold,Article,"Berkelhammer, M.; Hu, J.; Bailey, A.; Noone, D. C.; Still, C. J.; Barnard, H.; Gochis, D.; Hsiao, G. S.; Rahn, T.; Turnipseed, A.",,"Berkelhammer, M. (University of Colorado Boulder); Hu, J. (Montana State University); Bailey, A. (University of Colorado Boulder); Noone, D. C. (University of Colorado Boulder); Still, C. J. (Oregon State University); Barnard, H. (Institute of Arctic and Alpine Research); Gochis, D. (National Center for Atmospheric Research); Hsiao, G. S. (Picarro (United States)); Rahn, T. (Los Alamos National Laboratory); Turnipseed, A. (National Center for Atmospheric Research)",56,19,,10.17,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/jgrd.50701,https://app.dimensions.ai/details/publication/pub.1037494210,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
52,300,pub.1041358043,10.1038/501039a,24005410,,As different as night and day,Nature,,Darkness; Geography; Global Warming; Plants,2013-09,2013,501,7465,39-40,Closed,Article,"Still, Christopher","Still, Christopher","Still, Christopher (Oregon State University)",4,0,0.17,0.49,,https://app.dimensions.ai/details/publication/pub.1041358043,0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,,
53,400,pub.1001513028,10.1111/gcb.12054,23504786,,Cloud shading and fog drip influence the metabolism of a coastal pine ecosystem,Global Change Biology,,California; Carbon; Ecosystem; Pinus; Weather,2013-02,2013,19,2,484-497,Closed,Article,"Carbone, Mariah S.; Williams, A. Park; Ambrose, Anthony R.; Boot, Claudia M.; Bradley, Eliza S.; Dawson, Todd E.; Schaeffer, Sean M.; Schimel, Joshua P.; Still, Christopher J.",,"Carbone, Mariah S. (University of California, Santa Barbara); Williams, A. Park (Los Alamos National Laboratory); Ambrose, Anthony R. (University of California, Berkeley); Boot, Claudia M. (Colorado State University); Bradley, Eliza S. (University of California, Santa Barbara); Dawson, Todd E. (University of California, Berkeley); Schaeffer, Sean M. (University of Tennessee at Knoxville); Schimel, Joshua P. (University of California, Santa Barbara); Still, Christopher J. (University of California, Santa Barbara; Oregon State University)",30,7,0.34,4.22,,https://app.dimensions.ai/details/publication/pub.1001513028,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
54,400,pub.1002987672,10.1371/journal.pone.0055654,23383257,PMC3561328,Switching Hemispheres: A New Migration Strategy for the Disjunct Argentinean Breeding Population of Barn Swallow (Hirundo rustica),PLoS ONE,,Animal Migration; Animals; Argentina; Breeding; Feathers; Geography; Isotopes; North America; Population Dynamics; Seasons; Swallows,1/31/13,2013,8,1,e55654,All OA; Gold,Article,"Garcia-Perez, Belen; Hobson, Keith A.; Powell, Rebecca L.; Still, Christopher J.; Huber, Gernot H.",,"Garcia-Perez, Belen (University of Saskatchewan); Hobson, Keith A. (University of Saskatchewan; Environment Canada); Powell, Rebecca L. (Wake Forest University); Still, Christopher J. (Oregon State University); Huber, Gernot H. (Cornell University)",11,2,0.32,2.02,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0055654&type=printable,https://app.dimensions.ai/details/publication/pub.1002987672,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
55,400,pub.1013765064,10.1111/gcb.12037,23504730,,Improving our understanding of environmental controls on the distribution of C3 and C4 grasses,Global Change Biology,,Environmental Monitoring; Poaceae; Temperature,2013-01,2013,19,1,184-196,Closed,Article,"Pau, Stephanie; Edwards, Erika J.; Still, Christopher J.",,"Pau, Stephanie (University of California, Santa Barbara); Edwards, Erika J. (Brown University); Still, Christopher J. (University of California, Santa Barbara; Oregon State University)",34,8,0.66,6.61,,https://app.dimensions.ai/details/publication/pub.1013765064,06 Biological Sciences; 0603 Evolutionary Biology,06 Biological Sciences,0603 Evolutionary Biology,,,
56,100,pub.1046706614,10.1890/es12-00162.1,,,Vegetation and soil carbon‐13 isoscapes for South America: integrating remote sensing and ecosystem isotope measurements,Ecosphere,,,2012-11,2012,3,11,25-Jan,All OA; Gold,Article,"Powell, Rebecca L.; Yoo, Eun-Hye; Still, Christopher J.",,"Powell, Rebecca L. (Wake Forest University); Yoo, Eun-Hye (University at Buffalo, State University of New York); Still, Christopher J. (Oregon State University)",21,8,,3.26,https://doi.org/10.1890/es12-00162.1,https://app.dimensions.ai/details/publication/pub.1046706614,0602 Ecology; 0503 Soil Sciences; 0607 Plant Biology; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0503 Soil Sciences,0607 Plant Biology,06 Biological Sciences,05 Environmental Sciences
57,100,pub.1035883272,10.1890/es12-00018.1,,,"A multi‐isotope (δ13C, δ15N, δ2H) feather isoscape to assign Afrotropical migrant birds to origins",Ecosphere,,,2012-05,2012,3,5,20-Jan,All OA; Gold,Article,"Hobson, K. A.; Van Wilgenburg, S. L.; Wassenaar, L. I.; Powell, R. L.; Still, C. J.; Craine, J. M.",,"Hobson, K. A. (Environment Canada); Van Wilgenburg, S. L. (Environment Canada); Wassenaar, L. I. (Environment Canada); Powell, R. L. (University of Denver); Still, C. J. (University of California, Santa Barbara); Craine, J. M. (Kansas State University)",57,14,,6.74,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES12-00018.1,https://app.dimensions.ai/details/publication/pub.1035883272,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
58,100,pub.1027527963,10.1029/2011gl049041,,,Remotely sensed heat anomalies linked with Amazonian forest biomass declines,Geophysical Research Letters,,,2011-10,2011,38,19,n/a-n/a,"All OA; Green, Published",Article,"Toomey, Michael; Roberts, Dar A.; Still, Christopher; Goulden, Michael L.; McFadden, Joseph P.",,"Toomey, Michael (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Still, Christopher (University of California, Santa Barbara); Goulden, Michael L. (University of California, Irvine); McFadden, Joseph P. (University of California, Santa Barbara)",44,14,,4.58,https://escholarship.org/content/qt924385m3/qt924385m3.pdf?t=mrfef2,https://app.dimensions.ai/details/publication/pub.1027527963,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
59,400,pub.1005056259,10.1007/s00442-011-1975-3,21487825,,Seasonal and episodic moisture controls on plant and microbial contributions to soil respiration,Oecologia,,California; Carbon Radioisotopes; Cell Respiration; Ecosystem; Plant Roots; Rain; Seasons; Soil; Soil Microbiology,2011-09,2011,167,1,265-278,Closed,Article,"Carbone, Mariah S.; Still, Christopher J.; Ambrose, Anthony R.; Dawson, Todd E.; Williams, A. Park; Boot, Claudia M.; Schaeffer, Sean M.; Schimel, Joshua P.","Carbone, Mariah S.","Carbone, Mariah S. (University of California, Santa Barbara); Still, Christopher J. (University of California, Santa Barbara); Ambrose, Anthony R. (University of California, Berkeley); Dawson, Todd E. (University of California, Berkeley); Williams, A. Park (University of California, Santa Barbara); Boot, Claudia M. (University of California, Santa Barbara); Schaeffer, Sean M. (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara)",109,30,1.15,11.35,,https://app.dimensions.ai/details/publication/pub.1005056259,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
60,200,pub.1071282764,10.3402/tellusb.v63i2.16198,,,"Seasonal and interannual variability in
                    13
                    C composition of ecosystem carbon fluxes in the U.S. Southern Great Plains",Tellus B,,,4/1/11,2011,63,2,,All OA; Gold,Article,"Torn, Margaret S.; Biraud, Sebastien C.; Still, Christopher J.; Riley, William J.; Berry, Joe A.",,"Torn, Margaret S. (); Biraud, Sebastien C. (); Still, Christopher J. (); Riley, William J. (); Berry, Joe A. ()",0,0,,0,https://doi.org/10.3402/tellusb.v63i2.16198,https://app.dimensions.ai/details/publication/pub.1071282764,05 Environmental Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,04 Earth Sciences,0401 Atmospheric Sciences,0502 Environmental Science and Management,
61,100,pub.1008020951,10.1111/j.1600-0889.2010.00519.x,,,Seasonal and interannual variability in 13C composition of ecosystem carbon fluxes in the U.S. Southern Great Plains,Tellus B,,,2011-01,2011,63,2,181-195,All OA; Gold,Article,"TORN, MARGARET S.; BIRAUD, SEBASTIEN C.; STILL, CHRISTOPHER J.; RILEY, WILLIAM J.; BERRY, JOE A.",,"TORN, MARGARET S. (Lawrence Berkeley National Laboratory); BIRAUD, SEBASTIEN C. (Lawrence Berkeley National Laboratory); STILL, CHRISTOPHER J. (University of California, Santa Barbara); RILEY, WILLIAM J. (Lawrence Berkeley National Laboratory); BERRY, JOE A. ()",18,1,,2.31,https://www.tandfonline.com/doi/pdf/10.1111/j.1600-0889.2010.00519.x?needAccess=true,https://app.dimensions.ai/details/publication/pub.1008020951,05 Environmental Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,04 Earth Sciences,0401 Atmospheric Sciences,0502 Environmental Science and Management,
