,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Charles D Kolstad. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,200,pub.1069410080,10.2307/1242975,,,Measuring the Demand for Environmental Quality,American Journal of Agricultural Economics,,,1993-02,1993,75,1,244,Closed,Article,"Bergstrom, John C.; Braden, John B.; Kolstad, Charles D.",,"Bergstrom, John C. (); Braden, John B. (); Kolstad, Charles D. ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1069410080,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
45,200,pub.1035003127,10.1016/s1573-4439(05)80007-7,,,"Chapter 20 Buying Energy and Nonfuel Minerals: Final, Derived, and Speculative Demand*",Handbook of Natural Resource and Energy Economics,,,1993,1993,3,,935-1009,Closed,Chapter,"Slade, Margaret E.; Kolstad, Charles D.; Weiner, Robert J.",,"Slade, Margaret E. (University of British Columbia); Kolstad, Charles D. (University of Illinois at Urbana Champaign); Weiner, Robert J. (Brandeis University)",8,1,,,,https://app.dimensions.ai/details/publication/pub.1035003127,,,,,,
46,200,pub.1028208249,10.1016/s1573-4439(05)80013-2,,,Chapter 26 Natural Resource use and the Environment,Handbook of Natural Resource and Energy Economics,,,1993,1993,3,,1219-1265,Closed,Chapter,"Kolstad, Charles D.; Krautkraemer, Jeffrey A.",,"Kolstad, Charles D. (University of Illinois at Urbana Champaign); Krautkraemer, Jeffrey A. (Washington State University)",23,3,,,,https://app.dimensions.ai/details/publication/pub.1028208249,,,,,,
47,200,pub.1064730260,10.1287/opre.39.5.739,,,Computing Cournot-Nash Equilibria,Operations Research,,,1991-10,1991,39,5,739-748,"All OA; Green, Accepted & Submitted",Article,"Kolstad, Charles D.; Mathiesen, Lars",,"Kolstad, Charles D. (); Mathiesen, Lars ()",28,4,,,https://www.ideals.illinois.edu/bitstream/2142/29043/1/computingcournot1441kols.pdf,https://app.dimensions.ai/details/publication/pub.1064730260,"08 Information and Computing Sciences; 15 Commerce, Management, Tourism and Services; 0102 Applied Mathematics; 0802 Computation Theory and Mathematics; 1503 Business and Management; 01 Mathematical Sciences",08 Information and Computing Sciences,"15 Commerce, Management, Tourism and Services",0102 Applied Mathematics,0802 Computation Theory and Mathematics,1503 Business and Management
48,200,pub.1089523283,10.1007/978-94-011-3084-4_2,,,Computing equilibria in imperfectly competitive commodity markets,,International Commodity Market Models,,1991,1991,,,51-70,Closed,Chapter,"Kolstad, Charles D.; Mathiesen, Lars",,"Kolstad, Charles D. (); Mathiesen, Lars ()",2,0,,,,https://app.dimensions.ai/details/publication/pub.1089523283,,,,,,
49,100,pub.1039907677,10.1016/0301-4215(90)90064-b,,,Acid deposition regulation and the US coal industry,Energy Policy,,,1990-11,1990,18,9,845-852,Closed,Article,"Kolstad, Charles D.",,"Kolstad, Charles D. (University of Illinois at Urbana Champaign)",2,1,,,,https://app.dimensions.ai/details/publication/pub.1039907677,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,,,
50,100,pub.1022610791,10.1007/bf00939562,,,Derivative evaluation and computational experience with large bilevel mathematical programs,Journal of Optimization Theory and Applications,,,1990-06,1990,65,3,485-499,"All OA; Green, Accepted & Submitted",Article,"Kolstad, C. D.; Lasdon, L. S.",,"Kolstad, C. D. (University of Illinois at Urbana Champaign); Lasdon, L. S. (The University of Texas at Austin)",49,9,,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.227.6228&rep=rep1&type=pdf,https://app.dimensions.ai/details/publication/pub.1022610791,0102 Applied Mathematics; 0103 Numerical and Computational Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,0103 Numerical and Computational Mathematics,01 Mathematical Sciences,,
51,100,pub.1100827298,10.1080/10473289.1990.10466674,,,Clean Air and Energy: Reform of the PSD Provisions of the Clean Air Act,Journal of the Air & Waste Management Association,,,1990-02,1990,40,2,177-184,All OA; Gold,Article,"Kolstad, Charles D.",,"Kolstad, Charles D. (University of Illinois at Urbana Champaign)",1,0,,,https://www.tandfonline.com/doi/pdf/10.1080/10473289.1990.10466674?needAccess=true,https://app.dimensions.ai/details/publication/pub.1100827298,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
52,100,pub.1032589474,10.1080/08940630.1989.10466568,,,Aggregate Source-receptor Relations for Economic Analysis of Ambient Regulations,Journal of the Air & Waste Management Association,,,1989-06,1989,39,6,824-830,All OA; Gold,Article,"Kolstad, Charles D.; Williams, Michael D.",,"Kolstad, Charles D. (University of Illinois at Urbana Champaign); Williams, Michael D. (Los Alamos National Laboratory)",1,0,,,http://www.tandfonline.com/doi/pdf/10.1080/08940630.1989.10466568?needAccess=true,https://app.dimensions.ai/details/publication/pub.1032589474,09 Engineering; 05 Environmental Sciences,09 Engineering,05 Environmental Sciences,,,
53,100,pub.1005043703,10.1016/0165-0572(88)90008-4,,,Measuring relative market power in the Western U.S. coal market using Shapley values,Resources and Energy,,,1988-12,1988,10,4,293-314,Closed,Article,"Wolak, Frank A.; Kolstad, Charles D.",,"Wolak, Frank A. (Stanford University); Kolstad, Charles D. (University of Illinois at Urbana Champaign)",8,0,,,,https://app.dimensions.ai/details/publication/pub.1005043703,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
54,200,pub.1025951828,10.1016/0301-4215(88)90171-1,,,"World coal: Economics, policies and prospects Richard L. Gordon Cambridge University Press, Cambridge, UK, 1987, 143 pp, £25.00",Energy Policy,,,1988-06,1988,16,3,328,Closed,Article,"Kolstad, Charles D.",,"Kolstad, Charles D. (University of Illinois at Urbana Champaign)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1025951828,,,,,,
55,100,pub.1014850834,10.1016/0095-0696(87)90029-5,,,Uniformity versus differentiation in regulating externalities,Journal of Environmental Economics and Management,,,1987-12,1987,14,4,386-399,Closed,Article,"Kolstad, Charles D",,"Kolstad, Charles D (University of Illinois at Urbana Champaign)",35,2,,,,https://app.dimensions.ai/details/publication/pub.1014850834,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
56,200,pub.1069868901,10.2307/2297489,,,Necessary and Sufficient Conditions for Uniqueness of a Cournot Equilibrium,The Review of Economic Studies,,,1987-10,1987,54,4,681,"All OA; Green, Accepted & Submitted",Article,"Kolstad, Charles D.; Mathiesen, Lars",,"Kolstad, Charles D. (); Mathiesen, Lars ()",72,5,,,http://dspace.mit.edu/bitstream/1721.1/48611/1/necessarysuffici00kols.pdf,https://app.dimensions.ai/details/publication/pub.1069868901,14 Economics,14 Economics,,,,
57,200,pub.1069441830,10.2307/135319,,,Conjectural Variation and the Indeterminacy of Duopolistic Equilibria,Canadian Journal of Economics/Revue canadienne d économique,,,1986-11,1986,19,4,656,Closed,Article,"Kolstad, Charles D.; Wolak, Frank A.",,"Kolstad, Charles D. (); Wolak, Frank A. ()",2,0,,,,https://app.dimensions.ai/details/publication/pub.1069441830,14 Economics,14 Economics,,,,
58,200,pub.1001564290,10.1111/j.1468-0076.1986.tb00109.x,,,A capital‐labour‐energy model of fuel demand in the manufacturing sector of seven major OECD countries,OPEC Review,,,1986-06,1986,10,2,179-198,Closed,Article,"Kolstad, Charles D.; Bopp, Anthony; Pendley, Robert E.; Wolak, Frank A.",,"Kolstad, Charles D. (University of Illinois at Urbana Champaign); Bopp, Anthony (); Pendley, Robert E. (University of California System); Wolak, Frank A. (Harvard University)",3,0,,,,https://app.dimensions.ai/details/publication/pub.1001564290,,,,,,
59,200,pub.1069650148,10.2307/1924723,,,Strategy and Market Structure in Western Coal Taxation,Review of Economics and Statistics,,,1985-05,1985,67,2,239,Closed,Article,"Kolstad, Charles D.; Wolak, Frank A.",,"Kolstad, Charles D. (); Wolak, Frank A. ()",8,2,,,,https://app.dimensions.ai/details/publication/pub.1069650148,1403 Econometrics; 1402 Applied Economics; 14 Economics,1403 Econometrics,1402 Applied Economics,14 Economics,,
60,100,pub.1003247605,10.1016/0014-2921(84)90012-6,,,The effect of market conduct on international steam coal trade,European Economic Review,,,1984-01,1984,24,1,39-59,Closed,Article,"Kolstad, Charles D.; Abbey, David S.",,"Kolstad, Charles D. (University of Illinois at Urbana Champaign); Abbey, David S. (Los Alamos National Laboratory)",18,1,,,,https://app.dimensions.ai/details/publication/pub.1003247605,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
61,200,pub.1058574638,10.1086/261157,,,Competition in Interregional Taxation: The Case of Western Coal,Journal of Political Economy,,,1983-06,1983,91,3,443-460,Closed,Article,"Kolstad, Charles D.; Wolak,, Frank A.",,"Kolstad, Charles D. (); Wolak,, Frank A. ()",26,1,,,,https://app.dimensions.ai/details/publication/pub.1058574638,"14 Economics; 15 Commerce, Management, Tourism and Services",14 Economics,"15 Commerce, Management, Tourism and Services",,,
