,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is William R Freudenburg. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,200,pub.1067699505,10.1525/sp.1994.41.2.03x0435s,,,Bureaucratic Slippage and Failures of Agency Vigilance: The Case of the Environmental Studies Program,Social Problems,,,1994-05,1994,41,2,214-239,Closed,Article,"Freudenburg, William R.; Gramling, Robert",,"Freudenburg, William R. (); Gramling, Robert ()",8,0,,,,https://app.dimensions.ai/details/publication/pub.1067699505,,,,,,
51,100,pub.1050337137,10.1080/08941929409380841,,,Natural resources and rural poverty: A closer look,Society & Natural Resources,,,1994-01,1994,7,1,22-May,Closed,Article,"Freudenburg, William R.; Gramling, Robert",,"Freudenburg, William R. (University of Wisconsin–Madison); Gramling, Robert ()",51,8,,,,https://app.dimensions.ai/details/publication/pub.1050337137,1608 Sociology; 1402 Applied Economics; 16 Studies in Human Society; 14 Economics,1608 Sociology,1402 Applied Economics,16 Studies in Human Society,14 Economics,
52,100,pub.1011541754,10.1007/bf01115049,,,Socioenvironmental factors and development policy: Understanding opposition and support for offshore oil,Sociological Forum,,,1993-09,1993,8,3,341-364,Closed,Article,"Freudenburg, William R.; Gramling, Robert","Freudenburg, William R.","Freudenburg, William R. (University of Wisconsin–Madison); Gramling, Robert ()",38,5,,,,https://app.dimensions.ai/details/publication/pub.1011541754,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
53,200,pub.1009372314,10.1007/bf02700294,,,"Rhetoric, reform, and risk",Society,,,1993-07,1993,30,5,78-81,Closed,Article,"Clarke, Lee; Freudenburg, William R.",,"Clarke, Lee (Rutgers, The State University of New Jersey); Freudenburg, William R. (University of Wisconsin System)",2,0,,,,https://app.dimensions.ai/details/publication/pub.1009372314,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
54,100,pub.1053844788,10.1177/108602669200600302,,,The Exxon Valdez oil spill in the context of US petroleum politics,Organization & Environment,,,1992-09,1992,6,3,175-196,"All OA; Green, Accepted & Submitted",Article,"Gramling, Robert; Freudenburg, William R.",,"Gramling, Robert (University of Louisiana at Lafayette); Freudenburg, William R. (University of Wisconsin–Madison)",14,1,,,http://oae.sagepub.com/content/6/3/175.full.pdf,https://app.dimensions.ai/details/publication/pub.1053844788,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
55,100,pub.1021943436,10.1111/j.1533-8525.1992.tb00381.x,,,PUBLIC RESPONSES TO TECHNOLOGICAL RISKS:,Sociological Quarterly,,,1992-09,1992,33,3,389-412,Closed,Article,"Freudenburg, William R.; Pastor, Susan K.",,"Freudenburg, William R. (University of Wisconsin–Madison); Pastor, Susan K. (University of Wisconsin–Madison)",99,8,,,,https://app.dimensions.ai/details/publication/pub.1021943436,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
56,100,pub.1000058706,10.1111/j.1549-0831.1992.tb00467.x,,,Addictive Economies: Extractive Industries and Vulnerable Localities in a Changing World Economy1,Rural Sociology,,,1992-09,1992,57,3,305-332,Closed,Article,"Freudenburg, William R.",,"Freudenburg, William R. (University of Wisconsin–Madison)",221,40,,,,https://app.dimensions.ai/details/publication/pub.1000058706,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
57,200,pub.1060033387,10.1093/sf/70.4.937,,,Community Impacts of Technological Change: Toward a Longitudinal Perspective,Social Forces,,,6/1/92,1992,70,4,937-955,Closed,Article,"Freudenburg, W. R.; Gramling, R.",,"Freudenburg, W. R. (); Gramling, R. ()",43,1,,,,https://app.dimensions.ai/details/publication/pub.1060033387,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
58,200,pub.1070006014,10.2307/2580196,,,Community Impacts of Technological Change: Toward a Longitudinal Perspective,Social Forces,,,1992-06,1992,70,4,937,Closed,Article,"Freudenburg, William R.; Gramling, Robert",,"Freudenburg, William R. (); Gramling, Robert ()",24,0,,,,https://app.dimensions.ai/details/publication/pub.1070006014,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
59,100,pub.1032987107,10.1111/j.1549-0831.1992.tb00464.x,,,"Opportunity‐Threat, Development, and Adaptation: Toward a Comprehensive Framework for Social Impact Assessment1",Rural Sociology,,,1992-06,1992,57,2,216-234,Closed,Article,"Gramling, Robert; Freudenburg, William R.",,"Gramling, Robert (University of Louisiana at Lafayette); Freudenburg, William R. (University of Wisconsin System)",71,9,,,,https://app.dimensions.ai/details/publication/pub.1032987107,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
60,100,pub.1037632686,10.1111/j.1540-4560.1992.tb01944.x,,,NIMBYs and LULUs: Stalking the Syndromes,Journal of Social Issues,,,1992-01,1992,48,4,39-61,Closed,Article,"Freudenburg, William R.; Pastor, Susan K.",,"Freudenburg, William R. (University of Wisconsin–Madison); Pastor, Susan K. (University of Wisconsin–Madison)",109,10,,,,https://app.dimensions.ai/details/publication/pub.1037632686,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
61,100,pub.1053215015,10.1111/j.1549-0831.1991.tb00449.x,,,Criminal Behavior and Rapid Community Growth: Examining the Evidence1,Rural Sociology,,,1991-12,1991,56,4,619-645,Closed,Article,"Freudenburg, William R.; Jones, Robert Emmett",,"Freudenburg, William R. (University of Wisconsin–Madison); Jones, Robert Emmett (Washington State University)",79,7,,,,https://app.dimensions.ai/details/publication/pub.1053215015,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
62,100,pub.1015117169,10.1111/j.1475-682x.1991.tb00274.x,,,Rural‐Urban Differences in Environmental Concern: A Closer Look*,Sociological Inquiry,,,1991-04,1991,61,2,167-198,Closed,Article,"Freudenburg, William R.",,"Freudenburg, William R. (University of Wisconsin–Madison)",76,8,,,,https://app.dimensions.ai/details/publication/pub.1015117169,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
63,100,pub.1035198372,10.1111/j.1549-0831.1990.tb00696.x,,,"A Closer Look at “Local Control”: Communities, Commodities, and the Collapse of the Coast1",Rural Sociology,,,1990-12,1990,55,4,541-558,Closed,Article,"Gramling, Robert; Freudenburg, William R.",,"Gramling, Robert (University of Louisiana at Lafayette); Freudenburg, William R. (University of Wisconsin–Madison)",53,2,,,,https://app.dimensions.ai/details/publication/pub.1035198372,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
64,100,pub.1029726702,10.1080/08941929009380729,,,A “good business climate” as bad economic news?,Society & Natural Resources,,,1990-10,1990,3,4,313-330,"All OA; Green, Accepted & Submitted",Article,"Freudenburg, William R.",,"Freudenburg, William R. (University of Wisconsin–Madison)",22,0,,,https://escholarship.org/content/qt4nw8p4fb/qt4nw8p4fb.pdf?t=lnoklj,https://app.dimensions.ai/details/publication/pub.1029726702,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
65,100,pub.1046328438,10.1111/j.1475-682x.1989.tb00119.x,,,"The Emergence of Environmental Sociology: Contributions of Riley E. Dunlap and William R. Catton, Jr.",Sociological Inquiry,,,1989-10,1989,59,4,439-452,Closed,Article,"Freudenburg, William R.; Gramling, Robert",,"Freudenburg, William R. (Yale University); Gramling, Robert ()",22,3,,,,https://app.dimensions.ai/details/publication/pub.1046328438,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
66,100,pub.1006975103,10.1111/j.1540-4560.1989.tb01536.x,,,Social Scientists' Contributions to Environmental Management,Journal of Social Issues,,,1989-04,1989,45,1,133-152,Closed,Article,"Freudenburg, William R.",,"Freudenburg, William R. (University of Wisconsin–Madison)",9,0,,,,https://app.dimensions.ai/details/publication/pub.1006975103,1608 Sociology; 1605 Policy and Administration; 16 Studies in Human Society,1608 Sociology,1605 Policy and Administration,16 Studies in Human Society,,
67,100,pub.1039283909,10.1080/08941928909380685,,,Legal requirements for social impact assessment: Assessing the social science fallout from Three Mile Island,Society & Natural Resources,,,1989-01,1989,2,1,193-208,Closed,Article,"Llewellyn, Lynn G.; Freudenburg, William R.",,"Llewellyn, Lynn G. (); Freudenburg, William R. (University of Wisconsin–Madison)",6,0,,,,https://app.dimensions.ai/details/publication/pub.1039283909,18 Law and Legal Studies; 1801 Law,18 Law and Legal Studies,1801 Law,,,
68,400,pub.1062596358,10.1126/science.3175635,3175635,,"Perceived risk, real risk: social science and the art of probabilistic risk assessment",Science,,Accidents; Humans; Probability; Risk; Risk-Taking; Science; Social Sciences,10/7/88,1988,242,4875,44-49,Closed,Article,"Freudenburg, W R",,"Freudenburg, W R (University of Wisconsin–Madison)",218,15,1.68,,,https://app.dimensions.ai/details/publication/pub.1062596358,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
69,200,pub.1069733812,10.2307/2070931,,,Public Reactions to Nuclear Power: Are There Critical Masses?,Contemporary Sociology A Journal of Reviews,,,1986-01,1986,15,1,84,Closed,Article,"Perrow, Charles; Freudenburg, William R.; Rosa, Eugene A.",,"Perrow, Charles (); Freudenburg, William R. (); Rosa, Eugene A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1069733812,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
