,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Bruce E Kendall. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
30,400,pub.1058850635,10.1086/665992,22673654,,"Changing seascapes, stochastic connectivity, and marine metapopulation dynamics.",The American Naturalist,,"Animals; Animals, Newborn; Ecosystem; Fishes; Models, Biological; Population Dynamics; Stochastic Processes",2012-07,2012,180,1,99-112,"All OA; Green, Published",Article,"Watson, James R; Kendall, Bruce E; Siegel, David A; Mitarai, Satoshi",,"Watson, James R (Princeton University); Kendall, Bruce E (); Siegel, David A (); Mitarai, Satoshi ()",53,18,1.18,6.35,https://escholarship.org/content/qt8bf773j7/qt8bf773j7.pdf?t=n747vj,https://app.dimensions.ai/details/publication/pub.1058850635,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
31,400,pub.1019160578,10.1111/j.1461-0248.2012.01773.x,22487324,,The value of coordinated management of interacting ecosystem services,Ecology Letters,,"Animals; Aquatic Organisms; California; Computer Simulation; Conservation of Natural Resources; Ecosystem; Fisheries; Humans; Models, Biological; Models, Economic; Pacific Ocean",2012-06,2012,15,6,509-519,"All OA; Green, Accepted & Submitted",Article,"White, Crow; Costello, Christopher; Kendall, Bruce E.; Brown, Christopher J.",,"White, Crow (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara); Brown, Christopher J. (University of Queensland)",23,1,0.27,3.7,http://espace.library.uq.edu.au/view/UQ:275569/UQ275569_OA.pdf,https://app.dimensions.ai/details/publication/pub.1019160578,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
32,100,pub.1045099317,10.1007/s12080-011-0129-x,,,Demographic heterogeneity impacts density-dependent population dynamics,Theoretical Ecology,,,2012-05,2012,5,2,297-309,"All OA; Green, Accepted & Submitted",Article,"Stover, Joseph P.; Kendall, Bruce E.; Fox, Gordon A.","Stover, Joseph P.","Stover, Joseph P. (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara); Fox, Gordon A. (University of South Florida)",21,5,,2.52,https://escholarship.org/content/qt20d7z6dr/qt20d7z6dr.pdf?t=m8c1sm,https://app.dimensions.ai/details/publication/pub.1045099317,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
33,100,pub.1022322681,10.1111/j.1466-8238.2010.00636.x,,,Pushing the limits in marine species distribution modelling: lessons from the land present challenges and opportunities,Global Ecology and Biogeography,,,2011-11,2011,20,6,789-802,All OA; Gold,Article,"Robinson, L. M.; Elith, J.; Hobday, A. J.; Pearson, R. G.; Kendall, B. E.; Possingham, H. P.; Richardson, A. J.",,"Robinson, L. M. (University of Queensland; CSIRO Marine and Atmospheric Research); Elith, J. (University of Melbourne); Hobday, A. J. (CSIRO Marine and Atmospheric Research); Pearson, R. G. (American Museum of Natural History); Kendall, B. E. (University of Queensland; University of California, Santa Barbara); Possingham, H. P. (University of Queensland); Richardson, A. J. (CSIRO Marine and Atmospheric Research; University of Queensland)",199,53,,26.27,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1466-8238.2010.00636.x,https://app.dimensions.ai/details/publication/pub.1022322681,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
34,400,pub.1048424027,10.1073/pnas.1111461108,21987813,PMC3203776,Identifying critical regions in small-world marine metapopulations,Proceedings of the National Academy of Sciences,,"Animals; Computer Simulation; Conservation of Natural Resources; Demography; Ecosystem; Fishes; Geography; Larva; Marine Biology; Models, Biological; Oceans and Seas; Population Dynamics; Species Specificity",2011-10-25,2011,108,43,e907-e913,All OA; Gold,Article,"Watson, James R.; Siegel, David A.; Kendall, Bruce E.; Mitarai, Satoshi; Rassweiller, Andrew; Gaines, Steven D.",,"Watson, James R. (); Siegel, David A. (); Kendall, Bruce E. (); Mitarai, Satoshi (Okinawa Institute of Science and Technology); Rassweiller, Andrew (University of California, Santa Barbara); Gaines, Steven D. ()",65,19,1.22,8.58,http://www.pnas.org/content/108/43/E907.full.pdf,https://app.dimensions.ai/details/publication/pub.1048424027,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
35,400,pub.1016338417,10.1890/11-0079.1,22073789,,"Demographic heterogeneity, cohort selection, and population growth",Ecology,,"Animals; Cohort Studies; Ecosystem; Models, Biological; Population Dynamics",2011-10,2011,92,10,1985-1993,"All OA; Green, Accepted & Submitted",Article,"Kendall, Bruce E.; Fox, Gordon A.; Fujiwara, Masami; Nogeire, Theresa M.",,"Kendall, Bruce E. (University of California, Santa Barbara); Fox, Gordon A. (University of South Florida); Fujiwara, Masami (Texas A&M University); Nogeire, Theresa M. (University of California, Santa Barbara)",60,19,1.56,5.73,http://espace.library.uq.edu.au/view/UQ:261328/UQ261328_OA.pdf,https://app.dimensions.ai/details/publication/pub.1016338417,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
36,400,pub.1021052787,10.1111/j.1523-1739.2011.01671.x,21480994,,Variability in Population Abundance and the Classification of Extinction Risk,Conservation Biology,,"Animals; Extinction, Biological; Models, Theoretical; Population Density; Probability; Risk Assessment; Uncertainty",2011-08,2011,25,4,747-757,Closed,Article,"WILSON, HOWARD B.; KENDALL, BRUCE E.; POSSINGHAM, HUGH P.",,"WILSON, HOWARD B. (University of Queensland); KENDALL, BRUCE E. (University of Queensland); POSSINGHAM, HUGH P. (University of Queensland)",38,9,0.56,6.34,,https://app.dimensions.ai/details/publication/pub.1021052787,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
37,400,pub.1011862337,10.1111/j.1523-1739.2011.01670.x,21480993,,"Analyzing Variability and the Rate of Decline of Migratory Shorebirds in Moreton Bay, Australia",Conservation Biology,,"Animal Migration; Animals; Birds; Linear Models; Models, Theoretical; Population Dynamics; Queensland; Species Specificity",2011-08,2011,25,4,758-766,Closed,Article,"WILSON, HOWARD B.; KENDALL, BRUCE E.; FULLER, RICHARD A.; MILTON, DAVID A.; POSSINGHAM, HUGH P.",,"WILSON, HOWARD B. (University of Queensland); KENDALL, BRUCE E. (University of California, Santa Barbara); FULLER, RICHARD A. (University of Queensland); MILTON, DAVID A. (); POSSINGHAM, HUGH P. (University of Queensland)",51,11,0.44,8.51,,https://app.dimensions.ai/details/publication/pub.1011862337,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
38,400,pub.1058840941,10.1086/650724,20163244,,A stochastic model for annual reproductive success.,The American Naturalist,,"Animals; Clutch Size; Models, Biological; Population Dynamics; Reproduction; Sexual Behavior, Animal; Stochastic Processes",2010-04,2010,175,4,461-8,"All OA; Green, Published",Article,"Kendall, Bruce E; Wittmann, Marion E",,"Kendall, Bruce E (University of California, Santa Barbara); Wittmann, Marion E ()",26,8,0.81,,https://escholarship.org/content/qt39b938pf/qt39b938pf.pdf?t=lnrjh7,https://app.dimensions.ai/details/publication/pub.1058840941,06 Biological Sciences,06 Biological Sciences,,,,
39,400,pub.1006960171,10.1111/j.1461-0248.2009.01427.x,20455921,PMC2847191,Turbulent dispersal promotes species coexistence,Ecology Letters,,"Animals; Competitive Behavior; Ecosystem; Fishes; Models, Biological; Models, Statistical; Population Dynamics; Seawater; Water Movements",2010-03,2010,13,3,360-371,"All OA; Green, Published",Article,"Berkley, Heather A.; Kendall, Bruce E.; Mitarai, Satoshi; Siegel, David A.",,"Berkley, Heather A. (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara); Mitarai, Satoshi (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara)",48,13,1.01,5.64,http://europepmc.org/articles/pmc2847191?pdf=render,https://app.dimensions.ai/details/publication/pub.1006960171,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
40,100,pub.1033809087,10.1111/j.1755-263x.2009.00069.x,,,The diffusion approximation overestimates the extinction risk for count‐based PVA,Conservation Letters,,,2009-10,2009,2,5,216-225,All OA; Gold,Article,"Kendall, Bruce E.",,"Kendall, Bruce E. (University of Queensland; University of California, Santa Barbara)",3,0,,0.62,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1755-263X.2009.00069.x,https://app.dimensions.ai/details/publication/pub.1033809087,0104 Statistics; 01 Mathematical Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0104 Statistics,01 Mathematical Sciences,05 Environmental Sciences,0502 Environmental Science and Management,
41,100,pub.1022527077,10.1016/j.biocon.2008.12.009,,,Effects of community-level grassland management on the non-target rare annual Agalinis auriculata,Biological Conservation,,,2009-04,2009,142,4,798-805,Closed,Article,"Vitt, Pati; Havens, Kayri; Kendall, Bruce E.; Knight, Tiffany M.","Vitt, Pati","Vitt, Pati (Forest Preserves of Cook County); Havens, Kayri (Forest Preserves of Cook County); Kendall, Bruce E. (University of California, Santa Barbara); Knight, Tiffany M. (Washington University in St. Louis)",10,2,,1.09,,https://app.dimensions.ai/details/publication/pub.1022527077,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
42,400,pub.1019348087,10.1073/pnas.0802544105,18577590,PMC2449349,The stochastic nature of larval connectivity among nearshore marine populations,Proceedings of the National Academy of Sciences,,"Animals; Fishes; Invertebrates; Larva; Life Cycle Stages; Models, Biological; Oceans and Seas; Stochastic Processes; Time Factors",2008-07-01,2008,105,26,8974-8979,All OA; Gold,Article,"Siegel, D. A.; Mitarai, S.; Costello, C. J.; Gaines, S. D.; Kendall, B. E.; Warner, R. R.; Winters, K. B.",,"Siegel, D. A. (); Mitarai, S. (University of California, Santa Barbara); Costello, C. J. (University of California, Santa Barbara); Gaines, S. D. (); Kendall, B. E. (University of California, Santa Barbara); Warner, R. R. (); Winters, K. B. (Scripps Institution of Oceanography)",236,37,3.97,20.35,http://www.pnas.org/content/105/26/8974.full.pdf,https://app.dimensions.ai/details/publication/pub.1019348087,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
43,400,pub.1008051564,10.1111/j.1523-1739.2008.00896.x,18325043,,Striking a Balance between Biodiversity Conservation and Socioeconomic Viability in the Design of Marine Protected Areas,Conservation Biology,,Biodiversity; Conservation of Natural Resources; Fisheries; Oceans and Seas; Socioeconomic Factors,2008-06,2008,22,3,691-700,All OA; Gold,Article,"KLEIN, C. J.; CHAN, A.; KIRCHER, L.; CUNDIFF, A. J.; GARDNER, N.; HROVAT, Y.; SCHOLZ, A.; KENDALL, B. E.; AIRAMÉ, S.",,"KLEIN, C. J. (University of Queensland; University of California, Santa Barbara); CHAN, A. (University of California, Santa Barbara); KIRCHER, L. (University of Queensland; University of California, Santa Barbara); CUNDIFF, A. J. (US Forest Service; University of California, Santa Barbara); GARDNER, N. (University of California, Santa Barbara); HROVAT, Y. (University of California, Santa Barbara); SCHOLZ, A. (Ecotrust); KENDALL, B. E. (University of California, Santa Barbara); AIRAMÉ, S. (University of California, Santa Barbara)",184,36,1.61,19.85,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1523-1739.2008.00896.x,https://app.dimensions.ai/details/publication/pub.1008051564,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
44,400,pub.1050099283,10.1111/j.1461-0248.2007.01151.x,18205836,PMC2268951,Marine reserve effects on fishery profit,Ecology Letters,,"Animals; Conservation of Natural Resources; Fisheries; Models, Biological",2008-04,2008,11,4,370-379,All OA; Gold,Article,"White, Crow; Kendall, Bruce E.; Gaines, Steven; Siegel, David A.; Costello, Christopher",,"White, Crow (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara); Gaines, Steven (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",75,10,0.67,6.47,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1461-0248.2007.01151.x,https://app.dimensions.ai/details/publication/pub.1050099283,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
45,400,pub.1026608605,10.1890/07-0774.1,18376542,,LONGEVITY CAN BUFFER PLANT AND ANIMAL POPULATIONS AGAINST CHANGING CLIMATIC VARIABILITY,Ecology,,"Adaptation, Biological; Animals; Climate; Conservation of Natural Resources; Ecosystem; Plant Development; Population Dynamics; Population Growth; Stochastic Processes",2008-01,2008,89,1,19-25,"All OA; Green, Accepted & Submitted",Article,"Morris, William F.; Pfister, Catherine A.; Tuljapurkar, Shripad; Haridas, Chirrakal V.; Boggs, Carol L.; Boyce, Mark S.; Bruna, Emilio M.; Church, Don R.; Coulson, Tim; Doak, Daniel F.; Forsyth, Stacey; Gaillard, Jean-Michel; Horvitz, Carol C.; Kalisz, Susan; Kendall, Bruce E.; Knight, Tiffany M.; Lee, Charlotte T.; Menges, Eric S.",,"Morris, William F. (); Pfister, Catherine A. (); Tuljapurkar, Shripad (Stanford University); Haridas, Chirrakal V. (Stanford University); Boggs, Carol L. (Stanford University); Boyce, Mark S. (University of Alberta); Bruna, Emilio M. (University of Florida); Church, Don R. (University of Virginia); Coulson, Tim (); Doak, Daniel F. (University of California, Santa Cruz); Forsyth, Stacey (University of Arizona); Gaillard, Jean-Michel (Biometry and Evolutionary Biology Laboratory); Horvitz, Carol C. (University of Miami); Kalisz, Susan (University of Pittsburgh); Kendall, Bruce E. (University of California, Santa Barbara); Knight, Tiffany M. (); Lee, Charlotte T. (Stanford University); Menges, Eric S. (Archbold Biological Station)",255,51,4.5,27.47,https://escholarship.org/content/qt6837k4gc/qt6837k4gc.pdf?t=lnq5xb,https://app.dimensions.ai/details/publication/pub.1026608605,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
46,100,pub.1038241058,10.1111/j.2007.0030-1299.16167.x,,,A reassessment of equivalence in yield from marine reserves and traditional fisheries managament,Oikos,,,2007-12,2007,116,12,2039-2043,Closed,Article,"White, Crow; Kendall, Bruce E.",,"White, Crow (); Kendall, Bruce E. (University of California, Santa Barbara)",29,5,,2.42,,https://app.dimensions.ai/details/publication/pub.1038241058,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
47,400,pub.1008201526,10.1111/j.1461-0248.2006.00949.x,16925649,,Plant–soil feedbacks and invasive spread,Ecology Letters,,"Models, Theoretical; Plant Development; Population Dynamics; Soil Microbiology",2006-09,2006,9,9,1005-1014,Closed,Article,"Levine, Jonathan M.; Pachepsky, Elizaveta; Kendall, Bruce E.; Yelenik, Stephanie G.; Lambers, Janneke Hille Ris",,"Levine, Jonathan M. (University of California, Santa Barbara); Pachepsky, Elizaveta (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara); Yelenik, Stephanie G. (University of California, Santa Barbara); Lambers, Janneke Hille Ris (University of California, Santa Barbara)",121,13,1.3,11.03,,https://app.dimensions.ai/details/publication/pub.1008201526,0602 Ecology; 0503 Soil Sciences; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0503 Soil Sciences,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
48,400,pub.1000780048,10.1111/j.1365-2656.2006.01110.x,17009755,,Consequences of heterogeneity in survival probability in a population of Florida scrub‐jays,Journal of Animal Ecology,,Aging; Animals; Longevity; Passeriformes; Population Dynamics; Proportional Hazards Models; Sex Characteristics; Survival Rate,2006-07,2006,75,4,921-927,All OA; Gold,Article,"FOX, GORDON A.; KENDALL, BRUCE E.; FITZPATRICK, JOHN W.; WOOLFENDEN, GLEN E.",,"FOX, GORDON A. (); KENDALL, BRUCE E. (); FITZPATRICK, JOHN W. (Cornell University); WOOLFENDEN, GLEN E. (Archbold Biological Station)",40,10,0.83,,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2656.2006.01110.x,https://app.dimensions.ai/details/publication/pub.1000780048,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
49,400,pub.1009029587,10.1098/rspb.2005.3357,16537125,PMC1560056,Estimating individual contributions to population growth: evolutionary fitness in ecological time,Proceedings of The Royal Society B Biological Sciences,,"Animal Population Groups; Animals; Female; Genetics, Population; Male; Models, Biological; Population Dynamics; Population Growth; Quantitative Trait, Heritable; Reproduction; Sheep",2006-03-07,2006,273,1586,547-555,"All OA; Green, Published",Article,"Coulson, T; Benton, T.G; Lundberg, P; Dall, S.R.X; Kendall, B.E; Gaillard, J.-M",,"Coulson, T (Imperial College London); Benton, T.G (University of Leeds); Lundberg, P (Lund University); Dall, S.R.X (University of Exeter); Kendall, B.E (University of California, Santa Barbara); Gaillard, J.-M ()",134,15,2.98,13.89,http://europepmc.org/articles/pmc1560056?pdf=render,https://app.dimensions.ai/details/publication/pub.1009029587,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
50,400,pub.1058716659,10.1086/430642,15937784,,Correctly estimating how environmental stochasticity influences fitness and population growth.,The American Naturalist,,"Animals; Environment; Models, Biological; Population Growth; Selection, Genetic; Stochastic Processes; Turtles",2005-07,2005,166,1,e14-21,"All OA; Green, Published",Article,"Doak, Daniel F; Morris, William F; Pfister, Cathy; Kendall, Bruce E; Bruna, Emilio M",,"Doak, Daniel F (University of California, Santa Cruz); Morris, William F (); Pfister, Cathy (); Kendall, Bruce E (); Bruna, Emilio M ()",103,33,1.5,6.64,https://escholarship.org/content/qt07f27653/qt07f27653.pdf?t=lnq5xj,https://app.dimensions.ai/details/publication/pub.1058716659,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
51,100,pub.1008463909,10.1890/04-1351,,,ANALYSIS OF SIZE TRAJECTORY DATA USING AN ENERGETIC‐BASED GROWTH MODEL,Ecology,,,2005-06,2005,86,6,1441-1451,"All OA; Green, Accepted & Submitted",Article,"Fujiwara, Masami; Kendall, Bruce E.; Nisbet, Roger M.; Bennett, William A.",,"Fujiwara, Masami (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara); Bennett, William A. (University of California, Davis)",17,2,,1.72,https://escholarship.org/content/qt10q216sk/qt10q216sk.pdf?t=lnq0sv,https://app.dimensions.ai/details/publication/pub.1008463909,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
52,100,pub.1030987112,10.1890/03-4056,,,POPULATION CYCLES IN THE PINE LOOPER MOTH: DYNAMICAL TESTS OF MECHANISTIC HYPOTHESES,Ecological Monographs,,,2005-05,2005,75,2,259-276,"All OA; Green, Accepted & Submitted",Article,"Kendall, Bruce E.; Ellner, Stephen P.; McCauley, Edward; Wood, Simon N.; Briggs, Cheryl J.; Murdoch, William W.; Turchin, Peter",,"Kendall, Bruce E. (University of California, Santa Barbara; Cornell University); Ellner, Stephen P. (Cornell University); McCauley, Edward (University of Calgary); Wood, Simon N. (); Briggs, Cheryl J. (University of California, Berkeley); Murdoch, William W. (University of California, Santa Barbara); Turchin, Peter (University of Connecticut)",40,2,,2.93,https://escholarship.org/content/qt2tq9h5tq/qt2tq9h5tq.pdf?t=lnonlj,https://app.dimensions.ai/details/publication/pub.1030987112,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
53,100,pub.1048981148,10.1023/b:vege.0000026332.57007.7b,,,Distribution of plants in a California serpentine grassland: are rocky hummocks spatial refuges for native species?,Plant Ecology,,,2004-06,2004,172,2,159-171,Closed,Article,"Gram, Wendy K.; Borer, Elizabeth T.; Cottingham, Kathryn L.; Seabloom, Eric W.; Boucher, Virginia L.; Goldwasser, Lloyd; Micheli, Fiorenza; Kendall, Bruce E.; Burton, Rebecca S.","Gram, Wendy K.","Gram, Wendy K. (University of California, Santa Barbara); Borer, Elizabeth T. (University of California, Santa Barbara); Cottingham, Kathryn L. (University of California, Santa Barbara); Seabloom, Eric W. (University of California, Santa Barbara); Boucher, Virginia L. (University of California, Santa Barbara); Goldwasser, Lloyd (University of California, Santa Barbara); Micheli, Fiorenza (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara); Burton, Rebecca S. (University of California, Santa Barbara)",32,6,,2.29,,https://app.dimensions.ai/details/publication/pub.1048981148,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
54,100,pub.1039825335,10.1016/j.reseneeco.2003.11.003,,,An introduction to biodiversity concepts for environmental economists,Resource and Energy Economics,,,2004-06,2004,26,2,115-136,Closed,Article,"Armsworth, Paul R; Kendall, Bruce E; Davis, Frank W","Armsworth, Paul R","Armsworth, Paul R (Stanford University); Kendall, Bruce E (University of California, Santa Barbara); Davis, Frank W (University of California, Santa Barbara)",42,7,,8.11,,https://app.dimensions.ai/details/publication/pub.1039825335,"1505 Marketing; 14 Economics; 15 Commerce, Management, Tourism and Services; 1403 Econometrics; 1402 Applied Economics",1505 Marketing,14 Economics,"15 Commerce, Management, Tourism and Services",1403 Econometrics,1402 Applied Economics
55,100,pub.1033341629,10.1046/j.1461-0248.2003.00556.x,,,Growth autocorrelation and animal size variation,Ecology Letters,,,2004-02,2004,7,2,106-113,Closed,Article,"Fujiwara, Masami; Kendall, Bruce E.; Nisbet, Roger M.",,"Fujiwara, Masami (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara)",34,3,,2.01,,https://app.dimensions.ai/details/publication/pub.1033341629,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
56,200,pub.1025883947,10.1046/j.1523-1739.2003.02411.x,,,Unstructured Individual Variation and Demographic Stochasticity,Conservation Biology,,,2003-08,2003,17,4,1170-1172,"All OA; Green, Accepted & Submitted",Article,"Kendall, Bruce E.; Fox, Gordon A.",,"Kendall, Bruce E. (University of California, Santa Barbara); Fox, Gordon A. (University of South Florida)",40,3,,,https://escholarship.org/content/qt8m35n1hz/qt8m35n1hz.pdf?t=neu2q9,https://app.dimensions.ai/details/publication/pub.1025883947,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
57,100,pub.1053629200,10.1890/1051-0761(2003)013[0575:csldar]2.0.co;2,,,"COMPETITION, SEED LIMITATION, DISTURBANCE, AND REESTABLISHMENT OF CALIFORNIA NATIVE ANNUAL FORBS",Ecological Applications,,,2003-06,2003,13,3,575-592,"All OA; Green, Accepted & Submitted",Article,"Seabloom, Eric W.; Borer, Elizabeth T.; Boucher, Virginia L.; Burton, Rebecca S.; Cottingham, Kathryn L.; Goldwasser, Lloyd; Gram, Wendy K.; Kendall, Bruce E.; Micheli, Fiorenza",,"Seabloom, Eric W. (University of California, Santa Barbara); Borer, Elizabeth T. (University of California, Santa Barbara); Boucher, Virginia L. (University of California, Santa Barbara); Burton, Rebecca S. (University of California, Santa Barbara); Cottingham, Kathryn L. (University of California, Santa Barbara); Goldwasser, Lloyd (University of California, Santa Barbara); Gram, Wendy K. (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara); Micheli, Fiorenza (University of California, Santa Barbara)",146,16,,14.18,https://escholarship.org/content/qt4d9394fz/qt4d9394fz.pdf?t=lnrk3j,https://app.dimensions.ai/details/publication/pub.1053629200,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
58,200,pub.1010682790,10.1046/j.1461-0248.2003.00461.x,,,Reply,Ecology Letters,,,2003-05,2003,6,5,384-387,Closed,Article,"Murdoch, W. W.; Briggs, C. J.; Nisbet, R. M.; Kendall, B. E.; McCauley, E.",,"Murdoch, W. W. (University of California, Santa Barbara); Briggs, C. J. (University of California, Berkeley); Nisbet, R. M. (University of California, Santa Barbara); Kendall, B. E. (University of California, Santa Barbara); McCauley, E. ()",2,0,,0.22,,https://app.dimensions.ai/details/publication/pub.1010682790,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
59,100,pub.1007374673,10.1890/0012-9658(2003)084[1207:deopqa]2.0.co;2,,,DYNAMICAL EFFECTS OF PLANT QUALITY AND PARASITISM ON POPULATION CYCLES OF LARCH BUDMOTH,Ecology,,,2003-05,2003,84,5,1207-1214,"All OA; Green, Accepted & Submitted",Article,"Turchin, Peter; Wood, Simon N.; Ellner, Stephen P.; Kendall, Bruce E.; Murdoch, William W.; Fischlin, Andreas; Casas, Jêrome; McCauley, Edward; Briggs, Cheryl J.",,"Turchin, Peter (University of Connecticut); Wood, Simon N. (University of Oxford); Ellner, Stephen P. (Cornell University); Kendall, Bruce E. (University of California, Santa Barbara); Murdoch, William W. (University of California, Santa Barbara); Fischlin, Andreas (); Casas, Jêrome (François Rabelais University); McCauley, Edward (University of Calgary); Briggs, Cheryl J. (University of California, Berkeley)",99,8,,11.12,https://escholarship.org/content/qt3q39z2cn/qt3q39z2cn.pdf?t=lnrjbr,https://app.dimensions.ai/details/publication/pub.1007374673,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
