,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Russell J Schmitt. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
26,400,pub.1012114928,10.1098/rspb.2012.1862,23015631,PMC3479736,Fluctuations in food supply drive recruitment variation in a marine fish,Proceedings of The Royal Society B Biological Sciences,,"Animals; Food Chain; Models, Theoretical; Perciformes; Population Density; Population Dynamics; Reproduction; Time Factors",2012-11-22,2012,279,1747,4542-4550,All OA; Gold,Article,"Okamoto, Daniel K.; Schmitt, Russell J.; Holbrook, Sally J.; Reed, Daniel C.",,"Okamoto, Daniel K. (University of California System); Schmitt, Russell J. (University of California System); Holbrook, Sally J. (University of California System); Reed, Daniel C. (University of California System)",14,7,0.2,1.68,http://rspb.royalsocietypublishing.org/content/279/1747/4542.full.pdf,https://app.dimensions.ai/details/publication/pub.1012114928,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
27,400,pub.1019699875,10.1371/journal.pone.0044953,23028700,PMC3441696,Full-Sibs in Cohorts of Newly Settled Coral Reef Fishes,PLoS ONE,,"Animals; Behavior, Animal; Cohort Studies; Coral Reefs; DNA, Mitochondrial; Evolution, Molecular; Female; Genetic Loci; Male; Microsatellite Repeats; Perciformes; Phylogeny; Sea Anemones; Time Factors",2012-09-13,2012,7,9,e44953,All OA; Gold,Article,"Bernardi, Giacomo; Beldade, Ricardo; Holbrook, Sally J.; Schmitt, Russell J.",,"Bernardi, Giacomo (University of California, Santa Cruz); Beldade, Ricardo (University of California, Santa Cruz; University of Lisbon); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara)",40,8,1.48,4.96,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0044953&type=printable,https://app.dimensions.ai/details/publication/pub.1019699875,0602 Ecology; 0502 Environmental Science and Management; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0604 Genetics,05 Environmental Sciences,06 Biological Sciences
28,400,pub.1010285004,10.1098/rspb.2011.2433,22279163,PMC3321707,Larger female fish contribute disproportionately more to self-replenishment,Proceedings of The Royal Society B Biological Sciences,,Age Factors; Animals; Body Size; Coral Reefs; Female; Fertility; Male; Perciformes; Polynesia; Population Density,2012-06-07,2012,279,1736,2116-2121,"All OA; Green, Published",Article,"Beldade, R.; Holbrook, S. J.; Schmitt, R. J.; Planes, S.; Malone, D.; Bernardi, G.",,"Beldade, R. (University of California, Santa Cruz; University of Lisbon); Holbrook, S. J. (University of California, Santa Barbara); Schmitt, R. J. (University of California, Santa Barbara); Planes, S. (); Malone, D. (University of California, Santa Cruz); Bernardi, G. (University of California, Santa Cruz)",51,11,1.27,6.11,http://europepmc.org/articles/pmc3321707?pdf=render,https://app.dimensions.ai/details/publication/pub.1010285004,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
29,400,pub.1017492169,10.1890/11-0037.1,22352168,,Habitat biodiversity as a determinant of fish community structure on coral reefs,Ecology,,Animals; Biodiversity; Coral Reefs; Fishes; Papua New Guinea; Queensland,2011-12,2011,92,12,2285-2298,Closed,Article,"Messmer, Vanessa; Jones, Geoffrey P.; Munday, Philip L.; Holbrook, Sally J.; Schmitt, Russell J.; Brooks, Andrew J.",,"Messmer, Vanessa (James Cook University; Centre de Recherches Insulaires et Observatoire de l'Environnement); Jones, Geoffrey P. (James Cook University); Munday, Philip L. (James Cook University); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara)",78,22,0.66,10.3,,https://app.dimensions.ai/details/publication/pub.1017492169,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
30,100,pub.1029609752,10.1890/es11-00216.1,,,Analysis of abrupt transitions in ecological systems,Ecosphere,,,2011-12,2011,2,12,1-26,All OA; Gold,Article,"Bestelmeyer, Brandon T.; Ellison, Aaron M.; Fraser, William R.; Gorman, Kristen B.; Holbrook, Sally J.; Laney, Christine M.; Ohman, Mark D.; Peters, Debra P. C.; Pillsbury, Finn C.; Rassweiler, Andrew; Schmitt, Russell J.; Sharma, Sapna",,"Bestelmeyer, Brandon T. (New Mexico State University); Ellison, Aaron M. (Harvard University); Fraser, William R. (); Gorman, Kristen B. (Simon Fraser University); Holbrook, Sally J. (University of California, Santa Barbara); Laney, Christine M. (The University of Texas at El Paso); Ohman, Mark D. (Scripps Institution of Oceanography); Peters, Debra P. C. (New Mexico State University); Pillsbury, Finn C. (New Mexico State University); Rassweiler, Andrew (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Sharma, Sapna (University of Wisconsin–Madison)",134,46,,17.69,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES11-00216.1,https://app.dimensions.ai/details/publication/pub.1029609752,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
31,400,pub.1047088749,10.1890/11-0108.1,22073787,,"Influence of corallivory, competition, and habitat structure on coral community shifts",Ecology,,Animals; Anthozoa; Coral Reefs; Environmental Monitoring; Feeding Behavior; Fishes; Gastropoda; Population Dynamics,2011-10,2011,92,10,1959-1971,Closed,Article,"Lenihan, Hunter S.; Holbrook, Sally J.; Schmitt, Russell J.; Brooks, Andrew J.",,"Lenihan, Hunter S. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara)",27,11,0.35,3.56,,https://app.dimensions.ai/details/publication/pub.1047088749,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
32,400,pub.1045731824,10.1371/journal.pone.0023717,21901131,PMC3162008,"Herbivory, Connectivity, and Ecosystem Resilience: Response of a Coral Reef to a Large-Scale Perturbation",PLoS ONE,,Animals; Coral Reefs; Ecosystem; Herbivory; Seaweed,2011-08-25,2011,6,8,e23717,All OA; Gold,Article,"Adam, Thomas C.; Schmitt, Russell J.; Holbrook, Sally J.; Brooks, Andrew J.; Edmunds, Peter J.; Carpenter, Robert C.; Bernardi, Giacomo",,"Adam, Thomas C. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Edmunds, Peter J. (California State University, Northridge); Carpenter, Robert C. (California State University, Northridge); Bernardi, Giacomo (University of California, Santa Cruz)",131,45,2.03,16.46,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0023717&type=printable,https://app.dimensions.ai/details/publication/pub.1045731824,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
33,100,pub.1013042577,10.1111/j.1365-2486.2011.02409.x,,,Climate‐driven increases in storm frequency simplify kelp forest food webs,Global Change Biology,,,2011-08,2011,17,8,2513-2524,"All OA; Green, Accepted & Submitted",Article,"BYRNES, JARRETT E.; REED, DANIEL C.; CARDINALE, BRADLEY J.; CAVANAUGH, KYLE C.; HOLBROOK, SALLY J.; SCHMITT, RUSSELL J.",,"BYRNES, JARRETT E. (University of California, Santa Barbara); REED, DANIEL C. (University of California, Santa Barbara); CARDINALE, BRADLEY J. (University of Michigan); CAVANAUGH, KYLE C. (University of California, Santa Barbara); HOLBROOK, SALLY J. (University of California, Santa Barbara); SCHMITT, RUSSELL J. (University of California, Santa Barbara)",90,29,,9.85,https://deepblue.lib.umich.edu/bitstream/2027.42/86837/1/j.1365-2486.2011.02409.x.pdf,https://app.dimensions.ai/details/publication/pub.1013042577,0501 Ecological Applications; 05 Environmental Sciences; 0602 Ecology; 06 Biological Sciences,0501 Ecological Applications,05 Environmental Sciences,0602 Ecology,06 Biological Sciences,
34,100,pub.1002283661,10.1007/s10641-011-9802-6,,,Fish communities on staghorn coral: effects of habitat characteristics and resident farmerfishes,Environmental Biology of Fishes,,,2011-08,2011,91,4,429-448,Closed,Article,"Johnson, Michele K.; Holbrook, Sally J.; Schmitt, Russell J.; Brooks, Andrew J.","Holbrook, Sally J.","Johnson, Michele K. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara)",19,4,,2,,https://app.dimensions.ai/details/publication/pub.1002283661,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
35,400,pub.1014056056,10.1007/s00442-011-1912-5,21274572,PMC3114069,Indirect effects of species interactions on habitat provisioning,Oecologia,,Animals; Anthozoa; Ecosystem; Feeding Behavior; Food Chain; Perciformes; Polynesia; Population Dynamics; Species Specificity; Symbiosis,2011-07,2011,166,3,739-749,All OA; Gold,Article,"Holbrook, Sally J.; Schmitt, Russell J.; Brooks, Andrew J.",,"Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara)",19,5,0.32,2,https://link.springer.com/content/pdf/10.1007%2Fs00442-011-1912-5.pdf,https://app.dimensions.ai/details/publication/pub.1014056056,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
36,400,pub.1034503364,10.1007/s00442-010-1666-5,20526781,PMC2939340,Triggers and maintenance of multiple shifts in the state of a natural community,Oecologia,,Animals; California; Ecosystem; Food Chain; Oceans and Seas; Population Density; Population Dynamics; Predatory Behavior; Sea Cucumbers; Seaweed; Water Movements,2010-10,2010,164,2,489-498,All OA; Gold,Article,"Rassweiler, Andrew; Schmitt, Russell J.; Holbrook, Sally J.","Rassweiler, Andrew","Rassweiler, Andrew (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara)",15,4,0.14,1.4,https://link.springer.com/content/pdf/10.1007%2Fs00442-010-1666-5.pdf,https://app.dimensions.ai/details/publication/pub.1034503364,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
37,400,pub.1031413544,10.1111/j.1558-5646.2009.00917.x,20002167,,"ALLOPATRIC DIVERGENCE AND SPECIATION IN CORAL REEF FISH: THE THREE‐SPOT DASCYLLUS, DASCYLLUS TRIMACULATUS, SPECIES COMPLEX",Evolution,,"Animals; Anthozoa; DNA, Mitochondrial; Fishes; Genetic Variation; Phylogeny; Species Specificity",2010-01,2010,64,5,1218-1230,All OA; Gold,Article,"Leray, Matthieu; Beldade, Ricardo; Holbrook, Sally J.; Schmitt, Russell J.; Planes, Serge; Bernardi, Giacomo",,"Leray, Matthieu (University of California, Santa Cruz; University of Perpignan); Beldade, Ricardo (University of California, Santa Cruz); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Planes, Serge (University of Perpignan); Bernardi, Giacomo (University of California, Santa Cruz)",57,9,1.28,4.93,http://onlinelibrary.wiley.com/doi/10.1111/j.1558-5646.2009.00917.x/pdf,https://app.dimensions.ai/details/publication/pub.1031413544,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
38,400,pub.1013445789,10.1007/s10646-009-0384-4,19629682,PMC2797407,Sublethal toxicant effects with dynamic energy budget theory: application to mussel outplants,Ecotoxicology,,"Animals; Bivalvia; Body Size; California; Energy Metabolism; Gonads; Models, Biological; Reproduction; Species Specificity; Water Pollutants, Chemical",2010-01,2010,19,1,38-47,All OA; Gold,Article,"Muller, Erik B.; Osenberg, Craig W.; Schmitt, Russell J.; Holbrook, Sally J.; Nisbet, Roger M.",,"Muller, Erik B. (University of California, Santa Barbara); Osenberg, Craig W. (University of Florida); Schmitt, Russell J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara)",16,4,0.66,1.5,https://link.springer.com/content/pdf/10.1007%2Fs10646-009-0384-4.pdf,https://app.dimensions.ai/details/publication/pub.1013445789,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
39,100,pub.1093940152,10.1109/issnip.2009.5416773,,,Digital Moorea Cyberinfrastructure for Coral Reef Monitoring,,"2009 International Conference on Intelligent Sensors, Sensor Networks and Information Processing (ISSNIP)",,2009-12,2009,,,243-248,"All OA; Green, Accepted & Submitted",Proceeding,"Fountain, Tony; Tilak, Sameer; Shin, Peter; Holbrook, Sally; Schmitt, Russell J.; Brooks, Andrew; Washburn, Libe; Salazar, David",,"Fountain, Tony (University of California, San Diego); Tilak, Sameer (University of California, San Diego); Shin, Peter (University of California, San Diego); Holbrook, Sally (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Brooks, Andrew (University of California, Santa Barbara); Washburn, Libe (University of California, San Diego); Salazar, David (University of California, San Diego)",3,0,,0.33,https://zenodo.org/record/1274598/files/article.pdf,https://app.dimensions.ai/details/publication/pub.1093940152,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
40,100,pub.1019904595,10.1007/s12686-009-9077-9,,,"Isolation and characterization of eight polymorphic microsatellite markers from the orange-fin anemonefish, Amphiprion chrysopterus",Conservation Genetics Resources,,,2009-12,2009,1,1,333,All OA; Gold,Article,"Beldade, Ricardo; Holbrook, Sally J.; Schmitt, Russell J.; Planes, Serge; Bernardi, Giacomo","Beldade, Ricardo","Beldade, Ricardo (University of California, Santa Cruz); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Planes, Serge (University of Perpignan); Bernardi, Giacomo (University of California, Santa Cruz)",12,1,,0.92,https://link.springer.com/content/pdf/10.1007%2Fs12686-009-9077-9.pdf,https://app.dimensions.ai/details/publication/pub.1019904595,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
41,400,pub.1004612906,10.1890/08-1225.1,19769122,,Intraguild predation in a structured habitat: distinguishing multiple‐predator effects from competitor effects,Ecology,,Animals; Brachyura; Ecosystem; Fishes; Oceans and Seas; Polynesia; Predatory Behavior,2009-09,2009,90,9,2434-2443,All OA; Gold,Article,"Schmitt, Russell J.; Holbrook, Sally J.; Brooks, Andrew J.; Lape, Jennifer C. P.",,"Schmitt, Russell J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Lape, Jennifer C. P. (University of California, Santa Barbara)",20,1,0.3,2.18,http://onlinelibrary.wiley.com/doi/10.1890/08-1225.1/pdf,https://app.dimensions.ai/details/publication/pub.1004612906,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
42,400,pub.1051990480,10.1111/j.1755-0998.2008.02380.x,21564606,,"Isolation and characterization of 13 polymorphic nuclear microsatellite primers for the widespread Indo‐Pacific three‐spot damselfish, Dascyllus trimaculatus, and closely related D. auripinnis",Molecular Ecology Resources,,,2009-01,2009,9,1,213-215,Closed,Article,"LERAY, MATTHIEU; BELDADE, RICARDO; HOLBROOK, SALLY J.; SCHMITT, RUSSELL J.; PLANES, SERGE; BERNARDI, GIACOMO",,"LERAY, MATTHIEU (University of California, Santa Cruz; University of Perpignan); BELDADE, RICARDO (University of California, Santa Cruz); HOLBROOK, SALLY J. (University of California, Santa Barbara); SCHMITT, RUSSELL J. (University of California, Santa Barbara); PLANES, SERGE (University of Perpignan); BERNARDI, GIACOMO (University of California, Santa Cruz)",4,1,0.11,0.4,,https://app.dimensions.ai/details/publication/pub.1051990480,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
43,100,pub.1006054991,10.1007/s10641-008-9377-z,,,The role of microhabitat preference and social organization in determining the spatial distribution of a coral reef fish,Environmental Biology of Fishes,,,2009-01,2009,84,1,1-10,Closed,Article,"Kane, Corinne N.; Brooks, Andrew J.; Holbrook, Sally J.; Schmitt, Russell J.","Brooks, Andrew J.","Kane, Corinne N. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara)",24,4,,2.12,,https://app.dimensions.ai/details/publication/pub.1006054991,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
44,100,pub.1016308698,10.1007/s00227-008-1051-7,,,Effects of sheltering fish on growth of their host corals,Marine Biology,,,2008-10,2008,155,5,521-530,Closed,Article,"Holbrook, Sally J.; Brooks, Andrew J.; Schmitt, Russell J.; Stewart, Hannah L.","Holbrook, Sally J.","Holbrook, Sally J. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Stewart, Hannah L. (University of California, Santa Barbara)",58,16,,5,,https://app.dimensions.ai/details/publication/pub.1016308698,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
45,400,pub.1038322658,10.1890/06-0970,17536410,,THE SCALE AND CAUSE OF SPATIAL HETEROGENEITY IN STRENGTH OF TEMPORAL DENSITY DEPENDENCE,Ecology,,Animals; Anthozoa; Ecosystem; Food Chain; Perciformes; Population Density; Population Dynamics; Predatory Behavior; Spatial Behavior; Species Specificity,2007-05,2007,88,5,1241-1249,Closed,Article,"Schmitt, Russell J.; Holbrook, Sally J.",,"Schmitt, Russell J. (); Holbrook, Sally J. ()",34,6,0.57,2.84,,https://app.dimensions.ai/details/publication/pub.1038322658,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
46,400,pub.1034565193,10.1111/j.1365-2656.2006.01145.x,17032356,,Dynamics of mutualist populations that are demographically open,Journal of Animal Ecology,,"Animal Migration; Animals; Decapoda (Crustacea); Ecosystem; Fishes; Models, Biological; Population Dynamics; Reproduction; Symbiosis",2006-11,2006,75,6,1239-1251,All OA; Gold,Article,"THOMPSON, ANDREW R.; NISBET, ROGER M.; SCHMITT, RUSSELL J.",,"THOMPSON, ANDREW R. (University of California, Santa Barbara); NISBET, ROGER M. (University of California, Santa Barbara); SCHMITT, RUSSELL J. (University of California, Santa Barbara)",30,8,0.27,2.89,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2656.2006.01145.x,https://app.dimensions.ai/details/publication/pub.1034565193,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
47,100,pub.1013897733,10.1007/s00338-006-0132-7,,,Symbiotic crabs maintain coral health by clearing sediments,Coral Reefs,,,2006-11,2006,25,4,609-615,Closed,Article,"Stewart, Hannah L.; Holbrook, Sally J.; Schmitt, Russell J.; Brooks, Andrew J.","Stewart, Hannah L.","Stewart, Hannah L. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara)",62,9,,5.58,,https://app.dimensions.ai/details/publication/pub.1013897733,0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,,
48,100,pub.1009406897,10.1007/s00338-004-0432-8,,,"Growth, reproduction and survival of a tropical sea anemone (Actiniaria): benefits of hosting anemonefish",Coral Reefs,,,2005-03,2005,24,1,67-73,Closed,Article,"Holbrook, S. J.; Schmitt, R. J.","Holbrook, S. J.","Holbrook, S. J. (University of California, Santa Barbara); Schmitt, R. J. (University of California, Santa Barbara)",61,7,,4.47,,https://app.dimensions.ai/details/publication/pub.1009406897,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
49,100,pub.1009653946,10.1890/03-0406,,,POPULATION DYNAMICS OF A DAMSELFISH: EFFECTS OF A COMPETITOR THAT ALSO IS AN INDIRECT MUTUALIST,Ecology,,,2004-04,2004,85,4,979-985,Closed,Article,"Holbrook, Sally J.; Schmitt, Russell J.",,"Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara)",25,0,,1.79,,https://app.dimensions.ai/details/publication/pub.1009653946,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
50,100,pub.1043669468,10.1046/j.1461-0248.2003.00514.x,,,Mutualism can mediate competition and promote coexistence,Ecology Letters,,,2003-10,2003,6,10,898-902,Closed,Article,"Schmitt, Russell J.; Holbrook, Sally J.",,"Schmitt, Russell J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara)",58,8,,4.26,,https://app.dimensions.ai/details/publication/pub.1043669468,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
51,100,pub.1013230333,10.1007/s00227-003-1091-y,,,Genetic evidence for two distinct clades in a French Polynesian population of the coral reef three-spot damselfish Dascyllus trimaculatus,Marine Biology,,,2003-09,2003,143,3,485-490,Closed,Article,"Bernardi, G.; Holbrook, S. J.; Schmitt, R. J.; Crane, N. L.","Bernardi, G.","Bernardi, G. (University of California, Santa Cruz); Holbrook, S. J. (University of California, Santa Barbara); Schmitt, R. J. (University of California, Santa Barbara); Crane, N. L. (Monterey Peninsula College)",13,0,,0.74,,https://app.dimensions.ai/details/publication/pub.1013230333,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
52,400,pub.1022524579,10.1007/s00442-003-1220-9,16228252,,"Spatial and temporal variation in mortality of newly settled damselfish: patterns, causes and co-variation with settlement",Oecologia,,Analysis of Variance; Animals; Anthozoa; Food Chain; Mortality; Perciformes; Polynesia; Population Density; Population Dynamics; Principal Component Analysis; Spatial Behavior; Species Specificity,2003-05,2003,135,4,532-541,Closed,Article,"Holbrook, Sally J.; Schmitt, Russell J.","Holbrook, Sally J.","Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara)",35,3,0.46,2.57,,https://app.dimensions.ai/details/publication/pub.1022524579,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
53,100,pub.1010228714,10.1046/j.1461-0248.2002.00377.x,,,Rethinking ecological inference: density dependence in reef fishes,Ecology Letters,,,2002-11,2002,5,6,715-721,Closed,Article,"Osenberg, Craig W.; St. Mary, Colette M.; Schmitt, Russell J.; Holbrook, Sally J.; Chesson, Peter; Byrne, Barbara",,"Osenberg, Craig W. (University of Florida); St. Mary, Colette M. (University of Florida); Schmitt, Russell J. (University of Florida); Holbrook, Sally J. (University of Florida); Chesson, Peter (University of California, Davis); Byrne, Barbara (University of California, Davis)",67,5,,5.96,,https://app.dimensions.ai/details/publication/pub.1010228714,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
54,100,pub.1011656901,10.1890/0012-9658(2002)083[2855:cfsscd]2.0.co;2,,,COMPETITION FOR SHELTER SPACE CAUSES DENSITY‐DEPENDENT PREDATION MORTALITY IN DAMSELFISHES,Ecology,,,2002-10,2002,83,10,2855-2868,Closed,Article,"Holbrook, Sally J.; Schmitt, Russell J.",,"Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara)",255,27,,18.58,,https://app.dimensions.ai/details/publication/pub.1011656901,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
55,400,pub.1014107378,10.1007/s00442-002-0893-9,28547711,,Spatial variation in concurrent settlement of three damselfishes: relationships with near-field current flow,Oecologia,,,2002-05,2002,131,3,391-401,Closed,Article,"Schmitt, R.; Holbrook, S.","Schmitt, R.","Schmitt, R. (University of California, Santa Barbara); Holbrook, S. (University of California, Santa Barbara)",15,0,0.17,1.09,,https://app.dimensions.ai/details/publication/pub.1014107378,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
56,400,pub.1044208182,10.1098/rspb.2001.1922,11916476,PMC1690937,"Species boundaries, populations and colour morphs in the coral reef three–spot damselfish (Dascyllus trimaculatus) species complex",Proceedings of The Royal Society B Biological Sciences,,"Animals; Base Sequence; Cnidaria; Color; DNA, Mitochondrial; Environment; Evolution, Molecular; Genetic Variation; Geography; Perciformes; Phenotype; Phylogeny; Pigmentation; Population Density; Species Specificity",2002-03-22,2002,269,1491,599-605,"All OA; Green, Published",Article,"Bernardi, Giacomo; Holbrook, Sally J; Schmitt, Russell J; Crane, Nicole L; DeMartini, Edward",,"Bernardi, Giacomo (University of California, Santa Cruz); Holbrook, Sally J (University of California, Santa Barbara); Schmitt, Russell J (University of California, Santa Barbara); Crane, Nicole L (Monterey Peninsula College); DeMartini, Edward (National Marine Fisheries Service)",58,6,0.66,4.81,http://europepmc.org/articles/pmc1690937?pdf=render,https://app.dimensions.ai/details/publication/pub.1044208182,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
57,100,pub.1033931292,10.1071/mf01153,,,Declines in regional fish populations: have species responded similarly to environmental change?,Marine and Freshwater Research,,,2002,2002,53,2,189-198,Closed,Article,"Brooks, Andrew J.; Schmitt, Russell J.; Holbrook, Sally J.",,"Brooks, Andrew J. (); Schmitt, Russell J. (); Holbrook, Sally J. ()",13,1,,1.16,,https://app.dimensions.ai/details/publication/pub.1033931292,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
58,100,pub.1032576392,10.1071/mf01138,,,Correlates of spatial variation in settlement of two tropical damselfishes,Marine and Freshwater Research,,,2002,2002,53,2,329-337,Closed,Article,"Schmitt, Russell J.; Holbrook, Sally J.",,"Schmitt, Russell J. (); Holbrook, Sally J. ()",7,1,,0.51,,https://app.dimensions.ai/details/publication/pub.1032576392,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
59,100,pub.1026138895,10.1071/mf02063,,,Variation in structural attributes of patch-forming corals and in patterns of abundance of associated fishes,Marine and Freshwater Research,,,2002,2002,53,7,1045-1053,Closed,Article,"Holbrook, Sally J.; Brooks, Andrew J.; Schmitt, Russell J.",,"Holbrook, Sally J. (); Brooks, Andrew J. (); Schmitt, Russell J. ()",45,5,,4,,https://app.dimensions.ai/details/publication/pub.1026138895,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
