,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is David Lawrence López-Carr. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
34,100,pub.1044807727,10.1111/j.1744-7429.2012.00908.x,,,Deforestation and Reforestation of Latin America and the Caribbean (2001–2010),Biotropica,,,2013-03,2013,45,2,262-271,Closed,Article,"Aide, T. Mitchell; Clark, Matthew L.; Grau, H. Ricardo; López‐Carr, David; Levy, Marc A.; Redo, Daniel; Bonilla‐Moheno, Martha; Riner, George; Andrade‐Núñez, María J.; Muñiz, María",,"Aide, T. Mitchell (); Clark, Matthew L. (Sonoma State University); Grau, H. Ricardo (National University of Tucumán); López‐Carr, David (University of California, Santa Barbara); Levy, Marc A. (Columbia University); Redo, Daniel (); Bonilla‐Moheno, Martha (Instituto de Ecología); Riner, George (Sonoma State University); Andrade‐Núñez, María J. (); Muñiz, María (Columbia University)",305,102,,,,https://app.dimensions.ai/details/publication/pub.1044807727,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
35,200,pub.1025021378,10.1080/00139157.2013.748385,24347675,PMC3857132,"Deforestation Drivers: Population, Migration, and Tropical Land Use",Environment Science and Policy for Sustainable Development,,,2013-01,2013,55,1,3-11,"All OA; Green, Accepted & Submitted",Article,"López-Carr, David; Burgdorfer, Jason",,"López-Carr, David (University of California, Santa Barbara); Burgdorfer, Jason ()",21,6,0.26,,http://europepmc.org/articles/pmc3857132?pdf=render,https://app.dimensions.ai/details/publication/pub.1025021378,,,,,,
36,400,pub.1018915602,10.1088/1748-9326/7/4/045603,24069068,PMC3780796,"Agro-ecological drivers of rural out-migration to the Maya Biosphere Reserve, Guatemala",Environmental Research Letters,,,2012-12-01,2012,7,4,045603,All OA; Gold,Article,"López-Carr, David",,"López-Carr, David ()",16,2,0.31,2.73,http://iopscience.iop.org/article/10.1088/1748-9326/7/4/045603/pdf,https://app.dimensions.ai/details/publication/pub.1018915602,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
37,400,pub.1018966512,10.1371/journal.pone.0049396,23209573,PMC3510206,Trophic Cascades Induced by Lobster Fishing Are Not Ubiquitous in Southern California Kelp Forests,PLoS ONE,,Animals; California; Conservation of Natural Resources; Ecosystem; Fisheries; Food Chain; Kelp; Palinuridae; Population Density,2012-11-29,2012,7,11,e49396,All OA; Gold,Article,"Guenther, Carla M.; Lenihan, Hunter S.; Grant, Laura E.; Lopez-Carr, David; Reed, Daniel C.",,"Guenther, Carla M. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Grant, Laura E. (University of California, Santa Barbara); Lopez-Carr, David (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara)",6,2,0.13,0.72,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0049396&type=printable,https://app.dimensions.ai/details/publication/pub.1018966512,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
38,100,pub.1037962400,10.1016/j.apgeog.2011.08.009,,,"Climate change and human health: Spatial modeling of water availability, malnutrition, and livelihoods in Mali, Africa",Applied Geography,,,2012-04,2012,33,,4-15,Closed,Article,"Jankowska, Marta M.; Lopez-Carr, David; Funk, Chris; Husak, Gregory J.; Chafe, Zoë A.","Jankowska, Marta M.","Jankowska, Marta M. (San Diego State University); Lopez-Carr, David (University of California, Santa Barbara); Funk, Chris (University of California, Santa Barbara); Husak, Gregory J. (University of California, Santa Barbara); Chafe, Zoë A. (University of California, Berkeley)",35,8,,10.72,,https://app.dimensions.ai/details/publication/pub.1037962400,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
39,400,pub.1014725726,10.1016/j.ecolmodel.2011.08.020,24013908,PMC3765033,Space versus place in complex human–natural systems: Spatial and multi-level models of tropical land use and cover change (LUCC) in Guatemala,Ecological Modelling,,,2012-03,2012,229,,64-75,"All OA; Green, Accepted & Submitted",Article,"López-Carr, David; Davis, Jason; Jankowska, Marta M.; Grant, Laura; López-Carr, Anna Carla; Clark, Matthew","López-Carr, David","López-Carr, David (University of California, Santa Barbara); Davis, Jason (University of California, Santa Barbara); Jankowska, Marta M. (San Diego State University); Grant, Laura (University of California, Santa Barbara); López-Carr, Anna Carla (San Diego State University); Clark, Matthew (Sonoma State University)",26,6,0.29,7.96,http://europepmc.org/articles/pmc3765033?pdf=render,https://app.dimensions.ai/details/publication/pub.1014725726,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
40,200,pub.1041237472,10.1016/j.ecolmodel.2011.10.023,,,Understanding human decisions in coupled natural and human systems,Ecological Modelling,,,2012-03,2012,229,,1-4,Closed,Article,"An, Li; López-Carr, David","An, Li","An, Li (San Diego State University); López-Carr, David (University of California, Santa Barbara)",19,7,,,,https://app.dimensions.ai/details/publication/pub.1041237472,,,,,,
41,100,pub.1006677328,10.1016/j.ecolmodel.2011.08.004,,,"Perception and decisions in modeling coupled human and natural systems: A case study from Fanjingshan National Nature Reserve, China",Ecological Modelling,,,2012-03,2012,229,,37-49,Closed,Article,"Wandersee, Sarah M.; An, Li; López-Carr, David; Yang, Yeqin","Wandersee, Sarah M.","Wandersee, Sarah M. (San Diego State University); An, Li (San Diego State University); López-Carr, David (University of California, Santa Barbara); Yang, Yeqin (Fanjingshan National Nature Reserve)",22,8,,3.76,,https://app.dimensions.ai/details/publication/pub.1006677328,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
42,200,pub.1002209856,10.1111/j.1475-5661.2011.00482.x,,,Mixed methods in land change research: towards integration,Transactions of the Institute of British Geographers,,,2012-01,2012,37,1,8-12,"All OA; Green, Accepted & Submitted",Article,"Cheong, So‐Min; Brown, Daniel G; Kok, Kasper; Lopez‐Carr, David",,"Cheong, So‐Min (University of Kansas); Brown, Daniel G (University of Michigan); Kok, Kasper (); Lopez‐Carr, David ()",12,4,,2.95,https://deepblue.lib.umich.edu/bitstream/2027.42/89580/1/j.1475-5661.2011.00482.x.pdf,https://app.dimensions.ai/details/publication/pub.1002209856,12 Built Environment and Design; 16 Studies in Human Society; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences; 1205 Urban and Regional Planning,12 Built Environment and Design,16 Studies in Human Society,0406 Physical Geography and Environmental Geoscience,1604 Human Geography,04 Earth Sciences
43,100,pub.1043093635,10.1016/j.gloenvcha.2010.11.001,,,"Social identity, perception and motivation in adaptation to climate risk in the coffee sector of Chiapas, Mexico",Global Environmental Change,,,2011-02,2011,21,1,66-76,Closed,Article,"Frank, Elisa; Eakin, Hallie; López-Carr, David","Eakin, Hallie","Frank, Elisa (University of California, Santa Barbara); Eakin, Hallie (Arizona State University); López-Carr, David (University of California, Santa Barbara)",97,33,,18.04,,https://app.dimensions.ai/details/publication/pub.1043093635,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
44,400,pub.1013652001,10.1007/s11111-010-0128-7,21258636,PMC3003829,"The effects of migrant remittances on population–environment dynamics in migrant origin areas: international migration, fertility, and consumption in highland Guatemala",Population and Environment,,,2010-12,2010,32,2-3,216-237,All OA; Gold,Article,"Davis, Jason; Lopez-Carr, David",,"Davis, Jason (University of California, Santa Barbara); Lopez-Carr, David (University of California, Santa Barbara)",26,3,0.41,6,https://link.springer.com/content/pdf/10.1007%2Fs11111-010-0128-7.pdf,https://app.dimensions.ai/details/publication/pub.1013652001,16 Studies in Human Society; 1603 Demography,16 Studies in Human Society,1603 Demography,,,
