,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is David L Valentine. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
24,400,pub.1055089556,10.1021/acs.est.6b03584,27706934,,Autonomous Marine Robotic Technology Reveals an Expansive Benthic Bacterial Community Relevant to Regional Nitrogen Biogeochemistry.,Environmental Science & Technology,,,2016-10-18,2016,50,20,11057-11065,Closed,Article,"Valentine, David L; Fisher, G Burch; Pizarro, Oscar; Kaiser, Carl L; Yoerger, Dana; Breier, John A; Tarn, Jonathan",,"Valentine, David L (); Fisher, G Burch (The University of Texas at Austin); Pizarro, Oscar (University of Sydney); Kaiser, Carl L (Woods Hole Oceanographic Institution); Yoerger, Dana (Woods Hole Oceanographic Institution); Breier, John A (Woods Hole Oceanographic Institution); Tarn, Jonathan (University of California, Santa Barbara)",2,1,0.2,0.46,,https://app.dimensions.ai/details/publication/pub.1055089556,0605 Microbiology; 06 Biological Sciences; 04 Earth Sciences; 0405 Oceanography,0605 Microbiology,06 Biological Sciences,04 Earth Sciences,0405 Oceanography,
25,400,pub.1055080290,10.1021/acs.analchem.6b02601,27704781,,Microscale Measurement and Visualization of Sulfide δ34S Using Photographic Film Sulfide Capture Coupled with Laser Ablation Multicollector Inductively Coupled Plasma Mass Spectrometry.,Analytical Chemistry,,,2016-10-18,2016,88,20,10126-10133,Closed,Article,"Goodridge, Blair M; Valentine, David L",,"Goodridge, Blair M (University of California, Santa Barbara); Valentine, David L (University of California, Santa Barbara)",2,1,0,0.44,,https://app.dimensions.ai/details/publication/pub.1055080290,09 Engineering; 0904 Chemical Engineering; 0399 Other Chemical Sciences; 03 Chemical Sciences; 0301 Analytical Chemistry,09 Engineering,0904 Chemical Engineering,0399 Other Chemical Sciences,03 Chemical Sciences,0301 Analytical Chemistry
26,400,pub.1024090554,10.1016/j.plipres.2016.07.001,27448687,,Phospholipids and glycolipids mediate proton containment and circulation along the surface of energy-transducing membranes,Progress in Lipid Research,,Adenosine Triphosphate; Archaea; Bacteria; Cell Membrane; Chloroplasts; Energy Metabolism; Glycolipids; Membrane Microdomains; Mitochondria; Phospholipids; Proton-Motive Force,2016-10,2016,64,Nature1911961,1-15,Closed,Article,"Yoshinaga, Marcos Y.; Kellermann, Matthias Y.; Valentine, David L.; Valentine, Raymond C.","Yoshinaga, Marcos Y.","Yoshinaga, Marcos Y. (University of Bremen); Kellermann, Matthias Y. (University of California, Santa Barbara); Valentine, David L. (University of California, Santa Barbara); Valentine, Raymond C. (University of California, Davis)",7,3,0.85,1.31,,https://app.dimensions.ai/details/publication/pub.1024090554,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
27,100,pub.1050442436,10.1002/2016gc006421,,,Determining the flux of methane into Hudson Canyon at the edge of methane clathrate hydrate stability,Geochemistry Geophysics Geosystems,,,2016-10,2016,17,10,3882-3892,All OA; Gold,Article,"Weinstein, Alexander; Navarrete, Luis; Ruppel, Carolyn; Weber, Thomas C.; Leonte, Mihai; Kellermann, Matthias Y.; Arrington, Eleanor C.; Valentine, David L.; Scranton, Mary I.; Kessler, John D.",,"Weinstein, Alexander (University of Rochester); Navarrete, Luis (University of Rochester); Ruppel, Carolyn (United States Geological Survey); Weber, Thomas C. (University of New Hampshire); Leonte, Mihai (University of Rochester); Kellermann, Matthias Y. (University of California, Santa Barbara); Arrington, Eleanor C. (University of California, Santa Barbara); Valentine, David L. (University of California, Santa Barbara; University of California System); Scranton, Mary I. (Stony Brook University); Kessler, John D. (University of Rochester)",9,5,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016GC006421,https://app.dimensions.ai/details/publication/pub.1050442436,02 Physical Sciences; 04 Earth Sciences,02 Physical Sciences,04 Earth Sciences,,,
28,400,pub.1025429324,10.1111/gbi.12172,26762691,,Methanogens rapidly transition from methane production to iron reduction,Geobiology,,Anthraquinones; Electron Transport; Ferrous Compounds; Geologic Sediments; Methane; Methanosarcina barkeri; Oxidation-Reduction; Phenazines,2016-03,2016,14,2,190-203,Closed,Article,"Sivan, O.; Shusta, S. S.; Valentine, D. L.",,"Sivan, O. (Ben-Gurion University of the Negev); Shusta, S. S. (University of California, Santa Barbara); Valentine, D. L. (University of California, Santa Barbara)",24,14,1.34,5.45,,https://app.dimensions.ai/details/publication/pub.1025429324,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
29,100,pub.1021075280,10.1016/b978-0-12-803832-1.00008-8,,,"8 Applications of comprehensive two-dimensional gas chromatography (GC × GC) in studying the source, transport, and fate of petroleum hydrocarbons in the environment",,Standard Handbook Oil Spill Environmental Forensics,,2016,2016,,,399-448,Closed,Chapter,"Nelson, Robert K.; Aeppli, Christoph; Samuel, J.; Chen, Huan; de Oliveira, André H.B.; Eiserbeck, Christiane; Frysinger, Glenn S.; Gaines, Richard B.; Grice, Kliti; Gros, Jonas; Hall, Gregory J.; Koolen, Hector H.F.; Lemkau, Karin L.; McKenna, Amy M.; Reddy, Christopher M.; Rodgers, Ryan P.; Swarthout, Robert F.; Valentine, David L.; White, Helen K.",,"Nelson, Robert K. (Woods Hole Oceanographic Institution); Aeppli, Christoph (Bigelow Laboratory For Ocean Sciences); Samuel, J. (Swiss Federal Institute of Technology in Lausanne); Chen, Huan (National High Magnetic Field Laboratory); de Oliveira, André H.B. (Federal University of Ceará); Eiserbeck, Christiane (Woodside (Australia)); Frysinger, Glenn S. (United States Coast Guard Academy); Gaines, Richard B. (United States Coast Guard Academy); Grice, Kliti (Curtin University); Gros, Jonas (Swiss Federal Institute of Technology in Lausanne); Hall, Gregory J. (United States Coast Guard Academy); Koolen, Hector H.F. (Federal University of Amazonas); Lemkau, Karin L. (Woods Hole Oceanographic Institution; University of California, Santa Barbara; Maine Maritime Academy); McKenna, Amy M. (National High Magnetic Field Laboratory); Reddy, Christopher M. (Woods Hole Oceanographic Institution); Rodgers, Ryan P. (Swiss Federal Institute of Technology in Lausanne; Florida State University); Swarthout, Robert F. (Appalachian State University); Valentine, David L. (University of California, Santa Barbara); White, Helen K. (Haverford College)",16,9,,3.79,,https://app.dimensions.ai/details/publication/pub.1021075280,03 Chemical Sciences; 0301 Analytical Chemistry,03 Chemical Sciences,0301 Analytical Chemistry,,,
30,100,pub.1012934503,10.1007/8623_2016_219,,,Comprehensive Two-Dimensional Gas Chromatography to Assess Petroleum Product Weathering,Springer Protocols Handbooks,Hydrocarbon and Lipid Microbiology Protocols,,2016,2016,,,129-149,Closed,Chapter,"Swarthout, Robert F.; Gros, Jonas; Arey, J. Samuel; Nelson, Robert K.; Valentine, David L.; Reddy, Christopher M.","Swarthout, Robert F.","Swarthout, Robert F. (Appalachian State University); Gros, Jonas (Swiss Federal Institute of Technology in Lausanne); Arey, J. Samuel (Swiss Federal Institute of Technology in Lausanne; Swiss Federal Institute of Aquatic Science and Technology); Nelson, Robert K. (Woods Hole Oceanographic Institution); Valentine, David L. (University of California, Santa Barbara); Reddy, Christopher M. (Woods Hole Oceanographic Institution)",1,0,,0.23,,https://app.dimensions.ai/details/publication/pub.1012934503,04 Earth Sciences; 03 Chemical Sciences; 0301 Analytical Chemistry; 0402 Geochemistry,04 Earth Sciences,03 Chemical Sciences,0301 Analytical Chemistry,0402 Geochemistry,
31,200,pub.1050641449,10.1073/pnas.1518485112,26483499,PMC4640793,Latent hydrocarbons from cyanobacteria,Proceedings of the National Academy of Sciences,,Alkanes; Humans; Hydrocarbons; Prochlorococcus; Synechococcus,2015-11-03,2015,112,44,13434-13435,All OA; Gold,Article,"Valentine, David L.; Reddy, Christopher M.",,"Valentine, David L. (University of California, Santa Barbara); Reddy, Christopher M. ()",9,6,0.45,,http://www.pnas.org/content/112/44/13434.full.pdf,https://app.dimensions.ai/details/publication/pub.1050641449,,,,,,
32,100,pub.1022536594,10.1016/j.gca.2015.04.015,,,Distinguishing and understanding thermogenic and biogenic sources of methane using multiply substituted isotopologues,Geochimica et Cosmochimica Acta,,,2015-07,2015,161,,219-247,All OA; Gold,Article,"Stolper, D.A.; Martini, A.M.; Clog, M.; Douglas, P.M.; Shusta, S.S.; Valentine, D.L.; Sessions, A.L.; Eiler, J.M.","Stolper, D.A.","Stolper, D.A. (California Institute of Technology; Princeton University); Martini, A.M. (Amherst College); Clog, M. (California Institute of Technology); Douglas, P.M. (California Institute of Technology); Shusta, S.S. (University of California, Santa Barbara); Valentine, D.L. (University of California, Santa Barbara); Sessions, A.L. (California Institute of Technology); Eiler, J.M. (California Institute of Technology)",50,25,,8.45,https://manuscript.elsevier.com/S0016703715002082/pdf/S0016703715002082.pdf,https://app.dimensions.ai/details/publication/pub.1022536594,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
33,100,pub.1030439538,10.1002/2014jg002900,,,Methane oxidation in the eastern tropical North Pacific Ocean water column,Journal of Geophysical Research Biogeosciences,,,2015-06,2015,120,6,1078-1092,"All OA; Green, Published",Article,"Pack, Mary A.; Heintz, Monica B.; Reeburgh, William S.; Trumbore, Susan E.; Valentine, David L.; Xu, Xiaomei; Druffel, Ellen R. M.",,"Pack, Mary A. (University of California, Irvine); Heintz, Monica B. (University of California System); Reeburgh, William S. (University of California, Irvine); Trumbore, Susan E. (University of California, Irvine); Valentine, David L. (University of California System); Xu, Xiaomei (University of California, Irvine); Druffel, Ellen R. M. (University of California, Irvine)",11,3,,1.74,https://escholarship.org/content/qt0bz430qt/qt0bz430qt.pdf?t=o0h5jw,https://app.dimensions.ai/details/publication/pub.1030439538,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
34,400,pub.1051850173,10.1038/ncomms7585,25798780,PMC4372165,Targeted diversity generation by intraterrestrial archaea and archaeal viruses,Nature Communications,,Archaea; Archaeal Proteins; Archaeal Viruses; Base Sequence; Genetic Variation; Metagenome; Molecular Sequence Data; Mutation Rate; Nanoarchaeota; Retroelements,2015-05,2015,6,1,6585,All OA; Gold,Article,"Paul, Blair G.; Bagby, Sarah C.; Czornyj, Elizabeth; Arambula, Diego; Handa, Sumit; Sczyrba, Alexander; Ghosh, Partho; Miller, Jeff F.; Valentine, David L.","Valentine, David L.","Paul, Blair G. (University of California, Santa Barbara); Bagby, Sarah C. (University of California, Santa Barbara); Czornyj, Elizabeth (University of California Los Angeles); Arambula, Diego (University of California Los Angeles); Handa, Sumit (University of California, San Diego); Sczyrba, Alexander (Bielefeld University; Joint Genome Institute); Ghosh, Partho (University of California, San Diego); Miller, Jeff F. (University of California Los Angeles); Valentine, David L. (University of California, Santa Barbara)",29,16,1.27,5.23,https://www.nature.com/articles/ncomms7585.pdf,https://app.dimensions.ai/details/publication/pub.1051850173,11 Medical and Health Sciences; 1108 Medical Microbiology; 0605 Microbiology; 0604 Genetics; 06 Biological Sciences,11 Medical and Health Sciences,1108 Medical Microbiology,0605 Microbiology,0604 Genetics,06 Biological Sciences
35,100,pub.1002443354,10.1002/2014jc010362,,,"Marine microbes rapidly adapt to consume ethane, propane, and butane within the dissolved hydrocarbon plume of a natural seep",Journal of Geophysical Research Oceans,,,2015-03,2015,120,3,1937-1953,All OA; Gold,Article,"Mendes, Stephanie D.; Redmond, Molly C.; Voigritter, Karl; Perez, Christian; Scarlett, Rachel; Valentine, David L.",,"Mendes, Stephanie D. (University of California, Santa Barbara); Redmond, Molly C. (University of California, Santa Barbara; University of North Carolina at Charlotte); Voigritter, Karl (University of California, Santa Barbara); Perez, Christian (University of California, Santa Barbara); Scarlett, Rachel (University of California, Santa Barbara); Valentine, David L. (University of California, Santa Barbara)",7,4,,1.11,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014JC010362,https://app.dimensions.ai/details/publication/pub.1002443354,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
36,400,pub.1040671350,10.1073/pnas.1414873111,25349409,PMC4234598,Fallout plume of submerged oil from Deepwater Horizon,Proceedings of the National Academy of Sciences,,,2014-11-11,2014,111,45,15906-15911,All OA; Gold,Article,"Valentine, David L.; Fisher, G. Burch; Bagby, Sarah C.; Nelson, Robert K.; Reddy, Christopher M.; Sylva, Sean P.; Woo, Mary A.",,"Valentine, David L. (University of California, Santa Barbara); Fisher, G. Burch (University of California, Santa Barbara); Bagby, Sarah C. (University of California, Santa Barbara); Nelson, Robert K. (); Reddy, Christopher M. (); Sylva, Sean P. (); Woo, Mary A. (University of California, Irvine)",143,72,5.49,27.35,http://www.pnas.org/content/111/45/15906.full.pdf,https://app.dimensions.ai/details/publication/pub.1040671350,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
37,200,pub.1109728333,10.1201/b17458,,,Human Longevity,,,,2014-09-16,2014,,,,Closed,Monograph,"Valentine, Raymond; Valentine, David",,"Valentine, Raymond (); Valentine, David ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1109728333,,,,,,
38,400,pub.1055507963,10.1021/es5017813,25083936,,High resolution measurements of methane and carbon dioxide in surface waters over a natural seep reveal dynamics of dissolved phase air-sea flux.,Environmental Science & Technology,,"Air; Bayes Theorem; California; Carbon Dioxide; Environmental Monitoring; Methane; Oceans and Seas; Seawater; Surface Properties; Water; Water Pollutants, Chemical",2014-09-02,2014,48,17,10165-73,Closed,Article,"Du, Mengran; Yvon-Lewis, Shari; Garcia-Tigreros, Fenix; Valentine, David L.; Mendes, Stephanie D.; Kessler, John D.",,"Du, Mengran (Texas A&M University; Ocean University of China); Yvon-Lewis, Shari (Texas A&M University); Garcia-Tigreros, Fenix (University of Rochester); Valentine, David L. (University of California, Santa Barbara); Mendes, Stephanie D. (University of California, Santa Barbara); Kessler, John D. (University of Rochester)",8,3,0.13,1.31,,https://app.dimensions.ai/details/publication/pub.1055507963,0405 Oceanography; 09 Engineering; 04 Earth Sciences; 0907 Environmental Engineering,0405 Oceanography,09 Engineering,04 Earth Sciences,0907 Environmental Engineering,
39,400,pub.1004366157,10.1021/es500825q,24831878,,Recalcitrance and degradation of petroleum biomarkers upon abiotic and biotic natural weathering of Deepwater Horizon oil.,Environmental Science & Technology,,"Biodegradation, Environmental; Chromatography, Gas; Gulf of Mexico; Hydrocarbons; Light; Meteorological Concepts; Oil and Gas Fields; Oxidation-Reduction; Petroleum; Petroleum Pollution; Steroids",2014-06-17,2014,48,12,6726-34,Closed,Article,"Aeppli, Christoph; Nelson, Robert K.; Radović, Jagoš R.; Carmichael, Catherine A.; Valentine, David L.; Reddy, Christopher M.",,"Aeppli, Christoph (Woods Hole Oceanographic Institution); Nelson, Robert K. (Woods Hole Oceanographic Institution); Radović, Jagoš R. (Woods Hole Oceanographic Institution; Institute of Environmental Assessment and Water Research); Carmichael, Catherine A. (Woods Hole Oceanographic Institution); Valentine, David L. (University of California, Santa Barbara); Reddy, Christopher M. (Woods Hole Oceanographic Institution)",84,33,4.54,14.36,,https://app.dimensions.ai/details/publication/pub.1004366157,03 Chemical Sciences; 0301 Analytical Chemistry,03 Chemical Sciences,0301 Analytical Chemistry,,,
40,100,pub.1048318021,10.7901/2169-3358-2014.1.1087,,,BIOTIC AND ABIOTIC OIL DEGRADATION AFTER THE DEEPWATER HORIZON DISASTER LEADS TO FORMATION OF RECALCITRANT OXYGENATED HYDROCARBONS: NEW INSIGHTS USING GC×GC,International Oil Spill Conference Proceedings,,,2014-05,2014,2014,1,1087-1098,Closed,Article,"Aeppli, Christoph; Nelson, Robert K.; Carmichael, Catherine A.; Valentine, David L.; Reddy, Christopher M.",,"Aeppli, Christoph (); Nelson, Robert K. (); Carmichael, Catherine A. (); Valentine, David L. (); Reddy, Christopher M. ()",1,0,,0.17,,https://app.dimensions.ai/details/publication/pub.1048318021,03 Chemical Sciences; 0301 Analytical Chemistry,03 Chemical Sciences,0301 Analytical Chemistry,,,
41,100,pub.1032561134,10.7901/2169-3358-2014.1.2083,,,Biodegradation at the Seafloor: Ultrahigh Resolution FT-ICR Mass Spectral Characterization of Natural Petroleum Seeps,International Oil Spill Conference Proceedings,,,2014-05,2014,2014,1,2083-2097,Closed,Article,"McKenna, Amy M.; Williams, Jeffrey T.; Putman, Jonathan C.; Aeppli, Christoph M.; Reddy, Christopher M.; Valentine, David L.; Lemkau, Karin T.; Kellermann, Matthias Y.; Savory, Joshua T.; Kaiser, Nathan K.; Marshall, Alan G.; Rodgers, Ryan P.",,"McKenna, Amy M. (National High Magnetic Field Laboratory); Williams, Jeffrey T. (National High Magnetic Field Laboratory); Putman, Jonathan C. (National High Magnetic Field Laboratory); Aeppli, Christoph M. (); Reddy, Christopher M. (); Valentine, David L. (University of California, Santa Barbara); Lemkau, Karin T. (University of California, Santa Barbara); Kellermann, Matthias Y. (University of California, Santa Barbara); Savory, Joshua T. (National High Magnetic Field Laboratory); Kaiser, Nathan K. (National High Magnetic Field Laboratory); Marshall, Alan G. (National High Magnetic Field Laboratory; Florida State University); Rodgers, Ryan P. (National High Magnetic Field Laboratory; Florida State University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1032561134,03 Chemical Sciences; 0301 Analytical Chemistry,03 Chemical Sciences,0301 Analytical Chemistry,,,
42,200,pub.1055480094,10.1021/ef5002452,,,Unprecedented Ultrahigh Resolution FT-ICR Mass Spectrometry and Parts-Per-Billion Mass Accuracy Enable Direct Characterization of Nickel and Vanadyl Porphyrins in Petroleum from Natural Seeps,Energy & Fuels,,,2014-04-17,2014,28,4,2454-2464,Closed,Article,"McKenna, Amy M.; Williams, Jeffrey T.; Putman, Jonathan C.; Aeppli, Christoph; Reddy, Christopher M.; Valentine, David L.; Lemkau, Karin L.; Kellermann, Matthias Y.; Savory, Joshua J.; Kaiser, Nathan K.; Marshall, Alan G.; Rodgers, Ryan P.",,"McKenna, Amy M. (National High Magnetic Field Laboratory); Williams, Jeffrey T. (National High Magnetic Field Laboratory); Putman, Jonathan C. (National High Magnetic Field Laboratory); Aeppli, Christoph (Woods Hole Oceanographic Institution); Reddy, Christopher M. (Woods Hole Oceanographic Institution); Valentine, David L. (University of California, Santa Barbara); Lemkau, Karin L. (University of California, Santa Barbara); Kellermann, Matthias Y. (University of California, Santa Barbara); Savory, Joshua J. (National High Magnetic Field Laboratory); Kaiser, Nathan K. (National High Magnetic Field Laboratory); Marshall, Alan G. (National High Magnetic Field Laboratory; Florida State University); Rodgers, Ryan P. (National High Magnetic Field Laboratory; Florida State University)",32,9,,,,https://app.dimensions.ai/details/publication/pub.1055480094,09 Engineering; 03 Chemical Sciences,09 Engineering,03 Chemical Sciences,,,
43,100,pub.1000572775,10.1016/j.gca.2013.10.045,,,Combined 13C–D and D–D clumping in methane: Methods and preliminary results,Geochimica et Cosmochimica Acta,,,2014-02,2014,126,,169-191,Closed,Article,"Stolper, D.A.; Sessions, A.L.; Ferreira, A.A.; Neto, E.V. Santos; Schimmelmann, A.; Shusta, S.S.; Valentine, D.L.; Eiler, J.M.","Stolper, D.A.","Stolper, D.A. (California Institute of Technology); Sessions, A.L. (California Institute of Technology); Ferreira, A.A. (Petrobras (Brazil)); Neto, E.V. Santos (Petrobras (Brazil)); Schimmelmann, A. (Indiana University Bloomington); Shusta, S.S. (University of California, Santa Barbara); Valentine, D.L. (University of California, Santa Barbara); Eiler, J.M. (California Institute of Technology)",57,22,,8.22,,https://app.dimensions.ai/details/publication/pub.1000572775,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
44,400,pub.1055506540,10.1021/es4024139,23799238,,Recurrent oil sheens at the deepwater horizon disaster site fingerprinted with synthetic hydrocarbon drilling fluids.,Environmental Science & Technology,,"Chromatography, Gas; Gulf of Mexico; Hydrocarbons; Oils; Water Pollutants, Chemical",2013-08-06,2013,47,15,8211-9,Closed,Article,"Aeppli, Christoph; Reddy, Christopher M.; Nelson, Robert K.; Kellermann, Matthias Y.; Valentine, David L.",,"Aeppli, Christoph (Woods Hole Oceanographic Institution); Reddy, Christopher M. (Woods Hole Oceanographic Institution); Nelson, Robert K. (Woods Hole Oceanographic Institution); Kellermann, Matthias Y. (University of California, Santa Barbara); Valentine, David L. (University of California, Santa Barbara)",18,2,0.83,2.9,,https://app.dimensions.ai/details/publication/pub.1055506540,03 Chemical Sciences; 0301 Analytical Chemistry,03 Chemical Sciences,0301 Analytical Chemistry,,,
45,300,pub.1025306120,10.1038/nature12088,23535593,,Intraterrestrial lifestyles,Nature,,Archaea; Geologic Sediments; Peptide Hydrolases,2013-04,2013,496,7444,176-177,Closed,Article,"Valentine, David L.","Valentine, David L.","Valentine, David L. (University of California, Santa Barbara)",3,1,0.16,0.34,,https://app.dimensions.ai/details/publication/pub.1025306120,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
46,400,pub.1039539901,10.1073/pnas.1108820109,22233808,PMC3528554,Dynamic autoinoculation and the microbial ecology of a deep water hydrocarbon irruption,Proceedings of the National Academy of Sciences,,"Bacteria; Biodegradation, Environmental; Ecosystem; Gulf of Mexico; Hydrocarbons; Models, Biological; Petroleum Pollution; Water Microbiology; Water Pollutants, Chemical",2012-12-11,2012,109,50,20286-20291,All OA; Gold,Article,"Valentine, David L.; Mezić, Igor; Maćešić, Senka; Črnjarić-Žic, Nelida; Ivić, Stefan; Hogan, Patrick J.; Fonoberov, Vladimir A.; Loire, Sophie",,"Valentine, David L. (University of California, Santa Barbara); Mezić, Igor (University of California, Santa Barbara); Maćešić, Senka (University of Rijeka); Črnjarić-Žic, Nelida (University of Rijeka); Ivić, Stefan (University of Rijeka); Hogan, Patrick J. (); Fonoberov, Vladimir A. (); Loire, Sophie (University of California, Santa Barbara)",106,29,3.44,12.52,http://www.pnas.org/content/109/50/20286.full.pdf,https://app.dimensions.ai/details/publication/pub.1039539901,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
47,400,pub.1005855779,10.1073/pnas.1108756108,21969552,PMC3528494,Natural gas and temperature structured a microbial community response to the Deepwater Horizon oil spill,Proceedings of the National Academy of Sciences,,"Bacteria; Ecosystem; Gulf of Mexico; Molecular Sequence Data; Natural Gas; Petroleum Pollution; Phylogeny; RNA, Bacterial; RNA, Ribosomal, 16S; Temperature; Water Microbiology; Water Pollutants, Chemical",2012-12-11,2012,109,50,20292-20297,All OA; Gold,Article,"Redmond, Molly C.; Valentine, David L.",,"Redmond, Molly C. (University of California, Santa Barbara); Valentine, David L. (University of California, Santa Barbara)",216,69,8.29,25.52,http://www.pnas.org/content/109/50/20292.full.pdf,https://app.dimensions.ai/details/publication/pub.1005855779,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
48,400,pub.1003393252,10.1073/pnas.1110564109,22233807,PMC3528560,Chemical data quantify Deepwater Horizon hydrocarbon flow rate and environmental distribution,Proceedings of the National Academy of Sciences,,,2012-12-11,2012,109,50,20246-20253,"All OA; Green, Published",Article,"Ryerson, Thomas B.; Camilli, Richard; Kessler, John D.; Kujawinski, Elizabeth B.; Reddy, Christopher M.; Valentine, David L.; Atlas, Elliot; Blake, Donald R.; de Gouw, Joost; Meinardi, Simone; Parrish, David D.; Peischl, Jeff; Seewald, Jeffrey S.; Warneke, Carsten",,"Ryerson, Thomas B. (Earth System Research Laboratory); Camilli, Richard (); Kessler, John D. (Texas A&M University); Kujawinski, Elizabeth B. (); Reddy, Christopher M. (); Valentine, David L. (University of California, Santa Barbara); Atlas, Elliot (University of Miami); Blake, Donald R. (University of California, Irvine); de Gouw, Joost (Earth System Research Laboratory; Cooperative Institute for Research in Environmental Sciences); Meinardi, Simone (University of California, Irvine); Parrish, David D. (Earth System Research Laboratory); Peischl, Jeff (Earth System Research Laboratory; Cooperative Institute for Research in Environmental Sciences); Seewald, Jeffrey S. (); Warneke, Carsten (Earth System Research Laboratory; Cooperative Institute for Research in Environmental Sciences)",159,46,6.11,19.73,http://europepmc.org/articles/pmc3528560?pdf=render,https://app.dimensions.ai/details/publication/pub.1003393252,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
49,400,pub.1014958060,10.1021/es3015138,22809266,,Oil weathering after the Deepwater Horizon disaster led to the formation of oxygenated residues.,Environmental Science & Technology,,"Chromatography, Gas; Oxygen; Petroleum; Petroleum Pollution; Spectroscopy, Fourier Transform Infrared",2012-08-21,2012,46,16,8799-807,All OA; Gold,Article,"Aeppli, Christoph; Carmichael, Catherine A.; Nelson, Robert K.; Lemkau, Karin L.; Graham, William M.; Redmond, Molly C.; Valentine, David L.; Reddy, Christopher M.",,"Aeppli, Christoph (Woods Hole Oceanographic Institution); Carmichael, Catherine A. (Woods Hole Oceanographic Institution); Nelson, Robert K. (Woods Hole Oceanographic Institution); Lemkau, Karin L. (Woods Hole Oceanographic Institution); Graham, William M. (University of Southern Mississippi); Redmond, Molly C. (University of California, Santa Barbara); Valentine, David L. (University of California, Santa Barbara); Reddy, Christopher M. (Woods Hole Oceanographic Institution)",162,46,7.14,22.1,https://doi.org/10.1021/es3015138,https://app.dimensions.ai/details/publication/pub.1014958060,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
50,100,pub.1037332087,10.4319/lo.2012.57.2.0420,,,"Physical control on methanotrophic potential in waters of the Santa Monica Basin, Southern California",Limnology and Oceanography,,,2012-03,2012,57,2,420-432,All OA; Gold,Article,"Heintz, M. B.; Mau, S.; Valentine, D. L.",,"Heintz, M. B. (University of California, Santa Barbara); Mau, S. (University of California, Santa Barbara); Valentine, D. L. (University of California, Santa Barbara)",19,2,,2.16,http://onlinelibrary.wiley.com/doi/10.4319/lo.2012.57.2.0420/pdf,https://app.dimensions.ai/details/publication/pub.1037332087,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
51,100,pub.1005421903,10.1016/j.csr.2011.10.016,,,"Quantification of CH4 loss and transport in dissolved plumes of the Santa Barbara Channel, California",Continental Shelf Research,,,2012-01,2012,32,Geophysical Research Letters 2005,110-120,Closed,Article,"Mau, Susan; Heintz, Monica B.; Valentine, David L.","Mau, Susan","Mau, Susan (University of California, Santa Barbara); Heintz, Monica B. (University of California, Santa Barbara); Valentine, David L. (University of California, Santa Barbara)",23,4,,2.62,,https://app.dimensions.ai/details/publication/pub.1005421903,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
