,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Lars Bildsten. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,100,pub.1118646677,,,,"Local Radiation Hydrodynamic Simulations of Massive Star Envelopes at
  the Iron Opacity Peak",arXiv,,,9/17/15,2015,,,,"All OA; Green, Accepted & Submitted",Preprint,"Jiang, Yan-Fei; Cantiello, Matteo; Bildsten, Lars; Quataert, Eliot; Blaes, Omer",,"Jiang, Yan-Fei (); Cantiello, Matteo (); Bildsten, Lars (); Quataert, Eliot (); Blaes, Omer ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118646677,0201 Astronomical and Space Sciences; 0915 Interdisciplinary Engineering; 02 Physical Sciences; 09 Engineering,0201 Astronomical and Space Sciences,0915 Interdisciplinary Engineering,02 Physical Sciences,09 Engineering,
57,200,pub.1058945739,10.1088/0004-637x/807/1/74,,,AM CANUM VENATICORUM PROGENITORS WITH HELIUM STAR DONORS AND THE RESULTANT EXPLOSIONS,The Astrophysical Journal,,,7/1/15,2015,807,1,74,All OA; Gold,Article,"Brooks, Jared; Bildsten, Lars; Marchant, Pablo; Paxton, Bill",,"Brooks, Jared (); Bildsten, Lars (); Marchant, Pablo (); Paxton, Bill ()",14,4,,3.69,http://iopscience.iop.org/article/10.1088/0004-637X/807/1/74/pdf,https://app.dimensions.ai/details/publication/pub.1058945739,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
58,100,pub.1118612824,,,,"Modules for Experiments in Stellar Astrophysics (MESA): Binaries,
  Pulsations, and Explosions",arXiv,,,6/9/15,2015,,,,"All OA; Green, Accepted & Submitted",Preprint,"Paxton, Bill; Marchant, Pablo; Schwab, Josiah; Bauer, Evan B.; Bildsten, Lars; Cantiello, Matteo; Dessart, Luc; Farmer, R.; Hu, H.; Langer, N.; Townsend, R. H. D.; Townsley, Dean M.; Timmes, F. X.",,"Paxton, Bill (); Marchant, Pablo (); Schwab, Josiah (); Bauer, Evan B. (); Bildsten, Lars (); Cantiello, Matteo (); Dessart, Luc (); Farmer, R. (); Hu, H. (); Langer, N. (); Townsend, R. H. D. (); Townsley, Dean M. (); Timmes, F. X. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118612824,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
59,100,pub.1118659378,,,,"AM Canum Venaticorum Progenitors with Helium Star Donors and the
  resultant Explosions",arXiv,,,5/21/15,2015,,,,"All OA; Green, Accepted & Submitted",Preprint,"Brooks, Jared; Bildsten, Lars; Marchant, Pablo; Paxton, Bill",,"Brooks, Jared (); Bildsten, Lars (); Marchant, Pablo (); Paxton, Bill ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118659378,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
60,100,pub.1005746560,10.1088/0004-637x/803/2/76,,,PHOTOIONIZATION HEATING OF NOVA EJECTA BY THE POST-OUTBURST SUPERSOFT SOURCE,The Astrophysical Journal,,,4/20/15,2015,803,2,76,All OA; Gold,Article,"Cunningham, Timothy; Wolf, William M.; Bildsten, Lars",,"Cunningham, Timothy (King's College London; University of California, Santa Barbara); Wolf, William M. (University of California, Santa Barbara); Bildsten, Lars (University of California, Santa Barbara)",7,2,,2.11,http://iopscience.iop.org/article/10.1088/0004-637X/803/2/76/pdf,https://app.dimensions.ai/details/publication/pub.1005746560,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
61,100,pub.1025812329,10.1088/0004-637x/792/1/29,,,POSSIBLE DETECTION OF THE STELLAR DONOR OR REMNANT FOR THE TYPE Iax SUPERNOVA 2008ha,The Astrophysical Journal,,,8/12/14,2014,792,1,29,All OA; Gold,Article,"Foley, Ryan J.; McCully, Curtis; Jha, Saurabh W.; Bildsten, Lars; Fong, Wen-fai; Narayan, Gautham; Rest, Armin; Stritzinger, Maximilian D.",,"Foley, Ryan J. (University of Illinois at Urbana Champaign); McCully, Curtis (); Jha, Saurabh W. (Rutgers, The State University of New Jersey); Bildsten, Lars (University of California, Santa Barbara); Fong, Wen-fai (); Narayan, Gautham (National Optical Astronomy Observatory); Rest, Armin (Space Telescope Science Institute); Stritzinger, Maximilian D. (Aarhus University)",36,5,,9.98,http://iopscience.iop.org/article/10.1088/0004-637X/792/1/29/pdf,https://app.dimensions.ai/details/publication/pub.1025812329,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
62,200,pub.1059913682,10.1093/mnras/stu1062,,,X-ray diagnostics of chemical composition of the accretion disc and donor star in UCXBs – II. XMM–Newton observations,Monthly Notices of the Royal Astronomical Society,,,8/11/14,2014,442,3,2817-2825,All OA; Gold,Article,"Koliopanos, Filippos; Gilfanov, Marat; Bildsten, Lars; Trigo, Maria Díaz",,"Koliopanos, Filippos (); Gilfanov, Marat (); Bildsten, Lars (); Trigo, Maria Díaz ()",4,1,,1.11,https://academic.oup.com/mnras/article-pdf/442/3/2817/3534816/stu1062.pdf,https://app.dimensions.ai/details/publication/pub.1059913682,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
63,100,pub.1118549995,,,,"A luminous, blue progenitor system for a type-Iax supernova",arXiv,,,8/5/14,2014,,,,"All OA; Green, Accepted & Submitted",Preprint,"McCully, Curtis; Jha, Saurabh W.; Foley, Ryan J.; Bildsten, Lars; Fong, Wen-fai; Kirshner, Robert P.; Marion, G. H.; Riess, Adam G.; Stritzinger, Maximilian D.",,"McCully, Curtis (); Jha, Saurabh W. (); Foley, Ryan J. (); Bildsten, Lars (); Fong, Wen-fai (); Kirshner, Robert P. (); Marion, G. H. (); Riess, Adam G. (); Stritzinger, Maximilian D. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118549995,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
64,100,pub.1118549964,,,,"Possible Detection of the Stellar Donor or Remnant for the Type Iax
  Supernova 2008ha",arXiv,,,8/5/14,2014,,,,"All OA; Green, Accepted & Submitted",Preprint,"Foley, Ryan J.; McCully, Curtis; Jha, Saurabh W.; Bildsten, Lars; Fong, Wen-fai; Narayan, Gautham; Rest, Armin; Stritzinger, Maximilian D.",,"Foley, Ryan J. (); McCully, Curtis (); Jha, Saurabh W. (); Bildsten, Lars (); Fong, Wen-fai (); Narayan, Gautham (); Rest, Armin (); Stritzinger, Maximilian D. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118549964,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
65,400,pub.1014809313,10.1038/nature13615,25100479,,"A luminous, blue progenitor system for the type Iax supernova 2012Z",Nature,,,2014-08,2014,512,7512,54-56,"All OA; Green, Accepted & Submitted",Article,"McCully, Curtis; Jha, Saurabh W.; Foley, Ryan J.; Bildsten, Lars; Fong, Wen-fai; Kirshner, Robert P.; Marion, G. H.; Riess, Adam G.; Stritzinger, Maximilian D.","Jha, Saurabh W.","McCully, Curtis (Rutgers, The State University of New Jersey); Jha, Saurabh W. (Rutgers, The State University of New Jersey); Foley, Ryan J. (University of Illinois at Urbana Champaign); Bildsten, Lars (University of California, Santa Barbara); Fong, Wen-fai (Harvard–Smithsonian Center for Astrophysics); Kirshner, Robert P. (Harvard–Smithsonian Center for Astrophysics); Marion, G. H. (Harvard–Smithsonian Center for Astrophysics; The University of Texas at Austin); Riess, Adam G. (Johns Hopkins University; Space Telescope Science Institute); Stritzinger, Maximilian D. (Aarhus University)",79,29,0.08,21.9,http://arxiv.org/pdf/1408.1089,https://app.dimensions.ai/details/publication/pub.1014809313,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
66,100,pub.1027417177,10.1088/2041-8205/791/1/l5,,,IDENTIFICATION OF THE OPTICAL COUNTERPART OF FERMI BLACK WIDOW MILLISECOND PULSAR PSR J1544+4937,The Astrophysical Journal Letters,,,7/23/14,2014,791,1,l5,All OA; Gold,Article,"Tang, Sumin; Kaplan, David L.; Phinney, E. Sterl; Prince, Thomas A.; Breton, Rene P.; Bellm, Eric; Bildsten, Lars; Cao, Yi; Kong, Albert K. H.; Perley, Daniel A.; Sesar, Branimir; Wolf, William M.; Yen, T.-C.",,"Tang, Sumin (California Institute of Technology; University of California, Santa Barbara); Kaplan, David L. (University of Wisconsin–Milwaukee); Phinney, E. Sterl (California Institute of Technology); Prince, Thomas A. (California Institute of Technology); Breton, Rene P. (University of Southampton); Bellm, Eric (California Institute of Technology); Bildsten, Lars (University of California, Santa Barbara); Cao, Yi (California Institute of Technology); Kong, Albert K. H. (National Tsing Hua University); Perley, Daniel A. (California Institute of Technology); Sesar, Branimir (Max Planck Institute for Astronomy); Wolf, William M. (University of California, Santa Barbara); Yen, T.-C. (National Tsing Hua University)",12,4,,5.07,http://iopscience.iop.org/article/10.1088/2041-8205/791/1/L5/pdf,https://app.dimensions.ai/details/publication/pub.1027417177,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
67,100,pub.1118540193,,,,"Identification of the Optical Counterpart of Fermi Black Widow
  Millisecond Pulsar PSR J1544+4937",arXiv,,,6/30/14,2014,,,,"All OA; Green, Accepted & Submitted",Preprint,"Tang, Sumin; Kaplan, David L.; Phinney, Sterl; Prince, Thomas A.; Breton, Rene P.; Bellm, Eric; Bildsten, Lars; Cao, Yi; Kong, A. K. H.; Perley, Daniel A.; Sesar, Branimir; Wolf, William M.; Yen, T. -C.",,"Tang, Sumin (); Kaplan, David L. (); Phinney, Sterl (); Prince, Thomas A. (); Breton, Rene P. (); Bellm, Eric (); Bildsten, Lars (); Cao, Yi (); Kong, A. K. H. (); Perley, Daniel A. (); Sesar, Branimir (); Wolf, William M. (); Yen, T. -C. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118540193,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
68,100,pub.1038847664,10.1088/0004-637x/788/1/93,,,ANGULAR MOMENTUM TRANSPORT WITHIN EVOLVED LOW-MASS STARS,The Astrophysical Journal,,,5/27/14,2014,788,1,93,All OA; Gold,Article,"Cantiello, Matteo; Mankovich, Christopher; Bildsten, Lars; Christensen-Dalsgaard, Jørgen; Paxton, Bill",,"Cantiello, Matteo (University of California, Santa Barbara); Mankovich, Christopher (University of California, Santa Cruz; University of California, Santa Barbara); Bildsten, Lars (University of California, Santa Barbara); Christensen-Dalsgaard, Jørgen (Aarhus University); Paxton, Bill (University of California, Santa Barbara)",108,34,,29.94,http://iopscience.iop.org/article/10.1088/0004-637X/788/1/93/pdf,https://app.dimensions.ai/details/publication/pub.1038847664,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
69,100,pub.1118561779,,,,Angular momentum transport within evolved low-mass stars,arXiv,,,5/6/14,2014,,,,"All OA; Green, Accepted & Submitted",Preprint,"Cantiello, Matteo; Mankovich, Christopher; Bildsten, Lars; Christensen-Dalsgaard, Joergen; Paxton, Bill",,"Cantiello, Matteo (); Mankovich, Christopher (); Bildsten, Lars (); Christensen-Dalsgaard, Joergen (); Paxton, Bill ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118561779,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
70,100,pub.1000811052,10.1088/0004-637x/786/1/61,,,AN ACCRETING WHITE DWARF NEAR THE CHANDRASEKHAR LIMIT IN THE ANDROMEDA GALAXY,The Astrophysical Journal,,,4/16/14,2014,786,1,61,All OA; Gold,Article,"Tang, Sumin; Bildsten, Lars; Wolf, William M.; Li, K. L.; Kong, Albert K. H.; Cao, Yi; Cenko, S. Bradley; De Cia, Annalisa; Kasliwal, Mansi M.; Kulkarni, Shrinivas R.; Laher, Russ R.; Masci, Frank; Nugent, Peter E.; Perley, Daniel A.; Prince, Thomas A.; Surace, Jason",,"Tang, Sumin (); Bildsten, Lars (University of California, Santa Barbara); Wolf, William M. (); Li, K. L. (National Tsing Hua University); Kong, Albert K. H. (National Tsing Hua University); Cao, Yi (); Cenko, S. Bradley (); De Cia, Annalisa (Weizmann Institute of Science); Kasliwal, Mansi M. (); Kulkarni, Shrinivas R. (); Laher, Russ R. (California Institute of Technology); Masci, Frank (); Nugent, Peter E. (Lawrence Berkeley National Laboratory; University of California, Berkeley); Perley, Daniel A. (); Prince, Thomas A. (California Institute of Technology); Surace, Jason (California Institute of Technology)",39,6,,16.47,http://iopscience.iop.org/article/10.1088/0004-637X/786/1/61/pdf,https://app.dimensions.ai/details/publication/pub.1000811052,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
71,100,pub.1118563041,,,,"X-ray diagnostics of chemical composition of the accretion disk and
  donor star in UCXBs II: XMM-Newton observations",arXiv,,,4/2/14,2014,,,,"All OA; Green, Accepted & Submitted",Preprint,"Koliopanos, Filippos; Gilfanov, Marat; Bildsten, Lars; Trigo, Maria Diaz",,"Koliopanos, Filippos (Max Planck Institute for Astrophysics); Gilfanov, Marat (Max Planck Institute for Astrophysics; Space Research Institute); Bildsten, Lars (University of California, Santa Barbara); Trigo, Maria Diaz (European Southern Observatory)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118563041,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
72,100,pub.1045248670,10.1088/0004-637x/785/1/61,,,THE IGNITION OF CARBON DETONATIONS VIA CONVERGING SHOCK WAVES IN WHITE DWARFS,The Astrophysical Journal,,,3/26/14,2014,785,1,61,All OA; Gold,Article,"Shen, Ken J.; Bildsten, Lars",,"Shen, Ken J. (University of California, Berkeley); Bildsten, Lars (University of California, Santa Barbara)",59,18,,14.36,http://iopscience.iop.org/article/10.1088/0004-637X/785/1/61/pdf,https://app.dimensions.ai/details/publication/pub.1045248670,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
73,100,pub.1022289206,10.1088/0004-637x/785/1/37,,,SN 2010MB: DIRECT EVIDENCE FOR A SUPERNOVA INTERACTING WITH A LARGE AMOUNT OF HYDROGEN-FREE CIRCUMSTELLAR MATERIAL,The Astrophysical Journal,,,3/24/14,2014,785,1,37,"All OA; Green, Accepted & Submitted",Article,"Ben-Ami, Sagi; Gal-Yam, Avishay; Mazzali, Paolo A.; Gnat, Orly; Modjaz, Maryam; Rabinak, Itay; Sullivan, Mark; Bildsten, Lars; Poznanski, Dovi; Yaron, Ofer; Arcavi, Iair; Bloom, Joshua S.; Horesh, Assaf; Kasliwal, Mansi M.; Kulkarni, Shrinivas R.; Nugent, Peter E.; Ofek, Eran O.; Perley, Daniel; Quimby, Robert; Xu, Dong",,"Ben-Ami, Sagi (Weizmann Institute of Science); Gal-Yam, Avishay (Weizmann Institute of Science); Mazzali, Paolo A. (); Gnat, Orly (Hebrew University of Jerusalem); Modjaz, Maryam (New York University); Rabinak, Itay (Weizmann Institute of Science); Sullivan, Mark (University of Oxford); Bildsten, Lars (University of California, Santa Barbara); Poznanski, Dovi (Tel Aviv University); Yaron, Ofer (Weizmann Institute of Science); Arcavi, Iair (Weizmann Institute of Science); Bloom, Joshua S. (University of California, Berkeley; Lawrence Berkeley National Laboratory); Horesh, Assaf (California Institute of Technology); Kasliwal, Mansi M. (Carnegie Observatories); Kulkarni, Shrinivas R. (California Institute of Technology); Nugent, Peter E. (University of California, Berkeley; Lawrence Berkeley National Laboratory); Ofek, Eran O. (Weizmann Institute of Science); Perley, Daniel (California Institute of Technology); Quimby, Robert (University of Tokyo); Xu, Dong (University of Copenhagen)",34,11,,5.17,https://authors.library.caltech.edu/46139/1/0004-637X_785_1_37.pdf,https://app.dimensions.ai/details/publication/pub.1022289206,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
74,200,pub.1058944837,10.1088/0004-637x/782/2/117,,,"ERRATUM: “HYDROGEN BURNING ON ACCRETING WHITE DWARFS: STABILITY, RECURRENT NOVAE, AND THE POST-NOVAE SUPERSOFT PHASE” (2013, ApJ, 777, 136)",The Astrophysical Journal,,,2/4/14,2014,782,2,117,All OA; Gold,Article,"Wolf, William M.; Bildsten, Lars; Brooks, Jared; Paxton, Bill",,"Wolf, William M. (); Bildsten, Lars (); Brooks, Jared (); Paxton, Bill ()",7,2,,1.7,http://iopscience.iop.org/article/10.1088/0004-637X/782/2/117/pdf,https://app.dimensions.ai/details/publication/pub.1058944837,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
75,100,pub.1059913003,10.1093/mnras/stt1983,,,PESSTO monitoring of SN 2012hn: further heterogeneity among faint Type I supernovae,Monthly Notices of the Royal Astronomical Society,,,1/11/14,2014,437,2,1519-1533,All OA; Gold,Article,"Valenti, S.; Yuan, F.; Taubenberger, S.; Maguire, K.; Pastorello, A.; Benetti, S.; Smartt, S. J.; Cappellaro, E.; Howell, D. A.; Bildsten, L.; Moore, K.; Stritzinger, M.; Anderson, J. P.; Benitez-Herrera, S.; Bufano, F.; Gonzalez-Gaitan, S.; McCrum, M. G.; Pignata, G.; Fraser, M.; Gal-Yam, A.; Le Guillou, L.; Inserra, C.; Reichart, D. E.; Scalzo, R.; Sullivan, M.; Yaron, O.; Young, D. R.",,"Valenti, S. (Las Cumbres Observatory Global Telescope Network; University of California, Santa Barbara); Yuan, F. (Australian National University); Taubenberger, S. (Max Planck Institute for Astrophysics); Maguire, K. (University of Oxford); Pastorello, A. (Astronomical Observatory of Padova); Benetti, S. (Astronomical Observatory of Padova); Smartt, S. J. (Queen's University Belfast); Cappellaro, E. (Astronomical Observatory of Padova); Howell, D. A. (Las Cumbres Observatory Global Telescope Network; University of California, Santa Barbara); Bildsten, L. (University of California, Santa Barbara); Moore, K. (University of California, Santa Barbara); Stritzinger, M. (Aarhus University); Anderson, J. P. (University of Chile); Benitez-Herrera, S. (Max Planck Institute for Astrophysics); Bufano, F. (Andrés Bello University); Gonzalez-Gaitan, S. (University of Chile); McCrum, M. G. (Queen's University Belfast); Pignata, G. (Andrés Bello University); Fraser, M. (Queen's University Belfast); Gal-Yam, A. (Weizmann Institute of Science); Le Guillou, L. (Laboratoire Physique nucléaire et Hautes Energies); Inserra, C. (Queen's University Belfast); Reichart, D. E. (University of North Carolina at Chapel Hill); Scalzo, R. (Australian National University); Sullivan, M. (University of Southampton); Yaron, O. (Weizmann Institute of Science); Young, D. R. (Queen's University Belfast)",32,9,,8.87,https://academic.oup.com/mnras/article-pdf/437/2/1519/3855716/stt1983.pdf,https://app.dimensions.ai/details/publication/pub.1059913003,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
76,100,pub.1118616715,,,,"An Accreting White Dwarf near the Chandrasekhar Limit in the Andromeda
  Galaxy",arXiv,,,1/10/14,2014,,,,"All OA; Green, Accepted & Submitted",Preprint,"Tang, Sumin; Bildsten, Lars; Wolf, William M.; Li, K. L.; Kong, Albert K. H.; Cao, Yi; Cenko, S. Bradley; De Cia, Annalisa; Kasliwal, Mansi M.; Kulkarni, Shrinivas R.; Laher, Russ; Masci, Frank; Nugent, Peter E.; Perley, Daniel A.; Prince, Thomas A.; Surace, Jason",,"Tang, Sumin (); Bildsten, Lars (); Wolf, William M. (); Li, K. L. (); Kong, Albert K. H. (); Cao, Yi (); Cenko, S. Bradley (); De Cia, Annalisa (); Kasliwal, Mansi M. (); Kulkarni, Shrinivas R. (); Laher, Russ (); Masci, Frank (); Nugent, Peter E. (); Perley, Daniel A. (); Prince, Thomas A. (); Surace, Jason ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118616715,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
77,100,pub.1026154566,10.1088/0004-637x/780/2/167,,,PROPERTIES OF AN ECLIPSING DOUBLE WHITE DWARF BINARY NLTT 11748,The Astrophysical Journal,,,12/20/13,2013,780,2,167,All OA; Gold,Article,"Kaplan, David L.; Marsh, Thomas R.; Walker, Arielle N.; Bildsten, Lars; Bours, Madelon C. P.; Breedt, Elmé; Copperwheat, Chris M.; Dhillon, Vik S.; Howell, Steve B.; Littlefair, Stuart P.; Shporer, Avi; Steinfadt, Justin D. R.",,"Kaplan, David L. (University of Wisconsin–Milwaukee); Marsh, Thomas R. (University of Warwick); Walker, Arielle N. (University of Wisconsin–Milwaukee); Bildsten, Lars (University of California, Santa Barbara); Bours, Madelon C. P. (University of Warwick); Breedt, Elmé (University of Warwick); Copperwheat, Chris M. (Liverpool John Moores University); Dhillon, Vik S. (University of Sheffield); Howell, Steve B. (Ames Research Center); Littlefair, Stuart P. (University of Sheffield); Shporer, Avi (California Institute of Technology); Steinfadt, Justin D. R. (University of California, Santa Barbara)",21,4,,4.68,http://iopscience.iop.org/article/10.1088/0004-637X/780/2/167/pdf,https://app.dimensions.ai/details/publication/pub.1026154566,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
78,100,pub.1118591925,,,,Properties of the Eclipsing Double-White Dwarf Binary NLTT 11748,arXiv,,,11/26/13,2013,,,,"All OA; Green, Accepted & Submitted",Preprint,"Kaplan, David L.; Marsh, Thomas R.; Walker, Arielle N.; Bildsten, Lars; Bours, Madelon C. P.; Breedt, Elmé; Copperwheat, Chris M.; Dhillon, Vik S.; Howell, Steve B.; Littlefair, Stuart P.; Shporer, Avi; Steinfadt, Justin D. R.",,"Kaplan, David L. (); Marsh, Thomas R. (); Walker, Arielle N. (); Bildsten, Lars (); Bours, Madelon C. P. (); Breedt, Elmé (); Copperwheat, Chris M. (); Dhillon, Vik S. (); Howell, Steve B. (); Littlefair, Stuart P. (); Shporer, Avi (); Steinfadt, Justin D. R. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118591925,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
79,100,pub.1006829223,10.1088/0004-637x/777/2/136,,,"HYDROGEN BURNING ON ACCRETING WHITE DWARFS: STABILITY, RECURRENT NOVAE, AND THE POST-NOVA SUPERSOFT PHASE",The Astrophysical Journal,,,10/22/13,2013,777,2,136,All OA; Gold,Article,"Wolf, William M.; Bildsten, Lars; Brooks, Jared; Paxton, Bill",,"Wolf, William M. (University of California, Santa Barbara); Bildsten, Lars (University of California, Santa Barbara); Brooks, Jared (University of California, Santa Barbara); Paxton, Bill (University of California, Santa Barbara)",82,20,,26.91,http://iopscience.iop.org/article/10.1088/0004-637X/777/2/136/pdf,https://app.dimensions.ai/details/publication/pub.1006829223,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
80,100,pub.1050560543,10.1088/0004-637x/776/2/97,,,THE EFFECTS OF CURVATURE AND EXPANSION ON HELIUM DETONATIONS ON WHITE DWARF SURFACES,The Astrophysical Journal,,,10/3/13,2013,776,2,97,All OA; Gold,Article,"Moore, Kevin; Townsley, Dean M.; Bildsten, Lars",,"Moore, Kevin (University of California, Santa Barbara); Townsley, Dean M. (University of Alabama, Tuscaloosa); Bildsten, Lars (University of California, Santa Barbara)",23,8,,7.55,http://iopscience.iop.org/article/10.1088/0004-637X/776/2/97/pdf,https://app.dimensions.ai/details/publication/pub.1050560543,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
81,100,pub.1118588422,,,,"Direct evidence for a supernova interacting with a large amount of
  hydrogen-free circumstellar material",arXiv,,,9/25/13,2013,,,,"All OA; Green, Accepted & Submitted",Preprint,"Ben-Ami, Sagi; Gal-Yam, Avishay; Mazzali, Paolo A.; Modjaz, Maryam; Rabinak, Itay; Sullivan, Mark; Bildsten, Lars; Poznanski, Dovi; Yaron, Ofer; Arcavi, Iair; Bloom, Joshua S.; Horesh, Assaf; Kasliwal, Mansi M.; Kulkarni, Shrinivas R.; Nugent, Peter E.; Ofek, Eran O.; Perley, Daniel; Quimby, Robert; Xu, Dong",,"Ben-Ami, Sagi (); Gal-Yam, Avishay (); Mazzali, Paolo A. (); Modjaz, Maryam (); Rabinak, Itay (); Sullivan, Mark (); Bildsten, Lars (); Poznanski, Dovi (); Yaron, Ofer (); Arcavi, Iair (); Bloom, Joshua S. (); Horesh, Assaf (); Kasliwal, Mansi M. (); Kulkarni, Shrinivas R. (); Nugent, Peter E. (); Ofek, Eran O. (); Perley, Daniel (); Quimby, Robert (); Xu, Dong ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118588422,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
82,100,pub.1046098146,10.1088/0067-0049/208/1/4,,,"MODULES FOR EXPERIMENTS IN STELLAR ASTROPHYSICS (MESA): PLANETS, OSCILLATIONS, ROTATION, AND MASSIVE STARS",The Astrophysical Journal Supplement Series,,,8/28/13,2013,208,1,4,All OA; Gold,Article,"Paxton, Bill; Cantiello, Matteo; Arras, Phil; Bildsten, Lars; Brown, Edward F.; Dotter, Aaron; Mankovich, Christopher; Montgomery, M. H.; Stello, Dennis; Timmes, F. X.; Townsend, Richard",,"Paxton, Bill (University of California, Santa Barbara); Cantiello, Matteo (University of California, Santa Barbara); Arras, Phil (University of Virginia); Bildsten, Lars (University of California, Santa Barbara); Brown, Edward F. (National Superconducting Cyclotron Laboratory); Dotter, Aaron (Australian National University); Mankovich, Christopher (University of California, Santa Barbara); Montgomery, M. H. (The University of Texas at Austin); Stello, Dennis (University of Sydney); Timmes, F. X. (Arizona State University); Townsend, Richard (University of Wisconsin–Madison)",859,400,,210.04,http://iopscience.iop.org/article/10.1088/0067-0049/208/1/4/pdf,https://app.dimensions.ai/details/publication/pub.1046098146,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
