,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Marina Lévy. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,100,pub.1048921910,10.1016/j.pocean.2014.11.011,,,Flexible preference of southern elephant seals for distinct mesoscale features within the Antarctic Circumpolar Current,Progress In Oceanography,,,2015-02,2015,131,J. Anim. Ecol. 77 2008,46-58,"All OA; Green, Accepted & Submitted",Article,"Cotté, Cédric; d’Ovidio, Francesco; Dragon, Anne-Cécile; Guinet, Christophe; Lévy, Marina","Cotté, Cédric","Cotté, Cédric (Sorbonne University); d’Ovidio, Francesco (Sorbonne University); Dragon, Anne-Cécile (French National Centre for Scientific Research); Guinet, Christophe (French National Centre for Scientific Research); Lévy, Marina (Sorbonne University)",32,17,,5.62,https://hal.sorbonne-universite.fr/hal-01093448/file/Cott%C3%A9_Flexible_preference.pdf,https://app.dimensions.ai/details/publication/pub.1048921910,04 Earth Sciences; 0403 Geology; 0405 Oceanography,04 Earth Sciences,0403 Geology,0405 Oceanography,,
35,100,pub.1027649454,10.1111/fog.12094,,,Do Sardinella aurita spawning seasons match local retention patterns in the Senegalese–Mauritanian upwelling region?,Fisheries Oceanography,,,2015-01,2015,24,1,69-89,"All OA; Green, Published",Article,"Mbaye, Baye Cheikh; Brochier, Timothée; Echevin, Vincent; Lazar, Alban; Lévy, Marina; Mason, Evan; Gaye, Amadou Thierno; Machu, Eric",,"Mbaye, Baye Cheikh (); Brochier, Timothée (French Research Institute for Development); Echevin, Vincent (); Lazar, Alban (); Lévy, Marina (); Mason, Evan (Mediterranean Institute for Advanced Studies); Gaye, Amadou Thierno (); Machu, Eric ()",18,7,,2.78,https://archimer.ifremer.fr/doc/00254/36524/36733.pdf,https://app.dimensions.ai/details/publication/pub.1027649454,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
36,100,pub.1003197197,10.1002/2014gl062249,,,Phytoplankton plasticity drives large variability in carbon fixation efficiency,Geophysical Research Letters,,,12/28/14,2014,41,24,8994-9000,All OA; Gold,Article,"Ayata, Sakina‐Dorothée; Lévy, Marina; Aumont, Olivier; Resplandy, Laure; Tagliabue, Alessandro; Sciandra, Antoine; Bernard, Olivier",,"Ayata, Sakina‐Dorothée (Villefranche Oceanographic Laboratory); Lévy, Marina (); Aumont, Olivier (); Resplandy, Laure (University of California, San Diego); Tagliabue, Alessandro (University of Liverpool); Sciandra, Antoine (Villefranche Oceanographic Laboratory); Bernard, Olivier (Villefranche Oceanographic Laboratory)",9,4,,2.02,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014GL062249,https://app.dimensions.ai/details/publication/pub.1003197197,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
37,100,pub.1043313783,10.1002/2014gl059608,,,Oceanic mesoscale turbulence drives large biogeochemical interannual variability at middle and high latitudes,Geophysical Research Letters,,,4/16/14,2014,41,7,2467-2474,All OA; Gold,Article,"Lévy, Marina; Resplandy, Laure; Lengaigne, Matthieu",,"Lévy, Marina (French National Centre for Scientific Research); Resplandy, Laure (Scripps Institution of Oceanography); Lengaigne, Matthieu (French National Centre for Scientific Research)",9,5,,1.24,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014GL059608,https://app.dimensions.ai/details/publication/pub.1043313783,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
38,100,pub.1012267747,10.1215/21573689-2768549,,,Phytoplankton diversity and community structure affected by oceanic dispersal and mesoscale turbulence,Limnology & Oceanography Fluids & Environments,,,2014-04,2014,4,1,67-84,All OA; Gold,Article,"Lévy, Marina; Jahn, Oliver; Dutkiewicz, Stephanie; Follows, Michael J.",,"Lévy, Marina (Sorbonne University); Jahn, Oliver (Massachusetts Institute of Technology); Dutkiewicz, Stephanie (Massachusetts Institute of Technology); Follows, Michael J. (Massachusetts Institute of Technology)",30,12,,4.45,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1215/21573689-2768549,https://app.dimensions.ai/details/publication/pub.1012267747,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
39,100,pub.1004500323,10.1038/ngeo2101,,,Surface-water iron supplies in the Southern Ocean sustained by deep winter mixing,Nature Geoscience,,,2014-04,2014,7,4,314-320,Closed,Article,"Tagliabue, Alessandro; Sallée, Jean-Baptiste; Bowie, Andrew R.; Lévy, Marina; Swart, Sebastiaan; Boyd, Philip W.","Tagliabue, Alessandro","Tagliabue, Alessandro (University of Liverpool; Council for Scientific and Industrial Research); Sallée, Jean-Baptiste (Sorbonne University; French National Centre for Scientific Research; British Antarctic Survey); Bowie, Andrew R. (University of Tasmania); Lévy, Marina (Sorbonne University; French National Centre for Scientific Research); Swart, Sebastiaan (Council for Scientific and Industrial Research; University of Cape Town); Boyd, Philip W. (University of Otago; University of Tasmania)",121,50,,16.63,,https://app.dimensions.ai/details/publication/pub.1004500323,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
40,100,pub.1043032528,10.1016/j.csr.2013.11.015,,,Intraseasonal variability of nearshore productivity in the Northern Humboldt Current System: The role of coastal trapped waves,Continental Shelf Research,,,2014-02,2014,73,,14-30,"All OA; Green, Published",Article,"Echevin, Vincent; Albert, Aurélie; Lévy, Marina; Graco, Michelle; Aumont, Olivier; Piétri, Alice; Garric, Gilles","Echevin, Vincent","Echevin, Vincent (Institut Pierre-Simon Laplace); Albert, Aurélie (Institut Pierre-Simon Laplace); Lévy, Marina (Institut Pierre-Simon Laplace); Graco, Michelle (Instituto del Mar del Peru); Aumont, Olivier (); Piétri, Alice (); Garric, Gilles (Mercator Ocean (France))",22,11,,3.26,https://archimer.ifremer.fr/doc/00166/27692/25885.pdf,https://app.dimensions.ai/details/publication/pub.1043032528,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
41,100,pub.1039638085,10.1002/gbc.20092,,,Physical pathways for carbon transfers between the surface mixed layer and the ocean interior,Global Biogeochemical Cycles,,,2013-12,2013,27,4,1001-1012,All OA; Gold,Article,"Levy, M.; Bopp, L.; Karleskind, P.; Resplandy, L.; Ethe, C.; Pinsard, F.",,"Levy, M. (French National Centre for Scientific Research); Bopp, L. (); Karleskind, P. (); Resplandy, L. (); Ethe, C. (French National Centre for Scientific Research); Pinsard, F. (French National Centre for Scientific Research)",32,19,,3.83,http://onlinelibrary.wiley.com/doi/10.1002/gbc.20092/pdf,https://app.dimensions.ai/details/publication/pub.1039638085,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
42,100,pub.1021487011,10.1002/2012gb004518,,,The influence of mesoscale and submesoscale heterogeneity on ocean biogeochemical reactions,Global Biogeochemical Cycles,,,2013-12,2013,27,4,1139-1150,All OA; Gold,Article,"Levy, M.; Martin, A. P.",,"Levy, M. (French National Centre for Scientific Research); Martin, A. P. (National Oceanography Centre)",23,10,,2.77,http://onlinelibrary.wiley.com/doi/10.1002/2012GB004518/pdf,https://app.dimensions.ai/details/publication/pub.1021487011,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,0402 Geochemistry,
43,100,pub.1002639683,10.1016/j.jmarsys.2012.12.010,,,Phytoplankton growth formulation in marine ecosystem models: Should we take into account photo-acclimation and variable stoichiometry in oligotrophic areas?,Journal of Marine Systems,,,2013-09,2013,125,,29-40,"All OA; Green, Published",Article,"Ayata, S.-D.; Lévy, M.; Aumont, O.; Sciandra, A.; Sainte-Marie, J.; Tagliabue, A.; Bernard, O.","Ayata, S.-D.","Ayata, S.-D. (Villefranche Oceanographic Laboratory; Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques); Lévy, M. (Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques); Aumont, O. (); Sciandra, A. (Villefranche Oceanographic Laboratory); Sainte-Marie, J. (); Tagliabue, A. (University of Liverpool); Bernard, O. (Villefranche Oceanographic Laboratory; French Institute for Research in Computer Science and Automation)",20,2,,2.39,https://archimer.ifremer.fr/doc/00159/27071/25460.pdf,https://app.dimensions.ai/details/publication/pub.1002639683,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
44,100,pub.1012572508,10.1016/j.rse.2012.11.025,,,Reconstruction of satellite chlorophyll images under heavy cloud coverage using a neural classification method,Remote Sensing of Environment,,,2013-04,2013,131,,232-246,Closed,Article,"Jouini, Manel; Lévy, Marina; Crépon, Michel; Thiria, Sylvie","Jouini, Manel","Jouini, Manel (); Lévy, Marina (); Crépon, Michel (); Thiria, Sylvie ()",16,5,,3.76,,https://app.dimensions.ai/details/publication/pub.1012572508,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
45,100,pub.1034566738,10.5194/bg-9-5095-2012,,,Controlling factors of the oxygen balance in the Arabian Sea's OMZ,Biogeosciences,,,12/13/12,2012,9,12,5095-5109,All OA; Gold,Article,"Resplandy, L.; Lévy, M.; Bopp, L.; Echevin, V.; Pous, S.; Sarma, V. V. S. S.; Kumar, D.",,"Resplandy, L. (French National Centre for Scientific Research); Lévy, M. (); Bopp, L. (French National Centre for Scientific Research); Echevin, V. (); Pous, S. (National Museum of Natural History); Sarma, V. V. S. S. (National Institute of Oceanography); Kumar, D. (National Institute of Oceanography)",40,20,,4.49,https://www.biogeosciences.net/9/5095/2012/bg-9-5095-2012.pdf,https://app.dimensions.ai/details/publication/pub.1034566738,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
46,400,pub.1047615473,10.1098/rsif.2012.0509,22951344,PMC3481590,Frigatebird behaviour at the ocean–atmosphere interface: integrating animal behaviour with multi-satellite data,Journal of The Royal Society Interface,,"Air Movements; Animals; Behavior, Animal; Birds; Climate Change; Ecosystem; Geographic Information Systems; Nonlinear Dynamics; Oceans and Seas; Remote Sensing Technology; Wind",12/7/12,2012,9,77,3351-3358,All OA; Gold,Article,"De Monte, Silvia; Cotté, Cedric; d'Ovidio, Francesco; Lévy, Marina; Le Corre, Matthieu; Weimerskirch, Henri",,"De Monte, Silvia (French National Centre for Scientific Research; École Normale Supérieure); Cotté, Cedric (French National Centre for Scientific Research; Centre d'Etudes Biologiques de Chizé); d'Ovidio, Francesco (French National Centre for Scientific Research); Lévy, Marina (French National Centre for Scientific Research); Le Corre, Matthieu (); Weimerskirch, Henri (Centre d'Etudes Biologiques de Chizé)",34,12,0.68,4.79,http://rsif.royalsocietypublishing.org/content/9/77/3351.full.pdf,https://app.dimensions.ai/details/publication/pub.1047615473,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
47,100,pub.1038402465,10.1016/j.dsr.2012.05.015,,,How does dynamical spatial variability impact 234Th-derived estimates of organic export?,Deep Sea Research Part I Oceanographic Research Papers,,,2012-10,2012,68,,24-45,"All OA; Green, Published",Article,"Resplandy, L.; Martin, A.P.; Le Moigne, F.; Martin, P.; Aquilina, A.; Mémery, L.; Lévy, M.; Sanders, R.","Resplandy, L.","Resplandy, L. (National Oceanography Centre); Martin, A.P. (National Oceanography Centre); Le Moigne, F. (National Oceanography Centre); Martin, P. (National Oceanography Centre; Woods Hole Oceanographic Institution); Aquilina, A. (National Oceanography Centre); Mémery, L. (Laboratoire des Sciences de l'Environnement Marin); Lévy, M. (Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques); Sanders, R. (National Oceanography Centre)",33,10,,4.14,https://zenodo.org/record/1226/files/resplandy%20et%20al%202012%20POSTPRINT.pdf,https://app.dimensions.ai/details/publication/pub.1038402465,04 Earth Sciences; 0403 Geology; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0405 Oceanography,0402 Geochemistry,
48,100,pub.1016266421,10.1029/2012gl052756,,,Bringing physics to life at the submesoscale,Geophysical Research Letters,,,7/28/12,2012,39,14,n/a-n/a,All OA; Gold,Article,"Lévy, Marina; Ferrari, Raffaele; Franks, Peter J. S.; Martin, Adrian P.; Rivière, Pascal",,"Lévy, Marina (); Ferrari, Raffaele (Massachusetts Institute of Technology); Franks, Peter J. S. (University of California, San Diego); Martin, Adrian P. (National Oceanography Centre); Rivière, Pascal ()",201,73,,35.49,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2012GL052756,https://app.dimensions.ai/details/publication/pub.1016266421,0915 Interdisciplinary Engineering; 09 Engineering; 04 Earth Sciences; 0405 Oceanography,0915 Interdisciplinary Engineering,09 Engineering,04 Earth Sciences,0405 Oceanography,
49,100,pub.1017121125,10.1029/2011gb004145,,,Contribution of tropical cyclones to the air‐sea CO2 flux: A global view,Global Biogeochemical Cycles,,,2012-06,2012,26,2,n/a-n/a,All OA; Gold,Article,"Lévy, M.; Lengaigne, M.; Bopp, L.; Vincent, E. M.; Madec, G.; Ethé, C.; Kumar, D.; Sarma, V. V. S. S.",,"Lévy, M. (); Lengaigne, M. (National Institute of Oceanography); Bopp, L. (); Vincent, E. M. (); Madec, G. (); Ethé, C. (); Kumar, D. (National Institute of Oceanography); Sarma, V. V. S. S. (National Institute of Oceanography)",13,5,,1.46,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011GB004145,https://app.dimensions.ai/details/publication/pub.1017121125,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
50,100,pub.1031139729,10.5194/bgd-9-5509-2012,,,Controlling factors of the OMZ in the Arabian Sea,Biogeosciences Discussions,,,5/10/12,2012,9,5,5509-5550,All OA; Gold,Article,"Resplandy, L.; Lévy, M.; Bopp, L.; Echevin, V.; Pous, S.; Sarma, V. V. S. S.; Kumar, D.",,"Resplandy, L. (); Lévy, M. (); Bopp, L. (); Echevin, V. (); Pous, S. (National Museum of Natural History); Sarma, V. V. S. S. (National Institute of Oceanography); Kumar, D. (National Institute of Oceanography)",1,1,,0.11,https://doi.org/10.5194/bgd-9-5509-2012,https://app.dimensions.ai/details/publication/pub.1031139729,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
51,100,pub.1048599875,10.1016/j.ocemod.2012.02.004,,,Grid degradation of submesoscale resolving ocean models: Benefits for offline passive tracer transport,Ocean Modelling,,,2012-05,2012,48,,9-Jan,Closed,Article,"Lévy, M.; Resplandy, L.; Klein, P.; Capet, X.; Iovino, D.; Ethé, C.","Lévy, M.","Lévy, M. (); Resplandy, L. (); Klein, P. (); Capet, X. (); Iovino, D. (); Ethé, C. ()",23,4,,4.65,,https://app.dimensions.ai/details/publication/pub.1048599875,0911 Maritime Engineering; 09 Engineering; 04 Earth Sciences; 0405 Oceanography,0911 Maritime Engineering,09 Engineering,04 Earth Sciences,0405 Oceanography,
52,100,pub.1016816360,10.1016/j.ocemod.2011.12.003,,,Large-scale impacts of submesoscale dynamics on phytoplankton: Local and remote effects,Ocean Modelling,,,2012-01,2012,43,Nature 437 2005,77-93,Closed,Article,"Lévy, M.; Iovino, D.; Resplandy, L.; Klein, P.; Madec, G.; Tréguier, A.-M.; Masson, S.; Takahashi, K.","Lévy, M.","Lévy, M. (); Iovino, D. (); Resplandy, L. (); Klein, P. (); Madec, G. (); Tréguier, A.-M. (); Masson, S. (); Takahashi, K. ()",76,26,,15.38,,https://app.dimensions.ai/details/publication/pub.1016816360,0911 Maritime Engineering; 09 Engineering; 04 Earth Sciences; 0405 Oceanography,0911 Maritime Engineering,09 Engineering,04 Earth Sciences,0405 Oceanography,
53,100,pub.1024498534,10.1029/2011gl048588,,,Long range transport of a quasi isolated chlorophyll patch by an Agulhas ring,Geophysical Research Letters,,,2011-08,2011,38,16,n/a-n/a,All OA; Gold,Article,"Lehahn, Yoav; d'Ovidio, Francesco; Lévy, Marina; Amitai, Yael; Heifetz, Eyal",,"Lehahn, Yoav (Tel Aviv University; Weizmann Institute of Science); d'Ovidio, Francesco (Sorbonne University); Lévy, Marina (Sorbonne University); Amitai, Yael (Hebrew University of Jerusalem); Heifetz, Eyal (Tel Aviv University)",46,17,,12.65,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011GL048588,https://app.dimensions.ai/details/publication/pub.1024498534,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
54,400,pub.1040755186,10.1098/rsta.2010.0340,21502173,,Impact of episodic vertical fluxes on sea surface pCO2,Philosophical Transactions of The Royal Society A Mathematical Physical and Engineering Sciences,,,5/28/11,2011,369,1943,2009-2025,All OA; Gold,Article,"Mahadevan, A.; Tagliabue, A.; Bopp, L.; Lenton, A.; Mémery, L.; Lévy, M.",,"Mahadevan, A. (Boston University); Tagliabue, A. (Laboratoire des Sciences du Climat et de l'Environnement); Bopp, L. (Laboratoire des Sciences du Climat et de l'Environnement); Lenton, A. (); Mémery, L. (); Lévy, M. ()",18,4,0.12,2.37,http://rsta.royalsocietypublishing.org/content/369/1943/2009.full.pdf,https://app.dimensions.ai/details/publication/pub.1040755186,0907 Environmental Engineering; 09 Engineering; 04 Earth Sciences; 0405 Oceanography,0907 Environmental Engineering,09 Engineering,04 Earth Sciences,0405 Oceanography,
55,100,pub.1015637836,10.1093/plankt/fbq131,,,Impact of eddy-driven vertical fluxes on phytoplankton abundance in the euphotic layer,Journal of Plankton Research,,,5/1/11,2011,33,5,827-831,All OA; Gold,Article,"Lathuiliere, Cyril; Levy, Marina; Echevin, Vincent",,"Lathuiliere, Cyril (); Levy, Marina (); Echevin, Vincent ()",17,3,,2.5,https://academic.oup.com/plankt/article-pdf/33/5/827/4298955/fbq131.pdf,https://app.dimensions.ai/details/publication/pub.1015637836,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences; 0608 Zoology,0607 Plant Biology,0602 Ecology,06 Biological Sciences,0608 Zoology,
56,100,pub.1033208837,10.4319/lo.2011.56.1.0219,,,Scale‐dependent interactions of Mediterranean whales with marine dynamics,Limnology and Oceanography,,,2011-01,2011,56,1,219-232,All OA; Gold,Article,"Cotte, Cèdric; d'Ovidio, Francesco; Chaigneau, Alexis; Lèvy, Marina; Taupier-Letage, Isabelle; Mate, Bruce; Guinet, Christophe",,"Cotte, Cèdric (Délégation Provence et Corse; French National Centre for Scientific Research); d'Ovidio, Francesco (French National Centre for Scientific Research); Chaigneau, Alexis (French National Centre for Scientific Research; Instituto del Mar del Peru); Lèvy, Marina (French National Centre for Scientific Research); Taupier-Letage, Isabelle (Délégation Provence et Corse); Mate, Bruce (Oregon State University); Guinet, Christophe (French National Centre for Scientific Research)",60,20,,6.25,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2011.56.1.0219,https://app.dimensions.ai/details/publication/pub.1033208837,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
57,100,pub.1012404856,10.1016/j.ocemod.2010.12.003,,,Modifications of mode water properties by sub-mesoscales in a bio-physical model of the Northeast Atlantic,Ocean Modelling,,,2011-01,2011,39,2-Jan,47-60,Closed,Article,"Karleskind, P.; Lévy, M.; Mémery, L.","Lévy, M.","Karleskind, P. (Laboratoire des Sciences de l'Environnement Marin); Lévy, M. (); Mémery, L. (Laboratoire des Sciences de l'Environnement Marin)",14,2,,1.49,,https://app.dimensions.ai/details/publication/pub.1012404856,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
58,100,pub.1052526726,10.1029/2010jc006446,,,"Subduction of carbon, nitrogen, and oxygen in the northeast Atlantic",Journal of Geophysical Research,,,2011,2011,116,C2,,All OA; Gold,Article,"Karleskind, P.; Lévy, M.; Memery, L.",,"Karleskind, P. (Laboratoire des Sciences de l'Environnement Marin); Lévy, M. (Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques); Memery, L. (Laboratoire des Sciences de l'Environnement Marin)",21,7,,2.24,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010JC006446,https://app.dimensions.ai/details/publication/pub.1052526726,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
59,100,pub.1028988875,10.1029/2011jc007006,,,Contribution of mesoscale processes to nutrient budgets in the Arabian Sea,Journal of Geophysical Research,,,2011,2011,116,C11,,All OA; Gold,Article,"Resplandy, L.; Lévy, M.; Madec, G.; Pous, S.; Aumont, O.; Kumar, D.",,"Resplandy, L. (); Lévy, M. (); Madec, G. (National Oceanography Centre); Pous, S. (); Aumont, O. (French National Centre for Scientific Research); Kumar, D. (National Institute of Oceanography)",38,9,,4.05,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011JC007006,https://app.dimensions.ai/details/publication/pub.1028988875,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
60,400,pub.1024603659,10.1073/pnas.1004620107,20974927,PMC2972977,Fluid dynamical niches of phytoplankton types,Proceedings of the National Academy of Sciences,,"Algorithms; Biophysical Phenomena; Chlorophyll; Ecosystem; Marine Biology; Models, Biological; Oceans and Seas; Phytoplankton",10/26/10,2010,107,43,18366-18370,All OA; Gold,Article,"d’Ovidio, Francesco; De Monte, Silvia; Alvain, Séverine; Dandonneau, Yves; Lévy, Marina",,"d’Ovidio, Francesco (Sorbonne University); De Monte, Silvia (École Normale Supérieure; Sorbonne University; French National Centre for Scientific Research); Alvain, Séverine (Laboratoire d’Océanologie et de Géosciences); Dandonneau, Yves (Sorbonne University); Lévy, Marina (Sorbonne University)",145,34,1.28,13.71,http://www.pnas.org/content/107/43/18366.full.pdf,https://app.dimensions.ai/details/publication/pub.1024603659,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
61,100,pub.1040319618,10.1016/j.ocemod.2010.04.001,,,Modifications of gyre circulation by sub-mesoscale physics,Ocean Modelling,,,2010-01,2010,34,2-Jan,15-Jan,Closed,Article,"Lévy, M.; Klein, P.; Tréguier, A.-M.; Iovino, D.; Madec, G.; Masson, S.; Takahashi, K.","Lévy, M.","Lévy, M. (Sorbonne University); Klein, P. (French Research Institute for Exploitation of the Sea); Tréguier, A.-M. (French Research Institute for Exploitation of the Sea); Iovino, D. (Sorbonne University); Madec, G. (Sorbonne University); Masson, S. (Sorbonne University); Takahashi, K. (Japan Agency for Marine-Earth Science and Technology)",84,18,,20.14,,https://app.dimensions.ai/details/publication/pub.1040319618,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
62,100,pub.1033509216,10.1029/2010jc006569,,,Impact of nearshore wind stress curl on coastal circulation and primary productivity in the Peru upwelling system,Journal of Geophysical Research,,,2010,2010,115,C12,,All OA; Gold,Article,"Albert, A.; Echevin, V.; Lévy, M.; Aumont, O.",,"Albert, A. (French National Centre for Scientific Research); Echevin, V. (French National Centre for Scientific Research); Lévy, M. (French National Centre for Scientific Research); Aumont, O. ()",54,13,,5.11,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010JC006569,https://app.dimensions.ai/details/publication/pub.1033509216,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
63,100,pub.1021628902,10.1029/2009jc005827,,,On the role of the mesoscale circulation on an idealized coastal upwelling ecosystem,Journal of Geophysical Research,,,2010,2010,115,C9,,All OA; Gold,Article,"Lathuilière, C.; Echevin, V.; Lévy, M.; Madec, G.",,"Lathuilière, C. (); Echevin, V. (); Lévy, M. (); Madec, G. ()",36,5,,3.4,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009JC005827,https://app.dimensions.ai/details/publication/pub.1021628902,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
64,100,pub.1014197474,10.1029/2008gb003239,,,Impact of submesoscale variability in estimating the air‐sea CO2 exchange: Results from a model study of the POMME experiment,Global Biogeochemical Cycles,,,2009-03,2009,23,1,n/a-n/a,All OA; Gold,Article,"Resplandy, L.; Lévy, M.; d'Ovidio, F.; Merlivat, L.",,"Resplandy, L. (Sorbonne University); Lévy, M. (Sorbonne University); d'Ovidio, F. (École Normale Supérieure); Merlivat, L. (Sorbonne University)",23,3,,1.84,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008GB003239,https://app.dimensions.ai/details/publication/pub.1014197474,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
65,100,pub.1012477612,10.1016/j.jmarsys.2008.08.003,,,On the key role of nutrient data to constrain a coupled physical–biogeochemical assimilative model of the North Atlantic Ocean,Journal of Marine Systems,,,2009-01,2009,75,2-Jan,100-115,Closed,Article,"Ourmières, Yann; Brasseur, Pierre; Lévy, Marina; Brankart, Jean-Michel; Verron, Jacques","Ourmières, Yann","Ourmières, Yann (University of Toulon); Brasseur, Pierre (Laboratory of Geophysical and Industrial Flows); Lévy, Marina (French National Centre for Scientific Research); Brankart, Jean-Michel (Laboratory of Geophysical and Industrial Flows); Verron, Jacques (Laboratory of Geophysical and Industrial Flows)",28,5,,2.24,,https://app.dimensions.ai/details/publication/pub.1012477612,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
66,100,pub.1020767664,10.1029/2008jc005246,,,Seasonal and intraseasonal biogeochemical variability in the thermocline ridge of the southern tropical Indian Ocean,Journal of Geophysical Research,,,2009,2009,114,C7,,All OA; Gold,Article,"Resplandy, L.; Vialard, J.; Lévy, M.; Aumont, O.; Dandonneau, Y.",,"Resplandy, L. (Sorbonne University); Vialard, J. (Sorbonne University); Lévy, M. (Sorbonne University); Aumont, O. (); Dandonneau, Y. (Sorbonne University)",35,4,,2.8,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008JC005246,https://app.dimensions.ai/details/publication/pub.1020767664,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
67,100,pub.1015017785,10.1029/2009gl039490,,,New production stimulated by high‐frequency winds in a turbulent mesoscale eddy field,Geophysical Research Letters,,,2009,2009,36,16,,All OA; Gold,Article,"Lévy, M.; Klein, P.; Jelloul, M. Ben",,"Lévy, M. (Sorbonne University); Klein, P. (University of Western Brittany); Jelloul, M. Ben (University of Western Brittany)",34,5,,7.64,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009GL039490,https://app.dimensions.ai/details/publication/pub.1015017785,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
68,100,pub.1003546038,10.1029/2009jc005546,,,Nutrients in mode waters of the northeast Atlantic,Journal of Geophysical Research,,,2009,2009,114,C10,,All OA; Gold,Article,"Reverdin, G.; Lévy, M.; Raimbault, P.; Lefèvre, D.",,"Reverdin, G. (Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques); Lévy, M. (Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques); Raimbault, P. (); Lefèvre, D. ()",3,0,,0.24,http://onlinelibrary.wiley.com/doi/10.1029/2009JC005546/pdf,https://app.dimensions.ai/details/publication/pub.1003546038,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
