,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Jacob N Israelachvili. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,400,pub.1056097179,10.1021/jp408144g,24229092,,The intersection of interfacial forces and electrochemical reactions.,The Journal of Physical Chemistry B,,Adsorption; Electricity; Electrochemistry; Ionic Liquids; Mechanical Phenomena; Oxidation-Reduction,12/27/13,2013,117,51,16369-87,"All OA; Green, Published",Article,"Israelachvili, Jacob N.; Kristiansen, Kai; Gebbie, Matthew A.; Lee, Dong Woog; Donaldson, Stephen H.; Das, Saurabh; Rapp, Michael V.; Banquy, Xavier; Valtiner, Markus; Yu, Jing",,"Israelachvili, Jacob N. (University of California, Santa Barbara); Kristiansen, Kai (University of California, Santa Barbara); Gebbie, Matthew A. (University of California, Santa Barbara); Lee, Dong Woog (University of California, Santa Barbara); Donaldson, Stephen H. (University of California, Santa Barbara); Das, Saurabh (University of California, Santa Barbara); Rapp, Michael V. (University of California, Santa Barbara); Banquy, Xavier (University of Montreal); Valtiner, Markus (Max Planck Institute for Iron Research); Yu, Jing (California Institute of Technology)",8,1,0.43,1.71,https://escholarship.org/content/qt7zh210qn/qt7zh210qn.pdf?t=nwizml,https://app.dimensions.ai/details/publication/pub.1056097179,02 Physical Sciences; 03 Chemical Sciences; 0299 Other Physical Sciences; 0306 Physical Chemistry (incl. Structural),02 Physical Sciences,03 Chemical Sciences,0299 Other Physical Sciences,0306 Physical Chemistry (incl. Structural),
86,400,pub.1056158721,10.1021/la403420f,24191677,,JKR theory for the stick-slip peeling and adhesion hysteresis of gecko mimetic patterned surfaces with a smooth glass surface.,Langmuir,,"Dimethylpolysiloxanes; Glass; Models, Chemical; Silicon Dioxide; Surface Properties",12/3/13,2013,29,48,15006-12,"All OA; Green, Published",Article,"Das, Saurabh; Chary, Sathya; Yu, Jing; Tamelier, John; Turner, Kimberly L.; Israelachvili, Jacob N.",,"Das, Saurabh (University of California, Santa Barbara); Chary, Sathya (University of California, Santa Barbara); Yu, Jing (University of California, Santa Barbara); Tamelier, John (University of California, Santa Barbara); Turner, Kimberly L. (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara)",13,3,0.97,2.37,https://escholarship.org/content/qt3pc6r2nc/qt3pc6r2nc.pdf?t=nwizo6,https://app.dimensions.ai/details/publication/pub.1056158721,0912 Materials Engineering; 09 Engineering; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,09 Engineering,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
87,400,pub.1056225663,10.1021/nn4050112,24138532,,Asymmetric electrostatic and hydrophobic-hydrophilic interaction forces between mica surfaces and silicone polymer thin films.,ACS Nano,,Adsorption; Aluminum Silicates; Biocompatible Materials; Dimethylpolysiloxanes; Gold; Hydrogen-Ion Concentration; Hydrophobic and Hydrophilic Interactions; Membrane Potentials; Nanotechnology; Polymers; Silicones; Solutions; Static Electricity; Surface Properties; Water,11/26/13,2013,7,11,10094-104,"All OA; Green, Accepted & Submitted",Article,"Donaldson, Stephen H.; Das, Saurabh; Gebbie, Matthew A.; Rapp, Michael; Jones, Louis C.; Roiter, Yuri; Koenig, Peter H.; Gizaw, Yonas; Israelachvili, Jacob N.",,"Donaldson, Stephen H. (University of California, Santa Barbara); Das, Saurabh (University of California, Santa Barbara); Gebbie, Matthew A. (University of California, Santa Barbara); Rapp, Michael (University of California, Santa Barbara); Jones, Louis C. (University of California, Santa Barbara); Roiter, Yuri (Procter & Gamble (United States)); Koenig, Peter H. (); Gizaw, Yonas (Procter & Gamble (United States)); Israelachvili, Jacob N. (University of California, Santa Barbara)",28,8,1.24,3.99,https://escholarship.org/content/qt12h8w4qv/qt12h8w4qv.pdf?t=nwizpg,https://app.dimensions.ai/details/publication/pub.1056225663,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
88,400,pub.1056158629,10.1021/la403124u,24138057,PMC3888206,Strong adhesion and cohesion of chitosan in aqueous solutions.,Langmuir,,"Adhesiveness; Adsorption; Aluminum Silicates; Carbohydrate Conformation; Chitosan; Hydrogen-Ion Concentration; Models, Molecular; Solutions; Time Factors; Water",11/19/13,2013,29,46,14222-9,"All OA; Green, Published",Article,"Lee, Dong Woog; Lim, Chanoong; Israelachvili, Jacob N.; Hwang, Dong Soo",,"Lee, Dong Woog (University of California, Santa Barbara); Lim, Chanoong (Pohang University of Science and Technology); Israelachvili, Jacob N. (University of California, Santa Barbara); Hwang, Dong Soo (Pohang University of Science and Technology)",59,37,1.72,8.41,https://escholarship.org/content/qt2z61027p/qt2z61027p.pdf?t=nwj080,https://app.dimensions.ai/details/publication/pub.1056158629,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
89,400,pub.1049663335,10.1002/btpr.1810,24106182,PMC3864665,Antioxidant efficacy and adhesion rescue by a recombinant mussel foot protein‐6,Biotechnology Progress,,Amino Acid Sequence; Animals; Antioxidants; Muscle Proteins; Mytilus; Oxidation-Reduction; Recombinant Proteins,2013-11,2013,29,6,1587-1593,"All OA; Green, Accepted & Submitted",Article,"Nicklisch, Sascha C. T.; Das, Saurabh; Rodriguez, Nadine R. Martinez; Waite, J. Herbert; Israelachvili, Jacob N.",,"Nicklisch, Sascha C. T. (); Das, Saurabh (); Rodriguez, Nadine R. Martinez (); Waite, J. Herbert (); Israelachvili, Jacob N. ()",17,3,0.9,,http://europepmc.org/articles/pmc3864665?pdf=render,https://app.dimensions.ai/details/publication/pub.1049663335,09 Engineering; 10 Technology; 06 Biological Sciences,09 Engineering,10 Technology,06 Biological Sciences,,
90,200,pub.1021012464,10.1073/pnas.1315608110,24344410,PMC3816461,Reply to Perkin et al.: Experimental observations demonstrate that ionic liquids form both bound (Stern) and diffuse electric double layers,Proceedings of the National Academy of Sciences,,Electrolytes; Ionic Liquids; Solutions; Thermodynamics,10/29/13,2013,110,44,e4122-e4122,All OA; Gold,Article,"Gebbie, Matthew A.; Valtiner, Markus; Banquy, Xavier; Henderson, Wesley A.; Israelachvili, Jacob N.",,"Gebbie, Matthew A. (); Valtiner, Markus (Max Planck Institute for Iron Research); Banquy, Xavier (University of Montreal); Henderson, Wesley A. (North Carolina State University); Israelachvili, Jacob N. (University of California, Santa Barbara)",26,5,1.31,,http://www.pnas.org/content/110/44/E4122.full.pdf,https://app.dimensions.ai/details/publication/pub.1021012464,,,,,,
91,400,pub.1016398662,10.1073/pnas.1315015110,24014592,PMC3785749,Adaptive hydrophobic and hydrophilic interactions of mussel foot proteins with organic thin films,Proceedings of the National Academy of Sciences,,"Adhesiveness; Amino Acid Sequence; Animals; Bivalvia; Hydrophobic and Hydrophilic Interactions; Models, Molecular; Molecular Sequence Data; Organic Chemicals; Proteins; Surface Properties; Thermodynamics",9/24/13,2013,110,39,15680-15685,All OA; Gold,Article,"Yu, Jing; Kan, Yajing; Rapp, Michael; Danner, Eric; Wei, Wei; Das, Saurabh; Miller, Dusty R.; Chen, Yunfei; Waite, J. Herbert; Israelachvili, Jacob N.",,"Yu, Jing (); Kan, Yajing (Southeast University); Rapp, Michael (); Danner, Eric (); Wei, Wei (University of California, Santa Barbara); Das, Saurabh (); Miller, Dusty R. (); Chen, Yunfei (Southeast University); Waite, J. Herbert (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara)",77,27,3.17,10.96,http://www.pnas.org/content/110/39/15680.full.pdf,https://app.dimensions.ai/details/publication/pub.1016398662,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
92,400,pub.1056157919,10.1021/la401002b,23659277,,Brief history of intermolecular and intersurface forces in complex fluid systems.,Langmuir,,,8/6/13,2013,29,31,9605-19,Closed,Article,"Israelachvili, Jacob; Ruths, Marina",,"Israelachvili, Jacob (University of California, Santa Barbara); Ruths, Marina (University of Massachusetts Lowell)",10,2,0.54,3.31,,https://app.dimensions.ai/details/publication/pub.1056157919,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
93,200,pub.1052646373,10.1073/pnas.1304142110,23754367,PMC3740825,Entropic forces between fluid layers,Proceedings of the National Academy of Sciences,,Membranes,8/6/13,2013,110,32,e2944-e2944,All OA; Gold,Article,"Wennerström, Håkan; Olsson, Ulf; Israelachvili, Jacob N.",,"Wennerström, Håkan (Lund University); Olsson, Ulf (Lund University); Israelachvili, Jacob N. (University of California, Santa Barbara)",5,1,0.13,,http://www.pnas.org/content/110/32/E2944.full.pdf,https://app.dimensions.ai/details/publication/pub.1052646373,,,,,,
94,400,pub.1034944159,10.1073/pnas.1307871110,23716690,PMC3683794,Ionic liquids behave as dilute electrolyte solutions,Proceedings of the National Academy of Sciences,,"Algorithms; Electrochemical Techniques; Electrolytes; Imidazoles; Ionic Liquids; Ions; Kinetics; Models, Chemical; Solutions; Static Electricity; Sulfonamides; Surface Properties; Thermodynamics",6/11/13,2013,110,24,9674-9679,All OA; Gold,Article,"Gebbie, Matthew A.; Valtiner, Markus; Banquy, Xavier; Fox, Eric T.; Henderson, Wesley A.; Israelachvili, Jacob N.",,"Gebbie, Matthew A. (); Valtiner, Markus (Max Planck Institute for Iron Research); Banquy, Xavier (University of California, Santa Barbara); Fox, Eric T. (North Carolina State University); Henderson, Wesley A. (North Carolina State University); Israelachvili, Jacob N. (University of California, Santa Barbara)",154,45,7.5,21.94,http://www.pnas.org/content/pnas/110/24/9674.full.pdf,https://app.dimensions.ai/details/publication/pub.1034944159,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
95,100,pub.1042263439,10.1007/s11249-013-0138-6,,,Investigation on the Molecular Shear-Induced Organization in a Molecularly Thin Film of N-hexadecane,Tribology Letters,,,2013-06,2013,50,3,421-430,Closed,Article,"Charrault, E.; Banquy, X.; Kristiansen, K.; Israelachvili, J.; Giasson, S.","Giasson, S.","Charrault, E. (University of Montreal); Banquy, X. (University of California, Santa Barbara); Kristiansen, K. (University of California, Santa Barbara); Israelachvili, J. (University of California, Santa Barbara); Giasson, S. (University of Montreal)",3,0,,0.7,,https://app.dimensions.ai/details/publication/pub.1042263439,0912 Materials Engineering; 09 Engineering; 0913 Mechanical Engineering,0912 Materials Engineering,09 Engineering,0913 Mechanical Engineering,,
96,100,pub.1008665483,10.1007/s40544-013-0011-5,,,Recent advances in gecko adhesion and friction mechanisms and development of gecko-inspired dry adhesive surfaces,Friction,,,2013-06,2013,1,2,114-129,All OA; Gold,Article,"Zhou, Ming; Pesika, Noshir; Zeng, Hongbo; Tian, Yu; Israelachvili, Jacob","Tian, Yu","Zhou, Ming (Tsinghua University); Pesika, Noshir (Tulane University); Zeng, Hongbo (University of Alberta); Tian, Yu (Tsinghua University); Israelachvili, Jacob (University of California, Santa Barbara)",61,20,,14.34,https://link.springer.com/content/pdf/10.1007%2Fs40544-013-0011-5.pdf,https://app.dimensions.ai/details/publication/pub.1008665483,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
97,400,pub.1055222855,10.1021/bm400327a,23560944,,Synergistic interactions between grafted hyaluronic acid and lubricin provide enhanced wear protection and lubrication.,Biomacromolecules,,"Aluminum Silicates; Biomimetic Materials; Cartilage; Elasticity; Friction; Glycoproteins; Humans; Hyaluronic Acid; Photoelectron Spectroscopy; Stress, Mechanical; Synovial Fluid; Viscosity",5/13/13,2013,14,5,1669-77,Closed,Article,"Das, Saurabh; Banquy, Xavier; Zappone, Bruno; Greene, George W.; Jay, Gregory D.; Israelachvili, Jacob N.",,"Das, Saurabh (University of California, Santa Barbara); Banquy, Xavier (University of California, Santa Barbara); Zappone, Bruno (); Greene, George W. (Deakin University); Jay, Gregory D. (Brown University); Israelachvili, Jacob N. (University of California, Santa Barbara)",59,18,4.86,8.4,,https://app.dimensions.ai/details/publication/pub.1055222855,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
98,100,pub.1050499610,10.1016/j.jmps.2012.09.014,,,Peeling of a tape with large deformations and frictional sliding,Journal of the Mechanics and Physics of Solids,,,2013-05,2013,61,5,1265-1279,Closed,Article,"Begley, Matthew R.; Collino, Rachel R.; Israelachvili, Jacob N.; McMeeking, Robert M.","Begley, Matthew R.","Begley, Matthew R. (University of California, Santa Barbara); Collino, Rachel R. (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara); McMeeking, Robert M. (University of California, Santa Barbara; University of Aberdeen; Leibniz-Institute for New Materials)",37,14,,,,https://app.dimensions.ai/details/publication/pub.1050499610,09 Engineering; 02 Physical Sciences; 01 Mathematical Sciences,09 Engineering,02 Physical Sciences,01 Mathematical Sciences,,
99,400,pub.1055222756,10.1021/bm301908y,23452271,PMC3635841,Adhesion of mussel foot protein-3 to TiO2 surfaces: the effect of pH.,Biomacromolecules,,"Adhesiveness; Animals; Bivalvia; Dihydroxyphenylalanine; Hydrogen-Ion Concentration; Oxidation-Reduction; Prostheses and Implants; Proteins; Spectrum Analysis, Raman; Titanium",4/8/13,2013,14,4,1072-7,"All OA; Green, Accepted & Submitted",Article,"Yu, Jing; Wei, Wei; Menyo, Matthew S; Masic, Admir; Waite, J Herbert; Israelachvili, Jacob N",,"Yu, Jing (University of California, Santa Barbara); Wei, Wei (); Menyo, Matthew S (); Masic, Admir (); Waite, J Herbert (); Israelachvili, Jacob N ()",108,30,4.52,19.67,http://europepmc.org/articles/pmc3635841?pdf=render,https://app.dimensions.ai/details/publication/pub.1055222756,0912 Materials Engineering; 09 Engineering; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,09 Engineering,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
100,100,pub.1037401996,10.1002/9781118505175.ch3,,,Lubrication and Wear Protection of Natural (Bio)Systems,,"Polymer Adhesion, Friction, and Lubrication",,3/18/13,2013,,,83-133,Closed,Chapter,"Greene, George W.; Lee, Dong Woog; Yu, Jing; Das, Saurabh; Banquy, Xavier; Israelachvili, Jacob N.",,"Greene, George W. (University of California, Santa Barbara); Lee, Dong Woog (University of California, Santa Barbara); Yu, Jing (University of California, Santa Barbara); Das, Saurabh (University of California, Santa Barbara); Banquy, Xavier (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara)",4,2,,,,https://app.dimensions.ai/details/publication/pub.1037401996,,,,,,
101,400,pub.1048255942,10.1021/nl303568d,23297701,,A bottom-up approach toward fabrication of ultrathin PbS sheets.,Nano Letters,,Lead; Nanotechnology; Nanowires; Quantum Theory; Sulfides,2/13/13,2013,13,2,409-15,Closed,Article,"Acharya, Somobrata; Das, Bidisa; Thupakula, Umamahesh; Ariga, Katsuhiko; Sarma, D. D.; Israelachvili, Jacob; Golan, Yuval",,"Acharya, Somobrata (Indian Association for the Cultivation of Science); Das, Bidisa (Indian Association for the Cultivation of Science); Thupakula, Umamahesh (Indian Association for the Cultivation of Science); Ariga, Katsuhiko (); Sarma, D. D. (Indian Institute of Science Bangalore); Israelachvili, Jacob (University of California, Santa Barbara); Golan, Yuval (Ben-Gurion University of the Negev)",53,12,1.42,12.46,,https://app.dimensions.ai/details/publication/pub.1048255942,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
102,400,pub.1035691023,10.1073/pnas.1222470110,23359687,PMC3574935,Stick-slip friction and wear of articular joints,Proceedings of the National Academy of Sciences,,"Biomechanical Phenomena; Cartilage, Articular; Friction; Humans; Interferometry; Joints; Models, Biological; Osteoarthritis; Weight-Bearing",2/12/13,2013,110,7,e567-e574,All OA; Gold,Article,"Lee, Dong Woog; Banquy, Xavier; Israelachvili, Jacob N.",,"Lee, Dong Woog (); Banquy, Xavier (); Israelachvili, Jacob N. (University of California, Santa Barbara)",43,14,1.72,6.12,http://www.pnas.org/content/110/7/E567.full.pdf,https://app.dimensions.ai/details/publication/pub.1035691023,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
103,400,pub.1017630615,10.1098/rsif.2012.0759,23173195,PMC3565691,Adhesion of mussel foot proteins to different substrate surfaces,Journal of The Royal Society Interface,,"Adhesiveness; Aluminum Silicates; Animals; Biomechanical Phenomena; Bivalvia; California; Models, Molecular; Polymethyl Methacrylate; Polystyrenes; Proteins; Silicon Dioxide",2/6/13,2013,10,79,20120759,"All OA; Green, Published",Article,"Lu, Qingye; Danner, Eric; Waite, J. Herbert; Israelachvili, Jacob N.; Zeng, Hongbo; Hwang, Dong Soo",,"Lu, Qingye (University of Alberta); Danner, Eric (University of California System); Waite, J. Herbert (University of California System); Israelachvili, Jacob N. (University of California System); Zeng, Hongbo (University of Alberta); Hwang, Dong Soo (Pohang University of Science and Technology)",105,43,3.9,19.13,http://europepmc.org/articles/pmc3565691?pdf=render,https://app.dimensions.ai/details/publication/pub.1017630615,0912 Materials Engineering; 09 Engineering; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,09 Engineering,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
104,400,pub.1015874370,10.1021/ja309590f,23214725,PMC3587158,Hydrophobic enhancement of Dopa-mediated adhesion in a mussel foot protein.,Journal of the American Chemical Society,,Animals; Dihydroxyphenylalanine; Hydrophobic and Hydrophilic Interactions; Mytilus; Proteins,1/9/13,2013,135,1,377-83,"All OA; Green, Accepted & Submitted",Article,"Wei, Wei; Yu, Jing; Broomell, Christopher; Israelachvili, Jacob N.; Waite, J. Herbert",,"Wei, Wei (University of California, Santa Barbara); Yu, Jing (University of California, Santa Barbara); Broomell, Christopher (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara); Waite, J. Herbert (University of California, Santa Barbara)",88,28,3.73,12.54,http://europepmc.org/articles/pmc3587158?pdf=render,https://app.dimensions.ai/details/publication/pub.1015874370,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
105,200,pub.1012497842,10.1016/j.bpj.2012.11.2127,,,Friction and Wear of Porcine Articular Joint and Effects of Selective Digestions,Biophysical Journal,,,2013-01,2013,104,2,382a,All OA; Gold,Article,"Lee, Dong Woog; Banquy, Xavier; Israelachvili, Jacob",,"Lee, Dong Woog (University of California, Santa Barbara); Banquy, Xavier (University of California, Santa Barbara); Israelachvili, Jacob (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2012.11.2127,https://app.dimensions.ai/details/publication/pub.1012497842,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
106,100,pub.1035462353,10.1039/c3sm27217f,,,Interactions and visualization of bio-mimetic membrane detachment at smooth and nano-rough gold electrode surfaces,Soft Matter,,,2013,2013,9,21,5231-5238,Closed,Article,"Donaldson, Stephen H.; Valtiner, Markus; Gebbie, Matthew A.; Harada, Jaye; Israelachvili, Jacob N.",,"Donaldson, Stephen H. (); Valtiner, Markus (University of California, Santa Barbara; Max Planck Institute for Iron Research); Gebbie, Matthew A. (University of California, Santa Barbara); Harada, Jaye (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara)",12,3,,2.72,,https://app.dimensions.ai/details/publication/pub.1035462353,09 Engineering; 0306 Physical Chemistry (incl. Structural); 0299 Other Physical Sciences; 0903 Biomedical Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,0306 Physical Chemistry (incl. Structural),0299 Other Physical Sciences,0903 Biomedical Engineering,02 Physical Sciences
107,100,pub.1033381233,10.1039/c2sm26545a,,,Dynamics of force generation by confined actin filaments,Soft Matter,,,2013,2013,9,8,2389-2392,Closed,Article,"Banquy, Xavier; Greene, G. Wren; Zappone, Bruno; Kolomeisky, Anatoly B.; Israelachvili, Jacob N.",,"Banquy, Xavier (University of California, Santa Barbara); Greene, G. Wren (University of California, Santa Barbara); Zappone, Bruno (University of Calabria); Kolomeisky, Anatoly B. (Rice University); Israelachvili, Jacob N. (University of California, Santa Barbara)",5,2,,0.71,,https://app.dimensions.ai/details/publication/pub.1033381233,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
108,100,pub.1029283473,10.1039/c3ra43500h,,,Interaction of adsorbed polymers with supported cationic bilayers,RSC Advances,,,2013,2013,3,43,20405-20411,"All OA; Green, Accepted & Submitted",Article,"Das, Saurabh; Donaldson, Stephen H.; Kaufman, Yair; Israelachvili, Jacob N.",,"Das, Saurabh (); Donaldson, Stephen H. (); Kaufman, Yair (); Israelachvili, Jacob N. (University of California, Santa Barbara)",8,1,,1.16,https://escholarship.org/content/qt909794mw/qt909794mw.pdf?t=nwizr8,https://app.dimensions.ai/details/publication/pub.1029283473,0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
109,100,pub.1009576256,10.1039/c3sm50443c,,,Simulation of edge facilitated adsorption and critical concentration induced rupture of vesicles at a surface,Soft Matter,,,2013,2013,9,35,8420-8427,All OA; Gold,Article,"Plunkett, Pat; Camley, Brian A.; Weirich, Kimberly L.; Israelachvili, Jacob; Atzberger, Paul J.",,"Plunkett, Pat (University of California, Santa Barbara); Camley, Brian A. (University of California, San Diego); Weirich, Kimberly L. (University of California, Santa Barbara); Israelachvili, Jacob (University of California, Santa Barbara); Atzberger, Paul J. (University of California, Santa Barbara)",7,1,,,https://pubs.rsc.org/en/content/articlepdf/2013/sm/c3sm50443c,https://app.dimensions.ai/details/publication/pub.1009576256,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
110,400,pub.1009063583,10.1021/nn3047605,23186074,,Hydrophobic interactions modulate self-assembly of nanoparticles.,ACS Nano,,Acrylic Resins; Hydrophobic and Hydrophilic Interactions; Micelles; Nanoparticles; Polystyrenes; Solvents; Surface-Active Agents,12/21/12,2012,6,12,11059-65,Closed,Article,"Sánchez-Iglesias, Ana; Grzelczak, Marek; Altantzis, Thomas; Goris, Bart; Pérez-Juste, Jorge; Bals, Sara; Van Tendeloo, Gustaaf; Donaldson, Stephen H.; Chmelka, Bradley F.; Israelachvili, Jacob N.; Liz-Marzán, Luis M.",,"Sánchez-Iglesias, Ana (CIC biomaGUNE; University of Vigo); Grzelczak, Marek (CIC biomaGUNE; University of Vigo; Ikerbasque); Altantzis, Thomas (University of Antwerp); Goris, Bart (University of Antwerp); Pérez-Juste, Jorge (University of Vigo); Bals, Sara (University of Antwerp); Van Tendeloo, Gustaaf (University of Antwerp); Donaldson, Stephen H. (University of California, Santa Barbara); Chmelka, Bradley F. (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara); Liz-Marzán, Luis M. (CIC biomaGUNE; University of Vigo; Ikerbasque)",155,49,4.97,19.09,,https://app.dimensions.ai/details/publication/pub.1009063583,0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
111,400,pub.1056157057,10.1021/la303747x,23057722,,Directed coassembly of oriented PbS nanoparticles and monocrystalline sheets of alkylamine surfactant.,Langmuir,,,10/30/12,2012,28,43,15119-23,Closed,Article,"Rabkin, Alexander; Belman, Nataly; Israelachvili, Jacob; Golan, Yuval",,"Rabkin, Alexander (Ben-Gurion University of the Negev); Belman, Nataly (Ben-Gurion University of the Negev); Israelachvili, Jacob (University of California, Santa Barbara); Golan, Yuval (Ben-Gurion University of the Negev)",2,0,0.14,0.27,,https://app.dimensions.ai/details/publication/pub.1056157057,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
112,400,pub.1002178600,10.1021/la3026717,22978680,,Origin of the contact angle hysteresis of water on chemisorbed and physisorbed self-assembled monolayers.,Langmuir,,,10/16/12,2012,28,41,14609-17,Closed,Article,"Belman, Nataly; Jin, Kejia; Golan, Yuval; Israelachvili, Jacob N.; Pesika, Noshir S.",,"Belman, Nataly (University of California, Santa Barbara); Jin, Kejia (Tulane University); Golan, Yuval (Ben-Gurion University of the Negev); Israelachvili, Jacob N. (University of California, Santa Barbara); Pesika, Noshir S. (Tulane University)",39,6,1.38,5.27,,https://app.dimensions.ai/details/publication/pub.1002178600,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
113,200,pub.1012442829,10.1002/adma.201201566,22815190,,Measurements of Anisotropic (Off‐Axis) Friction‐Induced Motion,Advanced Materials,,"Alkanes; Models, Theoretical; Nanotechnology",10/2/12,2012,24,38,5236-5241,Closed,Article,"Kristiansen, Kai; Banquy, Xavier; Zeng, Hongbo; Charrault, Eric; Giasson, Suzanne; Israelachvili, Jacob",,"Kristiansen, Kai (University of California, Santa Barbara); Banquy, Xavier (University of California, Santa Barbara); Zeng, Hongbo (University of Alberta); Charrault, Eric (University of Montreal); Giasson, Suzanne (University of Montreal); Israelachvili, Jacob (University of California, Santa Barbara)",13,4,0.2,,,https://app.dimensions.ai/details/publication/pub.1012442829,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
114,400,pub.1056156362,10.1021/la3018216,22877582,,"The electrochemical surface forces apparatus: the effect of surface roughness, electrostatic surface potentials, and anodic oxide growth on interaction forces, and friction between dissimilar surfaces in aqueous solutions.",Langmuir,,Electrochemical Techniques; Electrodes; Gold; Oxides; Particle Size; Platinum; Solutions; Static Electricity; Surface Properties; Water,9/11/12,2012,28,36,13080-93,Closed,Article,"Valtiner, Markus; Banquy, Xavier; Kristiansen, Kai; Greene, George W.; Israelachvili, Jacob N.",,"Valtiner, Markus (University of California, Santa Barbara); Banquy, Xavier (University of California, Santa Barbara); Kristiansen, Kai (University of California, Santa Barbara); Greene, George W. (Deakin University); Israelachvili, Jacob N. (University of California, Santa Barbara)",47,13,1.74,6.36,,https://app.dimensions.ai/details/publication/pub.1056156362,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
115,400,pub.1055204990,10.1021/bi3002538,22873939,PMC3428132,Adhesion of mussel foot protein Mefp-5 to mica: an underwater superglue.,Biochemistry,,Adhesives; Aluminum Silicates; Amino Acid Sequence; Animals; Hydrogen-Ion Concentration; Mytilus edulis; Oxidation-Reduction; Protein Binding; Proteins,8/21/12,2012,51,33,6511-8,"All OA; Green, Accepted & Submitted",Article,"Danner, Eric W.; Kan, Yajing; Hammer, Malte U.; Israelachvili, Jacob N.; Waite, J. Herbert",,"Danner, Eric W. (University of California, Santa Barbara); Kan, Yajing (Southeast University; University of California, Santa Barbara); Hammer, Malte U. (University of California, Santa Barbara; Leibniz Institute for Plasma Science and Technology); Israelachvili, Jacob N. (University of California, Santa Barbara); Waite, J. Herbert (University of California, Santa Barbara)",97,31,3.64,9.66,http://europepmc.org/articles/pmc3428132?pdf=render,https://app.dimensions.ai/details/publication/pub.1055204990,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
