,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Robert J Miller. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
30,400,pub.1037411982,10.1002/etc.2180,23417698,,"Toxicity of ZnO nanoparticles to the copepod Acartia tonsa, exposed through a phytoplankton diet",Environmental Toxicology and Chemistry,,"Animals; Copepoda; Diatoms; Diet; Marine Biology; Nanoparticles; Phytoplankton; Risk Assessment; Toxicity Tests; Water Pollutants, Chemical; Zinc Oxide",2013-06,2013,32,6,1264-1269,Closed,Article,"Jarvis, Tayler A.; Miller, Robert J.; Lenihan, Hunter S.; Bielmyer, Gretchen K.",,"Jarvis, Tayler A. (Valdosta State University); Miller, Robert J. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Bielmyer, Gretchen K. (Valdosta State University)",31,10,1.98,4.44,,https://app.dimensions.ai/details/publication/pub.1037411982,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
31,400,pub.1006616929,10.1002/smll.201201700,23027589,,Implementation of a Multidisciplinary Approach to Solve Complex Nano EHS Problems by the UC Center for the Environmental Implications of Nanotechnology,Small,,Environment; Environmental Pollutants; Nanostructures; Nanotechnology; United States; United States Environmental Protection Agency,2013-05-27,2013,9,9‐10,1428-1443,Closed,Article,"Xia, Tian; Malasarn, Davin; Lin, Sijie; Ji, Zhaoxia; Zhang, Haiyuan; Miller, Robert J.; Keller, Arturo A.; Nisbet, Roger M.; Harthorn, Barbara H.; Godwin, Hilary A.; Lenihan, Hunter S.; Liu, Rong; Gardea‐Torresdey, Jorge; Cohen, Yoram; Mädler, Lutz; Holden, Patricia A.; Zink, Jeffrey I.; Nel, Andre E.",,"Xia, Tian (University of California Los Angeles); Malasarn, Davin (University of California Los Angeles); Lin, Sijie (University of California Los Angeles); Ji, Zhaoxia (University of California Los Angeles); Zhang, Haiyuan (University of California Los Angeles); Miller, Robert J. (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara); Harthorn, Barbara H. (University of California, Santa Barbara); Godwin, Hilary A. (University of California Los Angeles); Lenihan, Hunter S. (University of California, Santa Barbara); Liu, Rong (University of California Los Angeles); Gardea‐Torresdey, Jorge (The University of Texas at El Paso); Cohen, Yoram (University of California Los Angeles); Mädler, Lutz (University of Bremen); Holden, Patricia A. (University of California, Santa Barbara); Zink, Jeffrey I. (University of California Los Angeles); Nel, Andre E. (University of California Los Angeles)",23,4,0.99,4.3,,https://app.dimensions.ai/details/publication/pub.1006616929,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
32,400,pub.1004426918,10.1371/journal.pone.0061800,23613941,PMC3629123,Impact of Engineered Zinc Oxide Nanoparticles on the Individual Performance of Mytilus galloprovincialis,PLoS ONE,,Animals; Least-Squares Analysis; Mytilus; Nanoparticles; Nanotechnology; Zinc; Zinc Oxide,2013-04-17,2013,8,4,e61800,All OA; Gold,Article,"Hanna, Shannon K.; Miller, Robert J.; Muller, Erik B.; Nisbet, Roger M.; Lenihan, Hunter S.",,"Hanna, Shannon K. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Muller, Erik B. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara)",33,9,2.03,4.73,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0061800&type=printable,https://app.dimensions.ai/details/publication/pub.1004426918,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
33,400,pub.1053629131,10.1111/jpy.12023,27008514,,Patterns and controls of the dynamics of net primary production by understory macroalgal assemblages in giant kelp forests,Journal of Phycology,,,2013-04,2013,49,2,248-257,Closed,Article,"Harrer, Shannon L.; Reed, Daniel C.; Holbrook, Sally J.; Miller, Robert J.",,"Harrer, Shannon L. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",13,4,0.39,1.86,,https://app.dimensions.ai/details/publication/pub.1053629131,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
34,400,pub.1055150219,10.1021/ar300069t,23039211,,"Ecological nanotoxicology: integrating nanomaterial hazard considerations across the subcellular, population, community, and ecosystems levels.",Accounts of Chemical Research,,Animals; Ecology; Ecosystem; Humans; Nanostructures; Quantum Dots; Risk Factors; Toxicity Tests,2013-03-19,2013,46,3,813-22,Closed,Article,"Holden, Patricia A.; Nisbet, Roger M.; Lenihan, Hunter S.; Miller, Robert J.; Cherr, Gary N.; Schimel, Joshua P.; Gardea-Torresdey, Jorge L.",,"Holden, Patricia A. (); Nisbet, Roger M. (University of California, Santa Barbara); Lenihan, Hunter S. (); Miller, Robert J. (); Cherr, Gary N. (University of California, Davis); Schimel, Joshua P. (University of California, Santa Barbara); Gardea-Torresdey, Jorge L. (The University of Texas at El Paso)",85,23,4.37,,,https://app.dimensions.ai/details/publication/pub.1055150219,03 Chemical Sciences,03 Chemical Sciences,,,,
35,100,pub.1032753450,10.1007/s11051-013-1418-7,,,Persistence of commercial nanoscaled zero-valent iron (nZVI) and by-products,Journal of Nanoparticle Research,,,2013-01,2013,15,1,1418,Closed,Article,"Adeleye, Adeyemi S.; Keller, Arturo A.; Miller, Robert J.; Lenihan, Hunter S.","Keller, Arturo A.","Adeleye, Adeyemi S. (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara)",54,15,,9.3,,https://app.dimensions.ai/details/publication/pub.1032753450,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
36,400,pub.1004028170,10.1371/journal.pone.0043983,22952836,PMC3431385,Toxicity of Nano-Zero Valent Iron to Freshwater and Marine Organisms,PLoS ONE,,Animals; Aquatic Organisms; Daphnia; Ferric Compounds; Fresh Water; Iron; Nanoparticles; Oxidation-Reduction; Particle Size; Phytoplankton; Polymers; Toxicity Tests; Zooplankton,2012-08-30,2012,7,8,e43983,All OA; Gold,Article,"Keller, Arturo A.; Garner, Kendra; Miller, Robert J.; Lenihan, Hunter S.",,"Keller, Arturo A. (University of California, Santa Barbara); Garner, Kendra (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara)",87,24,4.22,12.33,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0043983&type=printable,https://app.dimensions.ai/details/publication/pub.1004028170,09 Engineering; 06 Biological Sciences; 0602 Ecology; 0907 Environmental Engineering,09 Engineering,06 Biological Sciences,0602 Ecology,0907 Environmental Engineering,
37,100,pub.1012723144,10.1007/s00227-012-1929-2,,,Kelp as a trophic resource for marine suspension feeders: a review of isotope-based evidence,Marine Biology,,,2012-07,2012,159,7,1391-1402,Closed,Article,"Miller, Robert J.; Page, Henry M.","Miller, Robert J.","Miller, Robert J. (University of California, Santa Barbara); Page, Henry M. (University of California, Santa Barbara)",52,24,,6.23,,https://app.dimensions.ai/details/publication/pub.1012723144,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
38,400,pub.1034653466,10.1371/journal.pone.0033885,22470486,PMC3309998,Structure-Forming Corals and Sponges and Their Use as Fish Habitat in Bering Sea Submarine Canyons,PLoS ONE,,Animals; Anthozoa; Ecosystem; Fishes; Oceans and Seas; Porifera; Video Recording,2012-03-21,2012,7,3,e33885,All OA; Gold,Article,"Miller, Robert J.; Hocevar, John; Stone, Robert P.; Fedorov, Dmitry V.",,"Miller, Robert J. (University of California, Santa Barbara); Hocevar, John (); Stone, Robert P. (); Fedorov, Dmitry V. (University of California, Santa Barbara)",56,19,0.36,9.02,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0033885&type=printable,https://app.dimensions.ai/details/publication/pub.1034653466,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
39,400,pub.1024815223,10.1007/s00442-011-2143-5,21987267,,Addition of species abundance and performance predicts community primary production of macroalgae,Oecologia,,"Biodiversity; Biomass; Ecosystem; Light; Macrocystis; Models, Biological; Photosynthesis; Population Density; Species Specificity",2012-03,2012,168,3,797-806,Closed,Article,"Miller, Robert J.; Harrer, Shannon; Reed, Daniel C.","Miller, Robert J.","Miller, Robert J. (University of California, Santa Barbara); Harrer, Shannon (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara)",12,3,0.52,1.79,,https://app.dimensions.ai/details/publication/pub.1024815223,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
40,400,pub.1047531756,10.1371/journal.pone.0030321,22276179,PMC3262817,TiO2 Nanoparticles Are Phototoxic to Marine Phytoplankton,PLoS ONE,,Nanoparticles; Oxidative Stress; Phytoplankton; Reactive Oxygen Species; Titanium; Ultraviolet Rays,2012-01-20,2012,7,1,e30321,All OA; Gold,Article,"Miller, Robert J.; Bennett, Samuel; Keller, Arturo A.; Pease, Scott; Lenihan, Hunter S.",,"Miller, Robert J. (University of California, Santa Barbara); Bennett, Samuel (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara); Pease, Scott (University of California, Santa Barbara; University of Washington); Lenihan, Hunter S. (University of California, Santa Barbara)",165,35,8.32,20.47,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0030321&type=printable,https://app.dimensions.ai/details/publication/pub.1047531756,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
41,400,pub.1009013142,10.1021/nn1034857,21261306,,Nanomaterials in the environment: from materials to high-throughput screening to organisms.,ACS Nano,,Animals; Combinatorial Chemistry Techniques; Drug Design; Ecotoxicology; Environment; High-Throughput Screening Assays; Humans; Nanostructures; Toxicity Tests,2011-01-25,2011,5,1,13-20,Closed,Article,"Thomas, Courtney R.; George, Saji; Horst, Allison M.; Ji, Zhaoxia; Miller, Robert J.; Peralta-Videa, Jose R.; Xia, Tian; Pokhrel, Suman; Mädler, Lutz; Gardea-Torresdey, Jorge L.; Holden, Patricia A.; Keller, Arturo A.; Lenihan, Hunter S.; Nel, Andre E.; Zink, Jeffrey I.",,"Thomas, Courtney R. (University of California Los Angeles); George, Saji (University of California Los Angeles); Horst, Allison M. (University of California, Santa Barbara); Ji, Zhaoxia (University of California Los Angeles); Miller, Robert J. (University of California, Santa Barbara); Peralta-Videa, Jose R. (The University of Texas at El Paso); Xia, Tian (University of California Los Angeles); Pokhrel, Suman (University of Bremen); Mädler, Lutz (University of Bremen); Gardea-Torresdey, Jorge L. (The University of Texas at El Paso); Holden, Patricia A. (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Nel, Andre E. (University of California Los Angeles); Zink, Jeffrey I. (University of California Los Angeles)",108,17,3.61,14.61,,https://app.dimensions.ai/details/publication/pub.1009013142,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
42,100,pub.1044037229,10.4319/lo.2011.56.1.0119,,,"Partitioning of primary production among giant kelp (Macrocystis pyrifera), understory macroalgae, and phytoplankton on a temperate reef",Limnology and Oceanography,,,2011-01,2011,56,1,119-132,All OA; Gold,Article,"Miller, Robert J.; Reed, Daniel C.; Brzezinski, Mark A.",,"Miller, Robert J. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara)",50,20,,6.58,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2011.56.1.0119,https://app.dimensions.ai/details/publication/pub.1044037229,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
43,400,pub.1055501373,10.1021/es100247x,20469893,,Impacts of metal oxide nanoparticles on marine phytoplankton.,Environmental Science & Technology,,Marine Biology; Metal Nanoparticles; Phytoplankton; Solubility; Titanium; Zinc Oxide,2010-10,2010,44,19,7329-34,Closed,Article,"Miller, Robert J; Lenihan, Hunter S; Muller, Erik B; Tseng, Nancy; Hanna, Shannon K; Keller, Arturo A",,"Miller, Robert J (University of California, Santa Barbara); Lenihan, Hunter S (); Muller, Erik B (); Tseng, Nancy (); Hanna, Shannon K (); Keller, Arturo A ()",187,35,7.17,20.51,,https://app.dimensions.ai/details/publication/pub.1055501373,03 Chemical Sciences; 0602 Ecology; 06 Biological Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0602 Ecology,06 Biological Sciences,0306 Physical Chemistry (incl. Structural),
44,400,pub.1055517116,10.1021/es902987d,20151631,,Stability and aggregation of metal oxide nanoparticles in natural aqueous matrices.,Environmental Science & Technology,,"Cerium; Fresh Water; Geologic Sediments; Metal Nanoparticles; Particle Size; Seawater; Titanium; Water Pollutants, Chemical; Zinc Oxide",2010-03-15,2010,44,6,1962-7,Closed,Article,"Keller, Arturo A; Wang, Hongtao; Zhou, Dongxu; Lenihan, Hunter S; Cherr, Gary; Cardinale, Bradley J; Miller, Robert; Ji, Zhaoxia",,"Keller, Arturo A (University of California, Santa Barbara); Wang, Hongtao (); Zhou, Dongxu (); Lenihan, Hunter S (); Cherr, Gary (); Cardinale, Bradley J (); Miller, Robert (); Ji, Zhaoxia ()",775,179,27.4,99.83,,https://app.dimensions.ai/details/publication/pub.1055517116,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
