,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Bradley J Cardinale. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,200,pub.1032719693,10.1111/1365-2435.12540,,,Further re‐analyses looking for effects of phylogenetic diversity on community biomass and stability,Functional Ecology,,,2015-12,2015,29,12,1607-1610,All OA; Gold,Article,"Cardinale, Bradley J.; Venail, Patrick; Gross, Kevin; Oakley, Todd H.; Narwani, Anita; Allan, Eric; Flombaum, Pedro; Joshi, Jasmin; Reich, Peter B.; Tilman, David; Ruijven, Jasper",,"Cardinale, Bradley J. (University of Michigan); Venail, Patrick (University of Michigan; University of Geneva); Gross, Kevin (North Carolina State University); Oakley, Todd H. (University of California, Santa Barbara); Narwani, Anita (University of Michigan; Swiss Federal Institute of Aquatic Science and Technology); Allan, Eric (University of Bern); Flombaum, Pedro (University of Buenos Aires); Joshi, Jasmin (University of Potsdam; Berlin Brandenburg Institute of Advanced Biodiversity Research); Reich, Peter B. (University of Minnesota; Western Sydney University); Tilman, David (University of Minnesota; University of California, Santa Barbara); Ruijven, Jasper (Wageningen University & Research)",7,3,,,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.12540,https://app.dimensions.ai/details/publication/pub.1032719693,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
30,400,pub.1039464798,10.1038/ncomms7936,25907115,PMC4423209,Biodiversity enhances ecosystem multifunctionality across trophic levels and habitats,Nature Communications,,"Animals; Biodiversity; Computer Simulation; Food Chain; Herbivory; Models, Biological; Plants; Sensitivity and Specificity",2015-11,2015,6,1,6936,All OA; Gold,Article,"Lefcheck, Jonathan S.; Byrnes, Jarrett E. K.; Isbell, Forest; Gamfeldt, Lars; Griffin, John N.; Eisenhauer, Nico; Hensel, Marc J. S.; Hector, Andy; Cardinale, Bradley J.; Duffy, J. Emmett","Lefcheck, Jonathan S.","Lefcheck, Jonathan S. (William & Mary); Byrnes, Jarrett E. K. (University of Massachusetts Boston); Isbell, Forest (University of Minnesota); Gamfeldt, Lars (University of Gothenburg); Griffin, John N. (Swansea University); Eisenhauer, Nico (German Center for Integrative Biodiversity Research; Leipzig University); Hensel, Marc J. S. (University of Massachusetts Boston); Hector, Andy (University of Oxford); Cardinale, Bradley J. (University of Michigan); Duffy, J. Emmett (William & Mary; Smithsonian Institution)",191,106,7.87,43.27,https://www.nature.com/articles/ncomms7936.pdf,https://app.dimensions.ai/details/publication/pub.1039464798,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
31,100,pub.1002991423,10.1007/s00027-015-0411-x,,,Anthropogenic land use is associated with N-fixing cyanobacterial dominance in lakes across the continental United States,Aquatic Sciences,,,2015-10,2015,77,4,681-694,Closed,Article,"Doubek, Jonathan P.; Carey, Cayelan C.; Cardinale, Bradley J.","Doubek, Jonathan P.","Doubek, Jonathan P. (Virginia Tech); Carey, Cayelan C. (Virginia Tech); Cardinale, Bradley J. (University of Michigan)",6,4,,1.15,,https://app.dimensions.ai/details/publication/pub.1002991423,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
32,400,pub.1011991472,10.1371/journal.pone.0137085,26348482,PMC4562640,Common Ancestry Is a Poor Predictor of Competitive Traits in Freshwater Green Algae,PLoS ONE,,"Chlorophyta; Evolution, Molecular; Fresh Water; Models, Theoretical; Nitrates; Phenotype; Phosphates; Phylogeny; Phytoplankton; Species Specificity",9/8/15,2015,10,9,e0137085,All OA; Gold,Article,"Narwani, Anita; Alexandrou, Markos A.; Herrin, James; Vouaux, Alaina; Zhou, Charles; Oakley, Todd H.; Cardinale, Bradley J.",,"Narwani, Anita (Swiss Federal Institute of Aquatic Science and Technology; University of Michigan); Alexandrou, Markos A. (University of California, Santa Barbara); Herrin, James (University of Michigan); Vouaux, Alaina (University of Michigan); Zhou, Charles (University of Michigan); Oakley, Todd H. (University of California, Santa Barbara); Cardinale, Bradley J. (University of Michigan)",8,7,0.48,1.56,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0137085&type=printable,https://app.dimensions.ai/details/publication/pub.1011991472,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
33,100,pub.1022086607,10.1890/es14-00502.1,,,Phylogenetic distance does not predict competition in green algal communities,Ecosphere,,,2015-07,2015,6,7,19-Jan,All OA; Gold,Article,"Naughton, H. R.; Alexandrou, M. A.; Oakley, T. H.; Cardinale, B. J.",,"Naughton, H. R. (University of Michigan); Alexandrou, M. A. (University of California, Santa Barbara); Oakley, T. H. (University of California, Santa Barbara); Cardinale, B. J. (University of Michigan)",9,5,,1.72,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES14-00502.1,https://app.dimensions.ai/details/publication/pub.1022086607,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
34,200,pub.1031528555,10.1002/2015jf003577,,,Reply to comment by S. P. Ferguson and C. D. Rennie on “A mechanistic model linking insect (Hydropsychidae) silk nets to incipient sediment motion in gravel‐bedded streams”,Journal of Geophysical Research Earth Surface,,,2015-06,2015,120,6,1151-1152,All OA; Gold,Article,"Albertson, Lindsey K.; Sklar, Leonard S.; Cardinale, Bradley J.",,"Albertson, Lindsey K. (Stroud Water Research Center); Sklar, Leonard S. (San Francisco State University); Cardinale, Bradley J. (University of Michigan)",0,0,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015JF003577,https://app.dimensions.ai/details/publication/pub.1031528555,,,,,,
35,100,pub.1050213347,10.1111/1365-2435.12432,,,"Species richness, but not phylogenetic diversity, influences community biomass production and temporal stability in a re‐examination of 16 grassland biodiversity studies",Functional Ecology,,,2015-05,2015,29,5,615-626,All OA; Gold,Article,"Venail, Patrick; Gross, Kevin; Oakley, Todd H.; Narwani, Anita; Allan, Eric; Flombaum, Pedro; Isbell, Forest; Joshi, Jasmin; Reich, Peter B.; Tilman, David; Ruijven, Jasper; Cardinale, Bradley J.",,"Venail, Patrick (University of Michigan; University of Geneva); Gross, Kevin (North Carolina State University); Oakley, Todd H. (University of California, Santa Barbara); Narwani, Anita (University of Michigan; Swiss Federal Institute of Aquatic Science and Technology); Allan, Eric (University of Bern); Flombaum, Pedro (University of Buenos Aires); Isbell, Forest (University of Georgia); Joshi, Jasmin (University of Potsdam; Berlin Brandenburg Institute of Advanced Biodiversity Research); Reich, Peter B. (University of Minnesota; Western Sydney University); Tilman, David (University of Minnesota; University of California, Santa Barbara); Ruijven, Jasper (Wageningen University & Research); Cardinale, Bradley J. (University of Michigan)",56,30,,10.77,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.12432,https://app.dimensions.ai/details/publication/pub.1050213347,0602 Ecology; 0502 Environmental Science and Management; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0604 Genetics,05 Environmental Sciences,06 Biological Sciences
36,100,pub.1020873239,10.1111/oik.01549,,,Marine biodiversity and ecosystem functioning: what's known and what's next?,Oikos,,,2015-03,2015,124,3,252-265,"All OA; Green, Published",Article,"Gamfeldt, Lars; Lefcheck, Jonathan S.; Byrnes, Jarrett E. K.; Cardinale, Bradley J.; Duffy, J. Emmett; Griffin, John N.",,"Gamfeldt, Lars (University of Gothenburg); Lefcheck, Jonathan S. (); Byrnes, Jarrett E. K. (University of Massachusetts Boston); Cardinale, Bradley J. (University of Michigan); Duffy, J. Emmett (); Griffin, John N. (Swansea University)",100,49,,19.12,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=1849&context=vimsarticles,https://app.dimensions.ai/details/publication/pub.1020873239,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
37,400,pub.1009528400,10.1098/rspb.2014.1745,25473009,PMC4286037,Evolutionary relatedness does not predict competition and co-occurrence in natural or experimental communities of green algae,Proceedings of The Royal Society B Biological Sciences,,Biological Evolution; Chlorophyta; Ecosystem; Phylogeny; Population Dynamics; Species Specificity; Transcriptome,1/22/15,2015,282,1799,20141745,All OA; Gold,Article,"Alexandrou, Markos A; Cardinale, Bradley J; Hall, John D; Delwiche, Charles F; Fritschie, Keith; Narwani, Anita; Venail, Patrick A; Bentlage, Bastian; Pankey, M Sabrina; Oakley, Todd H",,"Alexandrou, Markos A (University of California, Santa Barbara); Cardinale, Bradley J (University of Michigan); Hall, John D (University of Maryland, College Park); Delwiche, Charles F (University of Maryland, College Park); Fritschie, Keith (University of Michigan); Narwani, Anita (); Venail, Patrick A (); Bentlage, Bastian (University of Maryland, College Park); Pankey, M Sabrina (University of California, Santa Barbara); Oakley, Todd H (University of California, Santa Barbara)",15,4,0.74,2.87,http://rspb.royalsocietypublishing.org/content/282/1799/20141745.full.pdf,https://app.dimensions.ai/details/publication/pub.1009528400,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
38,100,pub.1048822610,10.1111/1365-2664.12334,,,REVIEW: Do polycultures promote win‐wins or trade‐offs in agricultural ecosystem services? A meta‐analysis,Journal of Applied Ecology,,,2014-12,2014,51,6,1593-1602,All OA; Gold,Article,"Iverson, Aaron L.; Marín, Linda E.; Ennis, Katherine K.; Gonthier, David J.; Connor‐Barrie, Benjamin T.; Remfert, Jane L.; Cardinale, Bradley J.; Perfecto, Ivette",,"Iverson, Aaron L. (University of Michigan); Marín, Linda E. (University of Michigan); Ennis, Katherine K. (University of California, Santa Cruz); Gonthier, David J. (University of Michigan); Connor‐Barrie, Benjamin T. (University of Michigan); Remfert, Jane L. (University of Michigan); Cardinale, Bradley J. (University of Michigan); Perfecto, Ivette (University of Michigan)",61,35,,13.69,http://onlinelibrary.wiley.com/doi/10.1111/1365-2664.12334/pdf,https://app.dimensions.ai/details/publication/pub.1048822610,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
39,400,pub.1026737992,10.1098/rspb.2014.1358,25100703,PMC4132690,Biodiversity conservation in agriculture requires a multi-scale approach,Proceedings of The Royal Society B Biological Sciences,,Agriculture; Animals; Biodiversity; Conservation of Natural Resources; Invertebrates; Plant Physiological Phenomena; Vertebrates,9/22/14,2014,281,1791,20141358,All OA; Gold,Article,"Gonthier, David J.; Ennis, Katherine K.; Farinas, Serge; Hsieh, Hsun-Yi; Iverson, Aaron L.; Batáry, Péter; Rudolphi, Jörgen; Tscharntke, Teja; Cardinale, Bradley J.; Perfecto, Ivette",,"Gonthier, David J. (University of Michigan); Ennis, Katherine K. (University of California, Santa Cruz); Farinas, Serge (University of Michigan); Hsieh, Hsun-Yi (University of Michigan); Iverson, Aaron L. (University of Michigan); Batáry, Péter (University of Göttingen); Rudolphi, Jörgen (Swedish University of Agricultural Sciences); Tscharntke, Teja (University of Göttingen); Cardinale, Bradley J. (University of Michigan); Perfecto, Ivette (University of Michigan)",111,42,1.93,17.75,http://rspb.royalsocietypublishing.org/content/281/1791/20141358.full.pdf,https://app.dimensions.ai/details/publication/pub.1026737992,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
40,100,pub.1045340834,10.1002/2013jf003024,,,A mechanistic model linking insect (Hydropsychidae) silk nets to incipient sediment motion in gravel‐bedded streams,Journal of Geophysical Research Earth Surface,,,2014-09,2014,119,9,1833-1852,All OA; Gold,Article,"Albertson, Lindsey K.; Sklar, Leonard S.; Pontau, Patricia; Dow, Michelle; Cardinale, Bradley J.",,"Albertson, Lindsey K. (University of California, Santa Barbara); Sklar, Leonard S. (San Francisco State University); Pontau, Patricia (University of Michigan); Dow, Michelle (University of California, Santa Barbara); Cardinale, Bradley J. (University of Michigan)",15,6,,2.4,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2013JF003024,https://app.dimensions.ai/details/publication/pub.1045340834,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
41,100,pub.1005207719,10.1111/1365-2745.12271,,,The influence of phylogenetic relatedness on species interactions among freshwater green algae in a mesocosm experiment,Journal of Ecology,,,2014-09,2014,102,5,1288-1299,All OA; Gold,Article,"Venail, Patrick A.; Narwani, Anita; Fritschie, Keith; Alexandrou, Markos A.; Oakley, Todd H.; Cardinale, Bradley J.",,"Venail, Patrick A. (University of Michigan; University of Geneva); Narwani, Anita (University of Michigan); Fritschie, Keith (University of Michigan); Alexandrou, Markos A. (University of California, Santa Barbara); Oakley, Todd H. (University of California, Santa Barbara); Cardinale, Bradley J. (University of Michigan)",35,7,,6.34,http://onlinelibrary.wiley.com/doi/10.1111/1365-2745.12271/pdf,https://app.dimensions.ai/details/publication/pub.1005207719,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
42,400,pub.1001604387,10.1371/journal.pone.0103417,25101964,PMC4125303,Non-Additive Increases in Sediment Stability Are Generated by Macroinvertebrate Species Interactions in Laboratory Streams,PLoS ONE,,"Animals; Biodiversity; Geologic Sediments; Invertebrates; Models, Theoretical; Population Dynamics; Rivers; Shear Strength; Water Movements",8/7/14,2014,9,8,e103417,All OA; Gold,Article,"Albertson, Lindsey K.; Cardinale, Bradley J.; Sklar, Leonard S.",,"Albertson, Lindsey K. (University of California, Santa Barbara); Cardinale, Bradley J. (University of Michigan); Sklar, Leonard S. (San Francisco State University)",14,9,0.26,2.24,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0103417&type=printable,https://app.dimensions.ai/details/publication/pub.1001604387,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
43,200,pub.1062614544,10.1126/science.344.6188.1098-a,24904146,,Overlooked local biodiversity loss,Science,,Animals; Biodiversity; Birds; Ecosystem; Fishes; Invertebrates; Mammals; Plants,6/6/14,2014,344,6188,1098-1098,Closed,Article,"Cardinale, Bradley",,"Cardinale, Bradley (University of Michigan)",17,8,0.3,,,https://app.dimensions.ai/details/publication/pub.1062614544,,,,,,
44,100,pub.1038574105,10.1093/biosci/biu046,,,Toward a Better Integration of Ecological Principles into Ecogeoscience Research,BioScience,,,5/1/14,2014,64,5,444-454,All OA; Gold,Article,"Allen, Daniel C.; Cardinale, Bradley J.; Wynn-Thompson, Theresa",,"Allen, Daniel C. (); Cardinale, Bradley J. (); Wynn-Thompson, Theresa ()",15,7,,2.72,https://academic.oup.com/bioscience/article-pdf/64/5/444/13211389/biu046.pdf,https://app.dimensions.ai/details/publication/pub.1038574105,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
45,400,pub.1037101794,10.1890/13-0986.1,25000771,,Evolutionary history and the strength of species interactions: testing the phylogenetic limiting similarity hypothesis,Ecology,,"Biological Evolution; Models, Biological; Phylogeny; Phytoplankton; Species Specificity",2014-05,2014,95,5,1407-1417,"All OA; Green, Published",Article,"Fritschie, Keith J.; Cardinale, Bradley J.; Alexandrou, Markos A.; Oakley, Todd H.",,"Fritschie, Keith J. (University of Michigan); Cardinale, Bradley J. (University of Michigan); Alexandrou, Markos A. (University of California, Santa Barbara); Oakley, Todd H. (University of California, Santa Barbara)",42,11,1.36,7.61,https://deepblue.lib.umich.edu/bitstream/2027.42/116355/1/ecs214005021.pdf,https://app.dimensions.ai/details/publication/pub.1037101794,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
46,100,pub.1043618024,10.1111/j.1600-0706.2013.00777.x,,,Is the relationship between algal diversity and biomass in North American lakes consistent with biodiversity experiments?,Oikos,,,2014-03,2014,123,3,267-278,Closed,Article,"Zimmerman, Emily K.; Cardinale, Bradley J.",,"Zimmerman, Emily K. (University of Michigan); Cardinale, Bradley J. (University of Michigan)",18,6,,2.88,,https://app.dimensions.ai/details/publication/pub.1043618024,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
47,100,pub.1109353576,10.7287/peerj.preprints.249,,,Marine biodiversity and ecosystem functioning: what’s known and what’s next?,PeerJ Preprints,,,2/17/14,2014,,,,"All OA; Green, Published",Preprint,"Gamfeldt, Lars; Lefcheck, Jonathan S; Byrnes, Jarrett E K; Cardinale, Bradley J; Duffy, J. Emmett; Griffin, John N",,"Gamfeldt, Lars (University of Gothenburg); Lefcheck, Jonathan S (William & Mary); Byrnes, Jarrett E K (University of Massachusetts Boston); Cardinale, Bradley J (University of Michigan); Duffy, J. Emmett (Smithsonian Institution); Griffin, John N (Swansea University)",0,0,,0,https://peerj.com/preprints/249v1.pdf,https://app.dimensions.ai/details/publication/pub.1109353576,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
48,100,pub.1107344633,10.7287/peerj.preprints.249v1,,,Marine biodiversity and ecosystem functioning: what’s known and what’s next?,PeerJ Preprints,,,2/17/14,2014,2,,e249v1,"All OA; Green, Published",Preprint,"Gamfeldt, Lars; Lefcheck, Jonathan S; Byrnes, Jarrett E K; Cardinale, Bradley J; Duffy, J. Emmett; Griffin, John N",,"Gamfeldt, Lars (University of Gothenburg); Lefcheck, Jonathan S (William & Mary); Byrnes, Jarrett E K (University of Massachusetts Boston); Cardinale, Bradley J (University of Michigan); Duffy, J. Emmett (Smithsonian Institution); Griffin, John N (Swansea University)",6,0,,1.09,https://peerj.com/preprints/249v1.pdf,https://app.dimensions.ai/details/publication/pub.1107344633,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
49,100,pub.1041435624,10.1111/2041-210x.12143,,,Investigating the relationship between biodiversity and ecosystem multifunctionality: challenges and solutions,Methods in Ecology and Evolution,,,2014-02,2014,5,2,111-124,"All OA; Green, Published",Article,"Byrnes, Jarrett E. K.; Gamfeldt, Lars; Isbell, Forest; Lefcheck, Jonathan S.; Griffin, John N.; Hector, Andy; Cardinale, Bradley J.; Hooper, David U.; Dee, Laura E.; Duffy, J. Emmett",,"Byrnes, Jarrett E. K. (University of California, Santa Barbara); Gamfeldt, Lars (University of Gothenburg); Isbell, Forest (University of Minnesota); Lefcheck, Jonathan S. (William & Mary); Griffin, John N. (Swansea University); Hector, Andy (University of Oxford); Cardinale, Bradley J. (University of Michigan); Hooper, David U. (Western Washington University); Dee, Laura E. (University of California, Santa Barbara); Duffy, J. Emmett (William & Mary)",167,97,,34.33,https://deepblue.lib.umich.edu/bitstream/2027.42/106130/1/mee312143.pdf,https://app.dimensions.ai/details/publication/pub.1041435624,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
50,400,pub.1035307422,10.1371/journal.pone.0087426,24466351,PMC3900723,Biotic vs. Abiotic Control of Decomposition: A Comparison of the Effects of Simulated Extinctions and Changes in Temperature,PLoS ONE,,"Carbon Cycle; Ecosystem; Extinction, Biological; Linear Models; Models, Biological; Plant Structures; Queensland; Rivers; Soil; Species Specificity; Temperature",1/23/14,2014,9,1,e87426,All OA; Gold,Article,"Boyero, Luz; Cardinale, Bradley J.; Bastian, Mikis; Pearson, Richard G.",,"Boyero, Luz (James Cook University); Cardinale, Bradley J. (University of Michigan); Bastian, Mikis (James Cook University); Pearson, Richard G. (James Cook University)",13,4,0.24,2.08,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0087426&type=printable,https://app.dimensions.ai/details/publication/pub.1035307422,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,05 Environmental Sciences,06 Biological Sciences
51,400,pub.1058856415,10.1086/673915,24334731,,Species richness and the temporal stability of biomass production: a new analysis of recent biodiversity experiments.,The American Naturalist,,Biodiversity; Biomass; Microalgae; Plants,2014-01,2014,183,1,12-Jan,Closed,Article,"Gross, Kevin; Cardinale, Bradley J; Fox, Jeremy W; Gonzalez, Andrew; Loreau, Michel; Polley, H Wayne; Reich, Peter B; van Ruijven, Jasper",,"Gross, Kevin (North Carolina State University); Cardinale, Bradley J (); Fox, Jeremy W (); Gonzalez, Andrew (); Loreau, Michel (); Polley, H Wayne (); Reich, Peter B (); van Ruijven, Jasper ()",132,68,3.32,21.11,,https://app.dimensions.ai/details/publication/pub.1058856415,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
52,200,pub.1017663552,10.12952/journal.elementa.000014,,,Towards a general theory of biodiversity for the Anthropocene,Elementa: Science of the Anthropocene,,,12/4/13,2013,1,,14,All OA; Gold,Article,"Cardinale, Bradley J.",,"Cardinale, Bradley J. (University of Michigan)",7,2,,,http://www.elementascience.org/articles/10.12952/journal.elementa.000014/galley/216/download/,https://app.dimensions.ai/details/publication/pub.1017663552,,,,,,
53,400,pub.1022156279,10.1111/ele.12182,24112458,,Experimental evidence that evolutionary relatedness does not affect the ecological mechanisms of coexistence in freshwater green algae,Ecology Letters,,Biological Evolution; Chlorophyta; Ecosystem; Lakes; Species Specificity,2013-11,2013,16,11,1373-1381,"All OA; Green, Published",Article,"Narwani, Anita; Alexandrou, Markos A.; Oakley, Todd H.; Carroll, Ian T.; Cardinale, Bradley J.",,"Narwani, Anita (University of Michigan); Alexandrou, Markos A. (); Oakley, Todd H. (); Carroll, Ian T. (Woods Hole Oceanographic Institution); Cardinale, Bradley J. (University of Michigan)",90,30,2.95,13,https://deepblue.lib.umich.edu/bitstream/2027.42/100307/1/ele12182.pdf,https://app.dimensions.ai/details/publication/pub.1022156279,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
54,400,pub.1025859565,10.1098/rspb.2013.1548,23945692,PMC3757983,Shared ancestry influences community stability by altering competitive interactions: evidence from a laboratory microcosm experiment using freshwater green algae,Proceedings of The Royal Society B Biological Sciences,,Biodiversity; Chlorophyta; Ecosystem; Fresh Water; Phylogeny; Population Dynamics; Species Specificity,10/7/13,2013,280,1768,20131548,"All OA; Green, Published",Article,"Venail, Patrick A.; Alexandrou, Markos A.; Oakley, Todd H.; Cardinale, Bradley J.",,"Venail, Patrick A. (University of Michigan); Alexandrou, Markos A. (University of California System); Oakley, Todd H. (University of California System); Cardinale, Bradley J. (University of Michigan)",11,1,0.31,1.55,http://europepmc.org/articles/pmc3757983?pdf=render,https://app.dimensions.ai/details/publication/pub.1025859565,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
55,400,pub.1048792321,10.1890/13-0179.1,24358704,,Effects of predator richness on prey suppression: a meta‐analysis,Ecology,,"Animals; Biodiversity; Food Chain; Models, Biological; Population Density; Predatory Behavior",2013-10,2013,94,10,2180-2187,All OA; Gold,Article,"Griffin, John N.; Byrnes, Jarrett E. K.; Cardinale, Bradley J.",,"Griffin, John N. (Swansea University); Byrnes, Jarrett E. K. (University of Massachusetts Boston); Cardinale, Bradley J. (University of Michigan)",93,32,2.33,14.95,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/13-0179.1,https://app.dimensions.ai/details/publication/pub.1048792321,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
56,400,pub.1046229597,10.1890/12-1334.1,24015514,,"Biodiversity simultaneously enhances the production and stability of community biomass, but the effects are independent",Ecology,,"Biodiversity; Biomass; Models, Biological",2013-08,2013,94,8,1697-1707,"All OA; Green, Accepted & Submitted",Article,"Cardinale, Bradley J.; Gross, Kevin; Fritschie, Keith; Flombaum, Pedro; Fox, Jeremy W.; Rixen, Christian; van Ruijven, Jasper; Reich, Peter B.; Scherer-Lorenzen, Michael; Wilsey, Brian J.",,"Cardinale, Bradley J. (University of Michigan); Gross, Kevin (North Carolina State University); Fritschie, Keith (University of Michigan); Flombaum, Pedro (National Scientific and Technical Research Council); Fox, Jeremy W. (University of Calgary); Rixen, Christian (Swiss Federal Institute for Forest, Snow and Landscape Research); van Ruijven, Jasper (Wageningen University & Research); Reich, Peter B. (University of Minnesota); Scherer-Lorenzen, Michael (University of Freiburg); Wilsey, Brian J. (Iowa State University)",70,27,1.72,12.14,https://www.dora.lib4ri.ch/wsl/islandora/object/wsl%3A4658/datastream/PDF/view,https://app.dimensions.ai/details/publication/pub.1046229597,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
57,400,pub.1001520571,10.1890/11-2310.1,23951723,,Interactions between sea urchin grazing and prey diversity on temperate rocky reef communities,Ecology,,"Animals; Biodiversity; Feeding Behavior; Kelp; Models, Biological; Pacific Ocean; Population Density; Sea Urchins",2013-07,2013,94,7,1636-1646,"All OA; Green, Accepted & Submitted",Article,"Byrnes, Jarrett E. K.; Cardinale, Bradley J.; Reed, Daniel C.",,"Byrnes, Jarrett E. K. (University of California, Santa Barbara); Cardinale, Bradley J. (University of California, Santa Barbara; University of Michigan); Reed, Daniel C. (University of California, Santa Barbara)",8,3,0.25,1.29,https://deepblue.lib.umich.edu/bitstream/2027.42/116948/1/ecy20139471636.pdf,https://app.dimensions.ai/details/publication/pub.1001520571,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
58,400,pub.1020801536,10.1111/jfb.12085,23639149,,How does coarse gravel augmentation affect early‐stage Chinook salmon Oncorhynchus tshawytscha embryonic survivorship?,Journal of Fish Biology,,Animals; Conservation of Natural Resources; Ecosystem; Rivers; Salmon,2013-05,2013,82,5,1484-1496,"All OA; Green, Published",Article,"Utz, R. M.; Mesick, C. F.; Cardinale, B. J.; Dunne, T.",,"Utz, R. M. (University of California, Santa Barbara); Mesick, C. F. (); Cardinale, B. J. (University of Michigan); Dunne, T. (University of California, Santa Barbara)",2,1,0,0.39,https://deepblue.lib.umich.edu/bitstream/2027.42/98336/1/jfb12085.pdf,https://app.dimensions.ai/details/publication/pub.1020801536,0602 Ecology; 0704 Fisheries Sciences; 0608 Zoology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0704 Fisheries Sciences,0608 Zoology,06 Biological Sciences,07 Agricultural and Veterinary Sciences
