,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is David A Siegel. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
31,200,pub.1002994683,10.1002/2013gb004720,,,Reply to a comment by Stephen M. Chiswell on: “Annual cycles of ecological disturbance and recovery underlying the subarctic Atlantic spring plankton bloom” by M. J. Behrenfeld et al. (2013),Global Biogeochemical Cycles,,,2013-12,2013,27,4,1294-1296,"All OA; Green, Published",Article,"Behrenfeld, Michael J.; Doney, Scott C.; Lima, Ivan; Boss, Emmanuel S.; Siegel, David A.",,"Behrenfeld, Michael J. (Oregon State University); Doney, Scott C. (Woods Hole Oceanographic Institution); Lima, Ivan (Woods Hole Oceanographic Institution); Boss, Emmanuel S. (University of Maine); Siegel, David A. (University of California, Santa Barbara)",5,1,,0.61,http://darchive.mblwhoilibrary.org/bitstream/1912/6435/1/gbc20115.pdf,https://app.dimensions.ai/details/publication/pub.1002994683,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,0402 Geochemistry,
32,100,pub.1032939120,10.1016/j.rse.2013.05.009,,,A model for remote estimation of ultraviolet absorption by chromophoric dissolved organic matter based on the global distribution of spectral slope,Remote Sensing of Environment,,,2013-09,2013,136,,277-285,Closed,Article,"Swan, Chantal M.; Nelson, Norman B.; Siegel, David A.; Fields, Erik A.","Swan, Chantal M.","Swan, Chantal M. (University of California, Santa Barbara); Nelson, Norman B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Fields, Erik A. (University of California, Santa Barbara)",15,4,,1.82,,https://app.dimensions.ai/details/publication/pub.1032939120,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
33,100,pub.1004038071,10.1175/jpo-d-13-011.1,,,Simulations of Nearshore Particle-Pair Dispersion in Southern California,Journal of Physical Oceanography,,,2013-09,2013,43,9,130702142740003,Closed,Article,"Romero, Leonel; Uchiyama, Yusuke; Ohlmann, J. Carter; McWilliams, James C.; Siegel, David A.",,"Romero, Leonel (); Uchiyama, Yusuke (); Ohlmann, J. Carter (); McWilliams, James C. (); Siegel, David A. ()",26,14,,7.19,,https://app.dimensions.ai/details/publication/pub.1004038071,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
34,100,pub.1031625105,10.1016/j.jmarsys.2013.03.004,,,Model sensitivity and robustness in the estimation of larval transport: A study of particle tracking parameters,Journal of Marine Systems,,,2013-06,2013,119,Mol. Ecol. 20 2011,19-29,Closed,Article,"Simons, Rachel D.; Siegel, David A.; Brown, Kevin S.","Simons, Rachel D.","Simons, Rachel D. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Brown, Kevin S. (University of Connecticut)",38,11,,4.61,,https://app.dimensions.ai/details/publication/pub.1031625105,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
35,100,pub.1029115289,10.1002/gbc.20050,,,Annual cycles of ecological disturbance and recovery underlying the subarctic Atlantic spring plankton bloom,Global Biogeochemical Cycles,,,2013-06,2013,27,2,526-540,"All OA; Green, Published",Article,"Behrenfeld, Michael J.; Doney, Scott C.; Lima, Ivan; Boss, Emmanuel S.; Siegel, David A.",,"Behrenfeld, Michael J. (Oregon State University); Doney, Scott C. (Woods Hole Oceanographic Institution); Lima, Ivan (Woods Hole Oceanographic Institution); Boss, Emmanuel S. (University of Maine); Siegel, David A. (University of California, Santa Barbara)",66,17,,8.06,http://darchive.mblwhoilibrary.org/bitstream/1912/6250/1/gbc20050.pdf,https://app.dimensions.ai/details/publication/pub.1029115289,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,0402 Geochemistry,
36,100,pub.1052064712,10.1016/j.ocecoaman.2012.06.006,,,A comparison of approaches used for economic analysis in marine protected area network planning in California,Ocean & Coastal Management,,,2013-03,2013,74,Hum. Organ. 65 2006,77-89,Closed,Article,"White, J. Wilson; Scholz, Astrid J.; Rassweiler, Andrew; Steinback, Charles; Botsford, Louis W.; Kruse, Sarah; Costello, Christopher; Mitarai, Satoshi; Siegel, David A.; Drake, Patrick T.; Edwards, Christopher A.","White, J. Wilson","White, J. Wilson (University of California, Davis; University of North Carolina Wilmington); Scholz, Astrid J. (Ecotrust); Rassweiler, Andrew (University of California, Santa Barbara); Steinback, Charles (Ecotrust); Botsford, Louis W. (University of California, Davis); Kruse, Sarah (Ecotrust); Costello, Christopher (University of California, Santa Barbara); Mitarai, Satoshi (Okinawa Institute of Science and Technology); Siegel, David A. (University of California, Santa Barbara); Drake, Patrick T. (University of California, Santa Cruz); Edwards, Christopher A. (University of California, Santa Cruz)",37,4,,6.92,,https://app.dimensions.ai/details/publication/pub.1052064712,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
37,400,pub.1017563269,10.1890/12-0268.1,23691668,,Synchrony in dynamics of giant kelp forests is driven by both local recruitment and regional environmental controls,Ecology,,Animals; Biomass; California; Demography; Ecosystem; Macrocystis; Pacific Ocean; Sea Urchins; Time Factors,2013-02,2013,94,2,499-509,"All OA; Green, Accepted & Submitted",Article,"Cavanaugh, Kyle C.; Kendall, Bruce E.; Siegel, David A.; Reed, Daniel C.; Alberto, Filipe; Assis, Jorge",,"Cavanaugh, Kyle C. (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Alberto, Filipe (University of Wisconsin–Milwaukee); Assis, Jorge (University of Algarve)",22,9,0.51,3.15,https://cloudfront.escholarship.org/dist/prd/content/qt7vw6c5gg/qt7vw6c5gg.pdf?t=mltxbc,https://app.dimensions.ai/details/publication/pub.1017563269,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
38,100,pub.1005868960,10.1029/2012jc008070,,,Biogenic silica standing stock and export in the Santa Barbara Channel ecosystem,Journal of Geophysical Research Oceans,,,2013-02,2013,118,2,736-749,All OA; Gold,Article,"Krause, Jeffrey W.; Brzezinski, Mark A.; Siegel, David A.; Thunell, Robert C.",,"Krause, Jeffrey W. (University of California, Santa Barbara; Dauphin Island Sea Lab); Brzezinski, Mark A. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Thunell, Robert C. (University of South Carolina)",7,2,,1.04,http://onlinelibrary.wiley.com/doi/10.1029/2012JC008070/pdf,https://app.dimensions.ai/details/publication/pub.1005868960,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics,0405 Oceanography,
39,100,pub.1004313360,10.1016/j.dsr.2012.10.011,,,A new time series of particle export from neutrally buoyant sediments traps at the Bermuda Atlantic Time-series Study site,Deep Sea Research Part I Oceanographic Research Papers,,,2013-02,2013,72,Biogeosci. Discuss. 2 2005,34-47,Closed,Article,"Owens, S.A.; Buesseler, K.O.; Lamborg, C.H.; Valdes, J.; Lomas, M.W.; Johnson, R.J.; Steinberg, D.K.; Siegel, D.A","Owens, S.A.","Owens, S.A. (Woods Hole Oceanographic Institution); Buesseler, K.O. (Woods Hole Oceanographic Institution); Lamborg, C.H. (Woods Hole Oceanographic Institution); Valdes, J. (Woods Hole Oceanographic Institution); Lomas, M.W. (Bermuda Institute of Ocean Sciences; Bigelow Laboratory For Ocean Sciences); Johnson, R.J. (Bermuda Institute of Ocean Sciences); Steinberg, D.K. (William & Mary); Siegel, D.A (University of California, Santa Barbara)",21,3,,2.85,,https://app.dimensions.ai/details/publication/pub.1004313360,04 Earth Sciences; 0403 Geology; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0405 Oceanography,0402 Geochemistry,
40,200,pub.1071170666,10.3354/meps10061,,,Filamentation and eddy−eddy interactions in marine larval accumulation and transport,Marine Ecology Progress Series,,,2013-01-09,2013,472,,27-44,Closed,Article,"Harrison, CS; Siegel, DA; Mitarai, S",,"Harrison, CS (); Siegel, DA (); Mitarai, S ()",33,6,,5.35,,https://app.dimensions.ai/details/publication/pub.1071170666,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
41,400,pub.1050012261,10.1146/annurev-marine-120710-100751,22809178,,The Global Distribution and Dynamics of Chromophoric Dissolved Organic Matter,Annual Review of Marine Science,,Color; Ecosystem; Environmental Monitoring; Oceans and Seas; Optical Phenomena; Seawater,2013-01-03,2013,5,1,447-476,Closed,Article,"Nelson, Norman B.; Siegel, David A.",,"Nelson, Norman B. (); Siegel, David A. (University of California, Santa Barbara)",171,64,2.62,20.75,,https://app.dimensions.ai/details/publication/pub.1050012261,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
42,400,pub.1002728962,10.1073/pnas.1116193109,22753469,PMC3406815,Marine protected areas and the value of spatially optimized fishery management,Proceedings of the National Academy of Sciences,,"Animals; California; Conservation of Natural Resources; Ecology; Fisheries; Fishes; Models, Economic; Pacific Ocean; Species Specificity",2012-07-17,2012,109,29,11884-11889,All OA; Gold,Article,"Rassweiler, Andrew; Costello, Christopher; Siegel, David A.",,"Rassweiler, Andrew (); Costello, Christopher (); Siegel, David A. (University of California, Santa Barbara)",78,18,1.01,11.93,https://www.pnas.org/content/pnas/109/29/11884.full.pdf,https://app.dimensions.ai/details/publication/pub.1002728962,0602 Ecology; 0704 Fisheries Sciences; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 07 Agricultural and Veterinary Sciences,0602 Ecology,0704 Fisheries Sciences,06 Biological Sciences,05 Environmental Sciences,0502 Environmental Science and Management
43,400,pub.1058850635,10.1086/665992,22673654,,"Changing seascapes, stochastic connectivity, and marine metapopulation dynamics.",The American Naturalist,,"Animals; Animals, Newborn; Ecosystem; Fishes; Models, Biological; Population Dynamics; Stochastic Processes",2012-07,2012,180,1,99-112,"All OA; Green, Published",Article,"Watson, James R; Kendall, Bruce E; Siegel, David A; Mitarai, Satoshi",,"Watson, James R (Princeton University); Kendall, Bruce E (); Siegel, David A (); Mitarai, Satoshi ()",53,18,1.18,6.35,https://escholarship.org/content/qt8bf773j7/qt8bf773j7.pdf?t=n747vj,https://app.dimensions.ai/details/publication/pub.1058850635,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
44,400,pub.1065127954,10.1364/ao.51.003171,22695548,,"Optical assessment of particle size and composition in the Santa Barbara Channel, California.",Applied Optics,,"Absorption; Algorithms; California; Chlorophyll; Chromatography, High Pressure Liquid; Environmental Monitoring; Oceans and Seas; Particle Size; Particulate Matter; Phytoplankton; Scattering, Radiation; Spectrum Analysis; Water; Water Pollutants",2012-06-01,2012,51,16,3171-89,Closed,Article,"Kostadinov, Tihomir Sabinov; Siegel, David A; Maritorena, Stéphane; Guillocheau, Nathalie",,"Kostadinov, Tihomir Sabinov (University of California, Santa Barbara); Siegel, David A (); Maritorena, Stéphane (); Guillocheau, Nathalie ()",19,2,0.19,4.63,,https://app.dimensions.ai/details/publication/pub.1065127954,09 Engineering; 0205 Optical Physics; 0906 Electrical and Electronic Engineering; 0913 Mechanical Engineering; 02 Physical Sciences,09 Engineering,0205 Optical Physics,0906 Electrical and Electronic Engineering,0913 Mechanical Engineering,02 Physical Sciences
45,100,pub.1000497968,10.1016/j.dsr.2012.01.008,,,The effect of surface irradiance on the absorption spectrum of chromophoric dissolved organic matter in the global ocean,Deep Sea Research Part I Oceanographic Research Papers,,,2012-05,2012,63,,52-64,Closed,Article,"Swan, Chantal M.; Nelson, Norman B.; Siegel, David A.; Kostadinov, Tihomir S.","Swan, Chantal M.","Swan, Chantal M. (University of California, Santa Barbara); Nelson, Norman B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Kostadinov, Tihomir S. (University of California, Santa Barbara)",32,8,,3.64,,https://app.dimensions.ai/details/publication/pub.1000497968,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
46,400,pub.1029430663,10.1890/11-0377.1,22164835,,Wave disturbance overwhelms top‐down and bottom‐up control of primary production in California kelp forests,Ecology,,Animals; California; Ecosystem; Kelp; Otters; Sea Urchins; Seasons; Succinimides; Time Factors; Water Movements,2011-11,2011,92,11,2108-2116,Closed,Article,"Reed, Daniel C.; Rassweiler, Andrew; Carr, Mark H.; Cavanaugh, Kyle C.; Malone, Daniel P.; Siegel, David A.",,"Reed, Daniel C. (University of California, Santa Barbara); Rassweiler, Andrew (University of California, Santa Barbara); Carr, Mark H. (University of California, Santa Cruz); Cavanaugh, Kyle C. (University of California, Santa Barbara); Malone, Daniel P. (University of California, Santa Cruz); Siegel, David A. (University of California, Santa Barbara)",83,28,1.34,8.73,,https://app.dimensions.ai/details/publication/pub.1029430663,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
47,400,pub.1048424027,10.1073/pnas.1111461108,21987813,PMC3203776,Identifying critical regions in small-world marine metapopulations,Proceedings of the National Academy of Sciences,,"Animals; Computer Simulation; Conservation of Natural Resources; Demography; Ecosystem; Fishes; Geography; Larva; Marine Biology; Models, Biological; Oceans and Seas; Population Dynamics; Species Specificity",2011-10-25,2011,108,43,e907-e913,All OA; Gold,Article,"Watson, James R.; Siegel, David A.; Kendall, Bruce E.; Mitarai, Satoshi; Rassweiller, Andrew; Gaines, Steven D.",,"Watson, James R. (); Siegel, David A. (); Kendall, Bruce E. (); Mitarai, Satoshi (Okinawa Institute of Science and Technology); Rassweiller, Andrew (University of California, Santa Barbara); Gaines, Steven D. ()",65,19,1.22,8.58,http://www.pnas.org/content/108/43/E907.full.pdf,https://app.dimensions.ai/details/publication/pub.1048424027,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
48,200,pub.1033827873,10.2514/6.2011-7361,,,Assessing Requirements for Sustained Ocean Color Research and Observations,,AIAA SPACE 2011 Conference & Exposition,,2011-09-27,2011,,,,Closed,Proceeding,"Schueler, Carl; Yoder, James; Antoine, David; Castillo, Carlos; Evans, Robert; Mengelt, Claudia; Mobley, Curtis; Sarmiento, Jorge; Sathyendranath, Shubha; Siegel, David; Wilson, Cara",,"Schueler, Carl (); Yoder, James (Woods Hole Oceanographic Institution); Antoine, David (); Castillo, Carlos (Johns Hopkins University Applied Physics Laboratory); Evans, Robert (University of Miami); Mengelt, Claudia (National Academy of Sciences); Mobley, Curtis (); Sarmiento, Jorge (Princeton University); Sathyendranath, Shubha (Dalhousie University); Siegel, David (University of California, Santa Barbara); Wilson, Cara (National Oceanic and Atmospheric Administration)",15,1,,,,https://app.dimensions.ai/details/publication/pub.1033827873,,,,,,
49,100,pub.1022044940,10.1029/2011gl048620,,,Systematic removal of neutral sugars within dissolved organic matter across ocean basins,Geophysical Research Letters,,,2011-09,2011,38,17,n/a-n/a,All OA; Gold,Article,"Goldberg, Stuart J.; Carlson, Craig A.; Brzezinski, Mark; Nelson, Norm B.; Siegel, David A.",,"Goldberg, Stuart J. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara); Brzezinski, Mark (University of California, Santa Barbara); Nelson, Norm B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara)",22,3,,2.31,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011GL048620,https://app.dimensions.ai/details/publication/pub.1022044940,04 Earth Sciences; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0405 Oceanography,0402 Geochemistry,,
50,100,pub.1035318266,10.1029/2011gl047660,,,Bio‐optical footprints created by mesoscale eddies in the Sargasso Sea,Geophysical Research Letters,,,2011-07,2011,38,13,n/a-n/a,"All OA; Green, Published",Article,"Siegel, D. A.; Peterson, P.; McGillicuddy, D. J.; Maritorena, S.; Nelson, N. B.",,"Siegel, D. A. (University of California, Santa Barbara); Peterson, P. (University of California, Santa Barbara); McGillicuddy, D. J. (Woods Hole Oceanographic Institution); Maritorena, S. (University of California, Santa Barbara); Nelson, N. B. (University of California, Santa Barbara)",58,12,,6.27,http://darchive.mblwhoilibrary.org/bitstream/1912/4739/1/2011GL047660.pdf,https://app.dimensions.ai/details/publication/pub.1035318266,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
51,400,pub.1033260505,10.1890/10-1436.1,21797147,,Currents connecting communities: nearshore community similarity and ocean circulation,Ecology,,"Animals; Aquatic Organisms; Biota; California; Larva; Models, Statistical; Pacific Ocean; Population Dynamics; Temperature; Water Movements",2011-06,2011,92,6,1193-1200,All OA; Gold,Article,"Watson, J. R.; Hays, C. G.; Raimondi, P. T.; Mitarai, S.; Dong, C.; McWilliams, J. C.; Blanchette, C. A.; Caselle, J. E.; Siegel, D. A.",,"Watson, J. R. (University of California, Santa Barbara); Hays, C. G. (University of California, Merced); Raimondi, P. T. (University of California, Santa Cruz); Mitarai, S. (Okinawa Institute of Science and Technology); Dong, C. (University of California Los Angeles); McWilliams, J. C. (University of California Los Angeles); Blanchette, C. A. (University of California, Santa Barbara); Caselle, J. E. (University of California, Santa Barbara); Siegel, D. A. (University of California, Santa Barbara)",46,12,0.77,6.07,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/10-1436.1,https://app.dimensions.ai/details/publication/pub.1033260505,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
52,400,pub.1032720395,10.1111/j.1365-294x.2011.05117.x,21535280,,Isolation by oceanographic distance explains genetic structure for Macrocystis pyrifera in the Santa Barbara Channel,Molecular Ecology,,"California; Gene Flow; Genetic Variation; Genetics, Population; Macrocystis; Models, Genetic; Oceanography; Regression Analysis; Seasons; Seawater; Spores; Time Factors; Water Movements",2011-06,2011,20,12,2543-2554,Closed,Article,"ALBERTO, FILIPE; RAIMONDI, PETER T.; REED, DANIEL C.; WATSON, JAMES R.; SIEGEL, DAVID A.; MITARAI, SATOSHI; COELHO, NELSON; SERRÃO, ESTER A.",,"ALBERTO, FILIPE (University of Algarve; University of Wisconsin–Milwaukee); RAIMONDI, PETER T. (University of California, Santa Cruz); REED, DANIEL C. (University of California, Santa Barbara); WATSON, JAMES R. (University of California, Santa Barbara); SIEGEL, DAVID A. (University of California, Santa Barbara); MITARAI, SATOSHI (University of California, Santa Barbara; Okinawa Institute of Science and Technology); COELHO, NELSON (University of Algarve); SERRÃO, ESTER A. (University of Algarve)",66,18,1.7,5.73,,https://app.dimensions.ai/details/publication/pub.1032720395,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
53,100,pub.1048882172,10.4319/lo.2011.56.3.0955,,,Variability in optical particle backscattering in contrasting bio‐optical oceanic regimes,Limnology and Oceanography,,,2011-05,2011,56,3,955-973,All OA; Gold,Article,"Antoine, David; Siegel, David A.; Kostadinov, Tihomir; Maritorena, Stéphane; Nelson, Norm B.; Gentili, Bernard; Vellucci, Vincenzo; Guillocheau, Nathalie",,"Antoine, David (Sorbonne University); Siegel, David A. (University of California, Santa Barbara); Kostadinov, Tihomir (University of California, Santa Barbara); Maritorena, Stéphane (University of California, Santa Barbara); Nelson, Norm B. (University of California, Santa Barbara); Gentili, Bernard (Sorbonne University); Vellucci, Vincenzo (Sorbonne University); Guillocheau, Nathalie (University of California, Santa Barbara)",69,20,,7.46,http://onlinelibrary.wiley.com/doi/10.4319/lo.2011.56.3.0955/pdf,https://app.dimensions.ai/details/publication/pub.1048882172,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
54,100,pub.1049182455,10.1029/2010gl045858,,,Detecting toxic diatom blooms from ocean color and a regional ocean model,Geophysical Research Letters,,,2011-02,2011,38,4,n/a-n/a,All OA; Gold,Article,"Anderson, Clarissa R.; Kudela, Raphael M.; Benitez‐Nelson, Claudia; Sekula‐Wood, Emily; Burrell, Christopher T.; Chao, Yi; Langlois, Gregg; Goodman, Jo; Siegel, David A.",,"Anderson, Clarissa R. (University of California, Santa Cruz; University of South Carolina); Kudela, Raphael M. (University of California, Santa Cruz); Benitez‐Nelson, Claudia (University of South Carolina); Sekula‐Wood, Emily (University of South Carolina); Burrell, Christopher T. (University of South Carolina); Chao, Yi (Jet Propulsion Lab); Langlois, Gregg (Department of Health Services); Goodman, Jo (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara)",22,4,,2.35,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010GL045858,https://app.dimensions.ai/details/publication/pub.1049182455,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
55,100,pub.1004695480,10.1890/100004,,,Improving biogeochemical knowledge through technological innovation,Frontiers in Ecology and the Environment,,,2011-02,2011,9,1,37-43,All OA; Gold,Article,"Melack, John M; Finzi, Adrien C; Siegel, David; MacIntyre, Sally; Nelson, Craig E; Aufdenkampe, Anthony K; Pace, Michael L",,"Melack, John M (University of California, Santa Barbara); Finzi, Adrien C (Boston University); Siegel, David (University of California, Santa Barbara); MacIntyre, Sally (University of California, Santa Barbara); Nelson, Craig E (University of California, Santa Barbara); Aufdenkampe, Anthony K (Stroud Water Research Center); Pace, Michael L (University of Virginia)",4,0,,0.66,http://onlinelibrary.wiley.com/doi/10.1890/100004/pdf,https://app.dimensions.ai/details/publication/pub.1004695480,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
56,400,pub.1014228536,10.1073/pnas.0908057107,20176962,PMC2972921,The value of spatial information in MPA network design,Proceedings of the National Academy of Sciences,,Animals; Biomass; California; Conservation of Natural Resources; Ecosystem; Fisheries; Fishes; Larva; Marine Biology; Pacific Ocean,2010-10-26,2010,107,43,18294-18299,All OA; Gold,Article,"Costello, Christopher; Rassweiler, Andrew; Siegel, David; De Leo, Giulio; Micheli, Fiorenza; Rosenberg, Andrew",,"Costello, Christopher (); Rassweiler, Andrew (); Siegel, David (University of California, Santa Barbara); De Leo, Giulio (University of Parma); Micheli, Fiorenza (); Rosenberg, Andrew (University of New Hampshire)",69,13,0.79,8.55,https://www.pnas.org/content/pnas/107/43/18294.full.pdf,https://app.dimensions.ai/details/publication/pub.1014228536,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
57,100,pub.1032944313,10.5194/bg-7-3239-2010,,,Global variability of phytoplankton functional types from space: assessment via the particle size distribution,Biogeosciences,,,2010-10-20,2010,7,10,3239-3257,All OA; Gold,Article,"Kostadinov, T. S.; Siegel, D. A.; Maritorena, S.",,"Kostadinov, T. S. (University of California, Santa Barbara); Siegel, D. A. (University of California, Santa Barbara); Maritorena, S. (University of California, Santa Barbara)",83,20,,,https://www.biogeosciences.net/7/3239/2010/bg-7-3239-2010.pdf,https://app.dimensions.ai/details/publication/pub.1032944313,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
58,400,pub.1053457682,10.1111/j.1365-294x.2010.04658.x,20723063,,Taking the chaos out of genetic patchiness: seascape genetics reveals ecological and oceanographic drivers of genetic patterns in three temperate reef species,Molecular Ecology,,"Animals; Bass; California; Coral Reefs; Ecology; Gastropoda; Genetic Variation; Genetics, Population; Genotype; Linear Models; Microsatellite Repeats; Models, Genetic; Nonlinear Dynamics; Oceanography; Palinuridae; Water Movements",2010-09,2010,19,17,3708-3726,Closed,Article,"SELKOE, KIMBERLY A.; WATSON, JAMES R.; WHITE, CROW; HORIN, TAL BEN; IACCHEI, MATTHEW; MITARAI, SATOSHI; SIEGEL, DAVID A.; GAINES, STEVEN D.; TOONEN, ROBERT J.",,"SELKOE, KIMBERLY A. (University of Hawaii at Manoa; University of California, Santa Barbara); WATSON, JAMES R. (University of California, Santa Barbara); WHITE, CROW (University of California, Santa Barbara); HORIN, TAL BEN (University of California, Santa Barbara); IACCHEI, MATTHEW (University of Hawaii at Manoa); MITARAI, SATOSHI (University of California, Santa Barbara; Okinawa Institute of Science and Technology); SIEGEL, DAVID A. (University of California, Santa Barbara); GAINES, STEVEN D. (University of California, Santa Barbara); TOONEN, ROBERT J. (University of Hawaii at Manoa)",197,29,4.52,17.04,,https://app.dimensions.ai/details/publication/pub.1053457682,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
59,100,pub.1031750036,10.1016/j.rse.2010.04.002,,,"Merged satellite ocean color data products using a bio-optical model: Characteristics, benefits and issues",Remote Sensing of Environment,,,2010-08-16,2010,114,8,1791-1804,Closed,Article,"Maritorena, Stéphane; d'Andon, Odile Hembise Fanton; Mangin, Antoine; Siegel, David A.","Maritorena, Stéphane","Maritorena, Stéphane (University of California, Santa Barbara); d'Andon, Odile Hembise Fanton (ACRI Group (France)); Mangin, Antoine (ACRI Group (France)); Siegel, David A. (University of California, Santa Barbara)",201,61,,19.22,,https://app.dimensions.ai/details/publication/pub.1031750036,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
60,100,pub.1025048659,10.1016/j.dsr2.2010.02.013,,,Dissolved organic carbon export and subsequent remineralization in the mesopelagic and bathypelagic realms of the North Atlantic basin,Deep Sea Research Part II Topical Studies in Oceanography,,,2010-08,2010,57,16,1433-1445,Closed,Article,"Carlson, Craig A.; Hansell, Dennis A.; Nelson, Norman B.; Siegel, David A.; Smethie, William M.; Khatiwala, Samar; Meyers, Meredith M.; Halewood, Elisa","Carlson, Craig A.","Carlson, Craig A. (University of California, Santa Barbara); Hansell, Dennis A. (); Nelson, Norman B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Smethie, William M. (Lamont-Doherty Earth Observatory); Khatiwala, Samar (Lamont-Doherty Earth Observatory); Meyers, Meredith M. (University of California, Santa Barbara); Halewood, Elisa (University of California, Santa Barbara)",145,32,,13.77,,https://app.dimensions.ai/details/publication/pub.1025048659,0602 Ecology; 0405 Oceanography; 0402 Geochemistry; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0402 Geochemistry,04 Earth Sciences,06 Biological Sciences
