,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Craig E Nelson. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,100,pub.1032645393,10.1111/fwb.12523,,,Physicochemical and biological responses of streams to wildfire severity in riparian zones,Freshwater Biology,,,2015-12,2015,60,12,2600-2619,Closed,Article,"Cooper, Scott D.; Page, Henry M.; Wiseman, Sheila W.; Klose, Kristie; Bennett, Danuta; Even, Thomas; Sadro, Steven; Nelson, Craig E.; Dudley, Thomas L.",,"Cooper, Scott D. (University of California, Santa Barbara); Page, Henry M. (University of California, Santa Barbara); Wiseman, Sheila W. (University of California, Santa Barbara); Klose, Kristie (University of California, Santa Barbara); Bennett, Danuta (University of California, Santa Barbara); Even, Thomas (University of California, Santa Barbara); Sadro, Steven (University of California, Santa Barbara); Nelson, Craig E. (University of California, Santa Barbara; University of Hawaii at Manoa); Dudley, Thomas L. (University of California, Santa Barbara)",21,12,,4.02,,https://app.dimensions.ai/details/publication/pub.1032645393,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
25,100,pub.1015594408,10.1016/j.marchem.2015.06.026,,,Fluorescent dissolved organic matter as a multivariate biogeochemical tracer of submarine groundwater discharge in coral reef ecosystems,Marine Chemistry,,,2015-12,2015,177,,232-243,All OA; Gold,Article,"Nelson, Craig E.; Donahue, Megan J.; Dulaiova, Henrieta; Goldberg, Stuart J.; La Valle, Florybeth F.; Lubarsky, Katie; Miyano, Justin; Richardson, Christina; Silbiger, Nyssa J.; Thomas, Florence I.M.","Nelson, Craig E.","Nelson, Craig E. (University of Hawaii at Manoa); Donahue, Megan J. (University of Hawaii at Manoa); Dulaiova, Henrieta (University of Hawaii at Manoa); Goldberg, Stuart J. (University of Hawaii at Manoa); La Valle, Florybeth F. (University of Hawaii at Manoa); Lubarsky, Katie (University of Hawaii at Manoa); Miyano, Justin (University of Hawaii at Manoa); Richardson, Christina (University of Hawaii at Manoa); Silbiger, Nyssa J. (University of Hawaii at Manoa); Thomas, Florence I.M. (University of Hawaii at Manoa)",25,17,,4.08,https://manuscript.elsevier.com/S030442031530013X/pdf/S030442031530013X.pdf,https://app.dimensions.ai/details/publication/pub.1015594408,0405 Oceanography; 0402 Geochemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 04 Earth Sciences,0405 Oceanography,0402 Geochemistry,0399 Other Chemical Sciences,03 Chemical Sciences,04 Earth Sciences
26,400,pub.1048503788,10.1111/1462-2920.12445,24589037,,Bacterioplankton turnover within seasonally hypoxic waters,Environmental Microbiology,,"Alphaproteobacteria; Bermuda; Carbon Dioxide; Chlorobi; Euryarchaeota; Methane; Microbial Consortia; Oxidation-Reduction; Oxygen; Plankton; RNA, Ribosomal; RNA, Ribosomal, 16S; Seawater; Sulfur; Synechococcus",2015-10,2015,17,10,3481-3499,Closed,Article,"Parsons, Rachel J; Nelson, Craig E; Carlson, Craig A; Denman, Carmen C; Andersson, Andreas J; Kledzik, Andrew L; Vergin, Kevin L; McNally, Sean P; Treusch, Alexander H; Giovannoni, Stephen J",,"Parsons, Rachel J (); Nelson, Craig E (University of California, Santa Barbara; University of Hawaii at Manoa); Carlson, Craig A (University of California, Santa Barbara); Denman, Carmen C (Oregon State University; London School of Hygiene & Tropical Medicine); Andersson, Andreas J (University of California, San Diego); Kledzik, Andrew L (Florida Institute of Technology); Vergin, Kevin L (Oregon State University); McNally, Sean P (University of Rhode Island); Treusch, Alexander H (Oregon State University; University of Southern Denmark); Giovannoni, Stephen J (Oregon State University)",9,0,0.56,1.82,,https://app.dimensions.ai/details/publication/pub.1048503788,0605 Microbiology; 06 Biological Sciences; 0603 Evolutionary Biology,0605 Microbiology,06 Biological Sciences,0603 Evolutionary Biology,,
27,100,pub.1030611404,10.1002/lno.10042,,,Synchronous shifts in dissolved organic carbon bioavailability and bacterial community responses over the course of an upwelling‐driven phytoplankton bloom,Limnology and Oceanography,,,2015-03,2015,60,2,657-677,Closed,Article,"Wear, Emma K.; Carlson, Craig A.; James, Anna K.; Brzezinski, Mark A.; Windecker, Laura A.; Nelson, Craig E.",,"Wear, Emma K. (); Carlson, Craig A. (); James, Anna K. (); Brzezinski, Mark A. (); Windecker, Laura A. (); Nelson, Craig E. (University of Hawaii at Manoa)",23,13,,,,https://app.dimensions.ai/details/publication/pub.1030611404,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
28,400,pub.1051503103,10.1073/pnas.1403319111,24982156,PMC4104888,Local genomic adaptation of coral reef-associated microbiomes to gradients of natural variability and anthropogenic stressors,Proceedings of the National Academy of Sciences,,"Adaptation, Physiological; Bacteria; Coral Reefs; Gene Transfer, Horizontal; Metagenome; Microbiota; Pacific Ocean; Water Pollution",7/15/14,2014,111,28,10227-10232,All OA; Gold,Article,"Kelly, Linda W.; Williams, Gareth J.; Barott, Katie L.; Carlson, Craig A.; Dinsdale, Elizabeth A.; Edwards, Robert A.; Haas, Andreas F.; Haynes, Matthew; Lim, Yan Wei; McDole, Tracey; Nelson, Craig E.; Sala, Enric; Sandin, Stuart A.; Smith, Jennifer E.; Vermeij, Mark J. A.; Youle, Merry; Rohwer, Forest",,"Kelly, Linda W. (San Diego State University); Williams, Gareth J. (University of California, San Diego); Barott, Katie L. (San Diego State University; University of California, San Diego); Carlson, Craig A. (University of California, Santa Barbara); Dinsdale, Elizabeth A. (San Diego State University); Edwards, Robert A. (San Diego State University); Haas, Andreas F. (University of California, San Diego); Haynes, Matthew (San Diego State University); Lim, Yan Wei (San Diego State University); McDole, Tracey (San Diego State University); Nelson, Craig E. (University of Hawaii at Manoa); Sala, Enric (National Geographic Society); Sandin, Stuart A. (University of California, San Diego); Smith, Jennifer E. (University of California, San Diego); Vermeij, Mark J. A. (Caribbean Research and Management of Biodiversity Foundation; University of Amsterdam); Youle, Merry (); Rohwer, Forest (San Diego State University)",90,38,4.4,14.22,http://www.pnas.org/content/111/28/10227.full.pdf,https://app.dimensions.ai/details/publication/pub.1051503103,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
29,200,pub.1009611274,10.1073/pnas.1405751111,24812126,PMC4034237,Microbial diversity and the lability of dissolved organic carbon,Proceedings of the National Academy of Sciences,,Alteromonas; Seawater,5/20/14,2014,111,20,7166-7167,"All OA; Green, Published",Article,"Nelson, Craig E.; Wear, Emma K.",,"Nelson, Craig E. (University of Hawaii at Manoa); Wear, Emma K. (University of California, Santa Barbara)",20,12,0.9,,http://europepmc.org/articles/pmc4034237?pdf=render,https://app.dimensions.ai/details/publication/pub.1009611274,,,,,,
30,400,pub.1041314906,10.1111/1462-2920.12241,24589288,,Community differentiation and population enrichment of Sargasso Sea bacterioplankton in the euphotic zone of a mesoscale mode‐water eddy,Environmental Microbiology,,"Bacteria; Bacterial Physiological Phenomena; Biodiversity; Biomass; Cluster Analysis; Oceans and Seas; Phytoplankton; Pigments, Biological; Plankton; RNA, Ribosomal, 16S; Seawater; Water Movements",2014-03,2014,16,3,871-887,Closed,Article,"Nelson, Craig E.; Carlson, Craig A.; Ewart, Courtney S.; Halewood, Elisa R.",,"Nelson, Craig E. (University of California, Santa Barbara; University of Hawaii at Manoa); Carlson, Craig A. (University of California, Santa Barbara); Ewart, Courtney S. (University of California, Santa Barbara); Halewood, Elisa R. (University of California, Santa Barbara)",31,11,1.86,4.96,,https://app.dimensions.ai/details/publication/pub.1041314906,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
31,200,pub.1073068217,10.5670/oceanog.2013.45,,,"Biological and Physical Interactions on a Tropical Island Coral Reef: Transport and Retention Processes on Moorea, French Polynesia",Oceanography,,,9/1/13,2013,26,3,52-63,All OA; Gold,Article,"Leichter, James; Alldredge, Alice; Bernardi, Giacomo; Brooks, Andrew; Carlson, Craig; Carpenter, Robert; Edmunds, Peter; Fewings, Melanie; Hanson, Katharine; Hench, James; Holbrook, Sally; Nelson, Craig; Schmitt, Russell; Toonen, Robert; Washburn, Libe; Wyatt, Alex",,"Leichter, James (); Alldredge, Alice (); Bernardi, Giacomo (); Brooks, Andrew (); Carlson, Craig (); Carpenter, Robert (); Edmunds, Peter (); Fewings, Melanie (); Hanson, Katharine (); Hench, James (); Holbrook, Sally (); Nelson, Craig (); Schmitt, Russell (); Toonen, Robert (); Washburn, Libe (); Wyatt, Alex ()",23,10,,2.75,https://tos.org/oceanography/assets/docs/26-3_leichter.pdf,https://app.dimensions.ai/details/publication/pub.1073068217,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
32,100,pub.1004864570,10.1007/s00227-013-2239-z,,,Coupled changes in oxygen concentration and pH caused by metabolism of benthic coral reef organisms,Marine Biology,,,2013-09,2013,160,9,2437-2447,Closed,Article,"Smith, Jennifer E.; Price, Nichole N.; Nelson, Craig E.; Haas, Andreas F.","Smith, Jennifer E.","Smith, Jennifer E. (Scripps Institution of Oceanography); Price, Nichole N. (Scripps Institution of Oceanography); Nelson, Craig E. (University of California, Santa Barbara); Haas, Andreas F. (Scripps Institution of Oceanography)",29,6,,4.08,,https://app.dimensions.ai/details/publication/pub.1004864570,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
33,400,pub.1043377559,10.7717/peerj.108,23882445,PMC3719129,Influence of coral and algal exudates on microbially mediated reef metabolism,PeerJ,,,7/16/13,2013,1,,e108,All OA; Gold,Article,"Haas, Andreas F.; Nelson, Craig E.; Rohwer, Forest; Wegley-Kelly, Linda; Quistad, Steven D.; Carlson, Craig A.; Leichter, James J.; Hatay, Mark; Smith, Jennifer E.",,"Haas, Andreas F. (San Diego State University; University of California, San Diego); Nelson, Craig E. (University of California, Santa Barbara); Rohwer, Forest (San Diego State University); Wegley-Kelly, Linda (San Diego State University); Quistad, Steven D. (San Diego State University); Carlson, Craig A. (University of California, Santa Barbara); Leichter, James J. (University of California, San Diego); Hatay, Mark (San Diego State University); Smith, Jennifer E. (University of California, San Diego)",57,22,2.05,9.15,https://peerj.com/articles/108.pdf,https://app.dimensions.ai/details/publication/pub.1043377559,0602 Ecology; 0501 Ecological Applications; 0605 Microbiology; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0501 Ecological Applications,0605 Microbiology,0607 Plant Biology,05 Environmental Sciences
34,400,pub.1034122511,10.1038/ismej.2012.161,23303369,PMC3635233,Coral and macroalgal exudates vary in neutral sugar composition and differentially enrich reef bacterioplankton lineages,The ISME Journal,,"Animals; Anthozoa; Bacteria; Carbohydrate Metabolism; Carbon; Chlorophyta; Coral Reefs; Hydrogen-Ion Concentration; Plankton; Polynesia; RNA, Ribosomal, 16S; Rhodophyta; Seawater; Seaweed",2013-05,2013,7,5,962-979,All OA; Gold,Article,"Nelson, Craig E; Goldberg, Stuart J; Wegley Kelly, Linda; Haas, Andreas F; Smith, Jennifer E; Rohwer, Forest; Carlson, Craig A","Nelson, Craig E","Nelson, Craig E (University of California, Santa Barbara); Goldberg, Stuart J (University of California, Santa Barbara); Wegley Kelly, Linda (San Diego State University); Haas, Andreas F (University of California, San Diego); Smith, Jennifer E (University of California, San Diego); Rohwer, Forest (San Diego State University); Carlson, Craig A (University of California, Santa Barbara)",107,39,3.81,13.71,https://www.nature.com/articles/ismej2012161.pdf,https://app.dimensions.ai/details/publication/pub.1034122511,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
35,400,pub.1000075767,10.1111/1574-6941.12012,22984851,,Temporal succession of putative glycolate‐utilizing bacterioplankton tracks changes in dissolved organic matter in a high‐elevation lake,FEMS Microbiology Ecology,,"Alcohol Oxidoreductases; Bacteria; DNA, Bacterial; Fresh Water; Glycolates; Lakes; Phylogeny; Phytoplankton; Polymorphism, Restriction Fragment Length; Seasons; Sequence Analysis, DNA",2013-03,2013,83,3,541-551,All OA; Gold,Article,"Paver, Sara F.; Nelson, Craig E.; Kent, Angela D.",,"Paver, Sara F. (University of Illinois at Urbana Champaign); Nelson, Craig E. (University of California, Santa Barbara); Kent, Angela D. (University of Illinois at Urbana Champaign)",6,0,0.3,0.84,https://academic.oup.com/femsec/article-pdf/83/3/541/19534201/83-3-541.pdf,https://app.dimensions.ai/details/publication/pub.1000075767,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
36,400,pub.1042293604,10.1890/12-0295.1,23495644,,Consistency and sensitivity of stream periphyton community structural and functional responses to nutrient enrichment,Ecological Applications,,Bacteria; Biofilms; Biomass; California; Ecosystem; Fertilizers; Nitrogen Fixation; Phytoplankton; Plants; Rivers; Species Specificity,2013-01,2013,23,1,159-173,"All OA; Green, Accepted & Submitted",Article,"Nelson, Craig E.; Bennett, Danuta M.; Cardinale, Bradley J.",,"Nelson, Craig E. (University of California, Santa Barbara); Bennett, Danuta M. (University of California, Santa Barbara); Cardinale, Bradley J. (University of Michigan)",12,4,0.43,1.93,https://deepblue.lib.umich.edu/bitstream/2027.42/117222/1/eap2013231159.pdf,https://app.dimensions.ai/details/publication/pub.1042293604,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
37,400,pub.1008674993,10.1111/j.1462-2920.2012.02738.x,22507662,,Tracking differential incorporation of dissolved organic carbon types among diverse lineages of Sargasso Sea bacterioplankton,Environmental Microbiology,,"Aquatic Organisms; Bacteria; Biodiversity; Carbon; Carbon Sequestration; Oceans and Seas; Plankton; Seawater; Water Pollutants, Chemical",2012-06,2012,14,6,1500-1516,Closed,Article,"Nelson, Craig E.; Carlson, Craig A.",,"Nelson, Craig E. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara)",77,14,2.63,9.1,,https://app.dimensions.ai/details/publication/pub.1008674993,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
38,100,pub.1043954912,10.1007/s10021-011-9515-x,,,The Influence of Landscape Position and Catchment Characteristics on Aquatic Biogeochemistry in High-Elevation Lake-Chains,Ecosystems,,,2012-04,2012,15,3,363-386,Closed,Article,"Sadro, Steven; Nelson, Craig E.; Melack, John M.","Sadro, Steven","Sadro, Steven (University of California, Santa Barbara); Nelson, Craig E. (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara)",31,13,,3.66,,https://app.dimensions.ai/details/publication/pub.1043954912,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
39,400,pub.1036886187,10.1038/ismej.2011.108,21900967,PMC3260501,An all-taxon microbial inventory of the Moorea coral reef ecosystem,The ISME Journal,,"Archaea; Bacteria; Bacterial Physiological Phenomena; Biodiversity; Coral Reefs; DNA, Ribosomal; Ecosystem; Eukaryota; Oceans and Seas; Polynesia; RNA, Ribosomal, 16S; Seasons",2012-02,2012,6,2,309-319,All OA; Gold,Article,"McCliment, Elizabeth A; Nelson, Craig E; Carlson, Craig A; Alldredge, Alice L; Witting, Jan; Amaral-Zettler, Linda A","Amaral-Zettler, Linda A","McCliment, Elizabeth A (Marine Biological Laboratory); Nelson, Craig E (University of California, Santa Barbara); Carlson, Craig A (University of California, Santa Barbara); Alldredge, Alice L (University of California, Santa Barbara); Witting, Jan (Sea Education Association); Amaral-Zettler, Linda A (Marine Biological Laboratory; Brown University)",21,2,0.89,2.77,https://www.nature.com/articles/ismej2011108.pdf,https://app.dimensions.ai/details/publication/pub.1036886187,0602 Ecology; 0502 Environmental Science and Management; 0605 Microbiology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0605 Microbiology,05 Environmental Sciences,06 Biological Sciences
40,400,pub.1025610911,10.1371/journal.pone.0027973,22125645,PMC3220721,Effects of Coral Reef Benthic Primary Producers on Dissolved Organic Carbon and Microbial Activity,PLoS ONE,,Animals; Anthozoa; Bacteria; Carbon; Chlorophyta; Coral Reefs; Ecosystem; Light; Phaeophyta; Plankton; Polynesia; Population Dynamics; Rhodophyta; Seawater; Temperature; Water Microbiology,11/18/11,2011,6,11,e27973,All OA; Gold,Article,"Haas, Andreas F.; Nelson, Craig E.; Kelly, Linda Wegley; Carlson, Craig A.; Rohwer, Forest; Leichter, James J.; Wyatt, Alex; Smith, Jennifer E.",,"Haas, Andreas F. (University of California, San Diego); Nelson, Craig E. (University of California, Santa Barbara); Kelly, Linda Wegley (San Diego State University); Carlson, Craig A. (University of California, Santa Barbara); Rohwer, Forest (San Diego State University); Leichter, James J. (University of California, San Diego); Wyatt, Alex (University of California, San Diego); Smith, Jennifer E. (University of California, San Diego)",105,37,2.75,12.83,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0027973&type=printable,https://app.dimensions.ai/details/publication/pub.1025610911,0602 Ecology; 0502 Environmental Science and Management; 0605 Microbiology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0605 Microbiology,05 Environmental Sciences,06 Biological Sciences
41,400,pub.1043042762,10.1038/ismej.2011.12,21390080,PMC3146267,Depleted dissolved organic carbon and distinct bacterial communities in the water column of a rapid-flushing coral reef ecosystem,The ISME Journal,,"Bacteria; Carbon; Coral Reefs; Ecosystem; Oceans and Seas; Phylogeny; Polymorphism, Restriction Fragment Length; Polynesia; Seawater",2011-08,2011,5,8,1374-1387,All OA; Gold,Article,"Nelson, Craig E; Alldredge, Alice L; McCliment, Elizabeth A; Amaral-Zettler, Linda A; Carlson, Craig A","Nelson, Craig E","Nelson, Craig E (University of California, Santa Barbara); Alldredge, Alice L (University of California, Santa Barbara); McCliment, Elizabeth A (Marine Biological Laboratory); Amaral-Zettler, Linda A (Marine Biological Laboratory; Brown University); Carlson, Craig A (University of California, Santa Barbara)",52,10,1.46,6.46,https://www.nature.com/articles/ismej201112.pdf,https://app.dimensions.ai/details/publication/pub.1043042762,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
42,400,pub.1044790430,10.1371/journal.pone.0018320,21483836,PMC3069079,Differential Response of High-Elevation Planktonic Bacterial Community Structure and Metabolism to Experimental Nutrient Enrichment,PLoS ONE,,Altitude; Bacteria; Ecosystem; Fresh Water; Phosphorus; Plankton,3/31/11,2011,6,3,e18320,All OA; Gold,Article,"Nelson, Craig E.; Carlson, Craig A.",,"Nelson, Craig E. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara)",16,2,0.44,1.67,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0018320&type=printable,https://app.dimensions.ai/details/publication/pub.1044790430,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
43,100,pub.1049096864,10.4319/lo.2011.56.2.0540,,,Linking diel patterns in community respiration to bacterioplankton in an oligotrophic high‐elevation lake,Limnology and Oceanography,,,2011-03,2011,56,2,540-550,All OA; Gold,Article,"Sadro, Steven; Nelson, Craig E.; Melack, John M.",,"Sadro, Steven (University of California, Santa Barbara); Nelson, Craig E. (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara)",27,6,,2.81,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2011.56.2.0540,https://app.dimensions.ai/details/publication/pub.1049096864,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
44,400,pub.1002080190,10.1016/j.jaci.2010.10.048,21194740,PMC3037020,Airway microbiota and bronchial hyperresponsiveness in patients with suboptimally controlled asthma,Journal of Allergy and Clinical Immunology,,"Adult; Asthma; Bacteria; Bronchi; Bronchial Hyperreactivity; Clarithromycin; Female; Humans; Male; Oligonucleotide Array Sequence Analysis; Phylogeny; Pilot Projects; RNA, Ribosomal, 16S",2011-02,2011,127,2,372-381.e3,"All OA; Green, Accepted & Submitted",Article,"Huang, Yvonne J.; Nelson, Craig E.; Brodie, Eoin L.; DeSantis, Todd Z.; Baek, Marshall S.; Liu, Jane; Woyke, Tanja; Allgaier, Martin; Bristow, Jim; Wiener-Kronish, Jeanine P.; Sutherland, E. Rand; King, Tonya S.; Icitovic, Nikolina; Martin, Richard J.; Calhoun, William J.; Castro, Mario; Denlinger, Loren C.; DiMango, Emily; Kraft, Monica; Peters, Stephen P.; Wasserman, Stephen I.; Wechsler, Michael E.; Boushey, Homer A.; Lynch, Susan V.; National Heart, Lung","Lynch, Susan V.","Huang, Yvonne J. (University of California, San Francisco); Nelson, Craig E. (University of California, Santa Barbara); Brodie, Eoin L. (Lawrence Berkeley National Laboratory); DeSantis, Todd Z. (Lawrence Berkeley National Laboratory); Baek, Marshall S. (University of California, San Francisco); Liu, Jane (University of California, San Francisco); Woyke, Tanja (Joint Genome Institute); Allgaier, Martin (University of California, San Francisco); Bristow, Jim (Joint Genome Institute); Wiener-Kronish, Jeanine P. (University of California, San Francisco); Sutherland, E. Rand (National Jewish Health); King, Tonya S. (Pennsylvania State University); Icitovic, Nikolina (Pennsylvania State University); Martin, Richard J. (National Jewish Health); Calhoun, William J. (The University of Texas Medical Branch at Galveston); Castro, Mario (Washington University in St. Louis); Denlinger, Loren C. (); DiMango, Emily (Columbia University); Kraft, Monica (Duke University); Peters, Stephen P. (Wake Forest Baptist Medical Center); Wasserman, Stephen I. (University of California, San Diego); Wechsler, Michael E. (); Boushey, Homer A. (University of California, San Francisco); Lynch, Susan V. (University of California, San Francisco); National Heart, Lung (University of California, Santa Barbara; Lawrence Berkeley National Laboratory; Joint Genome Institute; National Jewish Health; Pennsylvania State University; The University of Texas Medical Branch at Galveston; Washington University in St. Louis; Columbia University; Duke University; Wake Forest Baptist Medical Center; University of California, San Diego; University of California, San Francisco)",392,93,12.47,96.28,http://europepmc.org/articles/pmc3037020?pdf=render,https://app.dimensions.ai/details/publication/pub.1002080190,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences,1102 Cardiorespiratory Medicine and Haematology,11 Medical and Health Sciences,,,
45,100,pub.1004695480,10.1890/100004,,,Improving biogeochemical knowledge through technological innovation,Frontiers in Ecology and the Environment,,,2011-02,2011,9,1,37-43,All OA; Gold,Article,"Melack, John M; Finzi, Adrien C; Siegel, David; MacIntyre, Sally; Nelson, Craig E; Aufdenkampe, Anthony K; Pace, Michael L",,"Melack, John M (University of California, Santa Barbara); Finzi, Adrien C (Boston University); Siegel, David (University of California, Santa Barbara); MacIntyre, Sally (University of California, Santa Barbara); Nelson, Craig E (University of California, Santa Barbara); Aufdenkampe, Anthony K (Stroud Water Research Center); Pace, Michael L (University of Virginia)",4,0,,0.66,http://onlinelibrary.wiley.com/doi/10.1890/100004/pdf,https://app.dimensions.ai/details/publication/pub.1004695480,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
46,200,pub.1022392357,10.1164/ajrccm-conference.2010.181.1_meetingabstracts.a5093,,,Diverse Bacterial Communities In The Airways Of Patients With Sub-optimally Controlled Asthma,,C93. MOLECULAR AND CLINICAL PHENOTYPING OF ASTHMA,,2010-05,2010,,,a5093-a5093,Closed,Proceeding,"Lynch, Susan V.; Huang, Laurence; Nelson, Craig; Brodie, Eoin; DeSantis, Todd; Baek, Marshall; Woyke, Tanya; Liu, Jane; Allgaier, Martin; Bristow, James; Wiener_Kronish, Jeanine; Boushey, Homer",,"Lynch, Susan V. (); Huang, Laurence (); Nelson, Craig (); Brodie, Eoin (); DeSantis, Todd (); Baek, Marshall (); Woyke, Tanya (); Liu, Jane (); Allgaier, Martin (); Bristow, James (); Wiener_Kronish, Jeanine (); Boushey, Homer ()",2,0,,,,https://app.dimensions.ai/details/publication/pub.1022392357,,,,,,
47,100,pub.1048482314,10.4319/lo.2009.54.4.1292,,,Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high‐elevation lake chains,Limnology and Oceanography,,,2009-07,2009,54,4,1292-1305,All OA; Gold,Article,"Nelson, Craig E.; Sadro, Steven; Melack, John M.",,"Nelson, Craig E. (University of California, Santa Barbara); Sadro, Steven (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara)",35,7,,3.07,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2009.54.4.1292,https://app.dimensions.ai/details/publication/pub.1048482314,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
48,400,pub.1024487272,10.1890/08-1038.1,19537544,,Does productivity drive diversity or vice versa? A test of the multivariate productivity–diversity hypothesis in streams,Ecology,,"Animals; Bacteria; Biodiversity; Biomass; California; Diatoms; Eukaryota; Fertilizers; Models, Biological; Multivariate Analysis; Nitrates; Phosphates; Population Dynamics; Rivers",2009-05,2009,90,5,1227-1241,Closed,Article,"Cardinale, Bradley J.; Bennett, Danuta M.; Nelson, Craig E.; Gross, Kevin",,"Cardinale, Bradley J. (University of California, Santa Barbara); Bennett, Danuta M. (University of California, Santa Barbara); Nelson, Craig E. (University of California, Santa Barbara); Gross, Kevin (North Carolina State University)",77,14,1.06,6.75,,https://app.dimensions.ai/details/publication/pub.1024487272,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
49,400,pub.1008938116,10.1038/ismej.2008.81,18784755,,"Phenology of high-elevation pelagic bacteria: the roles of meteorologic variability, catchment inputs and thermal stratification in structuring communities",The ISME Journal,,"Bacteria; Biodiversity; California; Climate; Cluster Analysis; DNA Fingerprinting; DNA, Bacterial; Fresh Water; Organic Chemicals; Polymorphism, Restriction Fragment Length; Seasons; Sequence Analysis, DNA; Temperature",2009-01,2009,3,1,13-30,All OA; Gold,Article,"Nelson, Craig E","Nelson, Craig E","Nelson, Craig E (University of California, Santa Barbara)",73,10,1.89,6.4,https://www.nature.com/articles/ismej200881.pdf,https://app.dimensions.ai/details/publication/pub.1008938116,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
50,100,pub.1017657329,10.4319/lom.2005.3.211,,,A nonradioactive assay of bacterial productivity optimized for oligotrophic pelagic environments,Limnology and Oceanography Methods,,,2005-04,2005,3,4,211-220,All OA; Gold,Article,"Nelson, Craig E.; Carlson, Craig A.",,"Nelson, Craig E. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara)",13,2,,1.02,http://onlinelibrary.wiley.com/doi/10.4319/lom.2005.3.211/pdf,https://app.dimensions.ai/details/publication/pub.1017657329,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
