,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Bruce P Luyendyk. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,100,pub.1014879363,10.1029/1999jc900148,,,"The world's most spectacular marine hydrocarbon seeps (Coal Oil Point, Santa Barbara Channel, California): Quantification of emissions",Journal of Geophysical Research,,,9/15/99,1999,104,C9,20703-20711,All OA; Gold,Article,"Hornafius, J. Scott; Quigley, Derek; Luyendyk, Bruce P.",,"Hornafius, J. Scott (); Quigley, Derek (); Luyendyk, Bruce P. ()",208,21,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/1999JC900148,https://app.dimensions.ai/details/publication/pub.1014879363,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,,,
36,100,pub.1014560497,10.1130/0091-7613(1999)027<1047:dinmhs>2.3.co;2,,,"Decrease in natural marine hydrocarbon seepage near Coal Oil Point, California, associated with offshore oil production",Geology,,,1999,1999,27,11,1047-1050,"All OA; Green, Accepted & Submitted",Article,"Quigley, Derek C.; Hornafius, J. Scott; Luyendyk, Bruce P.; Francis, Robert D.; Clark, Jordan; Washburn, Libe",,"Quigley, Derek C. (University of California, Santa Barbara); Hornafius, J. Scott (University of California, Santa Barbara); Luyendyk, Bruce P. (University of California, Santa Barbara); Francis, Robert D. (California State University, Long Beach); Clark, Jordan (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara)",61,5,,,https://escholarship.org/content/qt0r91j34g/qt0r91j34g.pdf?t=o1yu78,https://app.dimensions.ai/details/publication/pub.1014560497,04 Earth Sciences,04 Earth Sciences,,,,
37,100,pub.1039584557,10.1029/96tc00131,,,Late Cenozoic structure and tectonics of the northern Mojave Desert,Tectonics,,,1996-10,1996,15,5,905-932,"All OA; Green, Published",Article,"Schermer, E. R.; Luyendyk, B. P.; Cisowski, S.",,"Schermer, E. R. (); Luyendyk, B. P. (); Cisowski, S. ()",36,3,,,https://cedar.wwu.edu/cgi/viewcontent.cgi?article=1013&context=geology_facpubs,https://app.dimensions.ai/details/publication/pub.1039584557,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
38,100,pub.1010917886,10.1029/95tc02524,,,"Paleomagnetic study of the northern Ford Ranges, western Marie Byrd Land, West Antarctica: Motion between West and East Antarctica",Tectonics,,,1996-02,1996,15,1,122-141,Closed,Article,"Luyendyk, Bruce; Cisowski, Stan; Smith, Christine; Richard, Steve; Kimbrough, David",,"Luyendyk, Bruce (); Cisowski, Stan (); Smith, Christine (); Richard, Steve (); Kimbrough, David ()",44,4,,,,https://app.dimensions.ai/details/publication/pub.1010917886,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
39,100,pub.1029302147,10.1130/0091-7613(1995)023<0373:hfcroe>2.3.co;2,,,Hypothesis for Cretaceous rifting of east Gondwana caused by subducted slab capture,Geology,,,1995,1995,23,4,373-376,Closed,Article,"Luyendyk, Bruce P.",,"Luyendyk, Bruce P. (University of California, Santa Barbara)",124,24,,,,https://app.dimensions.ai/details/publication/pub.1029302147,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
40,200,pub.1045805851,10.1016/0148-9062(94)90046-9,,,"Microplate capture, rotation of the western Transverse Ranges, and initiation of t he San Andreas transform as a low-angle fault system Geology, 22(6), 1994, pp 491–495",International Journal of Rock Mechanics and Mining Sciences,,,1994-12,1994,31,6,267,Closed,Article,"Nicholson, C.; Sorlien, C.C.; Atwater, T.; Crowell, J.C.; Luyendyk, B.P.",,"Nicholson, C. (); Sorlien, C.C. (); Atwater, T. (); Crowell, J.C. (); Luyendyk, B.P. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1045805851,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering; 0905 Civil Engineering,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,0905 Civil Engineering,,
41,100,pub.1018449347,10.1029/93tc03322,,,"Cooling history of the northern Ford Ranges, Marie Byrd Land, West Antarctica",Tectonics,,,1994-08,1994,13,4,837-857,Closed,Article,"Richard, S. M.; Smith, C. H.; Kimbrough, D. L.; Fitzgerald, P. G.; Luyendyk, B. P.; McWilliams, M. O.",,"Richard, S. M. (); Smith, C. H. (); Kimbrough, D. L. (); Fitzgerald, P. G. (); Luyendyk, B. P. (); McWilliams, M. O. ()",48,3,,,,https://app.dimensions.ai/details/publication/pub.1018449347,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
42,200,pub.1088807302,10.1130/spe292-p191,,,"Hosgri fault zone, offshore Santa Maria Basin, California",Geological Society of America Special Papers,Seismotectonics of the Central California Coast Ranges,,1994,1994,292,,191-210,Closed,Chapter,"Steritz, John W.; Luyendyk, Bruce P.",,"Steritz, John W. (); Luyendyk, Bruce P. ()",7,1,,,,https://app.dimensions.ai/details/publication/pub.1088807302,,,,,,
43,100,pub.1052582547,10.1130/0091-7613(1994)022<0491:mcrotw>2.3.co;2,,,"Microplate capture, rotation of the western Transverse Ranges, and initiation of the San Andreas transform as a low-angle fault system",Geology,,,1994,1994,22,6,491-495,Closed,Article,"Nicholson, Craig; Sorlien, Christopher C.; Atwater, Tanya; Crowell, John C.; Luyendyk, Bruce P.",,"Nicholson, Craig (University of California, Santa Barbara); Sorlien, Christopher C. (University of California, Santa Barbara); Atwater, Tanya (University of California, Santa Barbara); Crowell, John C. (University of California, Santa Barbara); Luyendyk, Bruce P. (University of California, Santa Barbara)",230,21,,,,https://app.dimensions.ai/details/publication/pub.1052582547,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
44,100,pub.1032673841,10.1130/0091-7613(1992)020<0239:dcsati>2.3.co;2,,,"Deep crustal structure and tectonics in the offshore southern Santa Maria Basin, California",Geology,,,1992,1992,20,3,239-242,Closed,Article,"Nicholson, Craig; Sorlien, Christopher C.; Luyendyk, Bruce P.",,"Nicholson, Craig (University of California, Santa Barbara); Sorlien, Christopher C. (University of California, Santa Barbara); Luyendyk, Bruce P. (University of California, Santa Barbara)",11,1,,,,https://app.dimensions.ai/details/publication/pub.1032673841,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
45,100,pub.1016753400,10.1029/91tc00861,,,"Paleomagnetic results from the Waipapa Terrane, Northland Peninsula, North Island, New Zealand: TEctonic implications from widespread remagnetizations",Tectonics,,,1991-10,1991,10,5,986-994,Closed,Article,"Haston, Roger B.; Luyendyk, Bruce P.",,"Haston, Roger B. (); Luyendyk, Bruce P. ()",3,1,,,,https://app.dimensions.ai/details/publication/pub.1016753400,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
46,100,pub.1017963389,10.1190/1.1443048,,,"A geophysical model of the Espanola Basin, Rio Grande Rift, New Mexico",Geophysics,,,1991-03,1991,56,3,340-353,Closed,Article,"Biehler, Shawn; Ferguson, J.; Baldridge, W. Scott; Jiracek, George R.; Aldern, Joseph Lins; Martinez-Garcia, Mario; Fernandez, Ricardo; Romo, Jose M.; Gilpin, Bernard; Braile, Lawrence W.; Hersey, D. R.; Luyendyk, Bruce P.; Aiken, C. L. V.",,"Biehler, Shawn (University of California, Riverside); Ferguson, J. (); Baldridge, W. Scott (); Jiracek, George R. (); Aldern, Joseph Lins (); Martinez-Garcia, Mario (); Fernandez, Ricardo (); Romo, Jose M. (); Gilpin, Bernard (); Braile, Lawrence W. (); Hersey, D. R. (); Luyendyk, Bruce P. (); Aiken, C. L. V. ()",16,1,,,,https://app.dimensions.ai/details/publication/pub.1017963389,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
47,100,pub.1043997623,10.1130/0016-7606(1991)103<1528:amfncr>2.3.co;2,,,"A model for Neogene crustal rotations, transtension, and transpression in southern California",Geological Society of America Bulletin,,,1991,1991,103,11,1528-1536,Closed,Article,"LUYENDYK, BRUCE P.",,"LUYENDYK, BRUCE P. (University of California, Santa Barbara)",138,4,,,,https://app.dimensions.ai/details/publication/pub.1043997623,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
48,100,pub.1040925506,10.1029/tc008i004p00791,,,"Paleomagnetism and question of original location of the Permian Brook Street Terrane, New Zealand",Tectonics,,,1989-08,1989,8,4,791-801,Closed,Article,"Haston, Roger B.; Luyendyk, Bruce P.; Landis, C. A.; Coombs, D. S.",,"Haston, Roger B. (); Luyendyk, Bruce P. (); Landis, C. A. (); Coombs, D. S. ()",19,2,,,,https://app.dimensions.ai/details/publication/pub.1040925506,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
49,100,pub.1026785115,10.1029/jb094ib02p01727,,,Sea Beam survey of an active strike‐slip fault: The San Clemente fault in the California Continental Borderland,Journal of Geophysical Research,,,1989,1989,94,B2,1727-1744,"All OA; Green, Published",Article,"Legg, Mark R.; Luyendyk, Bruce P.; Mammerickx, Jacqueline; Moustier, Christian; Tyce, Robert C.",,"Legg, Mark R. (); Luyendyk, Bruce P. (); Mammerickx, Jacqueline (); Moustier, Christian (); Tyce, Robert C. ()",27,0,,,https://digitalcommons.uri.edu/cgi/viewcontent.cgi?article=1221&context=gsofacpubs,https://app.dimensions.ai/details/publication/pub.1026785115,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
50,100,pub.1023063351,10.1007/978-94-009-0869-7_15,,,Crustal Rotation and Fault Slip in the Continental Transform Zone in Southern California,,Paleomagnetic Rotations and Continental Deformation,,1989,1989,,,229-246,Closed,Chapter,"Luyendyk, B. P.",,"Luyendyk, B. P. (University of California, Santa Barbara)",18,1,,,,https://app.dimensions.ai/details/publication/pub.1023063351,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
51,100,pub.1019164739,10.1029/jb094ib02p01817,,,"Gravity study of the boundary between the western Transverse Ranges and Santa Maria Basin, California",Journal of Geophysical Research,,,1989,1989,94,B2,1817-1825,Closed,Article,"De Graff, Jaye Ellen Up; Luyendyk, Bruce P.",,"De Graff, Jaye Ellen Up (); Luyendyk, Bruce P. ()",5,0,,,,https://app.dimensions.ai/details/publication/pub.1019164739,0403 Geology; 04 Earth Sciences; 0404 Geophysics,0403 Geology,04 Earth Sciences,0404 Geophysics,,
52,100,pub.1018078180,10.1130/0091-7613(1989)017<0470:pefnct>2.3.co;2,,,"Paleomagnetic evidence for Neogene clockwise tectonic rotations in the central Mojave Desert, California",Geology,,,1989,1989,17,5,470-473,Closed,Article,"Ross, Timothy M.; Luyendyk, Bruce P.; Haston, Roger B.",,"Ross, Timothy M. (University of California, Santa Barbara); Luyendyk, Bruce P. (University of California, Santa Barbara); Haston, Roger B. (University of California, Santa Barbara)",30,1,,,,https://app.dimensions.ai/details/publication/pub.1018078180,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
53,100,pub.1042601616,10.1130/0016-7606(1987)98<199:nctrot>2.0.co;2,,,"Neogene clockwise tectonic rotation of the eastern Transverse Ranges, California, suggested by paleomagnetic vectors",Geological Society of America Bulletin,,,1987,1987,98,2,199-206,Closed,Article,"CARTER, JAMES N.; LUYENDYK, BRUCE P.; TERRES, RICHARD R.",,"CARTER, JAMES N. (University of California, Santa Barbara); LUYENDYK, BRUCE P. (University of California, Santa Barbara); TERRES, RICHARD R. (University of California, Santa Barbara)",64,1,,,,https://app.dimensions.ai/details/publication/pub.1042601616,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
54,100,pub.1029364370,10.1190/1.1442167,,,"A gravity model of the basement structure in the Santa Maria Basin, California",Geophysics,,,1986-05,1986,51,5,1127-1140,Closed,Article,"Kieniewicz, Paul Mary Michael; Luyendyk, Bruce P.",,"Kieniewicz, Paul Mary Michael (University of California, Santa Barbara); Luyendyk, Bruce P. ()",4,0,,,,https://app.dimensions.ai/details/publication/pub.1029364370,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
55,100,pub.1013366639,10.1130/0016-7606(1986)97<1476:taeont>2.0.co;2,,,"Timing and extent of Neogene tectonic rotation in the western Transverse Ranges, California",Geological Society of America Bulletin,,,1986,1986,97,12,1476-1487,Closed,Article,"HORNAFIUS, J. SCOTT; LUYENDYK, BRUCE P.; TERRES, R. R.; KAMERLING, M. J.",,"HORNAFIUS, J. SCOTT (University of California, Santa Barbara); LUYENDYK, BRUCE P. (University of California, Santa Barbara); TERRES, R. R. (University of California, Santa Barbara); KAMERLING, M. J. (University of California, Santa Barbara)",123,5,,,,https://app.dimensions.ai/details/publication/pub.1013366639,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
56,100,pub.1037138930,10.1007/bf00368953,,,Investigation of faulting and abyssal hill formation on the flanks of the East Pacific Rise (21°N) using ALVIN,Marine Geophysical Research,,,1985-12,1985,7,4,515-535,Closed,Article,"Macdonald, Ken C.; Luyendyk, Bruce P.",,"Macdonald, Ken C. (University of California, Santa Barbara); Luyendyk, Bruce P. (University of California, Santa Barbara)",57,1,,,,https://app.dimensions.ai/details/publication/pub.1037138930,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
57,100,pub.1000923913,10.1007/bf00368951,,,A geological transect across the crest of the East Pacific Rise at 21°N latitude made from the deep submersible ALVIN,Marine Geophysical Research,,,1985-12,1985,7,4,467-488,Closed,Article,"Luyendyk, Bruce P.; Macdonald, Ken C.",,"Luyendyk, Bruce P. (University of California, Santa Barbara); Macdonald, Ken C. (University of California, Santa Barbara)",18,0,,,,https://app.dimensions.ai/details/publication/pub.1000923913,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
58,100,pub.1043966511,10.1029/jb090ib14p12467,,,"Neogene tectonic rotation of the San Gabriel Region, California, suggested by paleomagnetic vectors",Journal of Geophysical Research,,,1985,1985,90,B14,12467-12484,Closed,Article,"Terres, Richard R.; Luyendyk, Bruce P.",,"Terres, Richard R. (); Luyendyk, Bruce P. ()",49,2,,,,https://app.dimensions.ai/details/publication/pub.1043966511,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
59,100,pub.1024258700,10.1029/jb090ib14p12454,,,Simple shear of southern California during Neogene time suggested by paleomagnetic declinations,Journal of Geophysical Research,,,1985,1985,90,B14,12454-12466,Closed,Article,"Luyendyk, Bruce P.; Kamerling, Marc J.; Terres, Richard R.; Hornafius, J. Scott",,"Luyendyk, Bruce P. (); Kamerling, Marc J. (); Terres, Richard R. (); Hornafius, J. Scott ()",142,5,,,,https://app.dimensions.ai/details/publication/pub.1024258700,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
60,100,pub.1021831506,10.1029/jb090ib14p12485,,,"Paleomagnetism and neogene tectonics of the Northern Channel Islands, California",Journal of Geophysical Research,,,1985,1985,90,B14,12485-12502,Closed,Article,"Kamerling, Marc J.; Luyendyk, Bruce P.",,"Kamerling, Marc J. (); Luyendyk, Bruce P. ()",61,2,,,,https://app.dimensions.ai/details/publication/pub.1021831506,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
61,100,pub.1015713317,10.1190/1.1441632,,,On-bottom gravity profile across the East Pacific Rise crest at 21 north,Geophysics,,,1984-12,1984,49,12,2166-2177,Closed,Article,"Luyendyk, Bruce P.",,"Luyendyk, Bruce P. (University of California, Santa Barbara)",40,1,,,,https://app.dimensions.ai/details/publication/pub.1015713317,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
62,100,pub.1041799452,10.1007/bf00305389,,,"Side-scan sonar mapping and computer-aided interpretation in the Santa Barbara Channel, California",Marine Geophysical Research,,,1983-12,1983,5,4,365-388,Closed,Article,"Luyendyk, Bruce P.; Hajic, Earl J.; Simonett, David S.",,"Luyendyk, Bruce P. (University of California, Santa Barbara); Hajic, Earl J. (University of California, Santa Barbara); Simonett, David S. (University of California, Santa Barbara)",6,0,,,,https://app.dimensions.ai/details/publication/pub.1041799452,04 Earth Sciences; 0404 Geophysics; 0405 Oceanography,04 Earth Sciences,0404 Geophysics,0405 Oceanography,,
63,100,pub.1012232282,10.1007/bf00300396,,,"A merine seismic refraction study of the Santa Barbara Channel, California",Marine Geophysical Research,,,1983-03,1983,6,1,15-37,Closed,Article,"Crandall, Greg J.; Luyendyk, Bruce P.; Reichle, Michael S.; Prothero, William A.",,"Crandall, Greg J. (University of California, Santa Barbara); Luyendyk, Bruce P. (University of California, Santa Barbara); Reichle, Michael S. (University of California, Santa Barbara); Prothero, William A. (University of California, Santa Barbara)",12,0,,,,https://app.dimensions.ai/details/publication/pub.1012232282,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
64,100,pub.1053146731,10.1029/jb088ib04p03403,,,Investigation of a Vine‐Matthews Magnetic Lineation from a submersible: The source and character of marine magnetic anomalies,Journal of Geophysical Research,,,1983,1983,88,B4,3403-3418,Closed,Article,"Macdonald, Ken C.; Miller, Stephen P.; Luyendyk, Bruce P.; Atwater, Tanya M.; Shure, Loren",,"Macdonald, Ken C. (); Miller, Stephen P. (); Luyendyk, Bruce P. (); Atwater, Tanya M. (); Shure, Loren ()",73,1,,,,https://app.dimensions.ai/details/publication/pub.1053146731,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
65,100,pub.1051781181,10.1029/jb087ib13p10903,,,"Paleomagnetism of the Samail Ophiolite, Oman: 2. The Wadi Kadir gabbro section",Journal of Geophysical Research,,,12/10/82,1982,87,B13,10903-10917,Closed,Article,"Luyendyk, Bruce P.; Day, Ron",,"Luyendyk, Bruce P. (); Day, Ron ()",31,0,,,,https://app.dimensions.ai/details/publication/pub.1051781181,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
66,100,pub.1043621754,10.1029/jb087ib13p10883,,,"Paleomagnetism of the Samail Ophiolite, Oman: 1. the sheeted dike complex at Ibra",Journal of Geophysical Research,,,12/10/82,1982,87,B13,10883-10902,Closed,Article,"Luyendyk, Bruce P.; Laws, Bruce R.; Day, Ron; Collinson, Thomas B.",,"Luyendyk, Bruce P. (); Laws, Bruce R. (); Day, Ron (); Collinson, Thomas B. ()",28,0,,,,https://app.dimensions.ai/details/publication/pub.1043621754,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
67,100,pub.1041287676,10.1007/bf00305562,,,The sea-floor spreading history of the eastern Indian Ocean,Marine Geophysical Research,,,1982-09,1982,5,3,225-247,Closed,Article,"Powell, Thomas S.; Luyendyk, Bruce P.",,"Powell, Thomas S. (University of California, Santa Barbara); Luyendyk, Bruce P. (University of California, Santa Barbara)",11,0,,,,https://app.dimensions.ai/details/publication/pub.1041287676,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
68,200,pub.1056542115,10.1038/scientificamerican0581-100,,,The Crest of the East Pacific Rise,Scientific American,,,1981-05,1981,244,5,100-116,Closed,Article,"Macdonald, Ken C.; Luyendyk, Bruce P.",,"Macdonald, Ken C. (); Luyendyk, Bruce P. ()",25,0,,,,https://app.dimensions.ai/details/publication/pub.1056542115,,,,,,
69,100,pub.1020668724,10.1111/j.1365-246x.1980.tb02615.x,,,"Seismic velocity structure of the ophiolite at Point Sal, southern California, determined from laboratory measurements",Geophysical Journal International,,,10/1/80,1980,63,1,165-185,All OA; Gold,Article,"Nichols, Jerry; Warren, Nick; Luyendyk, Bruce P.; Spudich, Paul",,"Nichols, Jerry (University of California, Santa Barbara); Warren, Nick (University of California Los Angeles); Luyendyk, Bruce P. (University of California, Santa Barbara); Spudich, Paul (United States Geological Survey)",17,1,,,https://academic.oup.com/gji/article-pdf/63/1/165/1930329/63-1-165.pdf,https://app.dimensions.ai/details/publication/pub.1020668724,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
70,400,pub.1062520807,10.1126/science.207.4438.1421,17779602,,East Pacific Rise: Hot Springs and Geophysical Experiments,Science,,,3/28/80,1980,207,4438,1421-1433,Closed,Article,"Spiess, F. N.; Macdonald, Ken C.; Atwater, T.; Ballard, R.; Carranza, A.; Cordoba, D.; Cox, C.; Garcia, V. M. Diaz; Francheteau, J.; Guerrero, J.; Hawkins, J.; Haymon, R.; Hessler, R.; Juteau, T.; Kastner, M.; Larson, R.; Luyendyk, B.; Macdougall, J. D.; Miller, S.; Normark, W.; Orcutt, J.; Rangin, C.",,"Spiess, F. N. (University of California, San Diego); Macdonald, Ken C. (University of California, San Diego); Atwater, T. (Massachusetts Institute of Technology); Ballard, R. (Woods Hole Oceanographic Institution); Carranza, A. (); Cordoba, D. (National Autonomous University of Mexico); Cox, C. (University of California, San Diego); Garcia, V. M. Diaz (); Francheteau, J. (); Guerrero, J. (National Autonomous University of Mexico); Hawkins, J. (University of California, San Diego); Haymon, R. (University of California, San Diego); Hessler, R. (University of California, San Diego); Juteau, T. (University of Strasbourg); Kastner, M. (University of California, San Diego); Larson, R. (); Luyendyk, B. (University of California, Santa Barbara); Macdougall, J. D. (University of California, San Diego); Miller, S. (University of California, San Diego); Normark, W. (United States Geological Survey); Orcutt, J. (University of California, San Diego); Rangin, C. ()",527,25,0.81,,,https://app.dimensions.ai/details/publication/pub.1062520807,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
71,100,pub.1007329912,10.1130/0016-7606(1980)91<211:gmfncr>2.0.co;2,,,Geometric model for Neogene crustal rotations in southern California,Geological Society of America Bulletin,,,1980,1980,91,4,211-217,Closed,Article,"LUYENDYK, BRUCE P.; KAMERLING, MARC J.; TERRES, RICHARD",,"LUYENDYK, BRUCE P. (University of California, Santa Barbara); KAMERLING, MARC J. (University of California, Santa Barbara); TERRES, RICHARD (University of California, Santa Barbara)",220,7,,,,https://app.dimensions.ai/details/publication/pub.1007329912,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
72,100,pub.1029665896,10.1130/0016-7606(1979)90<331:trotsm>2.0.co;2,,,"Tectonic rotations of the Santa Monica Mountains region, western Transverse Ranges, California, suggested by paleomagnetic vectors",Geological Society of America Bulletin,,,1979,1979,90,4,331-337,Closed,Article,"KAMERLING, MARC J.; LUYENDYK, BRUCE P.",,"KAMERLING, MARC J. (University of California, Santa Barbara); LUYENDYK, BRUCE P. (University of California, Santa Barbara)",72,3,,,,https://app.dimensions.ai/details/publication/pub.1029665896,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
73,100,pub.1026034939,10.1029/jb083ib12p05892,,,Mantle flow pressure and the angle of subduction: Non‐Newtonian corner flows,Journal of Geophysical Research,,,12/10/78,1978,83,B12,5892-5898,Closed,Article,"Tovish, Aaron; Schubert, Gerald; Luyendyk, Bruce P.",,"Tovish, Aaron (); Schubert, Gerald (); Luyendyk, Bruce P. ()",118,5,,,,https://app.dimensions.ai/details/publication/pub.1026034939,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
74,200,pub.1048466098,10.1130/0091-7613(1977)5<578:pnotom>2.0.co;2,,,Petrologic nature of the oceanic Moho: Comment and replyCOMMENT,Geology,,,1977,1977,5,9,578-579,Closed,Article,"Luyendyk, Bruce P.; Nichols, Jerry",,"Luyendyk, Bruce P. (University of California, Santa Barbara); Nichols, Jerry (University of California, Santa Barbara)",3,0,,,,https://app.dimensions.ai/details/publication/pub.1048466098,04 Earth Sciences,04 Earth Sciences,,,,
75,100,pub.1042118221,10.1130/0016-7606(1977)88<1347:thoari>2.0.co;2,,,Tectonic history of aseismic ridges in the eastern Indian Ocean,Geological Society of America Bulletin,,,1977,1977,88,9,1347-1356,Closed,Article,"LUYENDYK, BRUCE P.; RENNICK, WALTER",,"LUYENDYK, BRUCE P. (University of California, Santa Barbara); RENNICK, WALTER (University of California, Santa Barbara)",73,2,,,,https://app.dimensions.ai/details/publication/pub.1042118221,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
76,100,pub.1038831558,10.1130/0016-7606(1977)88<621:dsotso>2.0.co;2,,,Deep-tow studies of the structure of the Mid-Atlantic Ridge crest near lat 37°N,Geological Society of America Bulletin,,,1977,1977,88,5,621-636,Closed,Article,"MACDONALD, KEN C.; LUYENDYK, BRUCE P.",,"MACDONALD, KEN C. (Scripps Institution of Oceanography); LUYENDYK, BRUCE P. (University of California, Santa Barbara)",204,5,,,,https://app.dimensions.ai/details/publication/pub.1038831558,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
77,100,pub.1001395902,10.1130/0016-7606(1977)88<648:pasoti>2.0.co;2,,,Physiography and structure of the inner floor of the FAMOUS rift valley: Observations with a deep-towed instrument package,Geological Society of America Bulletin,,,1977,1977,88,5,648-663,Closed,Article,"LUYENDYK, BRUCE P.; MACDONALD, KEN C.",,"LUYENDYK, BRUCE P. (University of California, Santa Barbara); MACDONALD, KEN C. (Woods Hole Oceanographic Institution)",56,0,,,,https://app.dimensions.ai/details/publication/pub.1001395902,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
78,100,pub.1000567942,10.1029/sp009p0165,,,Deep Sea Drilling on the Ninetyeast Ridge: Synthesis and a Tectonic Model,,Indian Ocean Geology and Biostratigraphy: Studies Following Deep‐Sea Drilling Legs,,1977,1977,,,165-187,Closed,Chapter,"Luyendyk, Bruce P.",,"Luyendyk, Bruce P. (University of California, Santa Barbara)",16,0,,,,https://app.dimensions.ai/details/publication/pub.1000567942,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
79,200,pub.1062731677,10.1130/0091-7613(1976)4<369:sctac>2.0.co;2,,,Spreading center terms and concepts,Geology,,,1976,1976,4,6,369-370,Closed,Article,"Luyendyk, Bruce P.; Macdonald, Ken C.",,"Luyendyk, Bruce P. (University of California, Santa Barbara); Macdonald, Ken C. (University of California, San Diego)",14,0,,,,https://app.dimensions.ai/details/publication/pub.1062731677,04 Earth Sciences,04 Earth Sciences,,,,
80,100,pub.1027381804,10.1130/0016-7606(1976)87<371:mlitsp>2.0.co;2,,,Magnetic lineations in the southern part of the Central Indian Basin,Geological Society of America Bulletin,,,1976,1976,87,3,371-378,Closed,Article,"SCLATER, JOHN G.; LUYENDYK, BRUCE P.; MEINKE, LINDA",,"SCLATER, JOHN G. (Massachusetts Institute of Technology); LUYENDYK, BRUCE P. (University of California, Santa Barbara); MEINKE, LINDA (Massachusetts Institute of Technology)",38,0,,,,https://app.dimensions.ai/details/publication/pub.1027381804,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
81,100,pub.1005241837,10.1038/253015a0,,,Unconformities in the sediments of the Indian Ocean,Nature,,,1975-01,1975,253,5486,15-19,Closed,Article,"Davies, Thomas A.; Weser, Oscar E.; Luyendyk, Bruce P.; Kidd, Robert B.",,"Davies, Thomas A. (Scripps Institution of Oceanography); Weser, Oscar E. (Scripps Institution of Oceanography); Luyendyk, Bruce P. (University of California, Santa Barbara); Kidd, Robert B. (Scripps Institution of Oceanography)",45,2,,,,https://app.dimensions.ai/details/publication/pub.1005241837,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
