,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Sadie Jane Ryan. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,500,pub.1111063241,10.1126/scitranslmed.aan4479,30602535,PMC6441545,A saliva-based rapid test to quantify the infectious subclinical malaria parasite reservoir,Science Translational Medicine,,,1/2/19,2019,11,473,eaan4479,All OA; Gold,Article,"Tao, Dingyin; McGill, Brent; Hamerly, Timothy; Kobayashi, Tamaki; Khare, Prachi; Dziedzic, Amanda; Leski, Tomasz; Holtz, Andrew; Shull, Bruce; Jedlicka, Anne E.; Walzer, Andrew; Slowey, Paul D.; Slowey, Christopher C.; Nsango, Sandrine E.; Stenger, David A.; Chaponda, Mike; Mulenga, Modest; Jacobsen, Kathryn H.; Sullivan, David J.; Ryan, Sadie J.; Ansumana, Rashid; Moss, William J.; Morlais, Isabelle; Dinglasan, Rhoel R.",,"Tao, Dingyin (Johns Hopkins University); McGill, Brent (Johns Hopkins University); Hamerly, Timothy (Johns Hopkins University; University of Florida); Kobayashi, Tamaki (Johns Hopkins University); Khare, Prachi (University of Florida); Dziedzic, Amanda (Johns Hopkins University); Leski, Tomasz (United States Naval Research Laboratory); Holtz, Andrew (George Mason University); Shull, Bruce (Thermo Fisher Scientific (United States)); Jedlicka, Anne E. (Johns Hopkins University); Walzer, Andrew (Thermo Fisher Scientific (United States)); Slowey, Paul D. (Oasis Diagnostics (United States)); Slowey, Christopher C. (Oasis Diagnostics (United States)); Nsango, Sandrine E. (University of Douala); Stenger, David A. (United States Naval Research Laboratory); Chaponda, Mike (); Mulenga, Modest (); Jacobsen, Kathryn H. (George Mason University); Sullivan, David J. (Johns Hopkins University); Ryan, Sadie J. (University of Florida); Ansumana, Rashid (); Moss, William J. (Johns Hopkins University); Morlais, Isabelle (); Dinglasan, Rhoel R. (Johns Hopkins University; University of Florida)",8,8,,,https://stm.sciencemag.org/content/scitransmed/11/473/eaan4479.full.pdf,https://app.dimensions.ai/details/publication/pub.1111063241,1108 Medical Microbiology; 11 Medical and Health Sciences,1108 Medical Microbiology,11 Medical and Health Sciences,,,
27,500,pub.1105639864,10.7589/2017-09-234,30016211,,"Potential Bacillus anthracis Risk Zones for Male Plains Bison (Bison bison bison) in Southwestern Montana, USA",Journal of Wildlife Diseases,,,1/1/19,2019,55,1,136-141,Closed,Article,"Nekorchuk, Dawn M.; Morris, Lillian R.; Asher, Valpa; Hunter, David L.; Ryan, Sadie J.; Blackburn, Jason K.",,"Nekorchuk, Dawn M. (University of Florida); Morris, Lillian R. (University of Florida); Asher, Valpa (); Hunter, David L. (); Ryan, Sadie J. (University of Florida); Blackburn, Jason K. (University of Florida)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1105639864,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
28,500,pub.1110650990,10.1371/journal.pone.0208400,30550542,PMC6294365,Using a coupled dynamic factor – random forest analysis (DFRFA) to reveal drivers of spatiotemporal heterogeneity in the semi-arid regions of southern Africa,PLoS ONE,,"Africa, Southern; Desert Climate; Ecosystem; Environmental Monitoring; Factor Analysis, Statistical; Forests; Humans; Models, Statistical; Rain; Seasons; Soil; Spatial Analysis; Temperature",12/14/18,2018,13,12,e0208400,All OA; Gold,Article,"Southworth, Jane; Bunting, Erin; Zhu, Likai; Ryan, Sadie J.; Herrero, Hannah V.; Waylen, Peter; Muñoz-Carpena, Rafael; Campo-Bescós, Miguel A.; Kaplan, David",,"Southworth, Jane (University of Florida); Bunting, Erin (Michigan State University); Zhu, Likai (University of Wisconsin–Madison); Ryan, Sadie J. (University of Florida; University of KwaZulu-Natal); Herrero, Hannah V. (University of Florida); Waylen, Peter (University of Florida); Muñoz-Carpena, Rafael (University of Florida); Campo-Bescós, Miguel A. (Universidad Publica De Navarra); Kaplan, David (University of Florida)",0,0,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0208400&type=printable,https://app.dimensions.ai/details/publication/pub.1110650990,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
29,500,pub.1110567123,10.1371/journal.pone.0208621,30540815,PMC6291251,"Decoupling environmental effects and host population dynamics for anthrax, a classic reservoir-driven disease",PLoS ONE,,"Animals; Anthrax; Bacillus anthracis; Disease Outbreaks; Disease Reservoirs; Humans; Likelihood Functions; Models, Theoretical; Montana; Population Dynamics; Seasons",12/12/18,2018,13,12,e0208621,All OA; Gold,Article,"Gomez, Juan Pablo; Nekorchuk, Dawn M.; Mao, Liang; Ryan, Sadie J.; Ponciano, José Miguel; Blackburn, Jason K.",,"Gomez, Juan Pablo (University of Florida); Nekorchuk, Dawn M. (University of Florida; South Dakota State University); Mao, Liang (University of Florida); Ryan, Sadie J. (University of Florida); Ponciano, José Miguel (University of Florida); Blackburn, Jason K. (University of Florida)",2,2,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0208621&type=printable,https://app.dimensions.ai/details/publication/pub.1110567123,1108 Medical Microbiology; 11 Medical and Health Sciences,1108 Medical Microbiology,11 Medical and Health Sciences,,,
30,500,pub.1101598155,10.1038/s41598-018-22989-0,29563545,PMC5862882,Consensus and conflict among ecological forecasts of Zika virus outbreaks in the United States,Scientific Reports,,"Consensus; Disease Outbreaks; Ecosystem; Forecasting; Humans; Models, Biological; United States; Zika Virus; Zika Virus Infection",2018-12,2018,8,1,4921,All OA; Gold,Article,"Carlson, Colin J.; Dougherty, Eric; Boots, Mike; Getz, Wayne; Ryan, Sadie J.","Carlson, Colin J.","Carlson, Colin J. (National Socio-Environmental Synthesis Center; Georgetown University); Dougherty, Eric (University of California, Berkeley); Boots, Mike (University of California, Berkeley); Getz, Wayne (University of California, Berkeley; University of KwaZulu-Natal); Ryan, Sadie J. (University of KwaZulu-Natal; University of Florida)",12,11,,,https://www.nature.com/articles/s41598-018-22989-0.pdf,https://app.dimensions.ai/details/publication/pub.1101598155,0601 Biochemistry and Cell Biology; 0299 Other Physical Sciences; 06 Biological Sciences; 02 Physical Sciences,0601 Biochemistry and Cell Biology,0299 Other Physical Sciences,06 Biological Sciences,02 Physical Sciences,
31,300,pub.1100690194,10.1186/s40249-018-0387-6,29378649,PMC5789740,"Correction to: Addressing vulnerability, building resilience: community-based adaptation to vector-borne diseases in the context of global change",Infectious Diseases of Poverty,,,2018-12,2018,7,1,5,All OA; Gold,Article,"Bardosh, Kevin Louis; Ryan, Sadie J.; Ebi, Kris; Welburn, Susan; Singer, Burton","Bardosh, Kevin Louis","Bardosh, Kevin Louis (University of Florida); Ryan, Sadie J. (University of Florida); Ebi, Kris (University of Washington); Welburn, Susan (University of Edinburgh); Singer, Burton (University of Florida)",0,0,,,https://idpjournal.biomedcentral.com/track/pdf/10.1186/s40249-018-0387-6,https://app.dimensions.ai/details/publication/pub.1100690194,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
32,100,pub.1110257010,10.1111/aje.12568,,,"Assessing the impacts of oil exploration and restoration on mammals in Murchison Falls Conservation Area, Uganda",African Journal of Ecology,,,2018-12,2018,56,4,804-817,All OA; Gold,Article,"Fuda, Rebecca K.; Ryan, Sadie J.; Cohen, Jonathan B.; Hartter, Joel; Frair, Jacqueline L.",,"Fuda, Rebecca K. (SUNY College of Environmental Science and Forestry); Ryan, Sadie J. (University of Florida; University of KwaZulu-Natal); Cohen, Jonathan B. (SUNY College of Environmental Science and Forestry); Hartter, Joel (); Frair, Jacqueline L. (SUNY College of Environmental Science and Forestry)",1,1,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/aje.12568,https://app.dimensions.ai/details/publication/pub.1110257010,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
33,100,pub.1109822029,10.1101/465898,,,Predicting the fundamental thermal niche of crop pests and diseases in a changing world: a case study on citrus greening,bioRxiv,,,11/9/18,2018,,,465898,"All OA; Green, Published",Preprint,"Taylor, Rachel A.; Ryan, Sadie J; Lippi, Catherine A; Hall, David G; Narouei-Khandan, Hossein A.; Rohr, Jason R.; Johnson, Leah R.",,"Taylor, Rachel A. (); Ryan, Sadie J (University of Florida); Lippi, Catherine A (University of Florida); Hall, David G (Agricultural Research Service); Narouei-Khandan, Hossein A. (University of Florida); Rohr, Jason R. (University of South Florida); Johnson, Leah R. (Virginia Tech)",1,1,,,https://www.biorxiv.org/content/biorxiv/early/2018/11/09/465898.full.pdf,https://app.dimensions.ai/details/publication/pub.1109822029,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
34,500,pub.1107845499,10.1002/ece3.4580,30519430,PMC6262724,Competition alters seasonal resource selection and promotes use of invasive shrubs by an imperiled native cottontail,Ecology and Evolution,,,2018-11,2018,8,22,11122-11133,All OA; Gold,Article,"Cheeseman, Amanda E.; Ryan, Sadie J.; Whipps, Christopher M.; Cohen, Jonathan B.",,"Cheeseman, Amanda E. (SUNY College of Environmental Science and Forestry); Ryan, Sadie J. (University of Florida); Whipps, Christopher M. (SUNY College of Environmental Science and Forestry); Cohen, Jonathan B. (SUNY College of Environmental Science and Forestry)",2,2,,,https://doi.org/10.1002/ece3.4580,https://app.dimensions.ai/details/publication/pub.1107845499,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
35,100,pub.1107557745,10.1101/441360,,,Seasonal and geographic variation in insecticide resistance in Aedes aegypti in southern Ecuador,bioRxiv,,,10/11/18,2018,,,441360,"All OA; Green, Published",Preprint,"Ryan, Sadie J.; Mundis, Stephanie J.; Aguirre, Alex; Lippi, Catherine A.; Beltrán, Efraín; Heras, Froilán; Sanchez, Valeria; Borbor-Cordova, Mercy J.; Sippy, Rachel; Stewart-Ibarra, Anna M.; Neira, Marco",,"Ryan, Sadie J. (University of Florida); Mundis, Stephanie J. (University of Florida); Aguirre, Alex (Pontifical Catholic University of Ecuador); Lippi, Catherine A. (University of Florida); Beltrán, Efraín (Universidad Tecnica de Machala); Heras, Froilán (Universidad Tecnica de Machala); Sanchez, Valeria (Universidad Tecnica de Machala); Borbor-Cordova, Mercy J. (); Sippy, Rachel (University of Florida; SUNY Upstate Medical University); Stewart-Ibarra, Anna M. (SUNY Upstate Medical University); Neira, Marco (Pontifical Catholic University of Ecuador)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2019/03/21/441360.full.pdf,https://app.dimensions.ai/details/publication/pub.1107557745,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
36,500,pub.1100837900,10.1080/07448481.2018.1432623,29405896,,HIV knowledge mediates the relationship between HIV testing history and stigma in college students,Journal of American College Health,,"Adolescent; Adult; Age Factors; Female; HIV Infections; Health Knowledge, Attitudes, Practice; Humans; Male; Mass Screening; Patient Acceptance of Health Care; Prevalence; Sex Factors; Social Stigma; Socioeconomic Factors; Southeastern United States; Students; Surveys and Questionnaires; Universities; Young Adult",10/3/18,2018,66,7,00-00,Closed,Article,"James, Tyler G.; Ryan, Sadie J.",,"James, Tyler G. (); Ryan, Sadie J. (University of Florida)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1100837900,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
37,100,pub.1107318985,10.1101/429142,,,Minimum Information for Reusable Arthropod Abundance Data (MIReAAD),bioRxiv,,,9/29/18,2018,,,429142,"All OA; Green, Published",Preprint,"Rund, Samuel S.C.; Braak, Kyle; Cator, Lauren; Copas, Kyle; Emrich, Scott J.; Giraldo-Calderon, Gloria I.; Johansson, Michael A.; Heydari, Naveed; Hobern, Donald; Kelly, Sarah A.; Lawson, Daniel; Lord, Cynthia; MacCallum, Robert M.; Roche, Dominique G.; Ryan, Sadie J.; Schigel, Dmitry; Vandegrift, Kurt; Watts, Matthew; Zaspel, Jennifer M; Pawar, Samraat",,"Rund, Samuel S.C. (University of Notre Dame); Braak, Kyle (); Cator, Lauren (Imperial College London); Copas, Kyle (); Emrich, Scott J. (University of Tennessee System); Giraldo-Calderon, Gloria I. (University of Notre Dame); Johansson, Michael A. (Centers for Disease Control and Prevention); Heydari, Naveed (); Hobern, Donald (); Kelly, Sarah A. (); Lawson, Daniel (); Lord, Cynthia (); MacCallum, Robert M. (); Roche, Dominique G. (University of Neuchâtel); Ryan, Sadie J. (University of Florida); Schigel, Dmitry (); Vandegrift, Kurt (Pennsylvania State University); Watts, Matthew (Imperial College London); Zaspel, Jennifer M (Milwaukee Public Museum); Pawar, Samraat (Imperial College London)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2018/10/17/429142.full.pdf,https://app.dimensions.ai/details/publication/pub.1107318985,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
38,500,pub.1106086031,10.1007/s10393-018-1350-5,30094775,PMC6245063,Environmental Drivers of Ranavirus in Free-Living Amphibians in Constructed Ponds,EcoHealth,,Amphibians; Animals; DNA Virus Infections; Disease Susceptibility; Larva; New York; Ponds; Rana clamitans; Ranavirus; Wetlands,2018-09,2018,15,3,608-618,All OA; Gold,Article,"Youker-Smith, Tess E.; Boersch-Supan, Philipp H.; Whipps, Christopher M.; Ryan, Sadie J.","Ryan, Sadie J.","Youker-Smith, Tess E. (SUNY College of Environmental Science and Forestry); Boersch-Supan, Philipp H. (University of Florida); Whipps, Christopher M. (SUNY College of Environmental Science and Forestry); Ryan, Sadie J. (University of Florida)",0,0,,,https://link.springer.com/content/pdf/10.1007%2Fs10393-018-1350-5.pdf,https://app.dimensions.ai/details/publication/pub.1106086031,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
39,100,pub.1106437592,10.1101/404293,,,Geographic shifts in Aedes aegypti habitat suitability in Ecuador using larval surveillance data and ecological niche modeling: implications of climate change for public health vector control,bioRxiv,,,8/30/18,2018,,,404293,"All OA; Green, Published",Preprint,"Lippi, Catherine A; Stewart-Ibarra, Anna M; Loor, M.E. Franklin Bajana; Zambrano, Jose E Duenas; Lopez, Nelson A Epinoza; Blackburn, Jason K; Ryan, Sadie J.",,"Lippi, Catherine A (University of Florida); Stewart-Ibarra, Anna M (SUNY Upstate Medical University); Loor, M.E. Franklin Bajana (); Zambrano, Jose E Duenas (); Lopez, Nelson A Epinoza (); Blackburn, Jason K (University of Florida); Ryan, Sadie J. (University of Florida)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2018/08/30/404293.full.pdf,https://app.dimensions.ai/details/publication/pub.1106437592,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
40,500,pub.1106146167,10.7554/elife.37762,30152328,PMC6112853,Temperature explains broad patterns of Ross River virus transmission,eLife,,Alphavirus Infections; Australia; Cities; Disease Outbreaks; Humans; Mosquito Vectors; Ross River virus; Seasons; Temperature; Uncertainty,8/28/18,2018,7,,e37762,All OA; Gold,Article,"Shocket, Marta Strecker; Ryan, Sadie J; Mordecai, Erin A",,"Shocket, Marta Strecker (Stanford University); Ryan, Sadie J (University of Florida; University of KwaZulu-Natal); Mordecai, Erin A (Stanford University)",15,14,,,https://doi.org/10.7554/elife.37762,https://app.dimensions.ai/details/publication/pub.1106146167,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
41,500,pub.1106151694,10.1098/rspb.2018.0795,30111605,PMC6111177,Temperature drives Zika virus transmission: evidence from empirical and mathematical models,Proceedings of The Royal Society B Biological Sciences,,"Aedes; Animals; Climate Change; Models, Biological; Mosquito Vectors; Seasons; Temperature; Urbanization; Zika Virus; Zika Virus Infection",8/15/18,2018,285,1884,20180795,All OA; Gold,Article,"Tesla, Blanka; Demakovsky, Leah R.; Mordecai, Erin A.; Ryan, Sadie J.; Bonds, Matthew H.; Ngonghala, Calistus N.; Brindley, Melinda A.; Murdock, Courtney C.",,"Tesla, Blanka (University of Georgia); Demakovsky, Leah R. (University of Georgia); Mordecai, Erin A. (Stanford University); Ryan, Sadie J. (University of Florida; University of KwaZulu-Natal); Bonds, Matthew H. (Harvard University); Ngonghala, Calistus N. (University of Florida); Brindley, Melinda A. (University of Georgia); Murdock, Courtney C. (University of Georgia)",26,25,,,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2018.0795,https://app.dimensions.ai/details/publication/pub.1106151694,06 Biological Sciences; 0608 Zoology,06 Biological Sciences,0608 Zoology,,,
42,500,pub.1105639909,10.1371/journal.pmed.1002613,30016319,PMC6049902,Nonlinear and delayed impacts of climate on dengue risk in Barbados: A modelling study,PLoS Medicine,,Aedes; Animals; Barbados; Bayes Theorem; Climate; Dengue; Dengue Virus; Disease Outbreaks; Disease Vectors; Droughts; Floods; Hot Temperature; Humans; Nonlinear Dynamics; Rain; Risk Assessment; Risk Factors; Time Factors; Weather,7/17/18,2018,15,7,e1002613,All OA; Gold,Article,"Lowe, Rachel; Gasparrini, Antonio; Van Meerbeeck, Cédric J.; Lippi, Catherine A.; Mahon, Roché; Trotman, Adrian R.; Rollock, Leslie; Hinds, Avery Q. J.; Ryan, Sadie J.; Stewart-Ibarra, Anna M.",,"Lowe, Rachel (London School of Hygiene & Tropical Medicine; Barcelona Institute for Global Health); Gasparrini, Antonio (London School of Hygiene & Tropical Medicine); Van Meerbeeck, Cédric J. (Caribbean Institute for Meteorology and Hydrology); Lippi, Catherine A. (University of Florida); Mahon, Roché (Caribbean Institute for Meteorology and Hydrology); Trotman, Adrian R. (Caribbean Institute for Meteorology and Hydrology); Rollock, Leslie (Ministry of Health); Hinds, Avery Q. J. (Caribbean Public Health Agency); Ryan, Sadie J. (University of Florida; University of KwaZulu-Natal); Stewart-Ibarra, Anna M. (SUNY Upstate Medical University)",15,14,,,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.1002613&type=printable,https://app.dimensions.ai/details/publication/pub.1105639909,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
43,100,pub.1105115324,10.3390/rs10071013,,,Understanding Long-Term Savanna Vegetation Persistence across Three Drainage Basins in Southern Africa,Remote Sensing,,,6/25/18,2018,10,7,1013,All OA; Gold,Article,"Bunting, Erin L.; Southworth, Jane; Herrero, Hannah; Ryan, Sadie J.; Waylen, Peter",,"Bunting, Erin L. (Michigan State University); Southworth, Jane (University of Florida); Herrero, Hannah (University of Florida); Ryan, Sadie J. (University of Florida); Waylen, Peter (University of Florida)",1,1,,,https://www.mdpi.com/2072-4292/10/7/1013/pdf,https://app.dimensions.ai/details/publication/pub.1105115324,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
44,500,pub.1103281758,10.4269/ajtmh.17-0978,29637883,PMC6086174,"Zika Virus Outbreak, Barbados, 2015-2016.",American Journal of Tropical Medicine and Hygiene,,Adolescent; Adult; Barbados; Child; Disease Outbreaks; Female; Global Health; Humans; Male; Middle Aged; Public Health; Young Adult; Zika Virus; Zika Virus Infection,6/6/18,2018,98,6,1857-1859,All OA; Gold,Article,"Ryan, Sadie J; Lippi, Catherine A; Carlson, Colin J; Stewart-Ibarra, Anna M; Borbor-Cordova, Mercy J; Romero, Moory; Cox, Shelly-Ann; Mahon, Roché; Trotman, Adrian; Rollock, Leslie; Gittens-St Hilaire, Marquita; King, Desmond; Daniel, Steven",,"Ryan, Sadie J (University of KwaZulu-Natal; University of Florida); Lippi, Catherine A (University of Florida); Carlson, Colin J (National Socio-Environmental Synthesis Center; Georgetown University); Stewart-Ibarra, Anna M (SUNY Upstate Medical University); Borbor-Cordova, Mercy J (Escuela Superior Politecnica del Litoral); Romero, Moory (SUNY Upstate Medical University); Cox, Shelly-Ann (Caribbean Institute for Meteorology and Hydrology); Mahon, Roché (Caribbean Institute for Meteorology and Hydrology); Trotman, Adrian (Caribbean Institute for Meteorology and Hydrology); Rollock, Leslie (Ministry of Health); Gittens-St Hilaire, Marquita (University of the West Indies; Ministry of Health); King, Desmond (Caribbean Institute for Meteorology and Hydrology); Daniel, Steven (Ministry of Health)",3,3,,,http://www.ajtmh.org/deliver/fulltext/14761645/98/6/tpmd170978.pdf?itemId=%2Fcontent%2Fjournals%2F10.4269%2Fajtmh.17-0978&mimeType=pdf&containerItemId=content/journals/14761645,https://app.dimensions.ai/details/publication/pub.1103281758,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
45,100,pub.1103990998,10.1101/321299,,,Environmental drivers of ranavirus in free living amphibians in constructed ponds.,bioRxiv,,,5/14/18,2018,,,321299,"All OA; Green, Published",Preprint,"Youker-Smith, Tess E; Boersch-Supan, Philipp H.; Whipps, Christopher M.; Ryan, Sadie J.",,"Youker-Smith, Tess E (SUNY College of Environmental Science and Forestry); Boersch-Supan, Philipp H. (University of Florida); Whipps, Christopher M. (SUNY College of Environmental Science and Forestry); Ryan, Sadie J. (University of Florida)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2018/05/14/321299.full.pdf,https://app.dimensions.ai/details/publication/pub.1103990998,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
46,500,pub.1101410566,10.4269/ajtmh.17-0762,29512482,PMC5953373,"The Burden of Dengue Fever and Chikungunya in Southern Coastal Ecuador: Epidemiology, Clinical Presentation, and Phylogenetics from the First Two Years of a Prospective Study.",American Journal of Tropical Medicine and Hygiene,,"Adolescent; Adult; Aged; Chikungunya Fever; Chikungunya virus; Child; Child, Preschool; Dengue; Dengue Virus; Ecuador; Female; Humans; Infant; Male; Middle Aged; Phylogeny; Population Surveillance; Prevalence; Young Adult",5/9/18,2018,98,5,1444-1459,All OA; Gold,Article,"Stewart-Ibarra, Anna M; Ryan, Sadie J; Kenneson, Aileen; King, Christine A; Abbott, Mark; Barbachano-Guerrero, Arturo; Beltrán-Ayala, Efraín; Borbor-Cordova, Mercy J; Cárdenas, Washington B; Cueva, Cinthya; Finkelstein, Julia L; Lupone, Christina D; Jarman, Richard G; Maljkovic Berry, Irina; Mehta, Saurabh; Polhemus, Mark; Silva, Mercy; Endy, Timothy P",,"Stewart-Ibarra, Anna M (SUNY Upstate Medical University); Ryan, Sadie J (University of KwaZulu-Natal; SUNY Upstate Medical University; University of Florida); Kenneson, Aileen (SUNY Upstate Medical University); King, Christine A (SUNY Upstate Medical University); Abbott, Mark (SUNY Upstate Medical University); Barbachano-Guerrero, Arturo (SUNY Upstate Medical University); Beltrán-Ayala, Efraín (Universidad Tecnica de Machala); Borbor-Cordova, Mercy J (Escuela Superior Politecnica del Litoral); Cárdenas, Washington B (Escuela Superior Politecnica del Litoral); Cueva, Cinthya (SUNY Upstate Medical University); Finkelstein, Julia L (Cornell University); Lupone, Christina D (SUNY Upstate Medical University); Jarman, Richard G (United States Army Medical Research and Materiel Command); Maljkovic Berry, Irina (United States Army Medical Research and Materiel Command); Mehta, Saurabh (Cornell University); Polhemus, Mark (SUNY Upstate Medical University); Silva, Mercy (); Endy, Timothy P (SUNY Upstate Medical University)",11,11,,,http://www.ajtmh.org/deliver/fulltext/14761645/98/5/tpmd170762.pdf?itemId=%2Fcontent%2Fjournals%2F10.4269%2Fajtmh.17-0762&mimeType=pdf&containerItemId=content/journals/14761645,https://app.dimensions.ai/details/publication/pub.1101410566,1117 Public Health and Health Services; 1108 Medical Microbiology; 11 Medical and Health Sciences; 1103 Clinical Sciences,1117 Public Health and Health Services,1108 Medical Microbiology,11 Medical and Health Sciences,1103 Clinical Sciences,
47,500,pub.1103628388,10.3390/ijerph15040827,29690593,PMC5923869,"The Social and Spatial Ecology of Dengue Presence and Burden during an Outbreak in Guayaquil, Ecuador, 2012",International Journal of Environmental Research and Public Health,,Cities; Dengue; Disease Outbreaks; Ecuador; Housing; Humans; Public Health; Residence Characteristics; Risk Factors; Social Environment; Socioeconomic Factors; Spatial Analysis,4/23/18,2018,15,4,827,All OA; Gold,Article,"Lippi, Catherine A.; Stewart-Ibarra, Anna M.; Muñoz, Ángel G.; Borbor-Cordova, Mercy J.; Mejía, Raúl; Rivero, Keytia; Castillo, Katty; Cárdenas, Washington B.; Ryan, Sadie J.",,"Lippi, Catherine A. (University of Florida); Stewart-Ibarra, Anna M. (SUNY Upstate Medical University); Muñoz, Ángel G. (Princeton University; Columbia University); Borbor-Cordova, Mercy J. (Escuela Superior Politecnica del Litoral); Mejía, Raúl (); Rivero, Keytia (); Castillo, Katty (); Cárdenas, Washington B. (Escuela Superior Politecnica del Litoral); Ryan, Sadie J. (University of Florida)",6,6,,,https://www.mdpi.com/1660-4601/15/4/827/pdf,https://app.dimensions.ai/details/publication/pub.1103628388,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
48,100,pub.1093157492,10.1080/01584197.2017.1406311,,,Surface temperatures of albatross eggs and nests,Emu - Austral Ornithology,,,4/3/18,2018,118,2,6-Jan,Closed,Article,"Boersch-Supan, Philipp H.; Johnson, Leah R.; Phillips, Richard A.; Ryan, Sadie J.",,"Boersch-Supan, Philipp H. (); Johnson, Leah R. (Virginia Tech); Phillips, Richard A. (British Antarctic Survey); Ryan, Sadie J. (University of Florida)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1093157492,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
49,100,pub.1091865882,10.1017/s0030605317000308,,,"Habitat use, activity patterns and human interactions with jaguars Panthera onca in southern Belize",Oryx,,,2018-04,2018,52,2,276-281,All OA; Gold,Article,"Dobbins, Michael T.; Steinberg, Michael K.; Broadbent, Eben N.; Ryan, Sadie J.",,"Dobbins, Michael T. (University of Florida); Steinberg, Michael K. (University of Alabama, Tuscaloosa); Broadbent, Eben N. (University of Florida); Ryan, Sadie J. (University of Florida)",1,1,,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/9E77C9A3EDBF89CFD03953852BB26A67/S0030605317000308a.pdf/div-class-title-habitat-use-activity-patterns-and-human-interactions-with-jaguars-span-class-italic-panthera-onca-span-in-southern-belize-div.pdf,https://app.dimensions.ai/details/publication/pub.1091865882,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
50,100,pub.1101696617,10.1101/286724,,,Temperature explains broad patterns of Ross River virus transmission,bioRxiv,,,3/22/18,2018,,,286724,"All OA; Green, Published",Preprint,"Shocket, Marta S; Ryan, Sadie J.; Mordecai, Erin A",,"Shocket, Marta S (Stanford University); Ryan, Sadie J. (University of Florida); Mordecai, Erin A (Stanford University)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2018/04/24/286724.full.pdf,https://app.dimensions.ai/details/publication/pub.1101696617,1108 Medical Microbiology; 11 Medical and Health Sciences,1108 Medical Microbiology,11 Medical and Health Sciences,,,
