,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Robert R Warner. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,100,pub.1041624793,10.1007/s10682-008-9262-4,,,How large is the hand in the puppet? Ecological and evolutionary factors affecting body mass of 15 trematode parasitic castrators in their snail host,Evolutionary Ecology,,,2009-09,2009,23,5,651,Closed,Article,"Hechinger, Ryan F.; Lafferty, Kevin D.; Mancini, Frank T.; Warner, Robert R.; Kuris, Armand M.","Hechinger, Ryan F.","Hechinger, Ryan F. (University of California, Santa Barbara); Lafferty, Kevin D. (University of California, Santa Barbara); Mancini, Frank T. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara); Kuris, Armand M. (University of California, Santa Barbara)",45,4,,3.94,,https://app.dimensions.ai/details/publication/pub.1041624793,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
34,200,pub.1071168113,10.3354/meps08116,,,Natal signatures of juvenile Coris julis in the Azores: investigating connectivity scenarios in an oceanic archipelago,Marine Ecology Progress Series,,,7/28/09,2009,387,,51-59,All OA; Gold,Article,"Fontes, J; Caselle, JE; Sheehy, MS; Santos, RS; Warner, RR",,"Fontes, J (); Caselle, JE (); Sheehy, MS (); Santos, RS (); Warner, RR ()",12,0,,1.32,https://www.int-res.com/articles/meps2009/387/m387p051.pdf,https://app.dimensions.ai/details/publication/pub.1071168113,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
35,200,pub.1071168037,10.3354/meps08054,,,Otolith barium profiles verify the timing of settlement in a coral reef fish,Marine Ecology Progress Series,,,6/18/09,2009,385,,237-244,All OA; Gold,Article,"Hamilton, SL; Warner, RR",,"Hamilton, SL (); Warner, RR ()",10,2,,1.1,https://www.int-res.com/articles/meps2009/385/m385p237.pdf,https://app.dimensions.ai/details/publication/pub.1071168037,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
36,200,pub.1071168010,10.3354/meps08029,,,Biological effects within no-take marine reserves: a global synthesis,Marine Ecology Progress Series,,,5/29/09,2009,384,,33-46,All OA; Gold,Article,"Lester, SE; Halpern, BS; Grorud-Colvert, K; Lubchenco, J; Ruttenberg, BI; Gaines, SD; Airamé, S; Warner, RR",,"Lester, SE (); Halpern, BS (); Grorud-Colvert, K (); Lubchenco, J (); Ruttenberg, BI (); Gaines, SD (); Airamé, S (); Warner, RR ()",702,186,,77.39,https://www.int-res.com/articles/meps2009/384/m384p033.pdf,https://app.dimensions.ai/details/publication/pub.1071168010,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
37,200,pub.1071167834,10.3354/meps07903,,,Geographic variation in natal and early larval trace-elemental signatures in the statoliths of the market squid Doryteuthis (formerly Loligo) opalescens,Marine Ecology Progress Series,,,3/30/09,2009,379,,109-121,All OA; Gold,Article,"Warner, RR; Hamilton, SL; Sheehy, MS; Zeidberg, LD; Brady, BC; Caselle, JE",,"Warner, RR (); Hamilton, SL (); Sheehy, MS (); Zeidberg, LD (); Brady, BC (); Caselle, JE ()",26,7,,2.87,https://www.int-res.com/articles/meps_oa/m379p109.pdf,https://app.dimensions.ai/details/publication/pub.1071167834,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
38,100,pub.1002666815,10.2983/035.028.0107,,,A Shell of Its Former Self: Can Ostrea lurida Carpenter 1864 Larval Shells Reveal Information About a Recruit's Birth Location?,Journal of Shellfish Research,,,2009-03,2009,28,1,23-32,"All OA; Green, Accepted & Submitted",Article,"Zacherl, Danielle C.; Morgan, Steven G.; Swearer, Stephen E.; Warner, Robert R.",,"Zacherl, Danielle C. (California State University, Fullerton); Morgan, Steven G. (); Swearer, Stephen E. (University of Melbourne); Warner, Robert R. (University of California, Santa Barbara)",12,1,,1.05,https://escholarship.org/content/qt4qd191nt/qt4qd191nt.pdf?t=oytxzi,https://app.dimensions.ai/details/publication/pub.1002666815,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
39,400,pub.1044892132,10.1890/07-1792.1,19263887,,MARKOV CHAIN MONTE CARLO METHODS FOR ASSIGNING LARVAE TO NATAL SITES USING NATURAL GEOCHEMICAL TAGS,Ecological Applications,,Algorithms; Animal Migration; Animals; Larva; Markov Chains; Monte Carlo Method; Otolithic Membrane; Perciformes,12/2/08,2008,18,8,1901-1913,"All OA; Green, Accepted & Submitted",Article,"White, J. Wilson; Standish, Julie D.; Thorrold, Simon R.; Warner, Robert R.",,"White, J. Wilson (University of California, Santa Barbara; University of California, Davis); Standish, Julie D. (University of California, Santa Barbara); Thorrold, Simon R. (Woods Hole Oceanographic Institution); Warner, Robert R. (University of California, Santa Barbara)",19,3,0.28,,http://darchive.mblwhoilibrary.org/bitstream/1912/4713/1/07-1792.1.pdf,https://app.dimensions.ai/details/publication/pub.1044892132,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
40,400,pub.1019348087,10.1073/pnas.0802544105,18577590,PMC2449349,The stochastic nature of larval connectivity among nearshore marine populations,Proceedings of the National Academy of Sciences,,"Animals; Fishes; Invertebrates; Larva; Life Cycle Stages; Models, Biological; Oceans and Seas; Stochastic Processes; Time Factors",7/1/08,2008,105,26,8974-8979,All OA; Gold,Article,"Siegel, D. A.; Mitarai, S.; Costello, C. J.; Gaines, S. D.; Kendall, B. E.; Warner, R. R.; Winters, K. B.",,"Siegel, D. A. (); Mitarai, S. (University of California, Santa Barbara); Costello, C. J. (University of California, Santa Barbara); Gaines, S. D. (); Kendall, B. E. (University of California, Santa Barbara); Warner, R. R. (); Winters, K. B. (Scripps Institution of Oceanography)",237,38,3.97,20.24,http://www.pnas.org/content/105/26/8974.full.pdf,https://app.dimensions.ai/details/publication/pub.1019348087,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
41,200,pub.1071166977,10.3354/meps07244,,,Use of otolith natal elemental signatures as natural tags to evaluate connectivity among open-coast fish populations,Marine Ecology Progress Series,,,3/18/08,2008,356,,259-268,All OA; Gold,Article,"Standish, JD; Sheehy, M; Warner, RR",,"Standish, JD (); Sheehy, M (); Warner, RR ()",33,4,,3.47,https://www.int-res.com/articles/meps2008/356/m356p259.pdf,https://app.dimensions.ai/details/publication/pub.1071166977,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
42,400,pub.1039772680,10.1073/pnas.0707676105,18230727,PMC2234184,Postsettlement survival linked to larval life in a marine fish,Proceedings of the National Academy of Sciences,,Animals; Ecology; Fisheries; Larva; Marine Biology; Perciformes; Population,2/5/08,2008,105,5,1561-1566,All OA; Gold,Article,"Hamilton, Scott L.; Regetz, James; Warner, Robert R.",,"Hamilton, Scott L. (University of California, Santa Barbara); Regetz, James (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara)",90,6,1.49,7.69,http://www.pnas.org/content/105/5/1561.full.pdf,https://app.dimensions.ai/details/publication/pub.1039772680,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
43,200,pub.1041598065,10.1016/j.anbehav.2007.10.013,,,Needed: a dynamic approach to understand sex change,Animal Behaviour,,,2008-02,2008,75,2,e11-e14,Closed,Article,"Warner, Robert R.; Muñoz, Roldan C.","Warner, Robert R.","Warner, Robert R. (University of California, Santa Barbara); Muñoz, Roldan C. (National Oceanic and Atmospheric Administration)",4,0,,,,https://app.dimensions.ai/details/publication/pub.1041598065,17 Psychology and Cognitive Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,17 Psychology and Cognitive Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
44,200,pub.1071166875,10.3354/meps07172,,,"Egg source, temperature and culture seawater affect elemental signatures in Kelletia kelletii larval statoliths",Marine Ecology Progress Series,,,1/17/08,2008,353,,115-130,All OA; Gold,Article,"Lloyd, DC; Zacherl, DC; Walker, S; Paradis, G; Sheehy, M; Warner, RR",,"Lloyd, DC (); Zacherl, DC (); Walker, S (); Paradis, G (); Sheehy, M (); Warner, RR ()",19,3,,2,https://www.int-res.com/articles/meps2008/353/m353p115.pdf,https://app.dimensions.ai/details/publication/pub.1071166875,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
45,400,pub.1003810898,10.1890/06-1949.1,18229839,,SAFETY IN NUMBERS AND THE SPATIAL SCALING OF DENSITY‐DEPENDENT MORTALITY IN A CORAL REEF FISH,Ecology,,Animals; Anthozoa; Ecosystem; Mortality; Perciformes; Population Density; Population Dynamics; Predatory Behavior,2007-12,2007,88,12,3044-3054,All OA; Gold,Article,"White, J. Wilson; Warner, Robert R.",,"White, J. Wilson (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara)",35,4,0.61,2.9,http://onlinelibrary.wiley.com/doi/10.1890/06-1949.1/pdf,https://app.dimensions.ai/details/publication/pub.1003810898,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
46,400,pub.1001596050,10.1007/s00442-007-0838-4,17713786,,Behavioral and energetic costs of group membership in a coral reef fish,Oecologia,,"Animals; Behavior, Animal; Energy Metabolism; Feeding Behavior; Gastrointestinal Contents; Perciformes; Social Behavior; Time Factors; United States Virgin Islands",2007-11,2007,154,2,423-433,Closed,Article,"White, J. Wilson; Warner, Robert R.","White, J. Wilson","White, J. Wilson (University of California, Santa Barbara; University of California, Davis); Warner, Robert R. (University of California, Santa Barbara)",34,3,0.43,2.81,,https://app.dimensions.ai/details/publication/pub.1001596050,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
47,100,pub.1048167723,10.1007/s00338-006-0161-2,,,Cleaning behavior is riskier and less profitable than an alternative strategy for a facultative cleaner fish,Coral Reefs,,,2007-03,2007,26,1,87-94,Closed,Article,"White, J. W.; Grigsby, C. J.; Warner, R. R.","White, J. W.","White, J. W. (University of California, Santa Barbara); Grigsby, C. J. (University of California, Santa Barbara); Warner, R. R. (University of California, Santa Barbara)",17,8,,1.41,,https://app.dimensions.ai/details/publication/pub.1048167723,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
48,200,pub.1071178832,10.3354/meps328225,,,Spatial variation in the chemical composition of natal otoliths from a reef fish in the Galápagos Islands,Marine Ecology Progress Series,,,12/20/06,2006,328,,225-236,All OA; Gold,Article,"Ruttenberg, BI; Warner, RR",,"Ruttenberg, BI (); Warner, RR ()",21,2,,1.95,https://www.int-res.com/articles/meps2007/328/m328p225.pdf,https://app.dimensions.ai/details/publication/pub.1071178832,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
49,400,pub.1009080562,10.1890/0012-9658(2006)87[3082:csakae]2.0.co;2,17249233,,CURRENT SHIFTS AND KIN AGGREGATION EXPLAIN GENETIC PATCHINESS IN FISH RECRUITS,Ecology,,"Animals; Bass; California; Genetic Markers; Genetic Variation; Genetics, Population; Larva; Oceanography; Pacific Ocean; Selection, Genetic",2006-12,2006,87,12,3082-3094,Closed,Article,"Selkoe, Kimberly A.; Gaines, Steven D.; Caselle, Jennifer E.; Warner, Robert R.",,"Selkoe, Kimberly A. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara)",150,20,2.77,10.81,,https://app.dimensions.ai/details/publication/pub.1009080562,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
50,400,pub.1037954603,10.1098/rspb.2006.3666,17015358,PMC1664627,A social basis for the development of primary males in a sex-changing fish,Proceedings of The Royal Society B Biological Sciences,,Animals; Environment; Male; Perciformes; Phenotype; Population Density; Population Dynamics; Sex Differentiation; Sex Ratio; Social Behavior,11/22/06,2006,273,1603,2845-2851,"All OA; Green, Published",Article,"Munday, Philip L; White, J Wilson; Warner, Robert R",,"Munday, Philip L (James Cook University); White, J Wilson (University of California, Santa Barbara); Warner, Robert R (University of California, Santa Barbara)",57,10,1.07,4.11,http://europepmc.org/articles/pmc1664627?pdf=render,https://app.dimensions.ai/details/publication/pub.1037954603,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
51,400,pub.1031434983,10.1016/j.tree.2005.10.020,16701480,,Diversity and flexibility of sex-change strategies in animals,Trends in Ecology & Evolution,,Animals; Biodiversity; Biological Evolution; Female; Fishes; Hermaphroditic Organisms; Male; Sex Determination Processes; Sexual Maturation; Species Specificity; Time Factors,2006-02,2006,21,2,89-95,"All OA; Green, Published",Article,"Munday, Philip L.; Buston, Peter M.; Warner, Robert R",,"Munday, Philip L. (James Cook University); Buston, Peter M. (University of California, Santa Barbara); Warner, Robert R (University of California, Santa Barbara)",222,38,3.39,19.63,http://faculty.bennington.edu/~sherman/coral reef bio/cayman course 2007/cayman papers/sex changes fish.pdf,https://app.dimensions.ai/details/publication/pub.1031434983,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
52,200,pub.1071178265,10.3354/meps306247,,,Consistent long-term spatial gradients in replenishment for an island population of a coral reef fish,Marine Ecology Progress Series,,,1/11/06,2006,306,,247-256,All OA; Gold,Article,"Hamilton, SL; White, JW; Caselle, JE; Swearer, SE; Warner, RR",,"Hamilton, SL (); White, JW (); Caselle, JE (); Swearer, SE (); Warner, RR ()",22,0,,2.04,https://www.int-res.com/articles/meps2006/306/m306p247.pdf,https://app.dimensions.ai/details/publication/pub.1071178265,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
53,200,pub.1006988555,10.4319/lo.2006.51.1.0349,,,Natal trace*#x2010;elemental signatures in the otoliths of an open‐coast fish,Limnology and Oceanography,,,2006-01,2006,51,1,349-349,All OA; Gold,Article,"Warner, Robert R.; Swearer, Stephen E.; Caselle, Jennifer E.; Sheehy, Michael; Paradis, Georges",,"Warner, Robert R. (); Swearer, Stephen E. (); Caselle, Jennifer E. (); Sheehy, Michael (); Paradis, Georges ()",1,0,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2006.51.1.0349,https://app.dimensions.ai/details/publication/pub.1006988555,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
54,200,pub.1070467014,10.2307/3868659,,,Integrated Coastal Reserve Planning: Making the Land-Sea Connection,Frontiers in Ecology and the Environment,,,2005-10,2005,3,8,429,Closed,Article,"Stoms, David M.; Davis, Frank W.; Andelman, Sandy J.; Carr, Mark H.; Gaines, Steven D.; Halpern, Benjamin S.; Hoenicke, Rainer; Leibowitz, Scott G.; Leydecker, Al; Madin, Elizabeth M. P.; Tallis, Heather; Warner, Robert R.",,"Stoms, David M. (); Davis, Frank W. (); Andelman, Sandy J. (); Carr, Mark H. (); Gaines, Steven D. (); Halpern, Benjamin S. (); Hoenicke, Rainer (); Leibowitz, Scott G. (); Leydecker, Al (); Madin, Elizabeth M. P. (); Tallis, Heather (); Warner, Robert R. ()",5,3,,,,https://app.dimensions.ai/details/publication/pub.1070467014,,,,,,
55,100,pub.1017327756,10.1890/1540-9295(2005)003[0429:icrpmt]2.0.co;2,,,Integrated coastal reserve planning: making the land–sea connection,Frontiers in Ecology and the Environment,,,2005-10,2005,3,8,429-436,Closed,Article,"Stoms, David M.; Davis, Frank W.; Andelman, Sandy J.; Carr, Mark H.; Gaines, Steven D.; Halpern, Benjamin S.; Hoenicke, Rainer; Leibowitz, Scott G.; Leydecker, Al; Madin, Elizabeth MP; Tallis, Heather; Warner, Robert R.",,"Stoms, David M. (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara); Andelman, Sandy J. (University of California, Santa Barbara); Carr, Mark H. (University of California, Santa Cruz); Gaines, Steven D. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; University of California, Santa Cruz); Hoenicke, Rainer (); Leibowitz, Scott G. (Environmental Protection Agency); Leydecker, Al (University of California, Santa Barbara); Madin, Elizabeth MP (University of California, Santa Barbara); Tallis, Heather (University of Washington); Warner, Robert R. (University of California, Santa Barbara)",78,15,,6.86,,https://app.dimensions.ai/details/publication/pub.1017327756,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
56,400,pub.1018873417,10.1007/s00442-005-0150-0,16041615,,"Patterns, causes and consequences of regional variation in the ecology and life history of a reef fish",Oecologia,,Animals; Body Size; Ecuador; Environment; Observation; Perciformes; Population Density; Regression Analysis; Reproduction; Temperature,2005-09,2005,145,3,394-403,"All OA; Green, Accepted & Submitted",Article,"Ruttenberg, Benjamin I.; Haupt, Alison J.; Chiriboga, Angel I.; Warner, Robert R.","Ruttenberg, Benjamin I.","Ruttenberg, Benjamin I. (University of California, Santa Barbara); Haupt, Alison J. (University of California, Santa Barbara); Chiriboga, Angel I. (Charles Darwin Foundation); Warner, Robert R. (University of California, Santa Barbara)",57,8,0.49,3.89,https://digitalcommons.calpoly.edu/cgi/viewcontent.cgi?article=1466&context=bio_fac,https://app.dimensions.ai/details/publication/pub.1018873417,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
57,100,pub.1026682527,10.4319/lo.2005.50.5.1529,,,Natal trace‐elemental signatures in the otoliths of an open‐coast fish,Limnology and Oceanography,,,2005-09,2005,50,5,1529-1542,All OA; Gold,Article,"Warner, Robert R.; Swearer, Stephen E.; Caselle, Jennifer E.; Sheehy, Michael; Paradis, Georges",,"Warner, Robert R. (University of California, Santa Barbara); Swearer, Stephen E. (University of Melbourne); Caselle, Jennifer E. (University of California, Santa Barbara); Sheehy, Michael (University of California, Santa Barbara); Paradis, Georges (University of California, Santa Barbara)",52,1,,4.9,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2005.50.5.1529,https://app.dimensions.ai/details/publication/pub.1026682527,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
58,400,pub.1058714821,10.1086/426672,15729641,,"Habitat size, recruitment, and longevity as factors limiting population size in stage-structured species.",The American Naturalist,,"Animals; Environment; Longevity; Models, Biological; Population Density; Population Dynamics",2005-01,2005,165,1,82-94,Closed,Article,"Halpern, Benjamin S; Gaines, Steven D; Warner, Robert R",,"Halpern, Benjamin S (University of California, Santa Barbara); Gaines, Steven D (); Warner, Robert R ()",56,6,0.34,4.07,,https://app.dimensions.ai/details/publication/pub.1058714821,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
59,200,pub.1071178031,10.3354/meps297273,,,Elevated levels of trace elements in cores of otoliths and their potential for use as natural tags,Marine Ecology Progress Series,,,2005,2005,297,,273-281,"All OA; Green, Accepted & Submitted",Article,"Ruttenberg, BI; Hamilton, SL; Hickford, MJH; Paradis, GL; Sheehy, MS; Standish, JD; Ben-Tzvi, O; Warner, RR",,"Ruttenberg, BI (); Hamilton, SL (); Hickford, MJH (); Paradis, GL (); Sheehy, MS (); Standish, JD (); Ben-Tzvi, O (); Warner, RR ()",97,17,,8.48,https://digitalcommons.calpoly.edu/cgi/viewcontent.cgi?article=1465&context=bio_fac,https://app.dimensions.ai/details/publication/pub.1071178031,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
60,100,pub.1026692315,10.1890/03-5260,,,TRAJECTORIES AND CORRELATES OF COMMUNITY CHANGE IN NO‐TAKE MARINE RESERVES,Ecological Applications,,,2004-12,2004,14,6,1709-1723,Closed,Article,"Micheli, Fiorenza; Halpern, Benjamin S.; Botsford, Louis W.; Warner, Robert R.",,"Micheli, Fiorenza (Stanford University); Halpern, Benjamin S. (University of California, Santa Barbara); Botsford, Louis W. (University of California, Davis); Warner, Robert R. (University of California, Santa Barbara)",265,38,,22.73,,https://app.dimensions.ai/details/publication/pub.1026692315,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
61,100,pub.1037512660,10.1023/b:ebfi.0000043177.98895.f7,,,"Courtship and Spawning Behavior in the California Sheephead, Semicossyphus Pulcher (Pisces: Labridae)",Environmental Biology of Fishes,,,2004-09,2004,71,1,13-19,Closed,Article,"Adreani, Mia S.; Erisman, Brad E.; Warner, Robert R.",,"Adreani, Mia S. (California State University, Northridge; Florida State University); Erisman, Brad E. (California State University, Northridge; Scripps Institution of Oceanography); Warner, Robert R. (University of California, Santa Barbara)",28,7,,1.99,,https://app.dimensions.ai/details/publication/pub.1037512660,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
62,100,pub.1003345295,10.1890/03-5136,,,CONFOUNDING EFFECTS OF THE EXPORT OF PRODUCTION AND THE DISPLACEMENT OF FISHING EFFORT FROM MARINE RESERVES,Ecological Applications,,,2004-08,2004,14,4,1248-1256,"All OA; Green, Accepted & Submitted",Article,"Halpern, Benjamin S.; Gaines, Steven D.; Warner, Robert R.",,"Halpern, Benjamin S. (University of California, Santa Barbara; University of California, Santa Cruz); Gaines, Steven D. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara)",99,17,,7.03,https://escholarship.org/content/qt9tb4s87t/qt9tb4s87t.pdf?t=lnpw4c,https://app.dimensions.ai/details/publication/pub.1003345295,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
63,400,pub.1043509056,10.1038/nature02512a,15074315,,Sex change and relative body size in animals,Nature,,"Animals; Biological Evolution; Body Constitution; Disorders of Sex Development; Female; Growth; Male; Models, Biological; Random Allocation; Reproducibility of Results; Selection, Genetic; Sexual Maturation; Species Specificity; Time Factors",2004-04,2004,428,6983,1-Jan,Closed,Article,"Buston, Peter M.; Munday, Philip L.; Warner, Robert R.","Buston, Peter M.","Buston, Peter M. (University of California, Santa Barbara); Munday, Philip L. (James Cook University); Warner, Robert R. (University of California, Santa Barbara)",11,0,0.08,0.78,,https://app.dimensions.ai/details/publication/pub.1043509056,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
64,100,pub.1043032360,10.1093/beheco/arg086,,,"Testing a new version of the size-advantage hypothesis for sex change: sperm competition and size-skew effects in the bucktooth parrotfish, Sparisoma radians",Behavioral Ecology,,,1/1/04,2004,15,1,129-136,All OA; Gold,Article,"Muñoz, Roldan C.; Warner, Robert R.",,"Muñoz, Roldan C. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara)",38,6,,2.7,https://academic.oup.com/beheco/article-pdf/15/1/129/945527/arg086.pdf,https://app.dimensions.ai/details/publication/pub.1043032360,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
65,100,pub.1024472400,10.1023/a:1027318422747,,,"Alternative Contexts of Sex Change with Social Control in the Bucktooth Parrotfish, Sparisoma radians",Environmental Biology of Fishes,,,2003-11,2003,68,3,307-319,Closed,Article,"Muñoz, Roldan C.; Warner, Robert R.",,"Muñoz, Roldan C. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara)",25,2,,1.83,,https://app.dimensions.ai/details/publication/pub.1024472400,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
66,400,pub.1025403833,10.1098/rspb.2003.2405,14561299,PMC1691459,Review Paper. Matching marine reserve design to reserve objectives,Proceedings of The Royal Society B Biological Sciences,,Conservation of Natural Resources; Ecosystem; Environment Design; Fisheries; Geography; Marine Biology; Oceans and Seas,9/22/03,2003,270,1527,1871-1878,"All OA; Green, Published",Article,"Halpern, Benjamin S.; Warner, Robert R.",,"Halpern, Benjamin S. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara)",183,24,1.46,13.36,http://europepmc.org/articles/pmc1691459?pdf=render,https://app.dimensions.ai/details/publication/pub.1025403833,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
67,400,pub.1062448234,10.1126/science.1085706,12920296,,Global Trajectories of the Long-Term Decline of Coral Reef Ecosystems,Science,,Animals; Anthozoa; Conservation of Natural Resources; Culture; Ecosystem; Humans; Population Dynamics; Principal Component Analysis; Time Factors,8/15/03,2003,301,5635,955-958,"All OA; Green, Accepted & Submitted",Article,"Pandolfi, John M.; Bradbury, Roger H.; Sala, Enric; Hughes, Terence P.; Bjorndal, Karen A.; Cooke, Richard G.; McArdle, Deborah; McClenachan, Loren; Newman, Marah J. H.; Paredes, Gustavo; Warner, Robert R.; Jackson, Jeremy B. C.",,"Pandolfi, John M. (National Museum of Natural History); Bradbury, Roger H. (Australian National University); Sala, Enric (Scripps Institution of Oceanography); Hughes, Terence P. (James Cook University); Bjorndal, Karen A. (University of Florida); Cooke, Richard G. (Smithsonian Tropical Research Institute); McArdle, Deborah (California Sea Grant); McClenachan, Loren (Scripps Institution of Oceanography); Newman, Marah J. H. (Scripps Institution of Oceanography); Paredes, Gustavo (Scripps Institution of Oceanography); Warner, Robert R. (University of California, Santa Barbara); Jackson, Jeremy B. C. (Scripps Institution of Oceanography; Smithsonian Tropical Research Institute)",1089,169,9.97,105.13,https://repository.si.edu/bitstream/handle/10088/2233/Pandolfi_et_al_Science.pdf,https://app.dimensions.ai/details/publication/pub.1062448234,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
68,400,pub.1058668777,10.1086/374345,12858282,,A new version of the size-advantage hypothesis for sex change: incorporating sperm competition and size-fecundity skew.,The American Naturalist,,"Animals; Biological Evolution; Body Constitution; Competitive Behavior; Female; Fertility; Hermaphroditic Organisms; Male; Models, Biological; Perciformes; Sex Determination Processes; Spermatozoa",2003-05,2003,161,5,749-61,Closed,Article,"Muñoz, Roldan C; Warner, Robert R",,"Muñoz, Roldan C (University of California, Santa Barbara); Warner, Robert R ()",66,9,0.85,4.82,,https://app.dimensions.ai/details/publication/pub.1058668777,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
