,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Raymond C Smith. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,400,pub.1062490299,10.1126/science.1546292,1546292,,Ozone depletion: ultraviolet radiation and phytoplankton biology in antarctic waters,Science,,Antarctic Regions; Cell Division; Ozone; Phytoplankton; Seasons; Ultraviolet Rays,2/21/92,1992,255,5047,952-959,Closed,Article,"Smith, RC; Prezelin, BB; Baker, KS; Bidigare, RR; Boucher, NP; Coley, T; Karentz, D; MacIntyre, S; Matlick, HA; Menzies, D; et, al.",,"Smith, RC (University of California, Santa Barbara); Prezelin, BB (University of California, Santa Barbara); Baker, KS (University of California, Santa Barbara); Bidigare, RR (University of California, Santa Barbara); Boucher, NP (University of California, Santa Barbara); Coley, T (University of California, Santa Barbara); Karentz, D (University of California, Santa Barbara); MacIntyre, S (University of California, Santa Barbara); Matlick, HA (University of California, Santa Barbara); Menzies, D (University of California, Santa Barbara); et, al. (University of California, Santa Barbara)",677,24,7.97,,,https://app.dimensions.ai/details/publication/pub.1062490299,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
36,100,pub.1007904398,10.1029/92jc00408,,,Estimation of seasonal primary production from moored optical sensors in the Sargasso Sea,Journal of Geophysical Research,,,1992,1992,97,C5,7399-7412,Closed,Article,"Marra, John; Dickey, T.; Chamberlin, W. S.; Ho, C.; Granata, T.; Kiefer, D. A.; Langdon, C.; Smith, R.; Baker, K.; Bidigare, R.; Hamilton, M.",,"Marra, John (); Dickey, T. (); Chamberlin, W. S. (); Ho, C. (); Granata, T. (); Kiefer, D. A. (); Langdon, C. (); Smith, R. (); Baker, K. (); Bidigare, R. (); Hamilton, M. ()",40,0,,,,https://app.dimensions.ai/details/publication/pub.1007904398,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
37,100,pub.1002596686,10.1007/978-1-4899-0762-2_11,,,Bio-Optical Models and the Problems of Scaling,,Primary Productivity and Biogeochemical Cycles in the Sea,,1992,1992,,,175-212,Closed,Chapter,"Bidigare, Robert R.; Prézelin, Barbara B.; Smith, Raymond C.",,"Bidigare, Robert R. (University of Hawaii at Manoa); Prézelin, Barbara B. (University of California, Santa Barbara); Smith, Raymond C. (University of California, Santa Barbara)",72,1,,,,https://app.dimensions.ai/details/publication/pub.1002596686,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
38,200,pub.1071167750,10.3354/meps078253,,,Variability in spectral and nonspectral measurements of photosynthetic light utilization efficiencies,Marine Ecology Progress Series,,,1991,1991,78,,253-271,All OA; Gold,Article,"Schofield, O; Prezelin, BB; Smith, RC; Stegmann, PM; Nelson, NB; Lewis, MR; Baker, KS",,"Schofield, O (); Prezelin, BB (); Smith, RC (); Stegmann, PM (); Nelson, NB (); Lewis, MR (); Baker, KS ()",22,1,,,https://doi.org/10.3354/meps078253,https://app.dimensions.ai/details/publication/pub.1071167750,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
39,200,pub.1046113303,10.1117/12.34725,,,Irradiance transmittance through the air/water interface,Proceedings of SPIE,Ocean Optics X,,9/1/90,1990,1302,,556-565,Closed,Proceeding,"Baker, Karen; Smith, Raymond C.",,"Baker, Karen (Scripps Institution of Oceanography); Smith, Raymond C. (University of California, Santa Barbara)",12,1,,,,https://app.dimensions.ai/details/publication/pub.1046113303,,,,,,
40,100,pub.1031544391,10.1357/002224090784988791,,,Meridional variations of the springtime phytoplankton community in the Sargasso Sea,Journal of Marine Research,,,5/1/90,1990,48,2,379-412,Closed,Article,"Siegel, D. A.; Iturriaga, R.; Bidigare, R. R.; Smith, R. C.; Pak, H.; Dickey, T. D.; Marra, J.; Baker, K. S.",,"Siegel, D. A. (); Iturriaga, R. (); Bidigare, R. R. (); Smith, R. C. (); Pak, H. (); Dickey, T. D. (); Marra, J. (); Baker, K. S. ()",66,2,,,,https://app.dimensions.ai/details/publication/pub.1031544391,04 Earth Sciences; 0404 Geophysics; 0405 Oceanography,04 Earth Sciences,0404 Geophysics,0405 Oceanography,,
41,200,pub.1071166279,10.3354/meps060113,,,Evidence for phytoplankton succession and chromatic adaptation in the Sargasso Sea during spring 1985,Marine Ecology Progress Series,,,1990,1990,60,,113-122,All OA; Gold,Article,"Bidigare, RR; Marra, J; Dickey, TD; Iturriaga, R; Baker, KS; Smith, RC; Pak, H",,"Bidigare, RR (); Marra, J (); Dickey, TD (); Iturriaga, R (); Baker, KS (); Smith, RC (); Pak, H ()",83,3,,,https://doi.org/10.3354/meps060113,https://app.dimensions.ai/details/publication/pub.1071166279,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
42,100,pub.1036431869,10.4319/lo.1989.34.8.1524,,,Bio‐optical modeling of photosynthetic production in coastal waters,Limnology and Oceanography,,,1989-12,1989,34,8,1524-1544,All OA; Gold,Article,"Smith, R. C.; Prezelin, B. B.; Bidigare, R. R.; Baker, K. S.",,"Smith, R. C. (University of California, Santa Barbara); Prezelin, B. B. (); Bidigare, R. R. (Texas A&M University); Baker, K. S. (Scripps Institution of Oceanography)",58,4,,,http://onlinelibrary.wiley.com/doi/10.4319/lo.1989.34.8.1524/pdf,https://app.dimensions.ai/details/publication/pub.1036431869,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
43,100,pub.1032823449,10.4319/lo.1989.34.8.1673,,,Estimation of a photon budget for the upper ocean in the Sargasso Sea,Limnology and Oceanography,,,1989-12,1989,34,8,1673-1693,All OA; Gold,Article,"Smith, R. C.; Marra, J.; Perry, M. J.; Baker, K. S.; Swift, E.; Buskey, E.; Kiefer, D.A.",,"Smith, R. C. (University of California, Santa Barbara); Marra, J. (Columbia University); Perry, M. J. (University of Washington); Baker, K. S. (Scripps Institution of Oceanography); Swift, E. (University of Rhode Island); Buskey, E. (The University of Texas at Austin); Kiefer, D.A. (University of Southern California)",35,1,,,http://onlinelibrary.wiley.com/doi/10.4319/lo.1989.34.8.1673/pdf,https://app.dimensions.ai/details/publication/pub.1032823449,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
44,100,pub.1027348442,10.1029/jd093id09p10909,,,A semianalytic radiance model of ocean color,Journal of Geophysical Research,,,1988,1988,93,D9,10909-10924,Closed,Article,"Gordon, Howard R.; Brown, Otis B.; Evans, Robert H.; Brown, James W.; Smith, Raymond C.; Baker, Karen S.; Clark, Dennis K.",,"Gordon, Howard R. (); Brown, Otis B. (); Evans, Robert H. (); Brown, James W. (); Smith, Raymond C. (); Baker, Karen S. (); Clark, Dennis K. ()",815,95,,,,https://app.dimensions.ai/details/publication/pub.1027348442,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
45,100,pub.1038780692,10.1007/bf00397976,,,Optical characterization of primary productivity across a coastal front,Marine Biology,,,1987-12,1987,96,4,575-591,Closed,Article,"Smith, R. C.; Bidigare, R. R.; Prézelin, B. B.; Baker, K. S.; Brooks, J. M.",,"Smith, R. C. (University of California, Santa Barbara); Bidigare, R. R. (Texas A&M University); Prézelin, B. B. (University of California, Santa Barbara); Baker, K. S. (Scripps Institution of Oceanography); Brooks, J. M. (Texas A&M University)",39,0,,,,https://app.dimensions.ai/details/publication/pub.1038780692,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
46,100,pub.1039757646,10.1029/gb001i003p00171,,,Oceanic primary production estimates from measurements of spectral irradiance and pigment concentrations,Global Biogeochemical Cycles,,,1987-09,1987,1,3,171-186,Closed,Article,"Bidigare, Robert R.; Smith, R. C.; Baker, K. S.; Marra, J.",,"Bidigare, Robert R. (); Smith, R. C. (); Baker, K. S. (); Marra, J. ()",72,3,,,,https://app.dimensions.ai/details/publication/pub.1039757646,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
47,400,pub.1065101813,10.1364/ao.26.002068,20489825,,"Multiplafform sampling (ship, aircraft, and satellite) of a Gulf Stream warm core ring.",Applied Optics,,,6/1/87,1987,26,11,2068-81,Closed,Article,"Smith, Raymond C.; Brown, Otis B.; Hoge, Frank E.; Baker, Karen S.; Evans, Robert H.; Swift, Robert N.; Esaias, Wayne E.",,"Smith, Raymond C. (); Brown, Otis B. (); Hoge, Frank E. (); Baker, Karen S. (); Evans, Robert H. (); Swift, Robert N. (); Esaias, Wayne E. ()",38,0,1.96,,,https://app.dimensions.ai/details/publication/pub.1065101813,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
48,100,pub.1018896397,10.1007/bf00428633,,,Distribution of cetaceans and sea-surface chlorophyll concentrations in the California Current,Marine Biology,,,1986-06,1986,91,3,385-402,Closed,Article,"Smith, R. C.; Dustan, P.; Au, D.; Baker, K. S.; Dunlap, E. A.",,"Smith, R. C. (University of California, Santa Barbara); Dustan, P. (College of Charleston); Au, D. (National Marine Fisheries Service); Baker, K. S. (Scripps Institution of Oceanography); Dunlap, E. A. (University of California, Santa Barbara)",42,2,,,,https://app.dimensions.ai/details/publication/pub.1018896397,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
49,400,pub.1062530481,10.1126/science.229.4709.163,17746290,,Phytoplankton Blooming Off the U.S. East Coast: A Satellite Description,Science,,,7/12/85,1985,229,4709,163-167,Closed,Article,"BROWN, O. B.; EVANS, R. H.; BROWN, J. W.; GORDON, H. R.; SMITH, R. C.; BAKER, K. S.",,"BROWN, O. B. (University of Miami); EVANS, R. H. (University of Miami); BROWN, J. W. (University of Miami); GORDON, H. R. (University of Miami); SMITH, R. C. (University of California, Santa Barbara); BAKER, K. S. (University of California, San Diego)",82,0,0.12,,,https://app.dimensions.ai/details/publication/pub.1062530481,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
50,100,pub.1013916419,10.1029/jc090ic05p08803,,,Chronology of warm‐core ring 82B,Journal of Geophysical Research,,,1985,1985,90,C5,8803-8811,Closed,Article,"Evans, Robert H.; Baker, Karen S.; Brown, Otis B.; Smith, Raymond C.",,"Evans, Robert H. (); Baker, Karen S. (); Brown, Otis B. (); Smith, Raymond C. ()",104,3,,,,https://app.dimensions.ai/details/publication/pub.1013916419,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
51,100,pub.1043818715,10.1038/308837a0,,,Rapid evolution of a Gulf Stream warm-core ring,Nature,,,1984-04,1984,308,5962,837-840,Closed,Article,"Joyce, Terrence; Backus, Richard; Baker, Karen; Blackwelder, Patricia; Brown, Otis; Cowles, Timothy; Evans, Robert; Fryxell, Greta; Mountain, David; Olson, Donald; Schlitz, Ronald; Schmitt, Raymond; Smith, Peter; Smith, Raymond; Wiebe, Peter",,"Joyce, Terrence (Woods Hole Oceanographic Institution); Backus, Richard (Woods Hole Oceanographic Institution); Baker, Karen (Scripps Institution of Oceanography); Blackwelder, Patricia (Nova Southeastern University); Brown, Otis (University of Miami); Cowles, Timothy (Woods Hole Oceanographic Institution); Evans, Robert (University of Miami); Fryxell, Greta (Texas A&M University); Mountain, David (National Marine Fisheries Service); Olson, Donald (University of Miami); Schlitz, Ronald (National Marine Fisheries Service); Schmitt, Raymond (Woods Hole Oceanographic Institution); Smith, Peter (Bedford Institute of Oceanography); Smith, Raymond (University of California, Santa Barbara); Wiebe, Peter (Woods Hole Oceanographic Institution)",68,0,,,,https://app.dimensions.ai/details/publication/pub.1043818715,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
52,100,pub.1007663140,10.4319/lo.1982.27.3.0500,,,Bio‐optical classification and model of natural waters. 2,Limnology and Oceanography,,,1982-05,1982,27,3,500-509,All OA; Gold,Article,"Baker, Karen S.; Smith, Raymond C.",,"Baker, Karen S. (University of California, San Diego); Smith, Raymond C. (University of California, San Diego)",158,7,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.1982.27.3.0500,https://app.dimensions.ai/details/publication/pub.1007663140,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
53,100,pub.1040175923,10.1007/bf00397032,,,Oceanic chlorophyll concentrations as determined by satellite (Nimbus-7 Coastal Zone Color Scanner),Marine Biology,,,1982-02,1982,66,3,269-279,Closed,Article,"Smith, R. C.; Baker, K. S.",,"Smith, R. C. (Scripps Institution of Oceanography); Baker, K. S. (Scripps Institution of Oceanography)",106,2,,,,https://app.dimensions.ai/details/publication/pub.1040175923,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
54,100,pub.1006186624,10.1007/bf00397033,,,Correlation of primary production as measured aboard ship in Southern California Coastal waters and as estimated from satellite chlorophyll images,Marine Biology,,,1982-02,1982,66,3,281-288,Closed,Article,"Smith, R. C.; Eppley, R. W.; Baker, K. S.",,"Smith, R. C. (Scripps Institution of Oceanography); Eppley, R. W. (Scripps Institution of Oceanography); Baker, K. S. (Scripps Institution of Oceanography)",91,4,,,,https://app.dimensions.ai/details/publication/pub.1006186624,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
55,100,pub.1041420998,10.1007/978-1-4684-8133-4_45,,,Assessment of the Influence of Enhanced UV-B on Marine Primary Productivity,,The Role of Solar Ultraviolet Radiation in Marine Ecosystems,,1982,1982,,,509-537,Closed,Chapter,"Smith, Raymond C.; Baker, Karen S.",,"Smith, Raymond C. (University of California, San Diego); Baker, Karen S. (University of California, San Diego)",32,0,,,,https://app.dimensions.ai/details/publication/pub.1041420998,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
56,100,pub.1034336398,10.1007/978-1-4684-8133-4_22,,,Spectral Irradiance Penetration in Natural Waters,,The Role of Solar Ultraviolet Radiation in Marine Ecosystems,,1982,1982,,,233-246,Closed,Chapter,"Baker, Karen S.; Smith, Raymond C.",,"Baker, Karen S. (University of California, San Diego); Smith, Raymond C. (University of California, San Diego)",43,0,,,,https://app.dimensions.ai/details/publication/pub.1034336398,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
57,100,pub.1031092250,10.1007/978-1-4684-8133-4_6,,,Middle Ultraviolet Irradiance at the Ocean Surface: Measurements and Models,,The Role of Solar Ultraviolet Radiation in Marine Ecosystems,,1982,1982,,,79-91,Closed,Chapter,"Baker, Karen S.; Smith, Raymond C.; Green, A. E. S.",,"Baker, Karen S. (Scripps Institution of Oceanography); Smith, Raymond C. (Scripps Institution of Oceanography); Green, A. E. S. (University of Florida)",17,0,,,,https://app.dimensions.ai/details/publication/pub.1031092250,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
58,100,pub.1043620373,10.1111/j.1751-1097.1980.tb03776.x,,,MIDDLE ULTRAVIOLET RADIATION REACHING THE OCEAN SURFACE*,Photochemistry and Photobiology,,,1980-09,1980,32,3,367-374,Closed,Article,"Baker, Karen S.; Smith, Raymond C.; Green, A. E. S.",,"Baker, Karen S. (); Smith, Raymond C. (); Green, A. E. S. (University of Florida)",66,1,,,,https://app.dimensions.ai/details/publication/pub.1043620373,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
59,100,pub.1036394391,10.1111/j.1751-1097.1980.tb03750.x,,,PHOTOINHIBITION OF PHOTOSYNTHESIS IN NATURAL WATERS*,Photochemistry and Photobiology,,,1980-06,1980,31,6,585-592,Closed,Article,"Smith, Raymond C.; Baker, Karen S.; Holm‐Hansen, Osmund; Olson, Robert",,"Smith, Raymond C. (University of California, San Diego); Baker, Karen S. (University of California, San Diego); Holm‐Hansen, Osmund (University of California, San Diego); Olson, Robert (University of California, San Diego)",134,1,,,,https://app.dimensions.ai/details/publication/pub.1036394391,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
60,400,pub.1062520992,10.1126/science.208.4444.592,17732843,,"Stratospheric Ozone, Middle Ultraviolet Radiation, and Carbon-14 Measurements of Marine Productivity",Science,,,5/9/80,1980,208,4444,592-593,Closed,Article,"SMITH, RAYMOND C.; BAKER, KAREN S.",,"SMITH, RAYMOND C. (University of California, San Diego); BAKER, KAREN S. (University of California, San Diego)",29,0,0.03,,,https://app.dimensions.ai/details/publication/pub.1062520992,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
61,100,pub.1045634385,10.1111/j.1751-1097.1979.tb07054.x,,,PENETRATION OF UV‐B AND BIOLOGICALLY EFFECTIVE DOSE‐RATES IN NATURAL WATERS*,Photochemistry and Photobiology,,,1979-02,1979,29,2,311-323,Closed,Article,"Smith, Raymond C.; Baker, Karen S.",,"Smith, Raymond C. (University of California, San Diego); Baker, Karen S. (University of California, San Diego)",259,4,,,,https://app.dimensions.ai/details/publication/pub.1045634385,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
62,100,pub.1017046066,10.4319/lo.1978.23.2.0247,,,The bio‐optical state of ocean waters and remote sensing 1,Limnology and Oceanography,,,1978-03,1978,23,2,247-259,All OA; Gold,Article,"Smith, Raymond C.; Baker, Karen S.",,"Smith, Raymond C. (University of California, San Diego); Baker, Karen S. (University of California, San Diego)",237,12,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.1978.23.2.0247,https://app.dimensions.ai/details/publication/pub.1017046066,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
63,100,pub.1013397988,10.4319/lo.1978.23.2.0260,,,Optical classification of natural waters 1,Limnology and Oceanography,,,1978-03,1978,23,2,260-267,"All OA; Green, Accepted & Submitted",Article,"Smith, Raymond C.; Baker, Karen S.",,"Smith, Raymond C. (University of California, San Diego); Baker, Karen S. (University of California, San Diego)",174,10,,,http://www.aslo.org/lo/toc/vol_23/issue_2/0260.pdf,https://app.dimensions.ai/details/publication/pub.1013397988,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
64,100,pub.1025782721,10.1007/978-1-4684-2574-1_3,,,Transmission of Solar Radiation into Natural Waters,,Photochemical and Photobiological Reviews,,1976,1976,,,117-155,Closed,Chapter,"Smith, Raymond C.; Tyler, John E.",,"Smith, Raymond C. (University of California, San Diego); Tyler, John E. (University of California, San Diego)",40,0,,,,https://app.dimensions.ai/details/publication/pub.1025782721,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
65,100,pub.1051891671,10.4319/lo.1973.18.2.0189,,,OPTICAL PROPERTIES AND COLOR OF LAKE TAHOE AND CRATER LAKE1,Limnology and Oceanography,,,1973-03,1973,18,2,189-199,Closed,Article,"Smith, Raymond C.; Tyler, John E.; Goldman, Charles R.",,"Smith, Raymond C. (University of California, San Diego); Tyler, John E. (University of California, San Diego); Goldman, Charles R. (University of California, Davis)",67,1,,,,https://app.dimensions.ai/details/publication/pub.1051891671,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
66,100,pub.1005470222,10.4319/lo.1968.13.3.0423,,,THE OPTICAL CHARACTERIZATION OF NATURAL WATERS BY MEANS OF AN “EXTINCTION COEFFICIENT”,Limnology and Oceanography,,,1968-07,1968,13,3,423-429,All OA; Gold,Article,"Smith, Raymond C.",,"Smith, Raymond C. (University of California, San Diego)",26,0,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.1968.13.3.0423,https://app.dimensions.ai/details/publication/pub.1005470222,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
