,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Trevor W Hayton. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,400,pub.1055874456,10.1021/jacs.5b07767,26667146,,"Use of (77)Se and (125)Te NMR Spectroscopy to Probe Covalency of the Actinide-Chalcogen Bonding in [Th(En){N(SiMe3)2}3](-) (E = Se, Te; n = 1, 2) and Their Oxo-Uranium(VI) Congeners.",Journal of the American Chemical Society,,,1/27/16,2016,138,3,814-25,Closed,Article,"Smiles, Danil E; Wu, Guang; Hrobárik, Peter; Hayton, Trevor W",,"Smiles, Danil E (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hrobárik, Peter (Technical University of Berlin); Hayton, Trevor W (University of California, Santa Barbara)",34,21,4.59,6.97,,https://app.dimensions.ai/details/publication/pub.1055874456,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
30,400,pub.1042591094,10.1039/c5cc08265j,26569166,,"Synthesis, structure and bonding of hexaphenyl thorium( iv ): observation of a non-octahedral structure",Chemical Communications,,,2016,2016,52,4,689-692,"All OA; Green, Published",Article,"Pedrick, Elizabeth A.; Hrobárik, Peter; Seaman, Lani A.; Wu, Guang; Hayton, Trevor W.",,"Pedrick, Elizabeth A. (University of California, Santa Barbara); Hrobárik, Peter (Technical University of Berlin); Seaman, Lani A. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",8,6,0.63,1.64,https://depositonce.tu-berlin.de//bitstream/11303/6912/1/c5cc08265j.pdf,https://app.dimensions.ai/details/publication/pub.1042591094,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
31,400,pub.1029668988,10.1039/c6dt00885b,27139714,,Activation of CS 2 by a “masked” terminal nickel sulfide,Dalton Transactions,,,2016,2016,45,37,14508-14510,Closed,Article,"Hartmann, Nathaniel J.; Wu, Guang; Hayton, Trevor. W.",,"Hartmann, Nathaniel J. (University of California System); Wu, Guang (University of California System); Hayton, Trevor. W. (University of California System)",7,4,1.02,1.41,,https://app.dimensions.ai/details/publication/pub.1029668988,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
32,400,pub.1011201917,10.1002/anie.201508232,26457792,PMC4715500,Synthesis of a “Masked” Terminal Nickel(II) Sulfide by Reductive Deprotection and its Reaction with Nitrous Oxide,Angewandte Chemie International Edition,,"Crystallography, X-Ray; Models, Molecular; Molecular Structure; Nickel; Nitrous Oxide; Organometallic Compounds; Oxidation-Reduction",12/1/15,2015,54,49,14956-14959,"All OA; Green, Accepted & Submitted",Article,"Hartmann, Nathaniel J.; Wu, Guang; Hayton, Trevor W.",,"Hartmann, Nathaniel J. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",8,4,0.53,1.35,http://europepmc.org/articles/pmc4715500?pdf=render,https://app.dimensions.ai/details/publication/pub.1011201917,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
33,100,pub.1004085188,10.1002/ange.201508232,,,Synthesis of a “Masked” Terminal Nickel(II) Sulfide by Reductive Deprotection and its Reaction with Nitrous Oxide,Angewandte Chemie,,,12/1/15,2015,127,49,15169-15172,"All OA; Green, Accepted & Submitted",Article,"Hartmann, Nathaniel J.; Wu, Guang; Hayton, Trevor W.",,"Hartmann, Nathaniel J. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",4,2,,0.67,https://escholarship.org/content/qt0sh7c7x0/qt0sh7c7x0.pdf?t=ocs7ux,https://app.dimensions.ai/details/publication/pub.1004085188,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
34,100,pub.1029694286,10.1002/chin.201546227,,,ChemInform Abstract: Understanding the Role of Hyponitrite in Nitric Oxide Reduction,ChemInform,,,2015-11,2015,46,46,no-no,Closed,Article,"Wright, Ashley M.; Hayton, Trevor W.",,"Wright, Ashley M. (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1029694286,,,,,,
35,400,pub.1055874445,10.1021/jacs.5b07574,26422670,,A Cu25 Nanocluster with Partial Cu(0) Character.,Journal of the American Chemical Society,,Copper; Molecular Probes; Nanostructures; Photoelectron Spectroscopy,10/21/15,2015,137,41,13319-24,"All OA; Green, Accepted & Submitted",Article,"Nguyen, Thuy-Ai D; Jones, Zachary R; Goldsmith, Bryan R; Buratto, William R; Wu, Guang; Scott, Susannah L; Hayton, Trevor W",,"Nguyen, Thuy-Ai D (University of California, Santa Barbara); Jones, Zachary R (University of California, Santa Barbara); Goldsmith, Bryan R (University of California, Santa Barbara); Buratto, William R (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Scott, Susannah L (University of California, Santa Barbara); Hayton, Trevor W (University of California, Santa Barbara)",46,29,3.37,,https://escholarship.org/content/qt6qt9b1pk/qt6qt9b1pk.pdf?t=oguiuv,https://app.dimensions.ai/details/publication/pub.1055874445,03 Chemical Sciences,03 Chemical Sciences,,,,
36,400,pub.1055093085,10.1021/acs.inorgchem.5b02017,26419513,PMC4659433,"Quantifying the Electron Donor and Acceptor Abilities of the Ketimide Ligands in M(N═C(t)Bu2)4 (M = V, Nb, Ta).",Inorganic Chemistry,,"Crystallography, X-Ray; Electrons; Imides; Ligands; Metals, Heavy; Models, Molecular; Molecular Structure; Organometallic Compounds",10/19/15,2015,54,20,10081-95,"All OA; Green, Accepted & Submitted",Article,"Damon, Peter L; Liss, Cameron J; Lewis, Richard A; Morochnik, Simona; Szpunar, David E; Telser, Joshua; Hayton, Trevor W",,"Damon, Peter L (University of California, Santa Barbara); Liss, Cameron J (Roosevelt University); Lewis, Richard A (University of California, Santa Barbara); Morochnik, Simona (University of California, Santa Barbara); Szpunar, David E (Roosevelt University); Telser, Joshua (Roosevelt University); Hayton, Trevor W (University of California, Santa Barbara)",11,4,0.45,1.85,http://europepmc.org/articles/pmc4659433?pdf=render,https://app.dimensions.ai/details/publication/pub.1055093085,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
37,400,pub.1055092456,10.1021/acs.inorgchem.5b00516,25928662,,Understanding the role of hyponitrite in nitric oxide reduction.,Inorganic Chemistry,,,10/5/15,2015,54,19,9330-41,"All OA; Green, Accepted & Submitted",Article,"Wright, Ashley M; Hayton, Trevor W",,"Wright, Ashley M (University of California, Santa Barbara); Hayton, Trevor W (University of California, Santa Barbara)",16,6,1.16,2.74,https://escholarship.org/content/qt1kz3r7r7/qt1kz3r7r7.pdf?t=ogujhf,https://app.dimensions.ai/details/publication/pub.1055092456,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
38,400,pub.1055092696,10.1021/acs.inorgchem.5b01077,26136106,,Oxo Ligand Substitution in a Cationic Uranyl Complex: Synergistic Interaction of an Electrophile and a Reductant.,Inorganic Chemistry,,,7/20/15,2015,54,14,7038-44,"All OA; Green, Accepted & Submitted",Article,"Pedrick, Elizabeth A; Wu, Guang; Hayton, Trevor W",,"Pedrick, Elizabeth A (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W (University of California, Santa Barbara)",13,3,1.19,2.24,https://escholarship.org/content/qt8ff3t87n/qt8ff3t87n.pdf?t=ocs7e5,https://app.dimensions.ai/details/publication/pub.1055092696,09 Engineering; 0302 Inorganic Chemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 0904 Chemical Engineering,09 Engineering,0302 Inorganic Chemistry,0399 Other Chemical Sciences,03 Chemical Sciences,0904 Chemical Engineering
39,400,pub.1025621070,10.1002/chem.201500422,25702682,,Synthesis and Characterization of a Cu14 Hydride Cluster Supported by Neutral Donor Ligands,Chemistry - A European Journal,,,3/27/15,2015,21,14,5341-5344,"All OA; Green, Accepted & Submitted",Article,"Nguyen, Thuy‐Ai D.; Goldsmith, Bryan R.; Zaman, Homaira T.; Wu, Guang; Peters; Hayton, Trevor W.",,"Nguyen, Thuy‐Ai D. (University of California, Santa Barbara); Goldsmith, Bryan R. (University of California, Santa Barbara); Zaman, Homaira T. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Peters (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",13,10,1.63,2.46,https://escholarship.org/content/qt5sd52391/qt5sd52391.pdf?t=ojk5sf,https://app.dimensions.ai/details/publication/pub.1025621070,0305 Organic Chemistry; 03 Chemical Sciences,0305 Organic Chemistry,03 Chemical Sciences,,,
40,400,pub.1004385097,10.1002/anie.201410948,25604998,,A Copper(I)–Arene Complex With an Unsupported η6 Interaction,Angewandte Chemie International Edition,,,3/2/15,2015,54,10,3088-3091,"All OA; Green, Accepted & Submitted",Article,"Wright, Ashley M.; Irving, Benjamin J.; Wu, Guang; Meijer, Anthony J. H. M.; Hayton, Trevor W.",,"Wright, Ashley M. (University of California, Santa Barbara); Irving, Benjamin J. (Czech Technical University in Prague); Wu, Guang (University of California, Santa Barbara); Meijer, Anthony J. H. M. (University of Sheffield); Hayton, Trevor W. (University of California, Santa Barbara)",1,0,0.2,0.17,https://escholarship.org/content/qt7v41p19v/qt7v41p19v.pdf?t=ocs8au,https://app.dimensions.ai/details/publication/pub.1004385097,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
41,100,pub.1001573271,10.1002/ange.201410948,,,A Copper(I)–Arene Complex With an Unsupported η6 Interaction,Angewandte Chemie,,,3/2/15,2015,127,10,3131-3134,"All OA; Green, Accepted & Submitted",Article,"Wright, Ashley M.; Irving, Benjamin J.; Wu, Guang; Meijer, Anthony J. H. M.; Hayton, Trevor W.",,"Wright, Ashley M. (University of California, Santa Barbara); Irving, Benjamin J. (Czech Technical University in Prague); Wu, Guang (University of California, Santa Barbara); Meijer, Anthony J. H. M. (University of Sheffield); Hayton, Trevor W. (University of California, Santa Barbara)",1,1,,0.17,https://escholarship.org/content/qt7v41p19v/qt7v41p19v.pdf?t=ocs8au,https://app.dimensions.ai/details/publication/pub.1001573271,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
42,400,pub.1011652950,10.1039/c5sc01248a,29218160,PMC5707506,Thorium–ligand multiple bonds via reductive deprotection of a trityl group,Chemical Science,,,2015,2015,6,7,3891-3899,All OA; Gold,Article,"Smiles, Danil E.; Wu, Guang; Kaltsoyannis, Nikolas; Hayton, Trevor W.",,"Smiles, Danil E. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Kaltsoyannis, Nikolas (University College London); Hayton, Trevor W. (University of California, Santa Barbara)",23,10,2.07,4.35,https://pubs.rsc.org/en/content/articlepdf/2015/sc/c5sc01248a,https://app.dimensions.ai/details/publication/pub.1011652950,0305 Organic Chemistry; 03 Chemical Sciences,0305 Organic Chemistry,03 Chemical Sciences,,,
43,100,pub.1044919514,10.1039/c5nj00739a,,,Reactivity of [U( C H 2 SiMe 2 N SiMe 3 )(NR 2 ) 2 ] (R = SiMe 3 ) with elemental chalcogens: towards a better understanding of chalcogen atom transfer in the actinides,New Journal of Chemistry,,,2015,2015,39,10,7563-7566,Closed,Article,"Smiles, Danil E.; Wu, Guang; Hayton, Trevor W.",,"Smiles, Danil E. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",9,4,,1.51,,https://app.dimensions.ai/details/publication/pub.1044919514,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
44,400,pub.1055581200,10.1021/ic502500z,25434323,,Reversible chalcogen-atom transfer to a terminal uranium sulfide.,Inorganic Chemistry,,,12/15/14,2014,53,24,12683-5,Closed,Article,"Smiles, Danil E.; Wu, Guang; Hayton, Trevor W.",,"Smiles, Danil E. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",18,4,1.05,2.68,,https://app.dimensions.ai/details/publication/pub.1055581200,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
45,400,pub.1055581014,10.1021/ic502267t,25434504,,Reductive silylation of the uranyl ion with Ph3SiOTf.,Inorganic Chemistry,,,2014-12,2014,53,23,12237-9,Closed,Article,"Pedrick, Elizabeth A.; Wu, Guang; Hayton, Trevor W.",,"Pedrick, Elizabeth A. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",14,3,1,2.58,,https://app.dimensions.ai/details/publication/pub.1055581014,09 Engineering; 0302 Inorganic Chemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 0904 Chemical Engineering,09 Engineering,0302 Inorganic Chemistry,0399 Other Chemical Sciences,03 Chemical Sciences,0904 Chemical Engineering
46,400,pub.1055578088,10.1021/ic5018888,25321317,,Oxidation of alcohols and activated alkanes with Lewis acid-activated TEMPO.,Inorganic Chemistry,,,11/3/14,2014,53,21,11377-87,"All OA; Green, Accepted & Submitted",Article,"Nguyen, Thuy-Ai D.; Wright, Ashley M.; Page, Joshua S.; Wu, Guang; Hayton, Trevor W.",,"Nguyen, Thuy-Ai D. (University of California, Santa Barbara); Wright, Ashley M. (University of California, Santa Barbara); Page, Joshua S. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",10,2,0.62,1.52,https://escholarship.org/content/qt5sr8m6xw/qt5sr8m6xw.pdf?t=ogujb1,https://app.dimensions.ai/details/publication/pub.1055578088,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
47,400,pub.1055573909,10.1021/ic501267f,25203671,,"Synthesis of terminal monochalcogenide and dichalcogenide complexes of uranium using polychalcogenides, [E(n)]²⁻ (E = Te, n = 2; E = Se, n = 4), as chalcogen atom transfer reagents.",Inorganic Chemistry,,,10/6/14,2014,53,19,10240-7,Closed,Article,"Smiles, Danil E.; Wu, Guang; Hayton, Trevor W.",,"Smiles, Danil E. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",18,4,1.19,2.68,,https://app.dimensions.ai/details/publication/pub.1055573909,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
48,200,pub.1055569365,10.1021/ic5005227,,,"Correction to Synthesis, Molecular and Electronic Structure of U V (O)[N(SiMe 3 ) 2 ] 3",Inorganic Chemistry,,,4/7/14,2014,53,7,3919-3919,Closed,Article,"Fortier, Skye; Brown, Jessie L.; Kaltsoyannis, Nikolas; Wu, Guang; Hayton, Trevor W.",,"Fortier, Skye (); Brown, Jessie L. (); Kaltsoyannis, Nikolas (); Wu, Guang (); Hayton, Trevor W. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1055569365,09 Engineering; 0302 Inorganic Chemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 0904 Chemical Engineering,09 Engineering,0302 Inorganic Chemistry,0399 Other Chemical Sciences,03 Chemical Sciences,0904 Chemical Engineering
49,400,pub.1055566335,10.1021/ic403038e,24597563,,Mechanistic insights into the formation of N2O by a nickel nitrosyl complex.,Inorganic Chemistry,,,3/17/14,2014,53,6,3108-16,Closed,Article,"Wright, Ashley M.; Zaman, Homaira T.; Wu, Guang; Hayton, Trevor W.",,"Wright, Ashley M. (University of California, Santa Barbara); Zaman, Homaira T. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",9,4,0.67,1.66,,https://app.dimensions.ai/details/publication/pub.1055566335,09 Engineering; 0302 Inorganic Chemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 0904 Chemical Engineering,09 Engineering,0302 Inorganic Chemistry,0399 Other Chemical Sciences,03 Chemical Sciences,0904 Chemical Engineering
50,400,pub.1055855780,10.1021/ja411423a,24350685,,Synthesis of uranium-ligand multiple bonds by cleavage of a trityl protecting group.,Journal of the American Chemical Society,,,1/8/14,2014,136,1,96-9,Closed,Article,"Smiles, Danil E.; Wu, Guang; Hayton, Trevor W.",,"Smiles, Danil E. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",42,12,2.9,6.26,,https://app.dimensions.ai/details/publication/pub.1055855780,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
51,100,pub.1007306589,10.1039/c4sc00996g,,,Reductive silylation of a uranyl dibenzoylmethanate complex: an example of controlled uranyl oxo ligand cleavage,Chemical Science,,,2014,2014,5,8,3204-3213,All OA; Gold,Article,"Pedrick, E. A.; Wu, G.; Kaltsoyannis, N.; Hayton, T. W.",,"Pedrick, E. A. (University of California, Santa Barbara); Wu, G. (University of California, Santa Barbara); Kaltsoyannis, N. (University College London); Hayton, T. W. (University of California, Santa Barbara)",15,4,,2.24,https://pubs.rsc.org/en/content/articlepdf/2014/sc/c4sc00996g,https://app.dimensions.ai/details/publication/pub.1007306589,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
52,400,pub.1055854533,10.1021/ja403076u,23654300,PMC3818356,Enediolate-dilithium amide mixed aggregates in the enantioselective alkylation of arylacetic acids: structural studies and a stereochemical model.,Journal of the American Chemical Society,,"Acetates; Alkylation; Amides; Anions; Crystallography, X-Ray; Dimerization; Lithium; Magnetic Resonance Spectroscopy; Models, Molecular; Organometallic Compounds; Stereoisomerism",11/13/13,2013,135,45,16853-64,"All OA; Green, Accepted & Submitted",Article,"Ma, Yun; Stivala, Craig E.; Wright, Ashley M.; Hayton, Trevor; Liang, Jun; Keresztes, Ivan; Lobkovsky, Emil; Collum, David B.; Zakarian, Armen",,"Ma, Yun (Cornell University); Stivala, Craig E. (University of California, Santa Barbara); Wright, Ashley M. (University of California, Santa Barbara); Hayton, Trevor (University of California, Santa Barbara); Liang, Jun (Cornell University); Keresztes, Ivan (Cornell University); Lobkovsky, Emil (Cornell University); Collum, David B. (Cornell University); Zakarian, Armen (University of California, Santa Barbara)",25,6,1.11,3.56,http://europepmc.org/articles/pmc3818356?pdf=render,https://app.dimensions.ai/details/publication/pub.1055854533,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
53,400,pub.1047501375,10.1002/anie.201303992,23943560,,"Comparison of the Reactivity of 2‐Li‐C6H4CH2NMe2 with MCl4 (M=Th, U): Isolation of a Thorium Aryl Complex or a Uranium Benzyne Complex",Angewandte Chemie International Edition,,,9/27/13,2013,52,40,10589-10592,Closed,Article,"Seaman, Lani A.; Pedrick, Elizabeth A.; Tsuchiya, Takashi; Wu, Guang; Jakubikova, Elena; Hayton, Trevor W.",,"Seaman, Lani A. (University of California, Santa Barbara); Pedrick, Elizabeth A. (University of California, Santa Barbara); Tsuchiya, Takashi (North Carolina State University); Wu, Guang (University of California, Santa Barbara); Jakubikova, Elena (North Carolina State University); Hayton, Trevor W. (University of California, Santa Barbara)",27,6,1.4,,,https://app.dimensions.ai/details/publication/pub.1047501375,03 Chemical Sciences,03 Chemical Sciences,,,,
54,100,pub.1002807480,10.1002/ange.201303992,,,"Comparison of the Reactivity of 2‐Li‐C6H4CH2NMe2 with MCl4 (M=Th, U): Isolation of a Thorium Aryl Complex or a Uranium Benzyne Complex",Angewandte Chemie,,,9/27/13,2013,125,40,10783-10786,Closed,Article,"Seaman, Lani A.; Pedrick, Elizabeth A.; Tsuchiya, Takashi; Wu, Guang; Jakubikova, Elena; Hayton, Trevor W.",,"Seaman, Lani A. (University of California, Santa Barbara); Pedrick, Elizabeth A. (University of California, Santa Barbara); Tsuchiya, Takashi (North Carolina State University); Wu, Guang (University of California, Santa Barbara); Jakubikova, Elena (North Carolina State University); Hayton, Trevor W. (University of California, Santa Barbara)",4,0,,,,https://app.dimensions.ai/details/publication/pub.1002807480,,,,,,
55,100,pub.1041982720,10.1002/ejic.201300163,,,"Divergent Reactivity of TEMPO with MBr3 (M = B, Al)",European Journal of Inorganic Chemistry,,,8/6/13,2013,2013,22‐23,3817-3820,Closed,Article,"Wright, Ashley M.; Page, Joshua S.; Scepaniak, Jeremiah J.; Wu, Guang; Hayton, Trevor W.",,"Wright, Ashley M. (University of California, Santa Barbara); Page, Joshua S. (University of California, Santa Barbara); Scepaniak, Jeremiah J. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",9,0,,1.22,,https://app.dimensions.ai/details/publication/pub.1041982720,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
56,100,pub.1014201098,10.1002/chin.201332211,,,ChemInform Abstract: Uranium Chemistry. An Actinide Milestone,ChemInform,,,8/6/13,2013,44,32,no-no,Closed,Article,"Hayton, Trevor W.",,"Hayton, Trevor W. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1014201098,,,,,,
57,400,pub.1055854649,10.1021/ja403815h,23837946,,"Quantifying the σ and π interactions between U(V) f orbitals and halide, alkyl, alkoxide, amide and ketimide ligands.",Journal of the American Chemical Society,,,7/24/13,2013,135,29,10742-54,Closed,Article,"Lukens, Wayne W.; Edelstein, Norman M.; Magnani, Nicola; Hayton, Trevor W.; Fortier, Skye; Seaman, Lani A.",,"Lukens, Wayne W. (Lawrence Berkeley National Laboratory); Edelstein, Norman M. (Lawrence Berkeley National Laboratory); Magnani, Nicola (Lawrence Berkeley National Laboratory); Hayton, Trevor W. (University of California, Santa Barbara); Fortier, Skye (University of California, Santa Barbara); Seaman, Lani A. (University of California, Santa Barbara)",50,11,3.05,6.8,,https://app.dimensions.ai/details/publication/pub.1055854649,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
58,400,pub.1055565447,10.1021/ic401096p,23790119,,Reactivity and Mössbauer spectroscopic characterization of an Fe(IV) ketimide complex and reinvestigation of an Fe(IV) norbornyl complex.,Inorganic Chemistry,,"Alkenes; Cyanides; Imines; Iron Compounds; Models, Molecular; Nitriles; Norbornanes; Spectroscopy, Mossbauer",7/15/13,2013,52,14,8218-27,Closed,Article,"Lewis, Richard A.; Smiles, Danil E.; Darmon, Jonathan M.; Stieber, S. Chantal E.; Wu, Guang; Hayton, Trevor W.",,"Lewis, Richard A. (University of California, Santa Barbara); Smiles, Danil E. (University of California, Santa Barbara); Darmon, Jonathan M. (Princeton University); Stieber, S. Chantal E. (Princeton University); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",16,2,0.52,2.28,,https://app.dimensions.ai/details/publication/pub.1055565447,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
59,300,pub.1042060421,10.1038/nchem.1643,23695625,,An actinide milestone,Nature Chemistry,,,2013-06,2013,5,6,451-452,Closed,Article,"Hayton, Trevor W.","Hayton, Trevor W.","Hayton, Trevor W. (University of California, Santa Barbara)",24,9,1.08,,,https://app.dimensions.ai/details/publication/pub.1042060421,03 Chemical Sciences,03 Chemical Sciences,,,,
60,400,pub.1021562176,10.1021/ja402068j,23521401,,"Synthesis and spectroscopic and computational characterization of the chalcogenido-substituted analogues of the uranyl ion, [OUE]2+ (E = S, Se).",Journal of the American Chemical Society,,,4/10/13,2013,135,14,5352-5,Closed,Article,"Brown, Jessie L.; Fortier, Skye; Wu, Guang; Kaltsoyannis, Nikolas; Hayton, Trevor W.",,"Brown, Jessie L. (University of California, Santa Barbara); Fortier, Skye (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Kaltsoyannis, Nikolas (University College London); Hayton, Trevor W. (University of California, Santa Barbara)",52,13,2.88,7.41,,https://app.dimensions.ai/details/publication/pub.1021562176,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
61,400,pub.1055563881,10.1021/ic300867m,22716022,,In pursuit of homoleptic actinide alkyl complexes.,Inorganic Chemistry,,,2013-04,2013,52,7,3556-64,Closed,Article,"Seaman, Lani A.; Walensky, Justin R.; Wu, Guang; Hayton, Trevor W.",,"Seaman, Lani A. (University of California, Santa Barbara); Walensky, Justin R. (University of Missouri); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",23,6,0.65,3.13,,https://app.dimensions.ai/details/publication/pub.1055563881,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
62,400,pub.1055564853,10.1021/ic302697v,23432419,,Nitric oxide release from a nickel nitrosyl complex induced by one-electron oxidation.,Inorganic Chemistry,,,3/18/13,2013,52,6,3207-16,Closed,Article,"Wright, Ashley M.; Zaman, Homaira T.; Wu, Guang; Hayton, Trevor W.",,"Wright, Ashley M. (University of California, Santa Barbara); Zaman, Homaira T. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",8,1,0.59,1.09,,https://app.dimensions.ai/details/publication/pub.1055564853,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
63,300,pub.1011149720,10.1002/anie.201209611,23404960,,A Rare Uranyl(VI)–Alkyl Ate Complex [Li(DME)1.5]2[UO2(CH2SiMe3)4] and Its Comparison with a Homoleptic Uranium(VI)–Hexaalkyl,Angewandte Chemie International Edition,,,3/11/13,2013,52,11,3259-3263,Closed,Article,"Seaman, Lani A.; Hrobárik, Peter; Schettini, Michael F.; Fortier, Skye; Kaupp, Martin; Hayton, Trevor W.",,"Seaman, Lani A. (University of California, Santa Barbara); Hrobárik, Peter (Technical University of Berlin; Institute of Inorganic Chemistry); Schettini, Michael F. (University of California, Santa Barbara); Fortier, Skye (University of California, Santa Barbara); Kaupp, Martin (Technical University of Berlin); Hayton, Trevor W. (University of California, Santa Barbara)",30,4,1.63,4.08,,https://app.dimensions.ai/details/publication/pub.1011149720,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
64,200,pub.1056278149,10.1021/om301004q,,,"Chalcogen Atom Transfer to Uranium(III): Synthesis and Characterization of [(R 2 N) 3 U] 2 (μ-E) and [(R 2 N) 3 U] 2 (μ-η 2 :η 2 -S 2 ) (R = SiMe 3 ; E = S, Se, Te)",Organometallics,,,3/11/13,2013,32,5,1193-1198,Closed,Article,"Brown, Jessie L.; Wu, Guang; Hayton, Trevor W.",,"Brown, Jessie L. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",36,6,,5.11,,https://app.dimensions.ai/details/publication/pub.1056278149,0305 Organic Chemistry; 0302 Inorganic Chemistry; 03 Chemical Sciences; 0399 Other Chemical Sciences,0305 Organic Chemistry,0302 Inorganic Chemistry,03 Chemical Sciences,0399 Other Chemical Sciences,
