,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Cyrus R Safinya. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,100,pub.1086897931,10.1299/jsmemecj.2014._g0210202-,,,G0210202 ニューロフィラメントの力学挙動解析:粗視化分子動力学法による検討(バイオエンジニアリング部門一般セッション(2)),The Proceedings of Mechanical Engineering Congress Japan,,,2014,2014,2014,0,_g0210202--_g0210202-,Closed,Article,"慎二, 松下; SAFINYA, Cyrus; 彰二, 高田",,"慎二, 松下 (); SAFINYA, Cyrus (); 彰二, 高田 (Kyoto University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1086897931,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
56,400,pub.1017812308,10.1080/02678292.2013.846422,24558293,PMC3927920,Liquid crystal assemblies in biologically inspired systems,Liquid Crystals,,,2013-12,2013,40,12,1748-1758,"All OA; Green, Accepted & Submitted",Article,"Safinya, Cyrus R.; Deek, Joanna; Beck, Roy; Jones, Jayna B.; Leal, Cecilia; Ewert, Kai K.; Li, Youli",,"Safinya, Cyrus R. (University of California, Santa Barbara); Deek, Joanna (University of California, Santa Barbara); Beck, Roy (University of California, Santa Barbara); Jones, Jayna B. (University of California, Santa Barbara); Leal, Cecilia (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara)",15,4,0.55,2.17,http://europepmc.org/articles/pmc3927920?pdf=render,https://app.dimensions.ai/details/publication/pub.1017812308,0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
57,400,pub.1013084289,10.1038/ncomms3224,23892390,,Neurofilament sidearms modulate parallel and crossed-filament orientations inducing nematic to isotropic and re-entrant birefringent hydrogels,Nature Communications,,"Animals; Axons; Birefringence; Cattle; Cytoskeleton; Hydrogels; Liquid Crystals; Osmolar Concentration; Scattering, Small Angle; Spinal Cord; Water; X-Ray Diffraction",2013-10,2013,4,1,2224,All OA; Gold,Article,"Deek, Joanna; Chung, Peter J.; Kayser, Jona; Bausch, Andreas R.; Safinya, Cyrus R.","Safinya, Cyrus R.","Deek, Joanna (University of California, Santa Barbara); Chung, Peter J. (University of California, Santa Barbara); Kayser, Jona (Technical University Munich); Bausch, Andreas R. (Technical University Munich); Safinya, Cyrus R. (University of California, Santa Barbara)",27,9,1.14,3.85,https://www.nature.com/articles/ncomms3224.pdf,https://app.dimensions.ai/details/publication/pub.1013084289,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
58,200,pub.1051461408,10.1016/j.bpj.2012.11.805,,,Salt-Responsive Liquid Crystal Hydrogels: Neurofilament Network Structure and Mechanical Modulation,Biophysical Journal,,,2013-01,2013,104,2,141a-142a,All OA; Gold,Article,"Deek, Joanna; Chung, Peter J.; Kayser, Jona; Bausch, Andreas; Safinya, Cyrus R.",,"Deek, Joanna (University of California, Santa Barbara); Chung, Peter J. (University of California, Santa Barbara); Kayser, Jona (Technical University Munich); Bausch, Andreas (Technical University Munich); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2012.11.805,https://app.dimensions.ai/details/publication/pub.1051461408,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
59,200,pub.1043099329,10.1016/j.bpj.2012.11.348,,,The Functional Dependence of the Intrinsically Disordered Domains of Tau,Biophysical Journal,,,2013-01,2013,104,2,56a,All OA; Gold,Article,"Chung, Peter J.; Deek, Joanna; Feinstein, H. Eric; Choi, M.C.; Wilson, Leslie; Feinstein, Stuart; Safinya, Cyrus R.",,"Chung, Peter J. (University of California, Santa Barbara); Deek, Joanna (University of California, Santa Barbara); Feinstein, H. Eric (University of California, Santa Barbara); Choi, M.C. (); Wilson, Leslie (University of California, Santa Barbara); Feinstein, Stuart (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2012.11.348,https://app.dimensions.ai/details/publication/pub.1043099329,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
60,200,pub.1039696576,10.1016/j.bpj.2012.11.804,,,Microfluidics with In-Situ Small-Angle X-Ray Scattering: A Tool to Investigate the Neurofilament Self-Assembly Mechanism,Biophysical Journal,,,2013-01,2013,104,2,141a,All OA; Gold,Article,"Silva, Bruno F.B.; Rosales, Miguel Z.; Deek, Joanna; Olsson, Ulf; Li, Youli; Safinya, Cyrus R.",,"Silva, Bruno F.B. (University of California, Santa Barbara; Lund University); Rosales, Miguel Z. (University of California, Santa Barbara); Deek, Joanna (University of California, Santa Barbara); Olsson, Ulf (Lund University); Li, Youli (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2012.11.804,https://app.dimensions.ai/details/publication/pub.1039696576,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
61,200,pub.1006106056,10.1016/j.bpj.2012.11.3596,,,"Live Cell Imaging of GFP-Rab Gtpases allows for Intracellular, Spatiotemporal Tracking of Surface Functionalized Lipid-DNA Complexes",Biophysical Journal,,,2013-01,2013,104,2,651a,All OA; Gold,Article,"Majzoub, Ramsey N.; Chan, Chia-Ling; Ewert, Kai K.; Liang, Keng S.; Safinya, Cyrus R.",,"Majzoub, Ramsey N. (University of California, Santa Barbara); Chan, Chia-Ling (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Liang, Keng S. (National Synchrotron Radiation Research Center; National Chiao Tung University); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2012.11.3596,https://app.dimensions.ai/details/publication/pub.1006106056,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
62,400,pub.1042501014,10.1039/c2sm27018h,23476712,PMC3587977,Stacking of short DNA induces the gyroid cubic-to-inverted hexagonal phase transition in lipid –DNA complexes,Soft Matter,,,2013,2013,9,3,795-804,"All OA; Green, Accepted & Submitted",Article,"Leal, Cecília; Ewert, Kai K.; Bouxsein, Nathan F.; Shirazi, Rahau S.; Li, Youli; Safinya, Cyrus R.",,"Leal, Cecília (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Bouxsein, Nathan F. (University of California, Santa Barbara); Shirazi, Rahau S. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",20,5,1.04,6.62,http://europepmc.org/articles/pmc3587977?pdf=render,https://app.dimensions.ai/details/publication/pub.1042501014,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
63,400,pub.1000953037,10.1039/c3fd00063j,24611267,PMC3955895,Ion specific effects in bundling and depolymerization of taxol-stabilized microtubules,Faraday Discussions,,"Biopolymers; Cations, Divalent; Microscopy, Electron, Transmission; Microtubules; Paclitaxel; Scattering, Small Angle",2013,2013,166,0,31-45,"All OA; Green, Accepted & Submitted",Article,"Needleman, Daniel J.; Ojeda-Lopez, Miguel A.; Raviv, Uri; Miller, Herbert P.; Li, Youli; Song, Chaeyeon; Feinstein, Stuart C.; Wilson, Leslie; Choi, Myung Chul; Safinya, Cyrus R.",,"Needleman, Daniel J. (University of California, Santa Barbara); Ojeda-Lopez, Miguel A. (University of California, Santa Barbara); Raviv, Uri (University of California, Santa Barbara); Miller, Herbert P. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Song, Chaeyeon (Korea Advanced Institute of Science and Technology); Feinstein, Stuart C. (University of California, Santa Barbara); Wilson, Leslie (University of California, Santa Barbara); Choi, Myung Chul (Korea Advanced Institute of Science and Technology); Safinya, Cyrus R. (University of California, Santa Barbara)",11,2,0.49,1.63,http://europepmc.org/articles/pmc3955895?pdf=render,https://app.dimensions.ai/details/publication/pub.1000953037,09 Engineering; 0306 Physical Chemistry (incl. Structural); 0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences; 0904 Chemical Engineering,09 Engineering,0306 Physical Chemistry (incl. Structural),0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0904 Chemical Engineering
64,400,pub.1047443086,10.1042/bst20120101,22988859,,Structures and interactions in ‘bottlebrush’ neurofilaments: the role of charged disordered proteins in forming hydrogel networks,Biochemical Society Transactions,,"Hydrogel, Polyethylene Glycol Dimethacrylate; Molecular Dynamics Simulation; Monte Carlo Method; Neurofilament Proteins; Neurons; Protein Conformation",10/1/12,2012,40,5,1027-1031,All OA; Gold,Article,"Beck, Roy; Deek, Joanna; Safinya, Cyrus R.",,"Beck, Roy (Tel Aviv University); Deek, Joanna (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",19,7,0.86,2.68,http://www.biochemsoctrans.org/content/ppbiost/40/5/1027.full.pdf,https://app.dimensions.ai/details/publication/pub.1047443086,11 Medical and Health Sciences; 0601 Biochemistry and Cell Biology; 06 Biological Sciences; 1101 Medical Biochemistry and Metabolomics,11 Medical and Health Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,1101 Medical Biochemistry and Metabolomics,
65,300,pub.1035101219,10.1038/489372b,22996547,,Liposomes derived from molecular vases,Nature,,Drug Delivery Systems; Hydrophobic and Hydrophilic Interactions; Lipid Bilayers; Liposomes; Surface-Active Agents,2012-09,2012,489,7416,372-374,Closed,Article,"Safinya, Cyrus R.; Ewert, Kai K.","Safinya, Cyrus R.","Safinya, Cyrus R. (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara)",38,5,1.15,,,https://app.dimensions.ai/details/publication/pub.1035101219,,,,,,
66,400,pub.1056156146,10.1021/la301181b,22616637,PMC3399028,Structural evolution of environmentally responsive cationic liposome-DNA complexes with a reducible lipid linker.,Langmuir,,"Animals; Cations; Cattle; DNA; Lipids; Liposomes; Models, Molecular; Molecular Structure",7/17/12,2012,28,28,10495-503,"All OA; Green, Accepted & Submitted",Article,"Shirazi, Rahau S; Ewert, Kai K; Silva, Bruno F B; Leal, Cecilia; Li, Youli; Safinya, Cyrus R",,"Shirazi, Rahau S (University of California, Santa Barbara); Ewert, Kai K (); Silva, Bruno F B (); Leal, Cecilia (); Li, Youli (); Safinya, Cyrus R ()",16,3,0.62,2.16,http://europepmc.org/articles/pmc3399028?pdf=render,https://app.dimensions.ai/details/publication/pub.1056156146,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
67,400,pub.1052201297,10.1016/j.biomaterials.2012.03.038,22469293,PMC3337860,Endosomal escape and transfection efficiency of PEGylated cationic liposome–DNA complexes prepared with an acid-labile PEG-lipid,Biomaterials,,"Animals; Cell Line; Cell Survival; DNA; Endosomes; Genetic Therapy; Liposomes; Mice; Models, Chemical; Polyethylene Glycols; Transfection",2012-06,2012,33,19,4928-4935,"All OA; Green, Accepted & Submitted",Article,"Chan, Chia-Ling; Majzoub, Ramsey N.; Shirazi, Rahau S.; Ewert, Kai K.; Chen, Yen-Ju; Liang, Keng S.; Safinya, Cyrus R.","Safinya, Cyrus R.","Chan, Chia-Ling (University of California, Santa Barbara; Institute of Physics, Academia Sinica; National Synchrotron Radiation Research Center); Majzoub, Ramsey N. (University of California, Santa Barbara); Shirazi, Rahau S. (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Chen, Yen-Ju (National Synchrotron Radiation Research Center); Liang, Keng S. (National Synchrotron Radiation Research Center; National Chiao Tung University); Safinya, Cyrus R. (University of California, Santa Barbara)",82,19,3.27,8.17,http://europepmc.org/articles/pmc3337860?pdf=render,https://app.dimensions.ai/details/publication/pub.1052201297,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
68,200,pub.1049989762,10.1016/j.bpj.2011.11.3799,,,A Structure-Function Study of Map Tau: Analyzing Distinct Map Tau Domains in Mediating Microtubule Assembly and Bundling using Synchrotron SAXS,Biophysical Journal,,,2012-01,2012,102,3,700a,All OA; Gold,Article,"Chung, Peter J.; Deek, Joanna; Feinstein, Harrison E.; Miller, Herb; Choi, Myung Chul; Wilson, Leslie; Feinstein, Stuart C.; Safinya, Cyrus R.",,"Chung, Peter J. (University of California, Santa Barbara); Deek, Joanna (University of California, Santa Barbara); Feinstein, Harrison E. (University of California, Santa Barbara); Miller, Herb (University of California, Santa Barbara); Choi, Myung Chul (Korea Advanced Institute of Science and Technology); Wilson, Leslie (University of California, Santa Barbara); Feinstein, Stuart C. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",1,0,,,https://doi.org/10.1016/j.bpj.2011.11.3799,https://app.dimensions.ai/details/publication/pub.1049989762,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
69,200,pub.1043104212,10.1016/j.bpj.2011.11.2746,,,pH-Sensitive Pegylated Cationic Lipid-DNA Complexes for Gene Delivery: Transfection Efficiency and Live Cell Imaging Studies,Biophysical Journal,,,2012-01,2012,102,3,501a-502a,All OA; Gold,Article,"Chan, Chia-Ling; Majzoub, Ramsey; Shirazi, Rahau S.; Liang, Keng-San; Ewert, Kai K.; Safinya, Cyrus R.",,"Chan, Chia-Ling (University of California, Santa Barbara; Institute of Physics, Academia Sinica); Majzoub, Ramsey (University of California, Santa Barbara); Shirazi, Rahau S. (University of California, Santa Barbara); Liang, Keng-San (National Synchrotron Radiation Research Center; National Chiao Tung University); Ewert, Kai K. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",1,0,,,https://doi.org/10.1016/j.bpj.2011.11.2746,https://app.dimensions.ai/details/publication/pub.1043104212,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
70,200,pub.1036524690,10.1016/j.bpj.2011.11.3470,,,The Effect of Formation Pathway on the Structure and Stability of PEGylated Lipoplexes at Physiological Conditions: Implications for Gene Delivery,Biophysical Journal,,,2012-01,2012,102,3,637a,All OA; Gold,Article,"Silva, Bruno F.B.; Majzoub, Ramsey N.; Chan, Chia-Ling; Li, Youli; Olsson, Ulf; Safinya, Cyrus R.",,"Silva, Bruno F.B. (University of California, Santa Barbara; Lund University); Majzoub, Ramsey N. (University of California, Santa Barbara); Chan, Chia-Ling (University of California, Santa Barbara; Institute of Physics, Academia Sinica); Li, Youli (University of California, Santa Barbara); Olsson, Ulf (Lund University); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2011.11.3470,https://app.dimensions.ai/details/publication/pub.1036524690,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
71,200,pub.1032868212,10.1016/j.bpj.2011.11.3471,,,Environmentally Responsive Cationic Liposome-DNA Complexes for Cell Delivery,Biophysical Journal,,,2012-01,2012,102,3,638a,All OA; Gold,Article,"Shirazi, Rahau S.; Ewert, Kai K.; Leal, Cecilia; Safinya, Cyrus R.",,"Shirazi, Rahau S. (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Leal, Cecilia (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2011.11.3471,https://app.dimensions.ai/details/publication/pub.1032868212,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
72,200,pub.1009773678,10.1016/j.bpj.2011.11.1443,,,Responsive and Tunable Neurofilament Protein Hydrogel Assemblies - A Synchrotron X-Ray Scattering Study of Composition and Salt Dependent Response,Biophysical Journal,,,2012-01,2012,102,3,262a,All OA; Gold,Article,"Deek, Joanna; Chung, Peter; Safinya, Cyrus R.",,"Deek, Joanna (University of California, Santa Barbara); Chung, Peter (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2011.11.1443,https://app.dimensions.ai/details/publication/pub.1009773678,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
73,400,pub.1021069641,10.1080/02678292.2011.624364,22778490,PMC3390942,Cationic liposome–nucleic acid complexes: liquid crystal phases with applications in gene therapy,Liquid Crystals,,,2011-11,2011,38,12-Nov,1715-1723,"All OA; Green, Accepted & Submitted",Article,"Safinya, C R; Ewert, K K; Leal, Cecília",,"Safinya, C R (University of California, Santa Barbara); Ewert, K K (); Leal, Cecília ()",32,7,0.97,5.39,http://europepmc.org/articles/pmc3390942?pdf=render,https://app.dimensions.ai/details/publication/pub.1021069641,0205 Optical Physics; 02 Physical Sciences; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0205 Optical Physics,02 Physical Sciences,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
74,400,pub.1012068913,10.1016/j.bbamem.2011.04.020,21640069,PMC3129426,Synthesis and characterization of degradable multivalent cationic lipids with disulfide-bond spacers for gene delivery,Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism,,"Animals; Cations; Cytoplasm; DNA; Disulfides; Ethidium; Fibroblasts; Gene Transfer Techniques; Genetic Vectors; Light; Lipids; Magnetic Resonance Spectroscopy; Mice; Microscopy; Scattering, Radiation; Scattering, Small Angle",2011-09,2011,1808,9,2156-2166,All OA; Gold,Article,"Shirazi, Rahau S.; Ewert, Kai K.; Leal, Cecilia; Majzoub, Ramsey N.; Bouxsein, Nathan F.; Safinya, Cyrus R.","Ewert, Kai K.","Shirazi, Rahau S. (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Leal, Cecilia (University of California, Santa Barbara); Majzoub, Ramsey N. (University of California, Santa Barbara); Bouxsein, Nathan F. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",48,10,1.8,,https://doi.org/10.1016/j.bbamem.2011.04.020,https://app.dimensions.ai/details/publication/pub.1012068913,02 Physical Sciences; 06 Biological Sciences,02 Physical Sciences,06 Biological Sciences,,,
75,400,pub.1056154137,10.1021/la200679x,21612245,PMC3119580,Nanogyroids incorporating multivalent lipids: enhanced membrane charge density and pore forming ability for gene silencing.,Langmuir,,"Gene Silencing; Lipids; Microscopy, Fluorescence; Nanostructures; RNA, Small Interfering; Scattering, Radiation",6/21/11,2011,27,12,7691-7,"All OA; Green, Accepted & Submitted",Article,"Leal, Cecília; Ewert, Kai K; Shirazi, Rahau S; Bouxsein, Nathan F; Safinya, Cyrus R",,"Leal, Cecília (University of California, Santa Barbara); Ewert, Kai K (); Shirazi, Rahau S (); Bouxsein, Nathan F (); Safinya, Cyrus R ()",33,3,1.31,4.43,http://europepmc.org/articles/pmc3119580?pdf=render,https://app.dimensions.ai/details/publication/pub.1056154137,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
76,400,pub.1044611850,10.1002/adma.201004647,21506171,PMC3864889,Nanoscale Assembly in Biological Systems: From Neuronal Cytoskeletal Proteins to Curvature Stabilizing Lipids,Advanced Materials,,Actins; Biotechnology; Cytoskeletal Proteins; Lipids; Liposomes; Microtubules; Nanotechnology; Nanotubes; Neurons; tau Proteins,5/24/11,2011,23,20,2260-2270,"All OA; Green, Accepted & Submitted",Article,"Safinya, Cyrus R.; Raviv, Uri; Needleman, Daniel J.; Zidovska, Alexandra; Choi, Myung Chul; Ojeda‐Lopez, Miguel A.; Ewert, Kai K.; Li, Youli; Miller, Herbert P.; Quispe, Joel; Carragher, Bridget; Potter, Clinton S.; Kim, Mahn Won; Feinstein, Stuart C.; Wilson, Leslie",,"Safinya, Cyrus R. (University of California, Santa Barbara); Raviv, Uri (University of California, Santa Barbara); Needleman, Daniel J. (University of California, Santa Barbara); Zidovska, Alexandra (University of California, Santa Barbara); Choi, Myung Chul (University of California, Santa Barbara); Ojeda‐Lopez, Miguel A. (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Miller, Herbert P. (University of California, Santa Barbara); Quispe, Joel (Scripps Research Institute); Carragher, Bridget (Scripps Research Institute); Potter, Clinton S. (Scripps Research Institute); Kim, Mahn Won (Korea Advanced Institute of Science and Technology); Feinstein, Stuart C. (University of California, Santa Barbara); Wilson, Leslie (University of California, Santa Barbara)",13,0,0.23,1.75,http://europepmc.org/articles/pmc3864889?pdf=render,https://app.dimensions.ai/details/publication/pub.1044611850,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
77,400,pub.1055849746,10.1021/ja202082c,21520947,PMC3092805,Two-dimensional packing of short DNA with nonpairing overhangs in cationic liposome-DNA complexes: from Onsager nematics to columnar nematics with finite-length columns.,Journal of the American Chemical Society,,"Cations; DNA; Liposomes; Liquid Crystals; Models, Biological",5/18/11,2011,133,19,7585-95,"All OA; Green, Accepted & Submitted",Article,"Bouxsein, Nathan F; Leal, Cecília; McAllister, Christopher S; Ewert, Kai K; Li, Youli; Samuel, Charles E; Safinya, Cyrus R",,"Bouxsein, Nathan F (University of California, Santa Barbara); Leal, Cecília (); McAllister, Christopher S (); Ewert, Kai K (); Li, Youli (); Samuel, Charles E (); Safinya, Cyrus R ()",30,7,1.02,,http://europepmc.org/articles/pmc3092805?pdf=render,https://app.dimensions.ai/details/publication/pub.1055849746,03 Chemical Sciences,03 Chemical Sciences,,,,
78,200,pub.1037813909,10.1016/j.bpj.2010.12.2305,,,Tuning the Neurofilament Hydrogel Network - a Synchrotron X-Ray Scattering Study of Salt Dependent Response,Biophysical Journal,,,2011-02,2011,100,3,388a,All OA; Gold,Article,"Deek, Joanna; Beck, Roy; Safinya, Cyrus R.",,"Deek, Joanna (); Beck, Roy (); Safinya, Cyrus R. ()",0,0,,,https://doi.org/10.1016/j.bpj.2010.12.2305,https://app.dimensions.ai/details/publication/pub.1037813909,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
79,200,pub.1007969288,10.1016/j.bpj.2010.12.2638,,,A direct Force Measurement Reveals that Human Microtubule-Associated-Protein tau Modulates the Interactions Betweem Microtubules in an Isoform Dependent Manner,Biophysical Journal,,,2011-02,2011,100,3,447a-448a,All OA; Gold,Article,"Choi, M.C.; Chung, Peter J.; Raviv, Uri; Li, Youli; Kiris, Erkan; Miller, Herb P.; Wilson, Leslie; Feinstein, Stuart C.; Safinya, Cyrus R.",,"Choi, M.C. (); Chung, Peter J. (); Raviv, Uri (); Li, Youli (); Kiris, Erkan (); Miller, Herb P. (); Wilson, Leslie (); Feinstein, Stuart C. (); Safinya, Cyrus R. ()",0,0,,,https://doi.org/10.1016/j.bpj.2010.12.2638,https://app.dimensions.ai/details/publication/pub.1007969288,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
80,100,pub.1018914560,10.1088/1742-6596/272/1/012001,,,Synchrotron Small Angle X-Ray Scattering Quantitatively Detects Angstrom Level Changes in the Average Radius of Taxol-Stabilized Microtubules Decorated with the Microtubule-Associated-Protein Tau,Journal of Physics Conference Series,,,1/1/11,2011,272,1,12001,All OA; Gold,Article,"Choi, Myung Chul; Raviv, Uri; Li, Youli; Miller, Herbert P; Needleman, Daniel J; Kim, Mahn Won; Wilson, Leslie; Feinstein, Stuart C; Safinya, Cyrus R",,"Choi, Myung Chul (University of California, Santa Barbara; Korea Advanced Institute of Science and Technology); Raviv, Uri (University of California, Santa Barbara; Hebrew University of Jerusalem); Li, Youli (University of California, Santa Barbara); Miller, Herbert P (University of California, Santa Barbara); Needleman, Daniel J (University of California, Santa Barbara; Harvard University); Kim, Mahn Won (Korea Advanced Institute of Science and Technology); Wilson, Leslie (University of California, Santa Barbara); Feinstein, Stuart C (University of California, Santa Barbara); Safinya, Cyrus R (University of California, Santa Barbara)",3,0,,0.27,http://iopscience.iop.org/article/10.1088/1742-6596/272/1/012001/pdf,https://app.dimensions.ai/details/publication/pub.1018914560,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
81,400,pub.1030908980,10.1039/c0cp00999g,21321713,,Hierarchical superstructure of alkylamine -coated ZnS nanoparticle assemblies,Physical Chemistry Chemical Physics,,Amines; Nanoparticles; Nanotubes; Nanowires; Sulfides; Surface-Active Agents; X-Ray Diffraction; Zinc Compounds,2011,2011,13,11,4974-4979,Closed,Article,"Belman, Nataly; Israelachvili, Jacob N.; Li, Youli; Safinya, Cyrus R.; Ezersky, Vladimir; Rabkin, Alexander; Sima, Olga; Golan, Yuval",,"Belman, Nataly (Ben-Gurion University of the Negev); Israelachvili, Jacob N. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara); Ezersky, Vladimir (Ben-Gurion University of the Negev); Rabkin, Alexander (Ben-Gurion University of the Negev); Sima, Olga (Ben-Gurion University of the Negev); Golan, Yuval (Ben-Gurion University of the Negev)",13,2,0.37,1.75,,https://app.dimensions.ai/details/publication/pub.1030908980,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
82,400,pub.1029257231,10.1039/c1sm05481c,22707975,PMC3374606,Block liposome and nanotube formation is a general phenomenon of two-component membranes containing multivalent lipids,Soft Matter,,,2011,2011,7,18,8363-8369,"All OA; Green, Accepted & Submitted",Article,"Zidovska, Alexandra; Ewert, Kai K.; Quispe, Joel; Carragher, Bridget; Potter, Clinton S.; Safinya, Cyrus R.",,"Zidovska, Alexandra (University of California, Santa Barbara; Harvard University); Ewert, Kai K. (University of California, Santa Barbara); Quispe, Joel (Scripps Research Institute); Carragher, Bridget (Scripps Research Institute); Potter, Clinton S. (Scripps Research Institute); Safinya, Cyrus R. (University of California, Santa Barbara)",4,0,0.15,0.54,http://europepmc.org/articles/pmc3374606?pdf=render,https://app.dimensions.ai/details/publication/pub.1029257231,09 Engineering; 0904 Chemical Engineering,09 Engineering,0904 Chemical Engineering,,,
83,400,pub.1056153275,10.1021/la103655x,21082794,,Unconventional salt trend from soft to stiff in single neurofilament biopolymers.,Langmuir,,"Animals; Biomechanical Phenomena; Biopolymers; Cattle; Intermediate Filaments; Microscopy, Atomic Force; Models, Molecular; Molecular Conformation; Salts",12/21/10,2010,26,24,18595-9,Closed,Article,"Beck, Roy; Deek, Joanna; Choi, Myung Chul; Ikawa, Taiji; Watanabe, Osamu; Frey, Erwin; Pincus, Philip; Safinya, Cyrus R",,"Beck, Roy (University of California, Santa Barbara); Deek, Joanna (); Choi, Myung Chul (); Ikawa, Taiji (); Watanabe, Osamu (); Frey, Erwin (); Pincus, Philip (); Safinya, Cyrus R ()",27,3,0.91,3.46,,https://app.dimensions.ai/details/publication/pub.1056153275,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
