,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Roberta L Rudnick. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
33,100,pub.1021201077,10.1016/j.epsl.2014.10.002,,,Onset of oxidative weathering of continents recorded in the geochemistry of ancient glacial diamictites,Earth and Planetary Science Letters,,,2014-12,2014,408,Science 317 5846 2007,87-99,Closed,Article,"Gaschnig, Richard M.; Rudnick, Roberta L.; McDonough, William F.; Kaufman, Alan J.; Hu, Zhaochu; Gao, Shan","Gaschnig, Richard M.","Gaschnig, Richard M. (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); McDonough, William F. (University of Maryland, College Park); Kaufman, Alan J. (University of Maryland, College Park); Hu, Zhaochu (China University of Geosciences); Gao, Shan (China University of Geosciences)",21,12,,3.54,,https://app.dimensions.ai/details/publication/pub.1021201077,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
34,100,pub.1003312518,10.1016/j.gca.2014.09.003,,,Sedimentary input to the source of Lesser Antilles lavas: A Li perspective,Geochimica et Cosmochimica Acta,,,2014-11,2014,144,Chem. Geol. 271 2010,43-58,Closed,Article,"Tang, Ming; Rudnick, Roberta L.; Chauvel, Catherine","Tang, Ming","Tang, Ming (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); Chauvel, Catherine (Institute of Earth Science; French National Centre for Scientific Research)",20,9,,3.12,,https://app.dimensions.ai/details/publication/pub.1003312518,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
35,100,pub.1014620072,10.1093/petrology/egu024,,,"Granulite-Facies Xenoliths in Rift Basalts of Northern Tanzania: Age, Composition and Origin of Archean Lower Crust",Journal of Petrology,,,2014-07-01,2014,55,7,1243-1286,All OA; Gold,Article,"Mansur, Adam T.; Manya, Shukrani; Timpa, Sean; Rudnick, Roberta L.",,"Mansur, Adam T. (University of Maryland, College Park); Manya, Shukrani (University of Dar es Salaam); Timpa, Sean (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park; University of Dar es Salaam)",15,5,,2.53,https://academic.oup.com/petrology/article-pdf/55/7/1243/4352089/egu024.pdf,https://app.dimensions.ai/details/publication/pub.1014620072,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
36,100,pub.1041314777,10.1016/j.gca.2014.03.028,,,Massive magnesium depletion and isotope fractionation in weathered basalts,Geochimica et Cosmochimica Acta,,,2014-06,2014,135,,336-349,Closed,Article,"Liu, Xiao-Ming; Teng, Fang-Zhen; Rudnick, Roberta L.; McDonough, William F.; Cummings, Michael L.","Liu, Xiao-Ming","Liu, Xiao-Ming (University of Maryland, College Park); Teng, Fang-Zhen (University of Arkansas at Fayetteville); Rudnick, Roberta L. (University of Maryland, College Park); McDonough, William F. (University of Maryland, College Park); Cummings, Michael L. (Portland State University)",49,21,,7.07,,https://app.dimensions.ai/details/publication/pub.1041314777,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
37,200,pub.1040031285,10.1016/b978-0-08-095975-7.09989-7,,,Volume Editor’s Introduction,,Treatise on Geochemistry,,2014,2014,,,xxiii-xxvi,Closed,Chapter,"Rudnick, Roberta L.",,"Rudnick, Roberta L. (University of Maryland, College Park)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1040031285,,,,,,
38,100,pub.1036240349,10.1016/b978-0-08-095975-7.00301-6,,,4.1 Composition of the Continental Crust,,Treatise on Geochemistry,,2014,2014,,,1-51,Closed,Chapter,"Rudnick, R.L.; Gao, S.",,"Rudnick, R.L. (University of Maryland, College Park); Gao, S. ()",393,221,,61.26,,https://app.dimensions.ai/details/publication/pub.1036240349,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
39,100,pub.1050601138,10.1002/ggge.20238,,,Heterogeneous magnesium isotopic composition of the lower continental crust: A xenolith perspective,Geochemistry Geophysics Geosystems,,,2013-09,2013,14,9,3844-3856,All OA; Gold,Article,"Teng, Fang‐Zhen; Yang, Wei; Rudnick, Roberta L.; Hu, Yan",,"Teng, Fang‐Zhen (University of Washington; University of Arkansas at Fayetteville); Yang, Wei (University of Arkansas at Fayetteville; Institute of Geology and Geophysics); Rudnick, Roberta L. (University of Maryland, College Park); Hu, Yan (University of Washington)",30,9,,4.32,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/ggge.20238,https://app.dimensions.ai/details/publication/pub.1050601138,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
40,100,pub.1027332277,10.1016/j.gca.2013.03.043,,,Influence of chemical weathering on the composition of the continental crust: Insights from Li and Nd isotopes in bauxite profiles developed on Columbia River Basalts,Geochimica et Cosmochimica Acta,,,2013-08,2013,115,Tectonophysics 296 1998,73-91,"All OA; Green, Published",Article,"Liu, Xiao-Ming; Rudnick, Roberta L.; McDonough, William F.; Cummings, Michael L.","Liu, Xiao-Ming","Liu, Xiao-Ming (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); McDonough, William F. (University of Maryland, College Park); Cummings, Michael L. (Portland State University)",35,14,,5.03,https://escholarship.org/content/qt8sn3j14k/qt8sn3j14k.pdf?t=owvsnk,https://app.dimensions.ai/details/publication/pub.1027332277,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
41,100,pub.1046786590,10.1002/ggge.20129,,,A reference Earth model for the heat‐producing elements and associated geoneutrino flux,Geochemistry Geophysics Geosystems,,,2013-06,2013,14,6,2003-2029,"All OA; Green, Accepted & Submitted",Article,"Huang, Yu; Chubakov, Viacheslav; Mantovani, Fabio; Rudnick, Roberta L.; McDonough, William F.",,"Huang, Yu (University of Maryland, College Park); Chubakov, Viacheslav (University of Ferrara; INFN Sezione di Ferrara); Mantovani, Fabio (University of Ferrara; INFN Sezione di Ferrara); Rudnick, Roberta L. (University of Maryland, College Park); McDonough, William F. (University of Maryland, College Park)",76,23,,12.75,http://arxiv.org/pdf/1301.0365,https://app.dimensions.ai/details/publication/pub.1046786590,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
42,100,pub.1028795517,10.1016/j.chemgeo.2012.09.013,,,"Comparative Sr–Nd–Hf–Os–Pb isotope systematics of xenolithic peridotites from Yangyuan, North China Craton: Additional evidence for a Paleoproterozoic age",Chemical Geology,,,2012-11,2012,332,Earth and Planetary Science Letters 272 2008,1-14,Closed,Article,"Liu, Jingao; Carlson, Richard W.; Rudnick, Roberta L.; Walker, Richard J.; Gao, Shan; Wu, Fu-yuan","Liu, Jingao","Liu, Jingao (University of Maryland, College Park); Carlson, Richard W. (Carnegie Institution for Science); Rudnick, Roberta L. (University of Maryland, College Park); Walker, Richard J. (University of Maryland, College Park); Gao, Shan (China University of Geosciences); Wu, Fu-yuan (Institute of Geology and Geophysics)",41,11,,5.53,,https://app.dimensions.ai/details/publication/pub.1028795517,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
43,200,pub.1043008919,10.2138/am.2012.599,,,Acceptance of the Dana Medal of the Mineralogical Society of America for 2012,American Mineralogist,,,2012-10-01,2012,97,10,1817-1817,Closed,Article,"Rudnick, Roberta L.",,"Rudnick, Roberta L. (University of Maryland, College Park)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1043008919,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering; 0402 Geochemistry; 0403 Geology; 04 Earth Sciences,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,0402 Geochemistry,0403 Geology,04 Earth Sciences
44,100,pub.1012741639,10.1016/j.lithos.2012.01.010,,,Formation of cratonic lithosphere: An integrated thermal and petrological model,Lithos,,,2012-09,2012,149,,4-15,Closed,Article,"Herzberg, Claude; Rudnick, Roberta","Herzberg, Claude","Herzberg, Claude (Rutgers, The State University of New Jersey); Rudnick, Roberta (University of Maryland, College Park)",90,33,,12.14,,https://app.dimensions.ai/details/publication/pub.1012741639,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
45,100,pub.1042695931,10.1088/1742-6596/375/1/042041,,,Towards a refined reference Earth model for geo-neutrinos,Journal of Physics Conference Series,,,2012-07-30,2012,375,4,042041,All OA; Gold,Article,"Huang, Y; Chubakov, V; Mantovani, F; McDonough, W F; Rudnick, R L",,"Huang, Y (University of Maryland, College Park); Chubakov, V (University of Ferrara; INFN Sezione di Ferrara); Mantovani, F (University of Ferrara; INFN Sezione di Ferrara); McDonough, W F (University of Maryland, College Park); Rudnick, R L (University of Maryland, College Park)",0,0,,0,http://iopscience.iop.org/article/10.1088/1742-6596/375/1/042041/pdf,https://app.dimensions.ai/details/publication/pub.1042695931,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
46,400,pub.1028086055,10.1073/pnas.1115671108,22184221,PMC3248527,Constraints on continental crustal mass loss via chemical weathering using lithium and its isotopes,Proceedings of the National Academy of Sciences,,"Earth (Planet); Evolution, Planetary; Geological Phenomena; Lithium; Models, Chemical",2011-12-27,2011,108,52,20873-20880,All OA; Gold,Article,"Liu, Xiao-Ming; Rudnick, Roberta L.",,"Liu, Xiao-Ming (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park)",31,8,0.03,3.9,http://www.pnas.org/content/108/52/20873.full.pdf,https://app.dimensions.ai/details/publication/pub.1028086055,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
47,100,pub.1020898996,10.1016/j.chemgeo.2011.07.014,,,"The behavior of lithium in amphibolite- to granulite-facies rocks of the Ivrea–Verbano Zone, NW Italy",Chemical Geology,,,2011-10,2011,289,1-2,76-85,Closed,Article,"Qiu, Lin; Rudnick, Roberta L.; McDonough, William F.; Bea, Fernando","Qiu, Lin","Qiu, Lin (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); McDonough, William F. (University of Maryland, College Park); Bea, Fernando (University of Granada)",19,8,,2.39,,https://app.dimensions.ai/details/publication/pub.1020898996,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
48,100,pub.1037218776,10.1016/j.gca.2011.04.018,,,Mapping lithospheric boundaries using Os isotopes of mantle xenoliths: An example from the North China Craton,Geochimica et Cosmochimica Acta,,,2011-07,2011,75,13,3881-3902,Closed,Article,"Liu, Jingao; Rudnick, Roberta L.; Walker, Richard J.; Gao, Shan; Wu, Fu-yuan; Piccoli, Philip M.; Yuan, Honglin; Xu, Wen-liang; Xu, Yi-Gang","Liu, Jingao","Liu, Jingao (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); Walker, Richard J. (University of Maryland, College Park); Gao, Shan (China University of Geosciences); Wu, Fu-yuan (Institute of Geology and Geophysics); Piccoli, Philip M. (University of Maryland, College Park); Yuan, Honglin (Northwest University); Xu, Wen-liang (Jilin University); Xu, Yi-Gang (Guangzhou Institute of Geochemistry)",84,18,,10.56,,https://app.dimensions.ai/details/publication/pub.1037218776,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
49,200,pub.1088799729,10.1130/2011.2478(06),,,Evolution of the lithospheric mantle beneath the East African Rift in Tanzania and its potential signatures in rift magmas,Geological Society of America Special Papers,Volcanism and Evolution of the African Lithosphere,,2011-06,2011,478,,105-125,Closed,Chapter,"Aulbach, Sonja; Rudnick, Roberta L.; McDonough, William F.",,"Aulbach, Sonja (); Rudnick, Roberta L. (); McDonough, William F. ()",19,2,,,,https://app.dimensions.ai/details/publication/pub.1088799729,,,,,,
50,100,pub.1013084856,10.1111/j.1751-908x.2010.00114.x,,,GSD‐1G and MPI‐DING Reference Glasses for In Situ and Bulk Isotopic Determination,Geostandards and Geoanalytical Research,,,2011-06,2011,35,2,193-226,Closed,Article,"Jochum, Klaus Peter; Wilson, Steven A.; Abouchami, Wafa; Amini, Marghaleray; Chmeleff, Jérome; Eisenhauer, Anton; Hegner, Ernst; Iaccheri, Linda M.; Kieffer, Bruno; Krause, Joachim; McDonough, William F.; Mertz‐Kraus, Regina; Raczek, Ingrid; Rudnick, Roberta L.; Scholz, Denis; Steinhoefel, Grit; Stoll, Brigitte; Stracke, Andreas; Tonarini, Sonia; Weis, Dominique; Weis, Ulrike; Woodhead, Jon D.",,"Jochum, Klaus Peter (Max Planck Institute for Chemistry); Wilson, Steven A. (United States Geological Survey); Abouchami, Wafa (Max Planck Institute for Chemistry); Amini, Marghaleray (GEOMAR Helmholtz Centre for Ocean Research Kiel; University of Saskatchewan); Chmeleff, Jérome (University of Hannover; Paul Sabatier University); Eisenhauer, Anton (GEOMAR Helmholtz Centre for Ocean Research Kiel); Hegner, Ernst (Ludwig Maximilian University of Munich); Iaccheri, Linda M. (Ludwig Maximilian University of Munich); Kieffer, Bruno (University of British Columbia); Krause, Joachim (Max Planck Institute for Chemistry); McDonough, William F. (University of Maryland, College Park); Mertz‐Kraus, Regina (Max Planck Institute for Chemistry); Raczek, Ingrid (Max Planck Institute for Chemistry); Rudnick, Roberta L. (University of Maryland, College Park); Scholz, Denis (Max Planck Institute for Chemistry; Johannes Gutenberg University of Mainz); Steinhoefel, Grit (University of Hannover); Stoll, Brigitte (Max Planck Institute for Chemistry); Stracke, Andreas (Swiss Federal Institute of Technology in Zurich; University of Münster); Tonarini, Sonia (Institute of Geosciences and Earth Resources); Weis, Dominique (University of British Columbia); Weis, Ulrike (Max Planck Institute for Chemistry); Woodhead, Jon D. (University of Melbourne)",62,8,,7.01,,https://app.dimensions.ai/details/publication/pub.1013084856,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
51,100,pub.1042719001,10.1016/j.epsl.2010.11.001,,,"A lithium isotopic study of sub-greenschist to greenschist facies metamorphism in an accretionary prism, New Zealand",Earth and Planetary Science Letters,,,2011-01,2011,301,1-2,213-221,Closed,Article,"Qiu, Lin; Rudnick, Roberta L.; Ague, Jay J.; McDonough, William F.","Qiu, Lin","Qiu, Lin (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); Ague, Jay J. (Yale University); McDonough, William F. (University of Maryland, College Park)",26,4,,2.94,,https://app.dimensions.ai/details/publication/pub.1042719001,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
52,100,pub.1022668521,10.1016/j.epsl.2010.11.031,,,Thermal history and origin of the Tanzanian Craton from Pb isotope thermochronology of feldspars from lower crustal xenoliths,Earth and Planetary Science Letters,,,2011-01,2011,301,3-4,493-501,Closed,Article,"Bellucci, Jeremy J.; McDonough, William F.; Rudnick, Roberta L.","Bellucci, Jeremy J.","Bellucci, Jeremy J. (University of Maryland, College Park); McDonough, William F. (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park)",17,0,,2.14,,https://app.dimensions.ai/details/publication/pub.1022668521,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
53,100,pub.1031326527,10.1016/j.gca.2010.08.030,,,Heterogeneous magnesium isotopic composition of the upper continental crust,Geochimica et Cosmochimica Acta,,,2010-12,2010,74,23,6867-6884,Closed,Article,"Li, Wang-Ye; Teng, Fang-Zhen; Ke, Shan; Rudnick, Roberta L.; Gao, Shan; Wu, Fu-Yuan; Chappell, B.W.","Li, Wang-Ye","Li, Wang-Ye (University of Science and Technology of China; University of Arkansas at Fayetteville); Teng, Fang-Zhen (University of Arkansas at Fayetteville); Ke, Shan (University of Arkansas at Fayetteville; China University of Geosciences); Rudnick, Roberta L. (University of Maryland, College Park); Gao, Shan (China University of Geosciences; Northwest University); Wu, Fu-Yuan (Institute of Geology and Geophysics); Chappell, B.W. (Macquarie University)",129,32,,13.44,,https://app.dimensions.ai/details/publication/pub.1031326527,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
54,100,pub.1005850371,10.1016/j.epsl.2010.09.036,,,Contrasting lithium and magnesium isotope fractionation during continental weathering,Earth and Planetary Science Letters,,,2010-11,2010,300,1-2,63-71,Closed,Article,"Teng, Fang-Zhen; Li, Wang-Ye; Rudnick, Roberta L.; Gardner, L. Robert","Teng, Fang-Zhen","Teng, Fang-Zhen (University of Arkansas at Fayetteville); Li, Wang-Ye (University of Arkansas at Fayetteville; University of Science and Technology of China); Rudnick, Roberta L. (University of Maryland, College Park); Gardner, L. Robert (University of South Carolina)",135,48,,13.47,,https://app.dimensions.ai/details/publication/pub.1005850371,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
55,100,pub.1050467606,10.1016/j.epsl.2010.06.030,,,Processes controlling highly siderophile element fractionations in xenolithic peridotites and their influence on Os isotopes,Earth and Planetary Science Letters,,,2010-08,2010,297,1-2,287-297,Closed,Article,"Liu, Jingao; Rudnick, Roberta L.; Walker, Richard J.; Gao, Shan; Wu, Fuyuan; Piccoli, Philip M.","Liu, Jingao","Liu, Jingao (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); Walker, Richard J. (University of Maryland, College Park); Gao, Shan (China University of Geosciences); Wu, Fuyuan (Institute of Geology and Geophysics); Piccoli, Philip M. (University of Maryland, College Park)",49,13,,5.1,,https://app.dimensions.ai/details/publication/pub.1050467606,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
56,100,pub.1048904516,10.1029/2010gc003063,,,"Processes controlling lithium isotopic distribution in contact aureoles: A case study of the Florence County pegmatites, Wisconsin",Geochemistry Geophysics Geosystems,,,2010-08,2010,11,8,n/a-n/a,All OA; Gold,Article,"Liu, Xiao‐Ming; Rudnick, Roberta L.; Hier‐Majumder, Saswata; Sirbescu, Mona‐Liza C.",,"Liu, Xiao‐Ming (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); Hier‐Majumder, Saswata (University of Maryland, College Park); Sirbescu, Mona‐Liza C. (Central Michigan University)",23,7,,2.4,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010GC003063,https://app.dimensions.ai/details/publication/pub.1048904516,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
57,100,pub.1028808188,10.1016/j.gca.2009.08.017,,,Li and δ7Li in mudrocks from the British Caledonides: Metamorphism and source influences,Geochimica et Cosmochimica Acta,,,2009-12,2009,73,24,7325-7340,Closed,Article,"Qiu, Lin; Rudnick, Roberta L.; McDonough, William F.; Merriman, Richard J.","Qiu, Lin","Qiu, Lin (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); McDonough, William F. (University of Maryland, College Park); Merriman, Richard J. (British Geological Survey)",28,4,,5.13,,https://app.dimensions.ai/details/publication/pub.1028808188,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
58,100,pub.1052549125,10.1016/j.lithos.2009.04.042,,,Interpreting ages from Re–Os isotopes in peridotites,Lithos,,,2009-11,2009,112,,1083-1095,Closed,Article,"Rudnick, Roberta L.; Walker, Richard J.","Rudnick, Roberta L.","Rudnick, Roberta L. (University of Maryland, College Park); Walker, Richard J. (University of Maryland, College Park)",114,20,,15.27,,https://app.dimensions.ai/details/publication/pub.1052549125,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
59,100,pub.1007956136,10.1093/petrology/egp055,,,Temporal Evolution of the Lithospheric Mantle beneath the Eastern North China Craton,Journal of Petrology,,,2009-10,2009,50,10,1857-1898,All OA; Gold,Article,"Chu, Zhu-Yin; Wu, Fu-Yuan; Walker, Richard J.; Rudnick, Roberta L.; Pitcher, Lynnette; Puchtel, Igor S.; Yang, Yue-Heng; Wilde, Simon A.",,"Chu, Zhu-Yin (Institute of Geology and Geophysics); Wu, Fu-Yuan (Institute of Geology and Geophysics); Walker, Richard J. (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); Pitcher, Lynnette (University of Maryland, College Park); Puchtel, Igor S. (University of Maryland, College Park); Yang, Yue-Heng (Institute of Geology and Geophysics); Wilde, Simon A. (Curtin University)",156,33,,28.56,https://academic.oup.com/petrology/article-pdf/50/10/1857/16669938/egp055.pdf,https://app.dimensions.ai/details/publication/pub.1007956136,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
60,100,pub.1030852056,10.1007/s00410-009-0378-5,,,"Insights into Li and Li isotope cycling and sub-arc metasomatism from veined mantle xenoliths, Kamchatka",Contributions to Mineralogy and Petrology,,,2009-08,2009,158,2,197-222,"All OA; Green, Accepted & Submitted",Article,"Halama, Ralf; Savov, Ivan P.; Rudnick, Roberta L.; McDonough, William F.","Halama, Ralf","Halama, Ralf (University of Maryland, College Park; Kiel University); Savov, Ivan P. (Carnegie Institution for Science; University of Leeds); Rudnick, Roberta L. (University of Maryland, College Park); McDonough, William F. (University of Maryland, College Park)",53,7,,7.1,http://oceanrep.geomar.de/8630/2/410_2009_378_MOESM1_ESM.pdf,https://app.dimensions.ai/details/publication/pub.1030852056,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
61,100,pub.1018919246,10.1016/j.chemgeo.2009.02.009,,,Lithium isotopic systematics of A-type granites and their mafic enclaves: Further constraints on the Li isotopic composition of the continental crust,Chemical Geology,,,2009-05,2009,262,3-4,370-379,Closed,Article,"Teng, Fang-Zhen; Rudnick, Roberta L.; McDonough, William F.; Wu, Fu-Yuan","Teng, Fang-Zhen","Teng, Fang-Zhen (University of Arkansas at Fayetteville; University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); McDonough, William F. (University of Maryland, College Park); Wu, Fu-Yuan (Institute of Geology and Geophysics)",56,10,,10.25,,https://app.dimensions.ai/details/publication/pub.1018919246,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
62,100,pub.1014111795,10.1016/j.chemgeo.2008.07.015,,,Origins of non-equilibrium lithium isotopic fractionation in xenolithic peridotite minerals: Examples from Tanzania,Chemical Geology,,,2009-01,2009,258,1-2,17-27,Closed,Article,"Aulbach, Sonja; Rudnick, Roberta L.","Aulbach, Sonja","Aulbach, Sonja (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park)",51,12,,9.34,,https://app.dimensions.ai/details/publication/pub.1014111795,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
63,100,pub.1041247051,10.1016/j.chemgeo.2008.06.009,,,Lithium isotopic composition and concentration of the deep continental crust,Chemical Geology,,,2008-09,2008,255,1-2,47-59,Closed,Article,"Teng, Fang-Zhen; Rudnick, Roberta L.; McDonough, William F.; Gao, Shan; Tomascak, Paul B.; Liu, Yongsheng","Teng, Fang-Zhen","Teng, Fang-Zhen (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); McDonough, William F. (University of Maryland, College Park); Gao, Shan (China University of Geosciences; Northwest University); Tomascak, Paul B. (University of Maryland, College Park); Liu, Yongsheng (China University of Geosciences)",65,9,,6.19,,https://app.dimensions.ai/details/publication/pub.1041247051,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
64,100,pub.1034699090,10.1111/j.1751-908x.2008.00895.x,,,Sodic Pyroxene and Sodic Amphibole as Potential Reference Materials for In Situ Lithium Isotope Determinations by SIMS,Geostandards and Geoanalytical Research,,,2008-09,2008,32,3,295-310,"All OA; Green, Accepted & Submitted",Article,"Marks, Michael A.W.; Rudnick, Roberta L.; Ludwig, Thomas; Marschall, Horst; Zack, Thomas; Halama, Ralf; McDonough, William F.; Rost, Detlef; Wenzel, Thomas; Vicenzi, Edward P.; Savov, Ivan P.; Altherr, Rainer; Markl, Gregor",,"Marks, Michael A.W. (University of Tübingen); Rudnick, Roberta L. (University of Maryland, College Park); Ludwig, Thomas (Heidelberg University); Marschall, Horst (University of Bristol); Zack, Thomas (Heidelberg University); Halama, Ralf (University of Maryland, College Park); McDonough, William F. (University of Maryland, College Park); Rost, Detlef (National Museum of Natural History); Wenzel, Thomas (University of Tübingen); Vicenzi, Edward P. (National Museum of Natural History); Savov, Ivan P. (University of Leeds); Altherr, Rainer (Heidelberg University); Markl, Gregor (University of Tübingen)",10,0,,0.95,http://www.geol.umd.edu/%7Emcdonoug/Marks%20sodic%20pyroxene%202008.pdf,https://app.dimensions.ai/details/publication/pub.1034699090,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
65,100,pub.1030665305,10.1016/j.epsl.2008.05.032,,,Lithium in Jack Hills zircons: Evidence for extensive weathering of Earth's earliest crust,Earth and Planetary Science Letters,,,2008-08,2008,272,3-4,666-676,Closed,Article,"Ushikubo, Takayuki; Kita, Noriko T.; Cavosie, Aaron J.; Wilde, Simon A.; Rudnick, Roberta L.; Valley, John W.","Ushikubo, Takayuki","Ushikubo, Takayuki (University of Wisconsin–Madison); Kita, Noriko T. (University of Wisconsin–Madison); Cavosie, Aaron J. (University of Puerto Rico at Mayagüez); Wilde, Simon A. (Curtin University); Rudnick, Roberta L. (University of Maryland, College Park); Valley, John W. (University of Wisconsin–Madison)",110,19,,10.47,,https://app.dimensions.ai/details/publication/pub.1030665305,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
66,100,pub.1002222850,10.1016/j.epsl.2008.03.008,,,Recycling deep cratonic lithosphere and generation of intraplate magmatism in the North China Craton,Earth and Planetary Science Letters,,,2008-06,2008,270,1-2,41-53,Closed,Article,"Gao, Shan; Rudnick, Roberta L.; Xu, Wen-Liang; Yuan, Hong-Lin; Liu, Yong-Sheng; Walker, Richard J.; Puchtel, Igor S.; Liu, Xiaomin; Huang, Hua; Wang, Xiao-Rui; Yang, Jie","Gao, Shan","Gao, Shan (China University of Geosciences; Northwest University); Rudnick, Roberta L. (University of Maryland, College Park); Xu, Wen-Liang (Jilin University); Yuan, Hong-Lin (Northwest University); Liu, Yong-Sheng (China University of Geosciences); Walker, Richard J. (University of Maryland, College Park); Puchtel, Igor S. (University of Maryland, College Park); Liu, Xiaomin (Northwest University); Huang, Hua (China University of Geosciences); Wang, Xiao-Rui (China University of Geosciences); Yang, Jie (China University of Geosciences)",287,67,,28.32,,https://app.dimensions.ai/details/publication/pub.1002222850,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
